,group,variable,month,CONSULTA NUEVA MENORES DE 5 AÑOS,CONSULTA NUEVA MENORES DE 5 AÑOS,CONSULTA NUEVA 5 A 13 AÑOS,CONSULTA NUEVA 5 A 13 AÑOS,CONSULTA NUEVA 14 A 19 AÑOS,CONSULTA NUEVA 14 A 19 AÑOS,CONSULTA NUEVA 20 A 59 AÑOS,CONSULTA NUEVA 20 A 59 AÑOS,CONSULTA NUEVA 60 AÑOS Y MAS,CONSULTA NUEVA 60 AÑOS Y MAS,CONSULTA NUEVA EMB,CONSULTA NUEVA EMB,CONSULTA NUEVA POST,CONSULTA NUEVA POST,TOTALES
ARANI,atencion odontologica,consulta nueva,2021-01-01,40,41,40,35,63,45,40,116,3,8,0,0,0,0,431
ARBIETO,atencion odontologica,consulta nueva,2021-01-01,48,57,102,111,35,56,41,137,15,21,0,3,0,7,633
ARQUE,atencion odontologica,consulta nueva,2021-01-01,16,6,23,25,29,37,36,73,10,13,0,15,0,1,284
ASCENCION DE GUARAYOS,atencion odontologica,consulta nueva,2021-01-01,32,128,105,130,9,49,20,187,19,15,0,38,0,5,737
ATOCHA,atencion odontologica,consulta nueva,2021-01-01,17,17,67,86,35,51,95,122,14,12,0,9,0,0,525
AUCAPATA,atencion odontologica,consulta nueva,2021-01-01,3,2,0,7,8,10,16,33,0,0,0,2,0,0,81
AYATA,atencion odontologica,consulta nueva,2021-01-01,8,21,22,22,17,31,33,68,7,12,0,3,0,3,247
AYO AYO,atencion odontologica,consulta nueva,2021-01-01,3,8,6,10,38,14,5,22,11,4,0,0,0,0,121
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica,consulta nueva,2021-01-01,18,24,73,65,21,64,64,139,13,15,0,13,0,4,513
AZURDUY,atencion odontologica,consulta nueva,2021-01-01,4,8,31,20,35,40,13,138,2,15,0,14,0,0,320
BATALLAS,atencion odontologica,consulta nueva,2021-01-01,3,4,5,11,10,5,11,32,9,14,0,3,0,10,117
BAURES,atencion odontologica,consulta nueva,2021-01-01,1,0,0,0,2,1,2,5,0,1,0,2,0,0,14
BELEN DE ANDAMARCA,atencion odontologica,consulta nueva,2021-01-01,2,6,2,0,0,2,4,8,2,0,0,0,0,0,26
BELEN DE URMIRI,atencion odontologica,consulta nueva,2021-01-01,8,17,5,36,4,4,27,31,9,2,0,8,0,2,153
BELLA FLOR,atencion odontologica,consulta nueva,2021-01-01,0,0,0,1,0,4,0,6,0,0,0,0,0,0,11
BERMEJO,atencion odontologica,consulta nueva,2021-01-01,5,7,21,25,23,19,40,104,13,2,0,0,0,0,259
BETANZOS,atencion odontologica,consulta nueva,2021-01-01,54,78,77,109,59,89,76,223,29,24,0,45,0,2,865
BOLIVAR,atencion odontologica,consulta nueva,2021-01-01,1,17,19,13,20,14,15,22,6,9,0,0,0,0,136
BOLPEBRA,atencion odontologica,consulta nueva,2021-01-01,0,0,1,2,0,3,0,1,0,0,0,0,0,1,8
BOYUIBE,atencion odontologica,consulta nueva,2021-01-01,2,5,16,10,4,19,25,35,7,8,0,0,0,0,131
BUENA VISTA,atencion odontologica,consulta nueva,2021-01-01,2,3,9,37,170,25,4,18,5,4,0,0,0,0,277
CABEZAS,atencion odontologica,consulta nueva,2021-01-01,55,41,70,63,26,41,22,122,14,3,0,13,0,6,476
CAIROMA,atencion odontologica,consulta nueva,2021-01-01,3,1,11,17,7,10,6,16,3,2,0,2,0,2,80
"CAIZA ""D""",atencion odontologica,consulta nueva,2021-01-01,1,2,5,7,1,11,15,31,2,3,0,1,0,0,79
CAJUATA,atencion odontologica,consulta nueva,2021-01-01,0,1,5,1,2,2,5,10,4,0,0,1,0,0,31
CALACOTO,atencion odontologica,consulta nueva,2021-01-01,0,0,1,4,0,4,9,12,5,7,0,5,0,0,47
CALAMARCA,atencion odontologica,consulta nueva,2021-01-01,16,2,20,27,36,26,32,41,7,5,0,2,0,0,214
CAMARGO,atencion odontologica,consulta nueva,2021-01-01,13,31,32,45,7,36,28,51,3,8,0,10,0,0,264
CAMATAQUI (C. VILLA ABECIA),atencion odontologica,consulta nueva,2021-01-01,0,0,31,13,9,25,10,57,0,1,0,0,0,0,146
CAMIRI,atencion odontologica,consulta nueva,2021-01-01,53,64,28,27,8,46,37,120,39,13,0,63,0,5,503
CAPINOTA,atencion odontologica,consulta nueva,2021-01-01,45,44,99,147,40,62,48,116,14,24,0,13,0,4,656
CAQUIAVIRI,atencion odontologica,consulta nueva,2021-01-01,0,11,6,6,17,10,6,25,7,2,0,2,0,0,92
CARACOLLO,atencion odontologica,consulta nueva,2021-01-01,34,41,109,97,40,49,42,173,13,5,0,30,0,3,636
CARANAVI,atencion odontologica,consulta nueva,2021-01-01,63,51,134,144,55,95,86,275,37,5,0,41,0,16,1002
CARAPARI,atencion odontologica,consulta nueva,2021-01-01,10,7,49,82,28,51,87,167,3,2,0,1,0,1,488
CARIPUYO,atencion odontologica,consulta nueva,2021-01-01,3,5,3,10,2,7,10,22,3,6,0,6,0,6,83
CATACORA,atencion odontologica,consulta nueva,2021-01-01,2,3,8,6,7,7,5,14,0,1,0,1,0,0,54
CHACARILLA,atencion odontologica,consulta nueva,2021-01-01,2,5,11,8,0,6,4,10,5,4,0,0,0,3,58
CHALLAPATA,atencion odontologica,consulta nueva,2021-01-01,113,122,239,226,120,173,144,369,64,65,0,81,0,15,1731
CHAQUI,atencion odontologica,consulta nueva,2021-01-01,23,11,20,20,16,28,5,48,13,12,0,13,0,4,213
CHARAGUA,atencion odontologica,consulta nueva,2021-01-01,43,40,25,16,20,16,25,84,13,18,0,18,0,6,324
CHARAÑA,atencion odontologica,consulta nueva,2021-01-01,1,0,0,1,2,5,8,10,1,1,0,0,0,0,29
CHAYANTA,atencion odontologica,consulta nueva,2021-01-01,10,3,14,15,12,6,36,38,6,15,0,3,0,0,158
CHIMORE,atencion odontologica,consulta nueva,2021-01-01,22,21,58,60,34,87,46,108,4,6,0,2,0,2,450
CHIPAYA,atencion odontologica,consulta nueva,2021-01-01,2,5,16,6,19,0,3,11,5,3,0,3,0,0,73
CHOQUE COTA,atencion odontologica,consulta nueva,2021-01-01,0,0,4,0,0,0,0,8,8,4,0,0,0,0,24
CHUA COCANI,atencion odontologica,consulta nueva,2021-01-01,0,9,4,13,0,10,5,9,2,0,0,0,0,0,52
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica,consulta nueva,2021-01-01,3,0,4,11,4,6,4,13,0,0,0,3,0,0,48
CHUMA,atencion odontologica,consulta nueva,2021-01-01,12,23,57,49,41,63,131,148,26,25,0,15,0,3,593
CHUQUIHUTA AYLLU JUCUMANI,atencion odontologica,consulta nueva,2021-01-01,8,0,4,3,6,12,7,41,3,4,0,0,0,0,88
CKOCHAS,atencion odontologica,consulta nueva,2021-01-01,27,20,12,13,2,14,21,52,10,4,0,7,0,1,183
CLIZA,atencion odontologica,consulta nueva,2021-01-01,26,48,152,88,81,67,43,181,42,25,0,4,0,5,762
COBIJA,atencion odontologica,consulta nueva,2021-01-01,24,15,48,65,42,82,85,287,21,9,0,31,0,9,718
COCAPATA,atencion odontologica,consulta nueva,2021-01-01,11,27,65,61,23,101,56,90,8,12,0,2,0,9,465
COCHABAMBA,atencion odontologica,consulta nueva,2021-01-01,488,631,1286,1478,556,852,1259,2582,464,397,0,137,0,50,10180
COIPASA,atencion odontologica,consulta nueva,2021-01-01,0,0,14,17,6,3,2,8,5,0,0,6,0,0,61
COLCAPIRHUA,atencion odontologica,consulta nueva,2021-01-01,51,98,113,137,58,90,78,221,31,31,0,6,0,3,917
"COLCHA ""K""",atencion odontologica,consulta nueva,2021-01-01,17,6,25,20,3,9,7,40,4,5,0,5,0,0,141
COLLANA,atencion odontologica,consulta nueva,2021-01-01,0,9,19,13,39,23,33,29,6,0,0,2,0,0,173
COLOMI,atencion odontologica,consulta nueva,2021-01-01,24,34,25,67,29,66,43,59,3,2,0,8,0,9,369
COLPA BELGICA,atencion odontologica,consulta nueva,2021-01-01,2,13,15,33,5,10,17,46,0,0,0,0,0,0,141
COLQUECHACA,atencion odontologica,consulta nueva,2021-01-01,22,15,47,61,15,87,46,171,16,20,0,14,0,4,518
COLQUENCHA,atencion odontologica,consulta nueva,2021-01-01,12,0,29,32,133,40,53,63,3,2,0,10,0,1,378
COLQUIRI,atencion odontologica,consulta nueva,2021-01-01,6,3,37,36,40,32,48,60,9,23,0,3,0,3,300
COMANCHE,atencion odontologica,consulta nueva,2021-01-01,1,0,4,3,2,6,2,17,3,1,0,0,0,0,39
COMARAPA,atencion odontologica,consulta nueva,2021-01-01,4,1,12,29,9,24,13,28,2,4,0,0,0,0,126
COMBAYA,atencion odontologica,consulta nueva,2021-01-01,2,0,3,2,6,0,7,2,6,2,0,0,0,0,30
COPACABANA,atencion odontologica,consulta nueva,2021-01-01,0,4,3,1,3,3,1,4,2,0,0,0,0,0,21
CORIPATA,atencion odontologica,consulta nueva,2021-01-01,8,6,18,11,6,6,18,11,2,1,0,2,0,0,89
CORO CORO,atencion odontologica,consulta nueva,2021-01-01,0,2,11,17,0,9,7,11,0,2,0,1,0,2,62
COROICO,atencion odontologica,consulta nueva,2021-01-01,2,2,41,40,28,23,40,76,4,4,0,4,0,2,266
CORQUE,atencion odontologica,consulta nueva,2021-01-01,5,5,16,30,24,28,22,48,17,29,0,4,0,0,228
COTAGAITA,atencion odontologica,consulta nueva,2021-01-01,34,35,50,62,49,75,69,235,29,24,0,18,0,13,693
COTOCA,atencion odontologica,consulta nueva,2021-01-01,17,21,40,49,24,30,47,141,10,8,0,4,0,0,391
CRUZ DE MACHACAMARCA,atencion odontologica,consulta nueva,2021-01-01,0,0,2,2,0,0,5,0,2,2,0,0,0,0,13
CUATRO CAÑADAS,atencion odontologica,consulta nueva,2021-01-01,31,41,52,91,13,67,27,127,8,7,0,13,0,0,477
CUCHUMUELA (V. G. VILLARROEL),atencion odontologica,consulta nueva,2021-01-01,11,19,22,28,15,10,13,32,4,0,0,5,0,3,162
CUEVO,atencion odontologica,consulta nueva,2021-01-01,3,2,10,7,8,17,11,48,5,3,0,3,0,0,117
CULPINA,atencion odontologica,consulta nueva,2021-01-01,18,16,34,45,11,46,39,114,16,17,0,17,0,1,374
CURAHUARA DE CARANGAS,atencion odontologica,consulta nueva,2021-01-01,3,5,42,65,23,26,19,22,5,1,0,0,0,0,211
CURVA,atencion odontologica,consulta nueva,2021-01-01,14,8,2,9,1,13,4,18,4,4,0,1,0,5,83
DESAGUADERO,atencion odontologica,consulta nueva,2021-01-01,0,4,7,4,2,1,7,8,3,0,0,1,0,1,38
EL ALTO,atencion odontologica,consulta nueva,2021-01-01,373,361,622,733,413,414,376,903,104,64,0,179,0,22,4564
EL CHORO,atencion odontologica,consulta nueva,2021-01-01,6,13,34,48,8,14,20,31,0,4,0,4,0,0,182
EL PUENTE(STC),atencion odontologica,consulta nueva,2021-01-01,12,21,41,44,21,27,35,90,4,3,0,12,0,0,310
EL PUENTE(TJA),atencion odontologica,consulta nueva,2021-01-01,7,4,16,25,6,25,34,93,11,16,0,2,0,0,239
EL TORNO,atencion odontologica,consulta nueva,2021-01-01,318,290,48,25,22,86,53,204,34,29,0,75,0,36,1220
EL VILLAR,atencion odontologica,consulta nueva,2021-01-01,9,0,3,11,2,4,6,26,3,0,0,10,0,0,74
ENTRE RIOS TRJ,atencion odontologica,consulta nueva,2021-01-01,17,6,26,33,23,42,34,95,9,5,0,5,0,0,295
ENTRE RIOS CBBA,atencion odontologica,consulta nueva,2021-01-01,63,66,84,93,31,100,70,186,32,3,0,6,0,23,757
ESCARA,atencion odontologica,consulta nueva,2021-01-01,2,0,0,0,5,0,4,1,1,0,0,0,0,0,13
ESMERALDA,atencion odontologica,consulta nueva,2021-01-01,0,1,3,0,0,0,10,5,5,7,0,0,0,0,31
EUCALIPTUS,atencion odontologica,consulta nueva,2021-01-01,0,5,10,7,10,6,12,41,6,1,0,4,0,0,102
FERNANDEZ ALONSO,atencion odontologica,consulta nueva,2021-01-01,1,5,10,5,3,9,5,26,8,0,0,1,0,0,73
FILADELFIA,atencion odontologica,consulta nueva,2021-01-01,5,16,32,28,3,9,16,9,1,0,0,0,0,0,119
GENERAL SAAVEDRA,atencion odontologica,consulta nueva,2021-01-01,0,2,8,3,3,6,3,19,1,0,0,0,0,0,45
GRAL. J.J. PEREZ (CHARAZANI),atencion odontologica,consulta nueva,2021-01-01,19,22,32,31,18,26,43,48,12,6,0,9,0,5,271
GUANAY,atencion odontologica,consulta nueva,2021-01-01,1,2,12,8,0,10,11,23,4,2,0,1,0,3,77
GUAQUI,atencion odontologica,consulta nueva,2021-01-01,7,4,10,17,22,9,18,64,30,24,0,4,0,3,212
GUAYARAMERIN,atencion odontologica,consulta nueva,2021-01-01,14,13,38,49,12,43,38,98,3,4,0,23,0,0,335
GUTIERREZ,atencion odontologica,consulta nueva,2021-01-01,4,3,2,12,4,12,9,28,0,1,0,1,0,0,76
HUACARETA,atencion odontologica,consulta nueva,2021-01-01,6,0,5,5,0,3,1,18,0,0,0,0,0,10,48
HUACAYA (VILLA DE HUACAYA),atencion odontologica,consulta nueva,2021-01-01,4,3,5,20,1,0,2,17,0,0,0,1,0,0,53
HUACHACALLA,atencion odontologica,consulta nueva,2021-01-01,5,2,4,5,32,10,9,4,1,2,0,0,0,0,74
HUANUNI,atencion odontologica,consulta nueva,2021-01-01,39,25,150,253,86,170,143,221,18,27,0,33,0,0,1165
HUARACAJE,atencion odontologica,consulta nueva,2021-01-01,1,0,4,1,3,0,3,3,0,0,0,0,0,0,15
HUARINA,atencion odontologica,consulta nueva,2021-01-01,0,4,4,0,2,2,4,7,4,4,0,0,0,0,31
HUATAJATA,atencion odontologica,consulta nueva,2021-01-01,1,2,8,16,4,7,14,28,0,1,0,1,0,0,82
HUAYLLAMARCA,atencion odontologica,consulta nueva,2021-01-01,11,10,24,27,4,12,16,22,23,9,0,0,0,2,160
HUMANATA,atencion odontologica,consulta nueva,2021-01-01,1,3,9,5,10,12,11,10,3,4,0,1,0,0,69
ICHOCA,atencion odontologica,consulta nueva,2021-01-01,11,9,6,3,4,3,33,48,16,5,0,4,0,0,142
ICLA,atencion odontologica,consulta nueva,2021-01-01,49,63,22,42,10,28,15,66,11,5,0,9,0,2,322
INCAHUASI,atencion odontologica,consulta nueva,2021-01-01,1,8,32,53,39,28,50,71,12,3,0,2,0,0,299
INQUISIVI,atencion odontologica,consulta nueva,2021-01-01,12,5,21,29,13,10,27,61,7,14,0,5,0,4,208
IRUPANA (VILLA DE LANZA),atencion odontologica,consulta nueva,2021-01-01,75,68,103,108,88,83,74,164,20,26,0,14,0,10,833
IXIAMAS,atencion odontologica,consulta nueva,2021-01-01,8,3,42,31,17,25,27,75,13,2,0,0,0,0,243
JESUS DE MACHACA,atencion odontologica,consulta nueva,2021-01-01,10,9,12,19,23,24,17,40,9,7,0,2,0,1,173
LA ASUNTA,atencion odontologica,consulta nueva,2021-01-01,35,59,141,139,74,147,153,256,19,14,0,33,0,3,1073
LA GUARDIA,atencion odontologica,consulta nueva,2021-01-01,41,35,0,0,0,2,2,14,12,18,0,6,0,6,136
LA PAZ,atencion odontologica,consulta nueva,2021-01-01,460,432,765,805,255,368,840,1759,302,197,0,207,0,38,6428
LA RIVERA,atencion odontologica,consulta nueva,2021-01-01,2,2,10,6,2,2,0,8,0,0,0,0,0,0,32
LAGUNILLAS,atencion odontologica,consulta nueva,2021-01-01,0,1,8,8,3,9,15,65,8,2,0,6,0,1,126
LAJA,atencion odontologica,consulta nueva,2021-01-01,60,47,54,85,42,74,18,110,11,20,0,14,0,4,539
LAS CARRERAS,atencion odontologica,consulta nueva,2021-01-01,4,0,10,17,5,7,23,58,2,2,0,1,0,0,129
LICOMA PAMPA,atencion odontologica,consulta nueva,2021-01-01,0,0,2,0,0,0,4,3,0,0,0,0,0,0,9
LLALLAGUA,atencion odontologica,consulta nueva,2021-01-01,49,59,47,91,64,49,33,187,15,17,0,19,0,3,633
LORETO,atencion odontologica,consulta nueva,2021-01-01,1,0,1,2,1,0,3,3,3,1,0,1,0,0,16
LURIBAY,atencion odontologica,consulta nueva,2021-01-01,2,1,1,2,1,0,3,9,2,0,0,0,0,0,21
MACHACAMARCA,atencion odontologica,consulta nueva,2021-01-01,19,18,26,28,30,23,36,50,7,12,0,0,0,0,249
MACHARETI,atencion odontologica,consulta nueva,2021-01-01,0,0,0,6,0,1,1,12,1,0,0,1,0,0,22
MAGDALENA,atencion odontologica,consulta nueva,2021-01-01,0,0,3,3,2,4,10,8,1,1,0,0,0,0,32
MAIRANA,atencion odontologica,consulta nueva,2021-01-01,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2
MALLA,atencion odontologica,consulta nueva,2021-01-01,0,3,1,3,6,2,3,16,0,0,0,1,0,0,35
MAPIRI,atencion odontologica,consulta nueva,2021-01-01,8,17,20,43,7,21,33,42,6,0,0,9,0,0,206
MECAPACA,atencion odontologica,consulta nueva,2021-01-01,8,18,34,52,27,33,28,75,15,10,0,1,0,3,304
MINEROS,atencion odontologica,consulta nueva,2021-01-01,1,4,4,4,0,8,9,35,7,1,0,32,0,2,107
MIZQUE,atencion odontologica,consulta nueva,2021-01-01,47,12,51,124,18,62,36,116,16,4,0,9,0,2,497
MOCOMOCO,atencion odontologica,consulta nueva,2021-01-01,0,2,9,12,17,34,37,37,14,7,0,3,0,0,172
MOJINETE,atencion odontologica,consulta nueva,2021-01-01,0,0,3,3,6,6,2,18,4,2,0,2,0,0,46
MOJOCOYA,atencion odontologica,consulta nueva,2021-01-01,25,46,52,66,9,34,46,153,19,13,0,7,0,0,470
MONTEAGUDO,atencion odontologica,consulta nueva,2021-01-01,9,10,20,103,25,87,95,117,3,1,0,2,0,2,474
MONTERO,atencion odontologica,consulta nueva,2021-01-01,183,222,282,343,76,185,172,701,80,50,0,150,0,14,2458
MORO MORO,atencion odontologica,consulta nueva,2021-01-01,8,4,4,3,1,4,1,18,3,3,0,0,0,0,49
MOROCHATA,atencion odontologica,consulta nueva,2021-01-01,2,5,14,21,16,13,18,43,4,0,0,0,0,0,136
NACEBE (SANTA ROSA DEL ABUNA),atencion odontologica,consulta nueva,2021-01-01,5,3,8,10,3,4,0,7,0,1,0,0,0,0,41
NAZACARA DE PACAJES,atencion odontologica,consulta nueva,2021-01-01,6,0,5,1,2,1,1,4,1,2,0,1,0,0,24
OCURI,atencion odontologica,consulta nueva,2021-01-01,33,37,66,131,37,58,39,91,95,71,0,10,0,6,674
OKINAWA,atencion odontologica,consulta nueva,2021-01-01,0,1,2,0,0,4,0,7,0,0,0,0,0,0,14
OMEREQUE,atencion odontologica,consulta nueva,2021-01-01,2,1,8,7,1,6,6,9,2,0,0,1,0,2,45
ORURO,atencion odontologica,consulta nueva,2021-01-01,381,441,1031,1415,425,783,925,2328,239,148,0,305,0,111,8532
PADCAYA,atencion odontologica,consulta nueva,2021-01-01,15,7,15,25,19,28,22,76,0,1,0,1,0,0,209
PADILLA,atencion odontologica,consulta nueva,2021-01-01,5,0,26,10,15,60,28,78,24,6,0,28,0,3,283
PAILON,atencion odontologica,consulta nueva,2021-01-01,34,22,25,25,27,29,32,118,6,21,0,8,0,3,350
PALCA,atencion odontologica,consulta nueva,2021-01-01,17,25,45,68,39,41,61,106,21,11,0,3,0,1,438
PALOS BLANCOS,atencion odontologica,consulta nueva,2021-01-01,28,14,25,37,17,22,27,57,4,6,0,9,0,2,248
PAMPA AULLAGAS,atencion odontologica,consulta nueva,2021-01-01,0,0,0,4,1,1,0,7,1,1,0,0,0,0,15
PAMPA GRANDE,atencion odontologica,consulta nueva,2021-01-01,7,5,12,15,4,29,10,42,19,9,0,0,0,0,152
PAPEL PAMPA,atencion odontologica,consulta nueva,2021-01-01,1,4,4,6,5,5,14,39,30,25,0,5,0,0,138
PASORAPA,atencion odontologica,consulta nueva,2021-01-01,12,14,49,39,20,35,33,91,7,9,0,5,0,3,317
PATACAMAYA,atencion odontologica,consulta nueva,2021-01-01,77,69,93,105,49,57,17,78,2,2,0,8,0,3,560
PAZÑA,atencion odontologica,consulta nueva,2021-01-01,7,19,49,44,28,38,21,70,0,5,0,4,0,0,285
PELECHUCO,atencion odontologica,consulta nueva,2021-01-01,32,24,16,20,1,12,23,62,12,6,0,5,0,4,217
POCOATA,atencion odontologica,consulta nueva,2021-01-01,37,37,35,63,89,45,86,163,23,27,0,32,0,18,655
POCONA,atencion odontologica,consulta nueva,2021-01-01,0,0,9,5,1,8,9,31,14,5,0,2,0,0,84
POJO (CBBA),atencion odontologica,consulta nueva,2021-01-01,7,14,29,39,14,62,21,57,2,2,0,0,0,5,252
POOPO,atencion odontologica,consulta nueva,2021-01-01,18,18,21,48,17,40,37,97,36,39,0,18,0,0,389
PORCO,atencion odontologica,consulta nueva,2021-01-01,16,3,14,36,5,29,11,70,5,6,0,27,0,5,227
POROMA,atencion odontologica,consulta nueva,2021-01-01,10,6,0,17,6,4,20,31,5,2,0,1,0,0,102
PORONGO,atencion odontologica,consulta nueva,2021-01-01,16,10,14,26,10,19,11,37,7,12,0,9,0,3,174
PORTACHUELO,atencion odontologica,consulta nueva,2021-01-01,1,0,3,2,0,0,2,2,3,0,0,1,0,0,14
PORVENIR,atencion odontologica,consulta nueva,2021-01-01,9,1,14,18,3,6,7,20,2,0,0,0,0,1,81
POTOSI,atencion odontologica,consulta nueva,2021-01-01,111,105,247,360,93,188,223,539,36,44,0,58,0,15,2019
PRESTO,atencion odontologica,consulta nueva,2021-01-01,5,11,54,17,15,35,56,134,18,5,0,16,0,3,369
PUCARA,atencion odontologica,consulta nueva,2021-01-01,6,10,0,5,0,0,1,10,0,0,0,0,0,0,32
PUCARANI,atencion odontologica,consulta nueva,2021-01-01,89,76,75,108,68,129,81,290,37,31,0,23,0,15,1022
PUERTO ACOSTA,atencion odontologica,consulta nueva,2021-01-01,6,2,12,16,9,26,26,40,6,19,0,0,0,0,162
PUERTO CARABUCO,atencion odontologica,consulta nueva,2021-01-01,1,4,13,9,19,6,21,29,8,4,0,0,0,0,114
PUERTO GONZALO MORENO,atencion odontologica,consulta nueva,2021-01-01,7,19,7,30,12,13,11,8,0,0,0,2,0,0,109
PUERTO PEREZ,atencion odontologica,consulta nueva,2021-01-01,2,0,4,4,1,4,9,18,5,1,0,0,0,0,48
PUERTO QUIJARRO,atencion odontologica,consulta nueva,2021-01-01,7,17,5,8,3,3,2,6,2,0,0,1,0,0,54
PUERTO RICO,atencion odontologica,consulta nueva,2021-01-01,1,1,28,19,9,14,33,65,1,1,0,4,0,0,176
PUERTO SUAREZ,atencion odontologica,consulta nueva,2021-01-01,2,6,11,5,0,3,4,13,0,1,0,0,0,0,45
PUERTO VILLARROEL,atencion odontologica,consulta nueva,2021-01-01,36,14,74,87,50,72,70,140,2,6,0,13,0,15,579
PUNA,atencion odontologica,consulta nueva,2021-01-01,2,5,17,21,13,22,26,50,19,10,0,1,0,3,189
PUNATA,atencion odontologica,consulta nueva,2021-01-01,66,45,95,194,62,141,84,298,28,20,0,11,0,0,1044
QUIABAYA,atencion odontologica,consulta nueva,2021-01-01,8,7,15,3,14,12,17,21,1,1,0,0,0,3,102
QUILLACOLLO,atencion odontologica,consulta nueva,2021-01-01,162,186,353,434,146,254,304,636,70,45,0,30,0,9,2629
QUIME,atencion odontologica,consulta nueva,2021-01-01,3,11,31,47,14,34,50,40,4,0,0,1,0,0,235
QUIRUSILLAS,atencion odontologica,consulta nueva,2021-01-01,0,0,1,2,1,0,4,6,0,0,0,0,0,0,14
RAVELO,atencion odontologica,consulta nueva,2021-01-01,12,30,12,24,21,33,50,98,39,37,0,19,0,10,385
REYES,atencion odontologica,consulta nueva,2021-01-01,1,2,16,24,9,11,28,21,0,0,0,0,0,0,112
RIBERALTA,atencion odontologica,consulta nueva,2021-01-01,74,78,95,99,68,133,79,251,33,22,0,138,0,16,1086
ROBORE,atencion odontologica,consulta nueva,2021-01-01,2,2,7,5,3,6,19,22,5,3,0,0,0,0,74
RURRENABAQUE,atencion odontologica,consulta nueva,2021-01-01,15,14,20,41,26,18,25,50,13,3,0,7,0,0,232
SABAYA,atencion odontologica,consulta nueva,2021-01-01,5,9,26,21,18,13,30,49,13,13,0,5,0,0,202
SACABA,atencion odontologica,consulta nueva,2021-01-01,63,82,160,231,66,109,109,351,54,57,0,10,0,5,1297
SACABAMBA,atencion odontologica,consulta nueva,2021-01-01,1,4,13,6,2,4,3,26,3,12,0,0,0,0,74
SACACA,atencion odontologica,consulta nueva,2021-01-01,18,3,21,21,27,51,27,98,21,21,0,11,0,0,319
SAIPINA,atencion odontologica,consulta nueva,2021-01-01,3,1,10,21,4,9,17,28,12,2,0,2,0,1,110
SALINAS DE GARCI MENDOZA,atencion odontologica,consulta nueva,2021-01-01,14,22,48,50,12,53,32,100,20,37,0,9,0,9,406
SAMAIPATA,atencion odontologica,consulta nueva,2021-01-01,8,4,6,0,0,0,5,9,0,0,0,1,0,3,36
SAN ANDRES,atencion odontologica,consulta nueva,2021-01-01,4,6,4,8,10,14,26,22,4,2,0,0,0,1,101
SAN ANDRES DE MACHACA,atencion odontologica,consulta nueva,2021-01-01,12,5,9,2,1,6,14,29,6,10,0,0,0,5,99
SAN ANTONIO DE ESMORUCO,atencion odontologica,consulta nueva,2021-01-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
