,group,variable,month,ENDODONCIA MENORES DE 5 AÑOS,ENDODONCIA MENORES DE 5 AÑOS,ENDODONCIA 5 A 13 AÑOS,ENDODONCIA 5 A 13 AÑOS,ENDODONCIA 14 A 19 AÑOS,ENDODONCIA 14 A 19 AÑOS,ENDODONCIA 20 A 59 AÑOS,ENDODONCIA 20 A 59 AÑOS,ENDODONCIA 60 AÑOS Y MAS,ENDODONCIA 60 AÑOS Y MAS,ENDODONCIA EMB,ENDODONCIA EMB,ENDODONCIA POST,ENDODONCIA POST,TOTALES
AYATA,atencion odontologica,endodoncia,2021-01-01,0,1,0,1,1,4,2,3,0,0,0,0,0,0,12
AYO AYO,atencion odontologica,endodoncia,2021-01-01,0,0,0,0,2,0,1,0,0,0,0,0,0,0,3
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica,endodoncia,2021-01-01,3,2,4,6,0,8,13,10,2,0,0,0,0,0,48
AZURDUY,atencion odontologica,endodoncia,2021-01-01,0,0,1,0,2,0,0,3,0,0,0,0,0,0,6
BATALLAS,atencion odontologica,endodoncia,2021-01-01,0,1,0,0,1,0,0,1,0,0,0,0,0,0,3
BELEN DE URMIRI,atencion odontologica,endodoncia,2021-01-01,0,0,0,4,3,1,4,9,6,0,0,0,0,0,27
BERMEJO,atencion odontologica,endodoncia,2021-01-01,1,1,1,0,2,4,6,10,0,0,0,0,0,0,25
BETANZOS,atencion odontologica,endodoncia,2021-01-01,1,2,6,5,0,4,8,8,0,0,0,0,0,0,34
BOLIVAR,atencion odontologica,endodoncia,2021-01-01,0,0,0,1,2,0,0,0,1,0,0,0,0,0,4
BOYUIBE,atencion odontologica,endodoncia,2021-01-01,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2
CABEZAS,atencion odontologica,endodoncia,2021-01-01,4,5,2,0,0,0,0,1,0,0,0,0,0,0,12
CAIROMA,atencion odontologica,endodoncia,2021-01-01,0,0,0,6,4,7,3,2,0,0,0,0,0,0,22
"CAIZA ""D""",atencion odontologica,endodoncia,2021-01-01,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4
CALAMARCA,atencion odontologica,endodoncia,2021-01-01,2,0,1,0,0,0,0,4,1,0,0,0,0,0,8
CAMARGO,atencion odontologica,endodoncia,2021-01-01,2,3,2,8,0,6,0,1,0,0,0,0,0,0,22
CAMATAQUI (C. VILLA ABECIA),atencion odontologica,endodoncia,2021-01-01,0,0,0,1,0,0,0,7,0,0,0,0,0,0,8
CAMIRI,atencion odontologica,endodoncia,2021-01-01,0,0,9,2,0,0,15,31,20,0,0,0,0,0,77
CAPINOTA,atencion odontologica,endodoncia,2021-01-01,0,3,3,3,2,1,6,13,3,4,0,0,0,0,38
CARACOLLO,atencion odontologica,endodoncia,2021-01-01,7,4,9,4,0,5,0,7,0,1,0,0,0,0,37
CARANAVI,atencion odontologica,endodoncia,2021-01-01,1,1,11,7,7,9,7,25,2,1,0,0,0,0,71
CARAPARI,atencion odontologica,endodoncia,2021-01-01,1,2,10,4,1,3,4,22,0,0,0,0,0,0,47
CARIPUYO,atencion odontologica,endodoncia,2021-01-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
CHALLAPATA,atencion odontologica,endodoncia,2021-01-01,2,0,1,1,1,1,3,10,2,0,0,0,0,0,21
CHAQUI,atencion odontologica,endodoncia,2021-01-01,2,0,1,3,2,3,0,2,1,0,0,0,0,0,14
CHARAGUA,atencion odontologica,endodoncia,2021-01-01,1,0,1,0,0,4,7,5,0,0,0,0,0,0,18
CHARAÑA,atencion odontologica,endodoncia,2021-01-01,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6
CHAYANTA,atencion odontologica,endodoncia,2021-01-01,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2
CHIMORE,atencion odontologica,endodoncia,2021-01-01,0,0,2,3,0,6,1,7,0,0,0,0,0,0,19
CHIPAYA,atencion odontologica,endodoncia,2021-01-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
CHUA COCANI,atencion odontologica,endodoncia,2021-01-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica,endodoncia,2021-01-01,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4
CHUMA,atencion odontologica,endodoncia,2021-01-01,0,0,1,2,0,0,2,6,0,0,0,0,0,0,11
CHUQUIHUTA AYLLU JUCUMANI,atencion odontologica,endodoncia,2021-01-01,0,1,0,2,0,1,2,5,2,0,0,0,0,0,13
CKOCHAS,atencion odontologica,endodoncia,2021-01-01,0,0,1,0,0,0,0,3,0,0,0,0,0,0,4
CLIZA,atencion odontologica,endodoncia,2021-01-01,0,0,7,6,3,5,1,9,1,0,0,0,0,0,32
COBIJA,atencion odontologica,endodoncia,2021-01-01,0,1,1,1,3,0,2,6,0,0,0,0,0,0,14
COCAPATA,atencion odontologica,endodoncia,2021-01-01,1,1,1,0,0,0,0,4,0,0,0,0,0,0,7
COCHABAMBA,atencion odontologica,endodoncia,2021-01-01,78,66,96,87,82,136,440,560,107,68,0,0,0,0,1720
COLCAPIRHUA,atencion odontologica,endodoncia,2021-01-01,0,0,0,1,0,2,2,2,1,0,0,0,0,0,8
"COLCHA ""K""",atencion odontologica,endodoncia,2021-01-01,0,0,1,1,0,1,0,1,0,0,0,0,0,0,4
COLLANA,atencion odontologica,endodoncia,2021-01-01,0,0,0,0,0,1,3,1,0,0,0,0,0,0,5
COLOMI,atencion odontologica,endodoncia,2021-01-01,0,0,1,1,2,3,3,1,0,0,0,0,0,0,11
COLPA BELGICA,atencion odontologica,endodoncia,2021-01-01,0,1,1,2,1,1,1,5,0,0,0,0,0,0,12
COLQUECHACA,atencion odontologica,endodoncia,2021-01-01,3,3,3,8,0,12,2,23,0,0,0,0,0,0,54
COLQUENCHA,atencion odontologica,endodoncia,2021-01-01,1,0,1,2,3,2,1,1,0,0,0,0,0,0,11
COLQUIRI,atencion odontologica,endodoncia,2021-01-01,0,0,1,0,3,5,3,4,0,0,0,0,0,0,16
COMBAYA,atencion odontologica,endodoncia,2021-01-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
COPACABANA,atencion odontologica,endodoncia,2021-01-01,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2
CORIPATA,atencion odontologica,endodoncia,2021-01-01,0,0,0,1,0,0,0,1,1,0,0,0,0,0,3
COROICO,atencion odontologica,endodoncia,2021-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
CORQUE,atencion odontologica,endodoncia,2021-01-01,0,0,0,0,0,1,0,3,0,1,0,0,0,0,5
COTAGAITA,atencion odontologica,endodoncia,2021-01-01,4,6,9,10,11,10,7,37,3,3,0,0,0,0,100
CUATRO CAÑADAS,atencion odontologica,endodoncia,2021-01-01,9,3,7,41,0,33,7,32,1,0,0,0,0,0,133
CUCHUMUELA (V. G. VILLARROEL),atencion odontologica,endodoncia,2021-01-01,0,2,1,2,0,0,1,1,0,0,0,0,0,0,7
CUEVO,atencion odontologica,endodoncia,2021-01-01,0,0,0,0,0,1,0,4,0,0,0,0,0,0,5
CULPINA,atencion odontologica,endodoncia,2021-01-01,0,0,1,4,1,5,6,8,2,1,0,0,0,0,28
CURAHUARA DE CARANGAS,atencion odontologica,endodoncia,2021-01-01,0,0,0,2,0,0,1,2,0,0,0,0,0,0,5
CURVA,atencion odontologica,endodoncia,2021-01-01,0,0,0,1,0,2,0,0,0,0,0,0,0,0,3
DESAGUADERO,atencion odontologica,endodoncia,2021-01-01,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2
EL ALTO,atencion odontologica,endodoncia,2021-01-01,65,18,85,51,25,36,43,80,17,4,0,0,0,0,424
EL PUENTE(STC),atencion odontologica,endodoncia,2021-01-01,0,0,1,8,3,11,5,8,3,0,0,0,0,0,39
EL PUENTE(TJA),atencion odontologica,endodoncia,2021-01-01,1,0,0,1,1,1,1,2,0,0,0,0,0,0,7
EL TORNO,atencion odontologica,endodoncia,2021-01-01,5,0,0,1,3,3,3,13,2,3,0,0,0,0,33
EL VILLAR,atencion odontologica,endodoncia,2021-01-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
ENTRE RIOS TRJ,atencion odontologica,endodoncia,2021-01-01,0,0,1,3,0,0,4,10,0,0,0,0,0,0,18
ENTRE RIOS CBBA,atencion odontologica,endodoncia,2021-01-01,0,1,0,0,0,2,1,4,4,0,0,0,0,0,12
ESMERALDA,atencion odontologica,endodoncia,2021-01-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
EUCALIPTUS,atencion odontologica,endodoncia,2021-01-01,0,0,1,0,0,1,0,2,0,0,0,0,0,0,4
GRAL. J.J. PEREZ (CHARAZANI),atencion odontologica,endodoncia,2021-01-01,2,0,2,1,0,5,1,4,1,0,0,0,0,0,16
GUANAY,atencion odontologica,endodoncia,2021-01-01,0,0,1,0,2,0,1,7,0,0,0,0,0,0,11
GUAQUI,atencion odontologica,endodoncia,2021-01-01,1,0,0,0,0,2,2,5,0,0,0,0,0,0,10
GUAYARAMERIN,atencion odontologica,endodoncia,2021-01-01,0,0,0,1,1,2,3,2,0,0,0,0,0,0,9
HUANUNI,atencion odontologica,endodoncia,2021-01-01,1,0,5,7,4,17,4,14,0,5,0,0,0,0,57
HUARACAJE,atencion odontologica,endodoncia,2021-01-01,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2
HUATAJATA,atencion odontologica,endodoncia,2021-01-01,0,0,1,3,0,2,1,3,0,0,0,0,0,0,10
HUMANATA,atencion odontologica,endodoncia,2021-01-01,0,0,1,1,3,5,1,3,0,0,0,0,0,0,14
ICHOCA,atencion odontologica,endodoncia,2021-01-01,2,0,0,0,0,0,3,2,1,0,0,0,0,0,8
ICLA,atencion odontologica,endodoncia,2021-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
INCAHUASI,atencion odontologica,endodoncia,2021-01-01,0,0,0,1,1,0,2,5,0,0,0,0,0,0,9
IRUPANA (VILLA DE LANZA),atencion odontologica,endodoncia,2021-01-01,0,0,4,4,0,3,2,3,0,0,0,0,0,0,16
IXIAMAS,atencion odontologica,endodoncia,2021-01-01,0,1,0,0,1,0,0,4,0,0,0,0,0,0,6
JESUS DE MACHACA,atencion odontologica,endodoncia,2021-01-01,0,1,0,0,2,4,5,8,2,0,0,0,0,0,22
LA ASUNTA,atencion odontologica,endodoncia,2021-01-01,1,1,7,4,3,18,9,23,0,0,0,0,0,0,66
LA PAZ,atencion odontologica,endodoncia,2021-01-01,53,55,97,75,38,59,206,439,60,27,0,0,0,0,1109
LAGUNILLAS,atencion odontologica,endodoncia,2021-01-01,0,0,0,1,0,0,0,3,0,0,0,0,0,0,4
LAJA,atencion odontologica,endodoncia,2021-01-01,0,1,5,1,1,1,1,0,0,0,0,0,0,0,10
LAS CARRERAS,atencion odontologica,endodoncia,2021-01-01,0,0,0,0,0,1,2,4,0,0,0,0,0,0,7
LLALLAGUA,atencion odontologica,endodoncia,2021-01-01,6,1,2,6,2,1,0,11,2,0,0,0,0,0,31
MACHACAMARCA,atencion odontologica,endodoncia,2021-01-01,0,0,0,0,0,1,1,2,0,1,0,0,0,0,5
MAPIRI,atencion odontologica,endodoncia,2021-01-01,0,1,0,0,0,3,0,7,0,0,0,0,0,0,11
MECAPACA,atencion odontologica,endodoncia,2021-01-01,1,1,10,6,1,4,5,14,2,2,0,0,0,0,46
MIZQUE,atencion odontologica,endodoncia,2021-01-01,3,2,3,7,0,3,1,0,0,1,0,0,0,0,20
MOCOMOCO,atencion odontologica,endodoncia,2021-01-01,0,0,0,1,2,3,1,0,1,0,0,0,0,0,8
MOJOCOYA,atencion odontologica,endodoncia,2021-01-01,0,0,3,1,1,0,2,5,0,0,0,0,0,0,12
MONTEAGUDO,atencion odontologica,endodoncia,2021-01-01,0,0,0,3,0,2,2,6,0,0,0,0,0,0,13
MONTERO,atencion odontologica,endodoncia,2021-01-01,0,2,4,5,0,4,3,12,5,2,0,0,0,0,37
MORO MORO,atencion odontologica,endodoncia,2021-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
MOROCHATA,atencion odontologica,endodoncia,2021-01-01,0,0,4,0,0,0,1,0,0,0,0,0,0,0,5
OCURI,atencion odontologica,endodoncia,2021-01-01,0,0,0,0,0,1,3,5,14,1,0,0,0,0,24
OMEREQUE,atencion odontologica,endodoncia,2021-01-01,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2
ORURO,atencion odontologica,endodoncia,2021-01-01,20,39,110,118,31,75,150,215,31,6,0,0,0,0,795
PADCAYA,atencion odontologica,endodoncia,2021-01-01,0,0,2,1,1,3,0,2,0,0,0,0,0,0,9
PADILLA,atencion odontologica,endodoncia,2021-01-01,0,0,3,0,0,0,0,2,3,0,0,0,0,0,8
PAILON,atencion odontologica,endodoncia,2021-01-01,6,0,0,0,0,1,1,1,0,0,0,0,0,0,9
PALCA,atencion odontologica,endodoncia,2021-01-01,1,4,1,7,2,8,8,26,1,0,0,0,0,0,58
PALOS BLANCOS,atencion odontologica,endodoncia,2021-01-01,1,0,0,4,1,0,2,3,0,0,0,0,0,0,11
PAMPA GRANDE,atencion odontologica,endodoncia,2021-01-01,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2
PAPEL PAMPA,atencion odontologica,endodoncia,2021-01-01,0,0,0,1,0,0,2,4,4,1,0,0,0,0,12
PASORAPA,atencion odontologica,endodoncia,2021-01-01,0,0,0,0,0,0,0,2,1,0,0,0,0,0,3
PATACAMAYA,atencion odontologica,endodoncia,2021-01-01,0,6,14,18,2,3,0,6,0,0,0,0,0,0,49
PAZÑA,atencion odontologica,endodoncia,2021-01-01,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2
PELECHUCO,atencion odontologica,endodoncia,2021-01-01,2,0,2,3,0,0,0,1,0,0,0,0,0,0,8
POCOATA,atencion odontologica,endodoncia,2021-01-01,0,0,2,2,1,1,1,0,0,0,0,0,0,0,7
POCONA,atencion odontologica,endodoncia,2021-01-01,0,0,0,1,0,1,1,5,0,0,0,0,0,0,8
POJO (CBBA),atencion odontologica,endodoncia,2021-01-01,0,0,1,4,3,2,0,3,0,0,0,0,0,0,13
POOPO,atencion odontologica,endodoncia,2021-01-01,0,0,0,1,0,1,0,5,1,0,0,0,0,0,8
PORCO,atencion odontologica,endodoncia,2021-01-01,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2
POROMA,atencion odontologica,endodoncia,2021-01-01,0,0,0,2,2,1,2,2,0,0,0,0,0,0,9
PORONGO,atencion odontologica,endodoncia,2021-01-01,0,0,0,0,0,2,0,2,0,0,0,0,0,0,4
PORVENIR,atencion odontologica,endodoncia,2021-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
POTOSI,atencion odontologica,endodoncia,2021-01-01,14,7,36,40,7,25,30,102,5,2,0,0,0,0,268
PRESTO,atencion odontologica,endodoncia,2021-01-01,0,0,0,3,2,1,3,12,2,0,0,0,0,0,23
PUCARANI,atencion odontologica,endodoncia,2021-01-01,0,2,1,8,2,9,5,19,1,0,0,0,0,0,47
PUERTO ACOSTA,atencion odontologica,endodoncia,2021-01-01,0,0,0,0,0,3,7,3,1,2,0,0,0,0,16
PUERTO CARABUCO,atencion odontologica,endodoncia,2021-01-01,0,0,0,0,3,1,0,0,1,0,0,0,0,0,5
PUERTO GONZALO MORENO,atencion odontologica,endodoncia,2021-01-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
PUERTO PEREZ,atencion odontologica,endodoncia,2021-01-01,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2
PUERTO QUIJARRO,atencion odontologica,endodoncia,2021-01-01,0,0,0,0,0,1,0,2,0,0,0,0,0,0,3
PUERTO RICO,atencion odontologica,endodoncia,2021-01-01,0,0,1,2,1,0,0,3,0,0,0,0,0,0,7
PUERTO SUAREZ,atencion odontologica,endodoncia,2021-01-01,0,4,0,1,0,3,2,2,0,1,0,0,0,0,13
PUERTO VILLARROEL,atencion odontologica,endodoncia,2021-01-01,4,1,8,11,18,19,7,35,0,0,0,0,0,0,103
PUNA,atencion odontologica,endodoncia,2021-01-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
PUNATA,atencion odontologica,endodoncia,2021-01-01,7,3,0,4,2,4,1,8,3,0,0,0,0,0,32
QUIABAYA,atencion odontologica,endodoncia,2021-01-01,1,0,2,0,2,3,0,6,0,0,0,0,0,0,14
QUILLACOLLO,atencion odontologica,endodoncia,2021-01-01,10,8,11,14,6,4,13,22,2,1,0,0,0,0,91
QUIME,atencion odontologica,endodoncia,2021-01-01,0,4,2,1,1,4,0,6,0,0,0,0,0,0,18
RAVELO,atencion odontologica,endodoncia,2021-01-01,0,4,1,0,1,0,6,5,0,0,0,0,0,0,17
REYES,atencion odontologica,endodoncia,2021-01-01,1,1,1,1,0,2,3,3,0,0,0,0,0,0,12
RIBERALTA,atencion odontologica,endodoncia,2021-01-01,1,0,4,4,0,10,0,20,0,1,0,0,0,0,40
ROBORE,atencion odontologica,endodoncia,2021-01-01,0,1,3,7,1,6,29,27,5,4,0,0,0,0,83
RURRENABAQUE,atencion odontologica,endodoncia,2021-01-01,2,1,0,0,0,0,1,1,0,0,0,0,0,0,5
SABAYA,atencion odontologica,endodoncia,2021-01-01,1,0,0,1,0,1,0,0,0,2,0,0,0,0,5
SACABA,atencion odontologica,endodoncia,2021-01-01,9,4,13,9,2,2,27,30,11,1,0,0,0,0,108
SACACA,atencion odontologica,endodoncia,2021-01-01,0,0,0,2,0,8,1,3,0,0,0,0,0,0,14
SAIPINA,atencion odontologica,endodoncia,2021-01-01,1,0,0,3,1,1,2,4,0,0,0,0,0,0,12
SALINAS DE GARCI MENDOZA,atencion odontologica,endodoncia,2021-01-01,0,1,0,1,1,3,2,12,2,0,0,0,0,0,22
SAN ANDRES,atencion odontologica,endodoncia,2021-01-01,0,0,0,1,3,3,8,6,2,2,0,0,0,0,25
SAN ANDRES DE MACHACA,atencion odontologica,endodoncia,2021-01-01,0,1,0,0,1,1,6,2,0,0,0,0,0,0,11
SAN BORJA,atencion odontologica,endodoncia,2021-01-01,0,0,0,1,0,2,0,0,0,0,0,0,0,0,3
SAN BUENA VENTURA,atencion odontologica,endodoncia,2021-01-01,1,0,1,2,0,0,0,0,0,0,0,0,0,0,4
SAN CARLOS,atencion odontologica,endodoncia,2021-01-01,0,2,4,2,2,6,1,4,1,0,0,0,0,0,22
SAN IGNACIO,atencion odontologica,endodoncia,2021-01-01,1,0,0,0,4,5,0,1,2,0,0,0,0,0,13
SAN IGNACIO DE VELASCO,atencion odontologica,endodoncia,2021-01-01,1,0,0,0,0,0,0,6,0,0,0,0,0,0,7
SAN JAVIER(STC),atencion odontologica,endodoncia,2021-01-01,1,1,0,0,1,0,0,2,0,0,0,0,0,0,5
SAN JOAQUIN,atencion odontologica,endodoncia,2021-01-01,0,1,0,4,0,6,3,17,0,0,0,0,0,0,31
SAN JOSE DE CHIQUITOS,atencion odontologica,endodoncia,2021-01-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
SAN JUAN DE YAPACANI,atencion odontologica,endodoncia,2021-01-01,3,2,5,1,0,0,0,0,0,0,0,0,0,0,11
SAN JULIAN,atencion odontologica,endodoncia,2021-01-01,10,14,3,10,0,0,5,0,8,3,0,0,0,0,53
SAN LORENZO(PND),atencion odontologica,endodoncia,2021-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
SAN LORENZO(TJA),atencion odontologica,endodoncia,2021-01-01,0,0,2,4,0,2,2,7,0,0,0,0,0,0,17
SAN LUCAS,atencion odontologica,endodoncia,2021-01-01,1,7,2,19,7,19,6,30,0,1,0,0,0,0,92
SAN MATIAS,atencion odontologica,endodoncia,2021-01-01,0,0,2,4,0,2,1,11,2,0,0,0,0,0,22
SAN MIGUEL DE VELASCO,atencion odontologica,endodoncia,2021-01-01,0,0,0,0,1,2,0,0,0,0,0,0,0,0,3
SAN PEDRO,atencion odontologica,endodoncia,2021-01-01,0,0,4,5,6,1,6,6,0,0,0,0,0,0,28
SAN PEDRO DE BUENA VISTA,atencion odontologica,endodoncia,2021-01-01,0,6,2,6,0,1,6,12,0,0,0,0,0,0,33
SAN PEDRO DE CURAHUARA,atencion odontologica,endodoncia,2021-01-01,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2
SAN PEDRO DE MACHA,atencion odontologica,endodoncia,2021-01-01,4,1,5,5,11,11,17,38,1,0,0,0,0,0,93
SAN RAMON BENI,atencion odontologica,endodoncia,2021-01-01,0,0,0,1,0,0,0,11,0,0,0,0,0,0,12
SANTA CRUZ DE LA SIERRA,atencion odontologica,endodoncia,2021-01-01,17,22,36,46,35,47,197,323,69,35,0,0,0,0,827
SANTA ROSA DEL SARA,atencion odontologica,endodoncia,2021-01-01,0,0,3,0,0,1,5,5,0,0,0,0,0,0,14
SANTIAGO DE HUARI,atencion odontologica,endodoncia,2021-01-01,0,2,2,0,0,0,4,4,0,0,0,0,0,0,12
SANTIAGO DE HUATA,atencion odontologica,endodoncia,2021-01-01,0,0,0,0,2,1,1,5,0,0,0,0,0,0,9
SANTIAGO DE MACHACA,atencion odontologica,endodoncia,2021-01-01,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2
SANTIVAÑES,atencion odontologica,endodoncia,2021-01-01,0,0,0,1,0,0,0,2,0,0,0,0,0,0,3
SANTUARIO DE QUILLACAS,atencion odontologica,endodoncia,2021-01-01,0,0,1,0,0,1,0,1,1,1,0,0,0,0,5
SAPAHAQUI,atencion odontologica,endodoncia,2021-01-01,0,0,2,1,0,0,3,2,0,0,0,0,0,0,8
SENA,atencion odontologica,endodoncia,2021-01-01,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2
SHINAOTA,atencion odontologica,endodoncia,2021-01-01,0,0,0,0,0,0,3,1,0,0,0,0,0,0,4
SIPE SIPE,atencion odontologica,endodoncia,2021-01-01,6,2,6,8,5,1,1,5,0,2,0,0,0,0,36
SOPACHUY,atencion odontologica,endodoncia,2021-01-01,0,0,1,2,2,5,2,3,0,1,0,0,0,0,16
SORACACHI,atencion odontologica,endodoncia,2021-01-01,1,0,4,4,2,0,4,1,0,0,0,0,0,0,16
SORATA,atencion odontologica,endodoncia,2021-01-01,0,10,10,11,0,4,2,8,3,1,0,0,0,0,49
SUCRE,atencion odontologica,endodoncia,2021-01-01,24,25,61,62,14,32,63,129,10,3,0,0,0,0,423
TACACHI,atencion odontologica,endodoncia,2021-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
TACACOMA,atencion odontologica,endodoncia,2021-01-01,0,0,1,1,0,4,2,9,0,1,0,0,0,0,18
TACOBAMBA,atencion odontologica,endodoncia,2021-01-01,0,0,0,1,1,0,0,1,0,0,0,0,0,0,3
TACOPAYA,atencion odontologica,endodoncia,2021-01-01,0,0,0,0,1,0,4,9,4,3,0,0,0,0,21
TAHUA,atencion odontologica,endodoncia,2021-01-01,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2
TAPACARI,atencion odontologica,endodoncia,2021-01-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
TARABUCO,atencion odontologica,endodoncia,2021-01-01,0,1,1,3,1,8,2,7,0,1,0,0,0,0,24
TARACO,atencion odontologica,endodoncia,2021-01-01,0,0,1,1,2,4,2,4,0,1,0,0,0,0,15
TARATA,atencion odontologica,endodoncia,2021-01-01,0,0,0,1,0,0,0,4,0,2,0,0,0,0,7
TARIJA,atencion odontologica,endodoncia,2021-01-01,5,4,12,25,9,18,38,78,17,5,0,0,0,0,211
TARVITA,atencion odontologica,endodoncia,2021-01-01,1,1,1,4,3,2,2,11,0,0,0,0,0,0,25
TEOPONTE,atencion odontologica,endodoncia,2021-01-01,0,0,0,0,0,0,2,3,0,0,0,0,0,0,5
TIAHUANACU,atencion odontologica,endodoncia,2021-01-01,1,0,4,9,3,0,5,2,0,0,0,0,0,0,24
TINGUIPAYA,atencion odontologica,endodoncia,2021-01-01,0,0,0,1,0,1,8,3,1,0,0,0,0,0,14
TIPUANI,atencion odontologica,endodoncia,2021-01-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
TIQUIPAYA,atencion odontologica,endodoncia,2021-01-01,3,5,2,7,0,4,4,5,0,0,0,0,0,0,30
TIRAQUE (CBBA),atencion odontologica,endodoncia,2021-01-01,0,0,2,3,1,1,1,1,0,0,0,0,0,0,9
TITO YUPANQUI (PARQUIPUJIO),atencion odontologica,endodoncia,2021-01-01,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2
TOCO,atencion odontologica,endodoncia,2021-01-01,0,0,1,1,2,0,1,3,0,0,0,0,0,0,8
TODOS SANTOS,atencion odontologica,endodoncia,2021-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
TOLATA,atencion odontologica,endodoncia,2021-01-01,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2
TOLEDO,atencion odontologica,endodoncia,2021-01-01,0,0,0,0,0,0,1,2,0,0,0,0,0,0,3
TOMAVE,atencion odontologica,endodoncia,2021-01-01,0,0,2,3,2,3,3,13,0,0,0,0,0,0,26
TOMINA,atencion odontologica,endodoncia,2021-01-01,0,3,0,6,0,0,1,3,0,0,0,0,0,0,13
