,group,variable,month,MEDIDAS PREVENTIVAS MENORES DE 5 AÑOS,MEDIDAS PREVENTIVAS MENORES DE 5 AÑOS,MEDIDAS PREVENTIVAS 5 A 13 AÑOS,MEDIDAS PREVENTIVAS 5 A 13 AÑOS,MEDIDAS PREVENTIVAS 14 A 19 AÑOS,MEDIDAS PREVENTIVAS 14 A 19 AÑOS,MEDIDAS PREVENTIVAS 20 A 59 AÑOS,MEDIDAS PREVENTIVAS 20 A 59 AÑOS,MEDIDAS PREVENTIVAS 60 AÑOS Y MAS,MEDIDAS PREVENTIVAS 60 AÑOS Y MAS,MEDIDAS PREVENTIVAS EMB,MEDIDAS PREVENTIVAS EMB,MEDIDAS PREVENTIVAS POST,MEDIDAS PREVENTIVAS POST,TOTALES
ARANI,atencion odontologica,medidas preventivas,2021-01-01,10,9,14,17,32,13,13,34,0,4,0,0,0,0,146
ARBIETO,atencion odontologica,medidas preventivas,2021-01-01,27,35,61,52,13,27,10,44,4,4,0,0,0,0,277
ARQUE,atencion odontologica,medidas preventivas,2021-01-01,13,3,10,9,3,13,4,10,3,2,0,0,0,0,70
ASCENCION DE GUARAYOS,atencion odontologica,medidas preventivas,2021-01-01,109,108,18,9,0,0,0,0,0,0,0,0,0,0,244
ATOCHA,atencion odontologica,medidas preventivas,2021-01-01,13,10,44,51,18,24,65,71,7,4,0,0,0,0,307
AUCAPATA,atencion odontologica,medidas preventivas,2021-01-01,1,2,0,4,5,5,12,18,0,0,0,0,0,0,47
AYATA,atencion odontologica,medidas preventivas,2021-01-01,7,15,3,4,0,0,0,0,0,0,0,0,0,0,29
AYO AYO,atencion odontologica,medidas preventivas,2021-01-01,0,5,0,0,1,0,0,0,0,0,0,0,0,0,6
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica,medidas preventivas,2021-01-01,11,18,47,52,6,33,48,73,8,6,0,0,0,0,302
AZURDUY,atencion odontologica,medidas preventivas,2021-01-01,0,8,0,5,2,1,1,6,0,0,0,0,0,0,23
BATALLAS,atencion odontologica,medidas preventivas,2021-01-01,1,0,1,2,0,0,0,0,0,0,0,0,0,0,4
BELEN DE ANDAMARCA,atencion odontologica,medidas preventivas,2021-01-01,2,6,2,0,0,2,4,8,2,0,0,0,0,0,26
BELEN DE URMIRI,atencion odontologica,medidas preventivas,2021-01-01,8,12,2,12,1,2,9,7,3,1,0,0,0,0,57
BERMEJO,atencion odontologica,medidas preventivas,2021-01-01,7,4,11,27,21,13,21,69,15,0,0,0,0,0,188
BETANZOS,atencion odontologica,medidas preventivas,2021-01-01,35,49,15,15,1,3,1,2,2,0,0,0,0,0,123
BOLIVAR,atencion odontologica,medidas preventivas,2021-01-01,1,12,5,6,5,6,5,8,2,3,0,0,0,0,53
BOLPEBRA,atencion odontologica,medidas preventivas,2021-01-01,0,0,1,2,0,3,0,1,0,0,0,0,0,0,7
BOYUIBE,atencion odontologica,medidas preventivas,2021-01-01,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2
BUENA VISTA,atencion odontologica,medidas preventivas,2021-01-01,0,1,1,4,2,2,2,1,0,0,0,0,0,0,13
CABEZAS,atencion odontologica,medidas preventivas,2021-01-01,34,41,22,23,7,8,4,11,2,0,0,0,0,0,152
CAIROMA,atencion odontologica,medidas preventivas,2021-01-01,0,0,1,4,0,0,0,0,0,0,0,0,0,0,5
"CAIZA ""D""",atencion odontologica,medidas preventivas,2021-01-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
CALAMARCA,atencion odontologica,medidas preventivas,2021-01-01,1,0,1,0,0,0,0,3,0,1,0,0,0,0,6
CAMARGO,atencion odontologica,medidas preventivas,2021-01-01,0,14,6,7,1,1,2,0,0,0,0,0,0,0,31
CAMATAQUI (C. VILLA ABECIA),atencion odontologica,medidas preventivas,2021-01-01,0,0,8,5,2,8,0,3,0,0,0,0,0,0,26
CAMIRI,atencion odontologica,medidas preventivas,2021-01-01,33,36,7,5,4,0,11,19,12,1,0,0,0,0,128
CAPINOTA,atencion odontologica,medidas preventivas,2021-01-01,26,32,82,91,26,37,23,53,11,12,0,0,0,0,393
CAQUIAVIRI,atencion odontologica,medidas preventivas,2021-01-01,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2
CARACOLLO,atencion odontologica,medidas preventivas,2021-01-01,9,18,40,43,22,24,15,55,4,2,0,0,0,0,232
CARANAVI,atencion odontologica,medidas preventivas,2021-01-01,24,37,20,23,4,9,10,33,0,0,0,0,0,0,160
CARAPARI,atencion odontologica,medidas preventivas,2021-01-01,10,2,12,24,3,5,7,26,16,1,0,0,0,0,106
CARIPUYO,atencion odontologica,medidas preventivas,2021-01-01,1,4,0,4,0,0,0,3,0,0,0,0,0,0,12
CATACORA,atencion odontologica,medidas preventivas,2021-01-01,1,1,2,3,1,0,0,1,0,0,0,0,0,0,9
CHACARILLA,atencion odontologica,medidas preventivas,2021-01-01,2,0,4,4,0,0,1,6,5,3,0,0,0,0,25
CHALLAPATA,atencion odontologica,medidas preventivas,2021-01-01,50,58,62,59,15,28,3,11,2,3,0,0,0,0,291
CHAQUI,atencion odontologica,medidas preventivas,2021-01-01,17,11,4,6,0,2,1,11,2,1,0,0,0,0,55
CHARAGUA,atencion odontologica,medidas preventivas,2021-01-01,36,30,0,0,3,3,0,6,6,11,0,0,0,0,95
CHARAÑA,atencion odontologica,medidas preventivas,2021-01-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CHAYANTA,atencion odontologica,medidas preventivas,2021-01-01,0,0,0,1,0,0,1,3,0,0,0,0,0,0,5
CHIMORE,atencion odontologica,medidas preventivas,2021-01-01,17,14,22,23,7,25,6,16,1,1,0,0,0,0,132
CHIPAYA,atencion odontologica,medidas preventivas,2021-01-01,2,3,10,5,6,0,0,3,0,0,0,0,0,0,29
CHOQUE COTA,atencion odontologica,medidas preventivas,2021-01-01,0,0,2,0,0,0,0,4,4,2,0,0,0,0,12
CHUA COCANI,atencion odontologica,medidas preventivas,2021-01-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica,medidas preventivas,2021-01-01,0,0,1,2,0,0,0,0,0,0,0,0,0,0,3
CHUMA,atencion odontologica,medidas preventivas,2021-01-01,7,7,9,9,0,5,4,7,0,0,0,0,0,0,48
CHUQUIHUTA AYLLU JUCUMANI,atencion odontologica,medidas preventivas,2021-01-01,6,6,6,7,2,10,5,11,0,5,0,0,0,0,58
CKOCHAS,atencion odontologica,medidas preventivas,2021-01-01,24,16,2,3,0,4,4,13,2,0,0,0,0,0,68
CLIZA,atencion odontologica,medidas preventivas,2021-01-01,5,25,43,17,31,26,6,22,6,0,0,0,0,0,181
COBIJA,atencion odontologica,medidas preventivas,2021-01-01,22,7,9,12,2,20,5,39,3,0,0,0,0,0,119
COCAPATA,atencion odontologica,medidas preventivas,2021-01-01,4,5,8,20,7,41,3,7,0,1,0,0,0,0,96
COCHABAMBA,atencion odontologica,medidas preventivas,2021-01-01,492,560,1218,1230,689,849,1266,2158,607,424,0,0,0,0,9493
COIPASA,atencion odontologica,medidas preventivas,2021-01-01,0,0,0,0,0,0,1,3,0,0,0,0,0,0,4
COLCAPIRHUA,atencion odontologica,medidas preventivas,2021-01-01,31,60,56,50,22,56,18,45,7,7,0,0,0,0,352
"COLCHA ""K""",atencion odontologica,medidas preventivas,2021-01-01,6,0,11,1,0,1,0,4,0,0,0,0,0,0,23
COLLANA,atencion odontologica,medidas preventivas,2021-01-01,0,1,4,3,4,2,3,2,1,0,0,0,0,0,20
COLOMI,atencion odontologica,medidas preventivas,2021-01-01,31,41,20,34,10,32,18,27,1,2,0,0,0,0,216
COLPA BELGICA,atencion odontologica,medidas preventivas,2021-01-01,2,8,12,32,8,6,14,26,0,0,0,0,0,0,108
COLQUECHACA,atencion odontologica,medidas preventivas,2021-01-01,16,8,38,45,7,47,23,83,11,12,0,0,0,0,290
COLQUENCHA,atencion odontologica,medidas preventivas,2021-01-01,6,0,11,6,18,7,9,16,2,0,0,0,0,0,75
COLQUIRI,atencion odontologica,medidas preventivas,2021-01-01,2,2,21,21,17,16,24,21,5,11,0,0,0,0,140
COMARAPA,atencion odontologica,medidas preventivas,2021-01-01,1,0,1,13,1,7,2,6,0,1,0,0,0,0,32
CORIPATA,atencion odontologica,medidas preventivas,2021-01-01,6,5,15,0,1,0,0,0,0,0,0,0,0,0,27
CORO CORO,atencion odontologica,medidas preventivas,2021-01-01,0,3,6,11,0,4,1,2,0,0,0,0,0,0,27
COROICO,atencion odontologica,medidas preventivas,2021-01-01,0,0,9,10,4,2,2,1,1,1,0,0,0,0,30
CORQUE,atencion odontologica,medidas preventivas,2021-01-01,1,2,5,11,5,9,9,14,7,12,0,0,0,0,75
COTAGAITA,atencion odontologica,medidas preventivas,2021-01-01,7,16,13,11,3,11,12,22,3,2,0,0,0,0,100
COTOCA,atencion odontologica,medidas preventivas,2021-01-01,5,10,5,6,0,1,2,6,0,0,0,0,0,0,35
CRUZ DE MACHACAMARCA,atencion odontologica,medidas preventivas,2021-01-01,0,0,2,2,0,0,1,0,2,2,0,0,0,0,9
CUATRO CAÑADAS,atencion odontologica,medidas preventivas,2021-01-01,28,80,17,20,2,7,8,12,0,0,0,0,0,0,174
CUCHUMUELA (V. G. VILLARROEL),atencion odontologica,medidas preventivas,2021-01-01,6,8,7,10,3,4,5,9,1,0,0,0,0,0,53
CUEVO,atencion odontologica,medidas preventivas,2021-01-01,2,2,0,0,0,0,0,3,0,0,0,0,0,0,7
CULPINA,atencion odontologica,medidas preventivas,2021-01-01,11,14,0,5,0,3,3,8,0,0,0,0,0,0,44
CURAHUARA DE CARANGAS,atencion odontologica,medidas preventivas,2021-01-01,1,0,13,6,0,1,1,1,0,0,0,0,0,0,23
CURVA,atencion odontologica,medidas preventivas,2021-01-01,12,8,0,3,0,2,0,0,1,1,0,0,0,0,27
DESAGUADERO,atencion odontologica,medidas preventivas,2021-01-01,0,0,2,0,0,0,1,2,0,0,0,0,0,0,5
EL ALTO,atencion odontologica,medidas preventivas,2021-01-01,156,139,259,245,153,135,135,360,28,16,0,0,0,0,1626
EL CHORO,atencion odontologica,medidas preventivas,2021-01-01,1,3,9,7,0,3,4,8,0,1,0,0,0,0,36
EL PUENTE(STC),atencion odontologica,medidas preventivas,2021-01-01,10,24,18,30,6,16,16,38,2,2,0,0,0,0,162
EL PUENTE(TJA),atencion odontologica,medidas preventivas,2021-01-01,0,1,1,4,0,2,2,9,0,0,0,0,0,0,19
EL TORNO,atencion odontologica,medidas preventivas,2021-01-01,326,317,17,4,6,3,2,25,0,0,0,0,0,0,700
EL VILLAR,atencion odontologica,medidas preventivas,2021-01-01,0,0,0,0,0,1,0,6,0,0,0,0,0,0,7
ENTRE RIOS TRJ,atencion odontologica,medidas preventivas,2021-01-01,11,0,4,5,1,6,2,8,0,1,0,0,0,0,38
ENTRE RIOS CBBA,atencion odontologica,medidas preventivas,2021-01-01,35,33,31,35,11,30,19,44,4,1,0,0,0,0,243
ESCARA,atencion odontologica,medidas preventivas,2021-01-01,0,0,0,0,1,0,2,0,1,0,0,0,0,0,4
ESMERALDA,atencion odontologica,medidas preventivas,2021-01-01,0,1,1,0,0,0,1,1,0,1,0,0,0,0,5
EUCALIPTUS,atencion odontologica,medidas preventivas,2021-01-01,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5
FERNANDEZ ALONSO,atencion odontologica,medidas preventivas,2021-01-01,0,1,3,0,1,3,2,8,2,0,0,0,0,0,20
FILADELFIA,atencion odontologica,medidas preventivas,2021-01-01,4,16,20,18,1,1,0,0,0,0,0,0,0,0,60
GENERAL SAAVEDRA,atencion odontologica,medidas preventivas,2021-01-01,0,1,0,0,1,0,0,1,0,0,0,0,0,0,3
GRAL. J.J. PEREZ (CHARAZANI),atencion odontologica,medidas preventivas,2021-01-01,8,9,11,16,6,9,7,11,2,0,0,0,0,0,79
GUANAY,atencion odontologica,medidas preventivas,2021-01-01,0,0,6,2,0,3,1,3,0,0,0,0,0,0,15
GUAQUI,atencion odontologica,medidas preventivas,2021-01-01,2,1,0,1,0,0,0,4,9,3,0,0,0,0,20
GUAYARAMERIN,atencion odontologica,medidas preventivas,2021-01-01,2,0,4,12,1,7,3,14,0,0,0,0,0,0,43
HUACARETA,atencion odontologica,medidas preventivas,2021-01-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
HUACAYA (VILLA DE HUACAYA),atencion odontologica,medidas preventivas,2021-01-01,4,3,3,9,0,0,0,1,0,0,0,0,0,0,20
HUACHACALLA,atencion odontologica,medidas preventivas,2021-01-01,0,2,0,0,0,4,0,0,0,0,0,0,0,0,6
HUANUNI,atencion odontologica,medidas preventivas,2021-01-01,20,10,85,151,36,64,55,75,12,15,0,0,0,0,523
HUATAJATA,atencion odontologica,medidas preventivas,2021-01-01,1,0,0,2,1,0,1,0,0,0,0,0,0,0,5
HUAYLLAMARCA,atencion odontologica,medidas preventivas,2021-01-01,7,9,16,17,2,4,6,11,6,3,0,0,0,0,81
HUMANATA,atencion odontologica,medidas preventivas,2021-01-01,2,7,19,9,22,25,24,22,6,7,0,0,0,0,143
ICHOCA,atencion odontologica,medidas preventivas,2021-01-01,2,5,1,0,3,1,12,12,8,0,0,0,0,0,44
ICLA,atencion odontologica,medidas preventivas,2021-01-01,32,48,2,1,1,4,2,10,1,0,0,0,0,0,101
INCAHUASI,atencion odontologica,medidas preventivas,2021-01-01,0,5,15,31,3,2,1,2,0,0,0,0,0,0,59
INQUISIVI,atencion odontologica,medidas preventivas,2021-01-01,5,1,0,2,0,0,0,0,0,0,0,0,0,0,8
IRUPANA (VILLA DE LANZA),atencion odontologica,medidas preventivas,2021-01-01,35,43,40,24,19,26,0,12,0,0,0,0,0,0,199
IXIAMAS,atencion odontologica,medidas preventivas,2021-01-01,1,0,10,4,5,0,0,3,2,0,0,0,0,0,25
JESUS DE MACHACA,atencion odontologica,medidas preventivas,2021-01-01,7,4,4,1,1,2,0,3,2,3,0,0,0,0,27
LA ASUNTA,atencion odontologica,medidas preventivas,2021-01-01,25,33,39,53,11,21,21,48,1,1,0,0,0,0,253
LA GUARDIA,atencion odontologica,medidas preventivas,2021-01-01,16,12,0,0,0,1,1,4,4,6,0,0,0,0,44
LA PAZ,atencion odontologica,medidas preventivas,2021-01-01,361,346,882,949,174,235,498,933,199,139,0,0,0,0,4716
LA RIVERA,atencion odontologica,medidas preventivas,2021-01-01,2,0,5,3,0,0,0,0,0,0,0,0,0,0,10
LAJA,atencion odontologica,medidas preventivas,2021-01-01,25,27,6,11,2,14,0,0,0,0,0,0,0,0,85
LAS CARRERAS,atencion odontologica,medidas preventivas,2021-01-01,2,0,2,1,1,1,0,1,0,0,0,0,0,0,8
LLALLAGUA,atencion odontologica,medidas preventivas,2021-01-01,21,26,8,33,40,45,10,22,2,4,0,0,0,0,211
LORETO,atencion odontologica,medidas preventivas,2021-01-01,0,0,0,1,0,0,2,1,1,1,0,0,0,0,6
LURIBAY,atencion odontologica,medidas preventivas,2021-01-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
MACHACAMARCA,atencion odontologica,medidas preventivas,2021-01-01,3,3,1,13,5,7,10,4,4,2,0,0,0,0,52
MAGDALENA,atencion odontologica,medidas preventivas,2021-01-01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
MALLA,atencion odontologica,medidas preventivas,2021-01-01,0,1,0,1,1,0,1,2,0,0,0,0,0,0,6
MAPIRI,atencion odontologica,medidas preventivas,2021-01-01,1,8,7,13,1,2,1,5,0,0,0,0,0,0,38
MECAPACA,atencion odontologica,medidas preventivas,2021-01-01,1,0,2,11,0,2,2,0,0,0,0,0,0,0,18
MIZQUE,atencion odontologica,medidas preventivas,2021-01-01,9,4,9,13,1,5,4,13,0,0,0,0,0,0,58
MOCOMOCO,atencion odontologica,medidas preventivas,2021-01-01,1,3,0,2,1,1,2,1,0,0,0,0,0,0,11
MOJINETE,atencion odontologica,medidas preventivas,2021-01-01,0,0,1,1,1,1,0,4,1,1,0,0,0,0,10
MOJOCOYA,atencion odontologica,medidas preventivas,2021-01-01,20,45,18,20,3,6,9,39,6,2,0,0,0,0,168
MONTEAGUDO,atencion odontologica,medidas preventivas,2021-01-01,0,4,2,34,2,19,8,2,0,0,0,0,0,0,71
MONTERO,atencion odontologica,medidas preventivas,2021-01-01,36,52,54,74,12,29,7,68,6,3,0,0,0,0,341
MORO MORO,atencion odontologica,medidas preventivas,2021-01-01,4,4,1,1,1,0,0,1,0,0,0,0,0,0,12
MOROCHATA,atencion odontologica,medidas preventivas,2021-01-01,2,2,4,5,4,3,3,11,0,0,0,0,0,0,34
NACEBE (SANTA ROSA DEL ABUNA),atencion odontologica,medidas preventivas,2021-01-01,2,3,2,4,0,0,0,0,0,0,0,0,0,0,11
NAZACARA DE PACAJES,atencion odontologica,medidas preventivas,2021-01-01,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4
OCURI,atencion odontologica,medidas preventivas,2021-01-01,18,19,29,62,19,18,5,12,36,29,0,0,0,0,247
OMEREQUE,atencion odontologica,medidas preventivas,2021-01-01,3,1,12,14,1,9,7,11,3,0,0,0,0,0,61
ORURO,atencion odontologica,medidas preventivas,2021-01-01,98,133,345,559,182,242,292,460,64,43,0,0,0,0,2418
PADCAYA,atencion odontologica,medidas preventivas,2021-01-01,0,0,0,2,1,0,1,4,0,0,0,0,0,0,8
PADILLA,atencion odontologica,medidas preventivas,2021-01-01,0,0,12,4,3,3,3,32,1,1,0,0,0,0,59
PAILON,atencion odontologica,medidas preventivas,2021-01-01,21,9,3,2,2,0,3,1,1,1,0,0,0,0,43
PALCA,atencion odontologica,medidas preventivas,2021-01-01,10,12,10,10,1,3,2,6,5,1,0,0,0,0,60
PALOS BLANCOS,atencion odontologica,medidas preventivas,2021-01-01,8,5,2,9,1,1,2,8,1,0,0,0,0,0,37
PAMPA GRANDE,atencion odontologica,medidas preventivas,2021-01-01,1,2,0,2,0,0,0,2,1,0,0,0,0,0,8
PAPEL PAMPA,atencion odontologica,medidas preventivas,2021-01-01,1,3,3,0,4,1,11,15,20,18,0,0,0,0,76
PASORAPA,atencion odontologica,medidas preventivas,2021-01-01,4,2,11,5,6,5,5,14,2,0,0,0,0,0,54
PATACAMAYA,atencion odontologica,medidas preventivas,2021-01-01,47,39,10,2,0,1,0,0,0,0,0,0,0,0,99
PAZÑA,atencion odontologica,medidas preventivas,2021-01-01,0,5,12,10,3,8,2,7,1,0,0,0,0,0,48
PELECHUCO,atencion odontologica,medidas preventivas,2021-01-01,19,12,2,0,0,1,0,3,0,0,0,0,0,0,37
POCOATA,atencion odontologica,medidas preventivas,2021-01-01,29,30,12,29,8,15,20,50,7,10,0,0,0,0,210
POCONA,atencion odontologica,medidas preventivas,2021-01-01,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4
POJO (CBBA),atencion odontologica,medidas preventivas,2021-01-01,2,5,8,11,3,13,6,16,0,1,0,0,0,0,65
POOPO,atencion odontologica,medidas preventivas,2021-01-01,7,7,7,11,3,4,15,25,2,1,0,0,0,0,82
PORCO,atencion odontologica,medidas preventivas,2021-01-01,10,3,7,15,1,8,4,25,0,0,0,0,0,0,73
POROMA,atencion odontologica,medidas preventivas,2021-01-01,10,4,0,5,0,0,0,2,0,0,0,0,0,0,21
PORONGO,atencion odontologica,medidas preventivas,2021-01-01,16,9,12,11,7,13,7,27,9,12,0,0,0,0,123
PORVENIR,atencion odontologica,medidas preventivas,2021-01-01,6,0,3,7,1,1,1,5,1,0,0,0,0,0,25
POTOSI,atencion odontologica,medidas preventivas,2021-01-01,36,41,43,72,6,23,18,38,0,1,0,0,0,0,278
PRESTO,atencion odontologica,medidas preventivas,2021-01-01,1,3,31,7,4,8,20,47,6,2,0,0,0,0,129
PUCARA,atencion odontologica,medidas preventivas,2021-01-01,6,10,0,3,0,0,0,0,0,0,0,0,0,0,19
PUCARANI,atencion odontologica,medidas preventivas,2021-01-01,33,34,15,8,5,5,7,21,3,5,0,0,0,0,136
PUERTO ACOSTA,atencion odontologica,medidas preventivas,2021-01-01,3,2,1,0,0,0,0,1,0,0,0,0,0,0,7
PUERTO CARABUCO,atencion odontologica,medidas preventivas,2021-01-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
PUERTO GONZALO MORENO,atencion odontologica,medidas preventivas,2021-01-01,4,4,3,16,2,7,2,1,0,0,0,0,0,0,39
PUERTO QUIJARRO,atencion odontologica,medidas preventivas,2021-01-01,6,18,1,3,2,0,0,1,0,0,0,0,0,0,31
PUERTO RICO,atencion odontologica,medidas preventivas,2021-01-01,0,0,2,1,0,0,0,0,0,0,0,0,0,0,3
PUERTO SUAREZ,atencion odontologica,medidas preventivas,2021-01-01,2,4,9,3,0,1,4,6,0,2,0,0,0,0,31
PUERTO VILLARROEL,atencion odontologica,medidas preventivas,2021-01-01,10,1,29,26,0,12,3,7,0,0,0,0,0,0,88
PUNA,atencion odontologica,medidas preventivas,2021-01-01,1,0,0,0,0,2,0,0,0,0,0,0,0,0,3
PUNATA,atencion odontologica,medidas preventivas,2021-01-01,63,46,72,163,53,97,64,163,16,9,0,0,0,0,746
QUIABAYA,atencion odontologica,medidas preventivas,2021-01-01,4,7,2,0,0,0,0,0,0,0,0,0,0,0,13
QUILLACOLLO,atencion odontologica,medidas preventivas,2021-01-01,68,130,243,327,131,176,232,394,72,44,0,0,0,0,1817
QUIME,atencion odontologica,medidas preventivas,2021-01-01,0,4,12,3,0,1,2,0,0,0,0,0,0,0,22
QUIRUSILLAS,atencion odontologica,medidas preventivas,2021-01-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
RAVELO,atencion odontologica,medidas preventivas,2021-01-01,4,8,1,4,0,2,7,9,12,9,0,0,0,0,56
REYES,atencion odontologica,medidas preventivas,2021-01-01,3,1,0,3,1,0,1,0,0,0,0,0,0,0,9
RIBERALTA,atencion odontologica,medidas preventivas,2021-01-01,20,22,9,18,2,23,4,69,0,3,0,0,0,0,170
ROBORE,atencion odontologica,medidas preventivas,2021-01-01,2,1,10,7,0,3,2,5,0,0,0,0,0,0,30
RURRENABAQUE,atencion odontologica,medidas preventivas,2021-01-01,9,10,10,12,4,5,12,10,3,2,0,0,0,0,77
SABAYA,atencion odontologica,medidas preventivas,2021-01-01,1,3,4,3,1,2,2,4,1,2,0,0,0,0,23
SACABA,atencion odontologica,medidas preventivas,2021-01-01,35,49,91,107,35,83,46,139,32,13,0,0,0,0,630
SACABAMBA,atencion odontologica,medidas preventivas,2021-01-01,0,2,6,3,1,1,0,1,0,0,0,0,0,0,14
SACACA,atencion odontologica,medidas preventivas,2021-01-01,4,1,2,1,1,3,0,12,4,4,0,0,0,0,32
SAIPINA,atencion odontologica,medidas preventivas,2021-01-01,0,0,1,0,0,1,0,3,0,0,0,0,0,0,5
SALINAS DE GARCI MENDOZA,atencion odontologica,medidas preventivas,2021-01-01,0,4,12,4,2,5,0,2,0,1,0,0,0,0,30
SAN ANDRES,atencion odontologica,medidas preventivas,2021-01-01,6,8,2,6,2,4,6,6,0,0,0,0,0,0,40
SAN ANDRES DE MACHACA,atencion odontologica,medidas preventivas,2021-01-01,8,3,2,0,0,0,0,1,0,0,0,0,0,0,14
SAN ANTONIO DE LOMERIO,atencion odontologica,medidas preventivas,2021-01-01,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2
SAN BENITO,atencion odontologica,medidas preventivas,2021-01-01,3,2,7,12,4,6,3,17,4,1,0,0,0,0,59
SAN BORJA,atencion odontologica,medidas preventivas,2021-01-01,3,7,11,25,2,3,3,13,7,0,0,0,0,0,74
SAN BUENA VENTURA,atencion odontologica,medidas preventivas,2021-01-01,0,2,7,2,0,0,0,5,0,0,0,0,0,0,16
SAN CARLOS,atencion odontologica,medidas preventivas,2021-01-01,4,1,3,10,3,1,0,2,0,0,0,0,0,0,24
SAN IGNACIO,atencion odontologica,medidas preventivas,2021-01-01,0,2,11,10,4,2,4,8,0,1,0,0,0,0,42
SAN IGNACIO DE VELASCO,atencion odontologica,medidas preventivas,2021-01-01,2,0,10,6,1,1,1,2,1,0,0,0,0,0,24
SAN JAVIER(BNI),atencion odontologica,medidas preventivas,2021-01-01,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2
SAN JAVIER(STC),atencion odontologica,medidas preventivas,2021-01-01,6,2,0,0,0,0,0,0,0,0,0,0,0,0,8
SAN JOAQUIN,atencion odontologica,medidas preventivas,2021-01-01,2,0,0,0,0,2,1,2,0,0,0,0,0,0,7
SAN JOSE DE CHIQUITOS,atencion odontologica,medidas preventivas,2021-01-01,0,0,10,7,9,0,0,0,0,1,0,0,0,0,27
SAN JUAN DE YAPACANI,atencion odontologica,medidas preventivas,2021-01-01,1,7,0,0,0,0,1,1,0,0,0,0,0,0,10
SAN JULIAN,atencion odontologica,medidas preventivas,2021-01-01,70,67,39,56,12,17,15,54,0,2,0,0,0,0,332
SAN LORENZO(PND),atencion odontologica,medidas preventivas,2021-01-01,0,0,0,3,0,0,0,2,0,0,0,0,0,0,5
SAN LORENZO(TJA),atencion odontologica,medidas preventivas,2021-01-01,1,1,5,4,0,3,3,4,0,0,0,0,0,0,21
