,group,variable,month,CIRUGIA BUCOMAXILOFACIAL MEDIANA MENORES DE 5 AÑOS,CIRUGIA BUCOMAXILOFACIAL MEDIANA MENORES DE 5 AÑOS,CIRUGIA BUCOMAXILOFACIAL MEDIANA 5 A 13 AÑOS,CIRUGIA BUCOMAXILOFACIAL MEDIANA 5 A 13 AÑOS,CIRUGIA BUCOMAXILOFACIAL MEDIANA 14 A 19 AÑOS,CIRUGIA BUCOMAXILOFACIAL MEDIANA 14 A 19 AÑOS,CIRUGIA BUCOMAXILOFACIAL MEDIANA 20 A 59 AÑOS,CIRUGIA BUCOMAXILOFACIAL MEDIANA 20 A 59 AÑOS,CIRUGIA BUCOMAXILOFACIAL MEDIANA 60 AÑOS Y MAS,CIRUGIA BUCOMAXILOFACIAL MEDIANA 60 AÑOS Y MAS,CIRUGIA BUCOMAXILOFACIAL MEDIANA EMB,CIRUGIA BUCOMAXILOFACIAL MEDIANA EMB,CIRUGIA BUCOMAXILOFACIAL MEDIANA POST,CIRUGIA BUCOMAXILOFACIAL MEDIANA POST,TOTALES
MAGDALENA,atencion odontologica,cirugia bucomaxilofacial mediana,2021-01-01,2,1,3,2,3,2,0,0,0,0,0,0,0,0,13
MECAPACA,atencion odontologica,cirugia bucomaxilofacial mediana,2021-01-01,0,1,2,6,1,4,3,4,0,0,0,0,0,0,21
MONTERO,atencion odontologica,cirugia bucomaxilofacial mediana,2021-01-01,0,0,4,9,1,4,4,16,4,3,0,0,0,0,45
ORURO,atencion odontologica,cirugia bucomaxilofacial mediana,2021-01-01,1,0,2,1,2,7,6,7,6,0,0,0,0,0,32
POTOSI,atencion odontologica,cirugia bucomaxilofacial mediana,2021-01-01,0,0,0,0,0,5,0,9,4,0,0,0,0,0,18
PUERTO QUIJARRO,atencion odontologica,cirugia bucomaxilofacial mediana,2021-01-01,0,0,2,1,1,0,2,0,1,0,0,0,0,0,7
PUERTO SUAREZ,atencion odontologica,cirugia bucomaxilofacial mediana,2021-01-01,0,0,6,1,0,0,0,1,1,5,0,0,0,0,14
PUERTO VILLARROEL,atencion odontologica,cirugia bucomaxilofacial mediana,2021-01-01,0,0,0,3,0,0,3,10,0,0,0,0,0,0,16
SACABA,atencion odontologica,cirugia bucomaxilofacial mediana,2021-01-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
SAN PEDRO DE MACHA,atencion odontologica,cirugia bucomaxilofacial mediana,2021-01-01,0,0,2,5,1,1,0,16,9,4,0,0,0,0,38
SANTA CRUZ DE LA SIERRA,atencion odontologica,cirugia bucomaxilofacial mediana,2021-01-01,2,0,0,0,0,0,3,1,0,0,0,0,0,0,6
SOPACHUY,atencion odontologica,cirugia bucomaxilofacial mediana,2021-01-01,0,1,1,3,0,1,1,1,0,0,0,0,0,0,8
SUCRE,atencion odontologica,cirugia bucomaxilofacial mediana,2021-01-01,0,0,0,1,2,0,0,0,0,0,0,0,0,0,3
TARIJA,atencion odontologica,cirugia bucomaxilofacial mediana,2021-01-01,0,0,1,0,0,2,1,0,1,0,0,0,0,0,5
TRINIDAD,atencion odontologica,cirugia bucomaxilofacial mediana,2021-01-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
TUPIZA,atencion odontologica,cirugia bucomaxilofacial mediana,2021-01-01,0,0,5,6,0,1,2,1,4,0,0,0,0,0,19
VIACHA,atencion odontologica,cirugia bucomaxilofacial mediana,2021-01-01,0,2,24,24,10,6,14,23,4,7,0,0,0,0,114
VILLA SERRANO,atencion odontologica,cirugia bucomaxilofacial mediana,2021-01-01,34,32,0,0,0,0,6,2,0,0,0,0,0,0,74
WARNES,atencion odontologica,cirugia bucomaxilofacial mediana,2021-01-01,0,0,1,1,0,0,1,5,1,0,0,0,0,0,9
YAPACANI,atencion odontologica,cirugia bucomaxilofacial mediana,2021-01-01,2,0,0,6,3,1,6,5,1,1,0,0,0,0,25
CABEZAS,atencion odontologica,cirugia bucomaxilofacial mediana,2021-02-01,0,0,4,4,0,0,2,0,0,0,0,0,0,0,10
CAMIRI,atencion odontologica,cirugia bucomaxilofacial mediana,2021-02-01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
COCHABAMBA,atencion odontologica,cirugia bucomaxilofacial mediana,2021-02-01,0,0,0,6,12,9,17,22,9,5,0,0,0,0,80
EL ALTO,atencion odontologica,cirugia bucomaxilofacial mediana,2021-02-01,0,0,5,3,1,5,2,0,0,0,0,0,0,0,16
FERNANDEZ ALONSO,atencion odontologica,cirugia bucomaxilofacial mediana,2021-02-01,0,0,0,2,2,0,2,3,2,1,0,0,0,0,12
LA PAZ,atencion odontologica,cirugia bucomaxilofacial mediana,2021-02-01,5,2,1,2,0,0,1,3,0,2,0,0,0,0,16
MAGDALENA,atencion odontologica,cirugia bucomaxilofacial mediana,2021-02-01,0,0,0,1,1,1,1,4,0,0,0,0,0,0,8
MECAPACA,atencion odontologica,cirugia bucomaxilofacial mediana,2021-02-01,0,1,2,7,1,4,1,8,1,0,0,0,0,0,25
ORURO,atencion odontologica,cirugia bucomaxilofacial mediana,2021-02-01,0,0,1,0,2,2,9,6,0,1,0,0,0,0,21
POTOSI,atencion odontologica,cirugia bucomaxilofacial mediana,2021-02-01,0,0,0,1,0,1,0,14,5,0,0,0,0,0,21
PUERTO SUAREZ,atencion odontologica,cirugia bucomaxilofacial mediana,2021-02-01,0,0,0,0,0,0,1,1,0,2,0,0,0,0,4
PUERTO VILLARROEL,atencion odontologica,cirugia bucomaxilofacial mediana,2021-02-01,0,0,2,1,0,1,0,15,0,0,0,0,0,0,19
REYES,atencion odontologica,cirugia bucomaxilofacial mediana,2021-02-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
SAN IGNACIO,atencion odontologica,cirugia bucomaxilofacial mediana,2021-02-01,0,0,4,4,1,0,0,2,0,0,0,0,0,0,11
SAN JAVIER(STC),atencion odontologica,cirugia bucomaxilofacial mediana,2021-02-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
SAN JUAN DE YAPACANI,atencion odontologica,cirugia bucomaxilofacial mediana,2021-02-01,0,0,1,0,2,2,0,0,0,0,0,0,0,0,5
SAN PEDRO DE MACHA,atencion odontologica,cirugia bucomaxilofacial mediana,2021-02-01,0,0,4,4,1,0,1,7,3,4,0,0,0,0,24
SANTA CRUZ DE LA SIERRA,atencion odontologica,cirugia bucomaxilofacial mediana,2021-02-01,0,0,0,0,0,0,0,7,0,0,0,0,0,0,7
SIPE SIPE,atencion odontologica,cirugia bucomaxilofacial mediana,2021-02-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
SUCRE,atencion odontologica,cirugia bucomaxilofacial mediana,2021-02-01,0,0,0,0,0,0,2,4,0,0,0,0,0,0,6
TARIJA,atencion odontologica,cirugia bucomaxilofacial mediana,2021-02-01,0,3,0,3,0,5,2,2,3,0,0,0,0,0,18
TUPIZA,atencion odontologica,cirugia bucomaxilofacial mediana,2021-02-01,0,0,5,2,0,0,5,3,6,0,0,0,0,0,21
VIACHA,atencion odontologica,cirugia bucomaxilofacial mediana,2021-02-01,0,0,2,9,1,3,7,5,13,0,0,0,0,0,40
WARNES,atencion odontologica,cirugia bucomaxilofacial mediana,2021-02-01,0,0,0,1,0,0,1,1,0,2,0,0,0,0,5
YOCALLA,atencion odontologica,cirugia bucomaxilofacial mediana,2021-02-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
ASCENCION DE GUARAYOS,atencion odontologica,cirugia bucomaxilofacial mediana,2021-03-01,0,0,0,3,4,1,2,15,2,4,0,0,0,0,31
CAMIRI,atencion odontologica,cirugia bucomaxilofacial mediana,2021-03-01,0,0,0,0,1,0,6,6,2,5,0,0,0,0,20
CARMEN RIVERO TORREZ,atencion odontologica,cirugia bucomaxilofacial mediana,2021-03-01,0,1,9,6,2,0,2,8,0,0,0,0,0,0,28
COCHABAMBA,atencion odontologica,cirugia bucomaxilofacial mediana,2021-03-01,0,0,5,4,3,0,11,17,0,5,0,0,0,0,45
EL ALTO,atencion odontologica,cirugia bucomaxilofacial mediana,2021-03-01,0,0,16,22,11,18,29,24,10,7,0,0,0,0,137
EL TORNO,atencion odontologica,cirugia bucomaxilofacial mediana,2021-03-01,0,0,5,2,1,1,1,5,11,3,0,0,0,0,29
ENTRE RIOS TRJ,atencion odontologica,cirugia bucomaxilofacial mediana,2021-03-01,0,0,0,2,0,1,2,1,0,1,0,0,0,0,7
GUAYARAMERIN,atencion odontologica,cirugia bucomaxilofacial mediana,2021-03-01,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5
LA PAZ,atencion odontologica,cirugia bucomaxilofacial mediana,2021-03-01,0,0,6,7,3,6,10,18,5,5,0,0,0,0,60
LAGUNILLAS,atencion odontologica,cirugia bucomaxilofacial mediana,2021-03-01,0,0,0,1,0,0,1,2,1,0,0,0,0,0,5
LORETO,atencion odontologica,cirugia bucomaxilofacial mediana,2021-03-01,0,0,0,2,0,0,1,1,1,2,0,0,0,0,7
ORURO,atencion odontologica,cirugia bucomaxilofacial mediana,2021-03-01,1,0,10,8,3,2,5,13,4,5,0,0,0,0,51
PALCA,atencion odontologica,cirugia bucomaxilofacial mediana,2021-03-01,0,0,1,0,1,3,3,5,3,1,0,0,0,0,17
PATACAMAYA,atencion odontologica,cirugia bucomaxilofacial mediana,2021-03-01,1,0,10,14,5,11,4,27,1,3,0,0,0,0,76
POOPO,atencion odontologica,cirugia bucomaxilofacial mediana,2021-03-01,0,0,5,4,1,0,8,5,3,0,0,0,0,0,26
PORVENIR,atencion odontologica,cirugia bucomaxilofacial mediana,2021-03-01,0,0,4,3,1,0,2,6,1,0,0,0,0,0,17
POTOSI,atencion odontologica,cirugia bucomaxilofacial mediana,2021-03-01,0,0,0,0,0,1,1,4,0,0,0,0,0,0,6
PUERTO SUAREZ,atencion odontologica,cirugia bucomaxilofacial mediana,2021-03-01,0,0,0,2,1,0,0,0,0,0,0,0,0,0,3
SACABA,atencion odontologica,cirugia bucomaxilofacial mediana,2021-03-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
SAMAIPATA,atencion odontologica,cirugia bucomaxilofacial mediana,2021-03-01,0,0,1,1,1,0,4,10,0,0,0,0,0,0,17
SAN ANTONIO DE LOMERIO,atencion odontologica,cirugia bucomaxilofacial mediana,2021-03-01,0,0,1,1,1,1,3,6,6,0,0,0,0,0,19
SAN BORJA,atencion odontologica,cirugia bucomaxilofacial mediana,2021-03-01,0,0,1,4,0,1,2,15,5,2,0,0,0,0,30
SAN BUENA VENTURA,atencion odontologica,cirugia bucomaxilofacial mediana,2021-03-01,0,2,6,5,0,1,2,8,1,0,0,0,0,0,25
SAN JULIAN,atencion odontologica,cirugia bucomaxilofacial mediana,2021-03-01,0,0,2,2,0,0,1,2,0,0,0,0,0,0,7
SAN PEDRO DE MACHA,atencion odontologica,cirugia bucomaxilofacial mediana,2021-03-01,0,0,0,0,0,0,1,7,5,0,0,0,0,0,13
SANTA CRUZ DE LA SIERRA,atencion odontologica,cirugia bucomaxilofacial mediana,2021-03-01,0,0,0,0,0,2,4,5,0,0,0,0,0,0,11
SIPE SIPE,atencion odontologica,cirugia bucomaxilofacial mediana,2021-03-01,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2
SUCRE,atencion odontologica,cirugia bucomaxilofacial mediana,2021-03-01,0,0,5,0,0,0,0,2,0,0,0,0,0,0,7
TARABUCO,atencion odontologica,cirugia bucomaxilofacial mediana,2021-03-01,0,0,0,0,2,1,0,2,0,0,0,0,0,0,5
TARIJA,atencion odontologica,cirugia bucomaxilofacial mediana,2021-03-01,0,0,0,2,0,0,1,4,2,2,0,0,0,0,11
TRINIDAD,atencion odontologica,cirugia bucomaxilofacial mediana,2021-03-01,0,0,0,2,0,0,1,3,0,0,0,0,0,0,6
TUPIZA,atencion odontologica,cirugia bucomaxilofacial mediana,2021-03-01,0,0,0,2,0,6,6,2,12,9,0,0,0,0,37
UNCIA,atencion odontologica,cirugia bucomaxilofacial mediana,2021-03-01,0,0,1,0,0,1,2,2,1,1,0,0,0,0,8
ACHOCALLA,atencion odontologica,cirugia bucomaxilofacial mediana,2021-04-01,1,0,0,4,1,0,0,6,1,0,0,0,0,0,13
COCHABAMBA,atencion odontologica,cirugia bucomaxilofacial mediana,2021-04-01,0,0,0,0,0,0,0,4,0,2,0,0,0,0,6
EL ALTO,atencion odontologica,cirugia bucomaxilofacial mediana,2021-04-01,10,4,5,3,4,2,9,5,0,0,0,0,0,0,42
EL TORNO,atencion odontologica,cirugia bucomaxilofacial mediana,2021-04-01,0,0,1,1,0,0,1,2,0,4,0,0,0,0,9
HUANUNI,atencion odontologica,cirugia bucomaxilofacial mediana,2021-04-01,0,0,3,2,0,1,3,0,0,1,0,0,0,0,10
LA PAZ,atencion odontologica,cirugia bucomaxilofacial mediana,2021-04-01,41,17,19,15,4,2,6,3,3,8,0,0,0,0,118
ORURO,atencion odontologica,cirugia bucomaxilofacial mediana,2021-04-01,0,0,0,0,0,1,14,15,0,6,0,0,0,0,36
PALCA,atencion odontologica,cirugia bucomaxilofacial mediana,2021-04-01,0,0,0,0,1,1,7,3,3,0,0,0,0,0,15
PUERTO VILLARROEL,atencion odontologica,cirugia bucomaxilofacial mediana,2021-04-01,0,3,0,0,0,2,1,2,1,2,0,0,0,0,11
ROBORE,atencion odontologica,cirugia bucomaxilofacial mediana,2021-04-01,0,0,2,3,0,0,0,0,0,0,0,0,0,0,5
SACACA,atencion odontologica,cirugia bucomaxilofacial mediana,2021-04-01,0,0,2,5,2,2,2,7,0,8,0,0,0,0,28
SAMAIPATA,atencion odontologica,cirugia bucomaxilofacial mediana,2021-04-01,0,0,3,2,0,0,3,6,0,0,0,0,0,0,14
SAN ANDRES,atencion odontologica,cirugia bucomaxilofacial mediana,2021-04-01,0,0,0,2,0,2,2,7,0,0,0,0,0,0,13
SAN IGNACIO,atencion odontologica,cirugia bucomaxilofacial mediana,2021-04-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
SAN PEDRO DE MACHA,atencion odontologica,cirugia bucomaxilofacial mediana,2021-04-01,0,0,0,0,1,2,0,7,2,0,0,0,0,0,12
SANTA CRUZ DE LA SIERRA,atencion odontologica,cirugia bucomaxilofacial mediana,2021-04-01,0,0,0,0,0,0,0,2,3,0,0,0,0,0,5
SUCRE,atencion odontologica,cirugia bucomaxilofacial mediana,2021-04-01,0,0,2,7,0,0,4,2,2,0,0,0,0,0,17
TARABUCO,atencion odontologica,cirugia bucomaxilofacial mediana,2021-04-01,0,0,1,0,2,0,1,3,0,0,0,0,0,0,7
TARIJA,atencion odontologica,cirugia bucomaxilofacial mediana,2021-04-01,0,0,0,0,0,0,3,1,3,0,0,0,0,0,7
TRINIDAD,atencion odontologica,cirugia bucomaxilofacial mediana,2021-04-01,0,0,0,0,0,0,1,0,3,0,0,0,0,0,4
TUPIZA,atencion odontologica,cirugia bucomaxilofacial mediana,2021-04-01,0,0,1,3,1,4,1,1,9,7,0,0,0,0,27
VIACHA,atencion odontologica,cirugia bucomaxilofacial mediana,2021-04-01,3,2,16,12,1,2,7,12,13,5,0,0,0,0,73
YOCALLA,atencion odontologica,cirugia bucomaxilofacial mediana,2021-04-01,0,0,0,1,0,0,0,3,4,0,0,0,0,0,8
CAMIRI,atencion odontologica,cirugia bucomaxilofacial mediana,2021-05-01,0,1,0,1,0,0,0,2,0,0,0,0,0,0,4
CARAPARI,atencion odontologica,cirugia bucomaxilofacial mediana,2021-05-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
COCHABAMBA,atencion odontologica,cirugia bucomaxilofacial mediana,2021-05-01,0,0,3,0,1,4,2,4,0,0,0,0,0,0,14
COTAGAITA,atencion odontologica,cirugia bucomaxilofacial mediana,2021-05-01,0,0,2,6,2,3,3,4,2,1,0,0,0,0,23
EL ALTO,atencion odontologica,cirugia bucomaxilofacial mediana,2021-05-01,0,0,0,0,0,0,1,3,0,0,0,0,0,0,4
EL TORNO,atencion odontologica,cirugia bucomaxilofacial mediana,2021-05-01,0,0,1,3,0,2,0,1,0,0,0,0,0,0,7
FERNANDEZ ALONSO,atencion odontologica,cirugia bucomaxilofacial mediana,2021-05-01,0,0,1,0,0,0,1,4,1,3,0,0,0,0,10
LA PAZ,atencion odontologica,cirugia bucomaxilofacial mediana,2021-05-01,0,0,2,3,4,9,23,20,11,1,0,0,0,0,73
MECAPACA,atencion odontologica,cirugia bucomaxilofacial mediana,2021-05-01,0,0,1,0,1,0,0,0,0,1,0,0,0,0,3
ORURO,atencion odontologica,cirugia bucomaxilofacial mediana,2021-05-01,4,1,8,1,3,5,14,15,1,2,0,0,0,0,54
PALCA,atencion odontologica,cirugia bucomaxilofacial mediana,2021-05-01,0,0,1,5,8,1,11,9,1,2,0,0,0,0,38
PUERTO VILLARROEL,atencion odontologica,cirugia bucomaxilofacial mediana,2021-05-01,0,0,3,1,0,0,1,4,0,4,0,0,0,0,13
QUILLACOLLO,atencion odontologica,cirugia bucomaxilofacial mediana,2021-05-01,0,0,0,0,0,0,3,2,0,0,0,0,0,0,5
SAN PEDRO,atencion odontologica,cirugia bucomaxilofacial mediana,2021-05-01,0,0,0,0,1,0,1,2,0,0,0,0,0,0,4
SAN PEDRO DE MACHA,atencion odontologica,cirugia bucomaxilofacial mediana,2021-05-01,0,0,1,0,0,0,4,3,1,0,0,0,0,0,9
SANTA CRUZ DE LA SIERRA,atencion odontologica,cirugia bucomaxilofacial mediana,2021-05-01,18,15,6,2,0,0,1,2,2,0,0,0,0,0,46
SUCRE,atencion odontologica,cirugia bucomaxilofacial mediana,2021-05-01,1,0,10,4,1,0,11,8,3,5,0,0,0,0,43
TARABUCO,atencion odontologica,cirugia bucomaxilofacial mediana,2021-05-01,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2
TARIJA,atencion odontologica,cirugia bucomaxilofacial mediana,2021-05-01,0,0,0,0,0,0,7,2,0,1,0,0,0,0,10
TRINIDAD,atencion odontologica,cirugia bucomaxilofacial mediana,2021-05-01,1,0,1,2,0,3,0,4,2,0,0,0,0,0,13
TUPIZA,atencion odontologica,cirugia bucomaxilofacial mediana,2021-05-01,0,0,0,7,1,0,4,6,13,4,0,0,0,0,35
URIONDO (A. CONCEPCION),atencion odontologica,cirugia bucomaxilofacial mediana,2021-05-01,0,0,0,0,3,33,0,0,0,0,0,0,0,0,36
BELLA FLOR,atencion odontologica,cirugia bucomaxilofacial mediana,2021-06-01,0,0,1,1,0,0,0,1,0,0,0,0,0,0,3
BERMEJO,atencion odontologica,cirugia bucomaxilofacial mediana,2021-06-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
CAMIRI,atencion odontologica,cirugia bucomaxilofacial mediana,2021-06-01,0,0,0,1,1,2,1,5,0,0,0,0,0,0,10
CHIMORE,atencion odontologica,cirugia bucomaxilofacial mediana,2021-06-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
COBIJA,atencion odontologica,cirugia bucomaxilofacial mediana,2021-06-01,0,0,0,0,0,0,4,1,0,0,0,0,0,0,5
COCHABAMBA,atencion odontologica,cirugia bucomaxilofacial mediana,2021-06-01,1,0,4,3,0,3,10,5,1,0,0,0,0,0,27
EL ALTO,atencion odontologica,cirugia bucomaxilofacial mediana,2021-06-01,0,1,33,13,4,10,11,20,10,2,0,0,0,0,104
EL TORNO,atencion odontologica,cirugia bucomaxilofacial mediana,2021-06-01,0,0,1,5,0,0,0,0,0,0,0,0,0,0,6
FILADELFIA,atencion odontologica,cirugia bucomaxilofacial mediana,2021-06-01,0,0,2,4,1,6,2,6,3,0,0,0,0,0,24
GUAYARAMERIN,atencion odontologica,cirugia bucomaxilofacial mediana,2021-06-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
LA PAZ,atencion odontologica,cirugia bucomaxilofacial mediana,2021-06-01,2,0,21,19,11,30,0,0,0,0,0,0,0,0,83
LORETO,atencion odontologica,cirugia bucomaxilofacial mediana,2021-06-01,0,0,0,0,0,0,2,3,0,0,0,0,0,0,5
MAIRANA,atencion odontologica,cirugia bucomaxilofacial mediana,2021-06-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
ORURO,atencion odontologica,cirugia bucomaxilofacial mediana,2021-06-01,0,0,1,7,1,10,14,19,4,12,0,0,0,0,68
RIBERALTA,atencion odontologica,cirugia bucomaxilofacial mediana,2021-06-01,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
SAN RAMON BENI,atencion odontologica,cirugia bucomaxilofacial mediana,2021-06-01,0,0,0,0,0,9,0,0,0,0,0,0,0,0,9
SUCRE,atencion odontologica,cirugia bucomaxilofacial mediana,2021-06-01,0,0,0,0,0,0,0,0,3,1,0,0,0,0,4
TARABUCO,atencion odontologica,cirugia bucomaxilofacial mediana,2021-06-01,0,0,0,0,0,0,1,3,0,0,0,0,0,0,4
TRINIDAD,atencion odontologica,cirugia bucomaxilofacial mediana,2021-06-01,0,0,1,3,0,0,1,1,2,3,0,0,0,0,11
TUPIZA,atencion odontologica,cirugia bucomaxilofacial mediana,2021-06-01,0,0,1,0,0,4,1,3,3,1,0,0,0,0,13
ACHACACHI,atencion odontologica,cirugia bucomaxilofacial mediana,2021-07-01,0,0,0,0,0,0,3,2,1,0,0,0,0,0,6
COBIJA,atencion odontologica,cirugia bucomaxilofacial mediana,2021-07-01,1,0,1,1,0,2,9,0,0,0,0,0,0,0,14
COCHABAMBA,atencion odontologica,cirugia bucomaxilofacial mediana,2021-07-01,1,0,7,3,2,6,16,10,7,7,0,0,0,0,59
CORIPATA,atencion odontologica,cirugia bucomaxilofacial mediana,2021-07-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
LA PAZ,atencion odontologica,cirugia bucomaxilofacial mediana,2021-07-01,11,9,21,14,0,2,16,36,0,1,0,0,0,0,110
ORURO,atencion odontologica,cirugia bucomaxilofacial mediana,2021-07-01,2,2,7,13,5,2,21,26,13,16,0,0,0,0,107
PALOS BLANCOS,atencion odontologica,cirugia bucomaxilofacial mediana,2021-07-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
POTOSI,atencion odontologica,cirugia bucomaxilofacial mediana,2021-07-01,0,0,3,1,0,1,0,7,1,0,0,0,0,0,13
PUERTO QUIJARRO,atencion odontologica,cirugia bucomaxilofacial mediana,2021-07-01,0,0,2,8,0,0,0,2,2,0,0,0,0,0,14
RIBERALTA,atencion odontologica,cirugia bucomaxilofacial mediana,2021-07-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
SAMAIPATA,atencion odontologica,cirugia bucomaxilofacial mediana,2021-07-01,0,0,0,5,0,0,3,4,7,0,0,0,0,0,19
SANTA CRUZ DE LA SIERRA,atencion odontologica,cirugia bucomaxilofacial mediana,2021-07-01,0,0,1,0,0,0,0,2,0,1,0,0,0,0,4
SUCRE,atencion odontologica,cirugia bucomaxilofacial mediana,2021-07-01,0,0,0,0,0,0,1,14,1,0,0,0,0,0,16
TARABUCO,atencion odontologica,cirugia bucomaxilofacial mediana,2021-07-01,0,0,0,0,0,1,1,2,0,0,0,0,0,0,4
TRINIDAD,atencion odontologica,cirugia bucomaxilofacial mediana,2021-07-01,0,0,0,0,3,1,5,3,2,1,0,0,0,0,15
TUPIZA,atencion odontologica,cirugia bucomaxilofacial mediana,2021-07-01,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4
WARNES,atencion odontologica,cirugia bucomaxilofacial mediana,2021-07-01,0,0,0,0,0,0,2,4,0,0,0,0,0,0,6
BERMEJO,atencion odontologica,cirugia bucomaxilofacial mediana,2021-08-01,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2
CARAPARI,atencion odontologica,cirugia bucomaxilofacial mediana,2021-08-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica,cirugia bucomaxilofacial mediana,2021-08-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
COBIJA,atencion odontologica,cirugia bucomaxilofacial mediana,2021-08-01,0,0,0,0,1,0,3,4,0,0,0,0,0,0,8
COCHABAMBA,atencion odontologica,cirugia bucomaxilofacial mediana,2021-08-01,0,0,0,0,0,1,3,2,0,1,0,0,0,0,7
COLCAPIRHUA,atencion odontologica,cirugia bucomaxilofacial mediana,2021-08-01,0,0,0,2,2,0,0,0,0,0,0,0,0,0,4
EL ALTO,atencion odontologica,cirugia bucomaxilofacial mediana,2021-08-01,0,1,3,0,0,0,0,0,0,0,0,0,0,0,4
LA PAZ,atencion odontologica,cirugia bucomaxilofacial mediana,2021-08-01,6,9,3,2,0,0,2,1,2,3,0,0,0,0,28
MACHACAMARCA,atencion odontologica,cirugia bucomaxilofacial mediana,2021-08-01,0,0,0,0,0,1,1,0,3,2,0,0,0,0,7
ORURO,atencion odontologica,cirugia bucomaxilofacial mediana,2021-08-01,11,10,1,5,13,4,21,24,8,4,0,0,0,0,101
POTOSI,atencion odontologica,cirugia bucomaxilofacial mediana,2021-08-01,0,0,3,1,0,0,1,3,0,5,0,0,0,0,13
PUERTO QUIJARRO,atencion odontologica,cirugia bucomaxilofacial mediana,2021-08-01,0,0,2,1,0,0,1,1,0,0,0,0,0,0,5
QUIRUSILLAS,atencion odontologica,cirugia bucomaxilofacial mediana,2021-08-01,0,0,2,3,2,5,1,9,5,0,0,0,0,0,27
