,group,variable,month,TRAT. ODONTOLÓGICO INTEGRAL TERMINADO MENORES DE 5 AÑOS,TRAT. ODONTOLÓGICO INTEGRAL TERMINADO MENORES DE 5 AÑOS,TRAT. ODONTOLÓGICO INTEGRAL TERMINADO 5 A 13 AÑOS,TRAT. ODONTOLÓGICO INTEGRAL TERMINADO 5 A 13 AÑOS,TRAT. ODONTOLÓGICO INTEGRAL TERMINADO 14 A 19 AÑOS,TRAT. ODONTOLÓGICO INTEGRAL TERMINADO 14 A 19 AÑOS,TRAT. ODONTOLÓGICO INTEGRAL TERMINADO 20 A 59 AÑOS,TRAT. ODONTOLÓGICO INTEGRAL TERMINADO 20 A 59 AÑOS,TRAT. ODONTOLÓGICO INTEGRAL TERMINADO 60 AÑOS Y MAS,TRAT. ODONTOLÓGICO INTEGRAL TERMINADO 60 AÑOS Y MAS,TRAT. ODONTOLÓGICO INTEGRAL TERMINADO EMB,TRAT. ODONTOLÓGICO INTEGRAL TERMINADO EMB,TRAT. ODONTOLÓGICO INTEGRAL TERMINADO EMB,TRAT. ODONTOLÓGICO INTEGRAL TERMINADO EMB,TOTALES
ORURO,atencion odontologica,trat. odontologico integral terminado,2021-02-01,5,5,6,12,2,6,4,24,3,2,0,0,0,0,69
SAN LUCAS,atencion odontologica,trat. odontologico integral terminado,2021-02-01,0,1,14,20,6,18,4,32,2,6,0,0,0,0,103
SUCRE,atencion odontologica,trat. odontologico integral terminado,2021-02-01,12,7,3,1,0,0,2,0,0,0,0,0,0,0,25
YACUIBA,atencion odontologica,trat. odontologico integral terminado,2021-02-01,0,0,2,1,1,0,2,7,0,0,0,0,0,0,13
CHALLAPATA,atencion odontologica,trat. odontologico integral terminado,2021-03-01,0,0,0,1,1,2,0,1,0,0,0,0,0,0,5
EL VILLAR,atencion odontologica,trat. odontologico integral terminado,2021-03-01,0,0,1,0,0,2,1,0,0,0,0,0,0,0,4
MONTEAGUDO,atencion odontologica,trat. odontologico integral terminado,2021-03-01,0,0,2,3,1,2,1,3,1,0,0,0,0,0,13
ORURO,atencion odontologica,trat. odontologico integral terminado,2021-03-01,8,21,31,41,11,14,12,118,2,18,0,0,0,0,276
SAN LUCAS,atencion odontologica,trat. odontologico integral terminado,2021-03-01,27,27,24,25,13,25,8,49,5,1,0,0,0,0,204
SHINAOTA,atencion odontologica,trat. odontologico integral terminado,2021-03-01,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2
SUCRE,atencion odontologica,trat. odontologico integral terminado,2021-03-01,3,4,3,5,0,0,1,2,0,0,0,0,0,0,18
TRINIDAD,atencion odontologica,trat. odontologico integral terminado,2021-03-01,0,0,0,2,1,0,0,1,0,0,0,0,0,0,4
YACUIBA,atencion odontologica,trat. odontologico integral terminado,2021-03-01,0,0,1,6,0,0,1,2,0,0,0,0,0,0,10
AIQUILE,atencion odontologica,trat. odontologico integral terminado,2021-04-01,2,0,5,2,0,3,1,3,1,0,0,0,0,0,17
ASCENCION DE GUARAYOS,atencion odontologica,trat. odontologico integral terminado,2021-04-01,1,1,4,1,1,2,1,2,0,0,0,0,0,0,13
CAPINOTA,atencion odontologica,trat. odontologico integral terminado,2021-04-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
CHALLAPATA,atencion odontologica,trat. odontologico integral terminado,2021-04-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
COBIJA,atencion odontologica,trat. odontologico integral terminado,2021-04-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
COCHABAMBA,atencion odontologica,trat. odontologico integral terminado,2021-04-01,12,7,23,20,3,10,24,36,11,9,0,0,0,0,155
COLPA BELGICA,atencion odontologica,trat. odontologico integral terminado,2021-04-01,8,9,30,15,3,16,9,35,4,5,0,0,0,0,134
COTAGAITA,atencion odontologica,trat. odontologico integral terminado,2021-04-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
EL ALTO,atencion odontologica,trat. odontologico integral terminado,2021-04-01,0,0,5,3,0,0,0,6,0,0,0,0,0,0,14
EL VILLAR,atencion odontologica,trat. odontologico integral terminado,2021-04-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
HUANUNI,atencion odontologica,trat. odontologico integral terminado,2021-04-01,0,0,1,2,0,2,0,2,0,0,0,0,0,0,7
LA PAZ,atencion odontologica,trat. odontologico integral terminado,2021-04-01,15,14,21,24,1,1,3,1,2,2,0,0,0,0,84
MONTEAGUDO,atencion odontologica,trat. odontologico integral terminado,2021-04-01,0,0,0,2,1,0,1,1,1,0,0,0,0,0,6
ORURO,atencion odontologica,trat. odontologico integral terminado,2021-04-01,3,2,3,5,4,11,12,22,1,0,0,0,0,0,63
PAZÑA,atencion odontologica,trat. odontologico integral terminado,2021-04-01,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2
POTOSI,atencion odontologica,trat. odontologico integral terminado,2021-04-01,15,9,25,23,6,21,85,184,14,9,0,0,0,0,391
PUERTO RICO,atencion odontologica,trat. odontologico integral terminado,2021-04-01,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2
PUNATA,atencion odontologica,trat. odontologico integral terminado,2021-04-01,0,0,1,0,0,0,2,1,0,1,0,0,0,0,5
QUILLACOLLO,atencion odontologica,trat. odontologico integral terminado,2021-04-01,1,0,1,1,0,0,1,7,1,0,0,0,0,0,12
RIBERALTA,atencion odontologica,trat. odontologico integral terminado,2021-04-01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
SACABA,atencion odontologica,trat. odontologico integral terminado,2021-04-01,0,0,1,2,0,2,1,8,1,0,0,0,0,0,15
SAN BORJA,atencion odontologica,trat. odontologico integral terminado,2021-04-01,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2
SAN LUCAS,atencion odontologica,trat. odontologico integral terminado,2021-04-01,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2
SUCRE,atencion odontologica,trat. odontologico integral terminado,2021-04-01,4,4,1,5,1,2,5,4,0,0,0,0,0,0,26
TARIJA,atencion odontologica,trat. odontologico integral terminado,2021-04-01,0,0,0,0,0,0,13,1,0,0,0,0,0,0,14
TOTORA(CBBA),atencion odontologica,trat. odontologico integral terminado,2021-04-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
TRINIDAD,atencion odontologica,trat. odontologico integral terminado,2021-04-01,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2
UNCIA,atencion odontologica,trat. odontologico integral terminado,2021-04-01,7,16,19,27,19,19,8,83,6,0,0,0,0,0,204
VILLA MONTES,atencion odontologica,trat. odontologico integral terminado,2021-04-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
VILLA SERRANO,atencion odontologica,trat. odontologico integral terminado,2021-04-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
VILLA TUNARI,atencion odontologica,trat. odontologico integral terminado,2021-04-01,0,0,0,0,0,0,1,4,0,0,0,0,0,0,5
YACUIBA,atencion odontologica,trat. odontologico integral terminado,2021-04-01,0,1,2,3,0,0,3,3,2,0,0,0,0,0,14
AIQUILE,atencion odontologica,trat. odontologico integral terminado,2021-05-01,1,0,3,5,0,1,0,4,0,1,0,0,0,0,15
ASCENCION DE GUARAYOS,atencion odontologica,trat. odontologico integral terminado,2021-05-01,1,2,0,3,0,0,0,4,0,0,0,0,0,0,10
CAMARGO,atencion odontologica,trat. odontologico integral terminado,2021-05-01,2,2,1,2,0,0,1,2,0,0,0,0,0,0,10
CAPINOTA,atencion odontologica,trat. odontologico integral terminado,2021-05-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
CHALLAPATA,atencion odontologica,trat. odontologico integral terminado,2021-05-01,0,0,0,0,0,0,1,2,0,1,0,0,0,0,4
COBIJA,atencion odontologica,trat. odontologico integral terminado,2021-05-01,0,1,1,0,0,0,1,0,0,0,0,0,0,0,3
COCHABAMBA,atencion odontologica,trat. odontologico integral terminado,2021-05-01,8,13,32,26,6,14,23,44,13,8,0,0,0,0,187
COLPA BELGICA,atencion odontologica,trat. odontologico integral terminado,2021-05-01,2,9,21,10,6,5,3,21,5,1,0,0,0,0,83
COLQUIRI,atencion odontologica,trat. odontologico integral terminado,2021-05-01,0,0,2,0,0,3,2,5,0,3,0,0,0,0,15
EL ALTO,atencion odontologica,trat. odontologico integral terminado,2021-05-01,0,0,0,2,1,2,2,8,1,0,0,0,0,0,16
EL TORNO,atencion odontologica,trat. odontologico integral terminado,2021-05-01,3,6,4,6,11,8,9,14,6,5,0,0,0,0,72
EL VILLAR,atencion odontologica,trat. odontologico integral terminado,2021-05-01,0,0,0,0,0,1,1,2,0,0,0,0,0,0,4
HUACAYA (VILLA DE HUACAYA),atencion odontologica,trat. odontologico integral terminado,2021-05-01,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2
HUANUNI,atencion odontologica,trat. odontologico integral terminado,2021-05-01,0,0,1,1,1,1,0,0,0,0,0,0,0,0,4
LA PAZ,atencion odontologica,trat. odontologico integral terminado,2021-05-01,10,18,32,31,3,3,3,12,0,4,0,0,0,0,116
MACHACAMARCA,atencion odontologica,trat. odontologico integral terminado,2021-05-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
MONTEAGUDO,atencion odontologica,trat. odontologico integral terminado,2021-05-01,1,0,0,0,1,2,2,2,0,0,0,0,0,0,8
ORURO,atencion odontologica,trat. odontologico integral terminado,2021-05-01,0,0,0,0,0,0,19,28,0,0,0,0,0,0,47
PORVENIR,atencion odontologica,trat. odontologico integral terminado,2021-05-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
POTOSI,atencion odontologica,trat. odontologico integral terminado,2021-05-01,17,2,24,19,13,14,52,146,13,7,0,0,0,0,307
PUERTO RICO,atencion odontologica,trat. odontologico integral terminado,2021-05-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
PUNATA,atencion odontologica,trat. odontologico integral terminado,2021-05-01,0,1,1,2,0,1,0,0,0,1,0,0,0,0,6
QUILLACOLLO,atencion odontologica,trat. odontologico integral terminado,2021-05-01,0,0,1,1,2,2,0,2,0,0,0,0,0,0,8
SACABA,atencion odontologica,trat. odontologico integral terminado,2021-05-01,0,5,2,4,3,0,1,8,0,2,0,0,0,0,25
SAN BORJA,atencion odontologica,trat. odontologico integral terminado,2021-05-01,0,0,0,0,0,1,1,2,0,0,0,0,0,0,4
SAN LUCAS,atencion odontologica,trat. odontologico integral terminado,2021-05-01,0,0,0,0,0,1,1,1,0,0,0,0,0,0,3
SANTA CRUZ DE LA SIERRA,atencion odontologica,trat. odontologico integral terminado,2021-05-01,4,4,2,0,0,0,0,1,0,0,0,0,0,0,11
SUCRE,atencion odontologica,trat. odontologico integral terminado,2021-05-01,1,0,14,10,3,1,2,4,0,0,0,0,0,0,35
TARIJA,atencion odontologica,trat. odontologico integral terminado,2021-05-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
TRINIDAD,atencion odontologica,trat. odontologico integral terminado,2021-05-01,0,0,0,0,0,2,1,1,0,1,0,0,0,0,5
UNCIA,atencion odontologica,trat. odontologico integral terminado,2021-05-01,27,26,38,36,37,39,42,97,4,8,0,0,0,0,354
VILLA SERRANO,atencion odontologica,trat. odontologico integral terminado,2021-05-01,0,0,1,1,1,2,1,1,0,1,0,0,0,0,8
VILLA TUNARI,atencion odontologica,trat. odontologico integral terminado,2021-05-01,0,2,3,8,0,0,0,1,0,0,0,0,0,0,14
YACUIBA,atencion odontologica,trat. odontologico integral terminado,2021-05-01,0,0,3,7,1,0,0,4,2,1,0,0,0,0,18
YAMPARAEZ,atencion odontologica,trat. odontologico integral terminado,2021-05-01,2,0,0,1,0,2,0,0,0,0,0,0,0,0,5
YOTALA,atencion odontologica,trat. odontologico integral terminado,2021-05-01,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3
AIQUILE,atencion odontologica,trat. odontologico integral terminado,2021-06-01,1,2,0,0,0,2,0,3,0,0,0,0,0,0,8
ALCALA,atencion odontologica,trat. odontologico integral terminado,2021-06-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
ALTO BENI,atencion odontologica,trat. odontologico integral terminado,2021-06-01,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
ARAMPAMPA,atencion odontologica,trat. odontologico integral terminado,2021-06-01,8,4,1,4,2,10,8,17,1,5,0,0,0,0,60
ARBIETO,atencion odontologica,trat. odontologico integral terminado,2021-06-01,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2
ASCENCION DE GUARAYOS,atencion odontologica,trat. odontologico integral terminado,2021-06-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica,trat. odontologico integral terminado,2021-06-01,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2
CAMARGO,atencion odontologica,trat. odontologico integral terminado,2021-06-01,0,2,3,1,0,1,0,4,0,0,0,0,0,0,11
CAMATAQUI (C. VILLA ABECIA),atencion odontologica,trat. odontologico integral terminado,2021-06-01,0,0,3,1,3,1,0,1,0,0,0,0,0,0,9
CAMIRI,atencion odontologica,trat. odontologico integral terminado,2021-06-01,0,0,3,1,0,1,7,8,2,2,0,0,0,0,24
CHARAGUA,atencion odontologica,trat. odontologico integral terminado,2021-06-01,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2
CHIMORE,atencion odontologica,trat. odontologico integral terminado,2021-06-01,0,0,0,0,0,2,1,0,0,0,0,0,0,0,3
CLIZA,atencion odontologica,trat. odontologico integral terminado,2021-06-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
COBIJA,atencion odontologica,trat. odontologico integral terminado,2021-06-01,13,8,0,0,0,0,1,0,0,0,0,0,0,0,22
COCHABAMBA,atencion odontologica,trat. odontologico integral terminado,2021-06-01,5,10,24,23,10,20,11,50,5,4,0,0,0,0,162
COLPA BELGICA,atencion odontologica,trat. odontologico integral terminado,2021-06-01,6,4,10,10,7,2,9,21,0,0,0,0,0,0,69
COLQUIRI,atencion odontologica,trat. odontologico integral terminado,2021-06-01,4,0,0,3,1,4,15,14,1,0,0,0,0,0,42
CULPINA,atencion odontologica,trat. odontologico integral terminado,2021-06-01,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2
EL ALTO,atencion odontologica,trat. odontologico integral terminado,2021-06-01,0,0,3,3,2,4,0,8,0,0,0,0,0,0,20
EL PUENTE(TJA),atencion odontologica,trat. odontologico integral terminado,2021-06-01,0,0,0,1,0,0,0,1,0,1,0,0,0,0,3
EL TORNO,atencion odontologica,trat. odontologico integral terminado,2021-06-01,5,4,3,3,6,5,13,22,2,3,0,0,0,0,66
EL VILLAR,atencion odontologica,trat. odontologico integral terminado,2021-06-01,1,0,0,0,1,1,0,0,0,0,0,0,0,0,3
GUAYARAMERIN,atencion odontologica,trat. odontologico integral terminado,2021-06-01,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2
HUACAYA (VILLA DE HUACAYA),atencion odontologica,trat. odontologico integral terminado,2021-06-01,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3
HUANUNI,atencion odontologica,trat. odontologico integral terminado,2021-06-01,1,0,0,3,3,3,2,6,0,0,0,0,0,0,18
ICLA,atencion odontologica,trat. odontologico integral terminado,2021-06-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
INCAHUASI,atencion odontologica,trat. odontologico integral terminado,2021-06-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
LA PAZ,atencion odontologica,trat. odontologico integral terminado,2021-06-01,21,30,28,27,2,5,27,43,2,6,0,0,0,0,191
LAS CARRERAS,atencion odontologica,trat. odontologico integral terminado,2021-06-01,0,0,0,1,0,0,0,2,0,0,0,0,0,0,3
MACHACAMARCA,atencion odontologica,trat. odontologico integral terminado,2021-06-01,0,0,0,0,0,0,0,2,1,1,0,0,0,0,4
MOJOCOYA,atencion odontologica,trat. odontologico integral terminado,2021-06-01,0,0,0,2,0,2,0,0,0,0,0,0,0,0,4
MONTEAGUDO,atencion odontologica,trat. odontologico integral terminado,2021-06-01,0,0,0,0,0,2,2,2,0,0,0,0,0,0,6
MONTERO,atencion odontologica,trat. odontologico integral terminado,2021-06-01,0,0,0,0,0,1,0,2,0,0,0,0,0,0,3
ORURO,atencion odontologica,trat. odontologico integral terminado,2021-06-01,3,6,10,8,4,9,16,17,1,0,0,0,0,0,74
PADILLA,atencion odontologica,trat. odontologico integral terminado,2021-06-01,0,0,0,0,1,4,0,1,0,0,0,0,0,0,6
PAZÑA,atencion odontologica,trat. odontologico integral terminado,2021-06-01,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2
POCONA,atencion odontologica,trat. odontologico integral terminado,2021-06-01,0,1,1,9,16,11,8,22,4,2,0,0,0,0,74
POROMA,atencion odontologica,trat. odontologico integral terminado,2021-06-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
POTOSI,atencion odontologica,trat. odontologico integral terminado,2021-06-01,6,4,3,15,2,10,10,14,3,0,0,0,0,0,67
PRESTO,atencion odontologica,trat. odontologico integral terminado,2021-06-01,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2
PUERTO GONZALO MORENO,atencion odontologica,trat. odontologico integral terminado,2021-06-01,0,0,1,4,0,5,1,0,0,0,0,0,0,0,11
PUERTO RICO,atencion odontologica,trat. odontologico integral terminado,2021-06-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
PUERTO VILLARROEL,atencion odontologica,trat. odontologico integral terminado,2021-06-01,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2
PUNATA,atencion odontologica,trat. odontologico integral terminado,2021-06-01,0,0,3,0,1,0,2,1,0,0,0,0,0,0,7
QUILLACOLLO,atencion odontologica,trat. odontologico integral terminado,2021-06-01,0,0,1,1,0,1,0,0,0,0,0,0,0,0,3
RIBERALTA,atencion odontologica,trat. odontologico integral terminado,2021-06-01,1,0,5,1,0,2,7,9,0,1,0,0,0,0,26
SACABA,atencion odontologica,trat. odontologico integral terminado,2021-06-01,1,0,3,4,1,1,2,7,0,0,0,0,0,0,19
SAN BORJA,atencion odontologica,trat. odontologico integral terminado,2021-06-01,0,0,0,1,1,0,0,1,0,0,0,0,0,0,3
SAN CARLOS,atencion odontologica,trat. odontologico integral terminado,2021-06-01,0,1,1,0,0,0,1,2,0,0,0,0,0,0,5
SAN IGNACIO DE VELASCO,atencion odontologica,trat. odontologico integral terminado,2021-06-01,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2
SAN LORENZO(TJA),atencion odontologica,trat. odontologico integral terminado,2021-06-01,1,0,1,0,0,0,0,1,0,0,0,0,0,0,3
SAN LUCAS,atencion odontologica,trat. odontologico integral terminado,2021-06-01,0,0,1,0,1,1,2,2,0,0,0,0,0,0,7
SAN MIGUEL DE VELASCO,atencion odontologica,trat. odontologico integral terminado,2021-06-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
SAN PABLO DE LIPEZ,atencion odontologica,trat. odontologico integral terminado,2021-06-01,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2
SANTA CRUZ DE LA SIERRA,atencion odontologica,trat. odontologico integral terminado,2021-06-01,2,1,3,2,0,4,0,4,0,0,0,0,0,0,16
SANTIAGO DE HUARI,atencion odontologica,trat. odontologico integral terminado,2021-06-01,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2
SANTIVAÑES,atencion odontologica,trat. odontologico integral terminado,2021-06-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
SHINAOTA,atencion odontologica,trat. odontologico integral terminado,2021-06-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
SUCRE,atencion odontologica,trat. odontologico integral terminado,2021-06-01,12,10,11,10,3,0,1,4,0,0,0,0,0,0,51
TAPACARI,atencion odontologica,trat. odontologico integral terminado,2021-06-01,0,0,0,2,0,0,0,2,0,0,0,0,0,0,4
TARABUCO,atencion odontologica,trat. odontologico integral terminado,2021-06-01,1,0,0,0,0,0,0,5,0,0,0,0,0,0,6
TARIJA,atencion odontologica,trat. odontologico integral terminado,2021-06-01,0,0,0,0,0,0,4,3,0,0,0,0,0,0,7
TOMINA,atencion odontologica,trat. odontologico integral terminado,2021-06-01,1,0,3,0,0,2,3,0,0,0,0,0,0,0,9
TRINIDAD,atencion odontologica,trat. odontologico integral terminado,2021-06-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
TURCO,atencion odontologica,trat. odontologico integral terminado,2021-06-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
UNCIA,atencion odontologica,trat. odontologico integral terminado,2021-06-01,0,0,3,0,5,5,1,2,0,0,0,0,0,0,16
VILLA MONTES,atencion odontologica,trat. odontologico integral terminado,2021-06-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
VILLA SERRANO,atencion odontologica,trat. odontologico integral terminado,2021-06-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
VILLA TUNARI,atencion odontologica,trat. odontologico integral terminado,2021-06-01,0,2,3,12,0,0,0,4,0,0,0,0,0,0,21
VILLAZON,atencion odontologica,trat. odontologico integral terminado,2021-06-01,0,0,3,7,1,0,3,6,0,0,0,0,0,0,20
YACUIBA,atencion odontologica,trat. odontologico integral terminado,2021-06-01,0,0,0,5,0,1,3,5,3,0,0,0,0,0,17
YAMPARAEZ,atencion odontologica,trat. odontologico integral terminado,2021-06-01,0,1,1,1,0,0,0,0,0,0,0,0,0,0,3
YOTALA,atencion odontologica,trat. odontologico integral terminado,2021-06-01,2,0,1,0,0,0,0,0,0,0,0,0,0,0,3
ACHACACHI,atencion odontologica,trat. odontologico integral terminado,2021-07-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
ALCALA,atencion odontologica,trat. odontologico integral terminado,2021-07-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
ANTEQUERA,atencion odontologica,trat. odontologico integral terminado,2021-07-01,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2
ARAMPAMPA,atencion odontologica,trat. odontologico integral terminado,2021-07-01,2,8,9,18,2,1,1,23,8,10,0,0,0,0,82
ARANI,atencion odontologica,trat. odontologico integral terminado,2021-07-01,0,0,1,0,0,0,0,2,0,0,0,0,0,0,3
ARBIETO,atencion odontologica,trat. odontologico integral terminado,2021-07-01,0,1,2,1,1,0,0,0,0,0,0,0,0,0,5
ASCENCION DE GUARAYOS,atencion odontologica,trat. odontologico integral terminado,2021-07-01,0,1,0,0,1,3,0,0,0,0,0,0,0,0,5
AYATA,atencion odontologica,trat. odontologico integral terminado,2021-07-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
BERMEJO,atencion odontologica,trat. odontologico integral terminado,2021-07-01,0,0,0,0,0,0,1,3,0,0,0,0,0,0,4
CAMARGO,atencion odontologica,trat. odontologico integral terminado,2021-07-01,0,0,0,0,0,0,2,5,0,0,0,0,0,0,7
CAMATAQUI (C. VILLA ABECIA),atencion odontologica,trat. odontologico integral terminado,2021-07-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
CAMIRI,atencion odontologica,trat. odontologico integral terminado,2021-07-01,5,1,3,2,0,1,0,1,0,0,0,0,0,0,13
CAPINOTA,atencion odontologica,trat. odontologico integral terminado,2021-07-01,0,0,0,0,2,1,0,0,0,0,0,0,0,0,3
CARACOLLO,atencion odontologica,trat. odontologico integral terminado,2021-07-01,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2
CARANAVI,atencion odontologica,trat. odontologico integral terminado,2021-07-01,1,0,1,0,3,1,1,3,1,0,0,0,0,0,11
CHAQUI,atencion odontologica,trat. odontologico integral terminado,2021-07-01,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2
CHIMORE,atencion odontologica,trat. odontologico integral terminado,2021-07-01,0,0,0,1,0,3,0,0,0,0,0,0,0,0,4
CLIZA,atencion odontologica,trat. odontologico integral terminado,2021-07-01,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2
COBIJA,atencion odontologica,trat. odontologico integral terminado,2021-07-01,0,0,1,0,0,0,1,1,0,0,0,0,0,0,3
COCHABAMBA,atencion odontologica,trat. odontologico integral terminado,2021-07-01,8,7,18,26,12,17,17,26,10,5,0,0,0,0,146
COLCAPIRHUA,atencion odontologica,trat. odontologico integral terminado,2021-07-01,1,0,0,2,0,0,0,1,0,0,0,0,0,0,4
COLPA BELGICA,atencion odontologica,trat. odontologico integral terminado,2021-07-01,7,4,13,17,7,0,19,27,5,4,0,0,0,0,103
COLQUIRI,atencion odontologica,trat. odontologico integral terminado,2021-07-01,0,2,4,3,9,2,7,11,0,0,0,0,0,0,38
CUCHUMUELA (V. G. VILLARROEL),atencion odontologica,trat. odontologico integral terminado,2021-07-01,0,0,0,1,1,1,0,0,0,1,0,0,0,0,4
CULPINA,atencion odontologica,trat. odontologico integral terminado,2021-07-01,0,0,0,2,0,1,0,0,0,0,0,0,0,0,3
EL ALTO,atencion odontologica,trat. odontologico integral terminado,2021-07-01,1,5,0,7,0,2,0,16,0,0,0,0,0,0,31
EL TORNO,atencion odontologica,trat. odontologico integral terminado,2021-07-01,6,4,5,7,9,7,13,12,6,5,0,0,0,0,74
EL VILLAR,atencion odontologica,trat. odontologico integral terminado,2021-07-01,0,2,1,0,0,0,2,4,1,2,0,0,0,0,12
