,group,variable,month,DE 1 A MENORES DE 5 AÑOS VIVAX,DE 1 A MENORES DE 5 AÑOS VIVAX,DE 1 A MENORES DE 5 AÑOS FALCIPARUM,DE 1 A MENORES DE 5 AÑOS FALCIPARUM,TOTALES,TOTALES,TOTALES
NACEBE (SANTA ROSA DEL ABUNA),malaria,de 1 a menores de 5 anos,2016-03-01,4,0,0,0,4,0,4
PUERTO RICO,malaria,de 1 a menores de 5 anos,2016-03-01,0,1,0,0,0,1,1
RIBERALTA,malaria,de 1 a menores de 5 anos,2016-03-01,3,1,0,0,3,1,4
VILLA NUEVA (LOMA ALTA),malaria,de 1 a menores de 5 anos,2016-03-01,2,1,0,0,2,1,3
YACUIBA,malaria,de 1 a menores de 5 anos,2016-03-01,4,1,0,0,4,1,5
GUAYARAMERIN,malaria,de 1 a menores de 5 anos,2016-04-01,1,1,0,0,1,1,2
INCAHUASI,malaria,de 1 a menores de 5 anos,2016-04-01,0,1,0,0,0,1,1
RIBERALTA,malaria,de 1 a menores de 5 anos,2016-04-01,13,6,0,0,13,6,19
SAIPINA,malaria,de 1 a menores de 5 anos,2016-04-01,7,5,0,0,7,5,12
SENA,malaria,de 1 a menores de 5 anos,2016-04-01,8,4,0,0,8,4,12
BAURES,malaria,de 1 a menores de 5 anos,2016-05-01,1,0,0,0,1,0,1
COBIJA,malaria,de 1 a menores de 5 anos,2016-05-01,1,0,0,0,1,0,1
CONCEPCION,malaria,de 1 a menores de 5 anos,2016-05-01,2,1,0,0,2,1,3
EUREKA (SANTOS MERCADO),malaria,de 1 a menores de 5 anos,2016-05-01,0,2,0,0,0,2,2
GUAYARAMERIN,malaria,de 1 a menores de 5 anos,2016-05-01,4,5,0,0,4,5,9
INCAHUASI,malaria,de 1 a menores de 5 anos,2016-05-01,1,0,0,0,1,0,1
IXIAMAS,malaria,de 1 a menores de 5 anos,2016-05-01,2,2,0,0,2,2,4
MOJOCOYA,malaria,de 1 a menores de 5 anos,2016-05-01,0,1,0,0,0,1,1
NACEBE (SANTA ROSA DEL ABUNA),malaria,de 1 a menores de 5 anos,2016-05-01,1,0,0,0,1,0,1
PUERTO GONZALO MORENO,malaria,de 1 a menores de 5 anos,2016-05-01,0,1,0,0,0,1,1
PUERTO RICO,malaria,de 1 a menores de 5 anos,2016-05-01,4,0,0,0,4,0,4
RIBERALTA,malaria,de 1 a menores de 5 anos,2016-05-01,6,6,0,0,6,6,12
SAIPINA,malaria,de 1 a menores de 5 anos,2016-05-01,2,1,0,0,2,1,3
SAN BORJA,malaria,de 1 a menores de 5 anos,2016-05-01,1,0,0,0,1,0,1
SAN LORENZO(PND),malaria,de 1 a menores de 5 anos,2016-05-01,1,0,0,0,1,0,1
SENA,malaria,de 1 a menores de 5 anos,2016-05-01,9,11,0,0,9,11,20
BELLA FLOR,malaria,de 1 a menores de 5 anos,2016-06-01,1,0,0,0,1,0,1
FILADELFIA,malaria,de 1 a menores de 5 anos,2016-06-01,1,0,0,0,1,0,1
GUAYARAMERIN,malaria,de 1 a menores de 5 anos,2016-06-01,0,2,0,0,0,2,2
IXIAMAS,malaria,de 1 a menores de 5 anos,2016-06-01,3,6,0,0,3,6,9
MOJOCOYA,malaria,de 1 a menores de 5 anos,2016-06-01,0,1,0,0,0,1,1
REYES,malaria,de 1 a menores de 5 anos,2016-06-01,2,2,0,0,2,2,4
RIBERALTA,malaria,de 1 a menores de 5 anos,2016-06-01,5,4,0,0,5,4,9
SAIPINA,malaria,de 1 a menores de 5 anos,2016-06-01,1,6,0,0,1,6,7
SAN LORENZO(PND),malaria,de 1 a menores de 5 anos,2016-06-01,1,2,0,0,1,2,3
SENA,malaria,de 1 a menores de 5 anos,2016-06-01,8,3,0,0,8,3,11
FILADELFIA,malaria,de 1 a menores de 5 anos,2016-07-01,0,1,0,0,0,1,1
GUAYARAMERIN,malaria,de 1 a menores de 5 anos,2016-07-01,2,2,0,0,2,2,4
IXIAMAS,malaria,de 1 a menores de 5 anos,2016-07-01,1,2,0,0,1,2,3
PUERTO GONZALO MORENO,malaria,de 1 a menores de 5 anos,2016-07-01,0,1,0,0,0,1,1
RIBERALTA,malaria,de 1 a menores de 5 anos,2016-07-01,5,5,0,0,5,5,10
SAIPINA,malaria,de 1 a menores de 5 anos,2016-07-01,3,2,0,0,3,2,5
SENA,malaria,de 1 a menores de 5 anos,2016-07-01,2,4,0,0,2,4,6
GUAYARAMERIN,malaria,de 1 a menores de 5 anos,2016-08-01,0,1,0,0,0,1,1
IXIAMAS,malaria,de 1 a menores de 5 anos,2016-08-01,2,3,0,0,2,3,5
NACEBE (SANTA ROSA DEL ABUNA),malaria,de 1 a menores de 5 anos,2016-08-01,2,1,0,0,2,1,3
RIBERALTA,malaria,de 1 a menores de 5 anos,2016-08-01,2,5,0,0,2,5,7
SAIPINA,malaria,de 1 a menores de 5 anos,2016-08-01,3,4,0,0,3,4,7
SAN LORENZO(PND),malaria,de 1 a menores de 5 anos,2016-08-01,1,3,0,0,1,3,4
SENA,malaria,de 1 a menores de 5 anos,2016-08-01,0,1,0,0,0,1,1
GUAYARAMERIN,malaria,de 1 a menores de 5 anos,2016-09-01,2,0,0,0,2,0,2
IXIAMAS,malaria,de 1 a menores de 5 anos,2016-09-01,0,1,0,0,0,1,1
NACEBE (SANTA ROSA DEL ABUNA),malaria,de 1 a menores de 5 anos,2016-09-01,1,0,0,0,1,0,1
RIBERALTA,malaria,de 1 a menores de 5 anos,2016-09-01,2,3,0,0,2,3,5
SAIPINA,malaria,de 1 a menores de 5 anos,2016-09-01,5,8,0,0,5,8,13
BELLA FLOR,malaria,de 1 a menores de 5 anos,2016-10-01,1,0,0,0,1,0,1
GUAYARAMERIN,malaria,de 1 a menores de 5 anos,2016-10-01,1,1,0,0,1,1,2
IXIAMAS,malaria,de 1 a menores de 5 anos,2016-10-01,0,2,0,0,0,2,2
PUERTO GONZALO MORENO,malaria,de 1 a menores de 5 anos,2016-10-01,0,1,0,0,0,1,1
RIBERALTA,malaria,de 1 a menores de 5 anos,2016-10-01,2,4,0,0,2,4,6
SAIPINA,malaria,de 1 a menores de 5 anos,2016-10-01,14,6,0,0,14,6,20
GUAYARAMERIN,malaria,de 1 a menores de 5 anos,2016-11-01,4,0,0,0,4,0,4
IXIAMAS,malaria,de 1 a menores de 5 anos,2016-11-01,2,1,0,0,2,1,3
NACEBE (SANTA ROSA DEL ABUNA),malaria,de 1 a menores de 5 anos,2016-11-01,3,0,0,0,3,0,3
RIBERALTA,malaria,de 1 a menores de 5 anos,2016-11-01,3,3,0,0,3,3,6
SAIPINA,malaria,de 1 a menores de 5 anos,2016-11-01,2,1,0,0,2,1,3
SAN LORENZO(PND),malaria,de 1 a menores de 5 anos,2016-11-01,2,0,0,0,2,0,2
IXIAMAS,malaria,de 1 a menores de 5 anos,2016-12-01,2,3,0,0,2,3,5
POROMA,malaria,de 1 a menores de 5 anos,2016-12-01,0,0,1,0,1,0,1
RIBERALTA,malaria,de 1 a menores de 5 anos,2016-12-01,2,4,0,0,2,4,6
SAIPINA,malaria,de 1 a menores de 5 anos,2016-12-01,4,0,0,0,4,0,4
SAN LORENZO(PND),malaria,de 1 a menores de 5 anos,2016-12-01,23,16,0,0,23,16,39
SENA,malaria,de 1 a menores de 5 anos,2016-12-01,3,1,0,0,3,1,4
VILLA NUEVA (LOMA ALTA),malaria,de 1 a menores de 5 anos,2016-12-01,1,0,0,0,1,0,1
