,group,variable,month,TOTAL 1.5 PERSONAS DE 60 AÑOS Y MÁS NUEVO,TOTAL 1.5 PERSONAS DE 60 AÑOS Y MÁS NUEVO,TOTAL 1.5 PERSONAS DE 60 AÑOS Y MÁS REPETIDO,TOTAL 1.5 PERSONAS DE 60 AÑOS Y MÁS REPETIDO,TOTALES,TOTALES,TOTALES
AYO AYO,consulta externa, personas de 60 anos y mas,2014-01-01,61,57,18,17,79,74,153
AYOPAYA (V. DE INDEPENDENCIA),consulta externa, personas de 60 anos y mas,2014-01-01,104,96,4,0,108,96,204
AZURDUY,consulta externa, personas de 60 anos y mas,2014-01-01,60,72,1,1,61,73,134
BATALLAS,consulta externa, personas de 60 anos y mas,2014-01-01,174,175,19,8,193,183,376
BAURES,consulta externa, personas de 60 anos y mas,2014-01-01,25,33,5,5,30,38,68
BELEN DE ANDAMARCA,consulta externa, personas de 60 anos y mas,2014-01-01,40,42,7,5,47,47,94
BELEN DE URMIRI,consulta externa, personas de 60 anos y mas,2014-01-01,9,6,1,0,10,6,16
BELLA FLOR,consulta externa, personas de 60 anos y mas,2014-01-01,24,8,0,0,24,8,32
BERMEJO,consulta externa, personas de 60 anos y mas,2014-01-01,608,589,53,55,661,644,1305
BETANZOS,consulta externa, personas de 60 anos y mas,2014-01-01,328,463,46,94,374,557,931
BOLIVAR,consulta externa, personas de 60 anos y mas,2014-01-01,21,15,0,1,21,16,37
BOLPEBRA,consulta externa, personas de 60 anos y mas,2014-01-01,17,9,0,1,17,10,27
BOYUIBE,consulta externa, personas de 60 anos y mas,2014-01-01,58,88,5,16,63,104,167
BUENA VISTA,consulta externa, personas de 60 anos y mas,2014-01-01,132,116,2,3,134,119,253
CABEZAS,consulta externa, personas de 60 anos y mas,2014-01-01,206,212,16,29,222,241,463
CAIROMA,consulta externa, personas de 60 anos y mas,2014-01-01,159,139,13,11,172,150,322
"CAIZA ""D""",consulta externa, personas de 60 anos y mas,2014-01-01,68,140,1,7,69,147,216
CAJUATA,consulta externa, personas de 60 anos y mas,2014-01-01,141,104,3,2,144,106,250
CALACOTO,consulta externa, personas de 60 anos y mas,2014-01-01,65,58,7,3,72,61,133
CALAMARCA,consulta externa, personas de 60 anos y mas,2014-01-01,177,220,21,44,198,264,462
CAMARGO,consulta externa, personas de 60 anos y mas,2014-01-01,323,363,16,26,339,389,728
CAMATAQUI (C. VILLA ABECIA),consulta externa, personas de 60 anos y mas,2014-01-01,57,85,2,5,59,90,149
CAMIRI,consulta externa, personas de 60 anos y mas,2014-01-01,644,741,172,217,816,958,1774
CAPINOTA,consulta externa, personas de 60 anos y mas,2014-01-01,116,140,47,36,163,176,339
CAQUIAVIRI,consulta externa, personas de 60 anos y mas,2014-01-01,136,129,58,54,194,183,377
CARACOLLO,consulta externa, personas de 60 anos y mas,2014-01-01,112,109,19,27,131,136,267
CARANAVI,consulta externa, personas de 60 anos y mas,2014-01-01,314,150,111,58,425,208,633
CARANGAS,consulta externa, personas de 60 anos y mas,2014-01-01,4,7,0,0,4,7,11
CARAPARI,consulta externa, personas de 60 anos y mas,2014-01-01,151,184,3,3,154,187,341
CARIPUYO,consulta externa, personas de 60 anos y mas,2014-01-01,14,29,0,0,14,29,43
CARMEN RIVERO TORREZ,consulta externa, personas de 60 anos y mas,2014-01-01,23,24,7,7,30,31,61
CATACORA,consulta externa, personas de 60 anos y mas,2014-01-01,12,17,0,1,12,18,30
CHACARILLA,consulta externa, personas de 60 anos y mas,2014-01-01,23,27,2,3,25,30,55
CHALLAPATA,consulta externa, personas de 60 anos y mas,2014-01-01,167,209,65,96,232,305,537
CHAQUI,consulta externa, personas de 60 anos y mas,2014-01-01,97,161,3,5,100,166,266
CHARAGUA,consulta externa, personas de 60 anos y mas,2014-01-01,216,308,7,24,223,332,555
CHARAÑA,consulta externa, personas de 60 anos y mas,2014-01-01,27,36,3,5,30,41,71
CHAYANTA,consulta externa, personas de 60 anos y mas,2014-01-01,86,108,11,18,97,126,223
CHIMORE,consulta externa, personas de 60 anos y mas,2014-01-01,121,59,2,0,123,59,182
CHIPAYA,consulta externa, personas de 60 anos y mas,2014-01-01,7,3,0,0,7,3,10
CHOQUE COTA,consulta externa, personas de 60 anos y mas,2014-01-01,15,23,5,1,20,24,44
CHUA COCANI,consulta externa, personas de 60 anos y mas,2014-01-01,51,40,18,3,69,43,112
CHULUMANI (V. DE LA LIBERTAD),consulta externa, personas de 60 anos y mas,2014-01-01,91,75,36,26,127,101,228
CHUMA,consulta externa, personas de 60 anos y mas,2014-01-01,170,217,53,60,223,277,500
CHUQUIHUTA AYLLU JUCUMANI,consulta externa, personas de 60 anos y mas,2014-01-01,8,23,0,0,8,23,31
CKOCHAS,consulta externa, personas de 60 anos y mas,2014-01-01,65,84,6,5,71,89,160
CLIZA,consulta externa, personas de 60 anos y mas,2014-01-01,106,184,32,27,138,211,349
COBIJA,consulta externa, personas de 60 anos y mas,2014-01-01,304,343,85,141,389,484,873
COCAPATA,consulta externa, personas de 60 anos y mas,2014-01-01,10,12,7,7,17,19,36
COCHABAMBA,consulta externa, personas de 60 anos y mas,2014-01-01,6976,8595,7446,9498,14422,18093,32515
COIPASA,consulta externa, personas de 60 anos y mas,2014-01-01,13,12,0,0,13,12,25
COLCAPIRHUA,consulta externa, personas de 60 anos y mas,2014-01-01,158,79,171,80,329,159,488
"COLCHA ""K""",consulta externa, personas de 60 anos y mas,2014-01-01,75,103,5,7,80,110,190
COLLANA,consulta externa, personas de 60 anos y mas,2014-01-01,30,30,38,47,68,77,145
COLOMI,consulta externa, personas de 60 anos y mas,2014-01-01,20,44,1,6,21,50,71
COLPA BELGICA,consulta externa, personas de 60 anos y mas,2014-01-01,127,90,9,5,136,95,231
COLQUECHACA,consulta externa, personas de 60 anos y mas,2014-01-01,116,136,9,3,125,139,264
COLQUENCHA,consulta externa, personas de 60 anos y mas,2014-01-01,68,116,15,29,83,145,228
COLQUIRI,consulta externa, personas de 60 anos y mas,2014-01-01,139,161,11,6,150,167,317
COMANCHE,consulta externa, personas de 60 anos y mas,2014-01-01,41,25,1,0,42,25,67
COMARAPA,consulta externa, personas de 60 anos y mas,2014-01-01,188,245,22,37,210,282,492
COMBAYA,consulta externa, personas de 60 anos y mas,2014-01-01,45,49,5,4,50,53,103
CONCEPCION,consulta externa, personas de 60 anos y mas,2014-01-01,13,20,7,8,20,28,48
COPACABANA,consulta externa, personas de 60 anos y mas,2014-01-01,99,79,18,18,117,97,214
CORIPATA,consulta externa, personas de 60 anos y mas,2014-01-01,85,75,34,34,119,109,228
CORO CORO,consulta externa, personas de 60 anos y mas,2014-01-01,65,77,10,11,75,88,163
COROICO,consulta externa, personas de 60 anos y mas,2014-01-01,134,97,107,117,241,214,455
CORQUE,consulta externa, personas de 60 anos y mas,2014-01-01,58,50,6,6,64,56,120
COTAGAITA,consulta externa, personas de 60 anos y mas,2014-01-01,361,540,37,36,398,576,974
COTOCA,consulta externa, personas de 60 anos y mas,2014-01-01,242,204,50,55,292,259,551
CRUZ DE MACHACAMARCA,consulta externa, personas de 60 anos y mas,2014-01-01,3,9,0,4,3,13,16
CUATRO CAÑADAS,consulta externa, personas de 60 anos y mas,2014-01-01,64,78,2,2,66,80,146
CUCHUMUELA (V. G. VILLARROEL),consulta externa, personas de 60 anos y mas,2014-01-01,18,49,0,5,18,54,72
CUEVO,consulta externa, personas de 60 anos y mas,2014-01-01,48,91,14,30,62,121,183
CULPINA,consulta externa, personas de 60 anos y mas,2014-01-01,121,206,4,0,125,206,331
CURAHUARA DE CARANGAS,consulta externa, personas de 60 anos y mas,2014-01-01,34,38,1,0,35,38,73
CURVA,consulta externa, personas de 60 anos y mas,2014-01-01,47,69,1,1,48,70,118
DESAGUADERO,consulta externa, personas de 60 anos y mas,2014-01-01,53,60,27,30,80,90,170
EL ALTO,consulta externa, personas de 60 anos y mas,2014-01-01,4567,4891,2692,2689,7259,7580,14839
EL CHORO,consulta externa, personas de 60 anos y mas,2014-01-01,21,60,7,4,28,64,92
EL PUENTE(STC),consulta externa, personas de 60 anos y mas,2014-01-01,55,46,0,2,55,48,103
EL PUENTE(TJA),consulta externa, personas de 60 anos y mas,2014-01-01,126,261,1,11,127,272,399
EL TORNO,consulta externa, personas de 60 anos y mas,2014-01-01,717,791,128,116,845,907,1752
EL VILLAR,consulta externa, personas de 60 anos y mas,2014-01-01,73,150,0,4,73,154,227
ENTRE RIOS TRJ,consulta externa, personas de 60 anos y mas,2014-01-01,258,362,12,14,270,376,646
ENTRE RIOS CBBA,consulta externa, personas de 60 anos y mas,2014-01-01,65,42,2,2,67,44,111
ESCARA,consulta externa, personas de 60 anos y mas,2014-01-01,8,11,0,6,8,17,25
ESCOMA,consulta externa, personas de 60 anos y mas,2014-01-01,70,58,38,18,108,76,184
ESMERALDA,consulta externa, personas de 60 anos y mas,2014-01-01,9,10,0,0,9,10,19
EUCALIPTUS,consulta externa, personas de 60 anos y mas,2014-01-01,48,63,5,1,53,64,117
EUREKA (SANTOS MERCADO),consulta externa, personas de 60 anos y mas,2014-01-01,2,0,7,0,9,0,9
EXALTACION,consulta externa, personas de 60 anos y mas,2014-01-01,5,6,0,0,5,6,11
FERNANDEZ ALONSO,consulta externa, personas de 60 anos y mas,2014-01-01,69,140,7,14,76,154,230
FILADELFIA,consulta externa, personas de 60 anos y mas,2014-01-01,47,26,0,0,47,26,73
GENERAL SAAVEDRA,consulta externa, personas de 60 anos y mas,2014-01-01,107,107,15,24,122,131,253
GRAL. J.J. PEREZ (CHARAZANI),consulta externa, personas de 60 anos y mas,2014-01-01,77,112,10,13,87,125,212
GUANAY,consulta externa, personas de 60 anos y mas,2014-01-01,141,142,2,0,143,142,285
GUAQUI,consulta externa, personas de 60 anos y mas,2014-01-01,81,92,11,6,92,98,190
GUAYARAMERIN,consulta externa, personas de 60 anos y mas,2014-01-01,468,372,221,221,689,593,1282
GUTIERREZ,consulta externa, personas de 60 anos y mas,2014-01-01,96,105,4,5,100,110,210
HUACARETA,consulta externa, personas de 60 anos y mas,2014-01-01,115,107,1,1,116,108,224
HUACAYA (VILLA DE HUACAYA),consulta externa, personas de 60 anos y mas,2014-01-01,36,61,3,1,39,62,101
HUACHACALLA,consulta externa, personas de 60 anos y mas,2014-01-01,49,54,8,10,57,64,121
HUANUNI,consulta externa, personas de 60 anos y mas,2014-01-01,322,252,147,87,469,339,808
HUARACAJE,consulta externa, personas de 60 anos y mas,2014-01-01,17,9,1,0,18,9,27
HUARINA,consulta externa, personas de 60 anos y mas,2014-01-01,69,59,61,34,130,93,223
HUATAJATA,consulta externa, personas de 60 anos y mas,2014-01-01,96,90,39,44,135,134,269
HUAYLLAMARCA,consulta externa, personas de 60 anos y mas,2014-01-01,89,90,4,3,93,93,186
HUMANATA,consulta externa, personas de 60 anos y mas,2014-01-01,51,74,6,9,57,83,140
ICHOCA,consulta externa, personas de 60 anos y mas,2014-01-01,84,83,1,1,85,84,169
ICLA,consulta externa, personas de 60 anos y mas,2014-01-01,139,220,8,15,147,235,382
INCAHUASI,consulta externa, personas de 60 anos y mas,2014-01-01,54,124,1,4,55,128,183
INGAVI (HUMAITA),consulta externa, personas de 60 anos y mas,2014-01-01,6,1,0,0,6,1,7
INQUISIVI,consulta externa, personas de 60 anos y mas,2014-01-01,119,89,4,3,123,92,215
IRUPANA (VILLA DE LANZA),consulta externa, personas de 60 anos y mas,2014-01-01,176,160,34,35,210,195,405
IXIAMAS,consulta externa, personas de 60 anos y mas,2014-01-01,20,13,0,1,20,14,34
JESUS DE MACHACA,consulta externa, personas de 60 anos y mas,2014-01-01,241,257,45,63,286,320,606
LA ASUNTA,consulta externa, personas de 60 anos y mas,2014-01-01,119,58,47,24,166,82,248
LA GUARDIA,consulta externa, personas de 60 anos y mas,2014-01-01,313,383,18,16,331,399,730
LA PAZ,consulta externa, personas de 60 anos y mas,2014-01-01,10340,13834,11417,16204,21757,30038,51795
LA RIVERA,consulta externa, personas de 60 anos y mas,2014-01-01,7,7,0,2,7,9,16
LAGUNILLAS,consulta externa, personas de 60 anos y mas,2014-01-01,55,99,1,2,56,101,157
LAJA,consulta externa, personas de 60 anos y mas,2014-01-01,191,198,55,67,246,265,511
LAS CARRERAS,consulta externa, personas de 60 anos y mas,2014-01-01,71,104,0,4,71,108,179
LICOMA PAMPA,consulta externa, personas de 60 anos y mas,2014-01-01,34,32,11,19,45,51,96
LLALLAGUA,consulta externa, personas de 60 anos y mas,2014-01-01,260,310,41,53,301,363,664
LLICA,consulta externa, personas de 60 anos y mas,2014-01-01,40,74,2,6,42,80,122
LORETO,consulta externa, personas de 60 anos y mas,2014-01-01,34,32,2,10,36,42,78
LURIBAY,consulta externa, personas de 60 anos y mas,2014-01-01,148,115,28,1,176,116,292
MACHACAMARCA,consulta externa, personas de 60 anos y mas,2014-01-01,69,71,18,37,87,108,195
MACHARETI,consulta externa, personas de 60 anos y mas,2014-01-01,100,104,4,12,104,116,220
MAGDALENA,consulta externa, personas de 60 anos y mas,2014-01-01,97,94,55,56,152,150,302
MAIRANA,consulta externa, personas de 60 anos y mas,2014-01-01,56,81,7,6,63,87,150
MALLA,consulta externa, personas de 60 anos y mas,2014-01-01,19,28,0,1,19,29,48
MAPIRI,consulta externa, personas de 60 anos y mas,2014-01-01,81,76,6,7,87,83,170
MECAPACA,consulta externa, personas de 60 anos y mas,2014-01-01,135,108,3,9,138,117,255
MINEROS,consulta externa, personas de 60 anos y mas,2014-01-01,154,160,8,1,162,161,323
MIZQUE,consulta externa, personas de 60 anos y mas,2014-01-01,96,141,38,40,134,181,315
MOCOMOCO,consulta externa, personas de 60 anos y mas,2014-01-01,140,65,7,9,147,74,221
MOJINETE,consulta externa, personas de 60 anos y mas,2014-01-01,16,21,3,0,19,21,40
MOJOCOYA,consulta externa, personas de 60 anos y mas,2014-01-01,53,108,11,9,64,117,181
MONTEAGUDO,consulta externa, personas de 60 anos y mas,2014-01-01,525,676,107,111,632,787,1419
MONTERO,consulta externa, personas de 60 anos y mas,2014-01-01,905,1119,218,217,1123,1336,2459
MORO MORO,consulta externa, personas de 60 anos y mas,2014-01-01,37,45,30,58,67,103,170
MOROCHATA,consulta externa, personas de 60 anos y mas,2014-01-01,33,62,5,7,38,69,107
NACEBE (SANTA ROSA DEL ABUNA),consulta externa, personas de 60 anos y mas,2014-01-01,16,6,0,0,16,6,22
NAZACARA DE PACAJES,consulta externa, personas de 60 anos y mas,2014-01-01,8,10,0,0,8,10,18
NUEVO MANOA (NUEVA ESPERANZA),consulta externa, personas de 60 anos y mas,2014-01-01,14,13,0,0,14,13,27
OCURI,consulta externa, personas de 60 anos y mas,2014-01-01,26,50,0,1,26,51,77
OKINAWA,consulta externa, personas de 60 anos y mas,2014-01-01,115,89,9,7,124,96,220
OMEREQUE,consulta externa, personas de 60 anos y mas,2014-01-01,38,80,2,8,40,88,128
ORURO,consulta externa, personas de 60 anos y mas,2014-01-01,3894,4319,2192,2763,6086,7082,13168
PADCAYA,consulta externa, personas de 60 anos y mas,2014-01-01,414,482,18,22,432,504,936
PADILLA,consulta externa, personas de 60 anos y mas,2014-01-01,239,409,3,16,242,425,667
PAILON,consulta externa, personas de 60 anos y mas,2014-01-01,73,74,8,10,81,84,165
PALCA,consulta externa, personas de 60 anos y mas,2014-01-01,96,96,6,3,102,99,201
PALOS BLANCOS,consulta externa, personas de 60 anos y mas,2014-01-01,281,174,51,47,332,221,553
PAMPA AULLAGAS,consulta externa, personas de 60 anos y mas,2014-01-01,14,23,0,0,14,23,37
PAMPA GRANDE,consulta externa, personas de 60 anos y mas,2014-01-01,41,89,1,7,42,96,138
PAPEL PAMPA,consulta externa, personas de 60 anos y mas,2014-01-01,166,193,18,12,184,205,389
PASORAPA,consulta externa, personas de 60 anos y mas,2014-01-01,27,40,0,1,27,41,68
PATACAMAYA,consulta externa, personas de 60 anos y mas,2014-01-01,72,44,2,2,74,46,120
PAZÑA,consulta externa, personas de 60 anos y mas,2014-01-01,79,99,18,16,97,115,212
PELECHUCO,consulta externa, personas de 60 anos y mas,2014-01-01,26,23,0,1,26,24,50
POCOATA,consulta externa, personas de 60 anos y mas,2014-01-01,53,68,0,6,53,74,127
POCONA,consulta externa, personas de 60 anos y mas,2014-01-01,52,118,2,4,54,122,176
POJO (CBBA),consulta externa, personas de 60 anos y mas,2014-01-01,35,42,1,3,36,45,81
POOPO,consulta externa, personas de 60 anos y mas,2014-01-01,73,86,13,5,86,91,177
PORCO,consulta externa, personas de 60 anos y mas,2014-01-01,17,36,0,0,17,36,53
POROMA,consulta externa, personas de 60 anos y mas,2014-01-01,82,104,0,0,82,104,186
PORONGO,consulta externa, personas de 60 anos y mas,2014-01-01,79,69,2,0,81,69,150
PORTACHUELO,consulta externa, personas de 60 anos y mas,2014-01-01,241,214,74,93,315,307,622
PORVENIR,consulta externa, personas de 60 anos y mas,2014-01-01,52,52,6,3,58,55,113
POSTRER VALLE,consulta externa, personas de 60 anos y mas,2014-01-01,30,35,10,17,40,52,92
POTOSI,consulta externa, personas de 60 anos y mas,2014-01-01,2346,3192,1224,1732,3570,4924,8494
PRESTO,consulta externa, personas de 60 anos y mas,2014-01-01,83,126,1,0,84,126,210
PUCARA,consulta externa, personas de 60 anos y mas,2014-01-01,20,23,10,17,30,40,70
PUCARANI,consulta externa, personas de 60 anos y mas,2014-01-01,201,176,49,40,250,216,466
PUERTO ACOSTA,consulta externa, personas de 60 anos y mas,2014-01-01,155,132,13,6,168,138,306
PUERTO CARABUCO,consulta externa, personas de 60 anos y mas,2014-01-01,143,168,23,26,166,194,360
PUERTO GONZALO MORENO,consulta externa, personas de 60 anos y mas,2014-01-01,79,70,5,10,84,80,164
PUERTO PEREZ,consulta externa, personas de 60 anos y mas,2014-01-01,141,150,21,17,162,167,329
PUERTO QUIJARRO,consulta externa, personas de 60 anos y mas,2014-01-01,121,149,0,1,121,150,271
PUERTO RICO,consulta externa, personas de 60 anos y mas,2014-01-01,58,39,13,5,71,44,115
PUERTO SILES,consulta externa, personas de 60 anos y mas,2014-01-01,1,3,0,0,1,3,4
PUERTO SUAREZ,consulta externa, personas de 60 anos y mas,2014-01-01,66,89,55,56,121,145,266
PUERTO VILLARROEL,consulta externa, personas de 60 anos y mas,2014-01-01,140,110,14,3,154,113,267
PUNA,consulta externa, personas de 60 anos y mas,2014-01-01,163,235,6,12,169,247,416
PUNATA,consulta externa, personas de 60 anos y mas,2014-01-01,167,263,187,209,354,472,826
QUIABAYA,consulta externa, personas de 60 anos y mas,2014-01-01,59,55,16,10,75,65,140
QUILLACOLLO,consulta externa, personas de 60 anos y mas,2014-01-01,991,1274,733,1028,1724,2302,4026
QUIME,consulta externa, personas de 60 anos y mas,2014-01-01,85,59,28,14,113,73,186
QUIRUSILLAS,consulta externa, personas de 60 anos y mas,2014-01-01,24,23,1,1,25,24,49
RAVELO,consulta externa, personas de 60 anos y mas,2014-01-01,69,109,7,14,76,123,199
REYES,consulta externa, personas de 60 anos y mas,2014-01-01,28,29,0,0,28,29,57
RIBERALTA,consulta externa, personas de 60 anos y mas,2014-01-01,353,348,250,241,603,589,1192
ROBORE,consulta externa, personas de 60 anos y mas,2014-01-01,184,212,27,38,211,250,461
RURRENABAQUE,consulta externa, personas de 60 anos y mas,2014-01-01,195,220,242,344,437,564,1001
SABAYA,consulta externa, personas de 60 anos y mas,2014-01-01,96,129,3,19,99,148,247
SACABA,consulta externa, personas de 60 anos y mas,2014-01-01,294,350,110,130,404,480,884
SACABAMBA,consulta externa, personas de 60 anos y mas,2014-01-01,42,65,0,0,42,65,107
SACACA,consulta externa, personas de 60 anos y mas,2014-01-01,32,47,5,0,37,47,84
SAIPINA,consulta externa, personas de 60 anos y mas,2014-01-01,51,51,12,11,63,62,125
SALINAS DE GARCI MENDOZA,consulta externa, personas de 60 anos y mas,2014-01-01,61,86,1,5,62,91,153
SAMAIPATA,consulta externa, personas de 60 anos y mas,2014-01-01,62,90,3,11,65,101,166
SAN AGUSTIN,consulta externa, personas de 60 anos y mas,2014-01-01,23,27,1,0,24,27,51
SAN ANDRES,consulta externa, personas de 60 anos y mas,2014-01-01,32,22,3,0,35,22,57
SAN ANDRES DE MACHACA,consulta externa, personas de 60 anos y mas,2014-01-01,92,134,33,61,125,195,320
SAN ANTONIO DE ESMORUCO,consulta externa, personas de 60 anos y mas,2014-01-01,10,12,0,0,10,12,22
SAN ANTONIO DE LOMERIO,consulta externa, personas de 60 anos y mas,2014-01-01,50,80,0,0,50,80,130
SAN BENITO,consulta externa, personas de 60 anos y mas,2014-01-01,55,120,17,33,72,153,225
SAN BORJA,consulta externa, personas de 60 anos y mas,2014-01-01,177,187,265,317,442,504,946
SAN BUENA VENTURA,consulta externa, personas de 60 anos y mas,2014-01-01,92,104,6,7,98,111,209
SAN CARLOS,consulta externa, personas de 60 anos y mas,2014-01-01,252,277,49,156,301,433,734
SAN IGNACIO,consulta externa, personas de 60 anos y mas,2014-01-01,207,211,29,101,236,312,548
SAN IGNACIO DE VELASCO,consulta externa, personas de 60 anos y mas,2014-01-01,282,282,13,12,295,294,589
SAN JAVIER(BNI),consulta externa, personas de 60 anos y mas,2014-01-01,11,8,3,1,14,9,23
SAN JAVIER(STC),consulta externa, personas de 60 anos y mas,2014-01-01,58,45,0,1,58,46,104
SAN JOAQUIN,consulta externa, personas de 60 anos y mas,2014-01-01,20,16,0,1,20,17,37
SAN JOSE DE CHIQUITOS,consulta externa, personas de 60 anos y mas,2014-01-01,72,102,5,9,77,111,188
SAN JUAN DE YAPACANI,consulta externa, personas de 60 anos y mas,2014-01-01,88,58,9,6,97,64,161
SAN JULIAN,consulta externa, personas de 60 anos y mas,2014-01-01,404,269,11,10,415,279,694
SAN LORENZO(PND),consulta externa, personas de 60 anos y mas,2014-01-01,4,2,0,0,4,2,6
SAN LORENZO(TJA),consulta externa, personas de 60 anos y mas,2014-01-01,206,316,17,13,223,329,552
SAN LUCAS,consulta externa, personas de 60 anos y mas,2014-01-01,347,588,11,6,358,594,952
SAN MATIAS,consulta externa, personas de 60 anos y mas,2014-01-01,116,127,16,13,132,140,272
SAN MIGUEL DE VELASCO,consulta externa, personas de 60 anos y mas,2014-01-01,51,54,48,63,99,117,216
SAN PABLO DE LIPEZ,consulta externa, personas de 60 anos y mas,2014-01-01,26,33,3,1,29,34,63
SAN PEDRO,consulta externa, personas de 60 anos y mas,2014-01-01,176,128,31,30,207,158,365
SAN PEDRO DE BUENA VISTA,consulta externa, personas de 60 anos y mas,2014-01-01,52,90,2,1,54,91,145
SAN PEDRO DE CURAHUARA,consulta externa, personas de 60 anos y mas,2014-01-01,127,143,18,34,145,177,322
SAN PEDRO DE QUEMES,consulta externa, personas de 60 anos y mas,2014-01-01,11,15,0,0,11,15,26
SAN PEDRO DE TIQUINA,consulta externa, personas de 60 anos y mas,2014-01-01,109,98,117,114,226,212,438
SAN PEDRO(PND),consulta externa, personas de 60 anos y mas,2014-01-01,6,5,0,0,6,5,11
SAN RAFAEL,consulta externa, personas de 60 anos y mas,2014-01-01,32,40,4,2,36,42,78
SAN RAMON BENI,consulta externa, personas de 60 anos y mas,2014-01-01,116,120,58,60,174,180,354
SAN RAMON SCZ,consulta externa, personas de 60 anos y mas,2014-01-01,62,53,33,39,95,92,187
SANTA ANA,consulta externa, personas de 60 anos y mas,2014-01-01,167,191,70,93,237,284,521
SANTA CRUZ DE LA SIERRA,consulta externa, personas de 60 anos y mas,2014-01-01,9784,13193,3823,5884,13607,19077,32684
SANTA ROSA,consulta externa, personas de 60 anos y mas,2014-01-01,76,70,36,16,112,86,198
SANTA ROSA DEL SARA,consulta externa, personas de 60 anos y mas,2014-01-01,166,141,2,0,168,141,309
SANTIAGO DE CALLAPA,consulta externa, personas de 60 anos y mas,2014-01-01,126,119,1,0,127,119,246
SANTIAGO DE HUARI,consulta externa, personas de 60 anos y mas,2014-01-01,170,169,14,3,184,172,356
SANTIAGO DE HUATA,consulta externa, personas de 60 anos y mas,2014-01-01,97,106,71,63,168,169,337
SANTIAGO DE MACHACA,consulta externa, personas de 60 anos y mas,2014-01-01,80,102,10,22,90,124,214
SANTIVAÑES,consulta externa, personas de 60 anos y mas,2014-01-01,30,63,3,4,33,67,100
SANTUARIO DE QUILLACAS,consulta externa, personas de 60 anos y mas,2014-01-01,31,39,2,5,33,44,77
SAPAHAQUI,consulta externa, personas de 60 anos y mas,2014-01-01,152,111,16,5,168,116,284
SENA,consulta externa, personas de 60 anos y mas,2014-01-01,19,18,1,0,20,18,38
SHINAOTA,consulta externa, personas de 60 anos y mas,2014-01-01,76,70,13,10,89,80,169
SICA SICA (VILLA AROMA),consulta externa, personas de 60 anos y mas,2014-01-01,232,222,27,21,259,243,502
SICAYA,consulta externa, personas de 60 anos y mas,2014-01-01,25,36,0,1,25,37,62
SIPE SIPE,consulta externa, personas de 60 anos y mas,2014-01-01,64,74,10,15,74,89,163
SOPACHUY,consulta externa, personas de 60 anos y mas,2014-01-01,80,166,7,12,87,178,265
SORACACHI,consulta externa, personas de 60 anos y mas,2014-01-01,21,17,2,1,23,18,41
SORATA,consulta externa, personas de 60 anos y mas,2014-01-01,108,111,91,87,199,198,397
SUCRE,consulta externa, personas de 60 anos y mas,2014-01-01,3364,5051,1864,2804,5228,7855,13083
TACACHI,consulta externa, personas de 60 anos y mas,2014-01-01,6,10,3,0,9,10,19
