,group,variable,month,TOTAL 1.1 MENORES DE 5 AÑOS NUEVO,TOTAL 1.1 MENORES DE 5 AÑOS NUEVO,TOTAL 1.1 MENORES DE 5 AÑOS REPETIDO,TOTAL 1.1 MENORES DE 5 AÑOS REPETIDO,TOTALES,TOTALES,TOTALES
AZURDUY,consulta externa, menores de 5 anos,2014-01-01,373,367,5,5,378,372,750
BATALLAS,consulta externa, menores de 5 anos,2014-01-01,142,146,5,10,147,156,303
BAURES,consulta externa, menores de 5 anos,2014-01-01,163,127,6,1,169,128,297
BELEN DE ANDAMARCA,consulta externa, menores de 5 anos,2014-01-01,24,16,1,0,25,16,41
BELEN DE URMIRI,consulta externa, menores de 5 anos,2014-01-01,19,18,1,1,20,19,39
BELLA FLOR,consulta externa, menores de 5 anos,2014-01-01,60,67,16,12,76,79,155
BERMEJO,consulta externa, menores de 5 anos,2014-01-01,1173,1054,295,267,1468,1321,2789
BETANZOS,consulta externa, menores de 5 anos,2014-01-01,485,391,7,4,492,395,887
BOLIVAR,consulta externa, menores de 5 anos,2014-01-01,103,96,32,29,135,125,260
BOLPEBRA,consulta externa, menores de 5 anos,2014-01-01,46,34,0,0,46,34,80
BOYUIBE,consulta externa, menores de 5 anos,2014-01-01,120,102,12,10,132,112,244
BUENA VISTA,consulta externa, menores de 5 anos,2014-01-01,298,221,2,3,300,224,524
CABEZAS,consulta externa, menores de 5 anos,2014-01-01,832,727,38,26,870,753,1623
CAIROMA,consulta externa, menores de 5 anos,2014-01-01,181,149,16,19,197,168,365
"CAIZA ""D""",consulta externa, menores de 5 anos,2014-01-01,175,159,1,2,176,161,337
CAJUATA,consulta externa, menores de 5 anos,2014-01-01,232,205,0,2,232,207,439
CALACOTO,consulta externa, menores de 5 anos,2014-01-01,33,51,0,2,33,53,86
CALAMARCA,consulta externa, menores de 5 anos,2014-01-01,275,191,22,20,297,211,508
CAMARGO,consulta externa, menores de 5 anos,2014-01-01,271,240,5,4,276,244,520
CAMATAQUI (C. VILLA ABECIA),consulta externa, menores de 5 anos,2014-01-01,46,41,5,1,51,42,93
CAMIRI,consulta externa, menores de 5 anos,2014-01-01,760,763,115,134,875,897,1772
CAPINOTA,consulta externa, menores de 5 anos,2014-01-01,416,390,47,47,463,437,900
CAQUIAVIRI,consulta externa, menores de 5 anos,2014-01-01,78,58,0,1,78,59,137
CARACOLLO,consulta externa, menores de 5 anos,2014-01-01,569,552,4,0,573,552,1125
CARANAVI,consulta externa, menores de 5 anos,2014-01-01,731,605,184,160,915,765,1680
CARANGAS,consulta externa, menores de 5 anos,2014-01-01,8,3,0,0,8,3,11
CARAPARI,consulta externa, menores de 5 anos,2014-01-01,435,358,15,4,450,362,812
CARIPUYO,consulta externa, menores de 5 anos,2014-01-01,107,103,2,1,109,104,213
CARMEN RIVERO TORREZ,consulta externa, menores de 5 anos,2014-01-01,46,59,8,8,54,67,121
CATACORA,consulta externa, menores de 5 anos,2014-01-01,12,6,0,1,12,7,19
CHACARILLA,consulta externa, menores de 5 anos,2014-01-01,14,8,0,1,14,9,23
CHALLAPATA,consulta externa, menores de 5 anos,2014-01-01,568,493,7,29,575,522,1097
CHAQUI,consulta externa, menores de 5 anos,2014-01-01,110,72,1,1,111,73,184
CHARAGUA,consulta externa, menores de 5 anos,2014-01-01,907,890,17,34,924,924,1848
CHARAÑA,consulta externa, menores de 5 anos,2014-01-01,25,16,0,1,25,17,42
CHAYANTA,consulta externa, menores de 5 anos,2014-01-01,166,146,12,9,178,155,333
CHIMORE,consulta externa, menores de 5 anos,2014-01-01,462,414,466,573,928,987,1915
CHIPAYA,consulta externa, menores de 5 anos,2014-01-01,28,27,3,0,31,27,58
CHOQUE COTA,consulta externa, menores de 5 anos,2014-01-01,15,10,0,0,15,10,25
CHUA COCANI,consulta externa, menores de 5 anos,2014-01-01,12,14,51,44,63,58,121
CHULUMANI (V. DE LA LIBERTAD),consulta externa, menores de 5 anos,2014-01-01,297,271,114,75,411,346,757
CHUMA,consulta externa, menores de 5 anos,2014-01-01,73,92,1,3,74,95,169
CHUQUIHUTA AYLLU JUCUMANI,consulta externa, menores de 5 anos,2014-01-01,109,81,0,0,109,81,190
CKOCHAS,consulta externa, menores de 5 anos,2014-01-01,238,217,4,5,242,222,464
CLIZA,consulta externa, menores de 5 anos,2014-01-01,256,156,66,50,322,206,528
COBIJA,consulta externa, menores de 5 anos,2014-01-01,995,912,119,128,1114,1040,2154
COCAPATA,consulta externa, menores de 5 anos,2014-01-01,214,210,139,127,353,337,690
COCHABAMBA,consulta externa, menores de 5 anos,2014-01-01,10557,9661,5183,5042,15740,14703,30443
COIPASA,consulta externa, menores de 5 anos,2014-01-01,33,25,0,0,33,25,58
COLCAPIRHUA,consulta externa, menores de 5 anos,2014-01-01,361,331,754,700,1115,1031,2146
"COLCHA ""K""",consulta externa, menores de 5 anos,2014-01-01,194,189,25,25,219,214,433
COLLANA,consulta externa, menores de 5 anos,2014-01-01,27,24,3,4,30,28,58
COLOMI,consulta externa, menores de 5 anos,2014-01-01,270,231,5,3,275,234,509
COLPA BELGICA,consulta externa, menores de 5 anos,2014-01-01,177,153,15,7,192,160,352
COLQUECHACA,consulta externa, menores de 5 anos,2014-01-01,565,511,18,15,583,526,1109
COLQUENCHA,consulta externa, menores de 5 anos,2014-01-01,94,100,7,6,101,106,207
COLQUIRI,consulta externa, menores de 5 anos,2014-01-01,349,346,2,6,351,352,703
COMANCHE,consulta externa, menores de 5 anos,2014-01-01,18,16,0,0,18,16,34
COMARAPA,consulta externa, menores de 5 anos,2014-01-01,270,222,31,34,301,256,557
COMBAYA,consulta externa, menores de 5 anos,2014-01-01,47,50,0,5,47,55,102
CONCEPCION,consulta externa, menores de 5 anos,2014-01-01,297,306,70,79,367,385,752
COPACABANA,consulta externa, menores de 5 anos,2014-01-01,92,78,4,4,96,82,178
CORIPATA,consulta externa, menores de 5 anos,2014-01-01,288,255,48,44,336,299,635
CORO CORO,consulta externa, menores de 5 anos,2014-01-01,123,111,4,5,127,116,243
COROICO,consulta externa, menores de 5 anos,2014-01-01,175,152,106,100,281,252,533
CORQUE,consulta externa, menores de 5 anos,2014-01-01,122,80,8,4,130,84,214
COTAGAITA,consulta externa, menores de 5 anos,2014-01-01,531,373,27,10,558,383,941
COTOCA,consulta externa, menores de 5 anos,2014-01-01,1237,1086,93,90,1330,1176,2506
CRUZ DE MACHACAMARCA,consulta externa, menores de 5 anos,2014-01-01,3,4,0,0,3,4,7
CUATRO CAÑADAS,consulta externa, menores de 5 anos,2014-01-01,437,422,57,78,494,500,994
CUCHUMUELA (V. G. VILLARROEL),consulta externa, menores de 5 anos,2014-01-01,35,32,0,0,35,32,67
CUEVO,consulta externa, menores de 5 anos,2014-01-01,100,75,3,6,103,81,184
CULPINA,consulta externa, menores de 5 anos,2014-01-01,254,256,204,202,458,458,916
CURAHUARA DE CARANGAS,consulta externa, menores de 5 anos,2014-01-01,50,60,2,0,52,60,112
CURVA,consulta externa, menores de 5 anos,2014-01-01,61,52,0,2,61,54,115
DESAGUADERO,consulta externa, menores de 5 anos,2014-01-01,21,29,1,0,22,29,51
EL ALTO,consulta externa, menores de 5 anos,2014-01-01,13727,12968,3600,3848,17327,16816,34143
EL CHORO,consulta externa, menores de 5 anos,2014-01-01,83,82,2,1,85,83,168
EL PUENTE(STC),consulta externa, menores de 5 anos,2014-01-01,294,274,5,5,299,279,578
EL PUENTE(TJA),consulta externa, menores de 5 anos,2014-01-01,202,146,19,16,221,162,383
EL TORNO,consulta externa, menores de 5 anos,2014-01-01,1084,999,33,43,1117,1042,2159
EL VILLAR,consulta externa, menores de 5 anos,2014-01-01,126,109,5,1,131,110,241
ENTRE RIOS TRJ,consulta externa, menores de 5 anos,2014-01-01,457,442,6,4,463,446,909
ENTRE RIOS CBBA,consulta externa, menores de 5 anos,2014-01-01,1008,961,46,47,1054,1008,2062
ESCARA,consulta externa, menores de 5 anos,2014-01-01,7,3,0,0,7,3,10
ESCOMA,consulta externa, menores de 5 anos,2014-01-01,41,35,29,41,70,76,146
ESMERALDA,consulta externa, menores de 5 anos,2014-01-01,7,7,0,0,7,7,14
EUCALIPTUS,consulta externa, menores de 5 anos,2014-01-01,53,62,5,3,58,65,123
EUREKA (SANTOS MERCADO),consulta externa, menores de 5 anos,2014-01-01,45,46,0,0,45,46,91
EXALTACION,consulta externa, menores de 5 anos,2014-01-01,28,26,6,4,34,30,64
FERNANDEZ ALONSO,consulta externa, menores de 5 anos,2014-01-01,439,355,22,5,461,360,821
FILADELFIA,consulta externa, menores de 5 anos,2014-01-01,176,170,0,3,176,173,349
GENERAL SAAVEDRA,consulta externa, menores de 5 anos,2014-01-01,392,316,55,43,447,359,806
GRAL. J.J. PEREZ (CHARAZANI),consulta externa, menores de 5 anos,2014-01-01,129,135,7,9,136,144,280
GUANAY,consulta externa, menores de 5 anos,2014-01-01,389,379,8,16,397,395,792
GUAQUI,consulta externa, menores de 5 anos,2014-01-01,45,56,0,1,45,57,102
GUAYARAMERIN,consulta externa, menores de 5 anos,2014-01-01,890,867,241,243,1131,1110,2241
GUTIERREZ,consulta externa, menores de 5 anos,2014-01-01,661,698,32,35,693,733,1426
HUACARETA,consulta externa, menores de 5 anos,2014-01-01,184,164,1,0,185,164,349
HUACAYA (VILLA DE HUACAYA),consulta externa, menores de 5 anos,2014-01-01,125,127,23,21,148,148,296
HUACHACALLA,consulta externa, menores de 5 anos,2014-01-01,36,40,3,1,39,41,80
HUANUNI,consulta externa, menores de 5 anos,2014-01-01,521,507,50,39,571,546,1117
HUARACAJE,consulta externa, menores de 5 anos,2014-01-01,62,86,2,4,64,90,154
HUARINA,consulta externa, menores de 5 anos,2014-01-01,30,32,6,5,36,37,73
HUATAJATA,consulta externa, menores de 5 anos,2014-01-01,68,62,2,5,70,67,137
HUAYLLAMARCA,consulta externa, menores de 5 anos,2014-01-01,37,37,0,0,37,37,74
HUMANATA,consulta externa, menores de 5 anos,2014-01-01,17,18,0,0,17,18,35
ICHOCA,consulta externa, menores de 5 anos,2014-01-01,41,50,0,0,41,50,91
ICLA,consulta externa, menores de 5 anos,2014-01-01,266,266,13,14,279,280,559
INCAHUASI,consulta externa, menores de 5 anos,2014-01-01,278,252,3,1,281,253,534
INGAVI (HUMAITA),consulta externa, menores de 5 anos,2014-01-01,53,47,14,6,67,53,120
INQUISIVI,consulta externa, menores de 5 anos,2014-01-01,158,147,0,1,158,148,306
IRUPANA (VILLA DE LANZA),consulta externa, menores de 5 anos,2014-01-01,369,362,5,11,374,373,747
IXIAMAS,consulta externa, menores de 5 anos,2014-01-01,214,172,7,7,221,179,400
JESUS DE MACHACA,consulta externa, menores de 5 anos,2014-01-01,181,202,35,31,216,233,449
LA ASUNTA,consulta externa, menores de 5 anos,2014-01-01,872,797,154,169,1026,966,1992
LA GUARDIA,consulta externa, menores de 5 anos,2014-01-01,1225,1036,237,215,1462,1251,2713
LA PAZ,consulta externa, menores de 5 anos,2014-01-01,14302,13012,2799,2694,17101,15706,32807
LA RIVERA,consulta externa, menores de 5 anos,2014-01-01,11,20,0,0,11,20,31
LAGUNILLAS,consulta externa, menores de 5 anos,2014-01-01,292,255,14,4,306,259,565
LAJA,consulta externa, menores de 5 anos,2014-01-01,147,122,24,21,171,143,314
LAS CARRERAS,consulta externa, menores de 5 anos,2014-01-01,106,181,3,2,109,183,292
LICOMA PAMPA,consulta externa, menores de 5 anos,2014-01-01,29,25,0,0,29,25,54
LLALLAGUA,consulta externa, menores de 5 anos,2014-01-01,748,757,24,35,772,792,1564
LLICA,consulta externa, menores de 5 anos,2014-01-01,83,65,1,6,84,71,155
LORETO,consulta externa, menores de 5 anos,2014-01-01,103,112,5,9,108,121,229
LURIBAY,consulta externa, menores de 5 anos,2014-01-01,119,85,2,1,121,86,207
MACHACAMARCA,consulta externa, menores de 5 anos,2014-01-01,24,31,1,1,25,32,57
MACHARETI,consulta externa, menores de 5 anos,2014-01-01,242,218,16,10,258,228,486
MAGDALENA,consulta externa, menores de 5 anos,2014-01-01,284,199,9,10,293,209,502
MAIRANA,consulta externa, menores de 5 anos,2014-01-01,142,132,4,5,146,137,283
MALLA,consulta externa, menores de 5 anos,2014-01-01,34,40,0,0,34,40,74
MAPIRI,consulta externa, menores de 5 anos,2014-01-01,222,168,1,2,223,170,393
MECAPACA,consulta externa, menores de 5 anos,2014-01-01,124,117,5,5,129,122,251
MINEROS,consulta externa, menores de 5 anos,2014-01-01,333,283,1,2,334,285,619
MIZQUE,consulta externa, menores de 5 anos,2014-01-01,374,336,211,182,585,518,1103
MOCOMOCO,consulta externa, menores de 5 anos,2014-01-01,87,101,2,2,89,103,192
MOJINETE,consulta externa, menores de 5 anos,2014-01-01,11,14,0,0,11,14,25
MOJOCOYA,consulta externa, menores de 5 anos,2014-01-01,128,104,60,63,188,167,355
MONTEAGUDO,consulta externa, menores de 5 anos,2014-01-01,875,671,60,44,935,715,1650
MONTERO,consulta externa, menores de 5 anos,2014-01-01,2711,2581,289,258,3000,2839,5839
MORO MORO,consulta externa, menores de 5 anos,2014-01-01,63,51,3,2,66,53,119
MOROCHATA,consulta externa, menores de 5 anos,2014-01-01,192,155,55,60,247,215,462
NACEBE (SANTA ROSA DEL ABUNA),consulta externa, menores de 5 anos,2014-01-01,117,90,3,1,120,91,211
NAZACARA DE PACAJES,consulta externa, menores de 5 anos,2014-01-01,3,2,0,0,3,2,5
NUEVO MANOA (NUEVA ESPERANZA),consulta externa, menores de 5 anos,2014-01-01,101,54,0,3,101,57,158
OCURI,consulta externa, menores de 5 anos,2014-01-01,273,221,5,1,278,222,500
OKINAWA,consulta externa, menores de 5 anos,2014-01-01,384,356,5,8,389,364,753
OMEREQUE,consulta externa, menores de 5 anos,2014-01-01,151,108,9,9,160,117,277
ORURO,consulta externa, menores de 5 anos,2014-01-01,5209,4713,871,723,6080,5436,11516
PADCAYA,consulta externa, menores de 5 anos,2014-01-01,514,414,14,15,528,429,957
PADILLA,consulta externa, menores de 5 anos,2014-01-01,308,312,5,17,313,329,642
PAILON,consulta externa, menores de 5 anos,2014-01-01,477,445,31,19,508,464,972
PALCA,consulta externa, menores de 5 anos,2014-01-01,250,201,5,5,255,206,461
PALOS BLANCOS,consulta externa, menores de 5 anos,2014-01-01,890,791,107,67,997,858,1855
PAMPA AULLAGAS,consulta externa, menores de 5 anos,2014-01-01,62,55,1,0,63,55,118
PAMPA GRANDE,consulta externa, menores de 5 anos,2014-01-01,189,166,6,7,195,173,368
PAPEL PAMPA,consulta externa, menores de 5 anos,2014-01-01,110,91,10,2,120,93,213
PASORAPA,consulta externa, menores de 5 anos,2014-01-01,56,42,2,0,58,42,100
PATACAMAYA,consulta externa, menores de 5 anos,2014-01-01,94,109,8,3,102,112,214
PAZÑA,consulta externa, menores de 5 anos,2014-01-01,72,61,5,2,77,63,140
PELECHUCO,consulta externa, menores de 5 anos,2014-01-01,122,102,1,0,123,102,225
POCOATA,consulta externa, menores de 5 anos,2014-01-01,247,228,4,4,251,232,483
POCONA,consulta externa, menores de 5 anos,2014-01-01,174,158,30,29,204,187,391
POJO (CBBA),consulta externa, menores de 5 anos,2014-01-01,250,212,44,25,294,237,531
POOPO,consulta externa, menores de 5 anos,2014-01-01,72,79,0,1,72,80,152
PORCO,consulta externa, menores de 5 anos,2014-01-01,249,180,2,0,251,180,431
POROMA,consulta externa, menores de 5 anos,2014-01-01,288,286,3,7,291,293,584
PORONGO,consulta externa, menores de 5 anos,2014-01-01,265,155,21,18,286,173,459
PORTACHUELO,consulta externa, menores de 5 anos,2014-01-01,456,429,212,241,668,670,1338
PORVENIR,consulta externa, menores de 5 anos,2014-01-01,159,157,11,6,170,163,333
POSTRER VALLE,consulta externa, menores de 5 anos,2014-01-01,25,24,0,0,25,24,49
POTOSI,consulta externa, menores de 5 anos,2014-01-01,3919,3588,194,163,4113,3751,7864
PRESTO,consulta externa, menores de 5 anos,2014-01-01,153,140,1,6,154,146,300
PUCARA,consulta externa, menores de 5 anos,2014-01-01,41,36,5,0,46,36,82
PUCARANI,consulta externa, menores de 5 anos,2014-01-01,245,210,12,10,257,220,477
PUERTO ACOSTA,consulta externa, menores de 5 anos,2014-01-01,104,86,0,0,104,86,190
PUERTO CARABUCO,consulta externa, menores de 5 anos,2014-01-01,75,66,1,3,76,69,145
PUERTO GONZALO MORENO,consulta externa, menores de 5 anos,2014-01-01,206,206,4,4,210,210,420
PUERTO PEREZ,consulta externa, menores de 5 anos,2014-01-01,52,47,3,0,55,47,102
PUERTO QUIJARRO,consulta externa, menores de 5 anos,2014-01-01,271,265,10,5,281,270,551
PUERTO RICO,consulta externa, menores de 5 anos,2014-01-01,261,253,0,0,261,253,514
PUERTO SILES,consulta externa, menores de 5 anos,2014-01-01,20,14,1,0,21,14,35
PUERTO SUAREZ,consulta externa, menores de 5 anos,2014-01-01,247,214,19,27,266,241,507
PUERTO VILLARROEL,consulta externa, menores de 5 anos,2014-01-01,1737,1569,96,73,1833,1642,3475
PUNA,consulta externa, menores de 5 anos,2014-01-01,264,235,32,32,296,267,563
PUNATA,consulta externa, menores de 5 anos,2014-01-01,482,433,232,222,714,655,1369
QUIABAYA,consulta externa, menores de 5 anos,2014-01-01,38,37,3,2,41,39,80
QUILLACOLLO,consulta externa, menores de 5 anos,2014-01-01,1910,1727,2568,2288,4478,4015,8493
QUIME,consulta externa, menores de 5 anos,2014-01-01,150,137,1,4,151,141,292
QUIRUSILLAS,consulta externa, menores de 5 anos,2014-01-01,20,18,0,4,20,22,42
RAVELO,consulta externa, menores de 5 anos,2014-01-01,244,228,2,3,246,231,477
REYES,consulta externa, menores de 5 anos,2014-01-01,277,287,4,2,281,289,570
RIBERALTA,consulta externa, menores de 5 anos,2014-01-01,1937,1715,269,314,2206,2029,4235
ROBORE,consulta externa, menores de 5 anos,2014-01-01,357,290,32,33,389,323,712
RURRENABAQUE,consulta externa, menores de 5 anos,2014-01-01,456,393,36,23,492,416,908
SABAYA,consulta externa, menores de 5 anos,2014-01-01,43,31,2,1,45,32,77
SACABA,consulta externa, menores de 5 anos,2014-01-01,1855,1752,187,153,2042,1905,3947
SACABAMBA,consulta externa, menores de 5 anos,2014-01-01,60,45,12,15,72,60,132
SACACA,consulta externa, menores de 5 anos,2014-01-01,546,418,0,4,546,422,968
SAIPINA,consulta externa, menores de 5 anos,2014-01-01,127,101,11,11,138,112,250
SALINAS DE GARCI MENDOZA,consulta externa, menores de 5 anos,2014-01-01,169,132,8,1,177,133,310
SAMAIPATA,consulta externa, menores de 5 anos,2014-01-01,197,130,7,2,204,132,336
SAN AGUSTIN,consulta externa, menores de 5 anos,2014-01-01,40,46,1,0,41,46,87
SAN ANDRES,consulta externa, menores de 5 anos,2014-01-01,206,189,21,25,227,214,441
SAN ANDRES DE MACHACA,consulta externa, menores de 5 anos,2014-01-01,31,30,0,0,31,30,61
SAN ANTONIO DE ESMORUCO,consulta externa, menores de 5 anos,2014-01-01,36,29,6,2,42,31,73
SAN ANTONIO DE LOMERIO,consulta externa, menores de 5 anos,2014-01-01,158,166,4,1,162,167,329
SAN BENITO,consulta externa, menores de 5 anos,2014-01-01,180,183,82,93,262,276,538
SAN BORJA,consulta externa, menores de 5 anos,2014-01-01,601,511,7,13,608,524,1132
SAN BUENA VENTURA,consulta externa, menores de 5 anos,2014-01-01,291,266,11,11,302,277,579
SAN CARLOS,consulta externa, menores de 5 anos,2014-01-01,520,485,34,33,554,518,1072
SAN IGNACIO,consulta externa, menores de 5 anos,2014-01-01,648,571,138,145,786,716,1502
SAN IGNACIO DE VELASCO,consulta externa, menores de 5 anos,2014-01-01,1152,1061,436,396,1588,1457,3045
SAN JAVIER(BNI),consulta externa, menores de 5 anos,2014-01-01,41,52,7,4,48,56,104
SAN JAVIER(STC),consulta externa, menores de 5 anos,2014-01-01,123,156,0,3,123,159,282
SAN JOAQUIN,consulta externa, menores de 5 anos,2014-01-01,124,126,7,10,131,136,267
SAN JOSE DE CHIQUITOS,consulta externa, menores de 5 anos,2014-01-01,154,137,24,31,178,168,346
SAN JUAN DE YAPACANI,consulta externa, menores de 5 anos,2014-01-01,250,236,7,10,257,246,503
SAN JULIAN,consulta externa, menores de 5 anos,2014-01-01,1391,1294,146,136,1537,1430,2967
SAN LORENZO(PND),consulta externa, menores de 5 anos,2014-01-01,57,62,8,4,65,66,131
SAN LORENZO(TJA),consulta externa, menores de 5 anos,2014-01-01,480,457,43,28,523,485,1008
SAN LUCAS,consulta externa, menores de 5 anos,2014-01-01,702,596,12,7,714,603,1317
SAN MATIAS,consulta externa, menores de 5 anos,2014-01-01,300,294,15,16,315,310,625
SAN MIGUEL DE VELASCO,consulta externa, menores de 5 anos,2014-01-01,195,176,69,41,264,217,481
SAN PABLO DE LIPEZ,consulta externa, menores de 5 anos,2014-01-01,50,49,1,1,51,50,101
SAN PEDRO,consulta externa, menores de 5 anos,2014-01-01,459,421,23,28,482,449,931
SAN PEDRO DE BUENA VISTA,consulta externa, menores de 5 anos,2014-01-01,428,417,2,2,430,419,849
SAN PEDRO DE CURAHUARA,consulta externa, menores de 5 anos,2014-01-01,123,102,6,4,129,106,235
SAN PEDRO DE QUEMES,consulta externa, menores de 5 anos,2014-01-01,21,16,0,1,21,17,38
SAN PEDRO DE TIQUINA,consulta externa, menores de 5 anos,2014-01-01,40,31,12,11,52,42,94
SAN PEDRO(PND),consulta externa, menores de 5 anos,2014-01-01,49,30,2,1,51,31,82
SAN RAFAEL,consulta externa, menores de 5 anos,2014-01-01,275,235,17,14,292,249,541
SAN RAMON BENI,consulta externa, menores de 5 anos,2014-01-01,130,137,2,3,132,140,272
SAN RAMON SCZ,consulta externa, menores de 5 anos,2014-01-01,137,94,6,5,143,99,242
SANTA ANA,consulta externa, menores de 5 anos,2014-01-01,445,392,18,16,463,408,871
SANTA CRUZ DE LA SIERRA,consulta externa, menores de 5 anos,2014-01-01,19907,17953,4177,3580,24084,21533,45617
SANTA ROSA,consulta externa, menores de 5 anos,2014-01-01,147,111,2,4,149,115,264
SANTA ROSA DEL SARA,consulta externa, menores de 5 anos,2014-01-01,359,355,126,150,485,505,990
SANTIAGO DE CALLAPA,consulta externa, menores de 5 anos,2014-01-01,31,26,1,0,32,26,58
SANTIAGO DE HUARI,consulta externa, menores de 5 anos,2014-01-01,200,146,6,2,206,148,354
SANTIAGO DE HUATA,consulta externa, menores de 5 anos,2014-01-01,55,37,5,3,60,40,100
SANTIAGO DE MACHACA,consulta externa, menores de 5 anos,2014-01-01,21,35,0,0,21,35,56
SANTIVAÑES,consulta externa, menores de 5 anos,2014-01-01,80,71,2,2,82,73,155
SANTUARIO DE QUILLACAS,consulta externa, menores de 5 anos,2014-01-01,49,61,5,2,54,63,117
SAPAHAQUI,consulta externa, menores de 5 anos,2014-01-01,103,93,10,9,113,102,215
SENA,consulta externa, menores de 5 anos,2014-01-01,117,80,0,0,117,80,197
SHINAOTA,consulta externa, menores de 5 anos,2014-01-01,503,459,280,280,783,739,1522
SICA SICA (VILLA AROMA),consulta externa, menores de 5 anos,2014-01-01,243,204,6,6,249,210,459
SICAYA,consulta externa, menores de 5 anos,2014-01-01,56,51,1,1,57,52,109
SIPE SIPE,consulta externa, menores de 5 anos,2014-01-01,597,582,251,245,848,827,1675
SOPACHUY,consulta externa, menores de 5 anos,2014-01-01,180,145,0,4,180,149,329
SORACACHI,consulta externa, menores de 5 anos,2014-01-01,155,142,0,2,155,144,299
SORATA,consulta externa, menores de 5 anos,2014-01-01,151,159,50,50,201,209,410
SUCRE,consulta externa, menores de 5 anos,2014-01-01,7720,7404,2298,2278,10018,9682,19700
TACACHI,consulta externa, menores de 5 anos,2014-01-01,14,19,11,3,25,22,47
TACACOMA,consulta externa, menores de 5 anos,2014-01-01,118,103,14,6,132,109,241
TACOBAMBA,consulta externa, menores de 5 anos,2014-01-01,122,120,0,0,122,120,242
TACOPAYA,consulta externa, menores de 5 anos,2014-01-01,88,67,0,1,88,68,156
TAHUA,consulta externa, menores de 5 anos,2014-01-01,25,31,0,0,25,31,56
TAPACARI,consulta externa, menores de 5 anos,2014-01-01,573,491,24,16,597,507,1104
TARABUCO,consulta externa, menores de 5 anos,2014-01-01,278,230,26,29,304,259,563
TARACO,consulta externa, menores de 5 anos,2014-01-01,41,31,15,8,56,39,95
TARATA,consulta externa, menores de 5 anos,2014-01-01,151,110,63,77,214,187,401
TARIJA,consulta externa, menores de 5 anos,2014-01-01,5731,5361,788,830,6519,6191,12710
TARVITA,consulta externa, menores de 5 anos,2014-01-01,571,490,10,5,581,495,1076
TEOPONTE,consulta externa, menores de 5 anos,2014-01-01,262,252,13,16,275,268,543
TIAWANACU,consulta externa, menores de 5 anos,2014-01-01,123,106,18,16,141,122,263
TINGUIPAYA,consulta externa, menores de 5 anos,2014-01-01,421,352,2,2,423,354,777
TIPUANI,consulta externa, menores de 5 anos,2014-01-01,273,258,44,35,317,293,610
TIQUIPAYA,consulta externa, menores de 5 anos,2014-01-01,1070,980,397,385,1467,1365,2832
TIRAQUE (CBBA),consulta externa, menores de 5 anos,2014-01-01,247,237,41,30,288,267,555
TITO YUPANQUI (PARQUIPUJIO),consulta externa, menores de 5 anos,2014-01-01,9,6,12,7,21,13,34
TOCO,consulta externa, menores de 5 anos,2014-01-01,86,81,54,32,140,113,253
TODOS SANTOS,consulta externa, menores de 5 anos,2014-01-01,7,3,1,1,8,4,12
