,group,variable,month,TOTAL 1.4 PERSONAS DE 21 A 59 AÑOS NUEVO,TOTAL 1.4 PERSONAS DE 21 A 59 AÑOS NUEVO,TOTAL 1.4 PERSONAS DE 21 A 59 AÑOS REPETIDO,TOTAL 1.4 PERSONAS DE 21 A 59 AÑOS REPETIDO,TOTALES,TOTALES,TOTALES
AYO AYO,consulta externa, personas de 21 a 59 anos,2014-01-01,69,68,5,2,74,70,144
AYOPAYA (V. DE INDEPENDENCIA),consulta externa, personas de 21 a 59 anos,2014-01-01,280,417,12,18,292,435,727
AZURDUY,consulta externa, personas de 21 a 59 anos,2014-01-01,107,271,0,3,107,274,381
BATALLAS,consulta externa, personas de 21 a 59 anos,2014-01-01,69,154,0,7,69,161,230
BAURES,consulta externa, personas de 21 a 59 anos,2014-01-01,79,170,9,6,88,176,264
BELEN DE ANDAMARCA,consulta externa, personas de 21 a 59 anos,2014-01-01,12,28,1,4,13,32,45
BELEN DE URMIRI,consulta externa, personas de 21 a 59 anos,2014-01-01,8,15,1,0,9,15,24
BELLA FLOR,consulta externa, personas de 21 a 59 anos,2014-01-01,63,69,1,0,64,69,133
BERMEJO,consulta externa, personas de 21 a 59 anos,2014-01-01,1464,2743,102,211,1566,2954,4520
BETANZOS,consulta externa, personas de 21 a 59 anos,2014-01-01,388,836,36,53,424,889,1313
BOLIVAR,consulta externa, personas de 21 a 59 anos,2014-01-01,39,69,0,0,39,69,108
BOLPEBRA,consulta externa, personas de 21 a 59 anos,2014-01-01,59,53,1,4,60,57,117
BOYUIBE,consulta externa, personas de 21 a 59 anos,2014-01-01,67,185,7,19,74,204,278
BUENA VISTA,consulta externa, personas de 21 a 59 anos,2014-01-01,125,190,4,3,129,193,322
CABEZAS,consulta externa, personas de 21 a 59 anos,2014-01-01,499,733,36,40,535,773,1308
CAIROMA,consulta externa, personas de 21 a 59 anos,2014-01-01,180,257,19,11,199,268,467
"CAIZA ""D""",consulta externa, personas de 21 a 59 anos,2014-01-01,188,267,7,5,195,272,467
CAJUATA,consulta externa, personas de 21 a 59 anos,2014-01-01,180,196,5,2,185,198,383
CALACOTO,consulta externa, personas de 21 a 59 anos,2014-01-01,33,60,0,1,33,61,94
CALAMARCA,consulta externa, personas de 21 a 59 anos,2014-01-01,104,340,26,26,130,366,496
CAMARGO,consulta externa, personas de 21 a 59 anos,2014-01-01,323,623,16,26,339,649,988
CAMATAQUI (C. VILLA ABECIA),consulta externa, personas de 21 a 59 anos,2014-01-01,43,93,4,0,47,93,140
CAMIRI,consulta externa, personas de 21 a 59 anos,2014-01-01,1074,1139,157,250,1231,1389,2620
CAPINOTA,consulta externa, personas de 21 a 59 anos,2014-01-01,279,446,73,87,352,533,885
CAQUIAVIRI,consulta externa, personas de 21 a 59 anos,2014-01-01,75,115,2,8,77,123,200
CARACOLLO,consulta externa, personas de 21 a 59 anos,2014-01-01,66,160,13,47,79,207,286
CARANAVI,consulta externa, personas de 21 a 59 anos,2014-01-01,447,741,28,43,475,784,1259
CARANGAS,consulta externa, personas de 21 a 59 anos,2014-01-01,16,12,5,0,21,12,33
CARAPARI,consulta externa, personas de 21 a 59 anos,2014-01-01,582,870,1,8,583,878,1461
CARIPUYO,consulta externa, personas de 21 a 59 anos,2014-01-01,47,144,1,0,48,144,192
CARMEN RIVERO TORREZ,consulta externa, personas de 21 a 59 anos,2014-01-01,41,100,5,8,46,108,154
CATACORA,consulta externa, personas de 21 a 59 anos,2014-01-01,16,30,2,1,18,31,49
CHACARILLA,consulta externa, personas de 21 a 59 anos,2014-01-01,17,18,1,3,18,21,39
CHALLAPATA,consulta externa, personas de 21 a 59 anos,2014-01-01,376,497,72,139,448,636,1084
CHAQUI,consulta externa, personas de 21 a 59 anos,2014-01-01,61,138,0,2,61,140,201
CHARAGUA,consulta externa, personas de 21 a 59 anos,2014-01-01,200,431,10,19,210,450,660
CHARAÑA,consulta externa, personas de 21 a 59 anos,2014-01-01,25,45,2,1,27,46,73
CHAYANTA,consulta externa, personas de 21 a 59 anos,2014-01-01,154,336,4,19,158,355,513
CHIMORE,consulta externa, personas de 21 a 59 anos,2014-01-01,313,366,3,15,316,381,697
CHIPAYA,consulta externa, personas de 21 a 59 anos,2014-01-01,9,37,0,0,9,37,46
CHOQUE COTA,consulta externa, personas de 21 a 59 anos,2014-01-01,17,21,3,3,20,24,44
CHUA COCANI,consulta externa, personas de 21 a 59 anos,2014-01-01,20,52,4,4,24,56,80
CHULUMANI (V. DE LA LIBERTAD),consulta externa, personas de 21 a 59 anos,2014-01-01,184,298,36,54,220,352,572
CHUMA,consulta externa, personas de 21 a 59 anos,2014-01-01,109,168,5,15,114,183,297
CHUQUIHUTA AYLLU JUCUMANI,consulta externa, personas de 21 a 59 anos,2014-01-01,29,84,0,0,29,84,113
CKOCHAS,consulta externa, personas de 21 a 59 anos,2014-01-01,187,310,4,6,191,316,507
CLIZA,consulta externa, personas de 21 a 59 anos,2014-01-01,76,159,14,23,90,182,272
COBIJA,consulta externa, personas de 21 a 59 anos,2014-01-01,860,1953,225,860,1085,2813,3898
COCAPATA,consulta externa, personas de 21 a 59 anos,2014-01-01,52,58,1,15,53,73,126
COCHABAMBA,consulta externa, personas de 21 a 59 anos,2014-01-01,13932,31627,8911,22382,22843,54009,76852
COIPASA,consulta externa, personas de 21 a 59 anos,2014-01-01,15,28,0,0,15,28,43
COLCAPIRHUA,consulta externa, personas de 21 a 59 anos,2014-01-01,322,445,266,245,588,690,1278
"COLCHA ""K""",consulta externa, personas de 21 a 59 anos,2014-01-01,161,328,5,16,166,344,510
COLLANA,consulta externa, personas de 21 a 59 anos,2014-01-01,47,52,29,10,76,62,138
COLOMI,consulta externa, personas de 21 a 59 anos,2014-01-01,97,113,1,2,98,115,213
COLPA BELGICA,consulta externa, personas de 21 a 59 anos,2014-01-01,156,276,9,28,165,304,469
COLQUECHACA,consulta externa, personas de 21 a 59 anos,2014-01-01,165,461,15,11,180,472,652
COLQUENCHA,consulta externa, personas de 21 a 59 anos,2014-01-01,62,131,15,25,77,156,233
COLQUIRI,consulta externa, personas de 21 a 59 anos,2014-01-01,164,355,61,53,225,408,633
COMANCHE,consulta externa, personas de 21 a 59 anos,2014-01-01,16,19,0,2,16,21,37
COMARAPA,consulta externa, personas de 21 a 59 anos,2014-01-01,163,478,16,60,179,538,717
COMBAYA,consulta externa, personas de 21 a 59 anos,2014-01-01,8,14,0,0,8,14,22
CONCEPCION,consulta externa, personas de 21 a 59 anos,2014-01-01,40,137,18,33,58,170,228
COPACABANA,consulta externa, personas de 21 a 59 anos,2014-01-01,78,115,1,4,79,119,198
CORIPATA,consulta externa, personas de 21 a 59 anos,2014-01-01,132,239,14,29,146,268,414
CORO CORO,consulta externa, personas de 21 a 59 anos,2014-01-01,74,100,2,7,76,107,183
COROICO,consulta externa, personas de 21 a 59 anos,2014-01-01,164,265,74,121,238,386,624
CORQUE,consulta externa, personas de 21 a 59 anos,2014-01-01,112,98,8,6,120,104,224
COTAGAITA,consulta externa, personas de 21 a 59 anos,2014-01-01,627,1072,63,92,690,1164,1854
COTOCA,consulta externa, personas de 21 a 59 anos,2014-01-01,253,756,6,17,259,773,1032
CRUZ DE MACHACAMARCA,consulta externa, personas de 21 a 59 anos,2014-01-01,6,5,0,3,6,8,14
CUATRO CAÑADAS,consulta externa, personas de 21 a 59 anos,2014-01-01,166,397,5,7,171,404,575
CUCHUMUELA (V. G. VILLARROEL),consulta externa, personas de 21 a 59 anos,2014-01-01,1,9,0,0,1,9,10
CUEVO,consulta externa, personas de 21 a 59 anos,2014-01-01,76,183,2,10,78,193,271
CULPINA,consulta externa, personas de 21 a 59 anos,2014-01-01,98,284,0,1,98,285,383
CURAHUARA DE CARANGAS,consulta externa, personas de 21 a 59 anos,2014-01-01,23,66,0,0,23,66,89
CURVA,consulta externa, personas de 21 a 59 anos,2014-01-01,30,68,2,2,32,70,102
DESAGUADERO,consulta externa, personas de 21 a 59 anos,2014-01-01,42,51,0,1,42,52,94
EL ALTO,consulta externa, personas de 21 a 59 anos,2014-01-01,13209,26820,4218,10069,17427,36889,54316
EL CHORO,consulta externa, personas de 21 a 59 anos,2014-01-01,36,79,0,2,36,81,117
EL PUENTE(STC),consulta externa, personas de 21 a 59 anos,2014-01-01,122,293,1,0,123,293,416
EL PUENTE(TJA),consulta externa, personas de 21 a 59 anos,2014-01-01,327,675,2,13,329,688,1017
EL TORNO,consulta externa, personas de 21 a 59 anos,2014-01-01,787,1335,275,311,1062,1646,2708
EL VILLAR,consulta externa, personas de 21 a 59 anos,2014-01-01,138,195,5,2,143,197,340
ENTRE RIOS TRJ,consulta externa, personas de 21 a 59 anos,2014-01-01,645,1296,12,44,657,1340,1997
ENTRE RIOS CBBA,consulta externa, personas de 21 a 59 anos,2014-01-01,210,415,4,16,214,431,645
ESCARA,consulta externa, personas de 21 a 59 anos,2014-01-01,10,20,0,4,10,24,34
ESCOMA,consulta externa, personas de 21 a 59 anos,2014-01-01,38,68,8,11,46,79,125
ESMERALDA,consulta externa, personas de 21 a 59 anos,2014-01-01,15,26,1,1,16,27,43
EUCALIPTUS,consulta externa, personas de 21 a 59 anos,2014-01-01,19,54,1,6,20,60,80
EUREKA (SANTOS MERCADO),consulta externa, personas de 21 a 59 anos,2014-01-01,15,17,0,0,15,17,32
EXALTACION,consulta externa, personas de 21 a 59 anos,2014-01-01,11,6,1,1,12,7,19
FERNANDEZ ALONSO,consulta externa, personas de 21 a 59 anos,2014-01-01,103,454,2,8,105,462,567
FILADELFIA,consulta externa, personas de 21 a 59 anos,2014-01-01,69,90,0,0,69,90,159
GENERAL SAAVEDRA,consulta externa, personas de 21 a 59 anos,2014-01-01,97,245,1,11,98,256,354
GRAL. J.J. PEREZ (CHARAZANI),consulta externa, personas de 21 a 59 anos,2014-01-01,107,134,13,9,120,143,263
GUANAY,consulta externa, personas de 21 a 59 anos,2014-01-01,85,145,4,6,89,151,240
GUAQUI,consulta externa, personas de 21 a 59 anos,2014-01-01,24,65,0,0,24,65,89
GUAYARAMERIN,consulta externa, personas de 21 a 59 anos,2014-01-01,910,1559,355,590,1265,2149,3414
GUTIERREZ,consulta externa, personas de 21 a 59 anos,2014-01-01,104,247,2,8,106,255,361
HUACARETA,consulta externa, personas de 21 a 59 anos,2014-01-01,163,240,9,13,172,253,425
HUACAYA (VILLA DE HUACAYA),consulta externa, personas de 21 a 59 anos,2014-01-01,48,96,0,0,48,96,144
HUACHACALLA,consulta externa, personas de 21 a 59 anos,2014-01-01,111,105,3,2,114,107,221
HUANUNI,consulta externa, personas de 21 a 59 anos,2014-01-01,1882,1266,512,316,2394,1582,3976
HUARACAJE,consulta externa, personas de 21 a 59 anos,2014-01-01,30,81,3,3,33,84,117
HUARINA,consulta externa, personas de 21 a 59 anos,2014-01-01,13,46,9,14,22,60,82
HUATAJATA,consulta externa, personas de 21 a 59 anos,2014-01-01,19,56,7,17,26,73,99
HUAYLLAMARCA,consulta externa, personas de 21 a 59 anos,2014-01-01,49,43,4,1,53,44,97
HUMANATA,consulta externa, personas de 21 a 59 anos,2014-01-01,22,33,0,1,22,34,56
ICHOCA,consulta externa, personas de 21 a 59 anos,2014-01-01,16,43,0,0,16,43,59
ICLA,consulta externa, personas de 21 a 59 anos,2014-01-01,89,275,2,7,91,282,373
INCAHUASI,consulta externa, personas de 21 a 59 anos,2014-01-01,30,188,1,6,31,194,225
INGAVI (HUMAITA),consulta externa, personas de 21 a 59 anos,2014-01-01,17,30,2,0,19,30,49
INQUISIVI,consulta externa, personas de 21 a 59 anos,2014-01-01,67,74,1,2,68,76,144
IRUPANA (VILLA DE LANZA),consulta externa, personas de 21 a 59 anos,2014-01-01,181,383,7,16,188,399,587
IXIAMAS,consulta externa, personas de 21 a 59 anos,2014-01-01,91,141,2,1,93,142,235
JESUS DE MACHACA,consulta externa, personas de 21 a 59 anos,2014-01-01,120,237,25,17,145,254,399
LA ASUNTA,consulta externa, personas de 21 a 59 anos,2014-01-01,399,796,30,50,429,846,1275
LA GUARDIA,consulta externa, personas de 21 a 59 anos,2014-01-01,589,1121,18,82,607,1203,1810
LA PAZ,consulta externa, personas de 21 a 59 anos,2014-01-01,16460,39110,10878,26600,27338,65710,93048
LA RIVERA,consulta externa, personas de 21 a 59 anos,2014-01-01,20,15,0,2,20,17,37
LAGUNILLAS,consulta externa, personas de 21 a 59 anos,2014-01-01,140,275,1,5,141,280,421
LAJA,consulta externa, personas de 21 a 59 anos,2014-01-01,61,168,9,14,70,182,252
LAS CARRERAS,consulta externa, personas de 21 a 59 anos,2014-01-01,99,250,1,0,100,250,350
LICOMA PAMPA,consulta externa, personas de 21 a 59 anos,2014-01-01,30,40,6,8,36,48,84
LLALLAGUA,consulta externa, personas de 21 a 59 anos,2014-01-01,466,928,285,407,751,1335,2086
LLICA,consulta externa, personas de 21 a 59 anos,2014-01-01,102,134,2,3,104,137,241
LORETO,consulta externa, personas de 21 a 59 anos,2014-01-01,82,155,6,13,88,168,256
LURIBAY,consulta externa, personas de 21 a 59 anos,2014-01-01,144,155,9,3,153,158,311
MACHACAMARCA,consulta externa, personas de 21 a 59 anos,2014-01-01,124,95,5,8,129,103,232
MACHARETI,consulta externa, personas de 21 a 59 anos,2014-01-01,238,349,10,11,248,360,608
MAGDALENA,consulta externa, personas de 21 a 59 anos,2014-01-01,205,430,86,162,291,592,883
MAIRANA,consulta externa, personas de 21 a 59 anos,2014-01-01,112,289,2,15,114,304,418
MALLA,consulta externa, personas de 21 a 59 anos,2014-01-01,23,28,3,3,26,31,57
MAPIRI,consulta externa, personas de 21 a 59 anos,2014-01-01,199,250,2,1,201,251,452
MECAPACA,consulta externa, personas de 21 a 59 anos,2014-01-01,84,172,5,18,89,190,279
MINEROS,consulta externa, personas de 21 a 59 anos,2014-01-01,61,229,4,6,65,235,300
MIZQUE,consulta externa, personas de 21 a 59 anos,2014-01-01,164,362,48,231,212,593,805
MOCOMOCO,consulta externa, personas de 21 a 59 anos,2014-01-01,111,161,2,3,113,164,277
MOJINETE,consulta externa, personas de 21 a 59 anos,2014-01-01,18,40,0,2,18,42,60
MOJOCOYA,consulta externa, personas de 21 a 59 anos,2014-01-01,91,184,8,20,99,204,303
MONTEAGUDO,consulta externa, personas de 21 a 59 anos,2014-01-01,797,1605,66,412,863,2017,2880
MONTERO,consulta externa, personas de 21 a 59 anos,2014-01-01,1022,2968,398,1064,1420,4032,5452
MORO MORO,consulta externa, personas de 21 a 59 anos,2014-01-01,35,73,3,8,38,81,119
MOROCHATA,consulta externa, personas de 21 a 59 anos,2014-01-01,39,113,2,6,41,119,160
NACEBE (SANTA ROSA DEL ABUNA),consulta externa, personas de 21 a 59 anos,2014-01-01,56,67,0,0,56,67,123
NAZACARA DE PACAJES,consulta externa, personas de 21 a 59 anos,2014-01-01,7,20,0,0,7,20,27
NUEVO MANOA (NUEVA ESPERANZA),consulta externa, personas de 21 a 59 anos,2014-01-01,55,51,3,1,58,52,110
OCURI,consulta externa, personas de 21 a 59 anos,2014-01-01,81,227,0,5,81,232,313
OKINAWA,consulta externa, personas de 21 a 59 anos,2014-01-01,227,289,2,13,229,302,531
OMEREQUE,consulta externa, personas de 21 a 59 anos,2014-01-01,101,193,6,9,107,202,309
ORURO,consulta externa, personas de 21 a 59 anos,2014-01-01,6304,11616,2313,3907,8617,15523,24140
PADCAYA,consulta externa, personas de 21 a 59 anos,2014-01-01,844,1392,9,35,853,1427,2280
PADILLA,consulta externa, personas de 21 a 59 anos,2014-01-01,464,974,8,15,472,989,1461
PAILON,consulta externa, personas de 21 a 59 anos,2014-01-01,161,342,13,38,174,380,554
PALCA,consulta externa, personas de 21 a 59 anos,2014-01-01,126,213,3,4,129,217,346
PALOS BLANCOS,consulta externa, personas de 21 a 59 anos,2014-01-01,473,750,27,9,500,759,1259
PAMPA AULLAGAS,consulta externa, personas de 21 a 59 anos,2014-01-01,55,53,3,1,58,54,112
PAMPA GRANDE,consulta externa, personas de 21 a 59 anos,2014-01-01,55,134,2,2,57,136,193
PAPEL PAMPA,consulta externa, personas de 21 a 59 anos,2014-01-01,59,145,4,10,63,155,218
PASORAPA,consulta externa, personas de 21 a 59 anos,2014-01-01,63,100,2,2,65,102,167
PATACAMAYA,consulta externa, personas de 21 a 59 anos,2014-01-01,95,178,0,6,95,184,279
PAZÑA,consulta externa, personas de 21 a 59 anos,2014-01-01,95,126,11,16,106,142,248
PELECHUCO,consulta externa, personas de 21 a 59 anos,2014-01-01,136,169,3,1,139,170,309
POCOATA,consulta externa, personas de 21 a 59 anos,2014-01-01,95,219,1,3,96,222,318
POCONA,consulta externa, personas de 21 a 59 anos,2014-01-01,167,255,4,8,171,263,434
POJO (CBBA),consulta externa, personas de 21 a 59 anos,2014-01-01,98,179,2,2,100,181,281
POOPO,consulta externa, personas de 21 a 59 anos,2014-01-01,119,118,12,1,131,119,250
PORCO,consulta externa, personas de 21 a 59 anos,2014-01-01,74,127,3,1,77,128,205
POROMA,consulta externa, personas de 21 a 59 anos,2014-01-01,125,342,3,5,128,347,475
PORONGO,consulta externa, personas de 21 a 59 anos,2014-01-01,115,220,1,4,116,224,340
PORTACHUELO,consulta externa, personas de 21 a 59 anos,2014-01-01,238,615,36,162,274,777,1051
PORVENIR,consulta externa, personas de 21 a 59 anos,2014-01-01,100,194,1,30,101,224,325
POSTRER VALLE,consulta externa, personas de 21 a 59 anos,2014-01-01,33,49,2,4,35,53,88
POTOSI,consulta externa, personas de 21 a 59 anos,2014-01-01,6421,11412,1761,3039,8182,14451,22633
PRESTO,consulta externa, personas de 21 a 59 anos,2014-01-01,91,217,0,1,91,218,309
PUCARA,consulta externa, personas de 21 a 59 anos,2014-01-01,39,73,2,18,41,91,132
PUCARANI,consulta externa, personas de 21 a 59 anos,2014-01-01,113,220,5,14,118,234,352
PUERTO ACOSTA,consulta externa, personas de 21 a 59 anos,2014-01-01,52,110,4,6,56,116,172
PUERTO CARABUCO,consulta externa, personas de 21 a 59 anos,2014-01-01,133,166,17,17,150,183,333
PUERTO GONZALO MORENO,consulta externa, personas de 21 a 59 anos,2014-01-01,125,164,21,6,146,170,316
PUERTO PEREZ,consulta externa, personas de 21 a 59 anos,2014-01-01,102,108,3,9,105,117,222
PUERTO QUIJARRO,consulta externa, personas de 21 a 59 anos,2014-01-01,326,509,13,21,339,530,869
PUERTO RICO,consulta externa, personas de 21 a 59 anos,2014-01-01,209,382,3,19,212,401,613
PUERTO SILES,consulta externa, personas de 21 a 59 anos,2014-01-01,40,52,2,1,42,53,95
PUERTO SUAREZ,consulta externa, personas de 21 a 59 anos,2014-01-01,151,359,37,83,188,442,630
PUERTO VILLARROEL,consulta externa, personas de 21 a 59 anos,2014-01-01,699,1179,24,330,723,1509,2232
PUNA,consulta externa, personas de 21 a 59 anos,2014-01-01,214,431,3,10,217,441,658
PUNATA,consulta externa, personas de 21 a 59 anos,2014-01-01,264,771,129,470,393,1241,1634
QUIABAYA,consulta externa, personas de 21 a 59 anos,2014-01-01,30,55,7,1,37,56,93
QUILLACOLLO,consulta externa, personas de 21 a 59 anos,2014-01-01,1703,3965,468,1186,2171,5151,7322
QUIME,consulta externa, personas de 21 a 59 anos,2014-01-01,282,207,33,14,315,221,536
QUIRUSILLAS,consulta externa, personas de 21 a 59 anos,2014-01-01,17,52,0,0,17,52,69
RAVELO,consulta externa, personas de 21 a 59 anos,2014-01-01,110,346,5,7,115,353,468
REYES,consulta externa, personas de 21 a 59 anos,2014-01-01,122,321,2,7,124,328,452
RIBERALTA,consulta externa, personas de 21 a 59 anos,2014-01-01,720,2514,151,621,871,3135,4006
ROBORE,consulta externa, personas de 21 a 59 anos,2014-01-01,265,567,32,58,297,625,922
RURRENABAQUE,consulta externa, personas de 21 a 59 anos,2014-01-01,271,512,92,268,363,780,1143
SABAYA,consulta externa, personas de 21 a 59 anos,2014-01-01,82,88,3,1,85,89,174
SACABA,consulta externa, personas de 21 a 59 anos,2014-01-01,879,1718,232,442,1111,2160,3271
SACABAMBA,consulta externa, personas de 21 a 59 anos,2014-01-01,43,40,1,2,44,42,86
SACACA,consulta externa, personas de 21 a 59 anos,2014-01-01,85,317,2,1,87,318,405
SAIPINA,consulta externa, personas de 21 a 59 anos,2014-01-01,58,137,9,12,67,149,216
SALINAS DE GARCI MENDOZA,consulta externa, personas de 21 a 59 anos,2014-01-01,186,270,3,9,189,279,468
SAMAIPATA,consulta externa, personas de 21 a 59 anos,2014-01-01,149,230,7,10,156,240,396
SAN AGUSTIN,consulta externa, personas de 21 a 59 anos,2014-01-01,70,105,4,2,74,107,181
SAN ANDRES,consulta externa, personas de 21 a 59 anos,2014-01-01,136,251,6,10,142,261,403
SAN ANDRES DE MACHACA,consulta externa, personas de 21 a 59 anos,2014-01-01,41,59,6,7,47,66,113
SAN ANTONIO DE ESMORUCO,consulta externa, personas de 21 a 59 anos,2014-01-01,16,42,0,0,16,42,58
SAN ANTONIO DE LOMERIO,consulta externa, personas de 21 a 59 anos,2014-01-01,61,103,0,0,61,103,164
SAN BENITO,consulta externa, personas de 21 a 59 anos,2014-01-01,51,147,11,19,62,166,228
SAN BORJA,consulta externa, personas de 21 a 59 anos,2014-01-01,355,989,39,309,394,1298,1692
SAN BUENA VENTURA,consulta externa, personas de 21 a 59 anos,2014-01-01,162,341,5,11,167,352,519
SAN CARLOS,consulta externa, personas de 21 a 59 anos,2014-01-01,157,693,4,16,161,709,870
SAN IGNACIO,consulta externa, personas de 21 a 59 anos,2014-01-01,335,795,38,161,373,956,1329
SAN IGNACIO DE VELASCO,consulta externa, personas de 21 a 59 anos,2014-01-01,428,910,7,44,435,954,1389
SAN JAVIER(BNI),consulta externa, personas de 21 a 59 anos,2014-01-01,35,51,6,6,41,57,98
SAN JAVIER(STC),consulta externa, personas de 21 a 59 anos,2014-01-01,68,129,2,3,70,132,202
SAN JOAQUIN,consulta externa, personas de 21 a 59 anos,2014-01-01,27,32,1,1,28,33,61
SAN JOSE DE CHIQUITOS,consulta externa, personas de 21 a 59 anos,2014-01-01,120,359,6,31,126,390,516
SAN JUAN DE YAPACANI,consulta externa, personas de 21 a 59 anos,2014-01-01,108,370,6,29,114,399,513
SAN JULIAN,consulta externa, personas de 21 a 59 anos,2014-01-01,559,1152,9,158,568,1310,1878
SAN LORENZO(PND),consulta externa, personas de 21 a 59 anos,2014-01-01,5,8,0,0,5,8,13
SAN LORENZO(TJA),consulta externa, personas de 21 a 59 anos,2014-01-01,498,1035,34,88,532,1123,1655
SAN LUCAS,consulta externa, personas de 21 a 59 anos,2014-01-01,341,939,1,11,342,950,1292
SAN MATIAS,consulta externa, personas de 21 a 59 anos,2014-01-01,82,167,5,27,87,194,281
SAN MIGUEL DE VELASCO,consulta externa, personas de 21 a 59 anos,2014-01-01,80,157,19,31,99,188,287
SAN PABLO DE LIPEZ,consulta externa, personas de 21 a 59 anos,2014-01-01,81,120,1,5,82,125,207
SAN PEDRO,consulta externa, personas de 21 a 59 anos,2014-01-01,273,508,8,17,281,525,806
SAN PEDRO DE BUENA VISTA,consulta externa, personas de 21 a 59 anos,2014-01-01,107,279,2,1,109,280,389
SAN PEDRO DE CURAHUARA,consulta externa, personas de 21 a 59 anos,2014-01-01,60,120,1,4,61,124,185
SAN PEDRO DE QUEMES,consulta externa, personas de 21 a 59 anos,2014-01-01,15,38,0,1,15,39,54
SAN PEDRO DE TIQUINA,consulta externa, personas de 21 a 59 anos,2014-01-01,37,86,13,16,50,102,152
SAN PEDRO(PND),consulta externa, personas de 21 a 59 anos,2014-01-01,34,44,2,4,36,48,84
SAN RAFAEL,consulta externa, personas de 21 a 59 anos,2014-01-01,48,120,1,3,49,123,172
SAN RAMON BENI,consulta externa, personas de 21 a 59 anos,2014-01-01,77,115,2,6,79,121,200
SAN RAMON SCZ,consulta externa, personas de 21 a 59 anos,2014-01-01,96,249,27,198,123,447,570
SANTA ANA,consulta externa, personas de 21 a 59 anos,2014-01-01,201,427,62,76,263,503,766
SANTA CRUZ DE LA SIERRA,consulta externa, personas de 21 a 59 anos,2014-01-01,23028,48342,7745,24419,30773,72761,103534
SANTA ROSA,consulta externa, personas de 21 a 59 anos,2014-01-01,31,198,2,7,33,205,238
SANTA ROSA DEL SARA,consulta externa, personas de 21 a 59 anos,2014-01-01,204,398,3,5,207,403,610
SANTIAGO DE CALLAPA,consulta externa, personas de 21 a 59 anos,2014-01-01,6,13,0,0,6,13,19
SANTIAGO DE HUARI,consulta externa, personas de 21 a 59 anos,2014-01-01,305,305,18,9,323,314,637
SANTIAGO DE HUATA,consulta externa, personas de 21 a 59 anos,2014-01-01,49,52,7,0,56,52,108
SANTIAGO DE MACHACA,consulta externa, personas de 21 a 59 anos,2014-01-01,21,29,1,2,22,31,53
SANTIVAÑES,consulta externa, personas de 21 a 59 anos,2014-01-01,55,113,0,9,55,122,177
SANTUARIO DE QUILLACAS,consulta externa, personas de 21 a 59 anos,2014-01-01,36,65,2,3,38,68,106
SAPAHAQUI,consulta externa, personas de 21 a 59 anos,2014-01-01,102,102,2,2,104,104,208
SENA,consulta externa, personas de 21 a 59 anos,2014-01-01,51,107,0,0,51,107,158
SHINAOTA,consulta externa, personas de 21 a 59 anos,2014-01-01,308,557,19,34,327,591,918
SICA SICA (VILLA AROMA),consulta externa, personas de 21 a 59 anos,2014-01-01,227,331,11,22,238,353,591
