,group,variable,month,TOTAL 1.2 PERSONAS DE 5 A 9 AÑOS NUEVO,TOTAL 1.2 PERSONAS DE 5 A 9 AÑOS NUEVO,TOTAL 1.2 PERSONAS DE 5 A 9 AÑOS REPETIDO,TOTAL 1.2 PERSONAS DE 5 A 9 AÑOS REPETIDO,TOTALES,TOTALES,TOTALES
AYO AYO,consulta externa, personas de 5 a 9 anos,2014-01-01,6,5,0,2,6,7,13
AYOPAYA (V. DE INDEPENDENCIA),consulta externa, personas de 5 a 9 anos,2014-01-01,32,37,3,2,35,39,74
AZURDUY,consulta externa, personas de 5 a 9 anos,2014-01-01,17,13,0,1,17,14,31
BATALLAS,consulta externa, personas de 5 a 9 anos,2014-01-01,14,17,1,0,15,17,32
BAURES,consulta externa, personas de 5 a 9 anos,2014-01-01,74,31,0,0,74,31,105
BELEN DE ANDAMARCA,consulta externa, personas de 5 a 9 anos,2014-01-01,1,3,0,0,1,3,4
BELEN DE URMIRI,consulta externa, personas de 5 a 9 anos,2014-01-01,2,0,0,0,2,0,2
BELLA FLOR,consulta externa, personas de 5 a 9 anos,2014-01-01,19,15,1,0,20,15,35
BERMEJO,consulta externa, personas de 5 a 9 anos,2014-01-01,355,331,46,21,401,352,753
BETANZOS,consulta externa, personas de 5 a 9 anos,2014-01-01,50,52,3,2,53,54,107
BOLIVAR,consulta externa, personas de 5 a 9 anos,2014-01-01,1,3,0,0,1,3,4
BOLPEBRA,consulta externa, personas de 5 a 9 anos,2014-01-01,11,4,2,0,13,4,17
BOYUIBE,consulta externa, personas de 5 a 9 anos,2014-01-01,30,19,1,2,31,21,52
BUENA VISTA,consulta externa, personas de 5 a 9 anos,2014-01-01,37,28,0,0,37,28,65
CABEZAS,consulta externa, personas de 5 a 9 anos,2014-01-01,77,90,6,8,83,98,181
CAIROMA,consulta externa, personas de 5 a 9 anos,2014-01-01,39,25,0,0,39,25,64
"CAIZA ""D""",consulta externa, personas de 5 a 9 anos,2014-01-01,38,31,0,0,38,31,69
CAJUATA,consulta externa, personas de 5 a 9 anos,2014-01-01,27,24,0,0,27,24,51
CALACOTO,consulta externa, personas de 5 a 9 anos,2014-01-01,5,2,0,0,5,2,7
CALAMARCA,consulta externa, personas de 5 a 9 anos,2014-01-01,26,17,0,0,26,17,43
CAMARGO,consulta externa, personas de 5 a 9 anos,2014-01-01,51,34,1,0,52,34,86
CAMATAQUI (C. VILLA ABECIA),consulta externa, personas de 5 a 9 anos,2014-01-01,7,3,0,0,7,3,10
CAMIRI,consulta externa, personas de 5 a 9 anos,2014-01-01,148,128,119,155,267,283,550
CAPINOTA,consulta externa, personas de 5 a 9 anos,2014-01-01,63,50,10,3,73,53,126
CAQUIAVIRI,consulta externa, personas de 5 a 9 anos,2014-01-01,12,6,1,1,13,7,20
CARACOLLO,consulta externa, personas de 5 a 9 anos,2014-01-01,30,32,4,0,34,32,66
CARANAVI,consulta externa, personas de 5 a 9 anos,2014-01-01,80,112,2,5,82,117,199
CARANGAS,consulta externa, personas de 5 a 9 anos,2014-01-01,1,0,0,0,1,0,1
CARAPARI,consulta externa, personas de 5 a 9 anos,2014-01-01,95,99,1,0,96,99,195
CARIPUYO,consulta externa, personas de 5 a 9 anos,2014-01-01,8,8,0,0,8,8,16
CARMEN RIVERO TORREZ,consulta externa, personas de 5 a 9 anos,2014-01-01,19,6,1,0,20,6,26
CATACORA,consulta externa, personas de 5 a 9 anos,2014-01-01,1,3,0,0,1,3,4
CHACARILLA,consulta externa, personas de 5 a 9 anos,2014-01-01,2,1,0,0,2,1,3
CHALLAPATA,consulta externa, personas de 5 a 9 anos,2014-01-01,49,47,4,10,53,57,110
CHAQUI,consulta externa, personas de 5 a 9 anos,2014-01-01,13,7,1,0,14,7,21
CHARAGUA,consulta externa, personas de 5 a 9 anos,2014-01-01,66,58,0,1,66,59,125
CHARAÑA,consulta externa, personas de 5 a 9 anos,2014-01-01,6,4,0,0,6,4,10
CHAYANTA,consulta externa, personas de 5 a 9 anos,2014-01-01,41,22,1,2,42,24,66
CHIMORE,consulta externa, personas de 5 a 9 anos,2014-01-01,83,66,1,0,84,66,150
CHIPAYA,consulta externa, personas de 5 a 9 anos,2014-01-01,1,1,0,0,1,1,2
CHOQUE COTA,consulta externa, personas de 5 a 9 anos,2014-01-01,2,4,0,0,2,4,6
CHUA COCANI,consulta externa, personas de 5 a 9 anos,2014-01-01,1,2,0,0,1,2,3
CHULUMANI (V. DE LA LIBERTAD),consulta externa, personas de 5 a 9 anos,2014-01-01,39,43,6,4,45,47,92
CHUMA,consulta externa, personas de 5 a 9 anos,2014-01-01,21,17,0,2,21,19,40
CHUQUIHUTA AYLLU JUCUMANI,consulta externa, personas de 5 a 9 anos,2014-01-01,6,6,0,0,6,6,12
CKOCHAS,consulta externa, personas de 5 a 9 anos,2014-01-01,30,17,0,0,30,17,47
CLIZA,consulta externa, personas de 5 a 9 anos,2014-01-01,27,42,6,7,33,49,82
COBIJA,consulta externa, personas de 5 a 9 anos,2014-01-01,178,196,25,27,203,223,426
COCAPATA,consulta externa, personas de 5 a 9 anos,2014-01-01,12,10,0,0,12,10,22
COCHABAMBA,consulta externa, personas de 5 a 9 anos,2014-01-01,3267,3300,1743,1672,5010,4972,9982
COIPASA,consulta externa, personas de 5 a 9 anos,2014-01-01,3,5,0,0,3,5,8
COLCAPIRHUA,consulta externa, personas de 5 a 9 anos,2014-01-01,121,64,87,31,208,95,303
"COLCHA ""K""",consulta externa, personas de 5 a 9 anos,2014-01-01,24,15,0,0,24,15,39
COLLANA,consulta externa, personas de 5 a 9 anos,2014-01-01,8,5,0,0,8,5,13
COLOMI,consulta externa, personas de 5 a 9 anos,2014-01-01,24,18,0,0,24,18,42
COLPA BELGICA,consulta externa, personas de 5 a 9 anos,2014-01-01,41,32,5,3,46,35,81
COLQUECHACA,consulta externa, personas de 5 a 9 anos,2014-01-01,19,30,8,5,27,35,62
COLQUENCHA,consulta externa, personas de 5 a 9 anos,2014-01-01,13,13,1,0,14,13,27
COLQUIRI,consulta externa, personas de 5 a 9 anos,2014-01-01,23,23,0,0,23,23,46
COMANCHE,consulta externa, personas de 5 a 9 anos,2014-01-01,5,2,0,0,5,2,7
COMARAPA,consulta externa, personas de 5 a 9 anos,2014-01-01,50,38,11,3,61,41,102
COMBAYA,consulta externa, personas de 5 a 9 anos,2014-01-01,1,1,0,0,1,1,2
CONCEPCION,consulta externa, personas de 5 a 9 anos,2014-01-01,10,3,2,5,12,8,20
COPACABANA,consulta externa, personas de 5 a 9 anos,2014-01-01,17,16,0,0,17,16,33
CORIPATA,consulta externa, personas de 5 a 9 anos,2014-01-01,29,31,2,4,31,35,66
CORO CORO,consulta externa, personas de 5 a 9 anos,2014-01-01,4,11,0,0,4,11,15
COROICO,consulta externa, personas de 5 a 9 anos,2014-01-01,37,30,11,12,48,42,90
CORQUE,consulta externa, personas de 5 a 9 anos,2014-01-01,11,6,1,0,12,6,18
COTAGAITA,consulta externa, personas de 5 a 9 anos,2014-01-01,87,114,13,11,100,125,225
COTOCA,consulta externa, personas de 5 a 9 anos,2014-01-01,87,109,3,1,90,110,200
CUATRO CAÑADAS,consulta externa, personas de 5 a 9 anos,2014-01-01,27,41,0,1,27,42,69
CUCHUMUELA (V. G. VILLARROEL),consulta externa, personas de 5 a 9 anos,2014-01-01,2,0,0,0,2,0,2
CUEVO,consulta externa, personas de 5 a 9 anos,2014-01-01,22,23,1,0,23,23,46
CULPINA,consulta externa, personas de 5 a 9 anos,2014-01-01,14,19,0,0,14,19,33
CURAHUARA DE CARANGAS,consulta externa, personas de 5 a 9 anos,2014-01-01,3,3,0,0,3,3,6
CURVA,consulta externa, personas de 5 a 9 anos,2014-01-01,2,3,0,0,2,3,5
DESAGUADERO,consulta externa, personas de 5 a 9 anos,2014-01-01,10,7,0,0,10,7,17
EL ALTO,consulta externa, personas de 5 a 9 anos,2014-01-01,3244,3779,633,704,3877,4483,8360
EL CHORO,consulta externa, personas de 5 a 9 anos,2014-01-01,7,7,0,0,7,7,14
EL PUENTE(STC),consulta externa, personas de 5 a 9 anos,2014-01-01,39,32,2,0,41,32,73
EL PUENTE(TJA),consulta externa, personas de 5 a 9 anos,2014-01-01,39,58,2,0,41,58,99
EL TORNO,consulta externa, personas de 5 a 9 anos,2014-01-01,317,280,30,33,347,313,660
EL VILLAR,consulta externa, personas de 5 a 9 anos,2014-01-01,31,29,1,0,32,29,61
ENTRE RIOS TRJ,consulta externa, personas de 5 a 9 anos,2014-01-01,128,177,1,0,129,177,306
ENTRE RIOS CBBA,consulta externa, personas de 5 a 9 anos,2014-01-01,51,56,2,0,53,56,109
ESCARA,consulta externa, personas de 5 a 9 anos,2014-01-01,1,1,0,0,1,1,2
ESCOMA,consulta externa, personas de 5 a 9 anos,2014-01-01,9,8,0,0,9,8,17
ESMERALDA,consulta externa, personas de 5 a 9 anos,2014-01-01,5,1,0,0,5,1,6
EUCALIPTUS,consulta externa, personas de 5 a 9 anos,2014-01-01,10,8,0,0,10,8,18
EUREKA (SANTOS MERCADO),consulta externa, personas de 5 a 9 anos,2014-01-01,6,3,0,0,6,3,9
EXALTACION,consulta externa, personas de 5 a 9 anos,2014-01-01,5,7,0,0,5,7,12
FERNANDEZ ALONSO,consulta externa, personas de 5 a 9 anos,2014-01-01,71,49,1,0,72,49,121
FILADELFIA,consulta externa, personas de 5 a 9 anos,2014-01-01,15,10,0,0,15,10,25
GENERAL SAAVEDRA,consulta externa, personas de 5 a 9 anos,2014-01-01,30,28,0,1,30,29,59
GRAL. J.J. PEREZ (CHARAZANI),consulta externa, personas de 5 a 9 anos,2014-01-01,15,22,1,0,16,22,38
GUANAY,consulta externa, personas de 5 a 9 anos,2014-01-01,20,25,0,0,20,25,45
GUAQUI,consulta externa, personas de 5 a 9 anos,2014-01-01,5,3,1,0,6,3,9
GUAYARAMERIN,consulta externa, personas de 5 a 9 anos,2014-01-01,253,280,65,79,318,359,677
GUTIERREZ,consulta externa, personas de 5 a 9 anos,2014-01-01,24,21,0,0,24,21,45
HUACARETA,consulta externa, personas de 5 a 9 anos,2014-01-01,27,15,1,2,28,17,45
HUACAYA (VILLA DE HUACAYA),consulta externa, personas de 5 a 9 anos,2014-01-01,5,6,0,0,5,6,11
HUACHACALLA,consulta externa, personas de 5 a 9 anos,2014-01-01,8,9,0,0,8,9,17
HUANUNI,consulta externa, personas de 5 a 9 anos,2014-01-01,130,134,8,18,138,152,290
HUARACAJE,consulta externa, personas de 5 a 9 anos,2014-01-01,8,14,0,0,8,14,22
HUARINA,consulta externa, personas de 5 a 9 anos,2014-01-01,3,4,0,0,3,4,7
HUATAJATA,consulta externa, personas de 5 a 9 anos,2014-01-01,3,5,0,0,3,5,8
HUAYLLAMARCA,consulta externa, personas de 5 a 9 anos,2014-01-01,4,7,0,0,4,7,11
HUMANATA,consulta externa, personas de 5 a 9 anos,2014-01-01,6,6,0,0,6,6,12
ICHOCA,consulta externa, personas de 5 a 9 anos,2014-01-01,1,0,0,0,1,0,1
ICLA,consulta externa, personas de 5 a 9 anos,2014-01-01,13,9,0,0,13,9,22
INCAHUASI,consulta externa, personas de 5 a 9 anos,2014-01-01,6,9,0,0,6,9,15
INGAVI (HUMAITA),consulta externa, personas de 5 a 9 anos,2014-01-01,5,5,0,0,5,5,10
INQUISIVI,consulta externa, personas de 5 a 9 anos,2014-01-01,17,4,2,1,19,5,24
IRUPANA (VILLA DE LANZA),consulta externa, personas de 5 a 9 anos,2014-01-01,27,37,1,2,28,39,67
IXIAMAS,consulta externa, personas de 5 a 9 anos,2014-01-01,19,18,1,0,20,18,38
JESUS DE MACHACA,consulta externa, personas de 5 a 9 anos,2014-01-01,10,11,0,0,10,11,21
LA ASUNTA,consulta externa, personas de 5 a 9 anos,2014-01-01,103,99,9,2,112,101,213
LA GUARDIA,consulta externa, personas de 5 a 9 anos,2014-01-01,222,196,6,5,228,201,429
LA PAZ,consulta externa, personas de 5 a 9 anos,2014-01-01,2991,2917,1225,1263,4216,4180,8396
LA RIVERA,consulta externa, personas de 5 a 9 anos,2014-01-01,1,0,0,0,1,0,1
LAGUNILLAS,consulta externa, personas de 5 a 9 anos,2014-01-01,45,68,1,3,46,71,117
LAJA,consulta externa, personas de 5 a 9 anos,2014-01-01,16,18,0,5,16,23,39
LAS CARRERAS,consulta externa, personas de 5 a 9 anos,2014-01-01,12,21,0,0,12,21,33
LICOMA PAMPA,consulta externa, personas de 5 a 9 anos,2014-01-01,7,8,0,0,7,8,15
LLALLAGUA,consulta externa, personas de 5 a 9 anos,2014-01-01,71,74,22,15,93,89,182
LLICA,consulta externa, personas de 5 a 9 anos,2014-01-01,10,12,0,0,10,12,22
LORETO,consulta externa, personas de 5 a 9 anos,2014-01-01,29,28,0,1,29,29,58
LURIBAY,consulta externa, personas de 5 a 9 anos,2014-01-01,17,18,0,0,17,18,35
MACHACAMARCA,consulta externa, personas de 5 a 9 anos,2014-01-01,11,9,1,1,12,10,22
MACHARETI,consulta externa, personas de 5 a 9 anos,2014-01-01,34,25,0,1,34,26,60
MAGDALENA,consulta externa, personas de 5 a 9 anos,2014-01-01,68,70,12,10,80,80,160
MAIRANA,consulta externa, personas de 5 a 9 anos,2014-01-01,29,27,2,0,31,27,58
MALLA,consulta externa, personas de 5 a 9 anos,2014-01-01,2,4,0,0,2,4,6
MAPIRI,consulta externa, personas de 5 a 9 anos,2014-01-01,30,36,0,0,30,36,66
MECAPACA,consulta externa, personas de 5 a 9 anos,2014-01-01,20,18,4,0,24,18,42
MINEROS,consulta externa, personas de 5 a 9 anos,2014-01-01,20,15,1,1,21,16,37
MIZQUE,consulta externa, personas de 5 a 9 anos,2014-01-01,46,38,1,3,47,41,88
MOCOMOCO,consulta externa, personas de 5 a 9 anos,2014-01-01,16,5,0,0,16,5,21
MOJINETE,consulta externa, personas de 5 a 9 anos,2014-01-01,1,3,0,0,1,3,4
MOJOCOYA,consulta externa, personas de 5 a 9 anos,2014-01-01,9,13,0,1,9,14,23
MONTEAGUDO,consulta externa, personas de 5 a 9 anos,2014-01-01,204,183,16,14,220,197,417
MONTERO,consulta externa, personas de 5 a 9 anos,2014-01-01,429,422,48,51,477,473,950
MORO MORO,consulta externa, personas de 5 a 9 anos,2014-01-01,12,11,0,0,12,11,23
MOROCHATA,consulta externa, personas de 5 a 9 anos,2014-01-01,6,10,0,1,6,11,17
NACEBE (SANTA ROSA DEL ABUNA),consulta externa, personas de 5 a 9 anos,2014-01-01,19,4,0,0,19,4,23
NAZACARA DE PACAJES,consulta externa, personas de 5 a 9 anos,2014-01-01,2,1,0,0,2,1,3
NUEVO MANOA (NUEVA ESPERANZA),consulta externa, personas de 5 a 9 anos,2014-01-01,12,3,0,0,12,3,15
OCURI,consulta externa, personas de 5 a 9 anos,2014-01-01,7,7,0,1,7,8,15
OKINAWA,consulta externa, personas de 5 a 9 anos,2014-01-01,44,34,0,1,44,35,79
OMEREQUE,consulta externa, personas de 5 a 9 anos,2014-01-01,18,16,0,0,18,16,34
ORURO,consulta externa, personas de 5 a 9 anos,2014-01-01,1693,1770,354,349,2047,2119,4166
PADCAYA,consulta externa, personas de 5 a 9 anos,2014-01-01,166,156,2,3,168,159,327
PADILLA,consulta externa, personas de 5 a 9 anos,2014-01-01,57,78,0,0,57,78,135
PAILON,consulta externa, personas de 5 a 9 anos,2014-01-01,33,18,2,3,35,21,56
PALCA,consulta externa, personas de 5 a 9 anos,2014-01-01,19,33,1,0,20,33,53
PALOS BLANCOS,consulta externa, personas de 5 a 9 anos,2014-01-01,120,77,2,2,122,79,201
PAMPA AULLAGAS,consulta externa, personas de 5 a 9 anos,2014-01-01,5,9,0,0,5,9,14
PAMPA GRANDE,consulta externa, personas de 5 a 9 anos,2014-01-01,17,26,1,0,18,26,44
PAPEL PAMPA,consulta externa, personas de 5 a 9 anos,2014-01-01,6,3,0,0,6,3,9
PASORAPA,consulta externa, personas de 5 a 9 anos,2014-01-01,5,3,0,0,5,3,8
PATACAMAYA,consulta externa, personas de 5 a 9 anos,2014-01-01,7,11,0,0,7,11,18
PAZÑA,consulta externa, personas de 5 a 9 anos,2014-01-01,12,10,0,0,12,10,22
PELECHUCO,consulta externa, personas de 5 a 9 anos,2014-01-01,9,9,0,0,9,9,18
POCOATA,consulta externa, personas de 5 a 9 anos,2014-01-01,22,8,0,2,22,10,32
POCONA,consulta externa, personas de 5 a 9 anos,2014-01-01,21,21,0,2,21,23,44
POJO (CBBA),consulta externa, personas de 5 a 9 anos,2014-01-01,25,23,2,0,27,23,50
POOPO,consulta externa, personas de 5 a 9 anos,2014-01-01,16,13,0,2,16,15,31
PORCO,consulta externa, personas de 5 a 9 anos,2014-01-01,14,14,0,0,14,14,28
POROMA,consulta externa, personas de 5 a 9 anos,2014-01-01,14,8,0,0,14,8,22
PORONGO,consulta externa, personas de 5 a 9 anos,2014-01-01,37,31,0,0,37,31,68
PORTACHUELO,consulta externa, personas de 5 a 9 anos,2014-01-01,71,72,12,8,83,80,163
PORVENIR,consulta externa, personas de 5 a 9 anos,2014-01-01,23,33,0,3,23,36,59
POSTRER VALLE,consulta externa, personas de 5 a 9 anos,2014-01-01,6,1,0,0,6,1,7
POTOSI,consulta externa, personas de 5 a 9 anos,2014-01-01,709,719,126,106,835,825,1660
PRESTO,consulta externa, personas de 5 a 9 anos,2014-01-01,7,6,0,0,7,6,13
PUCARA,consulta externa, personas de 5 a 9 anos,2014-01-01,7,6,0,0,7,6,13
PUCARANI,consulta externa, personas de 5 a 9 anos,2014-01-01,17,15,3,1,20,16,36
PUERTO ACOSTA,consulta externa, personas de 5 a 9 anos,2014-01-01,3,8,0,0,3,8,11
PUERTO CARABUCO,consulta externa, personas de 5 a 9 anos,2014-01-01,16,18,2,0,18,18,36
PUERTO GONZALO MORENO,consulta externa, personas de 5 a 9 anos,2014-01-01,25,34,3,0,28,34,62
PUERTO PEREZ,consulta externa, personas de 5 a 9 anos,2014-01-01,8,6,1,1,9,7,16
PUERTO QUIJARRO,consulta externa, personas de 5 a 9 anos,2014-01-01,55,58,3,3,58,61,119
PUERTO RICO,consulta externa, personas de 5 a 9 anos,2014-01-01,69,70,1,1,70,71,141
PUERTO SILES,consulta externa, personas de 5 a 9 anos,2014-01-01,3,8,0,0,3,8,11
PUERTO SUAREZ,consulta externa, personas de 5 a 9 anos,2014-01-01,45,46,9,21,54,67,121
PUERTO VILLARROEL,consulta externa, personas de 5 a 9 anos,2014-01-01,147,122,4,3,151,125,276
PUNA,consulta externa, personas de 5 a 9 anos,2014-01-01,43,34,0,0,43,34,77
PUNATA,consulta externa, personas de 5 a 9 anos,2014-01-01,72,81,26,19,98,100,198
QUIABAYA,consulta externa, personas de 5 a 9 anos,2014-01-01,9,6,0,0,9,6,15
QUILLACOLLO,consulta externa, personas de 5 a 9 anos,2014-01-01,708,640,219,177,927,817,1744
QUIME,consulta externa, personas de 5 a 9 anos,2014-01-01,20,23,1,5,21,28,49
QUIRUSILLAS,consulta externa, personas de 5 a 9 anos,2014-01-01,7,2,0,0,7,2,9
RAVELO,consulta externa, personas de 5 a 9 anos,2014-01-01,24,13,6,0,30,13,43
REYES,consulta externa, personas de 5 a 9 anos,2014-01-01,53,68,0,2,53,70,123
RIBERALTA,consulta externa, personas de 5 a 9 anos,2014-01-01,478,374,22,28,500,402,902
ROBORE,consulta externa, personas de 5 a 9 anos,2014-01-01,96,60,3,1,99,61,160
RURRENABAQUE,consulta externa, personas de 5 a 9 anos,2014-01-01,88,49,23,10,111,59,170
SABAYA,consulta externa, personas de 5 a 9 anos,2014-01-01,5,5,0,0,5,5,10
SACABA,consulta externa, personas de 5 a 9 anos,2014-01-01,293,258,45,47,338,305,643
SACABAMBA,consulta externa, personas de 5 a 9 anos,2014-01-01,1,8,0,1,1,9,10
SACACA,consulta externa, personas de 5 a 9 anos,2014-01-01,11,9,0,0,11,9,20
SAIPINA,consulta externa, personas de 5 a 9 anos,2014-01-01,30,24,4,5,34,29,63
SALINAS DE GARCI MENDOZA,consulta externa, personas de 5 a 9 anos,2014-01-01,21,16,2,0,23,16,39
SAMAIPATA,consulta externa, personas de 5 a 9 anos,2014-01-01,32,25,7,0,39,25,64
SAN AGUSTIN,consulta externa, personas de 5 a 9 anos,2014-01-01,6,8,1,0,7,8,15
SAN ANDRES,consulta externa, personas de 5 a 9 anos,2014-01-01,56,46,2,2,58,48,106
SAN ANDRES DE MACHACA,consulta externa, personas de 5 a 9 anos,2014-01-01,5,7,0,0,5,7,12
SAN ANTONIO DE ESMORUCO,consulta externa, personas de 5 a 9 anos,2014-01-01,5,2,0,0,5,2,7
SAN ANTONIO DE LOMERIO,consulta externa, personas de 5 a 9 anos,2014-01-01,14,11,0,0,14,11,25
SAN BENITO,consulta externa, personas de 5 a 9 anos,2014-01-01,22,11,1,2,23,13,36
SAN BORJA,consulta externa, personas de 5 a 9 anos,2014-01-01,82,91,3,10,85,101,186
SAN BUENA VENTURA,consulta externa, personas de 5 a 9 anos,2014-01-01,43,44,1,2,44,46,90
SAN CARLOS,consulta externa, personas de 5 a 9 anos,2014-01-01,60,58,1,2,61,60,121
SAN IGNACIO,consulta externa, personas de 5 a 9 anos,2014-01-01,136,207,22,29,158,236,394
SAN IGNACIO DE VELASCO,consulta externa, personas de 5 a 9 anos,2014-01-01,74,78,1,1,75,79,154
SAN JAVIER(BNI),consulta externa, personas de 5 a 9 anos,2014-01-01,20,12,0,0,20,12,32
SAN JAVIER(STC),consulta externa, personas de 5 a 9 anos,2014-01-01,23,22,0,0,23,22,45
SAN JOAQUIN,consulta externa, personas de 5 a 9 anos,2014-01-01,7,5,1,0,8,5,13
SAN JOSE DE CHIQUITOS,consulta externa, personas de 5 a 9 anos,2014-01-01,46,47,1,7,47,54,101
SAN JUAN DE YAPACANI,consulta externa, personas de 5 a 9 anos,2014-01-01,38,28,2,3,40,31,71
SAN JULIAN,consulta externa, personas de 5 a 9 anos,2014-01-01,135,101,2,1,137,102,239
SAN LORENZO(PND),consulta externa, personas de 5 a 9 anos,2014-01-01,2,3,0,0,2,3,5
SAN LORENZO(TJA),consulta externa, personas de 5 a 9 anos,2014-01-01,114,141,6,13,120,154,274
SAN LUCAS,consulta externa, personas de 5 a 9 anos,2014-01-01,63,49,0,0,63,49,112
SAN MATIAS,consulta externa, personas de 5 a 9 anos,2014-01-01,23,21,1,1,24,22,46
SAN MIGUEL DE VELASCO,consulta externa, personas de 5 a 9 anos,2014-01-01,14,26,4,4,18,30,48
SAN PABLO DE LIPEZ,consulta externa, personas de 5 a 9 anos,2014-01-01,12,8,0,0,12,8,20
SAN PEDRO,consulta externa, personas de 5 a 9 anos,2014-01-01,92,103,3,6,95,109,204
SAN PEDRO DE BUENA VISTA,consulta externa, personas de 5 a 9 anos,2014-01-01,7,11,0,0,7,11,18
SAN PEDRO DE CURAHUARA,consulta externa, personas de 5 a 9 anos,2014-01-01,8,9,0,0,8,9,17
SAN PEDRO DE QUEMES,consulta externa, personas de 5 a 9 anos,2014-01-01,2,5,0,0,2,5,7
SAN PEDRO DE TIQUINA,consulta externa, personas de 5 a 9 anos,2014-01-01,4,7,0,0,4,7,11
SAN PEDRO(PND),consulta externa, personas de 5 a 9 anos,2014-01-01,11,6,3,0,14,6,20
SAN RAFAEL,consulta externa, personas de 5 a 9 anos,2014-01-01,18,17,0,0,18,17,35
SAN RAMON BENI,consulta externa, personas de 5 a 9 anos,2014-01-01,22,25,13,1,35,26,61
SAN RAMON SCZ,consulta externa, personas de 5 a 9 anos,2014-01-01,22,31,6,5,28,36,64
SANTA ANA,consulta externa, personas de 5 a 9 anos,2014-01-01,117,98,3,11,120,109,229
SANTA CRUZ DE LA SIERRA,consulta externa, personas de 5 a 9 anos,2014-01-01,5529,5777,1501,1534,7030,7311,14341
SANTA ROSA,consulta externa, personas de 5 a 9 anos,2014-01-01,29,17,1,0,30,17,47
SANTA ROSA DEL SARA,consulta externa, personas de 5 a 9 anos,2014-01-01,46,38,2,0,48,38,86
SANTIAGO DE CALLAPA,consulta externa, personas de 5 a 9 anos,2014-01-01,2,2,0,0,2,2,4
SANTIAGO DE HUARI,consulta externa, personas de 5 a 9 anos,2014-01-01,42,31,1,0,43,31,74
SANTIAGO DE HUATA,consulta externa, personas de 5 a 9 anos,2014-01-01,1,3,2,0,3,3,6
SANTIAGO DE MACHACA,consulta externa, personas de 5 a 9 anos,2014-01-01,2,3,0,0,2,3,5
SANTIVAÑES,consulta externa, personas de 5 a 9 anos,2014-01-01,11,19,0,2,11,21,32
SANTUARIO DE QUILLACAS,consulta externa, personas de 5 a 9 anos,2014-01-01,1,4,0,0,1,4,5
SAPAHAQUI,consulta externa, personas de 5 a 9 anos,2014-01-01,12,10,0,0,12,10,22
SENA,consulta externa, personas de 5 a 9 anos,2014-01-01,17,15,0,1,17,16,33
SHINAOTA,consulta externa, personas de 5 a 9 anos,2014-01-01,78,93,2,1,80,94,174
SICA SICA (VILLA AROMA),consulta externa, personas de 5 a 9 anos,2014-01-01,25,27,0,1,25,28,53
SICAYA,consulta externa, personas de 5 a 9 anos,2014-01-01,4,2,0,0,4,2,6
SIPE SIPE,consulta externa, personas de 5 a 9 anos,2014-01-01,71,74,8,8,79,82,161
SOPACHUY,consulta externa, personas de 5 a 9 anos,2014-01-01,19,28,0,0,19,28,47
