,group,variable,month,TOTAL 1.3 PERSONAS DE 10 A 20 AÑOS NUEVO,TOTAL 1.3 PERSONAS DE 10 A 20 AÑOS NUEVO,TOTAL 1.3 PERSONAS DE 10 A 20 AÑOS REPETIDO,TOTAL 1.3 PERSONAS DE 10 A 20 AÑOS REPETIDO,TOTALES,TOTALES,TOTALES
AYO AYO,consulta externa, personas de 10 a 20 anos,2014-01-01,21,30,0,1,21,31,52
AYOPAYA (V. DE INDEPENDENCIA),consulta externa, personas de 10 a 20 anos,2014-01-01,58,108,1,4,59,112,171
AZURDUY,consulta externa, personas de 10 a 20 anos,2014-01-01,32,95,0,3,32,98,130
BATALLAS,consulta externa, personas de 10 a 20 anos,2014-01-01,24,57,0,2,24,59,83
BAURES,consulta externa, personas de 10 a 20 anos,2014-01-01,51,68,2,2,53,70,123
BELEN DE ANDAMARCA,consulta externa, personas de 10 a 20 anos,2014-01-01,3,6,0,0,3,6,9
BELEN DE URMIRI,consulta externa, personas de 10 a 20 anos,2014-01-01,4,10,0,1,4,11,15
BELLA FLOR,consulta externa, personas de 10 a 20 anos,2014-01-01,26,31,1,0,27,31,58
BERMEJO,consulta externa, personas de 10 a 20 anos,2014-01-01,639,996,35,16,674,1012,1686
BETANZOS,consulta externa, personas de 10 a 20 anos,2014-01-01,192,264,6,9,198,273,471
BOLIVAR,consulta externa, personas de 10 a 20 anos,2014-01-01,10,9,0,0,10,9,19
BOLPEBRA,consulta externa, personas de 10 a 20 anos,2014-01-01,26,23,1,0,27,23,50
BOYUIBE,consulta externa, personas de 10 a 20 anos,2014-01-01,48,70,4,10,52,80,132
BUENA VISTA,consulta externa, personas de 10 a 20 anos,2014-01-01,52,81,3,0,55,81,136
CABEZAS,consulta externa, personas de 10 a 20 anos,2014-01-01,209,295,9,10,218,305,523
CAIROMA,consulta externa, personas de 10 a 20 anos,2014-01-01,56,110,8,8,64,118,182
"CAIZA ""D""",consulta externa, personas de 10 a 20 anos,2014-01-01,50,73,0,1,50,74,124
CAJUATA,consulta externa, personas de 10 a 20 anos,2014-01-01,56,75,1,0,57,75,132
CALACOTO,consulta externa, personas de 10 a 20 anos,2014-01-01,7,15,0,0,7,15,22
CALAMARCA,consulta externa, personas de 10 a 20 anos,2014-01-01,58,105,2,9,60,114,174
CAMARGO,consulta externa, personas de 10 a 20 anos,2014-01-01,75,110,3,1,78,111,189
CAMATAQUI (C. VILLA ABECIA),consulta externa, personas de 10 a 20 anos,2014-01-01,12,27,0,1,12,28,40
CAMIRI,consulta externa, personas de 10 a 20 anos,2014-01-01,329,450,93,156,422,606,1028
CAPINOTA,consulta externa, personas de 10 a 20 anos,2014-01-01,78,159,10,18,88,177,265
CAQUIAVIRI,consulta externa, personas de 10 a 20 anos,2014-01-01,20,23,0,2,20,25,45
CARACOLLO,consulta externa, personas de 10 a 20 anos,2014-01-01,47,85,3,6,50,91,141
CARANAVI,consulta externa, personas de 10 a 20 anos,2014-01-01,152,232,11,14,163,246,409
CARANGAS,consulta externa, personas de 10 a 20 anos,2014-01-01,11,6,0,0,11,6,17
CARAPARI,consulta externa, personas de 10 a 20 anos,2014-01-01,223,315,2,1,225,316,541
CARIPUYO,consulta externa, personas de 10 a 20 anos,2014-01-01,20,47,0,0,20,47,67
CARMEN RIVERO TORREZ,consulta externa, personas de 10 a 20 anos,2014-01-01,16,43,1,2,17,45,62
CATACORA,consulta externa, personas de 10 a 20 anos,2014-01-01,4,12,0,0,4,12,16
CHACARILLA,consulta externa, personas de 10 a 20 anos,2014-01-01,1,9,0,0,1,9,10
CHALLAPATA,consulta externa, personas de 10 a 20 anos,2014-01-01,90,172,15,3,105,175,280
CHAQUI,consulta externa, personas de 10 a 20 anos,2014-01-01,28,51,0,1,28,52,80
CHARAGUA,consulta externa, personas de 10 a 20 anos,2014-01-01,96,162,2,9,98,171,269
CHARAÑA,consulta externa, personas de 10 a 20 anos,2014-01-01,11,13,0,1,11,14,25
CHAYANTA,consulta externa, personas de 10 a 20 anos,2014-01-01,45,57,3,2,48,59,107
CHIMORE,consulta externa, personas de 10 a 20 anos,2014-01-01,134,191,7,3,141,194,335
CHIPAYA,consulta externa, personas de 10 a 20 anos,2014-01-01,3,2,0,0,3,2,5
CHOQUE COTA,consulta externa, personas de 10 a 20 anos,2014-01-01,5,10,0,1,5,11,16
CHUA COCANI,consulta externa, personas de 10 a 20 anos,2014-01-01,6,12,0,1,6,13,19
CHULUMANI (V. DE LA LIBERTAD),consulta externa, personas de 10 a 20 anos,2014-01-01,64,73,6,7,70,80,150
CHUMA,consulta externa, personas de 10 a 20 anos,2014-01-01,24,56,0,2,24,58,82
CHUQUIHUTA AYLLU JUCUMANI,consulta externa, personas de 10 a 20 anos,2014-01-01,9,24,0,0,9,24,33
CKOCHAS,consulta externa, personas de 10 a 20 anos,2014-01-01,44,74,1,0,45,74,119
CLIZA,consulta externa, personas de 10 a 20 anos,2014-01-01,33,42,3,5,36,47,83
COBIJA,consulta externa, personas de 10 a 20 anos,2014-01-01,391,580,76,164,467,744,1211
COCAPATA,consulta externa, personas de 10 a 20 anos,2014-01-01,31,22,4,10,35,32,67
COCHABAMBA,consulta externa, personas de 10 a 20 anos,2014-01-01,4035,6357,2356,3294,6391,9651,16042
COIPASA,consulta externa, personas de 10 a 20 anos,2014-01-01,9,6,0,0,9,6,15
COLCAPIRHUA,consulta externa, personas de 10 a 20 anos,2014-01-01,164,182,154,70,318,252,570
"COLCHA ""K""",consulta externa, personas de 10 a 20 anos,2014-01-01,33,73,1,4,34,77,111
COLLANA,consulta externa, personas de 10 a 20 anos,2014-01-01,11,16,3,8,14,24,38
COLOMI,consulta externa, personas de 10 a 20 anos,2014-01-01,34,84,1,1,35,85,120
COLPA BELGICA,consulta externa, personas de 10 a 20 anos,2014-01-01,37,63,3,5,40,68,108
COLQUECHACA,consulta externa, personas de 10 a 20 anos,2014-01-01,38,95,6,6,44,101,145
COLQUENCHA,consulta externa, personas de 10 a 20 anos,2014-01-01,26,53,10,2,36,55,91
COLQUIRI,consulta externa, personas de 10 a 20 anos,2014-01-01,44,96,1,5,45,101,146
COMANCHE,consulta externa, personas de 10 a 20 anos,2014-01-01,7,7,0,0,7,7,14
COMARAPA,consulta externa, personas de 10 a 20 anos,2014-01-01,76,149,12,25,88,174,262
COMBAYA,consulta externa, personas de 10 a 20 anos,2014-01-01,6,4,0,0,6,4,10
CONCEPCION,consulta externa, personas de 10 a 20 anos,2014-01-01,17,61,2,8,19,69,88
COPACABANA,consulta externa, personas de 10 a 20 anos,2014-01-01,30,38,1,0,31,38,69
CORIPATA,consulta externa, personas de 10 a 20 anos,2014-01-01,51,64,4,6,55,70,125
CORO CORO,consulta externa, personas de 10 a 20 anos,2014-01-01,24,43,2,5,26,48,74
COROICO,consulta externa, personas de 10 a 20 anos,2014-01-01,50,64,20,16,70,80,150
CORQUE,consulta externa, personas de 10 a 20 anos,2014-01-01,80,38,0,2,80,40,120
COTAGAITA,consulta externa, personas de 10 a 20 anos,2014-01-01,199,294,19,20,218,314,532
COTOCA,consulta externa, personas de 10 a 20 anos,2014-01-01,140,378,8,9,148,387,535
CRUZ DE MACHACAMARCA,consulta externa, personas de 10 a 20 anos,2014-01-01,5,0,0,0,5,0,5
CUATRO CAÑADAS,consulta externa, personas de 10 a 20 anos,2014-01-01,75,152,4,3,79,155,234
CUCHUMUELA (V. G. VILLARROEL),consulta externa, personas de 10 a 20 anos,2014-01-01,0,4,0,0,0,4,4
CUEVO,consulta externa, personas de 10 a 20 anos,2014-01-01,24,49,0,1,24,50,74
CULPINA,consulta externa, personas de 10 a 20 anos,2014-01-01,27,63,0,0,27,63,90
CURAHUARA DE CARANGAS,consulta externa, personas de 10 a 20 anos,2014-01-01,13,14,0,0,13,14,27
CURVA,consulta externa, personas de 10 a 20 anos,2014-01-01,5,16,0,0,5,16,21
DESAGUADERO,consulta externa, personas de 10 a 20 anos,2014-01-01,16,15,0,0,16,15,31
EL ALTO,consulta externa, personas de 10 a 20 anos,2014-01-01,4897,7328,1253,1929,6150,9257,15407
EL CHORO,consulta externa, personas de 10 a 20 anos,2014-01-01,11,27,0,0,11,27,38
EL PUENTE(STC),consulta externa, personas de 10 a 20 anos,2014-01-01,50,85,1,0,51,85,136
EL PUENTE(TJA),consulta externa, personas de 10 a 20 anos,2014-01-01,95,181,0,5,95,186,281
EL TORNO,consulta externa, personas de 10 a 20 anos,2014-01-01,348,495,70,69,418,564,982
EL VILLAR,consulta externa, personas de 10 a 20 anos,2014-01-01,61,76,3,1,64,77,141
ENTRE RIOS TRJ,consulta externa, personas de 10 a 20 anos,2014-01-01,221,448,1,13,222,461,683
ENTRE RIOS CBBA,consulta externa, personas de 10 a 20 anos,2014-01-01,143,181,4,9,147,190,337
ESCARA,consulta externa, personas de 10 a 20 anos,2014-01-01,3,7,0,0,3,7,10
ESCOMA,consulta externa, personas de 10 a 20 anos,2014-01-01,17,13,0,0,17,13,30
ESMERALDA,consulta externa, personas de 10 a 20 anos,2014-01-01,19,12,0,0,19,12,31
EUCALIPTUS,consulta externa, personas de 10 a 20 anos,2014-01-01,10,19,1,1,11,20,31
EUREKA (SANTOS MERCADO),consulta externa, personas de 10 a 20 anos,2014-01-01,8,8,0,0,8,8,16
EXALTACION,consulta externa, personas de 10 a 20 anos,2014-01-01,6,7,0,1,6,8,14
FERNANDEZ ALONSO,consulta externa, personas de 10 a 20 anos,2014-01-01,49,106,0,2,49,108,157
FILADELFIA,consulta externa, personas de 10 a 20 anos,2014-01-01,25,38,0,0,25,38,63
GENERAL SAAVEDRA,consulta externa, personas de 10 a 20 anos,2014-01-01,37,82,1,3,38,85,123
GRAL. J.J. PEREZ (CHARAZANI),consulta externa, personas de 10 a 20 anos,2014-01-01,35,26,1,0,36,26,62
GUANAY,consulta externa, personas de 10 a 20 anos,2014-01-01,22,75,0,0,22,75,97
GUAQUI,consulta externa, personas de 10 a 20 anos,2014-01-01,12,18,1,4,13,22,35
GUAYARAMERIN,consulta externa, personas de 10 a 20 anos,2014-01-01,352,661,135,223,487,884,1371
GUTIERREZ,consulta externa, personas de 10 a 20 anos,2014-01-01,57,94,0,2,57,96,153
HUACARETA,consulta externa, personas de 10 a 20 anos,2014-01-01,51,74,4,2,55,76,131
HUACAYA (VILLA DE HUACAYA),consulta externa, personas de 10 a 20 anos,2014-01-01,28,42,0,0,28,42,70
HUACHACALLA,consulta externa, personas de 10 a 20 anos,2014-01-01,42,21,0,0,42,21,63
HUANUNI,consulta externa, personas de 10 a 20 anos,2014-01-01,199,273,19,31,218,304,522
HUARACAJE,consulta externa, personas de 10 a 20 anos,2014-01-01,18,35,8,3,26,38,64
HUARINA,consulta externa, personas de 10 a 20 anos,2014-01-01,6,9,0,1,6,10,16
HUATAJATA,consulta externa, personas de 10 a 20 anos,2014-01-01,8,17,1,2,9,19,28
HUAYLLAMARCA,consulta externa, personas de 10 a 20 anos,2014-01-01,10,14,0,1,10,15,25
HUMANATA,consulta externa, personas de 10 a 20 anos,2014-01-01,0,13,0,0,0,13,13
ICHOCA,consulta externa, personas de 10 a 20 anos,2014-01-01,8,10,0,0,8,10,18
ICLA,consulta externa, personas de 10 a 20 anos,2014-01-01,23,39,0,1,23,40,63
INCAHUASI,consulta externa, personas de 10 a 20 anos,2014-01-01,9,29,1,1,10,30,40
INGAVI (HUMAITA),consulta externa, personas de 10 a 20 anos,2014-01-01,5,34,0,1,5,35,40
INQUISIVI,consulta externa, personas de 10 a 20 anos,2014-01-01,16,30,0,0,16,30,46
IRUPANA (VILLA DE LANZA),consulta externa, personas de 10 a 20 anos,2014-01-01,67,92,1,2,68,94,162
IXIAMAS,consulta externa, personas de 10 a 20 anos,2014-01-01,34,46,0,1,34,47,81
JESUS DE MACHACA,consulta externa, personas de 10 a 20 anos,2014-01-01,30,84,5,8,35,92,127
LA ASUNTA,consulta externa, personas de 10 a 20 anos,2014-01-01,178,285,8,7,186,292,478
LA GUARDIA,consulta externa, personas de 10 a 20 anos,2014-01-01,335,510,18,38,353,548,901
LA PAZ,consulta externa, personas de 10 a 20 anos,2014-01-01,5706,8285,2946,3957,8652,12242,20894
LA RIVERA,consulta externa, personas de 10 a 20 anos,2014-01-01,10,3,0,0,10,3,13
LAGUNILLAS,consulta externa, personas de 10 a 20 anos,2014-01-01,68,109,0,4,68,113,181
LAJA,consulta externa, personas de 10 a 20 anos,2014-01-01,26,49,2,4,28,53,81
LAS CARRERAS,consulta externa, personas de 10 a 20 anos,2014-01-01,36,73,2,0,38,73,111
LICOMA PAMPA,consulta externa, personas de 10 a 20 anos,2014-01-01,12,16,1,0,13,16,29
LLALLAGUA,consulta externa, personas de 10 a 20 anos,2014-01-01,115,257,47,89,162,346,508
LLICA,consulta externa, personas de 10 a 20 anos,2014-01-01,14,38,1,4,15,42,57
LORETO,consulta externa, personas de 10 a 20 anos,2014-01-01,43,49,1,1,44,50,94
LURIBAY,consulta externa, personas de 10 a 20 anos,2014-01-01,52,53,24,3,76,56,132
MACHACAMARCA,consulta externa, personas de 10 a 20 anos,2014-01-01,13,37,1,1,14,38,52
MACHARETI,consulta externa, personas de 10 a 20 anos,2014-01-01,96,179,5,2,101,181,282
MAGDALENA,consulta externa, personas de 10 a 20 anos,2014-01-01,78,180,14,9,92,189,281
MAIRANA,consulta externa, personas de 10 a 20 anos,2014-01-01,55,111,1,2,56,113,169
MALLA,consulta externa, personas de 10 a 20 anos,2014-01-01,8,10,0,0,8,10,18
MAPIRI,consulta externa, personas de 10 a 20 anos,2014-01-01,87,105,0,0,87,105,192
MECAPACA,consulta externa, personas de 10 a 20 anos,2014-01-01,31,57,5,5,36,62,98
MINEROS,consulta externa, personas de 10 a 20 anos,2014-01-01,31,83,0,3,31,86,117
MIZQUE,consulta externa, personas de 10 a 20 anos,2014-01-01,48,123,10,53,58,176,234
MOCOMOCO,consulta externa, personas de 10 a 20 anos,2014-01-01,24,52,0,2,24,54,78
MOJINETE,consulta externa, personas de 10 a 20 anos,2014-01-01,3,8,0,0,3,8,11
MOJOCOYA,consulta externa, personas de 10 a 20 anos,2014-01-01,40,33,1,0,41,33,74
MONTEAGUDO,consulta externa, personas de 10 a 20 anos,2014-01-01,275,415,10,28,285,443,728
MONTERO,consulta externa, personas de 10 a 20 anos,2014-01-01,472,1074,91,226,563,1300,1863
MORO MORO,consulta externa, personas de 10 a 20 anos,2014-01-01,8,29,2,1,10,30,40
MOROCHATA,consulta externa, personas de 10 a 20 anos,2014-01-01,22,42,1,1,23,43,66
NACEBE (SANTA ROSA DEL ABUNA),consulta externa, personas de 10 a 20 anos,2014-01-01,47,37,0,1,47,38,85
NAZACARA DE PACAJES,consulta externa, personas de 10 a 20 anos,2014-01-01,2,6,0,0,2,6,8
NUEVO MANOA (NUEVA ESPERANZA),consulta externa, personas de 10 a 20 anos,2014-01-01,15,16,0,0,15,16,31
OCURI,consulta externa, personas de 10 a 20 anos,2014-01-01,16,45,0,2,16,47,63
OKINAWA,consulta externa, personas de 10 a 20 anos,2014-01-01,69,121,1,7,70,128,198
OMEREQUE,consulta externa, personas de 10 a 20 anos,2014-01-01,44,50,0,1,44,51,95
ORURO,consulta externa, personas de 10 a 20 anos,2014-01-01,2440,3302,749,1162,3189,4464,7653
PADCAYA,consulta externa, personas de 10 a 20 anos,2014-01-01,298,409,3,6,301,415,716
PADILLA,consulta externa, personas de 10 a 20 anos,2014-01-01,141,193,3,6,144,199,343
PAILON,consulta externa, personas de 10 a 20 anos,2014-01-01,73,127,4,21,77,148,225
PALCA,consulta externa, personas de 10 a 20 anos,2014-01-01,47,85,5,0,52,85,137
PALOS BLANCOS,consulta externa, personas de 10 a 20 anos,2014-01-01,165,239,3,3,168,242,410
PAMPA AULLAGAS,consulta externa, personas de 10 a 20 anos,2014-01-01,14,14,0,0,14,14,28
PAMPA GRANDE,consulta externa, personas de 10 a 20 anos,2014-01-01,24,51,3,10,27,61,88
PAPEL PAMPA,consulta externa, personas de 10 a 20 anos,2014-01-01,29,42,5,2,34,44,78
PASORAPA,consulta externa, personas de 10 a 20 anos,2014-01-01,11,22,0,1,11,23,34
PATACAMAYA,consulta externa, personas de 10 a 20 anos,2014-01-01,37,61,1,0,38,61,99
PAZÑA,consulta externa, personas de 10 a 20 anos,2014-01-01,30,43,1,5,31,48,79
PELECHUCO,consulta externa, personas de 10 a 20 anos,2014-01-01,29,59,0,0,29,59,88
POCOATA,consulta externa, personas de 10 a 20 anos,2014-01-01,29,49,0,0,29,49,78
POCONA,consulta externa, personas de 10 a 20 anos,2014-01-01,70,77,1,0,71,77,148
POJO (CBBA),consulta externa, personas de 10 a 20 anos,2014-01-01,36,60,0,0,36,60,96
POOPO,consulta externa, personas de 10 a 20 anos,2014-01-01,21,37,1,2,22,39,61
PORCO,consulta externa, personas de 10 a 20 anos,2014-01-01,30,56,0,0,30,56,86
POROMA,consulta externa, personas de 10 a 20 anos,2014-01-01,27,61,2,1,29,62,91
PORONGO,consulta externa, personas de 10 a 20 anos,2014-01-01,57,72,1,13,58,85,143
PORTACHUELO,consulta externa, personas de 10 a 20 anos,2014-01-01,105,211,10,30,115,241,356
PORVENIR,consulta externa, personas de 10 a 20 anos,2014-01-01,39,82,2,6,41,88,129
POSTRER VALLE,consulta externa, personas de 10 a 20 anos,2014-01-01,4,5,0,0,4,5,9
POTOSI,consulta externa, personas de 10 a 20 anos,2014-01-01,1423,2266,313,442,1736,2708,4444
PRESTO,consulta externa, personas de 10 a 20 anos,2014-01-01,20,37,0,0,20,37,57
PUCARA,consulta externa, personas de 10 a 20 anos,2014-01-01,22,23,0,1,22,24,46
PUCARANI,consulta externa, personas de 10 a 20 anos,2014-01-01,35,82,7,4,42,86,128
PUERTO ACOSTA,consulta externa, personas de 10 a 20 anos,2014-01-01,7,23,1,0,8,23,31
PUERTO CARABUCO,consulta externa, personas de 10 a 20 anos,2014-01-01,51,49,4,6,55,55,110
PUERTO GONZALO MORENO,consulta externa, personas de 10 a 20 anos,2014-01-01,52,60,4,1,56,61,117
PUERTO PEREZ,consulta externa, personas de 10 a 20 anos,2014-01-01,22,54,1,2,23,56,79
PUERTO QUIJARRO,consulta externa, personas de 10 a 20 anos,2014-01-01,125,188,8,6,133,194,327
PUERTO RICO,consulta externa, personas de 10 a 20 anos,2014-01-01,120,170,1,4,121,174,295
PUERTO SILES,consulta externa, personas de 10 a 20 anos,2014-01-01,13,20,0,0,13,20,33
PUERTO SUAREZ,consulta externa, personas de 10 a 20 anos,2014-01-01,36,93,13,9,49,102,151
PUERTO VILLARROEL,consulta externa, personas de 10 a 20 anos,2014-01-01,362,510,10,140,372,650,1022
PUNA,consulta externa, personas de 10 a 20 anos,2014-01-01,67,122,1,9,68,131,199
PUNATA,consulta externa, personas de 10 a 20 anos,2014-01-01,104,196,35,69,139,265,404
QUIABAYA,consulta externa, personas de 10 a 20 anos,2014-01-01,9,9,0,0,9,9,18
QUILLACOLLO,consulta externa, personas de 10 a 20 anos,2014-01-01,757,1037,172,318,929,1355,2284
QUIME,consulta externa, personas de 10 a 20 anos,2014-01-01,22,69,3,4,25,73,98
QUIRUSILLAS,consulta externa, personas de 10 a 20 anos,2014-01-01,5,8,0,0,5,8,13
RAVELO,consulta externa, personas de 10 a 20 anos,2014-01-01,41,76,1,3,42,79,121
REYES,consulta externa, personas de 10 a 20 anos,2014-01-01,52,158,1,11,53,169,222
RIBERALTA,consulta externa, personas de 10 a 20 anos,2014-01-01,427,925,29,315,456,1240,1696
ROBORE,consulta externa, personas de 10 a 20 anos,2014-01-01,115,174,3,0,118,174,292
RURRENABAQUE,consulta externa, personas de 10 a 20 anos,2014-01-01,108,131,35,31,143,162,305
SABAYA,consulta externa, personas de 10 a 20 anos,2014-01-01,21,21,0,0,21,21,42
SACABA,consulta externa, personas de 10 a 20 anos,2014-01-01,493,673,81,116,574,789,1363
SACABAMBA,consulta externa, personas de 10 a 20 anos,2014-01-01,7,13,0,0,7,13,20
SACACA,consulta externa, personas de 10 a 20 anos,2014-01-01,33,76,0,1,33,77,110
SAIPINA,consulta externa, personas de 10 a 20 anos,2014-01-01,30,62,3,10,33,72,105
SALINAS DE GARCI MENDOZA,consulta externa, personas de 10 a 20 anos,2014-01-01,41,93,4,0,45,93,138
SAMAIPATA,consulta externa, personas de 10 a 20 anos,2014-01-01,52,65,2,2,54,67,121
SAN AGUSTIN,consulta externa, personas de 10 a 20 anos,2014-01-01,27,18,1,1,28,19,47
SAN ANDRES,consulta externa, personas de 10 a 20 anos,2014-01-01,68,92,1,2,69,94,163
SAN ANDRES DE MACHACA,consulta externa, personas de 10 a 20 anos,2014-01-01,16,11,0,0,16,11,27
SAN ANTONIO DE ESMORUCO,consulta externa, personas de 10 a 20 anos,2014-01-01,4,16,0,0,4,16,20
SAN ANTONIO DE LOMERIO,consulta externa, personas de 10 a 20 anos,2014-01-01,28,51,0,0,28,51,79
SAN BENITO,consulta externa, personas de 10 a 20 anos,2014-01-01,29,67,9,7,38,74,112
SAN BORJA,consulta externa, personas de 10 a 20 anos,2014-01-01,101,340,6,115,107,455,562
SAN BUENA VENTURA,consulta externa, personas de 10 a 20 anos,2014-01-01,78,118,3,3,81,121,202
SAN CARLOS,consulta externa, personas de 10 a 20 anos,2014-01-01,78,249,2,7,80,256,336
SAN IGNACIO,consulta externa, personas de 10 a 20 anos,2014-01-01,190,357,11,44,201,401,602
SAN IGNACIO DE VELASCO,consulta externa, personas de 10 a 20 anos,2014-01-01,165,310,2,12,167,322,489
SAN JAVIER(BNI),consulta externa, personas de 10 a 20 anos,2014-01-01,32,26,0,1,32,27,59
SAN JAVIER(STC),consulta externa, personas de 10 a 20 anos,2014-01-01,30,53,0,0,30,53,83
SAN JOAQUIN,consulta externa, personas de 10 a 20 anos,2014-01-01,24,26,1,1,25,27,52
SAN JOSE DE CHIQUITOS,consulta externa, personas de 10 a 20 anos,2014-01-01,67,120,5,9,72,129,201
SAN JUAN DE YAPACANI,consulta externa, personas de 10 a 20 anos,2014-01-01,63,75,1,5,64,80,144
SAN JULIAN,consulta externa, personas de 10 a 20 anos,2014-01-01,218,362,2,30,220,392,612
SAN LORENZO(PND),consulta externa, personas de 10 a 20 anos,2014-01-01,3,6,0,0,3,6,9
SAN LORENZO(TJA),consulta externa, personas de 10 a 20 anos,2014-01-01,179,310,11,20,190,330,520
SAN LUCAS,consulta externa, personas de 10 a 20 anos,2014-01-01,98,239,0,1,98,240,338
SAN MATIAS,consulta externa, personas de 10 a 20 anos,2014-01-01,29,69,1,9,30,78,108
SAN MIGUEL DE VELASCO,consulta externa, personas de 10 a 20 anos,2014-01-01,30,45,5,6,35,51,86
SAN PABLO DE LIPEZ,consulta externa, personas de 10 a 20 anos,2014-01-01,25,29,1,1,26,30,56
SAN PEDRO,consulta externa, personas de 10 a 20 anos,2014-01-01,157,219,6,7,163,226,389
SAN PEDRO DE BUENA VISTA,consulta externa, personas de 10 a 20 anos,2014-01-01,39,63,0,0,39,63,102
SAN PEDRO DE CURAHUARA,consulta externa, personas de 10 a 20 anos,2014-01-01,20,46,1,0,21,46,67
SAN PEDRO DE QUEMES,consulta externa, personas de 10 a 20 anos,2014-01-01,9,4,0,0,9,4,13
SAN PEDRO DE TIQUINA,consulta externa, personas de 10 a 20 anos,2014-01-01,17,14,12,2,29,16,45
SAN PEDRO(PND),consulta externa, personas de 10 a 20 anos,2014-01-01,11,12,1,0,12,12,24
SAN RAFAEL,consulta externa, personas de 10 a 20 anos,2014-01-01,15,39,0,2,15,41,56
SAN RAMON BENI,consulta externa, personas de 10 a 20 anos,2014-01-01,12,49,4,3,16,52,68
SAN RAMON SCZ,consulta externa, personas de 10 a 20 anos,2014-01-01,49,121,8,90,57,211,268
SANTA ANA,consulta externa, personas de 10 a 20 anos,2014-01-01,79,143,2,13,81,156,237
SANTA CRUZ DE LA SIERRA,consulta externa, personas de 10 a 20 anos,2014-01-01,8301,12550,2391,4021,10692,16571,27263
SANTA ROSA,consulta externa, personas de 10 a 20 anos,2014-01-01,25,46,0,1,25,47,72
SANTA ROSA DEL SARA,consulta externa, personas de 10 a 20 anos,2014-01-01,83,186,0,3,83,189,272
SANTIAGO DE CALLAPA,consulta externa, personas de 10 a 20 anos,2014-01-01,3,10,0,0,3,10,13
SANTIAGO DE HUARI,consulta externa, personas de 10 a 20 anos,2014-01-01,68,83,1,2,69,85,154
SANTIAGO DE HUATA,consulta externa, personas de 10 a 20 anos,2014-01-01,5,22,2,2,7,24,31
SANTIAGO DE MACHACA,consulta externa, personas de 10 a 20 anos,2014-01-01,10,14,0,0,10,14,24
SANTIVAÑES,consulta externa, personas de 10 a 20 anos,2014-01-01,29,37,1,1,30,38,68
SANTUARIO DE QUILLACAS,consulta externa, personas de 10 a 20 anos,2014-01-01,13,19,1,0,14,19,33
SAPAHAQUI,consulta externa, personas de 10 a 20 anos,2014-01-01,45,46,1,4,46,50,96
SENA,consulta externa, personas de 10 a 20 anos,2014-01-01,22,27,0,0,22,27,49
SHINAOTA,consulta externa, personas de 10 a 20 anos,2014-01-01,127,222,16,13,143,235,378
SICA SICA (VILLA AROMA),consulta externa, personas de 10 a 20 anos,2014-01-01,63,92,11,14,74,106,180
SICAYA,consulta externa, personas de 10 a 20 anos,2014-01-01,3,11,0,0,3,11,14
SIPE SIPE,consulta externa, personas de 10 a 20 anos,2014-01-01,78,99,21,13,99,112,211
