,group,variable,month,RESTAURACIONES CANTIDAD,RESTAURACIONES CANTIDAD,TOTALES,TOTALES,TOTALES
CHAYANTA,atencion odontologica,restauraciones,2012-01-01,6,13,6,13,19
CHIMORE,atencion odontologica,restauraciones,2012-01-01,47,84,47,84,131
CHIPAYA,atencion odontologica,restauraciones,2012-01-01,1,7,1,7,8
CHOQUE COTA,atencion odontologica,restauraciones,2012-01-01,4,1,4,1,5
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica,restauraciones,2012-01-01,30,86,30,86,116
CHUMA,atencion odontologica,restauraciones,2012-01-01,29,32,29,32,61
CHUQUIHUTA AYLLU JUCUMANI,atencion odontologica,restauraciones,2012-01-01,15,17,15,17,32
CKOCHAS,atencion odontologica,restauraciones,2012-01-01,10,8,10,8,18
CLIZA,atencion odontologica,restauraciones,2012-01-01,94,161,94,161,255
COBIJA,atencion odontologica,restauraciones,2012-01-01,33,71,33,71,104
COCAPATA,atencion odontologica,restauraciones,2012-01-01,6,46,6,46,52
COCHABAMBA,atencion odontologica,restauraciones,2012-01-01,2460,3363,2460,3363,5823
COIPASA,atencion odontologica,restauraciones,2012-01-01,12,12,12,12,24
COLCAPIRHUA,atencion odontologica,restauraciones,2012-01-01,132,195,132,195,327
"COLCHA ""K""",atencion odontologica,restauraciones,2012-01-01,3,9,3,9,12
COLLANA,atencion odontologica,restauraciones,2012-01-01,7,7,7,7,14
COLOMI,atencion odontologica,restauraciones,2012-01-01,49,139,49,139,188
COLPA BELGICA,atencion odontologica,restauraciones,2012-01-01,9,26,9,26,35
COLQUECHACA,atencion odontologica,restauraciones,2012-01-01,33,77,33,77,110
COLQUIRI,atencion odontologica,restauraciones,2012-01-01,12,14,12,14,26
COMANCHE,atencion odontologica,restauraciones,2012-01-01,7,27,7,27,34
COMARAPA,atencion odontologica,restauraciones,2012-01-01,119,163,119,163,282
CONCEPCION,atencion odontologica,restauraciones,2012-01-01,29,41,29,41,70
CORIPATA,atencion odontologica,restauraciones,2012-01-01,27,37,27,37,64
CORO CORO,atencion odontologica,restauraciones,2012-01-01,35,83,35,83,118
COROICO,atencion odontologica,restauraciones,2012-01-01,37,49,37,49,86
CORQUE,atencion odontologica,restauraciones,2012-01-01,11,8,11,8,19
COTAGAITA,atencion odontologica,restauraciones,2012-01-01,41,85,41,85,126
COTOCA,atencion odontologica,restauraciones,2012-01-01,31,29,31,29,60
CUATRO CAÑADAS,atencion odontologica,restauraciones,2012-01-01,36,74,36,74,110
CUCHUMUELA (V. G. VILLARROEL),atencion odontologica,restauraciones,2012-01-01,0,3,0,3,3
CUEVO,atencion odontologica,restauraciones,2012-01-01,8,16,8,16,24
CULPINA,atencion odontologica,restauraciones,2012-01-01,7,10,7,10,17
CURAHUARA DE CARANGAS,atencion odontologica,restauraciones,2012-01-01,25,34,25,34,59
CURVA,atencion odontologica,restauraciones,2012-01-01,0,4,0,4,4
DESAGUADERO,atencion odontologica,restauraciones,2012-01-01,5,26,5,26,31
EL ALTO,atencion odontologica,restauraciones,2012-01-01,3635,5361,3635,5361,8996
EL CHORO,atencion odontologica,restauraciones,2012-01-01,11,14,11,14,25
EL PUENTE(STC),atencion odontologica,restauraciones,2012-01-01,6,19,6,19,25
EL PUENTE(TJA),atencion odontologica,restauraciones,2012-01-01,11,76,11,76,87
EL TORNO,atencion odontologica,restauraciones,2012-01-01,84,236,84,236,320
EL VILLAR,atencion odontologica,restauraciones,2012-01-01,7,20,7,20,27
ENTRE RIOS TRJ,atencion odontologica,restauraciones,2012-01-01,62,105,62,105,167
ENTRE RIOS CBBA,atencion odontologica,restauraciones,2012-01-01,123,147,123,147,270
ESCOMA,atencion odontologica,restauraciones,2012-01-01,31,28,31,28,59
EUCALIPTUS,atencion odontologica,restauraciones,2012-01-01,28,29,28,29,57
FERNANDEZ ALONSO,atencion odontologica,restauraciones,2012-01-01,35,95,35,95,130
FILADELFIA,atencion odontologica,restauraciones,2012-01-01,17,28,17,28,45
GENERAL SAAVEDRA,atencion odontologica,restauraciones,2012-01-01,11,33,11,33,44
GRAL. J.J. PEREZ (CHARAZANI),atencion odontologica,restauraciones,2012-01-01,20,43,20,43,63
GUANAY,atencion odontologica,restauraciones,2012-01-01,20,46,20,46,66
GUAQUI,atencion odontologica,restauraciones,2012-01-01,10,30,10,30,40
GUAYARAMERIN,atencion odontologica,restauraciones,2012-01-01,239,320,239,320,559
GUTIERREZ,atencion odontologica,restauraciones,2012-01-01,32,91,32,91,123
HUACARETA,atencion odontologica,restauraciones,2012-01-01,45,25,45,25,70
HUACAYA (VILLA DE HUACAYA),atencion odontologica,restauraciones,2012-01-01,1,9,1,9,10
HUACHACALLA,atencion odontologica,restauraciones,2012-01-01,2,2,2,2,4
HUANUNI,atencion odontologica,restauraciones,2012-01-01,91,181,91,181,272
HUARACAJE,atencion odontologica,restauraciones,2012-01-01,13,44,13,44,57
HUARINA,atencion odontologica,restauraciones,2012-01-01,8,2,8,2,10
HUAYLLAMARCA,atencion odontologica,restauraciones,2012-01-01,21,21,21,21,42
HUMANATA,atencion odontologica,restauraciones,2012-01-01,2,9,2,9,11
ICLA,atencion odontologica,restauraciones,2012-01-01,2,15,2,15,17
INCAHUASI,atencion odontologica,restauraciones,2012-01-01,4,12,4,12,16
INQUISIVI,atencion odontologica,restauraciones,2012-01-01,10,6,10,6,16
IRUPANA (VILLA DE LANZA),atencion odontologica,restauraciones,2012-01-01,34,61,34,61,95
IXIAMAS,atencion odontologica,restauraciones,2012-01-01,5,9,5,9,14
JESUS DE MACHACA,atencion odontologica,restauraciones,2012-01-01,33,60,33,60,93
LA ASUNTA,atencion odontologica,restauraciones,2012-01-01,10,56,10,56,66
LA GUARDIA,atencion odontologica,restauraciones,2012-01-01,63,149,63,149,212
LA PAZ,atencion odontologica,restauraciones,2012-01-01,4688,6544,4688,6544,11232
LAGUNILLAS,atencion odontologica,restauraciones,2012-01-01,5,9,5,9,14
LAJA,atencion odontologica,restauraciones,2012-01-01,16,32,16,32,48
LAS CARRERAS,atencion odontologica,restauraciones,2012-01-01,25,13,25,13,38
LICOMA PAMPA,atencion odontologica,restauraciones,2012-01-01,1,2,1,2,3
LLALLAGUA,atencion odontologica,restauraciones,2012-01-01,83,223,83,223,306
LORETO,atencion odontologica,restauraciones,2012-01-01,2,0,2,0,2
LURIBAY,atencion odontologica,restauraciones,2012-01-01,3,6,3,6,9
MACHACAMARCA,atencion odontologica,restauraciones,2012-01-01,13,23,13,23,36
MACHARETI,atencion odontologica,restauraciones,2012-01-01,19,16,19,16,35
MAGDALENA,atencion odontologica,restauraciones,2012-01-01,53,136,53,136,189
MAIRANA,atencion odontologica,restauraciones,2012-01-01,12,64,12,64,76
MALLA,atencion odontologica,restauraciones,2012-01-01,21,9,21,9,30
MAPIRI,atencion odontologica,restauraciones,2012-01-01,21,85,21,85,106
MECAPACA,atencion odontologica,restauraciones,2012-01-01,16,32,16,32,48
MINEROS,atencion odontologica,restauraciones,2012-01-01,59,63,59,63,122
MIZQUE,atencion odontologica,restauraciones,2012-01-01,20,94,20,94,114
MOCOMOCO,atencion odontologica,restauraciones,2012-01-01,5,9,5,9,14
MOJOCOYA,atencion odontologica,restauraciones,2012-01-01,7,20,7,20,27
MONTEAGUDO,atencion odontologica,restauraciones,2012-01-01,68,191,68,191,259
MONTERO,atencion odontologica,restauraciones,2012-01-01,88,235,88,235,323
MORO MORO,atencion odontologica,restauraciones,2012-01-01,0,9,0,9,9
MOROCHATA,atencion odontologica,restauraciones,2012-01-01,8,75,8,75,83
NUEVO MANOA (NUEVA ESPERANZA),atencion odontologica,restauraciones,2012-01-01,5,4,5,4,9
OCURI,atencion odontologica,restauraciones,2012-01-01,10,20,10,20,30
OKINAWA,atencion odontologica,restauraciones,2012-01-01,4,37,4,37,41
OMEREQUE,atencion odontologica,restauraciones,2012-01-01,3,5,3,5,8
ORURO,atencion odontologica,restauraciones,2012-01-01,1118,1950,1118,1950,3068
PADCAYA,atencion odontologica,restauraciones,2012-01-01,27,99,27,99,126
PADILLA,atencion odontologica,restauraciones,2012-01-01,51,86,51,86,137
PAILON,atencion odontologica,restauraciones,2012-01-01,67,153,67,153,220
PALCA,atencion odontologica,restauraciones,2012-01-01,28,84,28,84,112
PALOS BLANCOS,atencion odontologica,restauraciones,2012-01-01,33,44,33,44,77
PAMPA AULLAGAS,atencion odontologica,restauraciones,2012-01-01,6,9,6,9,15
PAMPA GRANDE,atencion odontologica,restauraciones,2012-01-01,4,11,4,11,15
PAPEL PAMPA,atencion odontologica,restauraciones,2012-01-01,24,23,24,23,47
PASORAPA,atencion odontologica,restauraciones,2012-01-01,17,17,17,17,34
PATACAMAYA,atencion odontologica,restauraciones,2012-01-01,31,90,31,90,121
PAZÑA,atencion odontologica,restauraciones,2012-01-01,12,34,12,34,46
PELECHUCO,atencion odontologica,restauraciones,2012-01-01,19,46,19,46,65
POCOATA,atencion odontologica,restauraciones,2012-01-01,4,16,4,16,20
POCONA,atencion odontologica,restauraciones,2012-01-01,25,52,25,52,77
POJO (CBBA),atencion odontologica,restauraciones,2012-01-01,34,75,34,75,109
POOPO,atencion odontologica,restauraciones,2012-01-01,27,78,27,78,105
PORCO,atencion odontologica,restauraciones,2012-01-01,0,8,0,8,8
POROMA,atencion odontologica,restauraciones,2012-01-01,46,94,46,94,140
PORONGO,atencion odontologica,restauraciones,2012-01-01,8,11,8,11,19
PORTACHUELO,atencion odontologica,restauraciones,2012-01-01,57,137,57,137,194
PORVENIR,atencion odontologica,restauraciones,2012-01-01,12,42,12,42,54
POSTRER VALLE,atencion odontologica,restauraciones,2012-01-01,13,19,13,19,32
POTOSI,atencion odontologica,restauraciones,2012-01-01,1013,1691,1013,1691,2704
PRESTO,atencion odontologica,restauraciones,2012-01-01,1,3,1,3,4
PUCARA,atencion odontologica,restauraciones,2012-01-01,7,7,7,7,14
PUCARANI,atencion odontologica,restauraciones,2012-01-01,40,38,40,38,78
PUERTO ACOSTA,atencion odontologica,restauraciones,2012-01-01,9,28,9,28,37
PUERTO CARABUCO,atencion odontologica,restauraciones,2012-01-01,22,45,22,45,67
PUERTO GONZALO MORENO,atencion odontologica,restauraciones,2012-01-01,14,44,14,44,58
PUERTO PEREZ,atencion odontologica,restauraciones,2012-01-01,0,11,0,11,11
PUERTO QUIJARRO,atencion odontologica,restauraciones,2012-01-01,0,25,0,25,25
PUERTO RICO,atencion odontologica,restauraciones,2012-01-01,12,49,12,49,61
PUERTO SUAREZ,atencion odontologica,restauraciones,2012-01-01,26,51,26,51,77
PUERTO VILLARROEL,atencion odontologica,restauraciones,2012-01-01,183,263,183,263,446
PUNA,atencion odontologica,restauraciones,2012-01-01,22,68,22,68,90
PUNATA,atencion odontologica,restauraciones,2012-01-01,125,187,125,187,312
QUIABAYA,atencion odontologica,restauraciones,2012-01-01,7,12,7,12,19
QUILLACOLLO,atencion odontologica,restauraciones,2012-01-01,209,402,209,402,611
QUIME,atencion odontologica,restauraciones,2012-01-01,33,37,33,37,70
QUIRUSILLAS,atencion odontologica,restauraciones,2012-01-01,6,10,6,10,16
RAVELO,atencion odontologica,restauraciones,2012-01-01,0,12,0,12,12
REYES,atencion odontologica,restauraciones,2012-01-01,5,125,5,125,130
RIBERALTA,atencion odontologica,restauraciones,2012-01-01,43,151,43,151,194
ROBORE,atencion odontologica,restauraciones,2012-01-01,74,82,74,82,156
RURRENABAQUE,atencion odontologica,restauraciones,2012-01-01,30,81,30,81,111
SABAYA,atencion odontologica,restauraciones,2012-01-01,27,21,27,21,48
SACABA,atencion odontologica,restauraciones,2012-01-01,959,1338,959,1338,2297
SACABAMBA,atencion odontologica,restauraciones,2012-01-01,5,9,5,9,14
SACACA,atencion odontologica,restauraciones,2012-01-01,20,16,20,16,36
SAIPINA,atencion odontologica,restauraciones,2012-01-01,15,54,15,54,69
SALINAS DE GARCI MENDOZA,atencion odontologica,restauraciones,2012-01-01,73,115,73,115,188
SAMAIPATA,atencion odontologica,restauraciones,2012-01-01,50,75,50,75,125
SAN AGUSTIN,atencion odontologica,restauraciones,2012-01-01,3,3,3,3,6
SAN ANDRES,atencion odontologica,restauraciones,2012-01-01,4,0,4,0,4
SAN ANDRES DE MACHACA,atencion odontologica,restauraciones,2012-01-01,15,4,15,4,19
SAN ANTONIO DE LOMERIO,atencion odontologica,restauraciones,2012-01-01,5,10,5,10,15
SAN BENITO,atencion odontologica,restauraciones,2012-01-01,15,85,15,85,100
SAN BORJA,atencion odontologica,restauraciones,2012-01-01,182,282,182,282,464
SAN BUENA VENTURA,atencion odontologica,restauraciones,2012-01-01,13,22,13,22,35
SAN CARLOS,atencion odontologica,restauraciones,2012-01-01,59,72,59,72,131
SAN IGNACIO,atencion odontologica,restauraciones,2012-01-01,89,167,89,167,256
SAN IGNACIO DE VELASCO,atencion odontologica,restauraciones,2012-01-01,63,107,63,107,170
SAN JAVIER(STC),atencion odontologica,restauraciones,2012-01-01,20,29,20,29,49
SAN JOSE DE CHIQUITOS,atencion odontologica,restauraciones,2012-01-01,86,119,86,119,205
SAN JUAN DE YAPACANI,atencion odontologica,restauraciones,2012-01-01,24,64,24,64,88
SAN JULIAN,atencion odontologica,restauraciones,2012-01-01,10,28,10,28,38
SAN LORENZO(PND),atencion odontologica,restauraciones,2012-01-01,3,11,3,11,14
SAN LORENZO(TJA),atencion odontologica,restauraciones,2012-01-01,43,82,43,82,125
SAN LUCAS,atencion odontologica,restauraciones,2012-01-01,23,70,23,70,93
SAN MATIAS,atencion odontologica,restauraciones,2012-01-01,18,50,18,50,68
SAN MIGUEL DE VELASCO,atencion odontologica,restauraciones,2012-01-01,54,58,54,58,112
SAN PEDRO,atencion odontologica,restauraciones,2012-01-01,29,65,29,65,94
SAN PEDRO DE BUENA VISTA,atencion odontologica,restauraciones,2012-01-01,19,66,19,66,85
SAN PEDRO DE CURAHUARA,atencion odontologica,restauraciones,2012-01-01,15,41,15,41,56
SAN PEDRO DE TIQUINA,atencion odontologica,restauraciones,2012-01-01,4,13,4,13,17
SAN RAFAEL,atencion odontologica,restauraciones,2012-01-01,6,14,6,14,20
SAN RAMON BENI,atencion odontologica,restauraciones,2012-01-01,31,0,31,0,31
SAN RAMON SCZ,atencion odontologica,restauraciones,2012-01-01,1,1,1,1,2
SANTA ANA,atencion odontologica,restauraciones,2012-01-01,33,124,33,124,157
SANTA CRUZ DE LA SIERRA,atencion odontologica,restauraciones,2012-01-01,1995,3256,1995,3256,5251
SANTA ROSA,atencion odontologica,restauraciones,2012-01-01,25,42,25,42,67
SANTA ROSA DEL SARA,atencion odontologica,restauraciones,2012-01-01,25,66,25,66,91
SANTIAGO DE CALLAPA,atencion odontologica,restauraciones,2012-01-01,0,4,0,4,4
SANTIAGO DE HUARI,atencion odontologica,restauraciones,2012-01-01,148,363,148,363,511
SANTIAGO DE HUATA,atencion odontologica,restauraciones,2012-01-01,1,2,1,2,3
SANTIAGO DE MACHACA,atencion odontologica,restauraciones,2012-01-01,3,5,3,5,8
SANTIVAÑES,atencion odontologica,restauraciones,2012-01-01,12,46,12,46,58
SANTUARIO DE QUILLACAS,atencion odontologica,restauraciones,2012-01-01,8,16,8,16,24
SAPAHAQUI,atencion odontologica,restauraciones,2012-01-01,4,10,4,10,14
SENA,atencion odontologica,restauraciones,2012-01-01,3,4,3,4,7
SHINAOTA,atencion odontologica,restauraciones,2012-01-01,61,113,61,113,174
SICA SICA (VILLA AROMA),atencion odontologica,restauraciones,2012-01-01,38,37,38,37,75
SICAYA,atencion odontologica,restauraciones,2012-01-01,0,1,0,1,1
SIPE SIPE,atencion odontologica,restauraciones,2012-01-01,103,168,103,168,271
SOPACHUY,atencion odontologica,restauraciones,2012-01-01,59,111,59,111,170
SORACACHI,atencion odontologica,restauraciones,2012-01-01,32,33,32,33,65
SORATA,atencion odontologica,restauraciones,2012-01-01,43,75,43,75,118
SUCRE,atencion odontologica,restauraciones,2012-01-01,2366,3427,2366,3427,5793
TACACOMA,atencion odontologica,restauraciones,2012-01-01,21,42,21,42,63
TACOPAYA,atencion odontologica,restauraciones,2012-01-01,2,11,2,11,13
TAHUA,atencion odontologica,restauraciones,2012-01-01,4,6,4,6,10
TAPACARI,atencion odontologica,restauraciones,2012-01-01,40,116,40,116,156
TARABUCO,atencion odontologica,restauraciones,2012-01-01,33,53,33,53,86
TARACO,atencion odontologica,restauraciones,2012-01-01,27,19,27,19,46
TARATA,atencion odontologica,restauraciones,2012-01-01,55,123,55,123,178
TARIJA,atencion odontologica,restauraciones,2012-01-01,508,1137,508,1137,1645
TARVITA,atencion odontologica,restauraciones,2012-01-01,10,40,10,40,50
TEOPONTE,atencion odontologica,restauraciones,2012-01-01,11,19,11,19,30
TIAWANACU,atencion odontologica,restauraciones,2012-01-01,19,42,19,42,61
TINGUIPAYA,atencion odontologica,restauraciones,2012-01-01,3,5,3,5,8
TIPUANI,atencion odontologica,restauraciones,2012-01-01,14,23,14,23,37
TIQUIPAYA,atencion odontologica,restauraciones,2012-01-01,416,1031,416,1031,1447
TIRAQUE (CBBA),atencion odontologica,restauraciones,2012-01-01,18,51,18,51,69
TITO YUPANQUI (PARQUIPUJIO),atencion odontologica,restauraciones,2012-01-01,1,1,1,1,2
TOCO,atencion odontologica,restauraciones,2012-01-01,20,49,20,49,69
TOLATA,atencion odontologica,restauraciones,2012-01-01,14,30,14,30,44
TOLEDO,atencion odontologica,restauraciones,2012-01-01,20,33,20,33,53
TOMAVE,atencion odontologica,restauraciones,2012-01-01,10,6,10,6,16
TOMINA,atencion odontologica,restauraciones,2012-01-01,34,53,34,53,87
TORO TORO,atencion odontologica,restauraciones,2012-01-01,3,13,3,13,16
TOTORA(CBBA),atencion odontologica,restauraciones,2012-01-01,29,86,29,86,115
TRIGAL,atencion odontologica,restauraciones,2012-01-01,0,8,0,8,8
TRINIDAD,atencion odontologica,restauraciones,2012-01-01,150,391,150,391,541
TUPIZA,atencion odontologica,restauraciones,2012-01-01,83,96,83,96,179
TURCO,atencion odontologica,restauraciones,2012-01-01,39,28,39,28,67
UMALA,atencion odontologica,restauraciones,2012-01-01,0,6,0,6,6
UNCIA,atencion odontologica,restauraciones,2012-01-01,32,73,32,73,105
URIONDO (A. CONCEPCION),atencion odontologica,restauraciones,2012-01-01,102,137,102,137,239
URUBICHA,atencion odontologica,restauraciones,2012-01-01,3,15,3,15,18
UYUNI,atencion odontologica,restauraciones,2012-01-01,38,52,38,52,90
VACAS,atencion odontologica,restauraciones,2012-01-01,10,23,10,23,33
VALLEGRANDE,atencion odontologica,restauraciones,2012-01-01,60,150,60,150,210
VIACHA,atencion odontologica,restauraciones,2012-01-01,86,213,86,213,299
VILA VILA,atencion odontologica,restauraciones,2012-01-01,2,0,2,0,2
VILLA CHARCAS,atencion odontologica,restauraciones,2012-01-01,5,10,5,10,15
VILLA MONTES,atencion odontologica,restauraciones,2012-01-01,93,196,93,196,289
VILLA NUEVA (LOMA ALTA),atencion odontologica,restauraciones,2012-01-01,2,9,2,9,11
VILLA RIVERO,atencion odontologica,restauraciones,2012-01-01,26,35,26,35,61
VILLA SERRANO,atencion odontologica,restauraciones,2012-01-01,36,78,36,78,114
VILLA TUNARI,atencion odontologica,restauraciones,2012-01-01,159,540,159,540,699
VILLA VACA GUZMAN (MUYUPAMPA),atencion odontologica,restauraciones,2012-01-01,2,32,2,32,34
VILLAZON,atencion odontologica,restauraciones,2012-01-01,127,197,127,197,324
VINTO,atencion odontologica,restauraciones,2012-01-01,72,101,72,101,173
VITICHI,atencion odontologica,restauraciones,2012-01-01,7,25,7,25,32
WALDO BALLIVIAN,atencion odontologica,restauraciones,2012-01-01,4,9,4,9,13
WARNES,atencion odontologica,restauraciones,2012-01-01,113,312,113,312,425
YACO,atencion odontologica,restauraciones,2012-01-01,6,6,6,6,12
YACUIBA,atencion odontologica,restauraciones,2012-01-01,131,230,131,230,361
YAMPARAEZ,atencion odontologica,restauraciones,2012-01-01,25,30,25,30,55
YANACACHI,atencion odontologica,restauraciones,2012-01-01,6,16,6,16,22
YAPACANI,atencion odontologica,restauraciones,2012-01-01,87,207,87,207,294
YOCALLA,atencion odontologica,restauraciones,2012-01-01,1,6,1,6,7
YOTALA,atencion odontologica,restauraciones,2012-01-01,32,27,32,27,59
YUNCHARA,atencion odontologica,restauraciones,2012-01-01,16,34,16,34,50
ZUDAÑEZ,atencion odontologica,restauraciones,2012-01-01,1,5,1,5,6
ACACIO,atencion odontologica,restauraciones,2012-02-01,3,4,3,4,7
ACHACACHI,atencion odontologica,restauraciones,2012-02-01,75,46,75,46,121
ACHOCALLA,atencion odontologica,restauraciones,2012-02-01,21,17,21,17,38
AIQUILE,atencion odontologica,restauraciones,2012-02-01,38,51,38,51,89
ALALAY,atencion odontologica,restauraciones,2012-02-01,4,8,4,8,12
ALCALA,atencion odontologica,restauraciones,2012-02-01,26,32,26,32,58
ALTO BENI,atencion odontologica,restauraciones,2012-02-01,10,17,10,17,27
ANCORAIMES,atencion odontologica,restauraciones,2012-02-01,6,11,6,11,17
ANDAMARCA,atencion odontologica,restauraciones,2012-02-01,15,21,15,21,36
ANTEQUERA,atencion odontologica,restauraciones,2012-02-01,11,19,11,19,30
ANZALDO,atencion odontologica,restauraciones,2012-02-01,1,20,1,20,21
APOLO,atencion odontologica,restauraciones,2012-02-01,51,59,51,59,110
ARAMPAMPA,atencion odontologica,restauraciones,2012-02-01,6,5,6,5,11
ARANI,atencion odontologica,restauraciones,2012-02-01,41,44,41,44,85
ARBIETO,atencion odontologica,restauraciones,2012-02-01,18,61,18,61,79
ARQUE,atencion odontologica,restauraciones,2012-02-01,9,96,9,96,105
ASCENCION DE GUARAYOS,atencion odontologica,restauraciones,2012-02-01,14,32,14,32,46
ATOCHA,atencion odontologica,restauraciones,2012-02-01,111,165,111,165,276
AYATA,atencion odontologica,restauraciones,2012-02-01,12,19,12,19,31
AYO AYO,atencion odontologica,restauraciones,2012-02-01,39,40,39,40,79
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica,restauraciones,2012-02-01,118,193,118,193,311
AZURDUY,atencion odontologica,restauraciones,2012-02-01,11,40,11,40,51
BATALLAS,atencion odontologica,restauraciones,2012-02-01,17,33,17,33,50
BAURES,atencion odontologica,restauraciones,2012-02-01,5,14,5,14,19
BELLA FLOR,atencion odontologica,restauraciones,2012-02-01,2,5,2,5,7
BERMEJO,atencion odontologica,restauraciones,2012-02-01,111,331,111,331,442
BETANZOS,atencion odontologica,restauraciones,2012-02-01,42,62,42,62,104
BOLIVAR,atencion odontologica,restauraciones,2012-02-01,19,27,19,27,46
BOLPEBRA,atencion odontologica,restauraciones,2012-02-01,1,1,1,1,2
BOYUIBE,atencion odontologica,restauraciones,2012-02-01,15,24,15,24,39
BUENA VISTA,atencion odontologica,restauraciones,2012-02-01,6,23,6,23,29
CABEZAS,atencion odontologica,restauraciones,2012-02-01,27,54,27,54,81
CAIROMA,atencion odontologica,restauraciones,2012-02-01,15,31,15,31,46
"CAIZA ""D""",atencion odontologica,restauraciones,2012-02-01,2,12,2,12,14
CAJUATA,atencion odontologica,restauraciones,2012-02-01,44,44,44,44,88
CALACOTO,atencion odontologica,restauraciones,2012-02-01,20,9,20,9,29
CALAMARCA,atencion odontologica,restauraciones,2012-02-01,51,79,51,79,130
CAMARGO,atencion odontologica,restauraciones,2012-02-01,28,93,28,93,121
CAMATAQUI (C. VILLA ABECIA),atencion odontologica,restauraciones,2012-02-01,17,31,17,31,48
CAMIRI,atencion odontologica,restauraciones,2012-02-01,141,301,141,301,442
