,group,variable,month,ACCIONES PREVENTIVAS DENTRO DEL ESTABLECIMIENTO CANTIDAD,ACCIONES PREVENTIVAS DENTRO DEL ESTABLECIMIENTO CANTIDAD,TOTALES,TOTALES,TOTALES
CAQUIAVIRI,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,4,0,4,0,4
CARACOLLO,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,19,20,19,20,39
CARANAVI,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,54,85,54,85,139
CARAPARI,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,4,3,4,3,7
CARIPUYO,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,5,25,5,25,30
CARMEN RIVERO TORREZ,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,13,21,13,21,34
CATACORA,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,0,2,0,2,2
CHALLAPATA,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,60,73,60,73,133
CHAQUI,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,3,2,3,2,5
CHARAGUA,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,14,17,14,17,31
CHAYANTA,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,8,16,8,16,24
CHIMORE,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,22,68,22,68,90
CHIPAYA,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,2,1,2,1,3
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,26,74,26,74,100
CHUMA,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,35,43,35,43,78
CHUQUIHUTA AYLLU JUCUMANI,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,0,8,0,8,8
CKOCHAS,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,1,3,1,3,4
CLIZA,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,177,285,177,285,462
COBIJA,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,150,141,150,141,291
COCAPATA,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,17,29,17,29,46
COCHABAMBA,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,2892,3748,2892,3748,6640
COIPASA,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,0,4,0,4,4
COLCAPIRHUA,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,130,144,130,144,274
"COLCHA ""K""",atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,22,24,22,24,46
COLLANA,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,11,5,11,5,16
COLOMI,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,47,38,47,38,85
COLPA BELGICA,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,50,79,50,79,129
COLQUECHACA,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,30,22,30,22,52
COLQUIRI,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,0,2,0,2,2
COMARAPA,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,41,20,41,20,61
CONCEPCION,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,5,15,5,15,20
COPACABANA,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,1,7,1,7,8
CORIPATA,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,37,45,37,45,82
CORO CORO,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,13,15,13,15,28
COROICO,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,6,17,6,17,23
COTAGAITA,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,7,33,7,33,40
COTOCA,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,14,22,14,22,36
CUATRO CAÑADAS,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,39,36,39,36,75
CUCHUMUELA (V. G. VILLARROEL),atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,1,2,1,2,3
CUEVO,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,5,6,5,6,11
CULPINA,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,8,1,8,1,9
CURAHUARA DE CARANGAS,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,27,51,27,51,78
DESAGUADERO,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,2,2,2,2,4
EL ALTO,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,2142,2680,2142,2680,4822
EL CHORO,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,15,6,15,6,21
EL PUENTE(STC),atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,1,0,1,0,1
EL PUENTE(TJA),atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,9,29,9,29,38
EL TORNO,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,12,25,12,25,37
ENTRE RIOS TRJ,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,11,12,11,12,23
ENTRE RIOS CBBA,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,220,229,220,229,449
ESCOMA,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,1,3,1,3,4
EUCALIPTUS,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,42,29,42,29,71
FERNANDEZ ALONSO,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,13,30,13,30,43
FILADELFIA,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,3,15,3,15,18
GENERAL SAAVEDRA,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,1,3,1,3,4
GRAL. J.J. PEREZ (CHARAZANI),atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,9,4,9,4,13
GUANAY,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,2,24,2,24,26
GUAQUI,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,12,12,12,12,24
GUAYARAMERIN,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,161,182,161,182,343
GUTIERREZ,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,24,30,24,30,54
HUACARETA,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,0,2,0,2,2
HUACAYA (VILLA DE HUACAYA),atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,2,1,2,1,3
HUANUNI,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,120,211,120,211,331
HUARACAJE,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,23,55,23,55,78
HUAYLLAMARCA,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,9,8,9,8,17
HUMANATA,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,7,0,7,0,7
ICLA,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,16,14,16,14,30
INCAHUASI,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,2,6,2,6,8
INQUISIVI,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,16,35,16,35,51
IRUPANA (VILLA DE LANZA),atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,13,49,13,49,62
IXIAMAS,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,10,7,10,7,17
JESUS DE MACHACA,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,20,17,20,17,37
LA ASUNTA,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,7,20,7,20,27
LA GUARDIA,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,38,65,38,65,103
LA PAZ,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,5604,3949,5604,3949,9553
LAGUNILLAS,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,26,66,26,66,92
LAJA,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,4,6,4,6,10
LAS CARRERAS,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,1,0,1,0,1
LICOMA PAMPA,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,3,6,3,6,9
LLALLAGUA,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,85,142,85,142,227
LORETO,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,2,1,2,1,3
LURIBAY,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,53,42,53,42,95
MACHACAMARCA,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,4,17,4,17,21
MACHARETI,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,28,29,28,29,57
MAGDALENA,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,14,63,14,63,77
MAIRANA,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,1,6,1,6,7
MALLA,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,11,1,11,1,12
MAPIRI,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,13,15,13,15,28
MECAPACA,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,17,22,17,22,39
MINEROS,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,4,4,4,4,8
MIZQUE,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,23,100,23,100,123
MOCOMOCO,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,1,3,1,3,4
MOJOCOYA,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,2,2,2,2,4
MONTEAGUDO,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,42,72,42,72,114
MONTERO,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,96,168,96,168,264
MORO MORO,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,31,47,31,47,78
MOROCHATA,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,8,23,8,23,31
NUEVO MANOA (NUEVA ESPERANZA),atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,0,1,0,1,1
OCURI,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,1,0,1,0,1
OKINAWA,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,1,12,1,12,13
OMEREQUE,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,10,12,10,12,22
ORURO,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,579,667,579,667,1246
PADCAYA,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,24,33,24,33,57
PADILLA,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,4,9,4,9,13
PAILON,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,37,60,37,60,97
PALCA,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,39,52,39,52,91
PALOS BLANCOS,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,12,18,12,18,30
PAMPA AULLAGAS,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,5,6,5,6,11
PAMPA GRANDE,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,8,8,8,8,16
PAPEL PAMPA,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,4,5,4,5,9
PASORAPA,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,0,2,0,2,2
PATACAMAYA,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,73,87,73,87,160
PAZÑA,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,2,4,2,4,6
PELECHUCO,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,60,94,60,94,154
POCOATA,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,4,0,4,0,4
POCONA,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,25,19,25,19,44
POJO (CBBA),atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,25,52,25,52,77
POOPO,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,55,173,55,173,228
PORCO,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,3,10,3,10,13
POROMA,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,99,122,99,122,221
PORONGO,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,20,39,20,39,59
PORTACHUELO,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,12,39,12,39,51
PORVENIR,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,24,44,24,44,68
POSTRER VALLE,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,17,11,17,11,28
POTOSI,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,153,221,153,221,374
PRESTO,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,0,1,0,1,1
PUCARANI,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,8,10,8,10,18
PUERTO ACOSTA,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,1,9,1,9,10
PUERTO CARABUCO,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,4,3,4,3,7
PUERTO GONZALO MORENO,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,13,10,13,10,23
PUERTO PEREZ,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,1,0,1,0,1
PUERTO QUIJARRO,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,29,28,29,28,57
PUERTO RICO,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,8,17,8,17,25
PUERTO SUAREZ,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,13,5,13,5,18
PUERTO VILLARROEL,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,122,150,122,150,272
PUNA,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,0,5,0,5,5
PUNATA,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,195,312,195,312,507
QUIABAYA,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,1,12,1,12,13
QUILLACOLLO,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,460,611,460,611,1071
QUIME,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,8,5,8,5,13
QUIRUSILLAS,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,6,2,6,2,8
RAVELO,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,0,4,0,4,4
REYES,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,10,235,10,235,245
RIBERALTA,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,27,81,27,81,108
ROBORE,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,22,26,22,26,48
RURRENABAQUE,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,57,109,57,109,166
SABAYA,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,12,9,12,9,21
SACABA,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,1413,1884,1413,1884,3297
SACABAMBA,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,8,7,8,7,15
SACACA,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,7,2,7,2,9
SAIPINA,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,4,15,4,15,19
SALINAS DE GARCI MENDOZA,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,42,17,42,17,59
SAMAIPATA,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,12,14,12,14,26
SAN AGUSTIN,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,0,1,0,1,1
SAN ANDRES,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,3,3,3,3,6
SAN ANDRES DE MACHACA,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,7,10,7,10,17
SAN ANTONIO DE LOMERIO,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,0,6,0,6,6
SAN BENITO,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,24,89,24,89,113
SAN BORJA,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,56,12,56,12,68
SAN BUENA VENTURA,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,3,6,3,6,9
SAN CARLOS,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,37,14,37,14,51
SAN IGNACIO,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,13,23,13,23,36
SAN IGNACIO DE VELASCO,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,113,215,113,215,328
SAN JAVIER(STC),atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,10,15,10,15,25
SAN JOSE DE CHIQUITOS,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,2,5,2,5,7
SAN JUAN DE YAPACANI,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,14,12,14,12,26
SAN JULIAN,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,13,10,13,10,23
SAN LORENZO(PND),atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,1,5,1,5,6
SAN LORENZO(TJA),atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,16,36,16,36,52
SAN LUCAS,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,5,8,5,8,13
SAN MATIAS,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,1,3,1,3,4
SAN MIGUEL DE VELASCO,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,12,14,12,14,26
SAN PEDRO,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,28,44,28,44,72
SAN PEDRO DE BUENA VISTA,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,0,1,0,1,1
SAN PEDRO DE CURAHUARA,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,11,10,11,10,21
SAN PEDRO DE TIQUINA,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,11,18,11,18,29
SAN RAFAEL,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,18,26,18,26,44
SAN RAMON BENI,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,5,4,5,4,9
SAN RAMON SCZ,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,0,2,0,2,2
SANTA ANA,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,203,222,203,222,425
SANTA CRUZ DE LA SIERRA,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,1282,1861,1282,1861,3143
SANTA ROSA,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,1,14,1,14,15
SANTA ROSA DEL SARA,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,28,42,28,42,70
SANTIAGO DE CALLAPA,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,10,7,10,7,17
SANTIAGO DE HUARI,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,71,152,71,152,223
SANTIAGO DE HUATA,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,4,1,4,1,5
SANTIVAÑES,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,0,1,0,1,1
SANTUARIO DE QUILLACAS,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,14,21,14,21,35
SAPAHAQUI,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,3,3,3,3,6
SENA,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,2,10,2,10,12
SHINAOTA,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,103,56,103,56,159
SICA SICA (VILLA AROMA),atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,17,21,17,21,38
SICAYA,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,0,2,0,2,2
SIPE SIPE,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,69,57,69,57,126
SOPACHUY,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,15,30,15,30,45
SORACACHI,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,3,0,3,0,3
SORATA,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,9,4,9,4,13
SUCRE,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,778,832,778,832,1610
TACACOMA,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,6,7,6,7,13
TAHUA,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,2,5,2,5,7
TAPACARI,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,47,101,47,101,148
TARABUCO,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,49,82,49,82,131
TARACO,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,21,25,21,25,46
TARATA,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,11,10,11,10,21
TARIJA,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,279,515,279,515,794
TARVITA,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,73,65,73,65,138
TEOPONTE,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,2,2,2,2,4
TIAWANACU,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,8,12,8,12,20
TIPUANI,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,2,4,2,4,6
TIQUIPAYA,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,378,597,378,597,975
TIRAQUE (CBBA),atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,0,30,0,30,30
TITO YUPANQUI (PARQUIPUJIO),atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,1,1,1,1,2
TOCO,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,60,124,60,124,184
TOLATA,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,32,65,32,65,97
TOMAVE,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,9,1,9,1,10
TOMINA,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,167,95,167,95,262
TORO TORO,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,3,8,3,8,11
TOTORA(CBBA),atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,4,8,4,8,12
TRIGAL,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,14,13,14,13,27
TRINIDAD,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,167,254,167,254,421
TUPIZA,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,11,17,11,17,28
TURCO,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,3,10,3,10,13
UMALA,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,3,4,3,4,7
UNCIA,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,38,52,38,52,90
URIONDO (A. CONCEPCION),atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,13,40,13,40,53
URUBICHA,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,2,13,2,13,15
UYUNI,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,3,2,3,2,5
VACAS,atencion odontologica,acciones preventivas dentro del establecimiento,2012-01-01,6,8,6,8,14
