,group,variable,month,ACCIONES PREVENTIVAS FUERA DEL ESTABLECIMIENTO CANTIDAD,ACCIONES PREVENTIVAS FUERA DEL ESTABLECIMIENTO CANTIDAD,TOTALES,TOTALES,TOTALES
COTAGAITA,atencion odontologica,acciones preventivas fuera del establecimiento,2012-01-01,1,0,1,0,1
COTOCA,atencion odontologica,acciones preventivas fuera del establecimiento,2012-01-01,102,17,102,17,119
CUATRO CAÑADAS,atencion odontologica,acciones preventivas fuera del establecimiento,2012-01-01,26,59,26,59,85
CURAHUARA DE CARANGAS,atencion odontologica,acciones preventivas fuera del establecimiento,2012-01-01,0,3,0,3,3
EL ALTO,atencion odontologica,acciones preventivas fuera del establecimiento,2012-01-01,39,75,39,75,114
EL PUENTE(TJA),atencion odontologica,acciones preventivas fuera del establecimiento,2012-01-01,2,7,2,7,9
EL VILLAR,atencion odontologica,acciones preventivas fuera del establecimiento,2012-01-01,3,8,3,8,11
ENTRE RIOS TRJ,atencion odontologica,acciones preventivas fuera del establecimiento,2012-01-01,0,2,0,2,2
ENTRE RIOS CBBA,atencion odontologica,acciones preventivas fuera del establecimiento,2012-01-01,5,10,5,10,15
FERNANDEZ ALONSO,atencion odontologica,acciones preventivas fuera del establecimiento,2012-01-01,1,1,1,1,2
FILADELFIA,atencion odontologica,acciones preventivas fuera del establecimiento,2012-01-01,17,15,17,15,32
GUANAY,atencion odontologica,acciones preventivas fuera del establecimiento,2012-01-01,2,8,2,8,10
GUTIERREZ,atencion odontologica,acciones preventivas fuera del establecimiento,2012-01-01,19,33,19,33,52
HUACAYA (VILLA DE HUACAYA),atencion odontologica,acciones preventivas fuera del establecimiento,2012-01-01,2,0,2,0,2
ICLA,atencion odontologica,acciones preventivas fuera del establecimiento,2012-01-01,10,34,10,34,44
INCAHUASI,atencion odontologica,acciones preventivas fuera del establecimiento,2012-01-01,5,3,5,3,8
IRUPANA (VILLA DE LANZA),atencion odontologica,acciones preventivas fuera del establecimiento,2012-01-01,8,1,8,1,9
JESUS DE MACHACA,atencion odontologica,acciones preventivas fuera del establecimiento,2012-01-01,8,10,8,10,18
LA GUARDIA,atencion odontologica,acciones preventivas fuera del establecimiento,2012-01-01,159,330,159,330,489
LA PAZ,atencion odontologica,acciones preventivas fuera del establecimiento,2012-01-01,62,97,62,97,159
MAGDALENA,atencion odontologica,acciones preventivas fuera del establecimiento,2012-01-01,21,34,21,34,55
MECAPACA,atencion odontologica,acciones preventivas fuera del establecimiento,2012-01-01,5,13,5,13,18
MINEROS,atencion odontologica,acciones preventivas fuera del establecimiento,2012-01-01,11,20,11,20,31
MIZQUE,atencion odontologica,acciones preventivas fuera del establecimiento,2012-01-01,56,93,56,93,149
MOJOCOYA,atencion odontologica,acciones preventivas fuera del establecimiento,2012-01-01,82,65,82,65,147
MORO MORO,atencion odontologica,acciones preventivas fuera del establecimiento,2012-01-01,20,34,20,34,54
MOROCHATA,atencion odontologica,acciones preventivas fuera del establecimiento,2012-01-01,31,26,31,26,57
PADCAYA,atencion odontologica,acciones preventivas fuera del establecimiento,2012-01-01,2,4,2,4,6
PALCA,atencion odontologica,acciones preventivas fuera del establecimiento,2012-01-01,20,30,20,30,50
PALOS BLANCOS,atencion odontologica,acciones preventivas fuera del establecimiento,2012-01-01,20,13,20,13,33
PAMPA GRANDE,atencion odontologica,acciones preventivas fuera del establecimiento,2012-01-01,14,20,14,20,34
POJO (CBBA),atencion odontologica,acciones preventivas fuera del establecimiento,2012-01-01,11,21,11,21,32
PORONGO,atencion odontologica,acciones preventivas fuera del establecimiento,2012-01-01,1,3,1,3,4
PORTACHUELO,atencion odontologica,acciones preventivas fuera del establecimiento,2012-01-01,3,9,3,9,12
PORVENIR,atencion odontologica,acciones preventivas fuera del establecimiento,2012-01-01,1,5,1,5,6
POSTRER VALLE,atencion odontologica,acciones preventivas fuera del establecimiento,2012-01-01,2,16,2,16,18
POTOSI,atencion odontologica,acciones preventivas fuera del establecimiento,2012-01-01,3,8,3,8,11
PUERTO PEREZ,atencion odontologica,acciones preventivas fuera del establecimiento,2012-01-01,7,3,7,3,10
PUERTO QUIJARRO,atencion odontologica,acciones preventivas fuera del establecimiento,2012-01-01,9,3,9,3,12
PUERTO RICO,atencion odontologica,acciones preventivas fuera del establecimiento,2012-01-01,102,86,102,86,188
PUERTO VILLARROEL,atencion odontologica,acciones preventivas fuera del establecimiento,2012-01-01,2,2,2,2,4
PUNATA,atencion odontologica,acciones preventivas fuera del establecimiento,2012-01-01,3,2,3,2,5
QUILLACOLLO,atencion odontologica,acciones preventivas fuera del establecimiento,2012-01-01,81,144,81,144,225
RIBERALTA,atencion odontologica,acciones preventivas fuera del establecimiento,2012-01-01,0,7,0,7,7
RURRENABAQUE,atencion odontologica,acciones preventivas fuera del establecimiento,2012-01-01,39,57,39,57,96
SABAYA,atencion odontologica,acciones preventivas fuera del establecimiento,2012-01-01,12,0,12,0,12
SAN ANDRES,atencion odontologica,acciones preventivas fuera del establecimiento,2012-01-01,4,6,4,6,10
SAN ANDRES DE MACHACA,atencion odontologica,acciones preventivas fuera del establecimiento,2012-01-01,1,2,1,2,3
SAN BORJA,atencion odontologica,acciones preventivas fuera del establecimiento,2012-01-01,2,4,2,4,6
SAN BUENA VENTURA,atencion odontologica,acciones preventivas fuera del establecimiento,2012-01-01,13,10,13,10,23
SAN JULIAN,atencion odontologica,acciones preventivas fuera del establecimiento,2012-01-01,15,22,15,22,37
SAN LORENZO(PND),atencion odontologica,acciones preventivas fuera del establecimiento,2012-01-01,12,12,12,12,24
SAN LORENZO(TJA),atencion odontologica,acciones preventivas fuera del establecimiento,2012-01-01,12,33,12,33,45
SAN LUCAS,atencion odontologica,acciones preventivas fuera del establecimiento,2012-01-01,25,23,25,23,48
SAN MATIAS,atencion odontologica,acciones preventivas fuera del establecimiento,2012-01-01,5,10,5,10,15
SAN RAFAEL,atencion odontologica,acciones preventivas fuera del establecimiento,2012-01-01,12,15,12,15,27
SANTA CRUZ DE LA SIERRA,atencion odontologica,acciones preventivas fuera del establecimiento,2012-01-01,94,137,94,137,231
SANTIAGO DE HUARI,atencion odontologica,acciones preventivas fuera del establecimiento,2012-01-01,1,1,1,1,2
SHINAOTA,atencion odontologica,acciones preventivas fuera del establecimiento,2012-01-01,40,6,40,6,46
SICA SICA (VILLA AROMA),atencion odontologica,acciones preventivas fuera del establecimiento,2012-01-01,5,7,5,7,12
SICAYA,atencion odontologica,acciones preventivas fuera del establecimiento,2012-01-01,3,9,3,9,12
SIPE SIPE,atencion odontologica,acciones preventivas fuera del establecimiento,2012-01-01,2,0,2,0,2
SOPACHUY,atencion odontologica,acciones preventivas fuera del establecimiento,2012-01-01,27,54,27,54,81
SORACACHI,atencion odontologica,acciones preventivas fuera del establecimiento,2012-01-01,3,3,3,3,6
SORATA,atencion odontologica,acciones preventivas fuera del establecimiento,2012-01-01,1,3,1,3,4
SUCRE,atencion odontologica,acciones preventivas fuera del establecimiento,2012-01-01,66,56,66,56,122
TACACOMA,atencion odontologica,acciones preventivas fuera del establecimiento,2012-01-01,1,1,1,1,2
TACOPAYA,atencion odontologica,acciones preventivas fuera del establecimiento,2012-01-01,18,16,18,16,34
TAPACARI,atencion odontologica,acciones preventivas fuera del establecimiento,2012-01-01,0,1,0,1,1
TARABUCO,atencion odontologica,acciones preventivas fuera del establecimiento,2012-01-01,70,107,70,107,177
TARATA,atencion odontologica,acciones preventivas fuera del establecimiento,2012-01-01,13,16,13,16,29
TARIJA,atencion odontologica,acciones preventivas fuera del establecimiento,2012-01-01,17,36,17,36,53
TEOPONTE,atencion odontologica,acciones preventivas fuera del establecimiento,2012-01-01,10,15,10,15,25
TIAWANACU,atencion odontologica,acciones preventivas fuera del establecimiento,2012-01-01,4,5,4,5,9
TIQUIPAYA,atencion odontologica,acciones preventivas fuera del establecimiento,2012-01-01,38,55,38,55,93
TIRAQUE (CBBA),atencion odontologica,acciones preventivas fuera del establecimiento,2012-01-01,6,13,6,13,19
TOCO,atencion odontologica,acciones preventivas fuera del establecimiento,2012-01-01,5,5,5,5,10
TOLATA,atencion odontologica,acciones preventivas fuera del establecimiento,2012-01-01,79,107,79,107,186
TOMINA,atencion odontologica,acciones preventivas fuera del establecimiento,2012-01-01,28,54,28,54,82
TORO TORO,atencion odontologica,acciones preventivas fuera del establecimiento,2012-01-01,4,15,4,15,19
TOTORA(CBBA),atencion odontologica,acciones preventivas fuera del establecimiento,2012-01-01,50,48,50,48,98
TRIGAL,atencion odontologica,acciones preventivas fuera del establecimiento,2012-01-01,14,6,14,6,20
TRINIDAD,atencion odontologica,acciones preventivas fuera del establecimiento,2012-01-01,5,3,5,3,8
TURCO,atencion odontologica,acciones preventivas fuera del establecimiento,2012-01-01,15,5,15,5,20
URIONDO (A. CONCEPCION),atencion odontologica,acciones preventivas fuera del establecimiento,2012-01-01,9,5,9,5,14
VACAS,atencion odontologica,acciones preventivas fuera del establecimiento,2012-01-01,5,15,5,15,20
VALLEGRANDE,atencion odontologica,acciones preventivas fuera del establecimiento,2012-01-01,57,31,57,31,88
VIACHA,atencion odontologica,acciones preventivas fuera del establecimiento,2012-01-01,15,15,15,15,30
VILA VILA,atencion odontologica,acciones preventivas fuera del establecimiento,2012-01-01,7,7,7,7,14
VILLA CHARCAS,atencion odontologica,acciones preventivas fuera del establecimiento,2012-01-01,6,9,6,9,15
VILLA SERRANO,atencion odontologica,acciones preventivas fuera del establecimiento,2012-01-01,2,0,2,0,2
VITICHI,atencion odontologica,acciones preventivas fuera del establecimiento,2012-01-01,1,0,1,0,1
WARNES,atencion odontologica,acciones preventivas fuera del establecimiento,2012-01-01,2,6,2,6,8
YACUIBA,atencion odontologica,acciones preventivas fuera del establecimiento,2012-01-01,262,9,262,9,271
YAMPARAEZ,atencion odontologica,acciones preventivas fuera del establecimiento,2012-01-01,78,71,78,71,149
YOCALLA,atencion odontologica,acciones preventivas fuera del establecimiento,2012-01-01,2,2,2,2,4
YUNCHARA,atencion odontologica,acciones preventivas fuera del establecimiento,2012-01-01,3,6,3,6,9
ZUDAÑEZ,atencion odontologica,acciones preventivas fuera del establecimiento,2012-01-01,2,7,2,7,9
ACHACACHI,atencion odontologica,acciones preventivas fuera del establecimiento,2012-02-01,82,101,82,101,183
ACHOCALLA,atencion odontologica,acciones preventivas fuera del establecimiento,2012-02-01,14,12,14,12,26
AIQUILE,atencion odontologica,acciones preventivas fuera del establecimiento,2012-02-01,210,223,210,223,433
ALALAY,atencion odontologica,acciones preventivas fuera del establecimiento,2012-02-01,12,2,12,2,14
ALCALA,atencion odontologica,acciones preventivas fuera del establecimiento,2012-02-01,29,22,29,22,51
ANCORAIMES,atencion odontologica,acciones preventivas fuera del establecimiento,2012-02-01,5,2,5,2,7
ANZALDO,atencion odontologica,acciones preventivas fuera del establecimiento,2012-02-01,22,11,22,11,33
APOLO,atencion odontologica,acciones preventivas fuera del establecimiento,2012-02-01,1,1,1,1,2
ARAMPAMPA,atencion odontologica,acciones preventivas fuera del establecimiento,2012-02-01,4,4,4,4,8
ARBIETO,atencion odontologica,acciones preventivas fuera del establecimiento,2012-02-01,594,717,594,717,1311
ARQUE,atencion odontologica,acciones preventivas fuera del establecimiento,2012-02-01,17,8,17,8,25
AYATA,atencion odontologica,acciones preventivas fuera del establecimiento,2012-02-01,12,6,12,6,18
AYO AYO,atencion odontologica,acciones preventivas fuera del establecimiento,2012-02-01,4,1,4,1,5
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica,acciones preventivas fuera del establecimiento,2012-02-01,5,11,5,11,16
AZURDUY,atencion odontologica,acciones preventivas fuera del establecimiento,2012-02-01,35,31,35,31,66
BAURES,atencion odontologica,acciones preventivas fuera del establecimiento,2012-02-01,40,30,40,30,70
BELLA FLOR,atencion odontologica,acciones preventivas fuera del establecimiento,2012-02-01,25,30,25,30,55
BERMEJO,atencion odontologica,acciones preventivas fuera del establecimiento,2012-02-01,4,5,4,5,9
BETANZOS,atencion odontologica,acciones preventivas fuera del establecimiento,2012-02-01,0,1,0,1,1
BOLIVAR,atencion odontologica,acciones preventivas fuera del establecimiento,2012-02-01,14,19,14,19,33
BOLPEBRA,atencion odontologica,acciones preventivas fuera del establecimiento,2012-02-01,24,53,24,53,77
BOYUIBE,atencion odontologica,acciones preventivas fuera del establecimiento,2012-02-01,12,10,12,10,22
CABEZAS,atencion odontologica,acciones preventivas fuera del establecimiento,2012-02-01,2,0,2,0,2
"CAIZA ""D""",atencion odontologica,acciones preventivas fuera del establecimiento,2012-02-01,19,16,19,16,35
CAJUATA,atencion odontologica,acciones preventivas fuera del establecimiento,2012-02-01,1,3,1,3,4
CAMARGO,atencion odontologica,acciones preventivas fuera del establecimiento,2012-02-01,22,12,22,12,34
CAMIRI,atencion odontologica,acciones preventivas fuera del establecimiento,2012-02-01,216,284,216,284,500
CAPINOTA,atencion odontologica,acciones preventivas fuera del establecimiento,2012-02-01,5,4,5,4,9
CAQUIAVIRI,atencion odontologica,acciones preventivas fuera del establecimiento,2012-02-01,9,1,9,1,10
CARANAVI,atencion odontologica,acciones preventivas fuera del establecimiento,2012-02-01,262,332,262,332,594
CARMEN RIVERO TORREZ,atencion odontologica,acciones preventivas fuera del establecimiento,2012-02-01,125,161,125,161,286
CHARAGUA,atencion odontologica,acciones preventivas fuera del establecimiento,2012-02-01,1,9,1,9,10
CHIMORE,atencion odontologica,acciones preventivas fuera del establecimiento,2012-02-01,27,38,27,38,65
CHIPAYA,atencion odontologica,acciones preventivas fuera del establecimiento,2012-02-01,5,3,5,3,8
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica,acciones preventivas fuera del establecimiento,2012-02-01,73,79,73,79,152
CLIZA,atencion odontologica,acciones preventivas fuera del establecimiento,2012-02-01,91,138,91,138,229
COBIJA,atencion odontologica,acciones preventivas fuera del establecimiento,2012-02-01,75,65,75,65,140
COCAPATA,atencion odontologica,acciones preventivas fuera del establecimiento,2012-02-01,7,5,7,5,12
COCHABAMBA,atencion odontologica,acciones preventivas fuera del establecimiento,2012-02-01,3,4,3,4,7
COIPASA,atencion odontologica,acciones preventivas fuera del establecimiento,2012-02-01,2,0,2,0,2
"COLCHA ""K""",atencion odontologica,acciones preventivas fuera del establecimiento,2012-02-01,2,6,2,6,8
COLOMI,atencion odontologica,acciones preventivas fuera del establecimiento,2012-02-01,71,86,71,86,157
COLQUECHACA,atencion odontologica,acciones preventivas fuera del establecimiento,2012-02-01,2,7,2,7,9
COMANCHE,atencion odontologica,acciones preventivas fuera del establecimiento,2012-02-01,1,4,1,4,5
COMARAPA,atencion odontologica,acciones preventivas fuera del establecimiento,2012-02-01,85,116,85,116,201
COPACABANA,atencion odontologica,acciones preventivas fuera del establecimiento,2012-02-01,0,1,0,1,1
CORIPATA,atencion odontologica,acciones preventivas fuera del establecimiento,2012-02-01,8,10,8,10,18
COTAGAITA,atencion odontologica,acciones preventivas fuera del establecimiento,2012-02-01,23,23,23,23,46
COTOCA,atencion odontologica,acciones preventivas fuera del establecimiento,2012-02-01,133,132,133,132,265
CUATRO CAÑADAS,atencion odontologica,acciones preventivas fuera del establecimiento,2012-02-01,15,23,15,23,38
CUCHUMUELA (V. G. VILLARROEL),atencion odontologica,acciones preventivas fuera del establecimiento,2012-02-01,27,27,27,27,54
CULPINA,atencion odontologica,acciones preventivas fuera del establecimiento,2012-02-01,19,15,19,15,34
EL ALTO,atencion odontologica,acciones preventivas fuera del establecimiento,2012-02-01,1,0,1,0,1
EL TORNO,atencion odontologica,acciones preventivas fuera del establecimiento,2012-02-01,235,242,235,242,477
EL VILLAR,atencion odontologica,acciones preventivas fuera del establecimiento,2012-02-01,5,9,5,9,14
ENTRE RIOS TRJ,atencion odontologica,acciones preventivas fuera del establecimiento,2012-02-01,0,3,0,3,3
ENTRE RIOS CBBA,atencion odontologica,acciones preventivas fuera del establecimiento,2012-02-01,80,120,80,120,200
FERNANDEZ ALONSO,atencion odontologica,acciones preventivas fuera del establecimiento,2012-02-01,1,1,1,1,2
FILADELFIA,atencion odontologica,acciones preventivas fuera del establecimiento,2012-02-01,20,14,20,14,34
GUANAY,atencion odontologica,acciones preventivas fuera del establecimiento,2012-02-01,7,6,7,6,13
GUAYARAMERIN,atencion odontologica,acciones preventivas fuera del establecimiento,2012-02-01,2,2,2,2,4
GUTIERREZ,atencion odontologica,acciones preventivas fuera del establecimiento,2012-02-01,17,37,17,37,54
HUACAYA (VILLA DE HUACAYA),atencion odontologica,acciones preventivas fuera del establecimiento,2012-02-01,10,9,10,9,19
HUMANATA,atencion odontologica,acciones preventivas fuera del establecimiento,2012-02-01,3,4,3,4,7
ICHOCA,atencion odontologica,acciones preventivas fuera del establecimiento,2012-02-01,3,6,3,6,9
ICLA,atencion odontologica,acciones preventivas fuera del establecimiento,2012-02-01,165,129,165,129,294
IRUPANA (VILLA DE LANZA),atencion odontologica,acciones preventivas fuera del establecimiento,2012-02-01,39,43,39,43,82
JESUS DE MACHACA,atencion odontologica,acciones preventivas fuera del establecimiento,2012-02-01,3,3,3,3,6
LA GUARDIA,atencion odontologica,acciones preventivas fuera del establecimiento,2012-02-01,214,168,214,168,382
LA PAZ,atencion odontologica,acciones preventivas fuera del establecimiento,2012-02-01,302,273,302,273,575
LICOMA PAMPA,atencion odontologica,acciones preventivas fuera del establecimiento,2012-02-01,31,44,31,44,75
LLALLAGUA,atencion odontologica,acciones preventivas fuera del establecimiento,2012-02-01,95,84,95,84,179
MACHARETI,atencion odontologica,acciones preventivas fuera del establecimiento,2012-02-01,2,0,2,0,2
MAGDALENA,atencion odontologica,acciones preventivas fuera del establecimiento,2012-02-01,0,1,0,1,1
MAPIRI,atencion odontologica,acciones preventivas fuera del establecimiento,2012-02-01,12,21,12,21,33
MECAPACA,atencion odontologica,acciones preventivas fuera del establecimiento,2012-02-01,10,39,10,39,49
MIZQUE,atencion odontologica,acciones preventivas fuera del establecimiento,2012-02-01,71,62,71,62,133
MOJOCOYA,atencion odontologica,acciones preventivas fuera del establecimiento,2012-02-01,1,1,1,1,2
MONTEAGUDO,atencion odontologica,acciones preventivas fuera del establecimiento,2012-02-01,15,30,15,30,45
MONTERO,atencion odontologica,acciones preventivas fuera del establecimiento,2012-02-01,32,38,32,38,70
MORO MORO,atencion odontologica,acciones preventivas fuera del establecimiento,2012-02-01,15,13,15,13,28
MOROCHATA,atencion odontologica,acciones preventivas fuera del establecimiento,2012-02-01,18,36,18,36,54
ORURO,atencion odontologica,acciones preventivas fuera del establecimiento,2012-02-01,7,5,7,5,12
PADCAYA,atencion odontologica,acciones preventivas fuera del establecimiento,2012-02-01,57,42,57,42,99
PALCA,atencion odontologica,acciones preventivas fuera del establecimiento,2012-02-01,54,51,54,51,105
PALOS BLANCOS,atencion odontologica,acciones preventivas fuera del establecimiento,2012-02-01,23,12,23,12,35
PAMPA GRANDE,atencion odontologica,acciones preventivas fuera del establecimiento,2012-02-01,2,6,2,6,8
PASORAPA,atencion odontologica,acciones preventivas fuera del establecimiento,2012-02-01,73,78,73,78,151
PAZÑA,atencion odontologica,acciones preventivas fuera del establecimiento,2012-02-01,1,0,1,0,1
POCONA,atencion odontologica,acciones preventivas fuera del establecimiento,2012-02-01,101,95,101,95,196
POJO (CBBA),atencion odontologica,acciones preventivas fuera del establecimiento,2012-02-01,39,71,39,71,110
POROMA,atencion odontologica,acciones preventivas fuera del establecimiento,2012-02-01,42,61,42,61,103
PORTACHUELO,atencion odontologica,acciones preventivas fuera del establecimiento,2012-02-01,31,28,31,28,59
POSTRER VALLE,atencion odontologica,acciones preventivas fuera del establecimiento,2012-02-01,6,5,6,5,11
PRESTO,atencion odontologica,acciones preventivas fuera del establecimiento,2012-02-01,47,64,47,64,111
PUCARA,atencion odontologica,acciones preventivas fuera del establecimiento,2012-02-01,23,20,23,20,43
PUERTO QUIJARRO,atencion odontologica,acciones preventivas fuera del establecimiento,2012-02-01,6,0,6,0,6
PUERTO RICO,atencion odontologica,acciones preventivas fuera del establecimiento,2012-02-01,106,101,106,101,207
PUERTO SUAREZ,atencion odontologica,acciones preventivas fuera del establecimiento,2012-02-01,5,4,5,4,9
PUERTO VILLARROEL,atencion odontologica,acciones preventivas fuera del establecimiento,2012-02-01,34,32,34,32,66
PUNATA,atencion odontologica,acciones preventivas fuera del establecimiento,2012-02-01,418,362,418,362,780
QUILLACOLLO,atencion odontologica,acciones preventivas fuera del establecimiento,2012-02-01,661,838,661,838,1499
QUIME,atencion odontologica,acciones preventivas fuera del establecimiento,2012-02-01,4,6,4,6,10
RURRENABAQUE,atencion odontologica,acciones preventivas fuera del establecimiento,2012-02-01,39,53,39,53,92
SACABA,atencion odontologica,acciones preventivas fuera del establecimiento,2012-02-01,189,283,189,283,472
SAN ANDRES,atencion odontologica,acciones preventivas fuera del establecimiento,2012-02-01,8,5,8,5,13
SAN ANDRES DE MACHACA,atencion odontologica,acciones preventivas fuera del establecimiento,2012-02-01,0,1,0,1,1
SAN BENITO,atencion odontologica,acciones preventivas fuera del establecimiento,2012-02-01,383,324,383,324,707
SAN BORJA,atencion odontologica,acciones preventivas fuera del establecimiento,2012-02-01,64,39,64,39,103
SAN BUENA VENTURA,atencion odontologica,acciones preventivas fuera del establecimiento,2012-02-01,2,3,2,3,5
SAN CARLOS,atencion odontologica,acciones preventivas fuera del establecimiento,2012-02-01,0,268,0,268,268
SAN IGNACIO,atencion odontologica,acciones preventivas fuera del establecimiento,2012-02-01,78,69,78,69,147
SAN JOSE DE CHIQUITOS,atencion odontologica,acciones preventivas fuera del establecimiento,2012-02-01,7,14,7,14,21
SAN JUAN DE YAPACANI,atencion odontologica,acciones preventivas fuera del establecimiento,2012-02-01,274,288,274,288,562
SAN JULIAN,atencion odontologica,acciones preventivas fuera del establecimiento,2012-02-01,21,23,21,23,44
SAN LORENZO(PND),atencion odontologica,acciones preventivas fuera del establecimiento,2012-02-01,20,17,20,17,37
SAN LORENZO(TJA),atencion odontologica,acciones preventivas fuera del establecimiento,2012-02-01,10,16,10,16,26
SAN LUCAS,atencion odontologica,acciones preventivas fuera del establecimiento,2012-02-01,24,46,24,46,70
SAN PEDRO DE CURAHUARA,atencion odontologica,acciones preventivas fuera del establecimiento,2012-02-01,2,4,2,4,6
SAN RAFAEL,atencion odontologica,acciones preventivas fuera del establecimiento,2012-02-01,52,72,52,72,124
SANTA CRUZ DE LA SIERRA,atencion odontologica,acciones preventivas fuera del establecimiento,2012-02-01,1292,1597,1292,1597,2889
SANTA ROSA,atencion odontologica,acciones preventivas fuera del establecimiento,2012-02-01,151,148,151,148,299
SANTA ROSA DEL SARA,atencion odontologica,acciones preventivas fuera del establecimiento,2012-02-01,24,42,24,42,66
SANTIAGO DE HUATA,atencion odontologica,acciones preventivas fuera del establecimiento,2012-02-01,1,4,1,4,5
SANTIAGO DE MACHACA,atencion odontologica,acciones preventivas fuera del establecimiento,2012-02-01,5,6,5,6,11
SICA SICA (VILLA AROMA),atencion odontologica,acciones preventivas fuera del establecimiento,2012-02-01,16,18,16,18,34
SICAYA,atencion odontologica,acciones preventivas fuera del establecimiento,2012-02-01,10,11,10,11,21
SIPE SIPE,atencion odontologica,acciones preventivas fuera del establecimiento,2012-02-01,67,100,67,100,167
SOPACHUY,atencion odontologica,acciones preventivas fuera del establecimiento,2012-02-01,44,40,44,40,84
SUCRE,atencion odontologica,acciones preventivas fuera del establecimiento,2012-02-01,112,166,112,166,278
TACACOMA,atencion odontologica,acciones preventivas fuera del establecimiento,2012-02-01,2,8,2,8,10
