,group,variable,month,CIRUGIA BUCAL MENOR CANTIDAD,CIRUGIA BUCAL MENOR CANTIDAD,TOTALES,TOTALES,TOTALES
CARIPUYO,atencion odontologica,cirugia bucal menor,2012-01-01,8,7,8,7,15
CARMEN RIVERO TORREZ,atencion odontologica,cirugia bucal menor,2012-01-01,5,5,5,5,10
CATACORA,atencion odontologica,cirugia bucal menor,2012-01-01,27,6,27,6,33
CHALLAPATA,atencion odontologica,cirugia bucal menor,2012-01-01,55,130,55,130,185
CHAQUI,atencion odontologica,cirugia bucal menor,2012-01-01,5,7,5,7,12
CHARAGUA,atencion odontologica,cirugia bucal menor,2012-01-01,55,98,55,98,153
CHAYANTA,atencion odontologica,cirugia bucal menor,2012-01-01,16,14,16,14,30
CHIMORE,atencion odontologica,cirugia bucal menor,2012-01-01,30,51,30,51,81
CHIPAYA,atencion odontologica,cirugia bucal menor,2012-01-01,3,13,3,13,16
CHOQUE COTA,atencion odontologica,cirugia bucal menor,2012-01-01,3,5,3,5,8
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica,cirugia bucal menor,2012-01-01,43,68,43,68,111
CHUMA,atencion odontologica,cirugia bucal menor,2012-01-01,95,120,95,120,215
CHUQUIHUTA AYLLU JUCUMANI,atencion odontologica,cirugia bucal menor,2012-01-01,3,12,3,12,15
CKOCHAS,atencion odontologica,cirugia bucal menor,2012-01-01,5,9,5,9,14
CLIZA,atencion odontologica,cirugia bucal menor,2012-01-01,20,33,20,33,53
COBIJA,atencion odontologica,cirugia bucal menor,2012-01-01,34,56,34,56,90
COCAPATA,atencion odontologica,cirugia bucal menor,2012-01-01,19,40,19,40,59
COCHABAMBA,atencion odontologica,cirugia bucal menor,2012-01-01,208,398,208,398,606
COIPASA,atencion odontologica,cirugia bucal menor,2012-01-01,7,1,7,1,8
COLCAPIRHUA,atencion odontologica,cirugia bucal menor,2012-01-01,34,64,34,64,98
"COLCHA ""K""",atencion odontologica,cirugia bucal menor,2012-01-01,14,23,14,23,37
COLLANA,atencion odontologica,cirugia bucal menor,2012-01-01,9,9,9,9,18
COLOMI,atencion odontologica,cirugia bucal menor,2012-01-01,11,28,11,28,39
COLPA BELGICA,atencion odontologica,cirugia bucal menor,2012-01-01,6,11,6,11,17
COLQUECHACA,atencion odontologica,cirugia bucal menor,2012-01-01,27,61,27,61,88
COLQUIRI,atencion odontologica,cirugia bucal menor,2012-01-01,45,56,45,56,101
COMANCHE,atencion odontologica,cirugia bucal menor,2012-01-01,27,49,27,49,76
COMARAPA,atencion odontologica,cirugia bucal menor,2012-01-01,27,27,27,27,54
CONCEPCION,atencion odontologica,cirugia bucal menor,2012-01-01,18,28,18,28,46
COPACABANA,atencion odontologica,cirugia bucal menor,2012-01-01,12,20,12,20,32
CORIPATA,atencion odontologica,cirugia bucal menor,2012-01-01,35,47,35,47,82
CORO CORO,atencion odontologica,cirugia bucal menor,2012-01-01,36,45,36,45,81
COROICO,atencion odontologica,cirugia bucal menor,2012-01-01,49,62,49,62,111
CORQUE,atencion odontologica,cirugia bucal menor,2012-01-01,10,15,10,15,25
COTAGAITA,atencion odontologica,cirugia bucal menor,2012-01-01,27,39,27,39,66
COTOCA,atencion odontologica,cirugia bucal menor,2012-01-01,1,3,1,3,4
CUATRO CAÑADAS,atencion odontologica,cirugia bucal menor,2012-01-01,24,37,24,37,61
CUCHUMUELA (V. G. VILLARROEL),atencion odontologica,cirugia bucal menor,2012-01-01,6,8,6,8,14
CUEVO,atencion odontologica,cirugia bucal menor,2012-01-01,3,20,3,20,23
CULPINA,atencion odontologica,cirugia bucal menor,2012-01-01,11,20,11,20,31
CURAHUARA DE CARANGAS,atencion odontologica,cirugia bucal menor,2012-01-01,14,52,14,52,66
CURVA,atencion odontologica,cirugia bucal menor,2012-01-01,8,18,8,18,26
DESAGUADERO,atencion odontologica,cirugia bucal menor,2012-01-01,4,4,4,4,8
EL ALTO,atencion odontologica,cirugia bucal menor,2012-01-01,1329,1853,1329,1853,3182
EL CHORO,atencion odontologica,cirugia bucal menor,2012-01-01,3,4,3,4,7
EL PUENTE(STC),atencion odontologica,cirugia bucal menor,2012-01-01,15,29,15,29,44
EL PUENTE(TJA),atencion odontologica,cirugia bucal menor,2012-01-01,20,70,20,70,90
EL TORNO,atencion odontologica,cirugia bucal menor,2012-01-01,58,46,58,46,104
EL VILLAR,atencion odontologica,cirugia bucal menor,2012-01-01,0,2,0,2,2
ENTRE RIOS TRJ,atencion odontologica,cirugia bucal menor,2012-01-01,32,94,32,94,126
ENTRE RIOS CBBA,atencion odontologica,cirugia bucal menor,2012-01-01,9,13,9,13,22
ESCOMA,atencion odontologica,cirugia bucal menor,2012-01-01,21,26,21,26,47
EUCALIPTUS,atencion odontologica,cirugia bucal menor,2012-01-01,8,13,8,13,21
FERNANDEZ ALONSO,atencion odontologica,cirugia bucal menor,2012-01-01,22,26,22,26,48
FILADELFIA,atencion odontologica,cirugia bucal menor,2012-01-01,16,12,16,12,28
GENERAL SAAVEDRA,atencion odontologica,cirugia bucal menor,2012-01-01,16,25,16,25,41
GRAL. J.J. PEREZ (CHARAZANI),atencion odontologica,cirugia bucal menor,2012-01-01,77,69,77,69,146
GUANAY,atencion odontologica,cirugia bucal menor,2012-01-01,27,67,27,67,94
GUAQUI,atencion odontologica,cirugia bucal menor,2012-01-01,51,65,51,65,116
GUAYARAMERIN,atencion odontologica,cirugia bucal menor,2012-01-01,38,52,38,52,90
GUTIERREZ,atencion odontologica,cirugia bucal menor,2012-01-01,60,72,60,72,132
HUACARETA,atencion odontologica,cirugia bucal menor,2012-01-01,23,36,23,36,59
HUACAYA (VILLA DE HUACAYA),atencion odontologica,cirugia bucal menor,2012-01-01,3,22,3,22,25
HUACHACALLA,atencion odontologica,cirugia bucal menor,2012-01-01,10,16,10,16,26
HUANUNI,atencion odontologica,cirugia bucal menor,2012-01-01,46,69,46,69,115
HUARACAJE,atencion odontologica,cirugia bucal menor,2012-01-01,9,15,9,15,24
HUARINA,atencion odontologica,cirugia bucal menor,2012-01-01,7,12,7,12,19
HUAYLLAMARCA,atencion odontologica,cirugia bucal menor,2012-01-01,16,37,16,37,53
HUMANATA,atencion odontologica,cirugia bucal menor,2012-01-01,20,26,20,26,46
ICHOCA,atencion odontologica,cirugia bucal menor,2012-01-01,0,6,0,6,6
ICLA,atencion odontologica,cirugia bucal menor,2012-01-01,5,17,5,17,22
INCAHUASI,atencion odontologica,cirugia bucal menor,2012-01-01,4,19,4,19,23
INQUISIVI,atencion odontologica,cirugia bucal menor,2012-01-01,13,47,13,47,60
IRUPANA (VILLA DE LANZA),atencion odontologica,cirugia bucal menor,2012-01-01,27,40,27,40,67
IXIAMAS,atencion odontologica,cirugia bucal menor,2012-01-01,31,29,31,29,60
JESUS DE MACHACA,atencion odontologica,cirugia bucal menor,2012-01-01,70,117,70,117,187
LA ASUNTA,atencion odontologica,cirugia bucal menor,2012-01-01,42,74,42,74,116
LA GUARDIA,atencion odontologica,cirugia bucal menor,2012-01-01,44,68,44,68,112
LA PAZ,atencion odontologica,cirugia bucal menor,2012-01-01,841,997,841,997,1838
LAGUNILLAS,atencion odontologica,cirugia bucal menor,2012-01-01,14,31,14,31,45
LAJA,atencion odontologica,cirugia bucal menor,2012-01-01,53,92,53,92,145
LAS CARRERAS,atencion odontologica,cirugia bucal menor,2012-01-01,3,4,3,4,7
LICOMA PAMPA,atencion odontologica,cirugia bucal menor,2012-01-01,7,1,7,1,8
LLALLAGUA,atencion odontologica,cirugia bucal menor,2012-01-01,29,69,29,69,98
LURIBAY,atencion odontologica,cirugia bucal menor,2012-01-01,20,18,20,18,38
MACHACAMARCA,atencion odontologica,cirugia bucal menor,2012-01-01,16,22,16,22,38
MACHARETI,atencion odontologica,cirugia bucal menor,2012-01-01,3,16,3,16,19
MAGDALENA,atencion odontologica,cirugia bucal menor,2012-01-01,49,65,49,65,114
MAIRANA,atencion odontologica,cirugia bucal menor,2012-01-01,3,9,3,9,12
MALLA,atencion odontologica,cirugia bucal menor,2012-01-01,14,11,14,11,25
MAPIRI,atencion odontologica,cirugia bucal menor,2012-01-01,22,59,22,59,81
MECAPACA,atencion odontologica,cirugia bucal menor,2012-01-01,24,50,24,50,74
MINEROS,atencion odontologica,cirugia bucal menor,2012-01-01,9,14,9,14,23
MIZQUE,atencion odontologica,cirugia bucal menor,2012-01-01,15,28,15,28,43
MOCOMOCO,atencion odontologica,cirugia bucal menor,2012-01-01,21,31,21,31,52
MOJOCOYA,atencion odontologica,cirugia bucal menor,2012-01-01,30,33,30,33,63
MONTEAGUDO,atencion odontologica,cirugia bucal menor,2012-01-01,11,59,11,59,70
MONTERO,atencion odontologica,cirugia bucal menor,2012-01-01,67,85,67,85,152
MORO MORO,atencion odontologica,cirugia bucal menor,2012-01-01,5,7,5,7,12
MOROCHATA,atencion odontologica,cirugia bucal menor,2012-01-01,9,28,9,28,37
OCURI,atencion odontologica,cirugia bucal menor,2012-01-01,17,40,17,40,57
OKINAWA,atencion odontologica,cirugia bucal menor,2012-01-01,5,17,5,17,22
OMEREQUE,atencion odontologica,cirugia bucal menor,2012-01-01,2,7,2,7,9
ORURO,atencion odontologica,cirugia bucal menor,2012-01-01,374,604,374,604,978
PADCAYA,atencion odontologica,cirugia bucal menor,2012-01-01,24,50,24,50,74
PADILLA,atencion odontologica,cirugia bucal menor,2012-01-01,35,38,35,38,73
PAILON,atencion odontologica,cirugia bucal menor,2012-01-01,12,20,12,20,32
PALCA,atencion odontologica,cirugia bucal menor,2012-01-01,32,76,32,76,108
PALOS BLANCOS,atencion odontologica,cirugia bucal menor,2012-01-01,39,56,39,56,95
PAMPA AULLAGAS,atencion odontologica,cirugia bucal menor,2012-01-01,7,10,7,10,17
PAMPA GRANDE,atencion odontologica,cirugia bucal menor,2012-01-01,4,6,4,6,10
PAPEL PAMPA,atencion odontologica,cirugia bucal menor,2012-01-01,13,12,13,12,25
PASORAPA,atencion odontologica,cirugia bucal menor,2012-01-01,8,11,8,11,19
PATACAMAYA,atencion odontologica,cirugia bucal menor,2012-01-01,36,59,36,59,95
PAZÑA,atencion odontologica,cirugia bucal menor,2012-01-01,8,11,8,11,19
PELECHUCO,atencion odontologica,cirugia bucal menor,2012-01-01,17,28,17,28,45
POCOATA,atencion odontologica,cirugia bucal menor,2012-01-01,12,24,12,24,36
POCONA,atencion odontologica,cirugia bucal menor,2012-01-01,22,31,22,31,53
POJO (CBBA),atencion odontologica,cirugia bucal menor,2012-01-01,15,29,15,29,44
POOPO,atencion odontologica,cirugia bucal menor,2012-01-01,26,36,26,36,62
PORCO,atencion odontologica,cirugia bucal menor,2012-01-01,0,4,0,4,4
POROMA,atencion odontologica,cirugia bucal menor,2012-01-01,35,64,35,64,99
PORONGO,atencion odontologica,cirugia bucal menor,2012-01-01,9,7,9,7,16
PORTACHUELO,atencion odontologica,cirugia bucal menor,2012-01-01,14,31,14,31,45
PORVENIR,atencion odontologica,cirugia bucal menor,2012-01-01,9,14,9,14,23
POSTRER VALLE,atencion odontologica,cirugia bucal menor,2012-01-01,2,4,2,4,6
POTOSI,atencion odontologica,cirugia bucal menor,2012-01-01,612,802,612,802,1414
PRESTO,atencion odontologica,cirugia bucal menor,2012-01-01,3,6,3,6,9
PUCARA,atencion odontologica,cirugia bucal menor,2012-01-01,4,6,4,6,10
PUCARANI,atencion odontologica,cirugia bucal menor,2012-01-01,59,80,59,80,139
PUERTO ACOSTA,atencion odontologica,cirugia bucal menor,2012-01-01,35,53,35,53,88
PUERTO CARABUCO,atencion odontologica,cirugia bucal menor,2012-01-01,59,65,59,65,124
PUERTO GONZALO MORENO,atencion odontologica,cirugia bucal menor,2012-01-01,29,38,29,38,67
PUERTO PEREZ,atencion odontologica,cirugia bucal menor,2012-01-01,11,9,11,9,20
PUERTO QUIJARRO,atencion odontologica,cirugia bucal menor,2012-01-01,7,7,7,7,14
PUERTO RICO,atencion odontologica,cirugia bucal menor,2012-01-01,39,42,39,42,81
PUERTO SUAREZ,atencion odontologica,cirugia bucal menor,2012-01-01,9,8,9,8,17
PUERTO VILLARROEL,atencion odontologica,cirugia bucal menor,2012-01-01,27,49,27,49,76
PUNA,atencion odontologica,cirugia bucal menor,2012-01-01,22,52,22,52,74
PUNATA,atencion odontologica,cirugia bucal menor,2012-01-01,17,44,17,44,61
QUIABAYA,atencion odontologica,cirugia bucal menor,2012-01-01,31,32,31,32,63
QUILLACOLLO,atencion odontologica,cirugia bucal menor,2012-01-01,44,60,44,60,104
QUIME,atencion odontologica,cirugia bucal menor,2012-01-01,82,100,82,100,182
QUIRUSILLAS,atencion odontologica,cirugia bucal menor,2012-01-01,0,1,0,1,1
RAVELO,atencion odontologica,cirugia bucal menor,2012-01-01,8,17,8,17,25
REYES,atencion odontologica,cirugia bucal menor,2012-01-01,19,24,19,24,43
RIBERALTA,atencion odontologica,cirugia bucal menor,2012-01-01,73,154,73,154,227
ROBORE,atencion odontologica,cirugia bucal menor,2012-01-01,22,23,22,23,45
RURRENABAQUE,atencion odontologica,cirugia bucal menor,2012-01-01,18,45,18,45,63
SABAYA,atencion odontologica,cirugia bucal menor,2012-01-01,22,33,22,33,55
SACABA,atencion odontologica,cirugia bucal menor,2012-01-01,222,271,222,271,493
SACABAMBA,atencion odontologica,cirugia bucal menor,2012-01-01,2,2,2,2,4
SACACA,atencion odontologica,cirugia bucal menor,2012-01-01,20,22,20,22,42
SAIPINA,atencion odontologica,cirugia bucal menor,2012-01-01,9,15,9,15,24
SALINAS DE GARCI MENDOZA,atencion odontologica,cirugia bucal menor,2012-01-01,14,33,14,33,47
SAMAIPATA,atencion odontologica,cirugia bucal menor,2012-01-01,8,19,8,19,27
SAN AGUSTIN,atencion odontologica,cirugia bucal menor,2012-01-01,7,10,7,10,17
SAN ANDRES,atencion odontologica,cirugia bucal menor,2012-01-01,11,11,11,11,22
SAN ANDRES DE MACHACA,atencion odontologica,cirugia bucal menor,2012-01-01,7,11,7,11,18
SAN ANTONIO DE LOMERIO,atencion odontologica,cirugia bucal menor,2012-01-01,4,18,4,18,22
SAN BENITO,atencion odontologica,cirugia bucal menor,2012-01-01,13,10,13,10,23
SAN BORJA,atencion odontologica,cirugia bucal menor,2012-01-01,12,9,12,9,21
SAN BUENA VENTURA,atencion odontologica,cirugia bucal menor,2012-01-01,3,9,3,9,12
SAN CARLOS,atencion odontologica,cirugia bucal menor,2012-01-01,18,22,18,22,40
SAN IGNACIO,atencion odontologica,cirugia bucal menor,2012-01-01,29,57,29,57,86
SAN IGNACIO DE VELASCO,atencion odontologica,cirugia bucal menor,2012-01-01,30,46,30,46,76
SAN JAVIER(BNI),atencion odontologica,cirugia bucal menor,2012-01-01,9,11,9,11,20
SAN JAVIER(STC),atencion odontologica,cirugia bucal menor,2012-01-01,8,10,8,10,18
SAN JOSE DE CHIQUITOS,atencion odontologica,cirugia bucal menor,2012-01-01,36,85,36,85,121
SAN JUAN DE YAPACANI,atencion odontologica,cirugia bucal menor,2012-01-01,22,35,22,35,57
SAN JULIAN,atencion odontologica,cirugia bucal menor,2012-01-01,4,6,4,6,10
SAN LORENZO(PND),atencion odontologica,cirugia bucal menor,2012-01-01,6,12,6,12,18
SAN LORENZO(TJA),atencion odontologica,cirugia bucal menor,2012-01-01,53,103,53,103,156
SAN LUCAS,atencion odontologica,cirugia bucal menor,2012-01-01,25,48,25,48,73
SAN MATIAS,atencion odontologica,cirugia bucal menor,2012-01-01,15,31,15,31,46
SAN MIGUEL DE VELASCO,atencion odontologica,cirugia bucal menor,2012-01-01,38,32,38,32,70
SAN PEDRO,atencion odontologica,cirugia bucal menor,2012-01-01,18,29,18,29,47
SAN PEDRO DE BUENA VISTA,atencion odontologica,cirugia bucal menor,2012-01-01,25,50,25,50,75
SAN PEDRO DE CURAHUARA,atencion odontologica,cirugia bucal menor,2012-01-01,22,32,22,32,54
SAN PEDRO DE TIQUINA,atencion odontologica,cirugia bucal menor,2012-01-01,31,43,31,43,74
SAN RAFAEL,atencion odontologica,cirugia bucal menor,2012-01-01,14,21,14,21,35
SAN RAMON BENI,atencion odontologica,cirugia bucal menor,2012-01-01,20,73,20,73,93
SANTA ANA,atencion odontologica,cirugia bucal menor,2012-01-01,29,48,29,48,77
SANTA CRUZ DE LA SIERRA,atencion odontologica,cirugia bucal menor,2012-01-01,365,526,365,526,891
SANTA ROSA,atencion odontologica,cirugia bucal menor,2012-01-01,17,34,17,34,51
SANTA ROSA DEL SARA,atencion odontologica,cirugia bucal menor,2012-01-01,23,33,23,33,56
SANTIAGO DE CALLAPA,atencion odontologica,cirugia bucal menor,2012-01-01,7,12,7,12,19
SANTIAGO DE HUARI,atencion odontologica,cirugia bucal menor,2012-01-01,30,46,30,46,76
SANTIAGO DE HUATA,atencion odontologica,cirugia bucal menor,2012-01-01,6,8,6,8,14
SANTIAGO DE MACHACA,atencion odontologica,cirugia bucal menor,2012-01-01,2,4,2,4,6
SANTIVAÑES,atencion odontologica,cirugia bucal menor,2012-01-01,5,15,5,15,20
SANTUARIO DE QUILLACAS,atencion odontologica,cirugia bucal menor,2012-01-01,6,17,6,17,23
SAPAHAQUI,atencion odontologica,cirugia bucal menor,2012-01-01,13,16,13,16,29
SENA,atencion odontologica,cirugia bucal menor,2012-01-01,7,18,7,18,25
SHINAOTA,atencion odontologica,cirugia bucal menor,2012-01-01,15,45,15,45,60
SICA SICA (VILLA AROMA),atencion odontologica,cirugia bucal menor,2012-01-01,18,36,18,36,54
SICAYA,atencion odontologica,cirugia bucal menor,2012-01-01,1,3,1,3,4
SIPE SIPE,atencion odontologica,cirugia bucal menor,2012-01-01,31,43,31,43,74
SOPACHUY,atencion odontologica,cirugia bucal menor,2012-01-01,29,58,29,58,87
SORACACHI,atencion odontologica,cirugia bucal menor,2012-01-01,23,18,23,18,41
SORATA,atencion odontologica,cirugia bucal menor,2012-01-01,22,25,22,25,47
SUCRE,atencion odontologica,cirugia bucal menor,2012-01-01,419,766,419,766,1185
TACACOMA,atencion odontologica,cirugia bucal menor,2012-01-01,39,38,39,38,77
TACOPAYA,atencion odontologica,cirugia bucal menor,2012-01-01,7,23,7,23,30
TAHUA,atencion odontologica,cirugia bucal menor,2012-01-01,5,6,5,6,11
TAPACARI,atencion odontologica,cirugia bucal menor,2012-01-01,28,74,28,74,102
TARABUCO,atencion odontologica,cirugia bucal menor,2012-01-01,22,80,22,80,102
TARACO,atencion odontologica,cirugia bucal menor,2012-01-01,25,31,25,31,56
TARATA,atencion odontologica,cirugia bucal menor,2012-01-01,10,17,10,17,27
TARIJA,atencion odontologica,cirugia bucal menor,2012-01-01,276,582,276,582,858
TARVITA,atencion odontologica,cirugia bucal menor,2012-01-01,26,41,26,41,67
TEOPONTE,atencion odontologica,cirugia bucal menor,2012-01-01,18,16,18,16,34
TIAWANACU,atencion odontologica,cirugia bucal menor,2012-01-01,38,57,38,57,95
TINGUIPAYA,atencion odontologica,cirugia bucal menor,2012-01-01,6,14,6,14,20
TIPUANI,atencion odontologica,cirugia bucal menor,2012-01-01,20,20,20,20,40
TIQUIPAYA,atencion odontologica,cirugia bucal menor,2012-01-01,55,153,55,153,208
TIRAQUE (CBBA),atencion odontologica,cirugia bucal menor,2012-01-01,8,28,8,28,36
TITO YUPANQUI (PARQUIPUJIO),atencion odontologica,cirugia bucal menor,2012-01-01,4,8,4,8,12
TOCO,atencion odontologica,cirugia bucal menor,2012-01-01,4,12,4,12,16
TOLATA,atencion odontologica,cirugia bucal menor,2012-01-01,20,26,20,26,46
TOLEDO,atencion odontologica,cirugia bucal menor,2012-01-01,14,13,14,13,27
TOMAVE,atencion odontologica,cirugia bucal menor,2012-01-01,16,17,16,17,33
TOMINA,atencion odontologica,cirugia bucal menor,2012-01-01,21,37,21,37,58
TORO TORO,atencion odontologica,cirugia bucal menor,2012-01-01,12,14,12,14,26
TOTORA(CBBA),atencion odontologica,cirugia bucal menor,2012-01-01,39,69,39,69,108
TRIGAL,atencion odontologica,cirugia bucal menor,2012-01-01,5,11,5,11,16
TRINIDAD,atencion odontologica,cirugia bucal menor,2012-01-01,132,193,132,193,325
TUPIZA,atencion odontologica,cirugia bucal menor,2012-01-01,50,63,50,63,113
TURCO,atencion odontologica,cirugia bucal menor,2012-01-01,10,16,10,16,26
UMALA,atencion odontologica,cirugia bucal menor,2012-01-01,2,0,2,0,2
UNCIA,atencion odontologica,cirugia bucal menor,2012-01-01,7,35,7,35,42
URIONDO (A. CONCEPCION),atencion odontologica,cirugia bucal menor,2012-01-01,33,66,33,66,99
URUBICHA,atencion odontologica,cirugia bucal menor,2012-01-01,7,35,7,35,42
UYUNI,atencion odontologica,cirugia bucal menor,2012-01-01,26,51,26,51,77
VACAS,atencion odontologica,cirugia bucal menor,2012-01-01,10,30,10,30,40
VALLEGRANDE,atencion odontologica,cirugia bucal menor,2012-01-01,22,42,22,42,64
VIACHA,atencion odontologica,cirugia bucal menor,2012-01-01,30,64,30,64,94
VILLA CHARCAS,atencion odontologica,cirugia bucal menor,2012-01-01,10,33,10,33,43
VILLA MONTES,atencion odontologica,cirugia bucal menor,2012-01-01,87,163,87,163,250
VILLA NUEVA (LOMA ALTA),atencion odontologica,cirugia bucal menor,2012-01-01,4,0,4,0,4
VILLA RIVERO,atencion odontologica,cirugia bucal menor,2012-01-01,5,6,5,6,11
VILLA SERRANO,atencion odontologica,cirugia bucal menor,2012-01-01,3,44,3,44,47
VILLA TUNARI,atencion odontologica,cirugia bucal menor,2012-01-01,52,160,52,160,212
VILLA VACA GUZMAN (MUYUPAMPA),atencion odontologica,cirugia bucal menor,2012-01-01,2,5,2,5,7
VILLAZON,atencion odontologica,cirugia bucal menor,2012-01-01,53,128,53,128,181
VINTO,atencion odontologica,cirugia bucal menor,2012-01-01,12,33,12,33,45
VITICHI,atencion odontologica,cirugia bucal menor,2012-01-01,12,7,12,7,19
WALDO BALLIVIAN,atencion odontologica,cirugia bucal menor,2012-01-01,8,11,8,11,19
WARNES,atencion odontologica,cirugia bucal menor,2012-01-01,32,42,32,42,74
YACO,atencion odontologica,cirugia bucal menor,2012-01-01,46,56,46,56,102
YACUIBA,atencion odontologica,cirugia bucal menor,2012-01-01,63,88,63,88,151
YAMPARAEZ,atencion odontologica,cirugia bucal menor,2012-01-01,17,45,17,45,62
YANACACHI,atencion odontologica,cirugia bucal menor,2012-01-01,18,30,18,30,48
YAPACANI,atencion odontologica,cirugia bucal menor,2012-01-01,18,61,18,61,79
YOCALLA,atencion odontologica,cirugia bucal menor,2012-01-01,4,11,4,11,15
YOTALA,atencion odontologica,cirugia bucal menor,2012-01-01,7,10,7,10,17
YUNCHARA,atencion odontologica,cirugia bucal menor,2012-01-01,13,39,13,39,52
ZUDAÑEZ,atencion odontologica,cirugia bucal menor,2012-01-01,1,21,1,21,22
ACACIO,atencion odontologica,cirugia bucal menor,2012-02-01,4,8,4,8,12
ACHACACHI,atencion odontologica,cirugia bucal menor,2012-02-01,122,109,122,109,231
ACHOCALLA,atencion odontologica,cirugia bucal menor,2012-02-01,7,13,7,13,20
AIQUILE,atencion odontologica,cirugia bucal menor,2012-02-01,5,4,5,4,9
ALCALA,atencion odontologica,cirugia bucal menor,2012-02-01,16,29,16,29,45
ALTO BENI,atencion odontologica,cirugia bucal menor,2012-02-01,11,13,11,13,24
ANCORAIMES,atencion odontologica,cirugia bucal menor,2012-02-01,27,40,27,40,67
ANDAMARCA,atencion odontologica,cirugia bucal menor,2012-02-01,8,11,8,11,19
