,group,variable,month,PRIMERA CONSULTA CANTIDAD,PRIMERA CONSULTA CANTIDAD,TOTALES,TOTALES,TOTALES
CHARAGUA,atencion odontologica,primera consulta,2012-01-01,86,163,86,163,249
CHAYANTA,atencion odontologica,primera consulta,2012-01-01,13,36,13,36,49
CHIMORE,atencion odontologica,primera consulta,2012-01-01,56,100,56,100,156
CHIPAYA,atencion odontologica,primera consulta,2012-01-01,2,5,2,5,7
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica,primera consulta,2012-01-01,52,99,52,99,151
CHUMA,atencion odontologica,primera consulta,2012-01-01,135,186,135,186,321
CHUQUIHUTA AYLLU JUCUMANI,atencion odontologica,primera consulta,2012-01-01,15,37,15,37,52
CKOCHAS,atencion odontologica,primera consulta,2012-01-01,12,12,12,12,24
CLIZA,atencion odontologica,primera consulta,2012-01-01,60,100,60,100,160
COBIJA,atencion odontologica,primera consulta,2012-01-01,304,444,304,444,748
COCAPATA,atencion odontologica,primera consulta,2012-01-01,20,52,20,52,72
COCHABAMBA,atencion odontologica,primera consulta,2012-01-01,2152,3210,2152,3210,5362
COIPASA,atencion odontologica,primera consulta,2012-01-01,3,2,3,2,5
COLCAPIRHUA,atencion odontologica,primera consulta,2012-01-01,67,138,67,138,205
"COLCHA ""K""",atencion odontologica,primera consulta,2012-01-01,37,38,37,38,75
COLLANA,atencion odontologica,primera consulta,2012-01-01,27,26,27,26,53
COLOMI,atencion odontologica,primera consulta,2012-01-01,97,128,97,128,225
COLPA BELGICA,atencion odontologica,primera consulta,2012-01-01,10,18,10,18,28
COLQUECHACA,atencion odontologica,primera consulta,2012-01-01,99,179,99,179,278
COLQUIRI,atencion odontologica,primera consulta,2012-01-01,13,11,13,11,24
COMANCHE,atencion odontologica,primera consulta,2012-01-01,25,56,25,56,81
COMARAPA,atencion odontologica,primera consulta,2012-01-01,91,138,91,138,229
COPACABANA,atencion odontologica,primera consulta,2012-01-01,28,38,28,38,66
CORIPATA,atencion odontologica,primera consulta,2012-01-01,125,94,125,94,219
CORO CORO,atencion odontologica,primera consulta,2012-01-01,56,81,56,81,137
COROICO,atencion odontologica,primera consulta,2012-01-01,78,115,78,115,193
CORQUE,atencion odontologica,primera consulta,2012-01-01,27,24,27,24,51
COTAGAITA,atencion odontologica,primera consulta,2012-01-01,62,82,62,82,144
COTOCA,atencion odontologica,primera consulta,2012-01-01,99,89,99,89,188
CUATRO CAÑADAS,atencion odontologica,primera consulta,2012-01-01,97,152,97,152,249
CUCHUMUELA (V. G. VILLARROEL),atencion odontologica,primera consulta,2012-01-01,8,10,8,10,18
CUEVO,atencion odontologica,primera consulta,2012-01-01,27,71,27,71,98
CULPINA,atencion odontologica,primera consulta,2012-01-01,47,84,47,84,131
CURAHUARA DE CARANGAS,atencion odontologica,primera consulta,2012-01-01,1,0,1,0,1
CURVA,atencion odontologica,primera consulta,2012-01-01,24,28,24,28,52
DESAGUADERO,atencion odontologica,primera consulta,2012-01-01,51,57,51,57,108
EL ALTO,atencion odontologica,primera consulta,2012-01-01,3139,4175,3139,4175,7314
EL PUENTE(STC),atencion odontologica,primera consulta,2012-01-01,5,14,5,14,19
EL PUENTE(TJA),atencion odontologica,primera consulta,2012-01-01,37,116,37,116,153
EL TORNO,atencion odontologica,primera consulta,2012-01-01,77,172,77,172,249
EL VILLAR,atencion odontologica,primera consulta,2012-01-01,13,16,13,16,29
ENTRE RIOS TRJ,atencion odontologica,primera consulta,2012-01-01,72,134,72,134,206
ENTRE RIOS CBBA,atencion odontologica,primera consulta,2012-01-01,106,159,106,159,265
ESCOMA,atencion odontologica,primera consulta,2012-01-01,61,68,61,68,129
EUCALIPTUS,atencion odontologica,primera consulta,2012-01-01,24,43,24,43,67
FERNANDEZ ALONSO,atencion odontologica,primera consulta,2012-01-01,60,89,60,89,149
FILADELFIA,atencion odontologica,primera consulta,2012-01-01,39,49,39,49,88
GENERAL SAAVEDRA,atencion odontologica,primera consulta,2012-01-01,60,78,60,78,138
GRAL. J.J. PEREZ (CHARAZANI),atencion odontologica,primera consulta,2012-01-01,70,92,70,92,162
GUANAY,atencion odontologica,primera consulta,2012-01-01,57,118,57,118,175
GUAQUI,atencion odontologica,primera consulta,2012-01-01,83,134,83,134,217
GUAYARAMERIN,atencion odontologica,primera consulta,2012-01-01,253,292,253,292,545
GUTIERREZ,atencion odontologica,primera consulta,2012-01-01,63,108,63,108,171
HUACARETA,atencion odontologica,primera consulta,2012-01-01,43,54,43,54,97
HUACAYA (VILLA DE HUACAYA),atencion odontologica,primera consulta,2012-01-01,18,31,18,31,49
HUACHACALLA,atencion odontologica,primera consulta,2012-01-01,20,23,20,23,43
HUANUNI,atencion odontologica,primera consulta,2012-01-01,127,197,127,197,324
HUARACAJE,atencion odontologica,primera consulta,2012-01-01,15,30,15,30,45
HUAYLLAMARCA,atencion odontologica,primera consulta,2012-01-01,42,60,42,60,102
HUMANATA,atencion odontologica,primera consulta,2012-01-01,23,42,23,42,65
ICHOCA,atencion odontologica,primera consulta,2012-01-01,27,30,27,30,57
ICLA,atencion odontologica,primera consulta,2012-01-01,25,59,25,59,84
INCAHUASI,atencion odontologica,primera consulta,2012-01-01,23,39,23,39,62
INQUISIVI,atencion odontologica,primera consulta,2012-01-01,23,51,23,51,74
IRUPANA (VILLA DE LANZA),atencion odontologica,primera consulta,2012-01-01,67,86,67,86,153
IXIAMAS,atencion odontologica,primera consulta,2012-01-01,42,48,42,48,90
JESUS DE MACHACA,atencion odontologica,primera consulta,2012-01-01,86,156,86,156,242
LA ASUNTA,atencion odontologica,primera consulta,2012-01-01,59,143,59,143,202
LA GUARDIA,atencion odontologica,primera consulta,2012-01-01,114,226,114,226,340
LA PAZ,atencion odontologica,primera consulta,2012-01-01,4061,5534,4061,5534,9595
LAGUNILLAS,atencion odontologica,primera consulta,2012-01-01,48,80,48,80,128
LAJA,atencion odontologica,primera consulta,2012-01-01,57,111,57,111,168
LAS CARRERAS,atencion odontologica,primera consulta,2012-01-01,17,20,17,20,37
LICOMA PAMPA,atencion odontologica,primera consulta,2012-01-01,14,14,14,14,28
LLALLAGUA,atencion odontologica,primera consulta,2012-01-01,107,227,107,227,334
LORETO,atencion odontologica,primera consulta,2012-01-01,3,1,3,1,4
LURIBAY,atencion odontologica,primera consulta,2012-01-01,39,34,39,34,73
MACHACAMARCA,atencion odontologica,primera consulta,2012-01-01,22,47,22,47,69
MACHARETI,atencion odontologica,primera consulta,2012-01-01,29,29,29,29,58
MAGDALENA,atencion odontologica,primera consulta,2012-01-01,44,77,44,77,121
MAIRANA,atencion odontologica,primera consulta,2012-01-01,22,81,22,81,103
MALLA,atencion odontologica,primera consulta,2012-01-01,14,15,14,15,29
MAPIRI,atencion odontologica,primera consulta,2012-01-01,41,132,41,132,173
MECAPACA,atencion odontologica,primera consulta,2012-01-01,72,79,72,79,151
MINEROS,atencion odontologica,primera consulta,2012-01-01,43,59,43,59,102
MIZQUE,atencion odontologica,primera consulta,2012-01-01,24,63,24,63,87
MOCOMOCO,atencion odontologica,primera consulta,2012-01-01,31,47,31,47,78
MOJOCOYA,atencion odontologica,primera consulta,2012-01-01,116,123,116,123,239
MONTEAGUDO,atencion odontologica,primera consulta,2012-01-01,44,70,44,70,114
MONTERO,atencion odontologica,primera consulta,2012-01-01,241,456,241,456,697
MORO MORO,atencion odontologica,primera consulta,2012-01-01,53,99,53,99,152
MOROCHATA,atencion odontologica,primera consulta,2012-01-01,37,82,37,82,119
NUEVO MANOA (NUEVA ESPERANZA),atencion odontologica,primera consulta,2012-01-01,4,12,4,12,16
OCURI,atencion odontologica,primera consulta,2012-01-01,23,74,23,74,97
OKINAWA,atencion odontologica,primera consulta,2012-01-01,13,34,13,34,47
OMEREQUE,atencion odontologica,primera consulta,2012-01-01,2,0,2,0,2
ORURO,atencion odontologica,primera consulta,2012-01-01,1076,1421,1076,1421,2497
PADCAYA,atencion odontologica,primera consulta,2012-01-01,70,148,70,148,218
PADILLA,atencion odontologica,primera consulta,2012-01-01,139,195,139,195,334
PAILON,atencion odontologica,primera consulta,2012-01-01,26,78,26,78,104
PALCA,atencion odontologica,primera consulta,2012-01-01,33,90,33,90,123
PALOS BLANCOS,atencion odontologica,primera consulta,2012-01-01,85,122,85,122,207
PAMPA AULLAGAS,atencion odontologica,primera consulta,2012-01-01,10,19,10,19,29
PAMPA GRANDE,atencion odontologica,primera consulta,2012-01-01,23,34,23,34,57
PAPEL PAMPA,atencion odontologica,primera consulta,2012-01-01,31,31,31,31,62
PASORAPA,atencion odontologica,primera consulta,2012-01-01,8,8,8,8,16
PATACAMAYA,atencion odontologica,primera consulta,2012-01-01,73,146,73,146,219
PAZÑA,atencion odontologica,primera consulta,2012-01-01,23,34,23,34,57
PELECHUCO,atencion odontologica,primera consulta,2012-01-01,42,58,42,58,100
POCOATA,atencion odontologica,primera consulta,2012-01-01,22,47,22,47,69
POCONA,atencion odontologica,primera consulta,2012-01-01,57,88,57,88,145
POJO (CBBA),atencion odontologica,primera consulta,2012-01-01,52,90,52,90,142
POOPO,atencion odontologica,primera consulta,2012-01-01,66,127,66,127,193
PORCO,atencion odontologica,primera consulta,2012-01-01,16,27,16,27,43
POROMA,atencion odontologica,primera consulta,2012-01-01,170,268,170,268,438
PORONGO,atencion odontologica,primera consulta,2012-01-01,84,121,84,121,205
PORTACHUELO,atencion odontologica,primera consulta,2012-01-01,48,106,48,106,154
PORVENIR,atencion odontologica,primera consulta,2012-01-01,49,81,49,81,130
POSTRER VALLE,atencion odontologica,primera consulta,2012-01-01,19,29,19,29,48
POTOSI,atencion odontologica,primera consulta,2012-01-01,1560,2115,1560,2115,3675
PRESTO,atencion odontologica,primera consulta,2012-01-01,13,12,13,12,25
PUCARA,atencion odontologica,primera consulta,2012-01-01,10,6,10,6,16
PUCARANI,atencion odontologica,primera consulta,2012-01-01,76,101,76,101,177
PUERTO ACOSTA,atencion odontologica,primera consulta,2012-01-01,7,15,7,15,22
PUERTO CARABUCO,atencion odontologica,primera consulta,2012-01-01,59,94,59,94,153
PUERTO GONZALO MORENO,atencion odontologica,primera consulta,2012-01-01,27,33,27,33,60
PUERTO PEREZ,atencion odontologica,primera consulta,2012-01-01,36,51,36,51,87
PUERTO QUIJARRO,atencion odontologica,primera consulta,2012-01-01,33,35,33,35,68
PUERTO RICO,atencion odontologica,primera consulta,2012-01-01,134,154,134,154,288
PUERTO SUAREZ,atencion odontologica,primera consulta,2012-01-01,15,55,15,55,70
PUERTO VILLARROEL,atencion odontologica,primera consulta,2012-01-01,146,195,146,195,341
PUNA,atencion odontologica,primera consulta,2012-01-01,65,117,65,117,182
PUNATA,atencion odontologica,primera consulta,2012-01-01,197,300,197,300,497
QUIABAYA,atencion odontologica,primera consulta,2012-01-01,17,31,17,31,48
QUILLACOLLO,atencion odontologica,primera consulta,2012-01-01,297,454,297,454,751
QUIME,atencion odontologica,primera consulta,2012-01-01,90,120,90,120,210
QUIRUSILLAS,atencion odontologica,primera consulta,2012-01-01,9,15,9,15,24
RAVELO,atencion odontologica,primera consulta,2012-01-01,10,30,10,30,40
REYES,atencion odontologica,primera consulta,2012-01-01,6,11,6,11,17
RIBERALTA,atencion odontologica,primera consulta,2012-01-01,96,279,96,279,375
ROBORE,atencion odontologica,primera consulta,2012-01-01,77,81,77,81,158
RURRENABAQUE,atencion odontologica,primera consulta,2012-01-01,54,87,54,87,141
SABAYA,atencion odontologica,primera consulta,2012-01-01,33,41,33,41,74
SACABA,atencion odontologica,primera consulta,2012-01-01,484,669,484,669,1153
SACABAMBA,atencion odontologica,primera consulta,2012-01-01,8,7,8,7,15
SACACA,atencion odontologica,primera consulta,2012-01-01,40,56,40,56,96
SAIPINA,atencion odontologica,primera consulta,2012-01-01,22,53,22,53,75
SALINAS DE GARCI MENDOZA,atencion odontologica,primera consulta,2012-01-01,37,39,37,39,76
SAMAIPATA,atencion odontologica,primera consulta,2012-01-01,19,43,19,43,62
SAN AGUSTIN,atencion odontologica,primera consulta,2012-01-01,4,1,4,1,5
SAN ANDRES DE MACHACA,atencion odontologica,primera consulta,2012-01-01,19,18,19,18,37
SAN ANTONIO DE LOMERIO,atencion odontologica,primera consulta,2012-01-01,15,44,15,44,59
SAN BENITO,atencion odontologica,primera consulta,2012-01-01,27,35,27,35,62
SAN BORJA,atencion odontologica,primera consulta,2012-01-01,120,300,120,300,420
SAN BUENA VENTURA,atencion odontologica,primera consulta,2012-01-01,22,44,22,44,66
SAN CARLOS,atencion odontologica,primera consulta,2012-01-01,64,105,64,105,169
SAN IGNACIO,atencion odontologica,primera consulta,2012-01-01,66,142,66,142,208
SAN IGNACIO DE VELASCO,atencion odontologica,primera consulta,2012-01-01,148,169,148,169,317
SAN JAVIER(BNI),atencion odontologica,primera consulta,2012-01-01,13,14,13,14,27
SAN JAVIER(STC),atencion odontologica,primera consulta,2012-01-01,18,52,18,52,70
SAN JOSE DE CHIQUITOS,atencion odontologica,primera consulta,2012-01-01,99,153,99,153,252
SAN JUAN DE YAPACANI,atencion odontologica,primera consulta,2012-01-01,56,94,56,94,150
SAN JULIAN,atencion odontologica,primera consulta,2012-01-01,85,151,85,151,236
SAN LORENZO(PND),atencion odontologica,primera consulta,2012-01-01,26,48,26,48,74
SAN LORENZO(TJA),atencion odontologica,primera consulta,2012-01-01,97,180,97,180,277
SAN LUCAS,atencion odontologica,primera consulta,2012-01-01,96,176,96,176,272
SAN MATIAS,atencion odontologica,primera consulta,2012-01-01,29,59,29,59,88
SAN MIGUEL DE VELASCO,atencion odontologica,primera consulta,2012-01-01,74,81,74,81,155
SAN PEDRO,atencion odontologica,primera consulta,2012-01-01,47,77,47,77,124
SAN PEDRO DE BUENA VISTA,atencion odontologica,primera consulta,2012-01-01,53,88,53,88,141
SAN PEDRO DE CURAHUARA,atencion odontologica,primera consulta,2012-01-01,49,98,49,98,147
SAN PEDRO DE TIQUINA,atencion odontologica,primera consulta,2012-01-01,42,46,42,46,88
SAN RAFAEL,atencion odontologica,primera consulta,2012-01-01,18,26,18,26,44
SAN RAMON BENI,atencion odontologica,primera consulta,2012-01-01,47,86,47,86,133
SAN RAMON SCZ,atencion odontologica,primera consulta,2012-01-01,6,15,6,15,21
SANTA ANA,atencion odontologica,primera consulta,2012-01-01,176,284,176,284,460
SANTA CRUZ DE LA SIERRA,atencion odontologica,primera consulta,2012-01-01,3158,5064,3158,5064,8222
SANTA ROSA,atencion odontologica,primera consulta,2012-01-01,56,71,56,71,127
SANTA ROSA DEL SARA,atencion odontologica,primera consulta,2012-01-01,78,117,78,117,195
SANTIAGO DE CALLAPA,atencion odontologica,primera consulta,2012-01-01,19,25,19,25,44
SANTIAGO DE HUARI,atencion odontologica,primera consulta,2012-01-01,99,134,99,134,233
SANTIAGO DE HUATA,atencion odontologica,primera consulta,2012-01-01,28,34,28,34,62
SANTIAGO DE MACHACA,atencion odontologica,primera consulta,2012-01-01,5,10,5,10,15
SANTIVAÑES,atencion odontologica,primera consulta,2012-01-01,6,7,6,7,13
SANTUARIO DE QUILLACAS,atencion odontologica,primera consulta,2012-01-01,25,30,25,30,55
SAPAHAQUI,atencion odontologica,primera consulta,2012-01-01,23,27,23,27,50
SENA,atencion odontologica,primera consulta,2012-01-01,13,30,13,30,43
SHINAOTA,atencion odontologica,primera consulta,2012-01-01,14,36,14,36,50
SICA SICA (VILLA AROMA),atencion odontologica,primera consulta,2012-01-01,41,54,41,54,95
SICAYA,atencion odontologica,primera consulta,2012-01-01,7,24,7,24,31
SIPE SIPE,atencion odontologica,primera consulta,2012-01-01,107,211,107,211,318
SOPACHUY,atencion odontologica,primera consulta,2012-01-01,111,142,111,142,253
SORACACHI,atencion odontologica,primera consulta,2012-01-01,46,47,46,47,93
SORATA,atencion odontologica,primera consulta,2012-01-01,54,122,54,122,176
SUCRE,atencion odontologica,primera consulta,2012-01-01,1969,2837,1969,2837,4806
TACACOMA,atencion odontologica,primera consulta,2012-01-01,70,83,70,83,153
TACOPAYA,atencion odontologica,primera consulta,2012-01-01,18,18,18,18,36
TAHUA,atencion odontologica,primera consulta,2012-01-01,5,6,5,6,11
TAPACARI,atencion odontologica,primera consulta,2012-01-01,62,105,62,105,167
TARABUCO,atencion odontologica,primera consulta,2012-01-01,114,218,114,218,332
TARACO,atencion odontologica,primera consulta,2012-01-01,37,60,37,60,97
TARATA,atencion odontologica,primera consulta,2012-01-01,49,95,49,95,144
TARIJA,atencion odontologica,primera consulta,2012-01-01,802,1360,802,1360,2162
TARVITA,atencion odontologica,primera consulta,2012-01-01,255,438,255,438,693
TEOPONTE,atencion odontologica,primera consulta,2012-01-01,49,77,49,77,126
TIAWANACU,atencion odontologica,primera consulta,2012-01-01,100,161,100,161,261
TINGUIPAYA,atencion odontologica,primera consulta,2012-01-01,13,23,13,23,36
TIPUANI,atencion odontologica,primera consulta,2012-01-01,25,38,25,38,63
TIQUIPAYA,atencion odontologica,primera consulta,2012-01-01,205,405,205,405,610
TIRAQUE (CBBA),atencion odontologica,primera consulta,2012-01-01,18,56,18,56,74
TITO YUPANQUI (PARQUIPUJIO),atencion odontologica,primera consulta,2012-01-01,7,9,7,9,16
TOCO,atencion odontologica,primera consulta,2012-01-01,22,53,22,53,75
TOLATA,atencion odontologica,primera consulta,2012-01-01,20,52,20,52,72
TOLEDO,atencion odontologica,primera consulta,2012-01-01,34,60,34,60,94
TOMAVE,atencion odontologica,primera consulta,2012-01-01,31,25,31,25,56
TOMINA,atencion odontologica,primera consulta,2012-01-01,91,162,91,162,253
TORO TORO,atencion odontologica,primera consulta,2012-01-01,39,51,39,51,90
TOTORA(CBBA),atencion odontologica,primera consulta,2012-01-01,72,151,72,151,223
TRIGAL,atencion odontologica,primera consulta,2012-01-01,32,35,32,35,67
TRINIDAD,atencion odontologica,primera consulta,2012-01-01,299,454,299,454,753
TUPIZA,atencion odontologica,primera consulta,2012-01-01,97,132,97,132,229
TURCO,atencion odontologica,primera consulta,2012-01-01,30,33,30,33,63
UMALA,atencion odontologica,primera consulta,2012-01-01,4,14,4,14,18
UNCIA,atencion odontologica,primera consulta,2012-01-01,50,88,50,88,138
URIONDO (A. CONCEPCION),atencion odontologica,primera consulta,2012-01-01,103,205,103,205,308
URUBICHA,atencion odontologica,primera consulta,2012-01-01,14,39,14,39,53
UYUNI,atencion odontologica,primera consulta,2012-01-01,50,96,50,96,146
VACAS,atencion odontologica,primera consulta,2012-01-01,40,85,40,85,125
VALLEGRANDE,atencion odontologica,primera consulta,2012-01-01,93,152,93,152,245
VIACHA,atencion odontologica,primera consulta,2012-01-01,136,258,136,258,394
VILA VILA,atencion odontologica,primera consulta,2012-01-01,16,20,16,20,36
VILLA CHARCAS,atencion odontologica,primera consulta,2012-01-01,22,48,22,48,70
VILLA MONTES,atencion odontologica,primera consulta,2012-01-01,282,478,282,478,760
VILLA NUEVA (LOMA ALTA),atencion odontologica,primera consulta,2012-01-01,13,10,13,10,23
VILLA RIVERO,atencion odontologica,primera consulta,2012-01-01,22,40,22,40,62
VILLA SERRANO,atencion odontologica,primera consulta,2012-01-01,41,79,41,79,120
VILLA TUNARI,atencion odontologica,primera consulta,2012-01-01,197,392,197,392,589
VILLA VACA GUZMAN (MUYUPAMPA),atencion odontologica,primera consulta,2012-01-01,14,32,14,32,46
VILLAZON,atencion odontologica,primera consulta,2012-01-01,160,330,160,330,490
VINTO,atencion odontologica,primera consulta,2012-01-01,36,67,36,67,103
VITICHI,atencion odontologica,primera consulta,2012-01-01,23,32,23,32,55
WALDO BALLIVIAN,atencion odontologica,primera consulta,2012-01-01,9,13,9,13,22
WARNES,atencion odontologica,primera consulta,2012-01-01,84,186,84,186,270
YACO,atencion odontologica,primera consulta,2012-01-01,44,43,44,43,87
YACUIBA,atencion odontologica,primera consulta,2012-01-01,188,372,188,372,560
YAMPARAEZ,atencion odontologica,primera consulta,2012-01-01,92,95,92,95,187
YANACACHI,atencion odontologica,primera consulta,2012-01-01,24,44,24,44,68
YAPACANI,atencion odontologica,primera consulta,2012-01-01,57,112,57,112,169
YOCALLA,atencion odontologica,primera consulta,2012-01-01,35,59,35,59,94
YOTALA,atencion odontologica,primera consulta,2012-01-01,50,84,50,84,134
YUNCHARA,atencion odontologica,primera consulta,2012-01-01,34,102,34,102,136
ZUDAÑEZ,atencion odontologica,primera consulta,2012-01-01,9,21,9,21,30
ACACIO,atencion odontologica,primera consulta,2012-02-01,10,20,10,20,30
ACHACACHI,atencion odontologica,primera consulta,2012-02-01,257,266,257,266,523
AIQUILE,atencion odontologica,primera consulta,2012-02-01,136,49,136,49,185
ALALAY,atencion odontologica,primera consulta,2012-02-01,8,7,8,7,15
ALCALA,atencion odontologica,primera consulta,2012-02-01,50,76,50,76,126
ALTO BENI,atencion odontologica,primera consulta,2012-02-01,16,23,16,23,39
ANCORAIMES,atencion odontologica,primera consulta,2012-02-01,12,16,12,16,28
ANDAMARCA,atencion odontologica,primera consulta,2012-02-01,16,22,16,22,38
ANTEQUERA,atencion odontologica,primera consulta,2012-02-01,13,26,13,26,39
ANZALDO,atencion odontologica,primera consulta,2012-02-01,14,26,14,26,40
APOLO,atencion odontologica,primera consulta,2012-02-01,45,65,45,65,110
ARAMPAMPA,atencion odontologica,primera consulta,2012-02-01,7,6,7,6,13
ARANI,atencion odontologica,primera consulta,2012-02-01,50,45,50,45,95
ARBIETO,atencion odontologica,primera consulta,2012-02-01,50,95,50,95,145
ARQUE,atencion odontologica,primera consulta,2012-02-01,37,80,37,80,117
ASCENCION DE GUARAYOS,atencion odontologica,primera consulta,2012-02-01,20,45,20,45,65
ATOCHA,atencion odontologica,primera consulta,2012-02-01,82,106,82,106,188
AUCAPATA,atencion odontologica,primera consulta,2012-02-01,5,13,5,13,18
AYATA,atencion odontologica,primera consulta,2012-02-01,39,55,39,55,94
AYO AYO,atencion odontologica,primera consulta,2012-02-01,59,49,59,49,108
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica,primera consulta,2012-02-01,173,240,173,240,413
AZURDUY,atencion odontologica,primera consulta,2012-02-01,56,85,56,85,141
BATALLAS,atencion odontologica,primera consulta,2012-02-01,36,62,36,62,98
BAURES,atencion odontologica,primera consulta,2012-02-01,6,4,6,4,10
BELEN DE URMIRI,atencion odontologica,primera consulta,2012-02-01,1,5,1,5,6
BELLA FLOR,atencion odontologica,primera consulta,2012-02-01,29,35,29,35,64
BERMEJO,atencion odontologica,primera consulta,2012-02-01,167,283,167,283,450
BETANZOS,atencion odontologica,primera consulta,2012-02-01,81,97,81,97,178
BOLIVAR,atencion odontologica,primera consulta,2012-02-01,55,62,55,62,117
BOLPEBRA,atencion odontologica,primera consulta,2012-02-01,34,29,34,29,63
BOYUIBE,atencion odontologica,primera consulta,2012-02-01,27,41,27,41,68
BUENA VISTA,atencion odontologica,primera consulta,2012-02-01,5,9,5,9,14
CABEZAS,atencion odontologica,primera consulta,2012-02-01,106,162,106,162,268
CAIROMA,atencion odontologica,primera consulta,2012-02-01,49,76,49,76,125
"CAIZA ""D""",atencion odontologica,primera consulta,2012-02-01,33,43,33,43,76
CAJUATA,atencion odontologica,primera consulta,2012-02-01,43,73,43,73,116
CALACOTO,atencion odontologica,primera consulta,2012-02-01,20,21,20,21,41
CALAMARCA,atencion odontologica,primera consulta,2012-02-01,73,116,73,116,189
CAMARGO,atencion odontologica,primera consulta,2012-02-01,107,144,107,144,251
CAMATAQUI (C. VILLA ABECIA),atencion odontologica,primera consulta,2012-02-01,26,20,26,20,46
