,group,variable,month,OTRAS ACCIONES CANTIDAD,OTRAS ACCIONES CANTIDAD,TOTALES,TOTALES,TOTALES
CLIZA,atencion odontologica,otras acciones,2012-01-01,35,60,35,60,95
COBIJA,atencion odontologica,otras acciones,2012-01-01,130,85,130,85,215
COCAPATA,atencion odontologica,otras acciones,2012-01-01,2,7,2,7,9
COCHABAMBA,atencion odontologica,otras acciones,2012-01-01,1889,2369,1889,2369,4258
COIPASA,atencion odontologica,otras acciones,2012-01-01,3,1,3,1,4
COLCAPIRHUA,atencion odontologica,otras acciones,2012-01-01,130,205,130,205,335
"COLCHA ""K""",atencion odontologica,otras acciones,2012-01-01,16,13,16,13,29
COLLANA,atencion odontologica,otras acciones,2012-01-01,0,4,0,4,4
COLOMI,atencion odontologica,otras acciones,2012-01-01,24,44,24,44,68
COLQUECHACA,atencion odontologica,otras acciones,2012-01-01,35,73,35,73,108
COMANCHE,atencion odontologica,otras acciones,2012-01-01,8,6,8,6,14
COMARAPA,atencion odontologica,otras acciones,2012-01-01,69,59,69,59,128
COPACABANA,atencion odontologica,otras acciones,2012-01-01,8,16,8,16,24
CORIPATA,atencion odontologica,otras acciones,2012-01-01,7,6,7,6,13
CORO CORO,atencion odontologica,otras acciones,2012-01-01,41,61,41,61,102
COROICO,atencion odontologica,otras acciones,2012-01-01,21,48,21,48,69
CORQUE,atencion odontologica,otras acciones,2012-01-01,15,21,15,21,36
COTAGAITA,atencion odontologica,otras acciones,2012-01-01,49,101,49,101,150
CUATRO CAÑADAS,atencion odontologica,otras acciones,2012-01-01,22,49,22,49,71
CUEVO,atencion odontologica,otras acciones,2012-01-01,19,21,19,21,40
CULPINA,atencion odontologica,otras acciones,2012-01-01,40,64,40,64,104
CURAHUARA DE CARANGAS,atencion odontologica,otras acciones,2012-01-01,15,45,15,45,60
CURVA,atencion odontologica,otras acciones,2012-01-01,26,33,26,33,59
DESAGUADERO,atencion odontologica,otras acciones,2012-01-01,5,6,5,6,11
EL ALTO,atencion odontologica,otras acciones,2012-01-01,1329,1736,1329,1736,3065
EL PUENTE(STC),atencion odontologica,otras acciones,2012-01-01,12,31,12,31,43
EL PUENTE(TJA),atencion odontologica,otras acciones,2012-01-01,7,10,7,10,17
EL TORNO,atencion odontologica,otras acciones,2012-01-01,6,6,6,6,12
EL VILLAR,atencion odontologica,otras acciones,2012-01-01,1,3,1,3,4
ENTRE RIOS TRJ,atencion odontologica,otras acciones,2012-01-01,27,60,27,60,87
ENTRE RIOS CBBA,atencion odontologica,otras acciones,2012-01-01,47,73,47,73,120
ESCOMA,atencion odontologica,otras acciones,2012-01-01,7,6,7,6,13
EUCALIPTUS,atencion odontologica,otras acciones,2012-01-01,15,17,15,17,32
FERNANDEZ ALONSO,atencion odontologica,otras acciones,2012-01-01,3,8,3,8,11
FILADELFIA,atencion odontologica,otras acciones,2012-01-01,2,12,2,12,14
GENERAL SAAVEDRA,atencion odontologica,otras acciones,2012-01-01,0,7,0,7,7
GRAL. J.J. PEREZ (CHARAZANI),atencion odontologica,otras acciones,2012-01-01,13,18,13,18,31
GUANAY,atencion odontologica,otras acciones,2012-01-01,5,8,5,8,13
GUAQUI,atencion odontologica,otras acciones,2012-01-01,28,47,28,47,75
GUAYARAMERIN,atencion odontologica,otras acciones,2012-01-01,126,143,126,143,269
GUTIERREZ,atencion odontologica,otras acciones,2012-01-01,60,138,60,138,198
HUACARETA,atencion odontologica,otras acciones,2012-01-01,10,16,10,16,26
HUACAYA (VILLA DE HUACAYA),atencion odontologica,otras acciones,2012-01-01,0,1,0,1,1
HUACHACALLA,atencion odontologica,otras acciones,2012-01-01,7,8,7,8,15
HUANUNI,atencion odontologica,otras acciones,2012-01-01,98,162,98,162,260
HUARACAJE,atencion odontologica,otras acciones,2012-01-01,2,4,2,4,6
HUARINA,atencion odontologica,otras acciones,2012-01-01,5,6,5,6,11
HUAYLLAMARCA,atencion odontologica,otras acciones,2012-01-01,35,39,35,39,74
HUMANATA,atencion odontologica,otras acciones,2012-01-01,4,6,4,6,10
ICLA,atencion odontologica,otras acciones,2012-01-01,2,1,2,1,3
INCAHUASI,atencion odontologica,otras acciones,2012-01-01,1,0,1,0,1
INQUISIVI,atencion odontologica,otras acciones,2012-01-01,5,7,5,7,12
IRUPANA (VILLA DE LANZA),atencion odontologica,otras acciones,2012-01-01,31,52,31,52,83
IXIAMAS,atencion odontologica,otras acciones,2012-01-01,12,8,12,8,20
JESUS DE MACHACA,atencion odontologica,otras acciones,2012-01-01,26,49,26,49,75
LA ASUNTA,atencion odontologica,otras acciones,2012-01-01,10,35,10,35,45
LA GUARDIA,atencion odontologica,otras acciones,2012-01-01,47,148,47,148,195
LA PAZ,atencion odontologica,otras acciones,2012-01-01,3214,4097,3214,4097,7311
LICOMA PAMPA,atencion odontologica,otras acciones,2012-01-01,3,1,3,1,4
LLALLAGUA,atencion odontologica,otras acciones,2012-01-01,104,255,104,255,359
LORETO,atencion odontologica,otras acciones,2012-01-01,2,0,2,0,2
LURIBAY,atencion odontologica,otras acciones,2012-01-01,6,7,6,7,13
MACHACAMARCA,atencion odontologica,otras acciones,2012-01-01,18,24,18,24,42
MACHARETI,atencion odontologica,otras acciones,2012-01-01,1,0,1,0,1
MAGDALENA,atencion odontologica,otras acciones,2012-01-01,19,22,19,22,41
MAIRANA,atencion odontologica,otras acciones,2012-01-01,19,87,19,87,106
MALLA,atencion odontologica,otras acciones,2012-01-01,1,2,1,2,3
MAPIRI,atencion odontologica,otras acciones,2012-01-01,9,40,9,40,49
MECAPACA,atencion odontologica,otras acciones,2012-01-01,0,1,0,1,1
MINEROS,atencion odontologica,otras acciones,2012-01-01,13,22,13,22,35
MIZQUE,atencion odontologica,otras acciones,2012-01-01,20,83,20,83,103
MOCOMOCO,atencion odontologica,otras acciones,2012-01-01,1,4,1,4,5
MOJOCOYA,atencion odontologica,otras acciones,2012-01-01,12,26,12,26,38
MONTEAGUDO,atencion odontologica,otras acciones,2012-01-01,32,105,32,105,137
MONTERO,atencion odontologica,otras acciones,2012-01-01,120,171,120,171,291
MOROCHATA,atencion odontologica,otras acciones,2012-01-01,1,21,1,21,22
NUEVO MANOA (NUEVA ESPERANZA),atencion odontologica,otras acciones,2012-01-01,0,5,0,5,5
OCURI,atencion odontologica,otras acciones,2012-01-01,6,5,6,5,11
OMEREQUE,atencion odontologica,otras acciones,2012-01-01,4,4,4,4,8
ORURO,atencion odontologica,otras acciones,2012-01-01,1150,1693,1150,1693,2843
PADCAYA,atencion odontologica,otras acciones,2012-01-01,1,4,1,4,5
PADILLA,atencion odontologica,otras acciones,2012-01-01,28,38,28,38,66
PAILON,atencion odontologica,otras acciones,2012-01-01,30,66,30,66,96
PALCA,atencion odontologica,otras acciones,2012-01-01,8,19,8,19,27
PALOS BLANCOS,atencion odontologica,otras acciones,2012-01-01,13,23,13,23,36
PAMPA AULLAGAS,atencion odontologica,otras acciones,2012-01-01,6,14,6,14,20
PAMPA GRANDE,atencion odontologica,otras acciones,2012-01-01,11,5,11,5,16
PAPEL PAMPA,atencion odontologica,otras acciones,2012-01-01,21,16,21,16,37
PASORAPA,atencion odontologica,otras acciones,2012-01-01,1,9,1,9,10
PATACAMAYA,atencion odontologica,otras acciones,2012-01-01,40,122,40,122,162
PAZÑA,atencion odontologica,otras acciones,2012-01-01,8,18,8,18,26
PELECHUCO,atencion odontologica,otras acciones,2012-01-01,9,14,9,14,23
POCOATA,atencion odontologica,otras acciones,2012-01-01,16,53,16,53,69
POCONA,atencion odontologica,otras acciones,2012-01-01,27,49,27,49,76
POJO (CBBA),atencion odontologica,otras acciones,2012-01-01,25,44,25,44,69
POOPO,atencion odontologica,otras acciones,2012-01-01,35,62,35,62,97
PORCO,atencion odontologica,otras acciones,2012-01-01,14,21,14,21,35
POROMA,atencion odontologica,otras acciones,2012-01-01,7,6,7,6,13
PORONGO,atencion odontologica,otras acciones,2012-01-01,6,7,6,7,13
PORTACHUELO,atencion odontologica,otras acciones,2012-01-01,23,60,23,60,83
PORVENIR,atencion odontologica,otras acciones,2012-01-01,3,6,3,6,9
POSTRER VALLE,atencion odontologica,otras acciones,2012-01-01,4,2,4,2,6
POTOSI,atencion odontologica,otras acciones,2012-01-01,303,581,303,581,884
PRESTO,atencion odontologica,otras acciones,2012-01-01,3,2,3,2,5
PUCARANI,atencion odontologica,otras acciones,2012-01-01,59,69,59,69,128
PUERTO ACOSTA,atencion odontologica,otras acciones,2012-01-01,4,13,4,13,17
PUERTO CARABUCO,atencion odontologica,otras acciones,2012-01-01,11,20,11,20,31
PUERTO QUIJARRO,atencion odontologica,otras acciones,2012-01-01,23,75,23,75,98
PUERTO RICO,atencion odontologica,otras acciones,2012-01-01,107,84,107,84,191
PUERTO SUAREZ,atencion odontologica,otras acciones,2012-01-01,14,13,14,13,27
PUERTO VILLARROEL,atencion odontologica,otras acciones,2012-01-01,32,75,32,75,107
PUNA,atencion odontologica,otras acciones,2012-01-01,72,139,72,139,211
PUNATA,atencion odontologica,otras acciones,2012-01-01,42,95,42,95,137
QUILLACOLLO,atencion odontologica,otras acciones,2012-01-01,175,230,175,230,405
QUIME,atencion odontologica,otras acciones,2012-01-01,36,62,36,62,98
QUIRUSILLAS,atencion odontologica,otras acciones,2012-01-01,1,3,1,3,4
RAVELO,atencion odontologica,otras acciones,2012-01-01,1,4,1,4,5
REYES,atencion odontologica,otras acciones,2012-01-01,13,9,13,9,22
RIBERALTA,atencion odontologica,otras acciones,2012-01-01,6,15,6,15,21
ROBORE,atencion odontologica,otras acciones,2012-01-01,14,15,14,15,29
RURRENABAQUE,atencion odontologica,otras acciones,2012-01-01,1,1,1,1,2
SABAYA,atencion odontologica,otras acciones,2012-01-01,42,58,42,58,100
SACABA,atencion odontologica,otras acciones,2012-01-01,666,903,666,903,1569
SACABAMBA,atencion odontologica,otras acciones,2012-01-01,1,0,1,0,1
SACACA,atencion odontologica,otras acciones,2012-01-01,5,9,5,9,14
SAIPINA,atencion odontologica,otras acciones,2012-01-01,5,17,5,17,22
SALINAS DE GARCI MENDOZA,atencion odontologica,otras acciones,2012-01-01,30,36,30,36,66
SAMAIPATA,atencion odontologica,otras acciones,2012-01-01,11,22,11,22,33
SAN AGUSTIN,atencion odontologica,otras acciones,2012-01-01,1,1,1,1,2
SAN ANDRES DE MACHACA,atencion odontologica,otras acciones,2012-01-01,7,5,7,5,12
SAN ANTONIO DE LOMERIO,atencion odontologica,otras acciones,2012-01-01,6,13,6,13,19
SAN BENITO,atencion odontologica,otras acciones,2012-01-01,2,7,2,7,9
SAN BORJA,atencion odontologica,otras acciones,2012-01-01,17,34,17,34,51
SAN CARLOS,atencion odontologica,otras acciones,2012-01-01,17,8,17,8,25
SAN IGNACIO,atencion odontologica,otras acciones,2012-01-01,1,7,1,7,8
SAN IGNACIO DE VELASCO,atencion odontologica,otras acciones,2012-01-01,12,14,12,14,26
SAN JOSE DE CHIQUITOS,atencion odontologica,otras acciones,2012-01-01,0,3,0,3,3
SAN JUAN DE YAPACANI,atencion odontologica,otras acciones,2012-01-01,4,14,4,14,18
SAN JULIAN,atencion odontologica,otras acciones,2012-01-01,16,22,16,22,38
SAN LORENZO(PND),atencion odontologica,otras acciones,2012-01-01,1,0,1,0,1
SAN LORENZO(TJA),atencion odontologica,otras acciones,2012-01-01,74,180,74,180,254
SAN LUCAS,atencion odontologica,otras acciones,2012-01-01,35,77,35,77,112
SAN MIGUEL DE VELASCO,atencion odontologica,otras acciones,2012-01-01,41,49,41,49,90
SAN PEDRO DE BUENA VISTA,atencion odontologica,otras acciones,2012-01-01,12,13,12,13,25
SAN PEDRO DE CURAHUARA,atencion odontologica,otras acciones,2012-01-01,3,5,3,5,8
SAN PEDRO DE TIQUINA,atencion odontologica,otras acciones,2012-01-01,19,28,19,28,47
SAN RAFAEL,atencion odontologica,otras acciones,2012-01-01,21,5,21,5,26
SANTA ANA,atencion odontologica,otras acciones,2012-01-01,50,88,50,88,138
SANTA CRUZ DE LA SIERRA,atencion odontologica,otras acciones,2012-01-01,896,1420,896,1420,2316
SANTA ROSA,atencion odontologica,otras acciones,2012-01-01,2,18,2,18,20
SANTA ROSA DEL SARA,atencion odontologica,otras acciones,2012-01-01,7,27,7,27,34
SANTIAGO DE CALLAPA,atencion odontologica,otras acciones,2012-01-01,5,9,5,9,14
SANTIAGO DE HUARI,atencion odontologica,otras acciones,2012-01-01,70,76,70,76,146
SANTIVAÑES,atencion odontologica,otras acciones,2012-01-01,17,34,17,34,51
SANTUARIO DE QUILLACAS,atencion odontologica,otras acciones,2012-01-01,6,11,6,11,17
SAPAHAQUI,atencion odontologica,otras acciones,2012-01-01,12,15,12,15,27
SENA,atencion odontologica,otras acciones,2012-01-01,3,19,3,19,22
SHINAOTA,atencion odontologica,otras acciones,2012-01-01,11,40,11,40,51
SICA SICA (VILLA AROMA),atencion odontologica,otras acciones,2012-01-01,7,4,7,4,11
SICAYA,atencion odontologica,otras acciones,2012-01-01,3,8,3,8,11
SIPE SIPE,atencion odontologica,otras acciones,2012-01-01,43,57,43,57,100
SOPACHUY,atencion odontologica,otras acciones,2012-01-01,32,52,32,52,84
SORACACHI,atencion odontologica,otras acciones,2012-01-01,26,29,26,29,55
SORATA,atencion odontologica,otras acciones,2012-01-01,39,95,39,95,134
SUCRE,atencion odontologica,otras acciones,2012-01-01,800,1213,800,1213,2013
TACACOMA,atencion odontologica,otras acciones,2012-01-01,4,1,4,1,5
TACOPAYA,atencion odontologica,otras acciones,2012-01-01,6,13,6,13,19
TAHUA,atencion odontologica,otras acciones,2012-01-01,2,5,2,5,7
TAPACARI,atencion odontologica,otras acciones,2012-01-01,15,27,15,27,42
TARABUCO,atencion odontologica,otras acciones,2012-01-01,6,14,6,14,20
TARACO,atencion odontologica,otras acciones,2012-01-01,25,34,25,34,59
TARATA,atencion odontologica,otras acciones,2012-01-01,22,24,22,24,46
TARIJA,atencion odontologica,otras acciones,2012-01-01,341,714,341,714,1055
TARVITA,atencion odontologica,otras acciones,2012-01-01,23,19,23,19,42
TIAWANACU,atencion odontologica,otras acciones,2012-01-01,20,38,20,38,58
TINGUIPAYA,atencion odontologica,otras acciones,2012-01-01,5,10,5,10,15
TIPUANI,atencion odontologica,otras acciones,2012-01-01,2,1,2,1,3
TIQUIPAYA,atencion odontologica,otras acciones,2012-01-01,94,278,94,278,372
TIRAQUE (CBBA),atencion odontologica,otras acciones,2012-01-01,41,109,41,109,150
TITO YUPANQUI (PARQUIPUJIO),atencion odontologica,otras acciones,2012-01-01,1,0,1,0,1
TOCO,atencion odontologica,otras acciones,2012-01-01,1,2,1,2,3
TOLATA,atencion odontologica,otras acciones,2012-01-01,38,79,38,79,117
TOLEDO,atencion odontologica,otras acciones,2012-01-01,2,12,2,12,14
TOMAVE,atencion odontologica,otras acciones,2012-01-01,7,16,7,16,23
TOMINA,atencion odontologica,otras acciones,2012-01-01,193,393,193,393,586
TORO TORO,atencion odontologica,otras acciones,2012-01-01,14,27,14,27,41
TOTORA(CBBA),atencion odontologica,otras acciones,2012-01-01,16,40,16,40,56
TRIGAL,atencion odontologica,otras acciones,2012-01-01,0,1,0,1,1
TRINIDAD,atencion odontologica,otras acciones,2012-01-01,52,86,52,86,138
TUPIZA,atencion odontologica,otras acciones,2012-01-01,42,47,42,47,89
TURCO,atencion odontologica,otras acciones,2012-01-01,11,20,11,20,31
UMALA,atencion odontologica,otras acciones,2012-01-01,1,0,1,0,1
URIONDO (A. CONCEPCION),atencion odontologica,otras acciones,2012-01-01,42,110,42,110,152
URUBICHA,atencion odontologica,otras acciones,2012-01-01,0,4,0,4,4
UYUNI,atencion odontologica,otras acciones,2012-01-01,3,5,3,5,8
VACAS,atencion odontologica,otras acciones,2012-01-01,5,10,5,10,15
VALLEGRANDE,atencion odontologica,otras acciones,2012-01-01,14,42,14,42,56
VIACHA,atencion odontologica,otras acciones,2012-01-01,86,148,86,148,234
VILA VILA,atencion odontologica,otras acciones,2012-01-01,1,1,1,1,2
VILLA MONTES,atencion odontologica,otras acciones,2012-01-01,46,128,46,128,174
VILLA RIVERO,atencion odontologica,otras acciones,2012-01-01,11,31,11,31,42
VILLA SERRANO,atencion odontologica,otras acciones,2012-01-01,13,42,13,42,55
VILLA TUNARI,atencion odontologica,otras acciones,2012-01-01,22,50,22,50,72
VILLAZON,atencion odontologica,otras acciones,2012-01-01,64,133,64,133,197
VINTO,atencion odontologica,otras acciones,2012-01-01,11,21,11,21,32
VITICHI,atencion odontologica,otras acciones,2012-01-01,11,31,11,31,42
WARNES,atencion odontologica,otras acciones,2012-01-01,29,50,29,50,79
YACO,atencion odontologica,otras acciones,2012-01-01,5,4,5,4,9
YACUIBA,atencion odontologica,otras acciones,2012-01-01,24,34,24,34,58
YAMPARAEZ,atencion odontologica,otras acciones,2012-01-01,26,54,26,54,80
YANACACHI,atencion odontologica,otras acciones,2012-01-01,12,22,12,22,34
YAPACANI,atencion odontologica,otras acciones,2012-01-01,4,11,4,11,15
YOCALLA,atencion odontologica,otras acciones,2012-01-01,15,15,15,15,30
YUNCHARA,atencion odontologica,otras acciones,2012-01-01,5,28,5,28,33
ACACIO,atencion odontologica,otras acciones,2012-02-01,0,9,0,9,9
ACHACACHI,atencion odontologica,otras acciones,2012-02-01,50,69,50,69,119
ACHOCALLA,atencion odontologica,otras acciones,2012-02-01,4,8,4,8,12
ALALAY,atencion odontologica,otras acciones,2012-02-01,3,2,3,2,5
ALCALA,atencion odontologica,otras acciones,2012-02-01,19,22,19,22,41
ALTO BENI,atencion odontologica,otras acciones,2012-02-01,11,9,11,9,20
ANCORAIMES,atencion odontologica,otras acciones,2012-02-01,2,7,2,7,9
ANDAMARCA,atencion odontologica,otras acciones,2012-02-01,14,27,14,27,41
ANTEQUERA,atencion odontologica,otras acciones,2012-02-01,14,31,14,31,45
ANZALDO,atencion odontologica,otras acciones,2012-02-01,3,4,3,4,7
APOLO,atencion odontologica,otras acciones,2012-02-01,8,8,8,8,16
ARAMPAMPA,atencion odontologica,otras acciones,2012-02-01,4,8,4,8,12
ARANI,atencion odontologica,otras acciones,2012-02-01,37,38,37,38,75
ARBIETO,atencion odontologica,otras acciones,2012-02-01,6,9,6,9,15
ARQUE,atencion odontologica,otras acciones,2012-02-01,8,22,8,22,30
ASCENCION DE GUARAYOS,atencion odontologica,otras acciones,2012-02-01,3,1,3,1,4
ATOCHA,atencion odontologica,otras acciones,2012-02-01,70,123,70,123,193
AYATA,atencion odontologica,otras acciones,2012-02-01,16,23,16,23,39
AYO AYO,atencion odontologica,otras acciones,2012-02-01,4,10,4,10,14
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica,otras acciones,2012-02-01,70,78,70,78,148
AZURDUY,atencion odontologica,otras acciones,2012-02-01,24,37,24,37,61
BELEN DE URMIRI,atencion odontologica,otras acciones,2012-02-01,0,4,0,4,4
BELLA FLOR,atencion odontologica,otras acciones,2012-02-01,1,0,1,0,1
BERMEJO,atencion odontologica,otras acciones,2012-02-01,92,163,92,163,255
BETANZOS,atencion odontologica,otras acciones,2012-02-01,15,28,15,28,43
BOLIVAR,atencion odontologica,otras acciones,2012-02-01,7,18,7,18,25
BOYUIBE,atencion odontologica,otras acciones,2012-02-01,2,1,2,1,3
BUENA VISTA,atencion odontologica,otras acciones,2012-02-01,4,0,4,0,4
CABEZAS,atencion odontologica,otras acciones,2012-02-01,22,37,22,37,59
CAIROMA,atencion odontologica,otras acciones,2012-02-01,18,28,18,28,46
"CAIZA ""D""",atencion odontologica,otras acciones,2012-02-01,27,38,27,38,65
CAJUATA,atencion odontologica,otras acciones,2012-02-01,2,1,2,1,3
CALACOTO,atencion odontologica,otras acciones,2012-02-01,8,4,8,4,12
CALAMARCA,atencion odontologica,otras acciones,2012-02-01,67,113,67,113,180
CAMARGO,atencion odontologica,otras acciones,2012-02-01,38,92,38,92,130
CAMATAQUI (C. VILLA ABECIA),atencion odontologica,otras acciones,2012-02-01,10,21,10,21,31
CAMIRI,atencion odontologica,otras acciones,2012-02-01,134,201,134,201,335
CAPINOTA,atencion odontologica,otras acciones,2012-02-01,49,76,49,76,125
CAQUIAVIRI,atencion odontologica,otras acciones,2012-02-01,10,13,10,13,23
CARACOLLO,atencion odontologica,otras acciones,2012-02-01,98,124,98,124,222
CARANAVI,atencion odontologica,otras acciones,2012-02-01,54,80,54,80,134
CARAPARI,atencion odontologica,otras acciones,2012-02-01,26,17,26,17,43
CARIPUYO,atencion odontologica,otras acciones,2012-02-01,7,9,7,9,16
CARMEN RIVERO TORREZ,atencion odontologica,otras acciones,2012-02-01,14,23,14,23,37
CATACORA,atencion odontologica,otras acciones,2012-02-01,2,3,2,3,5
CHALLAPATA,atencion odontologica,otras acciones,2012-02-01,36,66,36,66,102
CHAQUI,atencion odontologica,otras acciones,2012-02-01,4,19,4,19,23
CHARAGUA,atencion odontologica,otras acciones,2012-02-01,11,6,11,6,17
CHAYANTA,atencion odontologica,otras acciones,2012-02-01,60,86,60,86,146
CHIMORE,atencion odontologica,otras acciones,2012-02-01,27,31,27,31,58
CHIPAYA,atencion odontologica,otras acciones,2012-02-01,10,17,10,17,27
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica,otras acciones,2012-02-01,21,17,21,17,38
CHUMA,atencion odontologica,otras acciones,2012-02-01,25,20,25,20,45
CHUQUIHUTA AYLLU JUCUMANI,atencion odontologica,otras acciones,2012-02-01,11,12,11,12,23
CKOCHAS,atencion odontologica,otras acciones,2012-02-01,3,2,3,2,5
CLIZA,atencion odontologica,otras acciones,2012-02-01,54,70,54,70,124
COBIJA,atencion odontologica,otras acciones,2012-02-01,21,50,21,50,71
COCAPATA,atencion odontologica,otras acciones,2012-02-01,7,23,7,23,30
COCHABAMBA,atencion odontologica,otras acciones,2012-02-01,2387,2799,2387,2799,5186
COIPASA,atencion odontologica,otras acciones,2012-02-01,0,2,0,2,2
COLCAPIRHUA,atencion odontologica,otras acciones,2012-02-01,74,93,74,93,167
"COLCHA ""K""",atencion odontologica,otras acciones,2012-02-01,13,12,13,12,25
COLOMI,atencion odontologica,otras acciones,2012-02-01,20,54,20,54,74
COLQUECHACA,atencion odontologica,otras acciones,2012-02-01,47,63,47,63,110
COLQUIRI,atencion odontologica,otras acciones,2012-02-01,27,35,27,35,62
COMANCHE,atencion odontologica,otras acciones,2012-02-01,9,12,9,12,21
COMARAPA,atencion odontologica,otras acciones,2012-02-01,38,94,38,94,132
COPACABANA,atencion odontologica,otras acciones,2012-02-01,9,13,9,13,22
CORO CORO,atencion odontologica,otras acciones,2012-02-01,7,6,7,6,13
COROICO,atencion odontologica,otras acciones,2012-02-01,7,11,7,11,18
CORQUE,atencion odontologica,otras acciones,2012-02-01,9,22,9,22,31
COTAGAITA,atencion odontologica,otras acciones,2012-02-01,86,115,86,115,201
COTOCA,atencion odontologica,otras acciones,2012-02-01,34,32,34,32,66
CUATRO CAÑADAS,atencion odontologica,otras acciones,2012-02-01,23,79,23,79,102
CUEVO,atencion odontologica,otras acciones,2012-02-01,9,32,9,32,41
CULPINA,atencion odontologica,otras acciones,2012-02-01,51,56,51,56,107
CURAHUARA DE CARANGAS,atencion odontologica,otras acciones,2012-02-01,4,10,4,10,14
CURVA,atencion odontologica,otras acciones,2012-02-01,12,11,12,11,23
DESAGUADERO,atencion odontologica,otras acciones,2012-02-01,0,1,0,1,1
EL ALTO,atencion odontologica,otras acciones,2012-02-01,872,1415,872,1415,2287
EL CHORO,atencion odontologica,otras acciones,2012-02-01,0,2,0,2,2
