,group,variable,month,CONSULTAS NUEVAS MENORES DE 5 AÑOS CANTIDAD,CONSULTAS NUEVAS MENORES DE 5 AÑOS CANTIDAD,TOTALES,TOTALES,TOTALES
CAQUIAVIRI,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,15,3,15,3,18
CARACOLLO,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,29,39,29,39,68
CARANAVI,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,52,59,52,59,111
CARAPARI,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,2,4,2,4,6
CARIPUYO,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,20,51,20,51,71
CARMEN RIVERO TORREZ,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,5,4,5,4,9
CATACORA,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,10,5,10,5,15
CHALLAPATA,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,78,99,78,99,177
CHAQUI,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,3,1,3,1,4
CHARAGUA,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,21,28,21,28,49
CHAYANTA,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,2,16,2,16,18
CHIMORE,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,72,39,72,39,111
CHIPAYA,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,5,4,5,4,9
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,29,37,29,37,66
CHUMA,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,23,19,23,19,42
CHUQUIHUTA AYLLU JUCUMANI,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,5,22,5,22,27
CKOCHAS,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,11,12,11,12,23
CLIZA,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,92,104,92,104,196
COBIJA,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,141,110,141,110,251
COCAPATA,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,12,17,12,17,29
COCHABAMBA,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,1243,1413,1243,1413,2656
COIPASA,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,4,8,4,8,12
COLCAPIRHUA,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,232,182,232,182,414
"COLCHA ""K""",atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,31,29,31,29,60
COLLANA,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,10,6,10,6,16
COLOMI,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,98,103,98,103,201
COLPA BELGICA,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,16,24,16,24,40
COLQUECHACA,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,84,51,84,51,135
COLQUIRI,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,20,14,20,14,34
COMANCHE,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,3,20,3,20,23
COMARAPA,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,62,57,62,57,119
CONCEPCION,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,19,17,19,17,36
COPACABANA,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,3,17,3,17,20
CORIPATA,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,29,19,29,19,48
CORO CORO,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,7,27,7,27,34
COROICO,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,22,28,22,28,50
CORQUE,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,4,5,4,5,9
COTAGAITA,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,13,25,13,25,38
COTOCA,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,36,26,36,26,62
CUATRO CAÑADAS,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,97,99,97,99,196
CUCHUMUELA (V. G. VILLARROEL),atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,2,9,2,9,11
CUEVO,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,6,5,6,5,11
CULPINA,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,4,2,4,2,6
CURAHUARA DE CARANGAS,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,43,45,43,45,88
CURVA,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,8,2,8,2,10
DESAGUADERO,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,6,2,6,2,8
EL ALTO,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,1625,1876,1625,1876,3501
EL CHORO,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,15,0,15,0,15
EL PUENTE(STC),atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,4,3,4,3,7
EL PUENTE(TJA),atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,3,6,3,6,9
EL TORNO,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,49,56,49,56,105
EL VILLAR,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,6,7,6,7,13
ENTRE RIOS TRJ,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,10,6,10,6,16
ENTRE RIOS CBBA,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,97,85,97,85,182
ESCOMA,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,3,1,3,1,4
EUCALIPTUS,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,60,26,60,26,86
FERNANDEZ ALONSO,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,27,29,27,29,56
FILADELFIA,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,15,11,15,11,26
GENERAL SAAVEDRA,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,31,33,31,33,64
GRAL. J.J. PEREZ (CHARAZANI),atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,16,15,16,15,31
GUANAY,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,21,59,21,59,80
GUAQUI,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,5,10,5,10,15
GUAYARAMERIN,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,38,30,38,30,68
GUTIERREZ,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,42,38,42,38,80
HUACARETA,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,5,5,5,5,10
HUACAYA (VILLA DE HUACAYA),atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,1,2,1,2,3
HUACHACALLA,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,4,2,4,2,6
HUANUNI,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,32,26,32,26,58
HUARACAJE,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,17,27,17,27,44
HUAYLLAMARCA,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,23,7,23,7,30
HUMANATA,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,6,0,6,0,6
ICHOCA,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,29,31,29,31,60
ICLA,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,17,45,17,45,62
INCAHUASI,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,11,5,11,5,16
INQUISIVI,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,9,5,9,5,14
IRUPANA (VILLA DE LANZA),atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,31,38,31,38,69
IXIAMAS,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,6,10,6,10,16
JESUS DE MACHACA,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,29,53,29,53,82
LA ASUNTA,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,18,50,18,50,68
LA GUARDIA,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,70,80,70,80,150
LA PAZ,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,2563,3262,2563,3262,5825
LAGUNILLAS,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,26,26,26,26,52
LAJA,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,20,38,20,38,58
LAS CARRERAS,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,2,1,2,1,3
LICOMA PAMPA,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,2,1,2,1,3
LLALLAGUA,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,176,152,176,152,328
LURIBAY,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,78,55,78,55,133
MACHACAMARCA,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,2,18,2,18,20
MACHARETI,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,40,26,40,26,66
MAGDALENA,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,10,14,10,14,24
MAIRANA,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,13,29,13,29,42
MALLA,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,1,0,1,0,1
MAPIRI,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,16,41,16,41,57
MECAPACA,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,13,15,13,15,28
MINEROS,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,39,46,39,46,85
MIZQUE,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,11,22,11,22,33
MOCOMOCO,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,0,2,0,2,2
MOJOCOYA,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,3,0,3,0,3
MONTEAGUDO,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,28,37,28,37,65
MONTERO,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,164,226,164,226,390
MORO MORO,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,53,80,53,80,133
MOROCHATA,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,24,23,24,23,47
NUEVO MANOA (NUEVA ESPERANZA),atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,1,3,1,3,4
OCURI,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,4,5,4,5,9
OKINAWA,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,6,16,6,16,22
OMEREQUE,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,0,7,0,7,7
ORURO,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,830,950,830,950,1780
PADCAYA,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,4,3,4,3,7
PADILLA,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,41,50,41,50,91
PAILON,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,56,42,56,42,98
PALCA,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,27,78,27,78,105
PALOS BLANCOS,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,36,30,36,30,66
PAMPA AULLAGAS,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,10,3,10,3,13
PAMPA GRANDE,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,29,31,29,31,60
PAPEL PAMPA,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,14,5,14,5,19
PASORAPA,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,3,9,3,9,12
PATACAMAYA,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,87,122,87,122,209
PAZÑA,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,3,16,3,16,19
PELECHUCO,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,48,49,48,49,97
POCOATA,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,8,13,8,13,21
POCONA,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,31,30,31,30,61
POJO (CBBA),atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,37,57,37,57,94
POOPO,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,7,61,7,61,68
PORCO,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,5,8,5,8,13
POROMA,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,35,57,35,57,92
PORONGO,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,28,38,28,38,66
PORTACHUELO,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,17,32,17,32,49
PORVENIR,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,11,8,11,8,19
POSTRER VALLE,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,27,27,27,27,54
POTOSI,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,517,514,517,514,1031
PRESTO,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,2,0,2,0,2
PUCARA,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,2,2,2,2,4
PUCARANI,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,33,29,33,29,62
PUERTO ACOSTA,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,5,12,5,12,17
PUERTO CARABUCO,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,8,6,8,6,14
PUERTO GONZALO MORENO,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,17,4,17,4,21
PUERTO PEREZ,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,12,13,12,13,25
PUERTO QUIJARRO,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,30,23,30,23,53
PUERTO RICO,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,94,75,94,75,169
PUERTO SUAREZ,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,29,25,29,25,54
PUERTO VILLARROEL,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,200,192,200,192,392
PUNA,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,9,19,9,19,28
PUNATA,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,82,47,82,47,129
QUIABAYA,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,1,3,1,3,4
QUILLACOLLO,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,416,336,416,336,752
QUIME,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,26,25,26,25,51
QUIRUSILLAS,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,13,5,13,5,18
RAVELO,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,1,0,1,0,1
REYES,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,9,11,9,11,20
RIBERALTA,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,33,33,33,33,66
ROBORE,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,7,7,7,7,14
RURRENABAQUE,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,20,22,20,22,42
SABAYA,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,17,14,17,14,31
SACABA,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,286,301,286,301,587
SACABAMBA,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,11,8,11,8,19
SACACA,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,7,6,7,6,13
SAIPINA,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,0,14,0,14,14
SALINAS DE GARCI MENDOZA,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,118,90,118,90,208
SAMAIPATA,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,23,24,23,24,47
SAN AGUSTIN,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,0,1,0,1,1
SAN ANDRES,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,2,3,2,3,5
SAN ANDRES DE MACHACA,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,12,11,12,11,23
SAN ANTONIO DE LOMERIO,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,0,4,0,4,4
SAN BENITO,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,5,19,5,19,24
SAN BORJA,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,45,49,45,49,94
SAN BUENA VENTURA,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,14,15,14,15,29
SAN CARLOS,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,19,30,19,30,49
SAN IGNACIO,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,11,6,11,6,17
SAN IGNACIO DE VELASCO,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,45,25,45,25,70
SAN JAVIER(STC),atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,8,7,8,7,15
SAN JOSE DE CHIQUITOS,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,10,12,10,12,22
SAN JUAN DE YAPACANI,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,6,13,6,13,19
SAN JULIAN,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,38,78,38,78,116
SAN LORENZO(PND),atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,13,21,13,21,34
SAN LORENZO(TJA),atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,14,14,14,14,28
SAN LUCAS,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,39,43,39,43,82
SAN MATIAS,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,7,9,7,9,16
SAN MIGUEL DE VELASCO,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,15,15,15,15,30
SAN PEDRO,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,20,17,20,17,37
SAN PEDRO DE BUENA VISTA,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,9,19,9,19,28
SAN PEDRO DE CURAHUARA,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,13,12,13,12,25
SAN PEDRO DE TIQUINA,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,12,20,12,20,32
SAN RAFAEL,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,15,11,15,11,26
SAN RAMON BENI,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,1,11,1,11,12
SAN RAMON SCZ,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,3,4,3,4,7
SANTA ANA,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,59,55,59,55,114
SANTA CRUZ DE LA SIERRA,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,1322,1494,1322,1494,2816
SANTA ROSA,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,4,14,4,14,18
SANTA ROSA DEL SARA,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,21,28,21,28,49
SANTIAGO DE CALLAPA,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,2,6,2,6,8
SANTIAGO DE HUARI,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,83,100,83,100,183
SANTIAGO DE HUATA,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,6,4,6,4,10
SANTIVAÑES,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,3,0,3,0,3
SANTUARIO DE QUILLACAS,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,27,26,27,26,53
SAPAHAQUI,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,5,5,5,5,10
SENA,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,3,7,3,7,10
SHINAOTA,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,140,60,140,60,200
SICA SICA (VILLA AROMA),atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,46,54,46,54,100
SICAYA,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,2,3,2,3,5
SIPE SIPE,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,165,115,165,115,280
SOPACHUY,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,72,95,72,95,167
SORACACHI,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,34,9,34,9,43
SORATA,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,43,98,43,98,141
SUCRE,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,945,904,945,904,1849
TACACOMA,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,6,13,6,13,19
TACOPAYA,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,16,17,16,17,33
TAHUA,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,4,0,4,0,4
TAPACARI,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,44,36,44,36,80
TARABUCO,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,141,192,141,192,333
TARACO,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,11,28,11,28,39
TARATA,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,18,6,18,6,24
TARIJA,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,125,143,125,143,268
TARVITA,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,107,129,107,129,236
TEOPONTE,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,26,20,26,20,46
TIAWANACU,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,13,22,13,22,35
TINGUIPAYA,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,3,3,3,3,6
TIPUANI,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,13,13,13,13,26
TIQUIPAYA,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,734,778,734,778,1512
TIRAQUE (CBBA),atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,5,20,5,20,25
TITO YUPANQUI (PARQUIPUJIO),atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,2,2,2,2,4
TOCO,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,16,19,16,19,35
TOLATA,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,25,15,25,15,40
TOLEDO,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,7,9,7,9,16
TOMAVE,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,17,0,17,0,17
TOMINA,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,41,65,41,65,106
TORO TORO,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,15,5,15,5,20
TOTORA(CBBA),atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,34,57,34,57,91
TRIGAL,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,26,21,26,21,47
TRINIDAD,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,46,49,46,49,95
TUPIZA,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,36,28,36,28,64
TURCO,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,18,7,18,7,25
UMALA,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,0,1,0,1,1
UNCIA,atencion odontologica,consultas nuevas menores de 5 anos,2012-01-01,33,37,33,37,70
