,group,variable,month,CONSULTAS NUEVAS A MUJER EMBARAZADA O PUÉRPERA CANTIDAD,CONSULTAS NUEVAS A MUJER EMBARAZADA O PUÉRPERA CANTIDAD,TOTALES,TOTALES,TOTALES
CAMATAQUI (C. VILLA ABECIA),atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,33,0,33,33
CAMIRI,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,244,0,244,244
CAPINOTA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,41,0,41,41
CAQUIAVIRI,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,6,0,6,6
CARACOLLO,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,29,0,29,29
CARANAVI,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,10,0,10,10
CARAPARI,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,4,0,4,4
CARIPUYO,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,16,0,16,16
CARMEN RIVERO TORREZ,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,2,0,2,2
CHALLAPATA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,61,0,61,61
CHAQUI,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,8,0,8,8
CHARAGUA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,42,0,42,42
CHAYANTA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,24,0,24,24
CHIMORE,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,47,0,47,47
CHIPAYA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,6,0,6,6
CHOQUE COTA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,1,0,1,1
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,53,0,53,53
CHUMA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,36,0,36,36
CHUQUIHUTA AYLLU JUCUMANI,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,9,0,9,9
CKOCHAS,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,9,0,9,9
CLIZA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,67,0,67,67
COBIJA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,132,0,132,132
COCAPATA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,26,0,26,26
COCHABAMBA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,764,0,764,764
COIPASA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,2,0,2,2
COLCAPIRHUA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,60,0,60,60
"COLCHA ""K""",atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,14,0,14,14
COLOMI,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,138,0,138,138
COLPA BELGICA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,25,0,25,25
COLQUECHACA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,66,0,66,66
COLQUIRI,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,14,0,14,14
COMANCHE,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,10,0,10,10
COMARAPA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,25,0,25,25
CONCEPCION,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,9,0,9,9
COPACABANA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,12,0,12,12
CORIPATA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,43,0,43,43
CORO CORO,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,28,0,28,28
COROICO,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,22,0,22,22
CORQUE,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,5,0,5,5
COTAGAITA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,15,0,15,15
COTOCA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,32,0,32,32
CUATRO CAÑADAS,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,40,0,40,40
CUEVO,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,16,0,16,16
CULPINA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,13,0,13,13
CURAHUARA DE CARANGAS,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,11,0,11,11
CURVA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,18,0,18,18
EL ALTO,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,882,0,882,882
EL PUENTE(STC),atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,18,0,18,18
EL PUENTE(TJA),atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,1,0,1,1
EL TORNO,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,85,0,85,85
EL VILLAR,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,8,0,8,8
ENTRE RIOS TRJ,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,15,0,15,15
ENTRE RIOS CBBA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,57,0,57,57
ESCOMA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,5,0,5,5
EUCALIPTUS,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,21,0,21,21
FERNANDEZ ALONSO,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,66,0,66,66
FILADELFIA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,20,0,20,20
GENERAL SAAVEDRA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,13,0,13,13
GRAL. J.J. PEREZ (CHARAZANI),atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,25,0,25,25
GUANAY,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,51,0,51,51
GUAQUI,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,10,0,10,10
GUAYARAMERIN,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,96,0,96,96
GUTIERREZ,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,56,0,56,56
HUACARETA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,7,0,7,7
HUACAYA (VILLA DE HUACAYA),atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,17,0,17,17
HUACHACALLA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,1,0,1,1
HUANUNI,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,7,0,7,7
HUARACAJE,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,19,0,19,19
HUAYLLAMARCA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,11,0,11,11
ICLA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,12,0,12,12
INCAHUASI,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,13,0,13,13
INQUISIVI,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,8,0,8,8
IRUPANA (VILLA DE LANZA),atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,18,0,18,18
IXIAMAS,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,5,0,5,5
JESUS DE MACHACA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,8,0,8,8
LA ASUNTA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,41,0,41,41
LA GUARDIA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,80,0,80,80
LA PAZ,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,1062,0,1062,1062
LAGUNILLAS,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,12,0,12,12
LAJA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,9,0,9,9
LAS CARRERAS,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,2,0,2,2
LLALLAGUA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,160,0,160,160
LURIBAY,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,17,0,17,17
MACHACAMARCA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,7,0,7,7
MACHARETI,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,7,0,7,7
MAGDALENA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,7,0,7,7
MAIRANA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,94,0,94,94
MALLA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,16,0,16,16
MAPIRI,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,22,0,22,22
MECAPACA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,8,0,8,8
MINEROS,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,14,0,14,14
MIZQUE,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,46,0,46,46
MOCOMOCO,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,7,0,7,7
MOJOCOYA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,12,0,12,12
MONTEAGUDO,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,115,0,115,115
MONTERO,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,120,0,120,120
MORO MORO,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,10,0,10,10
MOROCHATA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,60,0,60,60
OCURI,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,19,0,19,19
OKINAWA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,6,0,6,6
ORURO,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,278,0,278,278
PADCAYA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,5,0,5,5
PADILLA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,22,0,22,22
PAILON,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,76,0,76,76
PALCA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,23,0,23,23
PALOS BLANCOS,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,23,0,23,23
PAMPA AULLAGAS,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,13,0,13,13
PAMPA GRANDE,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,13,0,13,13
PAPEL PAMPA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,12,0,12,12
PASORAPA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,8,0,8,8
PATACAMAYA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,53,0,53,53
PAZÑA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,6,0,6,6
PELECHUCO,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,57,0,57,57
POCOATA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,19,0,19,19
POCONA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,22,0,22,22
POJO (CBBA),atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,46,0,46,46
POOPO,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,4,0,4,4
PORCO,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,8,0,8,8
POROMA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,48,0,48,48
PORONGO,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,27,0,27,27
PORTACHUELO,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,24,0,24,24
PORVENIR,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,37,0,37,37
POSTRER VALLE,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,19,0,19,19
POTOSI,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,492,0,492,492
PRESTO,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,5,0,5,5
PUCARANI,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,17,0,17,17
PUERTO ACOSTA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,7,0,7,7
PUERTO CARABUCO,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,10,0,10,10
PUERTO GONZALO MORENO,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,6,0,6,6
PUERTO PEREZ,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,5,0,5,5
PUERTO QUIJARRO,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,30,0,30,30
PUERTO RICO,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,36,0,36,36
PUERTO SUAREZ,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,62,0,62,62
PUERTO VILLARROEL,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,150,0,150,150
PUNA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,19,0,19,19
PUNATA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,44,0,44,44
QUIABAYA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,10,0,10,10
QUILLACOLLO,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,99,0,99,99
QUIME,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,1,0,1,1
QUIRUSILLAS,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,15,0,15,15
RAVELO,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,18,0,18,18
REYES,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,18,0,18,18
RIBERALTA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,106,0,106,106
ROBORE,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,5,0,5,5
RURRENABAQUE,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,14,0,14,14
SABAYA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,2,0,2,2
SACABA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,226,0,226,226
SACABAMBA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,5,0,5,5
SACACA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,7,0,7,7
SAIPINA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,12,0,12,12
SALINAS DE GARCI MENDOZA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,41,0,41,41
SAMAIPATA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,38,0,38,38
SAN AGUSTIN,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,5,0,5,5
SAN ANDRES,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,1,0,1,1
SAN ANDRES DE MACHACA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,4,0,4,4
SAN ANTONIO DE LOMERIO,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,15,0,15,15
SAN BENITO,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,10,0,10,10
SAN BORJA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,77,0,77,77
SAN BUENA VENTURA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,9,0,9,9
SAN CARLOS,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,41,0,41,41
SAN IGNACIO,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,4,0,4,4
SAN IGNACIO DE VELASCO,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,26,0,26,26
SAN JAVIER(STC),atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,21,0,21,21
SAN JOSE DE CHIQUITOS,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,8,0,8,8
SAN JUAN DE YAPACANI,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,18,0,18,18
SAN JULIAN,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,18,0,18,18
SAN LORENZO(PND),atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,4,0,4,4
SAN LORENZO(TJA),atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,11,0,11,11
SAN LUCAS,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,26,0,26,26
SAN MATIAS,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,9,0,9,9
SAN MIGUEL DE VELASCO,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,46,0,46,46
SAN PEDRO,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,20,0,20,20
SAN PEDRO DE BUENA VISTA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,26,0,26,26
SAN PEDRO DE CURAHUARA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,8,0,8,8
SAN PEDRO DE TIQUINA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,8,0,8,8
SAN RAFAEL,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,10,0,10,10
SAN RAMON BENI,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,34,0,34,34
SAN RAMON SCZ,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,4,0,4,4
SANTA ANA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,33,0,33,33
SANTA CRUZ DE LA SIERRA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,1333,0,1333,1333
SANTA ROSA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,2,0,2,2
SANTA ROSA DEL SARA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,43,0,43,43
SANTIAGO DE CALLAPA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,5,0,5,5
SANTIAGO DE HUARI,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,53,0,53,53
SANTIAGO DE HUATA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,1,0,1,1
SANTIVAÑES,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,1,0,1,1
SANTUARIO DE QUILLACAS,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,10,0,10,10
SAPAHAQUI,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,3,0,3,3
SENA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,14,0,14,14
SHINAOTA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,65,0,65,65
SICA SICA (VILLA AROMA),atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,11,0,11,11
SICAYA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,4,0,4,4
SIPE SIPE,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,143,0,143,143
SOPACHUY,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,44,0,44,44
SORACACHI,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,13,0,13,13
SORATA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,38,0,38,38
SUCRE,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,506,0,506,506
TACACOMA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,11,0,11,11
TACOPAYA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,1,0,1,1
TAHUA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,7,0,7,7
TAPACARI,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,108,0,108,108
TARABUCO,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,50,0,50,50
TARACO,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,15,0,15,15
TARATA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,25,0,25,25
TARIJA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,81,0,81,81
TARVITA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,37,0,37,37
TEOPONTE,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,19,0,19,19
TIAWANACU,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,34,0,34,34
TINGUIPAYA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,5,0,5,5
TIPUANI,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,20,0,20,20
TIQUIPAYA,atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,783,0,783,783
TIRAQUE (CBBA),atencion odontologica,consultas nuevas a mujer embarazada o puerpera,2012-01-01,0,88,0,88,88
