,group,variable,month,ENDODONCIAS CANTIDAD,ENDODONCIAS CANTIDAD,TOTALES,TOTALES,TOTALES
COLLANA,atencion odontologica,endodoncias,2012-01-01,0,4,0,4,4
COLOMI,atencion odontologica,endodoncias,2012-01-01,2,5,2,5,7
COLPA BELGICA,atencion odontologica,endodoncias,2012-01-01,1,1,1,1,2
COLQUECHACA,atencion odontologica,endodoncias,2012-01-01,6,11,6,11,17
COMARAPA,atencion odontologica,endodoncias,2012-01-01,11,9,11,9,20
CONCEPCION,atencion odontologica,endodoncias,2012-01-01,3,3,3,3,6
CORIPATA,atencion odontologica,endodoncias,2012-01-01,8,3,8,3,11
CORO CORO,atencion odontologica,endodoncias,2012-01-01,1,2,1,2,3
COROICO,atencion odontologica,endodoncias,2012-01-01,4,15,4,15,19
CORQUE,atencion odontologica,endodoncias,2012-01-01,5,3,5,3,8
COTAGAITA,atencion odontologica,endodoncias,2012-01-01,9,8,9,8,17
CUATRO CAÑADAS,atencion odontologica,endodoncias,2012-01-01,2,1,2,1,3
CUCHUMUELA (V. G. VILLARROEL),atencion odontologica,endodoncias,2012-01-01,0,1,0,1,1
CUEVO,atencion odontologica,endodoncias,2012-01-01,1,0,1,0,1
CULPINA,atencion odontologica,endodoncias,2012-01-01,3,9,3,9,12
CURAHUARA DE CARANGAS,atencion odontologica,endodoncias,2012-01-01,1,5,1,5,6
DESAGUADERO,atencion odontologica,endodoncias,2012-01-01,19,25,19,25,44
EL ALTO,atencion odontologica,endodoncias,2012-01-01,487,703,487,703,1190
EL PUENTE(TJA),atencion odontologica,endodoncias,2012-01-01,0,12,0,12,12
EL TORNO,atencion odontologica,endodoncias,2012-01-01,21,43,21,43,64
EL VILLAR,atencion odontologica,endodoncias,2012-01-01,1,2,1,2,3
ENTRE RIOS TRJ,atencion odontologica,endodoncias,2012-01-01,3,3,3,3,6
ENTRE RIOS CBBA,atencion odontologica,endodoncias,2012-01-01,11,12,11,12,23
EUCALIPTUS,atencion odontologica,endodoncias,2012-01-01,7,3,7,3,10
FERNANDEZ ALONSO,atencion odontologica,endodoncias,2012-01-01,5,30,5,30,35
FILADELFIA,atencion odontologica,endodoncias,2012-01-01,4,5,4,5,9
GENERAL SAAVEDRA,atencion odontologica,endodoncias,2012-01-01,0,3,0,3,3
GRAL. J.J. PEREZ (CHARAZANI),atencion odontologica,endodoncias,2012-01-01,1,1,1,1,2
GUANAY,atencion odontologica,endodoncias,2012-01-01,11,14,11,14,25
GUAQUI,atencion odontologica,endodoncias,2012-01-01,1,3,1,3,4
GUAYARAMERIN,atencion odontologica,endodoncias,2012-01-01,8,15,8,15,23
GUTIERREZ,atencion odontologica,endodoncias,2012-01-01,13,32,13,32,45
HUACARETA,atencion odontologica,endodoncias,2012-01-01,2,1,2,1,3
HUACAYA (VILLA DE HUACAYA),atencion odontologica,endodoncias,2012-01-01,1,0,1,0,1
HUANUNI,atencion odontologica,endodoncias,2012-01-01,0,4,0,4,4
HUARACAJE,atencion odontologica,endodoncias,2012-01-01,1,3,1,3,4
HUAYLLAMARCA,atencion odontologica,endodoncias,2012-01-01,3,3,3,3,6
HUMANATA,atencion odontologica,endodoncias,2012-01-01,0,1,0,1,1
ICLA,atencion odontologica,endodoncias,2012-01-01,1,2,1,2,3
INCAHUASI,atencion odontologica,endodoncias,2012-01-01,1,2,1,2,3
INQUISIVI,atencion odontologica,endodoncias,2012-01-01,1,0,1,0,1
IRUPANA (VILLA DE LANZA),atencion odontologica,endodoncias,2012-01-01,1,4,1,4,5
JESUS DE MACHACA,atencion odontologica,endodoncias,2012-01-01,8,6,8,6,14
LA ASUNTA,atencion odontologica,endodoncias,2012-01-01,1,6,1,6,7
LA GUARDIA,atencion odontologica,endodoncias,2012-01-01,21,35,21,35,56
LA PAZ,atencion odontologica,endodoncias,2012-01-01,719,858,719,858,1577
LAGUNILLAS,atencion odontologica,endodoncias,2012-01-01,1,4,1,4,5
LAJA,atencion odontologica,endodoncias,2012-01-01,3,7,3,7,10
LAS CARRERAS,atencion odontologica,endodoncias,2012-01-01,5,3,5,3,8
LICOMA PAMPA,atencion odontologica,endodoncias,2012-01-01,1,0,1,0,1
LLALLAGUA,atencion odontologica,endodoncias,2012-01-01,25,35,25,35,60
LURIBAY,atencion odontologica,endodoncias,2012-01-01,0,1,0,1,1
MACHACAMARCA,atencion odontologica,endodoncias,2012-01-01,3,11,3,11,14
MAGDALENA,atencion odontologica,endodoncias,2012-01-01,1,3,1,3,4
MAIRANA,atencion odontologica,endodoncias,2012-01-01,2,9,2,9,11
MAPIRI,atencion odontologica,endodoncias,2012-01-01,3,15,3,15,18
MECAPACA,atencion odontologica,endodoncias,2012-01-01,0,1,0,1,1
MINEROS,atencion odontologica,endodoncias,2012-01-01,19,17,19,17,36
MIZQUE,atencion odontologica,endodoncias,2012-01-01,6,22,6,22,28
MOCOMOCO,atencion odontologica,endodoncias,2012-01-01,0,1,0,1,1
MOJOCOYA,atencion odontologica,endodoncias,2012-01-01,1,1,1,1,2
MONTEAGUDO,atencion odontologica,endodoncias,2012-01-01,15,26,15,26,41
MONTERO,atencion odontologica,endodoncias,2012-01-01,13,16,13,16,29
OKINAWA,atencion odontologica,endodoncias,2012-01-01,7,13,7,13,20
OMEREQUE,atencion odontologica,endodoncias,2012-01-01,3,2,3,2,5
ORURO,atencion odontologica,endodoncias,2012-01-01,359,491,359,491,850
PADCAYA,atencion odontologica,endodoncias,2012-01-01,8,15,8,15,23
PADILLA,atencion odontologica,endodoncias,2012-01-01,5,1,5,1,6
PAILON,atencion odontologica,endodoncias,2012-01-01,2,0,2,0,2
PALCA,atencion odontologica,endodoncias,2012-01-01,2,3,2,3,5
PALOS BLANCOS,atencion odontologica,endodoncias,2012-01-01,3,18,3,18,21
PAMPA AULLAGAS,atencion odontologica,endodoncias,2012-01-01,3,6,3,6,9
PAMPA GRANDE,atencion odontologica,endodoncias,2012-01-01,0,1,0,1,1
PAPEL PAMPA,atencion odontologica,endodoncias,2012-01-01,0,3,0,3,3
PASORAPA,atencion odontologica,endodoncias,2012-01-01,0,1,0,1,1
PATACAMAYA,atencion odontologica,endodoncias,2012-01-01,1,11,1,11,12
PAZÑA,atencion odontologica,endodoncias,2012-01-01,1,2,1,2,3
PELECHUCO,atencion odontologica,endodoncias,2012-01-01,3,1,3,1,4
POCOATA,atencion odontologica,endodoncias,2012-01-01,0,1,0,1,1
POCONA,atencion odontologica,endodoncias,2012-01-01,3,6,3,6,9
POJO (CBBA),atencion odontologica,endodoncias,2012-01-01,4,12,4,12,16
POOPO,atencion odontologica,endodoncias,2012-01-01,6,8,6,8,14
PORCO,atencion odontologica,endodoncias,2012-01-01,0,2,0,2,2
POROMA,atencion odontologica,endodoncias,2012-01-01,4,11,4,11,15
PORONGO,atencion odontologica,endodoncias,2012-01-01,6,2,6,2,8
PORTACHUELO,atencion odontologica,endodoncias,2012-01-01,7,14,7,14,21
PORVENIR,atencion odontologica,endodoncias,2012-01-01,2,8,2,8,10
POTOSI,atencion odontologica,endodoncias,2012-01-01,246,320,246,320,566
PRESTO,atencion odontologica,endodoncias,2012-01-01,1,2,1,2,3
PUERTO ACOSTA,atencion odontologica,endodoncias,2012-01-01,1,3,1,3,4
PUERTO CARABUCO,atencion odontologica,endodoncias,2012-01-01,3,4,3,4,7
PUERTO GONZALO MORENO,atencion odontologica,endodoncias,2012-01-01,4,5,4,5,9
PUERTO RICO,atencion odontologica,endodoncias,2012-01-01,8,12,8,12,20
PUERTO SUAREZ,atencion odontologica,endodoncias,2012-01-01,1,8,1,8,9
PUERTO VILLARROEL,atencion odontologica,endodoncias,2012-01-01,86,98,86,98,184
PUNA,atencion odontologica,endodoncias,2012-01-01,0,2,0,2,2
PUNATA,atencion odontologica,endodoncias,2012-01-01,20,37,20,37,57
QUILLACOLLO,atencion odontologica,endodoncias,2012-01-01,74,86,74,86,160
QUIME,atencion odontologica,endodoncias,2012-01-01,5,3,5,3,8
QUIRUSILLAS,atencion odontologica,endodoncias,2012-01-01,0,2,0,2,2
RAVELO,atencion odontologica,endodoncias,2012-01-01,1,4,1,4,5
REYES,atencion odontologica,endodoncias,2012-01-01,1,4,1,4,5
RIBERALTA,atencion odontologica,endodoncias,2012-01-01,2,8,2,8,10
RURRENABAQUE,atencion odontologica,endodoncias,2012-01-01,1,1,1,1,2
SABAYA,atencion odontologica,endodoncias,2012-01-01,3,9,3,9,12
SACABA,atencion odontologica,endodoncias,2012-01-01,92,117,92,117,209
SACABAMBA,atencion odontologica,endodoncias,2012-01-01,1,0,1,0,1
SAIPINA,atencion odontologica,endodoncias,2012-01-01,4,13,4,13,17
SALINAS DE GARCI MENDOZA,atencion odontologica,endodoncias,2012-01-01,5,9,5,9,14
SAMAIPATA,atencion odontologica,endodoncias,2012-01-01,1,1,1,1,2
SAN AGUSTIN,atencion odontologica,endodoncias,2012-01-01,0,1,0,1,1
SAN ANDRES DE MACHACA,atencion odontologica,endodoncias,2012-01-01,3,0,3,0,3
SAN ANTONIO DE LOMERIO,atencion odontologica,endodoncias,2012-01-01,2,3,2,3,5
SAN BENITO,atencion odontologica,endodoncias,2012-01-01,6,13,6,13,19
SAN BORJA,atencion odontologica,endodoncias,2012-01-01,30,109,30,109,139
SAN BUENA VENTURA,atencion odontologica,endodoncias,2012-01-01,5,3,5,3,8
SAN CARLOS,atencion odontologica,endodoncias,2012-01-01,15,24,15,24,39
SAN IGNACIO,atencion odontologica,endodoncias,2012-01-01,1,2,1,2,3
SAN IGNACIO DE VELASCO,atencion odontologica,endodoncias,2012-01-01,5,13,5,13,18
SAN JAVIER(STC),atencion odontologica,endodoncias,2012-01-01,1,2,1,2,3
SAN JOSE DE CHIQUITOS,atencion odontologica,endodoncias,2012-01-01,3,6,3,6,9
SAN JUAN DE YAPACANI,atencion odontologica,endodoncias,2012-01-01,0,5,0,5,5
SAN JULIAN,atencion odontologica,endodoncias,2012-01-01,4,3,4,3,7
SAN LORENZO(PND),atencion odontologica,endodoncias,2012-01-01,1,4,1,4,5
SAN LORENZO(TJA),atencion odontologica,endodoncias,2012-01-01,21,22,21,22,43
SAN LUCAS,atencion odontologica,endodoncias,2012-01-01,10,12,10,12,22
SAN MATIAS,atencion odontologica,endodoncias,2012-01-01,10,2,10,2,12
SAN MIGUEL DE VELASCO,atencion odontologica,endodoncias,2012-01-01,20,48,20,48,68
SAN PEDRO,atencion odontologica,endodoncias,2012-01-01,4,1,4,1,5
SAN PEDRO DE BUENA VISTA,atencion odontologica,endodoncias,2012-01-01,4,11,4,11,15
SAN PEDRO DE CURAHUARA,atencion odontologica,endodoncias,2012-01-01,2,1,2,1,3
SAN PEDRO DE TIQUINA,atencion odontologica,endodoncias,2012-01-01,1,5,1,5,6
SAN RAFAEL,atencion odontologica,endodoncias,2012-01-01,0,7,0,7,7
SAN RAMON BENI,atencion odontologica,endodoncias,2012-01-01,3,4,3,4,7
SANTA ANA,atencion odontologica,endodoncias,2012-01-01,10,16,10,16,26
SANTA CRUZ DE LA SIERRA,atencion odontologica,endodoncias,2012-01-01,558,593,558,593,1151
SANTA ROSA,atencion odontologica,endodoncias,2012-01-01,0,1,0,1,1
SANTA ROSA DEL SARA,atencion odontologica,endodoncias,2012-01-01,2,2,2,2,4
SANTIAGO DE HUARI,atencion odontologica,endodoncias,2012-01-01,10,21,10,21,31
SANTIAGO DE HUATA,atencion odontologica,endodoncias,2012-01-01,0,1,0,1,1
SANTUARIO DE QUILLACAS,atencion odontologica,endodoncias,2012-01-01,0,4,0,4,4
SAPAHAQUI,atencion odontologica,endodoncias,2012-01-01,1,0,1,0,1
SENA,atencion odontologica,endodoncias,2012-01-01,0,1,0,1,1
SHINAOTA,atencion odontologica,endodoncias,2012-01-01,21,53,21,53,74
SICA SICA (VILLA AROMA),atencion odontologica,endodoncias,2012-01-01,7,12,7,12,19
SIPE SIPE,atencion odontologica,endodoncias,2012-01-01,46,33,46,33,79
SOPACHUY,atencion odontologica,endodoncias,2012-01-01,6,7,6,7,13
SORACACHI,atencion odontologica,endodoncias,2012-01-01,4,1,4,1,5
SORATA,atencion odontologica,endodoncias,2012-01-01,7,25,7,25,32
SUCRE,atencion odontologica,endodoncias,2012-01-01,398,553,398,553,951
TAHUA,atencion odontologica,endodoncias,2012-01-01,0,2,0,2,2
TAPACARI,atencion odontologica,endodoncias,2012-01-01,4,11,4,11,15
TARABUCO,atencion odontologica,endodoncias,2012-01-01,7,2,7,2,9
TARATA,atencion odontologica,endodoncias,2012-01-01,1,5,1,5,6
TARIJA,atencion odontologica,endodoncias,2012-01-01,355,453,355,453,808
TARVITA,atencion odontologica,endodoncias,2012-01-01,1,6,1,6,7
TEOPONTE,atencion odontologica,endodoncias,2012-01-01,1,2,1,2,3
TIAWANACU,atencion odontologica,endodoncias,2012-01-01,4,6,4,6,10
TIQUIPAYA,atencion odontologica,endodoncias,2012-01-01,40,66,40,66,106
TIRAQUE (CBBA),atencion odontologica,endodoncias,2012-01-01,3,9,3,9,12
TITO YUPANQUI (PARQUIPUJIO),atencion odontologica,endodoncias,2012-01-01,1,0,1,0,1
TOCO,atencion odontologica,endodoncias,2012-01-01,8,21,8,21,29
TOLATA,atencion odontologica,endodoncias,2012-01-01,3,7,3,7,10
TOLEDO,atencion odontologica,endodoncias,2012-01-01,0,3,0,3,3
TOMINA,atencion odontologica,endodoncias,2012-01-01,8,9,8,9,17
TORO TORO,atencion odontologica,endodoncias,2012-01-01,0,1,0,1,1
TOTORA(CBBA),atencion odontologica,endodoncias,2012-01-01,1,0,1,0,1
TRINIDAD,atencion odontologica,endodoncias,2012-01-01,42,77,42,77,119
TUPIZA,atencion odontologica,endodoncias,2012-01-01,42,27,42,27,69
TURCO,atencion odontologica,endodoncias,2012-01-01,7,6,7,6,13
UMALA,atencion odontologica,endodoncias,2012-01-01,1,0,1,0,1
UNCIA,atencion odontologica,endodoncias,2012-01-01,10,14,10,14,24
URIONDO (A. CONCEPCION),atencion odontologica,endodoncias,2012-01-01,10,20,10,20,30
URUBICHA,atencion odontologica,endodoncias,2012-01-01,0,2,0,2,2
UYUNI,atencion odontologica,endodoncias,2012-01-01,4,10,4,10,14
VACAS,atencion odontologica,endodoncias,2012-01-01,6,6,6,6,12
VALLEGRANDE,atencion odontologica,endodoncias,2012-01-01,22,55,22,55,77
VIACHA,atencion odontologica,endodoncias,2012-01-01,27,42,27,42,69
VILA VILA,atencion odontologica,endodoncias,2012-01-01,0,1,0,1,1
VILLA CHARCAS,atencion odontologica,endodoncias,2012-01-01,1,6,1,6,7
VILLA MONTES,atencion odontologica,endodoncias,2012-01-01,24,41,24,41,65
VILLA RIVERO,atencion odontologica,endodoncias,2012-01-01,0,6,0,6,6
VILLA SERRANO,atencion odontologica,endodoncias,2012-01-01,4,8,4,8,12
VILLA TUNARI,atencion odontologica,endodoncias,2012-01-01,18,35,18,35,53
VILLA VACA GUZMAN (MUYUPAMPA),atencion odontologica,endodoncias,2012-01-01,2,4,2,4,6
VILLAZON,atencion odontologica,endodoncias,2012-01-01,32,73,32,73,105
VINTO,atencion odontologica,endodoncias,2012-01-01,25,15,25,15,40
VITICHI,atencion odontologica,endodoncias,2012-01-01,4,3,4,3,7
WALDO BALLIVIAN,atencion odontologica,endodoncias,2012-01-01,0,1,0,1,1
WARNES,atencion odontologica,endodoncias,2012-01-01,4,8,4,8,12
YACUIBA,atencion odontologica,endodoncias,2012-01-01,34,56,34,56,90
YAMPARAEZ,atencion odontologica,endodoncias,2012-01-01,8,3,8,3,11
YAPACANI,atencion odontologica,endodoncias,2012-01-01,13,38,13,38,51
YOCALLA,atencion odontologica,endodoncias,2012-01-01,0,2,0,2,2
YOTALA,atencion odontologica,endodoncias,2012-01-01,17,63,17,63,80
YUNCHARA,atencion odontologica,endodoncias,2012-01-01,0,5,0,5,5
ACHACACHI,atencion odontologica,endodoncias,2012-02-01,17,16,17,16,33
ACHOCALLA,atencion odontologica,endodoncias,2012-02-01,4,6,4,6,10
AIQUILE,atencion odontologica,endodoncias,2012-02-01,15,26,15,26,41
ALALAY,atencion odontologica,endodoncias,2012-02-01,0,1,0,1,1
ALCALA,atencion odontologica,endodoncias,2012-02-01,2,1,2,1,3
ANCORAIMES,atencion odontologica,endodoncias,2012-02-01,1,0,1,0,1
ANDAMARCA,atencion odontologica,endodoncias,2012-02-01,1,0,1,0,1
ANTEQUERA,atencion odontologica,endodoncias,2012-02-01,3,8,3,8,11
ANZALDO,atencion odontologica,endodoncias,2012-02-01,3,6,3,6,9
APOLO,atencion odontologica,endodoncias,2012-02-01,0,1,0,1,1
ARAMPAMPA,atencion odontologica,endodoncias,2012-02-01,0,2,0,2,2
ARANI,atencion odontologica,endodoncias,2012-02-01,10,15,10,15,25
ARBIETO,atencion odontologica,endodoncias,2012-02-01,4,12,4,12,16
ARQUE,atencion odontologica,endodoncias,2012-02-01,0,5,0,5,5
ASCENCION DE GUARAYOS,atencion odontologica,endodoncias,2012-02-01,0,5,0,5,5
ATOCHA,atencion odontologica,endodoncias,2012-02-01,31,65,31,65,96
AYATA,atencion odontologica,endodoncias,2012-02-01,4,0,4,0,4
AYO AYO,atencion odontologica,endodoncias,2012-02-01,2,1,2,1,3
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica,endodoncias,2012-02-01,45,48,45,48,93
AZURDUY,atencion odontologica,endodoncias,2012-02-01,3,6,3,6,9
BATALLAS,atencion odontologica,endodoncias,2012-02-01,1,0,1,0,1
BAURES,atencion odontologica,endodoncias,2012-02-01,0,1,0,1,1
BELEN DE URMIRI,atencion odontologica,endodoncias,2012-02-01,0,1,0,1,1
BERMEJO,atencion odontologica,endodoncias,2012-02-01,34,46,34,46,80
BETANZOS,atencion odontologica,endodoncias,2012-02-01,3,3,3,3,6
BOLIVAR,atencion odontologica,endodoncias,2012-02-01,4,16,4,16,20
BOYUIBE,atencion odontologica,endodoncias,2012-02-01,0,4,0,4,4
BUENA VISTA,atencion odontologica,endodoncias,2012-02-01,3,0,3,0,3
CABEZAS,atencion odontologica,endodoncias,2012-02-01,0,1,0,1,1
CAIROMA,atencion odontologica,endodoncias,2012-02-01,0,2,0,2,2
"CAIZA ""D""",atencion odontologica,endodoncias,2012-02-01,2,0,2,0,2
CAJUATA,atencion odontologica,endodoncias,2012-02-01,0,2,0,2,2
CALAMARCA,atencion odontologica,endodoncias,2012-02-01,13,13,13,13,26
CAMARGO,atencion odontologica,endodoncias,2012-02-01,15,30,15,30,45
CAMATAQUI (C. VILLA ABECIA),atencion odontologica,endodoncias,2012-02-01,1,4,1,4,5
CAMIRI,atencion odontologica,endodoncias,2012-02-01,23,44,23,44,67
CAPINOTA,atencion odontologica,endodoncias,2012-02-01,23,13,23,13,36
CARACOLLO,atencion odontologica,endodoncias,2012-02-01,10,12,10,12,22
CARANAVI,atencion odontologica,endodoncias,2012-02-01,1,0,1,0,1
CARAPARI,atencion odontologica,endodoncias,2012-02-01,8,7,8,7,15
CARIPUYO,atencion odontologica,endodoncias,2012-02-01,1,2,1,2,3
CARMEN RIVERO TORREZ,atencion odontologica,endodoncias,2012-02-01,1,4,1,4,5
CHALLAPATA,atencion odontologica,endodoncias,2012-02-01,4,33,4,33,37
CHAQUI,atencion odontologica,endodoncias,2012-02-01,0,3,0,3,3
CHARAGUA,atencion odontologica,endodoncias,2012-02-01,0,10,0,10,10
CHAYANTA,atencion odontologica,endodoncias,2012-02-01,0,3,0,3,3
CHIMORE,atencion odontologica,endodoncias,2012-02-01,7,6,7,6,13
CHIPAYA,atencion odontologica,endodoncias,2012-02-01,0,5,0,5,5
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica,endodoncias,2012-02-01,1,0,1,0,1
CHUMA,atencion odontologica,endodoncias,2012-02-01,15,20,15,20,35
CHUQUIHUTA AYLLU JUCUMANI,atencion odontologica,endodoncias,2012-02-01,0,1,0,1,1
CLIZA,atencion odontologica,endodoncias,2012-02-01,36,32,36,32,68
COBIJA,atencion odontologica,endodoncias,2012-02-01,12,15,12,15,27
COCAPATA,atencion odontologica,endodoncias,2012-02-01,0,8,0,8,8
COCHABAMBA,atencion odontologica,endodoncias,2012-02-01,820,1014,820,1014,1834
COIPASA,atencion odontologica,endodoncias,2012-02-01,0,3,0,3,3
COLCAPIRHUA,atencion odontologica,endodoncias,2012-02-01,22,30,22,30,52
"COLCHA ""K""",atencion odontologica,endodoncias,2012-02-01,0,3,0,3,3
COLOMI,atencion odontologica,endodoncias,2012-02-01,0,12,0,12,12
COLPA BELGICA,atencion odontologica,endodoncias,2012-02-01,0,2,0,2,2
COLQUECHACA,atencion odontologica,endodoncias,2012-02-01,3,5,3,5,8
COLQUIRI,atencion odontologica,endodoncias,2012-02-01,5,4,5,4,9
COMANCHE,atencion odontologica,endodoncias,2012-02-01,3,0,3,0,3
COMARAPA,atencion odontologica,endodoncias,2012-02-01,15,12,15,12,27
CONCEPCION,atencion odontologica,endodoncias,2012-02-01,0,3,0,3,3
CORIPATA,atencion odontologica,endodoncias,2012-02-01,1,3,1,3,4
CORO CORO,atencion odontologica,endodoncias,2012-02-01,5,5,5,5,10
COROICO,atencion odontologica,endodoncias,2012-02-01,5,8,5,8,13
CORQUE,atencion odontologica,endodoncias,2012-02-01,5,0,5,0,5
COTAGAITA,atencion odontologica,endodoncias,2012-02-01,12,7,12,7,19
COTOCA,atencion odontologica,endodoncias,2012-02-01,1,1,1,1,2
CUATRO CAÑADAS,atencion odontologica,endodoncias,2012-02-01,1,2,1,2,3
CUCHUMUELA (V. G. VILLARROEL),atencion odontologica,endodoncias,2012-02-01,1,2,1,2,3
CUEVO,atencion odontologica,endodoncias,2012-02-01,2,1,2,1,3
CULPINA,atencion odontologica,endodoncias,2012-02-01,4,6,4,6,10
CURAHUARA DE CARANGAS,atencion odontologica,endodoncias,2012-02-01,3,1,3,1,4
CURVA,atencion odontologica,endodoncias,2012-02-01,0,1,0,1,1
DESAGUADERO,atencion odontologica,endodoncias,2012-02-01,0,1,0,1,1
EL ALTO,atencion odontologica,endodoncias,2012-02-01,338,436,338,436,774
EL CHORO,atencion odontologica,endodoncias,2012-02-01,1,0,1,0,1
EL PUENTE(STC),atencion odontologica,endodoncias,2012-02-01,0,1,0,1,1
EL PUENTE(TJA),atencion odontologica,endodoncias,2012-02-01,0,5,0,5,5
EL TORNO,atencion odontologica,endodoncias,2012-02-01,10,27,10,27,37
EL VILLAR,atencion odontologica,endodoncias,2012-02-01,0,1,0,1,1
ENTRE RIOS TRJ,atencion odontologica,endodoncias,2012-02-01,0,8,0,8,8
ENTRE RIOS CBBA,atencion odontologica,endodoncias,2012-02-01,11,18,11,18,29
ESCOMA,atencion odontologica,endodoncias,2012-02-01,10,4,10,4,14
EUCALIPTUS,atencion odontologica,endodoncias,2012-02-01,11,5,11,5,16
FERNANDEZ ALONSO,atencion odontologica,endodoncias,2012-02-01,7,6,7,6,13
FILADELFIA,atencion odontologica,endodoncias,2012-02-01,0,1,0,1,1
GRAL. J.J. PEREZ (CHARAZANI),atencion odontologica,endodoncias,2012-02-01,1,0,1,0,1
GUANAY,atencion odontologica,endodoncias,2012-02-01,4,13,4,13,17
GUAQUI,atencion odontologica,endodoncias,2012-02-01,0,1,0,1,1
GUAYARAMERIN,atencion odontologica,endodoncias,2012-02-01,5,14,5,14,19
GUTIERREZ,atencion odontologica,endodoncias,2012-02-01,6,22,6,22,28
HUACARETA,atencion odontologica,endodoncias,2012-02-01,4,0,4,0,4
HUACHACALLA,atencion odontologica,endodoncias,2012-02-01,3,2,3,2,5
