,group,variable,month,PERIODONCIAS CANTIDAD,PERIODONCIAS CANTIDAD,TOTALES,TOTALES,TOTALES
COMARAPA,atencion odontologica,periodoncias,2012-01-01,5,12,5,12,17
CONCEPCION,atencion odontologica,periodoncias,2012-01-01,3,4,3,4,7
CORIPATA,atencion odontologica,periodoncias,2012-01-01,0,1,0,1,1
CORO CORO,atencion odontologica,periodoncias,2012-01-01,1,2,1,2,3
COROICO,atencion odontologica,periodoncias,2012-01-01,0,3,0,3,3
CORQUE,atencion odontologica,periodoncias,2012-01-01,0,2,0,2,2
COTAGAITA,atencion odontologica,periodoncias,2012-01-01,12,10,12,10,22
COTOCA,atencion odontologica,periodoncias,2012-01-01,7,5,7,5,12
CUATRO CAÑADAS,atencion odontologica,periodoncias,2012-01-01,2,3,2,3,5
CUCHUMUELA (V. G. VILLARROEL),atencion odontologica,periodoncias,2012-01-01,3,4,3,4,7
CUEVO,atencion odontologica,periodoncias,2012-01-01,0,3,0,3,3
CULPINA,atencion odontologica,periodoncias,2012-01-01,1,1,1,1,2
CURAHUARA DE CARANGAS,atencion odontologica,periodoncias,2012-01-01,0,4,0,4,4
DESAGUADERO,atencion odontologica,periodoncias,2012-01-01,0,1,0,1,1
EL ALTO,atencion odontologica,periodoncias,2012-01-01,222,342,222,342,564
EL CHORO,atencion odontologica,periodoncias,2012-01-01,0,1,0,1,1
EL PUENTE(STC),atencion odontologica,periodoncias,2012-01-01,0,1,0,1,1
EL PUENTE(TJA),atencion odontologica,periodoncias,2012-01-01,1,0,1,0,1
EL TORNO,atencion odontologica,periodoncias,2012-01-01,8,20,8,20,28
EL VILLAR,atencion odontologica,periodoncias,2012-01-01,4,7,4,7,11
ENTRE RIOS TRJ,atencion odontologica,periodoncias,2012-01-01,2,7,2,7,9
ENTRE RIOS CBBA,atencion odontologica,periodoncias,2012-01-01,48,69,48,69,117
ESCOMA,atencion odontologica,periodoncias,2012-01-01,1,5,1,5,6
EUCALIPTUS,atencion odontologica,periodoncias,2012-01-01,0,2,0,2,2
FERNANDEZ ALONSO,atencion odontologica,periodoncias,2012-01-01,2,3,2,3,5
FILADELFIA,atencion odontologica,periodoncias,2012-01-01,0,1,0,1,1
GENERAL SAAVEDRA,atencion odontologica,periodoncias,2012-01-01,1,2,1,2,3
GUANAY,atencion odontologica,periodoncias,2012-01-01,3,19,3,19,22
GUAQUI,atencion odontologica,periodoncias,2012-01-01,1,0,1,0,1
GUAYARAMERIN,atencion odontologica,periodoncias,2012-01-01,20,31,20,31,51
GUTIERREZ,atencion odontologica,periodoncias,2012-01-01,5,12,5,12,17
HUACAYA (VILLA DE HUACAYA),atencion odontologica,periodoncias,2012-01-01,1,0,1,0,1
HUACHACALLA,atencion odontologica,periodoncias,2012-01-01,1,0,1,0,1
HUANUNI,atencion odontologica,periodoncias,2012-01-01,10,9,10,9,19
HUARACAJE,atencion odontologica,periodoncias,2012-01-01,1,13,1,13,14
HUAYLLAMARCA,atencion odontologica,periodoncias,2012-01-01,8,7,8,7,15
ICLA,atencion odontologica,periodoncias,2012-01-01,0,1,0,1,1
INQUISIVI,atencion odontologica,periodoncias,2012-01-01,3,0,3,0,3
IRUPANA (VILLA DE LANZA),atencion odontologica,periodoncias,2012-01-01,8,15,8,15,23
IXIAMAS,atencion odontologica,periodoncias,2012-01-01,1,1,1,1,2
JESUS DE MACHACA,atencion odontologica,periodoncias,2012-01-01,3,3,3,3,6
LA ASUNTA,atencion odontologica,periodoncias,2012-01-01,1,2,1,2,3
LA GUARDIA,atencion odontologica,periodoncias,2012-01-01,4,12,4,12,16
LA PAZ,atencion odontologica,periodoncias,2012-01-01,403,566,403,566,969
LAGUNILLAS,atencion odontologica,periodoncias,2012-01-01,0,4,0,4,4
LAS CARRERAS,atencion odontologica,periodoncias,2012-01-01,0,1,0,1,1
LICOMA PAMPA,atencion odontologica,periodoncias,2012-01-01,4,1,4,1,5
LLALLAGUA,atencion odontologica,periodoncias,2012-01-01,4,10,4,10,14
MACHACAMARCA,atencion odontologica,periodoncias,2012-01-01,1,5,1,5,6
MAGDALENA,atencion odontologica,periodoncias,2012-01-01,23,45,23,45,68
MAIRANA,atencion odontologica,periodoncias,2012-01-01,3,7,3,7,10
MALLA,atencion odontologica,periodoncias,2012-01-01,0,1,0,1,1
MAPIRI,atencion odontologica,periodoncias,2012-01-01,1,3,1,3,4
MECAPACA,atencion odontologica,periodoncias,2012-01-01,8,3,8,3,11
MINEROS,atencion odontologica,periodoncias,2012-01-01,0,2,0,2,2
MIZQUE,atencion odontologica,periodoncias,2012-01-01,0,5,0,5,5
MONTEAGUDO,atencion odontologica,periodoncias,2012-01-01,4,9,4,9,13
MONTERO,atencion odontologica,periodoncias,2012-01-01,40,39,40,39,79
MOROCHATA,atencion odontologica,periodoncias,2012-01-01,0,19,0,19,19
OKINAWA,atencion odontologica,periodoncias,2012-01-01,2,8,2,8,10
OMEREQUE,atencion odontologica,periodoncias,2012-01-01,1,4,1,4,5
ORURO,atencion odontologica,periodoncias,2012-01-01,75,142,75,142,217
PADCAYA,atencion odontologica,periodoncias,2012-01-01,1,0,1,0,1
PADILLA,atencion odontologica,periodoncias,2012-01-01,3,8,3,8,11
PAILON,atencion odontologica,periodoncias,2012-01-01,1,0,1,0,1
PALCA,atencion odontologica,periodoncias,2012-01-01,0,3,0,3,3
PALOS BLANCOS,atencion odontologica,periodoncias,2012-01-01,1,5,1,5,6
PAPEL PAMPA,atencion odontologica,periodoncias,2012-01-01,1,0,1,0,1
PASORAPA,atencion odontologica,periodoncias,2012-01-01,1,0,1,0,1
PATACAMAYA,atencion odontologica,periodoncias,2012-01-01,0,12,0,12,12
PAZÑA,atencion odontologica,periodoncias,2012-01-01,1,0,1,0,1
PELECHUCO,atencion odontologica,periodoncias,2012-01-01,3,2,3,2,5
POCOATA,atencion odontologica,periodoncias,2012-01-01,0,1,0,1,1
POCONA,atencion odontologica,periodoncias,2012-01-01,1,7,1,7,8
POJO (CBBA),atencion odontologica,periodoncias,2012-01-01,4,18,4,18,22
POOPO,atencion odontologica,periodoncias,2012-01-01,4,2,4,2,6
POROMA,atencion odontologica,periodoncias,2012-01-01,0,1,0,1,1
PORONGO,atencion odontologica,periodoncias,2012-01-01,11,11,11,11,22
PORTACHUELO,atencion odontologica,periodoncias,2012-01-01,7,8,7,8,15
PORVENIR,atencion odontologica,periodoncias,2012-01-01,3,7,3,7,10
POSTRER VALLE,atencion odontologica,periodoncias,2012-01-01,2,0,2,0,2
POTOSI,atencion odontologica,periodoncias,2012-01-01,52,70,52,70,122
PUCARANI,atencion odontologica,periodoncias,2012-01-01,1,0,1,0,1
PUERTO ACOSTA,atencion odontologica,periodoncias,2012-01-01,5,4,5,4,9
PUERTO CARABUCO,atencion odontologica,periodoncias,2012-01-01,6,18,6,18,24
PUERTO QUIJARRO,atencion odontologica,periodoncias,2012-01-01,0,4,0,4,4
PUERTO RICO,atencion odontologica,periodoncias,2012-01-01,5,18,5,18,23
PUERTO SUAREZ,atencion odontologica,periodoncias,2012-01-01,0,5,0,5,5
PUERTO VILLARROEL,atencion odontologica,periodoncias,2012-01-01,4,71,4,71,75
PUNA,atencion odontologica,periodoncias,2012-01-01,0,1,0,1,1
PUNATA,atencion odontologica,periodoncias,2012-01-01,4,7,4,7,11
QUILLACOLLO,atencion odontologica,periodoncias,2012-01-01,10,28,10,28,38
QUIME,atencion odontologica,periodoncias,2012-01-01,0,1,0,1,1
REYES,atencion odontologica,periodoncias,2012-01-01,0,29,0,29,29
RIBERALTA,atencion odontologica,periodoncias,2012-01-01,1,15,1,15,16
ROBORE,atencion odontologica,periodoncias,2012-01-01,7,6,7,6,13
SACABA,atencion odontologica,periodoncias,2012-01-01,57,93,57,93,150
SACABAMBA,atencion odontologica,periodoncias,2012-01-01,2,4,2,4,6
SACACA,atencion odontologica,periodoncias,2012-01-01,2,2,2,2,4
SAIPINA,atencion odontologica,periodoncias,2012-01-01,0,2,0,2,2
SAMAIPATA,atencion odontologica,periodoncias,2012-01-01,0,4,0,4,4
SAN ANDRES DE MACHACA,atencion odontologica,periodoncias,2012-01-01,1,0,1,0,1
SAN ANTONIO DE LOMERIO,atencion odontologica,periodoncias,2012-01-01,1,1,1,1,2
SAN BENITO,atencion odontologica,periodoncias,2012-01-01,3,7,3,7,10
SAN BORJA,atencion odontologica,periodoncias,2012-01-01,43,19,43,19,62
SAN BUENA VENTURA,atencion odontologica,periodoncias,2012-01-01,3,4,3,4,7
SAN CARLOS,atencion odontologica,periodoncias,2012-01-01,13,9,13,9,22
SAN IGNACIO,atencion odontologica,periodoncias,2012-01-01,11,14,11,14,25
SAN IGNACIO DE VELASCO,atencion odontologica,periodoncias,2012-01-01,1,2,1,2,3
SAN JAVIER(STC),atencion odontologica,periodoncias,2012-01-01,6,15,6,15,21
SAN JOSE DE CHIQUITOS,atencion odontologica,periodoncias,2012-01-01,0,1,0,1,1
SAN JULIAN,atencion odontologica,periodoncias,2012-01-01,2,3,2,3,5
SAN LORENZO(PND),atencion odontologica,periodoncias,2012-01-01,0,2,0,2,2
SAN LORENZO(TJA),atencion odontologica,periodoncias,2012-01-01,1,4,1,4,5
SAN LUCAS,atencion odontologica,periodoncias,2012-01-01,0,5,0,5,5
SAN MATIAS,atencion odontologica,periodoncias,2012-01-01,2,0,2,0,2
SAN MIGUEL DE VELASCO,atencion odontologica,periodoncias,2012-01-01,2,5,2,5,7
SAN PEDRO,atencion odontologica,periodoncias,2012-01-01,0,1,0,1,1
SAN PEDRO DE BUENA VISTA,atencion odontologica,periodoncias,2012-01-01,5,0,5,0,5
SAN RAFAEL,atencion odontologica,periodoncias,2012-01-01,18,26,18,26,44
SANTA ANA,atencion odontologica,periodoncias,2012-01-01,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,atencion odontologica,periodoncias,2012-01-01,459,676,459,676,1135
SANTA ROSA,atencion odontologica,periodoncias,2012-01-01,1,3,1,3,4
SANTA ROSA DEL SARA,atencion odontologica,periodoncias,2012-01-01,0,8,0,8,8
SANTIAGO DE HUARI,atencion odontologica,periodoncias,2012-01-01,3,13,3,13,16
SANTIAGO DE HUATA,atencion odontologica,periodoncias,2012-01-01,1,0,1,0,1
SANTIVAÑES,atencion odontologica,periodoncias,2012-01-01,0,2,0,2,2
SANTUARIO DE QUILLACAS,atencion odontologica,periodoncias,2012-01-01,0,1,0,1,1
SHINAOTA,atencion odontologica,periodoncias,2012-01-01,1,12,1,12,13
SICA SICA (VILLA AROMA),atencion odontologica,periodoncias,2012-01-01,0,1,0,1,1
SIPE SIPE,atencion odontologica,periodoncias,2012-01-01,6,18,6,18,24
SOPACHUY,atencion odontologica,periodoncias,2012-01-01,1,18,1,18,19
SORACACHI,atencion odontologica,periodoncias,2012-01-01,0,1,0,1,1
SORATA,atencion odontologica,periodoncias,2012-01-01,1,5,1,5,6
SUCRE,atencion odontologica,periodoncias,2012-01-01,206,313,206,313,519
TAPACARI,atencion odontologica,periodoncias,2012-01-01,5,4,5,4,9
TARABUCO,atencion odontologica,periodoncias,2012-01-01,1,18,1,18,19
TARATA,atencion odontologica,periodoncias,2012-01-01,0,13,0,13,13
TARIJA,atencion odontologica,periodoncias,2012-01-01,89,140,89,140,229
TARVITA,atencion odontologica,periodoncias,2012-01-01,1,3,1,3,4
TEOPONTE,atencion odontologica,periodoncias,2012-01-01,3,6,3,6,9
TIAWANACU,atencion odontologica,periodoncias,2012-01-01,3,5,3,5,8
TIPUANI,atencion odontologica,periodoncias,2012-01-01,0,6,0,6,6
TIQUIPAYA,atencion odontologica,periodoncias,2012-01-01,37,144,37,144,181
TIRAQUE (CBBA),atencion odontologica,periodoncias,2012-01-01,2,13,2,13,15
TOCO,atencion odontologica,periodoncias,2012-01-01,12,16,12,16,28
TOLATA,atencion odontologica,periodoncias,2012-01-01,12,31,12,31,43
TOLEDO,atencion odontologica,periodoncias,2012-01-01,0,2,0,2,2
TOMINA,atencion odontologica,periodoncias,2012-01-01,11,24,11,24,35
TORO TORO,atencion odontologica,periodoncias,2012-01-01,2,1,2,1,3
TOTORA(CBBA),atencion odontologica,periodoncias,2012-01-01,6,16,6,16,22
TRINIDAD,atencion odontologica,periodoncias,2012-01-01,23,15,23,15,38
TUPIZA,atencion odontologica,periodoncias,2012-01-01,9,7,9,7,16
TURCO,atencion odontologica,periodoncias,2012-01-01,1,1,1,1,2
URIONDO (A. CONCEPCION),atencion odontologica,periodoncias,2012-01-01,1,16,1,16,17
URUBICHA,atencion odontologica,periodoncias,2012-01-01,0,10,0,10,10
UYUNI,atencion odontologica,periodoncias,2012-01-01,1,0,1,0,1
VACAS,atencion odontologica,periodoncias,2012-01-01,1,4,1,4,5
VALLEGRANDE,atencion odontologica,periodoncias,2012-01-01,4,8,4,8,12
VIACHA,atencion odontologica,periodoncias,2012-01-01,28,32,28,32,60
VILA VILA,atencion odontologica,periodoncias,2012-01-01,0,3,0,3,3
VILLA CHARCAS,atencion odontologica,periodoncias,2012-01-01,1,1,1,1,2
VILLA MONTES,atencion odontologica,periodoncias,2012-01-01,1,4,1,4,5
VILLA NUEVA (LOMA ALTA),atencion odontologica,periodoncias,2012-01-01,1,0,1,0,1
VILLA RIVERO,atencion odontologica,periodoncias,2012-01-01,7,3,7,3,10
VILLA SERRANO,atencion odontologica,periodoncias,2012-01-01,2,1,2,1,3
VILLA TUNARI,atencion odontologica,periodoncias,2012-01-01,35,78,35,78,113
VILLAZON,atencion odontologica,periodoncias,2012-01-01,1,8,1,8,9
VINTO,atencion odontologica,periodoncias,2012-01-01,1,13,1,13,14
VITICHI,atencion odontologica,periodoncias,2012-01-01,1,2,1,2,3
WARNES,atencion odontologica,periodoncias,2012-01-01,7,22,7,22,29
YACUIBA,atencion odontologica,periodoncias,2012-01-01,10,27,10,27,37
YAMPARAEZ,atencion odontologica,periodoncias,2012-01-01,0,5,0,5,5
YAPACANI,atencion odontologica,periodoncias,2012-01-01,1,12,1,12,13
YOCALLA,atencion odontologica,periodoncias,2012-01-01,0,2,0,2,2
YUNCHARA,atencion odontologica,periodoncias,2012-01-01,2,9,2,9,11
ACACIO,atencion odontologica,periodoncias,2012-02-01,0,1,0,1,1
ACHACACHI,atencion odontologica,periodoncias,2012-02-01,1,8,1,8,9
ACHOCALLA,atencion odontologica,periodoncias,2012-02-01,6,12,6,12,18
AIQUILE,atencion odontologica,periodoncias,2012-02-01,5,12,5,12,17
ALCALA,atencion odontologica,periodoncias,2012-02-01,2,4,2,4,6
ANCORAIMES,atencion odontologica,periodoncias,2012-02-01,2,12,2,12,14
ANZALDO,atencion odontologica,periodoncias,2012-02-01,2,1,2,1,3
APOLO,atencion odontologica,periodoncias,2012-02-01,0,9,0,9,9
ARAMPAMPA,atencion odontologica,periodoncias,2012-02-01,0,1,0,1,1
ARANI,atencion odontologica,periodoncias,2012-02-01,7,15,7,15,22
ARBIETO,atencion odontologica,periodoncias,2012-02-01,9,44,9,44,53
ARQUE,atencion odontologica,periodoncias,2012-02-01,1,0,1,0,1
ASCENCION DE GUARAYOS,atencion odontologica,periodoncias,2012-02-01,1,4,1,4,5
ATOCHA,atencion odontologica,periodoncias,2012-02-01,12,10,12,10,22
AYATA,atencion odontologica,periodoncias,2012-02-01,1,0,1,0,1
AYO AYO,atencion odontologica,periodoncias,2012-02-01,1,0,1,0,1
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica,periodoncias,2012-02-01,4,37,4,37,41
AZURDUY,atencion odontologica,periodoncias,2012-02-01,1,1,1,1,2
BATALLAS,atencion odontologica,periodoncias,2012-02-01,0,6,0,6,6
BELLA FLOR,atencion odontologica,periodoncias,2012-02-01,0,1,0,1,1
BERMEJO,atencion odontologica,periodoncias,2012-02-01,20,48,20,48,68
BETANZOS,atencion odontologica,periodoncias,2012-02-01,1,9,1,9,10
BOLIVAR,atencion odontologica,periodoncias,2012-02-01,27,28,27,28,55
BUENA VISTA,atencion odontologica,periodoncias,2012-02-01,1,1,1,1,2
CABEZAS,atencion odontologica,periodoncias,2012-02-01,11,33,11,33,44
CAIROMA,atencion odontologica,periodoncias,2012-02-01,1,4,1,4,5
"CAIZA ""D""",atencion odontologica,periodoncias,2012-02-01,0,2,0,2,2
CAMARGO,atencion odontologica,periodoncias,2012-02-01,0,2,0,2,2
CAMATAQUI (C. VILLA ABECIA),atencion odontologica,periodoncias,2012-02-01,0,1,0,1,1
CAMIRI,atencion odontologica,periodoncias,2012-02-01,14,57,14,57,71
CAPINOTA,atencion odontologica,periodoncias,2012-02-01,3,6,3,6,9
CARACOLLO,atencion odontologica,periodoncias,2012-02-01,11,11,11,11,22
CARANAVI,atencion odontologica,periodoncias,2012-02-01,5,8,5,8,13
CARAPARI,atencion odontologica,periodoncias,2012-02-01,4,9,4,9,13
CARIPUYO,atencion odontologica,periodoncias,2012-02-01,1,1,1,1,2
CARMEN RIVERO TORREZ,atencion odontologica,periodoncias,2012-02-01,2,16,2,16,18
CHALLAPATA,atencion odontologica,periodoncias,2012-02-01,1,4,1,4,5
CHARAGUA,atencion odontologica,periodoncias,2012-02-01,0,3,0,3,3
CHARAÑA,atencion odontologica,periodoncias,2012-02-01,1,0,1,0,1
CHAYANTA,atencion odontologica,periodoncias,2012-02-01,1,1,1,1,2
CHIMORE,atencion odontologica,periodoncias,2012-02-01,3,5,3,5,8
CHIPAYA,atencion odontologica,periodoncias,2012-02-01,3,0,3,0,3
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica,periodoncias,2012-02-01,1,3,1,3,4
CHUMA,atencion odontologica,periodoncias,2012-02-01,11,19,11,19,30
CHUQUIHUTA AYLLU JUCUMANI,atencion odontologica,periodoncias,2012-02-01,0,1,0,1,1
CLIZA,atencion odontologica,periodoncias,2012-02-01,30,45,30,45,75
COBIJA,atencion odontologica,periodoncias,2012-02-01,8,10,8,10,18
COCAPATA,atencion odontologica,periodoncias,2012-02-01,1,5,1,5,6
COCHABAMBA,atencion odontologica,periodoncias,2012-02-01,518,771,518,771,1289
COIPASA,atencion odontologica,periodoncias,2012-02-01,12,1,12,1,13
COLCAPIRHUA,atencion odontologica,periodoncias,2012-02-01,0,8,0,8,8
COLOMI,atencion odontologica,periodoncias,2012-02-01,26,19,26,19,45
COLPA BELGICA,atencion odontologica,periodoncias,2012-02-01,0,11,0,11,11
COLQUECHACA,atencion odontologica,periodoncias,2012-02-01,1,4,1,4,5
COLQUIRI,atencion odontologica,periodoncias,2012-02-01,1,1,1,1,2
COMANCHE,atencion odontologica,periodoncias,2012-02-01,2,7,2,7,9
COMARAPA,atencion odontologica,periodoncias,2012-02-01,7,8,7,8,15
CONCEPCION,atencion odontologica,periodoncias,2012-02-01,3,2,3,2,5
CORIPATA,atencion odontologica,periodoncias,2012-02-01,0,1,0,1,1
CORO CORO,atencion odontologica,periodoncias,2012-02-01,2,0,2,0,2
COTAGAITA,atencion odontologica,periodoncias,2012-02-01,6,3,6,3,9
COTOCA,atencion odontologica,periodoncias,2012-02-01,0,10,0,10,10
CUATRO CAÑADAS,atencion odontologica,periodoncias,2012-02-01,9,5,9,5,14
CUCHUMUELA (V. G. VILLARROEL),atencion odontologica,periodoncias,2012-02-01,18,12,18,12,30
CUEVO,atencion odontologica,periodoncias,2012-02-01,0,1,0,1,1
CULPINA,atencion odontologica,periodoncias,2012-02-01,1,1,1,1,2
DESAGUADERO,atencion odontologica,periodoncias,2012-02-01,0,1,0,1,1
EL ALTO,atencion odontologica,periodoncias,2012-02-01,135,240,135,240,375
EL PUENTE(STC),atencion odontologica,periodoncias,2012-02-01,2,1,2,1,3
EL PUENTE(TJA),atencion odontologica,periodoncias,2012-02-01,2,1,2,1,3
EL TORNO,atencion odontologica,periodoncias,2012-02-01,14,23,14,23,37
EL VILLAR,atencion odontologica,periodoncias,2012-02-01,3,17,3,17,20
ENTRE RIOS TRJ,atencion odontologica,periodoncias,2012-02-01,2,0,2,0,2
ENTRE RIOS CBBA,atencion odontologica,periodoncias,2012-02-01,5,19,5,19,24
EUCALIPTUS,atencion odontologica,periodoncias,2012-02-01,0,2,0,2,2
FERNANDEZ ALONSO,atencion odontologica,periodoncias,2012-02-01,2,7,2,7,9
FILADELFIA,atencion odontologica,periodoncias,2012-02-01,1,7,1,7,8
GENERAL SAAVEDRA,atencion odontologica,periodoncias,2012-02-01,0,5,0,5,5
GRAL. J.J. PEREZ (CHARAZANI),atencion odontologica,periodoncias,2012-02-01,0,3,0,3,3
GUANAY,atencion odontologica,periodoncias,2012-02-01,2,13,2,13,15
GUAYARAMERIN,atencion odontologica,periodoncias,2012-02-01,12,45,12,45,57
GUTIERREZ,atencion odontologica,periodoncias,2012-02-01,2,18,2,18,20
HUACARETA,atencion odontologica,periodoncias,2012-02-01,0,1,0,1,1
HUACHACALLA,atencion odontologica,periodoncias,2012-02-01,3,0,3,0,3
HUANUNI,atencion odontologica,periodoncias,2012-02-01,5,8,5,8,13
HUARACAJE,atencion odontologica,periodoncias,2012-02-01,0,2,0,2,2
HUAYLLAMARCA,atencion odontologica,periodoncias,2012-02-01,1,0,1,0,1
HUMANATA,atencion odontologica,periodoncias,2012-02-01,0,3,0,3,3
INQUISIVI,atencion odontologica,periodoncias,2012-02-01,1,0,1,0,1
IRUPANA (VILLA DE LANZA),atencion odontologica,periodoncias,2012-02-01,0,7,0,7,7
JESUS DE MACHACA,atencion odontologica,periodoncias,2012-02-01,2,3,2,3,5
LA ASUNTA,atencion odontologica,periodoncias,2012-02-01,1,1,1,1,2
LA GUARDIA,atencion odontologica,periodoncias,2012-02-01,9,27,9,27,36
LA PAZ,atencion odontologica,periodoncias,2012-02-01,406,653,406,653,1059
LAGUNILLAS,atencion odontologica,periodoncias,2012-02-01,2,12,2,12,14
LAJA,atencion odontologica,periodoncias,2012-02-01,1,2,1,2,3
LAS CARRERAS,atencion odontologica,periodoncias,2012-02-01,1,2,1,2,3
LICOMA PAMPA,atencion odontologica,periodoncias,2012-02-01,1,0,1,0,1
LLALLAGUA,atencion odontologica,periodoncias,2012-02-01,1,5,1,5,6
MACHACAMARCA,atencion odontologica,periodoncias,2012-02-01,1,5,1,5,6
MAGDALENA,atencion odontologica,periodoncias,2012-02-01,0,1,0,1,1
MAIRANA,atencion odontologica,periodoncias,2012-02-01,1,6,1,6,7
MAPIRI,atencion odontologica,periodoncias,2012-02-01,0,1,0,1,1
MECAPACA,atencion odontologica,periodoncias,2012-02-01,8,30,8,30,38
MINEROS,atencion odontologica,periodoncias,2012-02-01,0,2,0,2,2
MIZQUE,atencion odontologica,periodoncias,2012-02-01,0,9,0,9,9
MOCOMOCO,atencion odontologica,periodoncias,2012-02-01,0,1,0,1,1
MOJOCOYA,atencion odontologica,periodoncias,2012-02-01,2,3,2,3,5
MONTEAGUDO,atencion odontologica,periodoncias,2012-02-01,8,11,8,11,19
MONTERO,atencion odontologica,periodoncias,2012-02-01,40,39,40,39,79
MOROCHATA,atencion odontologica,periodoncias,2012-02-01,4,9,4,9,13
NUEVO MANOA (NUEVA ESPERANZA),atencion odontologica,periodoncias,2012-02-01,5,10,5,10,15
OKINAWA,atencion odontologica,periodoncias,2012-02-01,2,1,2,1,3
OMEREQUE,atencion odontologica,periodoncias,2012-02-01,2,3,2,3,5
ORURO,atencion odontologica,periodoncias,2012-02-01,157,256,157,256,413
PADCAYA,atencion odontologica,periodoncias,2012-02-01,16,26,16,26,42
PADILLA,atencion odontologica,periodoncias,2012-02-01,0,3,0,3,3
PAILON,atencion odontologica,periodoncias,2012-02-01,7,0,7,0,7
