,group,variable,month,CONSULTAS NUEVAS DE 5 A 60 AÑOS CANTIDAD,CONSULTAS NUEVAS DE 5 A 60 AÑOS CANTIDAD,TOTALES,TOTALES,TOTALES
CAMATAQUI (C. VILLA ABECIA),atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,21,48,21,48,69
CAMIRI,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,329,494,329,494,823
CAPINOTA,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,142,167,142,167,309
CAQUIAVIRI,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,32,60,32,60,92
CARACOLLO,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,133,188,133,188,321
CARANAVI,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,74,121,74,121,195
CARAPARI,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,151,274,151,274,425
CARIPUYO,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,23,27,23,27,50
CARMEN RIVERO TORREZ,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,14,24,14,24,38
CATACORA,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,21,34,21,34,55
CHALLAPATA,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,104,212,104,212,316
CHAQUI,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,8,15,8,15,23
CHARAGUA,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,84,170,84,170,254
CHAYANTA,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,25,62,25,62,87
CHIMORE,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,60,114,60,114,174
CHIPAYA,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,9,31,9,31,40
CHOQUE COTA,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,6,5,6,5,11
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,81,159,81,159,240
CHUMA,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,143,206,143,206,349
CHUQUIHUTA AYLLU JUCUMANI,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,14,35,14,35,49
CKOCHAS,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,10,4,10,4,14
CLIZA,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,198,333,198,333,531
COBIJA,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,220,260,220,260,480
COCAPATA,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,17,87,17,87,104
COCHABAMBA,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,1841,2980,1841,2980,4821
COIPASA,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,13,7,13,7,20
COLCAPIRHUA,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,75,129,75,129,204
"COLCHA ""K""",atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,31,23,31,23,54
COLLANA,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,19,24,19,24,43
COLOMI,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,88,166,88,166,254
COLPA BELGICA,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,10,45,10,45,55
COLQUECHACA,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,66,129,66,129,195
COLQUIRI,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,38,45,38,45,83
COMANCHE,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,23,65,23,65,88
COMARAPA,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,154,285,154,285,439
CONCEPCION,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,29,46,29,46,75
COPACABANA,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,25,35,25,35,60
CORIPATA,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,87,134,87,134,221
CORO CORO,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,74,110,74,110,184
COROICO,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,85,145,85,145,230
CORQUE,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,26,21,26,21,47
COTAGAITA,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,77,121,77,121,198
COTOCA,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,45,71,45,71,116
CUATRO CAÑADAS,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,62,114,62,114,176
CUCHUMUELA (V. G. VILLARROEL),atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,7,9,7,9,16
CUEVO,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,24,57,24,57,81
CULPINA,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,44,71,44,71,115
CURAHUARA DE CARANGAS,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,34,101,34,101,135
CURVA,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,14,34,14,34,48
DESAGUADERO,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,31,60,31,60,91
EL ALTO,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,5202,7321,5202,7321,12523
EL CHORO,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,12,15,12,15,27
EL PUENTE(STC),atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,22,52,22,52,74
EL PUENTE(TJA),atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,41,142,41,142,183
EL TORNO,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,82,251,82,251,333
EL VILLAR,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,2,6,2,6,8
ENTRE RIOS TRJ,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,101,230,101,230,331
ENTRE RIOS CBBA,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,40,69,40,69,109
ESCOMA,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,55,62,55,62,117
EUCALIPTUS,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,31,43,31,43,74
FERNANDEZ ALONSO,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,41,95,41,95,136
FILADELFIA,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,30,50,30,50,80
GENERAL SAAVEDRA,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,40,74,40,74,114
GRAL. J.J. PEREZ (CHARAZANI),atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,67,104,67,104,171
GUANAY,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,46,129,46,129,175
GUAQUI,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,68,114,68,114,182
GUAYARAMERIN,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,251,404,251,404,655
GUTIERREZ,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,112,192,112,192,304
HUACARETA,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,66,63,66,63,129
HUACAYA (VILLA DE HUACAYA),atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,8,31,8,31,39
HUACHACALLA,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,18,19,18,19,37
HUANUNI,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,89,166,89,166,255
HUARACAJE,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,7,23,7,23,30
HUARINA,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,4,7,4,7,11
HUAYLLAMARCA,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,38,62,38,62,100
HUMANATA,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,20,37,20,37,57
ICHOCA,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,1,19,1,19,20
ICLA,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,19,37,19,37,56
INCAHUASI,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,20,48,20,48,68
INQUISIVI,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,34,67,34,67,101
IRUPANA (VILLA DE LANZA),atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,47,122,47,122,169
IXIAMAS,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,49,44,49,44,93
JESUS DE MACHACA,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,86,172,86,172,258
LA ASUNTA,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,48,115,48,115,163
LA GUARDIA,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,93,195,93,195,288
LA PAZ,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,6155,8598,6155,8598,14753
LAGUNILLAS,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,22,45,22,45,67
LAJA,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,39,41,39,41,80
LAS CARRERAS,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,23,20,23,20,43
LICOMA PAMPA,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,9,10,9,10,19
LLALLAGUA,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,126,290,126,290,416
LORETO,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,4,1,4,1,5
LURIBAY,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,34,51,34,51,85
MACHACAMARCA,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,45,73,45,73,118
MACHARETI,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,6,18,6,18,24
MAGDALENA,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,127,249,127,249,376
MAIRANA,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,36,79,36,79,115
MALLA,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,46,24,46,24,70
MAPIRI,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,39,121,39,121,160
MECAPACA,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,62,81,62,81,143
MINEROS,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,52,106,52,106,158
MIZQUE,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,40,100,40,100,140
MOCOMOCO,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,32,47,32,47,79
MOJOCOYA,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,103,121,103,121,224
MONTEAGUDO,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,86,301,86,301,387
MONTERO,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,146,355,146,355,501
MORO MORO,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,12,37,12,37,49
MOROCHATA,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,24,30,24,30,54
NUEVO MANOA (NUEVA ESPERANZA),atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,7,11,7,11,18
OCURI,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,24,63,24,63,87
OKINAWA,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,17,70,17,70,87
OMEREQUE,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,11,18,11,18,29
ORURO,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,1476,2296,1476,2296,3772
PADCAYA,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,76,159,76,159,235
PADILLA,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,149,184,149,184,333
PAILON,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,65,139,65,139,204
PALCA,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,50,124,50,124,174
PALOS BLANCOS,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,60,118,60,118,178
PAMPA AULLAGAS,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,13,19,13,19,32
PAMPA GRANDE,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,9,20,9,20,29
PAPEL PAMPA,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,40,41,40,41,81
PASORAPA,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,27,21,27,21,48
PATACAMAYA,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,59,166,59,166,225
PAZÑA,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,23,57,23,57,80
PELECHUCO,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,27,81,27,81,108
POCOATA,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,23,42,23,42,65
POCONA,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,62,119,62,119,181
POJO (CBBA),atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,61,119,61,119,180
POOPO,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,91,154,91,154,245
PORCO,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,11,21,11,21,32
POROMA,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,135,184,135,184,319
PORONGO,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,56,84,56,84,140
PORTACHUELO,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,101,241,101,241,342
PORVENIR,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,59,134,59,134,193
POSTRER VALLE,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,13,22,13,22,35
POTOSI,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,1176,2293,1176,2293,3469
PRESTO,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,10,13,10,13,23
PUCARA,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,7,9,7,9,16
PUCARANI,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,96,119,96,119,215
PUERTO ACOSTA,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,28,53,28,53,81
PUERTO CARABUCO,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,98,138,98,138,236
PUERTO GONZALO MORENO,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,36,85,36,85,121
PUERTO PEREZ,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,24,33,24,33,57
PUERTO QUIJARRO,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,15,16,15,16,31
PUERTO RICO,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,132,190,132,190,322
PUERTO SUAREZ,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,11,64,11,64,75
PUERTO VILLARROEL,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,85,335,85,335,420
PUNA,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,118,203,118,203,321
PUNATA,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,262,449,262,449,711
QUIABAYA,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,12,26,12,26,38
QUILLACOLLO,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,292,525,292,525,817
QUIME,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,111,156,111,156,267
QUIRUSILLAS,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,9,25,9,25,34
RAVELO,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,8,20,8,20,28
REYES,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,25,54,25,54,79
RIBERALTA,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,59,151,59,151,210
ROBORE,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,151,147,151,147,298
RURRENABAQUE,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,75,159,75,159,234
SABAYA,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,76,72,76,72,148
SACABA,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,2773,3750,2773,3750,6523
SACABAMBA,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,16,3,16,3,19
SACACA,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,32,51,32,51,83
SAIPINA,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,30,67,30,67,97
SALINAS DE GARCI MENDOZA,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,43,60,43,60,103
SAMAIPATA,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,42,103,42,103,145
SAN ANDRES,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,22,23,22,23,45
SAN ANDRES DE MACHACA,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,30,26,30,26,56
SAN ANTONIO DE LOMERIO,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,15,31,15,31,46
SAN BENITO,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,30,94,30,94,124
SAN BORJA,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,118,215,118,215,333
SAN BUENA VENTURA,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,4,5,4,5,9
SAN CARLOS,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,72,125,72,125,197
SAN IGNACIO,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,111,193,111,193,304
SAN IGNACIO DE VELASCO,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,72,125,72,125,197
SAN JAVIER(BNI),atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,13,14,13,14,27
SAN JAVIER(STC),atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,31,40,31,40,71
SAN JOSE DE CHIQUITOS,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,50,112,50,112,162
SAN JUAN DE YAPACANI,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,54,74,54,74,128
SAN JULIAN,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,50,62,50,62,112
SAN LORENZO(PND),atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,14,20,14,20,34
SAN LORENZO(TJA),atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,191,404,191,404,595
SAN LUCAS,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,63,115,63,115,178
SAN MATIAS,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,23,50,23,50,73
SAN MIGUEL DE VELASCO,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,113,98,113,98,211
SAN PEDRO,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,26,54,26,54,80
SAN PEDRO DE BUENA VISTA,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,37,89,37,89,126
SAN PEDRO DE CURAHUARA,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,22,74,22,74,96
SAN PEDRO DE TIQUINA,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,45,56,45,56,101
SAN RAFAEL,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,11,22,11,22,33
SAN RAMON BENI,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,44,72,44,72,116
SAN RAMON SCZ,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,8,14,8,14,22
SANTA ANA,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,230,528,230,528,758
SANTA CRUZ DE LA SIERRA,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,2213,3956,2213,3956,6169
SANTA ROSA,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,44,76,44,76,120
SANTA ROSA DEL SARA,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,69,103,69,103,172
SANTIAGO DE CALLAPA,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,19,24,19,24,43
SANTIAGO DE HUARI,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,169,314,169,314,483
SANTIAGO DE HUATA,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,14,22,14,22,36
SANTIAGO DE MACHACA,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,4,8,4,8,12
SANTIVAÑES,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,26,69,26,69,95
SANTUARIO DE QUILLACAS,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,8,24,8,24,32
SAPAHAQUI,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,19,33,19,33,52
SENA,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,12,36,12,36,48
SHINAOTA,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,77,125,77,125,202
SICA SICA (VILLA AROMA),atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,27,54,27,54,81
SICAYA,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,2,29,2,29,31
SIPE SIPE,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,102,188,102,188,290
SOPACHUY,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,57,123,57,123,180
SORACACHI,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,52,48,52,48,100
SORATA,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,42,81,42,81,123
SUCRE,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,2564,3976,2564,3976,6540
TACACOMA,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,62,74,62,74,136
TACOPAYA,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,21,30,21,30,51
TAHUA,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,8,10,8,10,18
TAPACARI,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,76,115,76,115,191
TARABUCO,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,46,98,46,98,144
TARACO,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,33,66,33,66,99
TARATA,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,103,217,103,217,320
TARIJA,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,1083,2266,1083,2266,3349
TARVITA,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,145,285,145,285,430
TEOPONTE,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,21,48,21,48,69
TIAWANACU,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,50,111,50,111,161
TINGUIPAYA,atencion odontologica,consultas nuevas de 5 a 60 anos,2012-01-01,9,17,9,17,26
