,group,variable,month,CONSULTAS NUEVAS DE 60 AÑOS Y MÁS CANTIDAD,CONSULTAS NUEVAS DE 60 AÑOS Y MÁS CANTIDAD,TOTALES,TOTALES,TOTALES
CARIPUYO,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,2,1,2,1,3
CARMEN RIVERO TORREZ,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,1,0,1,0,1
CATACORA,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,0,1,0,1,1
CHALLAPATA,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,9,10,9,10,19
CHAQUI,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,2,4,2,4,6
CHARAGUA,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,5,7,5,7,12
CHIMORE,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,5,2,5,2,7
CHIPAYA,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,2,0,2,0,2
CHOQUE COTA,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,1,2,1,2,3
CHUMA,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,23,10,23,10,33
CHUQUIHUTA AYLLU JUCUMANI,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,0,2,0,2,2
CKOCHAS,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,0,4,0,4,4
CLIZA,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,13,25,13,25,38
COBIJA,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,4,2,4,2,6
COCAPATA,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,3,0,3,0,3
COCHABAMBA,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,257,266,257,266,523
COIPASA,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,4,2,4,2,6
COLCAPIRHUA,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,0,8,0,8,8
"COLCHA ""K""",atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,0,2,0,2,2
COLLANA,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,2,1,2,1,3
COLOMI,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,2,2,2,2,4
COLPA BELGICA,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,5,1,5,1,6
COLQUECHACA,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,5,5,5,5,10
COLQUIRI,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,1,1,1,1,2
COMANCHE,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,7,7,7,7,14
COMARAPA,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,13,7,13,7,20
CONCEPCION,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,7,7,7,7,14
COPACABANA,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,4,7,4,7,11
CORIPATA,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,4,4,4,4,8
CORO CORO,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,3,6,3,6,9
COROICO,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,9,6,9,6,15
CORQUE,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,3,0,3,0,3
COTAGAITA,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,10,2,10,2,12
COTOCA,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,1,3,1,3,4
CUATRO CAÑADAS,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,0,6,0,6,6
CUEVO,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,1,4,1,4,5
CULPINA,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,4,5,4,5,9
CURAHUARA DE CARANGAS,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,0,8,0,8,8
CURVA,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,4,2,4,2,6
DESAGUADERO,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,7,2,7,2,9
EL ALTO,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,212,252,212,252,464
EL CHORO,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,1,10,1,10,11
EL PUENTE(STC),atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,3,1,3,1,4
EL PUENTE(TJA),atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,1,3,1,3,4
EL TORNO,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,39,18,39,18,57
ENTRE RIOS TRJ,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,1,5,1,5,6
ENTRE RIOS CBBA,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,4,2,4,2,6
EUCALIPTUS,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,1,3,1,3,4
FERNANDEZ ALONSO,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,9,8,9,8,17
FILADELFIA,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,4,1,4,1,5
GENERAL SAAVEDRA,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,8,2,8,2,10
GRAL. J.J. PEREZ (CHARAZANI),atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,4,14,4,14,18
GUANAY,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,1,1,1,1,2
GUAQUI,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,26,33,26,33,59
GUAYARAMERIN,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,7,2,7,2,9
GUTIERREZ,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,7,7,7,7,14
HUACARETA,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,2,6,2,6,8
HUACHACALLA,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,2,2,2,2,4
HUANUNI,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,5,8,5,8,13
HUARACAJE,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,6,1,6,1,7
HUARINA,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,3,1,3,1,4
HUAYLLAMARCA,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,7,12,7,12,19
HUMANATA,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,7,5,7,5,12
ICHOCA,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,2,6,2,6,8
ICLA,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,2,6,2,6,8
INCAHUASI,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,2,3,2,3,5
INQUISIVI,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,1,2,1,2,3
IRUPANA (VILLA DE LANZA),atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,17,1,17,1,18
JESUS DE MACHACA,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,23,28,23,28,51
LA ASUNTA,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,1,4,1,4,5
LA GUARDIA,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,9,8,9,8,17
LA PAZ,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,841,591,841,591,1432
LAGUNILLAS,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,4,6,4,6,10
LAJA,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,13,14,13,14,27
LAS CARRERAS,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,5,1,5,1,6
LICOMA PAMPA,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,5,1,5,1,6
LLALLAGUA,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,6,3,6,3,9
LURIBAY,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,2,0,2,0,2
MACHACAMARCA,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,2,12,2,12,14
MACHARETI,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,2,0,2,0,2
MAGDALENA,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,2,1,2,1,3
MAIRANA,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,0,1,0,1,1
MALLA,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,0,1,0,1,1
MAPIRI,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,6,21,6,21,27
MECAPACA,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,12,8,12,8,20
MINEROS,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,5,2,5,2,7
MIZQUE,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,5,1,5,1,6
MOCOMOCO,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,1,1,1,1,2
MOJOCOYA,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,2,3,2,3,5
MONTEAGUDO,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,1,0,1,0,1
MONTERO,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,26,10,26,10,36
MORO MORO,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,1,0,1,0,1
MOROCHATA,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,2,1,2,1,3
OCURI,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,2,2,2,2,4
OKINAWA,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,1,6,1,6,7
ORURO,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,192,180,192,180,372
PADCAYA,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,2,8,2,8,10
PADILLA,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,5,12,5,12,17
PAILON,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,6,3,6,3,9
PALCA,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,3,8,3,8,11
PALOS BLANCOS,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,8,5,8,5,13
PAMPA GRANDE,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,1,1,1,1,2
PAPEL PAMPA,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,9,6,9,6,15
PASORAPA,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,0,1,0,1,1
PATACAMAYA,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,11,7,11,7,18
PAZÑA,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,4,2,4,2,6
PELECHUCO,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,1,0,1,0,1
POCOATA,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,1,8,1,8,9
POCONA,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,6,8,6,8,14
POJO (CBBA),atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,1,2,1,2,3
POOPO,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,7,7,7,7,14
POROMA,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,3,0,3,0,3
PORONGO,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,5,0,5,0,5
PORTACHUELO,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,3,2,3,2,5
PORVENIR,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,0,1,0,1,1
POSTRER VALLE,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,2,2,2,2,4
POTOSI,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,50,44,50,44,94
PRESTO,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,1,0,1,0,1
PUCARA,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,1,3,1,3,4
PUCARANI,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,17,4,17,4,21
PUERTO ACOSTA,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,24,9,24,9,33
PUERTO CARABUCO,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,3,11,3,11,14
PUERTO GONZALO MORENO,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,2,0,2,0,2
PUERTO PEREZ,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,9,8,9,8,17
PUERTO RICO,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,6,2,6,2,8
PUERTO SUAREZ,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,6,7,6,7,13
PUERTO VILLARROEL,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,15,9,15,9,24
PUNA,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,11,27,11,27,38
PUNATA,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,18,12,18,12,30
QUIABAYA,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,4,2,4,2,6
QUILLACOLLO,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,14,39,14,39,53
QUIME,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,19,10,19,10,29
QUIRUSILLAS,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,2,0,2,0,2
RAVELO,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,2,5,2,5,7
REYES,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,1,385,1,385,386
RIBERALTA,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,10,11,10,11,21
ROBORE,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,1,2,1,2,3
RURRENABAQUE,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,8,13,8,13,21
SABAYA,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,8,7,8,7,15
SACABA,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,12,12,12,12,24
SACABAMBA,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,0,13,0,13,13
SACACA,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,2,0,2,0,2
SALINAS DE GARCI MENDOZA,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,0,9,0,9,9
SAMAIPATA,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,3,5,3,5,8
SAN AGUSTIN,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,12,9,12,9,21
SAN ANDRES DE MACHACA,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,18,8,18,8,26
SAN ANTONIO DE LOMERIO,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,1,2,1,2,3
SAN BENITO,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,3,9,3,9,12
SAN BORJA,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,6,6,6,6,12
SAN BUENA VENTURA,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,3,3,3,3,6
SAN CARLOS,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,4,9,4,9,13
SAN IGNACIO,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,4,1,4,1,5
SAN IGNACIO DE VELASCO,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,26,31,26,31,57
SAN JAVIER(STC),atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,3,2,3,2,5
SAN JOSE DE CHIQUITOS,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,2,2,2,2,4
SAN JUAN DE YAPACANI,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,2,1,2,1,3
SAN JULIAN,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,8,7,8,7,15
SAN LORENZO(PND),atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,0,2,0,2,2
SAN LORENZO(TJA),atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,10,19,10,19,29
SAN LUCAS,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,7,6,7,6,13
SAN MATIAS,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,2,5,2,5,7
SAN MIGUEL DE VELASCO,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,4,3,4,3,7
SAN PEDRO,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,1,0,1,0,1
SAN PEDRO DE BUENA VISTA,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,2,7,2,7,9
SAN PEDRO DE CURAHUARA,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,17,11,17,11,28
SAN PEDRO DE TIQUINA,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,4,15,4,15,19
SAN RAMON BENI,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,2,1,2,1,3
SAN RAMON SCZ,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,1,1,1,1,2
SANTA ANA,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,4,2,4,2,6
SANTA CRUZ DE LA SIERRA,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,169,149,169,149,318
SANTA ROSA,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,3,1,3,1,4
SANTA ROSA DEL SARA,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,6,2,6,2,8
SANTIAGO DE CALLAPA,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,1,0,1,0,1
SANTIAGO DE HUARI,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,25,10,25,10,35
SANTIAGO DE HUATA,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,14,5,14,5,19
SANTIAGO DE MACHACA,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,1,2,1,2,3
SANTUARIO DE QUILLACAS,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,2,1,2,1,3
SAPAHAQUI,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,4,2,4,2,6
SENA,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,3,0,3,0,3
SHINAOTA,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,6,6,6,6,12
SICA SICA (VILLA AROMA),atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,17,3,17,3,20
SICAYA,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,0,1,0,1,1
SIPE SIPE,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,6,7,6,7,13
SOPACHUY,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,8,6,8,6,14
SORACACHI,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,1,0,1,0,1
SORATA,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,13,3,13,3,16
SUCRE,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,137,151,137,151,288
TACACOMA,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,5,0,5,0,5
TACOPAYA,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,0,17,0,17,17
TAPACARI,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,3,7,3,7,10
TARABUCO,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,4,28,4,28,32
TARACO,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,50,25,50,25,75
TARATA,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,2,1,2,1,3
TARIJA,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,35,35,35,35,70
TARVITA,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,19,20,19,20,39
TEOPONTE,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,2,1,2,1,3
TIAWANACU,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,13,23,13,23,36
TINGUIPAYA,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,1,0,1,0,1
TIPUANI,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,1,1,1,1,2
TIQUIPAYA,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,3,9,3,9,12
TIRAQUE (CBBA),atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,0,2,0,2,2
TITO YUPANQUI (PARQUIPUJIO),atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,1,0,1,0,1
TOCO,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,8,19,8,19,27
TOLATA,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,10,11,10,11,21
TOLEDO,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,5,1,5,1,6
TOMAVE,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,4,5,4,5,9
TOMINA,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,14,8,14,8,22
TORO TORO,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,1,5,1,5,6
TOTORA(CBBA),atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,6,7,6,7,13
TRIGAL,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,2,3,2,3,5
TRINIDAD,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,26,9,26,9,35
TUPIZA,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,14,17,14,17,31
TURCO,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,8,3,8,3,11
UNCIA,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,1,5,1,5,6
URIONDO (A. CONCEPCION),atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,2,1,2,1,3
URUBICHA,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,1,0,1,0,1
UYUNI,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,9,3,9,3,12
VACAS,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,1,8,1,8,9
VALLEGRANDE,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,4,0,4,0,4
VIACHA,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,14,10,14,10,24
VILLA CHARCAS,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,0,1,0,1,1
VILLA MONTES,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,6,14,6,14,20
VILLA SERRANO,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,1,1,1,1,2
VILLA TUNARI,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,11,5,11,5,16
VILLA VACA GUZMAN (MUYUPAMPA),atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,3,2,3,2,5
VILLAZON,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,10,20,10,20,30
VINTO,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,1,2,1,2,3
VITICHI,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,8,1,8,1,9
WALDO BALLIVIAN,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,3,0,3,0,3
WARNES,atencion odontologica,consultas nuevas de 60 anos y mas,2012-01-01,2,10,2,10,12
