,group,variable,month,TOTAL PENTAVALENTE 1RA DOSIS DENTRO,TOTAL PENTAVALENTE 1RA DOSIS DENTRO,TOTAL PENTAVALENTE 1RA DOSIS FUERA,TOTAL PENTAVALENTE 1RA DOSIS FUERA,TOTALES,TOTALES,TOTALES
ENTRE RIOS CBBA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-01-01,0,1,0,0,0,1,1
EXALTACION,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-01-01,2,0,0,0,2,0,2
FERNANDEZ ALONSO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-01-01,0,1,0,0,0,1,1
GENERAL SAAVEDRA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-01-01,1,1,0,0,1,1,2
HUANUNI,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-01-01,3,3,0,0,3,3,6
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-01-01,2,1,0,1,2,2,4
LA PAZ,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-01-01,5,9,0,0,5,9,14
MONTERO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-01-01,2,0,1,0,3,0,3
OKINAWA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-01-01,1,0,0,0,1,0,1
ORURO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-01-01,4,7,0,0,4,7,11
PAILON,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-01-01,14,14,1,1,15,15,30
PAMPA GRANDE,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-01-01,1,0,0,0,1,0,1
POJO (CBBA),vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-01-01,0,1,0,0,0,1,1
POTOSI,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-01-01,2,6,4,2,6,8,14
PUNA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-01-01,0,0,1,1,1,1,2
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-01-01,1,3,6,5,7,8,15
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-01-01,3,1,0,0,3,1,4
SAN ANDRES,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-01-01,0,1,0,0,0,1,1
SAN JOAQUIN,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-01-01,5,3,5,1,10,4,14
SAN JUAN DE YAPACANI,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-01-01,0,0,1,0,1,0,1
SAN LORENZO(TJA),vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-01-01,0,3,0,1,0,4,4
SAN PEDRO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-01-01,0,1,0,0,0,1,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-01-01,47,31,2,3,49,34,83
SANTIAGO DE CALLAPA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-01-01,0,0,1,0,1,0,1
SHINAOTA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-01-01,0,0,0,1,0,1,1
SICA SICA (VILLA AROMA),vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-01-01,0,0,1,0,1,0,1
SICAYA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-01-01,1,1,0,0,1,1,2
SIPE SIPE,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-01-01,2,1,0,0,2,1,3
SOPACHUY,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-01-01,1,1,0,3,1,4,5
SORACACHI,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-01-01,5,1,0,0,5,1,6
SORATA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-01-01,0,0,0,1,0,1,1
SUCRE,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-01-01,5,1,0,0,5,1,6
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-01-01,8,7,0,0,8,7,15
UYUNI,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-01-01,0,2,0,0,0,2,2
VIACHA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-01-01,1,2,0,1,1,3,4
VILLA TUNARI,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-01-01,0,1,0,0,0,1,1
VINTO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-01-01,2,5,0,0,2,5,7
WARNES,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-01-01,1,3,0,0,1,3,4
YANACACHI,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-01-01,0,1,0,0,0,1,1
YAPACANI,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-01-01,0,1,0,0,0,1,1
YOCALLA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-01-01,0,1,0,0,0,1,1
APOLO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-02-01,0,0,1,0,1,0,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-02-01,1,0,0,0,1,0,1
AZURDUY,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-02-01,0,0,0,2,0,2,2
BERMEJO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-02-01,0,0,0,1,0,1,1
BUENA VISTA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-02-01,1,2,0,0,1,2,3
CABEZAS,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-02-01,0,0,2,1,2,1,3
CAMIRI,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-02-01,0,4,0,0,0,4,4
CARAPARI,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-02-01,0,2,0,0,0,2,2
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-02-01,1,0,0,0,1,0,1
CHOQUE COTA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-02-01,0,1,0,0,0,1,1
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-02-01,1,0,0,1,1,1,2
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-02-01,1,0,0,0,1,0,1
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-02-01,19,21,2,1,21,22,43
COLCAPIRHUA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-02-01,0,1,0,0,0,1,1
COLQUECHACA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-02-01,0,0,0,3,0,3,3
CONCEPCION,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-02-01,0,0,0,2,0,2,2
DESAGUADERO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-02-01,0,0,1,0,1,0,1
EL ALTO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-02-01,7,6,1,1,8,7,15
EL CHORO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-02-01,0,0,1,0,1,0,1
EL TORNO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-02-01,1,0,0,0,1,0,1
ESCOMA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-02-01,0,1,0,0,0,1,1
FILADELFIA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-02-01,1,0,0,0,1,0,1
GENERAL SAAVEDRA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-02-01,1,0,0,0,1,0,1
HUANUNI,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-02-01,0,0,0,1,0,1,1
INCAHUASI,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-02-01,1,0,0,0,1,0,1
LA ASUNTA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-02-01,1,0,0,0,1,0,1
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-02-01,1,0,0,0,1,0,1
LA PAZ,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-02-01,9,17,0,0,9,17,26
LLALLAGUA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-02-01,0,2,0,0,0,2,2
MONTERO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-02-01,8,8,0,1,8,9,17
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-02-01,0,1,0,0,0,1,1
OCURI,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-02-01,0,0,0,1,0,1,1
ORURO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-02-01,1,2,0,0,1,2,3
PAILON,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-02-01,6,4,2,7,8,11,19
PALCA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-02-01,4,7,0,0,4,7,11
PORCO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-02-01,1,0,0,0,1,0,1
POTOSI,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-02-01,3,2,0,0,3,2,5
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-02-01,0,2,0,0,0,2,2
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-02-01,2,1,1,2,3,3,6
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-02-01,2,0,0,0,2,0,2
RURRENABAQUE,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-02-01,2,0,0,0,2,0,2
SACABA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-02-01,18,17,0,0,18,17,35
SAN ANDRES,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-02-01,2,1,0,0,2,1,3
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-02-01,0,0,1,0,1,0,1
SAN CARLOS,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-02-01,1,0,0,0,1,0,1
SAN IGNACIO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-02-01,1,0,1,0,2,0,2
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-02-01,0,1,0,0,0,1,1
SAN JULIAN,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-02-01,0,0,1,2,1,2,3
SAN MATIAS,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-02-01,1,3,0,0,1,3,4
SAN MIGUEL DE VELASCO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-02-01,1,0,0,0,1,0,1
SANTA ANA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-02-01,1,0,0,0,1,0,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-02-01,92,80,4,5,96,85,181
SANTA ROSA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-02-01,0,0,1,0,1,0,1
SHINAOTA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-02-01,0,0,0,1,0,1,1
SIPE SIPE,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-02-01,3,0,0,0,3,0,3
SUCRE,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-02-01,3,1,0,0,3,1,4
TACOBAMBA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-02-01,0,3,0,0,0,3,3
TARATA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-02-01,0,0,1,0,1,0,1
TIAWANACU,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-02-01,2,0,0,2,2,2,4
TINGUIPAYA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-02-01,0,1,0,0,0,1,1
TIPUANI,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-02-01,0,1,0,0,0,1,1
TIQUIPAYA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-02-01,0,1,0,0,0,1,1
TIRAQUE (CBBA),vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-02-01,0,1,1,0,1,1,2
TOMINA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-02-01,2,1,0,1,2,2,4
TOTORA(CBBA),vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-02-01,1,0,0,0,1,0,1
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-02-01,2,1,1,0,3,1,4
VIACHA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-02-01,3,0,0,3,3,3,6
VILLA NUEVA (LOMA ALTA),vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-02-01,0,0,1,0,1,0,1
VILLA TUNARI,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-02-01,3,0,0,0,3,0,3
ACHACACHI,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-03-01,0,1,0,1,0,2,2
ACHOCALLA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-03-01,2,1,0,0,2,1,3
ALCALA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-03-01,1,0,0,0,1,0,1
ANTEQUERA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-03-01,0,0,1,0,1,0,1
ARBIETO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-03-01,1,0,0,0,1,0,1
AYO AYO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-03-01,1,0,0,0,1,0,1
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-03-01,4,6,1,1,5,7,12
BERMEJO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-03-01,2,0,0,0,2,0,2
BETANZOS,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-03-01,0,1,0,0,0,1,1
CABEZAS,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-03-01,0,0,0,1,0,1,1
CAMIRI,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-03-01,7,3,0,0,7,3,10
CARANAVI,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-03-01,1,1,0,1,1,2,3
CARAPARI,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-03-01,1,0,0,0,1,0,1
CARIPUYO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-03-01,0,0,1,3,1,3,4
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-03-01,0,0,0,1,0,1,1
CHIMORE,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-03-01,0,0,0,1,0,1,1
CHIPAYA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-03-01,0,1,1,2,1,3,4
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-03-01,2,0,0,0,2,0,2
COCAPATA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-03-01,0,0,1,1,1,1,2
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-03-01,15,27,0,2,15,29,44
COLOMI,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-03-01,1,0,0,0,1,0,1
COLQUIRI,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-03-01,0,1,0,14,0,15,15
CONCEPCION,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-03-01,1,1,0,0,1,1,2
CORQUE,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-03-01,1,0,0,0,1,0,1
DESAGUADERO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-03-01,1,0,0,0,1,0,1
EL ALTO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-03-01,10,6,2,0,12,6,18
EL CHORO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-03-01,0,0,1,0,1,0,1
EXALTACION,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-03-01,1,1,6,3,7,4,11
GENERAL SAAVEDRA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-03-01,0,0,2,1,2,1,3
HUACARETA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-03-01,0,1,0,0,0,1,1
LA ASUNTA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-03-01,4,2,0,1,4,3,7
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-03-01,2,1,0,0,2,1,3
LA PAZ,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-03-01,7,7,3,0,10,7,17
MALLA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-03-01,1,2,0,0,1,2,3
MONTERO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-03-01,12,3,0,0,12,3,15
OCURI,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-03-01,1,2,0,0,1,2,3
ORURO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-03-01,5,4,0,1,5,5,10
PAILON,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-03-01,10,7,10,8,20,15,35
PALCA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-03-01,6,3,1,0,7,3,10
PAPEL PAMPA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-03-01,0,0,1,0,1,0,1
POCOATA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-03-01,0,0,0,1,0,1,1
POOPO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-03-01,1,0,0,0,1,0,1
PORCO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-03-01,1,0,0,0,1,0,1
POTOSI,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-03-01,1,2,2,0,3,2,5
PUERTO GONZALO MORENO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-03-01,0,0,3,1,3,1,4
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-03-01,0,0,0,3,0,3,3
RAVELO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-03-01,0,0,1,0,1,0,1
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-03-01,4,5,0,0,4,5,9
SACABA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-03-01,2,2,0,3,2,5,7
SALINAS DE GARCI MENDOZA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-03-01,0,0,0,1,0,1,1
SAMAIPATA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-03-01,1,0,0,0,1,0,1
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-03-01,1,1,0,0,1,1,2
SAN BUENA VENTURA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-03-01,0,2,0,0,0,2,2
SAN CARLOS,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-03-01,0,1,0,0,0,1,1
SAN JULIAN,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-03-01,0,0,0,2,0,2,2
SAN LORENZO(PND),vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-03-01,0,0,3,5,3,5,8
SAN PEDRO DE QUEMES,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-03-01,1,0,0,0,1,0,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-03-01,34,26,3,2,37,28,65
SANTA ROSA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-03-01,0,0,0,1,0,1,1
SANTIAGO DE HUARI,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-03-01,0,1,0,0,0,1,1
SANTIAGO DE HUATA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-03-01,0,0,1,0,1,0,1
SHINAOTA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-03-01,0,1,0,0,0,1,1
SICA SICA (VILLA AROMA),vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-03-01,1,0,0,0,1,0,1
SIPE SIPE,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-03-01,5,1,0,0,5,1,6
SUCRE,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-03-01,3,4,0,1,3,5,8
TARACO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-03-01,3,2,0,0,3,2,5
TARIJA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-03-01,1,0,3,0,4,0,4
TEOPONTE,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-03-01,0,1,0,0,0,1,1
TIAWANACU,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-03-01,0,0,2,0,2,0,2
TINGUIPAYA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-03-01,2,1,0,0,2,1,3
TIQUIPAYA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-03-01,0,3,4,0,4,3,7
TOMAVE,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-03-01,1,0,0,0,1,0,1
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-03-01,6,16,2,0,8,16,24
VIACHA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-03-01,1,0,0,0,1,0,1
VILLA MONTES,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-03-01,0,1,0,1,0,2,2
VILLA SERRANO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-03-01,0,1,0,0,0,1,1
VILLA TUNARI,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-03-01,3,1,0,0,3,1,4
VINTO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-03-01,1,0,0,0,1,0,1
WARNES,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-03-01,2,3,0,0,2,3,5
YOCALLA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-03-01,0,1,0,0,0,1,1
ANDAMARCA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-04-01,0,1,1,0,1,1,2
ARBIETO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-04-01,1,0,0,0,1,0,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-04-01,2,2,0,0,2,2,4
ATOCHA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-04-01,0,0,5,0,5,0,5
