,group,variable,month,TOTAL ANTIAMARÍLICA DOSIS ÚNICA DENTRO,TOTAL ANTIAMARÍLICA DOSIS ÚNICA DENTRO,TOTAL ANTIAMARÍLICA DOSIS ÚNICA FUERA,TOTAL ANTIAMARÍLICA DOSIS ÚNICA FUERA,TOTALES,TOTALES,TOTALES
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,29,20,2,3,31,23,54
ATOCHA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,10,6,4,6,14,12,26
AUCAPATA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,0,0,4,1,4,1,5
AYATA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,1,2,1,0,2,2,4
AYO AYO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,3,4,4,4,7,8,15
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,11,10,2,2,13,12,25
AZURDUY,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,12,3,2,2,14,5,19
BATALLAS,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,11,10,3,3,14,13,27
BAURES,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,3,8,0,0,3,8,11
BELEN DE ANDAMARCA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,0,0,1,6,1,6,7
BELEN DE URMIRI,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,0,1,0,0,0,1,1
BELLA FLOR,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,0,1,2,6,2,7,9
BERMEJO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,14,15,9,6,23,21,44
BETANZOS,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,10,7,3,5,13,12,25
BOYUIBE,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,2,0,3,4,5,4,9
BUENA VISTA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,4,3,11,13,15,16,31
CABEZAS,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,13,15,25,18,38,33,71
CAIROMA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,3,7,1,4,4,11,15
"CAIZA ""D""",vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,2,1,4,3,6,4,10
CAJUATA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,11,8,9,2,20,10,30
CALACOTO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,0,0,2,2,2,2,4
CALAMARCA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,2,5,8,6,10,11,21
CAMARGO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,4,7,6,1,10,8,18
CAMIRI,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,39,39,4,8,43,47,90
CAPINOTA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,21,12,1,2,22,14,36
CAQUIAVIRI,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,6,6,0,0,6,6,12
CARACOLLO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,10,15,0,3,10,18,28
CARANAVI,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,28,21,5,10,33,31,64
CARAPARI,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,5,2,16,12,21,14,35
CARIPUYO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,4,1,10,9,14,10,24
CARMEN RIVERO TORREZ,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,0,0,9,3,9,3,12
CHACARILLA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,1,1,0,0,1,1,2
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,15,21,3,4,18,25,43
CHAQUI,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,4,0,2,4,6,4,10
CHARAGUA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,17,20,15,19,32,39,71
CHARAÑA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,0,0,1,0,1,0,1
CHAYANTA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,0,0,1,4,1,4,5
CHIMORE,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,24,33,3,2,27,35,62
CHIPAYA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,0,0,3,1,3,1,4
CHOQUE COTA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,0,1,0,0,0,1,1
CHUA COCANI,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,0,0,5,5,5,5,10
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,9,11,8,11,17,22,39
CHUMA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,1,3,1,2,2,5,7
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,3,2,2,8,5,10,15
CKOCHAS,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,4,6,0,8,4,14,18
CLIZA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,14,11,4,9,18,20,38
COBIJA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,44,53,6,13,50,66,116
COCAPATA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,0,0,1,2,1,2,3
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,644,628,13,12,657,640,1297
COLCAPIRHUA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,43,35,0,0,43,35,78
"COLCHA ""K""",vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,6,9,1,0,7,9,16
COLLANA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,2,3,5,4,7,7,14
COLOMI,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,6,7,3,5,9,12,21
COLPA BELGICA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,1,1,7,12,8,13,21
COLQUECHACA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,8,12,9,8,17,20,37
COLQUENCHA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,2,4,1,1,3,5,8
COLQUIRI,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,1,0,4,8,5,8,13
COMANCHE,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,0,0,2,1,2,1,3
COMARAPA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,10,11,4,4,14,15,29
CONCEPCION,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,19,11,3,9,22,20,42
COPACABANA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,1,2,7,10,8,12,20
CORIPATA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,11,5,3,2,14,7,21
CORO CORO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,3,5,2,2,5,7,12
COROICO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,4,0,2,2,6,2,8
CORQUE,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,0,0,6,3,6,3,9
COTAGAITA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,11,11,4,5,15,16,31
COTOCA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,54,50,11,9,65,59,124
CUATRO CAÑADAS,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,17,11,15,17,32,28,60
CUCHUMUELA (V. G. VILLARROEL),vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,0,0,2,2,2,2,4
CUEVO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,2,3,2,1,4,4,8
CULPINA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,6,4,4,4,10,8,18
CURAHUARA DE CARANGAS,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,1,2,2,0,3,2,5
CURVA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,0,0,3,0,3,0,3
DESAGUADERO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,3,1,4,6,7,7,14
EL ALTO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,817,627,87,96,904,723,1627
EL CHORO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,2,4,2,3,4,7,11
EL PUENTE(STC),vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,9,5,1,3,10,8,18
EL PUENTE(TJA),vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,0,1,7,5,7,6,13
EL TORNO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,55,48,2,11,57,59,116
EL VILLAR,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,1,0,1,0,2,0,2
ENTRE RIOS TRJ,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,10,14,14,17,24,31,55
ENTRE RIOS CBBA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,26,17,0,0,26,17,43
ESCOMA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,1,4,2,3,3,7,10
EUREKA (SANTOS MERCADO),vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,0,0,2,0,2,0,2
EXALTACION,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,0,1,0,0,0,1,1
FERNANDEZ ALONSO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,5,5,6,9,11,14,25
FILADELFIA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,2,1,3,3,5,4,9
GENERAL SAAVEDRA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,15,8,3,4,18,12,30
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,0,1,7,6,7,7,14
GUANAY,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,11,12,15,11,26,23,49
GUAQUI,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,1,3,0,0,1,3,4
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,35,28,9,11,44,39,83
GUTIERREZ,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,5,3,12,13,17,16,33
HUACARETA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,5,7,4,1,9,8,17
HUACAYA (VILLA DE HUACAYA),vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,0,0,1,3,1,3,4
HUANUNI,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,18,24,4,0,22,24,46
HUARACAJE,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,1,1,5,4,6,5,11
HUARINA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,2,0,3,2,5,2,7
HUATAJATA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,1,1,2,1,3,2,5
HUAYLLAMARCA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,1,2,0,0,1,2,3
HUMANATA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,0,1,2,3,2,4,6
ICLA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,0,3,0,0,0,3,3
INCAHUASI,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,4,6,8,3,12,9,21
INGAVI (HUMAITA),vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,0,1,3,4,3,5,8
INQUISIVI,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,0,1,4,5,4,6,10
IRUPANA (VILLA DE LANZA),vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,4,10,7,5,11,15,26
IXIAMAS,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,6,6,6,3,12,9,21
JESUS DE MACHACA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,1,6,1,1,2,7,9
LA ASUNTA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,33,39,11,9,44,48,92
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,93,75,15,21,108,96,204
LA PAZ,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,660,571,1,0,661,571,1232
LAGUNILLAS,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,4,2,3,5,7,7,14
LAJA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,12,16,0,0,12,16,28
LAS CARRERAS,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,0,0,2,1,2,1,3
LICOMA PAMPA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,0,0,2,5,2,5,7
LLALLAGUA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,12,12,12,17,24,29,53
LLICA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,1,0,0,0,1,0,1
LORETO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,0,0,5,5,5,5,10
LURIBAY,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,1,0,1,2,2,2,4
MACHARETI,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,0,1,5,2,5,3,8
MAGDALENA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,5,3,4,4,9,7,16
MAIRANA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,7,11,0,2,7,13,20
MALLA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,0,0,0,1,0,1,1
MAPIRI,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,11,19,0,0,11,19,30
MECAPACA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,7,4,2,2,9,6,15
MINEROS,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,3,1,0,0,3,1,4
MIZQUE,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,21,22,12,13,33,35,68
MOCOMOCO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,3,5,0,1,3,6,9
MOJOCOYA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,4,3,3,3,7,6,13
MONTEAGUDO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,8,16,7,4,15,20,35
MONTERO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,115,121,0,2,115,123,238
MORO MORO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,0,0,2,3,2,3,5
MOROCHATA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,2,0,8,9,10,9,19
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,1,2,0,1,1,3,4
OCURI,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,3,4,4,10,7,14,21
OKINAWA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,12,11,6,9,18,20,38
OMEREQUE,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,3,0,8,5,11,5,16
ORURO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,260,281,3,3,263,284,547
PADCAYA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,6,3,4,7,10,10,20
PADILLA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,6,7,0,1,6,8,14
PAILON,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,22,17,2,8,24,25,49
PALCA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,15,14,5,3,20,17,37
PALOS BLANCOS,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,19,21,3,6,22,27,49
PAMPA GRANDE,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,13,14,3,1,16,15,31
PAPEL PAMPA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,0,1,2,2,2,3,5
PASORAPA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,3,3,0,1,3,4,7
PATACAMAYA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,1,1,0,0,1,1,2
PAZÑA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,1,1,4,8,5,9,14
PELECHUCO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,0,0,2,1,2,1,3
POCOATA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,3,0,4,7,7,7,14
POCONA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,3,5,5,5,8,10,18
POJO (CBBA),vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,3,4,5,2,8,6,14
PORCO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,2,2,4,3,6,5,11
POROMA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,3,3,6,0,9,3,12
PORONGO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,6,3,8,11,14,14,28
PORTACHUELO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,21,15,3,3,24,18,42
PORVENIR,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,8,6,0,0,8,6,14
POTOSI,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,191,157,9,15,200,172,372
PRESTO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,0,0,4,5,4,5,9
PUCARA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,3,0,0,1,3,1,4
PUCARANI,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,12,8,10,15,22,23,45
PUERTO ACOSTA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,0,0,10,10,10,10,20
PUERTO CARABUCO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,6,2,11,6,17,8,25
PUERTO GONZALO MORENO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,3,2,3,2,6,4,10
PUERTO PEREZ,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,2,0,0,0,2,0,2
PUERTO QUIJARRO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,7,9,4,6,11,15,26
PUERTO RICO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,3,6,0,0,3,6,9
PUERTO SUAREZ,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,12,15,1,1,13,16,29
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,31,39,6,1,37,40,77
PUNA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,3,14,4,3,7,17,24
PUNATA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,26,20,0,1,26,21,47
QUIABAYA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,0,0,2,2,2,2,4
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,80,77,59,70,139,147,286
QUIME,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,0,0,9,16,9,16,25
QUIRUSILLAS,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,0,1,1,0,1,1,2
RAVELO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,1,6,4,1,5,7,12
REYES,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,0,0,3,4,3,4,7
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,71,101,33,36,104,137,241
ROBORE,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,4,3,7,4,11,7,18
RURRENABAQUE,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,6,16,0,0,6,16,22
SABAYA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,2,2,1,2,3,4,7
SACABA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,135,121,6,11,141,132,273
SACABAMBA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,1,5,0,0,1,5,6
SACACA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,11,13,1,4,12,17,29
SAIPINA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,1,1,4,6,5,7,12
SALINAS DE GARCI MENDOZA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,3,4,7,9,10,13,23
SAMAIPATA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,2,8,5,4,7,12,19
SAN ANDRES,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,1,1,3,5,4,6,10
SAN ANDRES DE MACHACA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,0,0,2,0,2,0,2
SAN ANTONIO DE ESMORUCO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,1,1,0,1,1,2,3
SAN ANTONIO DE LOMERIO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,1,5,1,5,2,10,12
SAN BENITO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,13,10,2,2,15,12,27
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,22,17,2,1,24,18,42
SAN BUENA VENTURA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,2,6,2,2,4,8,12
SAN CARLOS,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,9,12,9,11,18,23,41
SAN IGNACIO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,7,7,4,3,11,10,21
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-01-01,48,52,8,2,56,54,110
