,group,variable,month,TOTAL INFLUENZA ESTACIONAL DOSIS ÚNICA DENTRO,TOTAL INFLUENZA ESTACIONAL DOSIS ÚNICA DENTRO,TOTAL INFLUENZA ESTACIONAL DOSIS ÚNICA FUERA,TOTAL INFLUENZA ESTACIONAL DOSIS ÚNICA FUERA,TOTALES,TOTALES,TOTALES
MAGDALENA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-01-01,2,3,0,0,2,3,5
ORURO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-01-01,3,15,0,0,3,15,18
POJO (CBBA),vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-01-01,0,1,0,0,0,1,1
PUERTO GONZALO MORENO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-01-01,2,2,6,1,8,3,11
PUERTO RICO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-01-01,2,1,0,0,2,1,3
ROBORE,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-01-01,15,16,0,0,15,16,31
RURRENABAQUE,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-01-01,1,1,0,0,1,1,2
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-01-01,11,14,1,0,12,14,26
SAN CARLOS,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-01-01,2,3,0,0,2,3,5
SAN IGNACIO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-01-01,14,21,45,45,59,66,125
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-01-01,22,15,0,0,22,15,37
SAN PEDRO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-01-01,0,2,0,0,0,2,2
SAN PEDRO(PND),vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-01-01,2,2,0,0,2,2,4
SAN RAMON BENI,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-01-01,3,3,3,1,6,4,10
SANTA ANA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-01-01,3,7,0,1,3,8,11
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-01-01,9,9,0,0,9,9,18
SANTIAGO DE HUARI,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-01-01,1,0,5,3,6,3,9
SENA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-01-01,6,12,0,0,6,12,18
SORATA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-01-01,0,0,9,11,9,11,20
SUCRE,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-01-01,0,1,0,0,0,1,1
TINGUIPAYA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-01-01,3,2,6,3,9,5,14
TITO YUPANQUI (PARQUIPUJIO),vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-01-01,1,0,0,0,1,0,1
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-01-01,14,10,0,0,14,10,24
VALLEGRANDE,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-01-01,0,1,0,0,0,1,1
YAMPARAEZ,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-01-01,1,1,0,1,1,2,3
GUANAY,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-02-01,0,0,1,0,1,0,1
ORURO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-02-01,38,23,0,0,38,23,61
PUERTO GONZALO MORENO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-02-01,1,0,0,0,1,0,1
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-02-01,0,0,0,26,0,26,26
SAN PEDRO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-02-01,1,3,0,0,1,3,4
SANTA ANA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-02-01,6,3,0,0,6,3,9
UMALA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-02-01,0,0,1,0,1,0,1
UYUNI,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-02-01,3,1,0,0,3,1,4
VILLA NUEVA (LOMA ALTA),vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-02-01,0,0,0,1,0,1,1
VILLA RIVERO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-02-01,0,3,0,9,0,12,12
VILLAZON,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-02-01,0,7,0,0,0,7,7
BATALLAS,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-03-01,1,0,0,0,1,0,1
CORQUE,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-03-01,0,0,1,2,1,2,3
PELECHUCO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-03-01,1,0,0,0,1,0,1
SANTA ANA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-03-01,0,0,1,0,1,0,1
VILLA NUEVA (LOMA ALTA),vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-03-01,0,0,1,1,1,1,2
YANACACHI,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-03-01,0,1,0,0,0,1,1
YAPACANI,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-03-01,13,20,4,2,17,22,39
APOLO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-04-01,0,3,0,0,0,3,3
CAMIRI,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-04-01,5,3,0,0,5,3,8
CARIPUYO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-04-01,1,0,0,1,1,1,2
LLALLAGUA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-04-01,1,2,10,8,11,10,21
PATACAMAYA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-04-01,0,0,1,0,1,0,1
SAN IGNACIO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-04-01,3,2,0,0,3,2,5
TINGUIPAYA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-04-01,1,0,13,7,14,7,21
ACACIO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,2,1,12,9,14,10,24
ACHACACHI,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,40,37,19,20,59,57,116
ACHOCALLA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,25,26,3,0,28,26,54
AIQUILE,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,2,0,21,28,23,28,51
ALALAY,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,0,2,18,10,18,12,30
ALTO BENI,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,40,34,8,7,48,41,89
ANCORAIMES,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,31,32,8,10,39,42,81
ANDAMARCA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,8,5,13,8,21,13,34
ANZALDO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,1,2,3,7,4,9,13
APOLO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,5,3,17,10,22,13,35
ARANI,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,9,7,3,13,12,20,32
ARBIETO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,24,17,19,37,43,54,97
ARQUE,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,7,11,12,9,19,20,39
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,26,30,0,0,26,30,56
ATOCHA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,1,2,1,0,2,2,4
AUCAPATA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,0,1,4,0,4,1,5
AYATA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,8,14,9,11,17,25,42
AYO AYO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,0,0,2,1,2,1,3
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,11,11,15,10,26,21,47
BATALLAS,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,1,2,5,3,6,5,11
BELEN DE URMIRI,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,1,1,5,10,6,11,17
BERMEJO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,8,10,15,15,23,25,48
BETANZOS,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,41,28,89,99,130,127,257
BOLIVAR,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,1,2,9,8,10,10,20
BOYUIBE,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,5,7,2,2,7,9,16
BUENA VISTA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,9,7,2,2,11,9,20
CABEZAS,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,0,2,2,0,2,2,4
CAIROMA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,20,18,12,8,32,26,58
"CAIZA ""D""",vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,25,13,8,6,33,19,52
CAJUATA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,16,8,20,28,36,36,72
CALACOTO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,2,3,2,2,4,5,9
CALAMARCA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,4,5,1,2,5,7,12
CAMARGO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,10,22,0,2,10,24,34
CAMATAQUI (C. VILLA ABECIA),vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,5,4,2,2,7,6,13
CAMIRI,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,7,9,0,0,7,9,16
CAPINOTA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,50,40,14,20,64,60,124
CAQUIAVIRI,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,19,25,3,5,22,30,52
CARACOLLO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,16,13,18,17,34,30,64
CARANAVI,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,91,100,45,57,136,157,293
CARANGAS,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,0,0,3,2,3,2,5
CARAPARI,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,11,3,10,3,21,6,27
CARIPUYO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,5,4,5,12,10,16,26
CARMEN RIVERO TORREZ,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,3,2,0,0,3,2,5
CATACORA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,7,7,0,0,7,7,14
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,18,16,4,14,22,30,52
CHAQUI,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,31,14,24,28,55,42,97
CHARAGUA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,6,7,13,15,19,22,41
CHARAÑA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,1,5,1,3,2,8,10
CHIMORE,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,21,19,0,0,21,19,40
CHOQUE COTA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,2,2,1,3,3,5,8
CHUA COCANI,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,0,0,9,4,9,4,13
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,12,11,34,48,46,59,105
CHUMA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,0,4,10,10,10,14,24
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,12,12,2,3,14,15,29
CLIZA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,16,11,14,8,30,19,49
COBIJA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,56,45,9,9,65,54,119
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,732,696,188,150,920,846,1766
COLCAPIRHUA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,62,57,5,1,67,58,125
"COLCHA ""K""",vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,1,1,0,0,1,1,2
COLOMI,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,48,48,13,2,61,50,111
COLQUENCHA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,14,8,0,0,14,8,22
COLQUIRI,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,4,4,12,10,16,14,30
COMANCHE,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,7,7,6,6,13,13,26
COMARAPA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,27,29,12,17,39,46,85
COMBAYA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,7,2,9,5,16,7,23
COPACABANA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,3,1,5,1,8,2,10
CORIPATA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,28,24,10,12,38,36,74
CORO CORO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,2,4,9,7,11,11,22
COROICO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,3,4,3,8,6,12,18
CORQUE,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,1,3,10,9,11,12,23
COTAGAITA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,30,32,50,63,80,95,175
COTOCA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,72,61,6,4,78,65,143
CUATRO CAÑADAS,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,27,28,0,0,27,28,55
CUCHUMUELA (V. G. VILLARROEL),vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,3,4,2,0,5,4,9
CUEVO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,1,1,3,3,4,4,8
CULPINA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,2,2,0,0,2,2,4
CURAHUARA DE CARANGAS,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,0,0,4,1,4,1,5
CURVA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,0,0,8,6,8,6,14
DESAGUADERO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,17,12,6,2,23,14,37
EL ALTO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,1009,817,227,260,1236,1077,2313
EL CHORO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,1,0,1,0,2,0,2
EL TORNO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,60,67,7,3,67,70,137
ENTRE RIOS CBBA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,54,45,4,5,58,50,108
ESCOMA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,7,4,3,3,10,7,17
EUCALIPTUS,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,1,2,0,0,1,2,3
EUREKA (SANTOS MERCADO),vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,0,3,1,1,1,4,5
FERNANDEZ ALONSO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,13,10,0,3,13,13,26
FILADELFIA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,4,3,4,4,8,7,15
GENERAL SAAVEDRA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,15,11,0,0,15,11,26
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,7,3,3,2,10,5,15
GUANAY,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,15,13,27,26,42,39,81
GUAQUI,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,1,0,5,2,6,2,8
GUTIERREZ,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,0,0,1,4,1,4,5
HUACARETA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,19,21,12,17,31,38,69
HUACAYA (VILLA DE HUACAYA),vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,2,1,10,17,12,18,30
HUACHACALLA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,0,0,1,1,1,1,2
HUANUNI,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,5,7,21,20,26,27,53
HUARINA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,7,8,7,11,14,19,33
HUATAJATA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,8,2,9,5,17,7,24
HUAYLLAMARCA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,2,2,2,0,4,2,6
HUMANATA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,7,7,3,8,10,15,25
ICHOCA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,3,4,8,12,11,16,27
ICLA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,5,2,35,27,40,29,69
INCAHUASI,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,10,5,10,11,20,16,36
INQUISIVI,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,7,4,23,27,30,31,61
IRUPANA (VILLA DE LANZA),vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,9,15,31,19,40,34,74
IXIAMAS,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,4,3,3,1,7,4,11
JESUS DE MACHACA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,14,12,39,35,53,47,100
LA ASUNTA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,65,69,18,12,83,81,164
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,53,50,24,23,77,73,150
LA PAZ,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,532,581,66,75,598,656,1254
LAGUNILLAS,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,1,2,8,8,9,10,19
LAJA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,36,20,29,31,65,51,116
LICOMA PAMPA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,3,0,9,5,12,5,17
LLICA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,25,36,0,0,25,36,61
LORETO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,0,0,7,4,7,4,11
LURIBAY,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,0,0,7,16,7,16,23
MACHACAMARCA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,2,6,3,2,5,8,13
MACHARETI,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,5,9,17,19,22,28,50
MAIRANA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,11,15,2,0,13,15,28
MAPIRI,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,5,3,14,13,19,16,35
MECAPACA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,3,2,7,7,10,9,19
MIZQUE,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,27,20,10,12,37,32,69
MOCOMOCO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,24,12,34,28,58,40,98
MOJINETE,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,0,4,4,3,4,7,11
MOJOCOYA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,33,19,15,14,48,33,81
MONTEAGUDO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,36,26,13,5,49,31,80
MONTERO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,59,57,4,1,63,58,121
MORO MORO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,4,7,7,6,11,13,24
OKINAWA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,36,29,0,1,36,30,66
OMEREQUE,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,7,8,39,38,46,46,92
ORURO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,354,332,46,32,400,364,764
PADCAYA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,5,4,0,0,5,4,9
PADILLA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,11,8,2,0,13,8,21
PAILON,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,0,0,6,8,6,8,14
PALCA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,22,19,26,33,48,52,100
PALOS BLANCOS,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,10,24,4,2,14,26,40
PAMPA AULLAGAS,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,0,0,3,0,3,0,3
PAMPA GRANDE,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,17,26,0,0,17,26,43
PAPEL PAMPA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,3,6,13,21,16,27,43
PASORAPA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,0,0,3,3,3,3,6
PATACAMAYA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,1,4,4,8,5,12,17
PAZÑA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,5,5,10,10,15,15,30
PELECHUCO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,18,7,7,10,25,17,42
POCOATA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,0,1,61,61,61,62,123
POCONA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,1,2,2,4,3,6,9
POJO (CBBA),vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-05-01,10,5,4,6,14,11,25
