,group,variable,month,TOTAL ANTIPOLIOMIELÍTICA 2DA DOSIS DENTRO,TOTAL ANTIPOLIOMIELÍTICA 2DA DOSIS DENTRO,TOTAL ANTIPOLIOMIELÍTICA 2DA DOSIS FUERA,TOTAL ANTIPOLIOMIELÍTICA 2DA DOSIS FUERA,TOTALES,TOTALES,TOTALES
HUANUNI,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-01-01,0,0,1,0,1,0,1
HUATAJATA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-01-01,1,0,0,0,1,0,1
LA ASUNTA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-01-01,0,1,0,0,0,1,1
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-01-01,0,1,0,1,0,2,2
LA PAZ,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-01-01,3,1,0,0,3,1,4
MAGDALENA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-01-01,0,1,0,0,0,1,1
MIZQUE,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-01-01,0,0,0,1,0,1,1
MONTERO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-01-01,2,0,0,0,2,0,2
ORURO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-01-01,5,2,1,0,6,2,8
PAILON,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-01-01,1,0,0,0,1,0,1
PAMPA GRANDE,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-01-01,0,1,0,0,0,1,1
POTOSI,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-01-01,1,1,0,1,1,2,3
PUERTO SUAREZ,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-01-01,0,1,0,0,0,1,1
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-01-01,3,0,0,0,3,0,3
PUNATA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-01-01,1,0,0,0,1,0,1
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-01-01,0,0,1,1,1,1,2
SACABA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-01-01,2,1,0,0,2,1,3
SAN ANDRES,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-01-01,0,1,0,0,0,1,1
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-01-01,1,2,0,0,1,2,3
SAN BUENA VENTURA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-01-01,0,1,0,0,0,1,1
SAN IGNACIO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-01-01,0,1,0,0,0,1,1
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-01-01,0,1,0,0,0,1,1
SAN PEDRO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-01-01,0,1,0,0,0,1,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-01-01,13,10,2,0,15,10,25
SANTA ROSA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-01-01,1,0,0,0,1,0,1
SORATA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-01-01,0,0,0,1,0,1,1
SUCRE,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-01-01,1,0,0,0,1,0,1
TARIJA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-01-01,0,1,0,0,0,1,1
TOTORA(CBBA),vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-01-01,2,0,0,1,2,1,3
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-01-01,5,1,1,0,6,1,7
VACAS,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-01-01,0,1,0,0,0,1,1
VIACHA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-01-01,0,2,0,0,0,2,2
VILLA MONTES,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-01-01,0,0,1,0,1,0,1
VILLA RIVERO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-01-01,0,1,0,0,0,1,1
YACUIBA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-01-01,0,1,0,0,0,1,1
ACHACACHI,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-02-01,0,1,1,0,1,1,2
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-02-01,1,0,0,0,1,0,1
BETANZOS,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-02-01,1,0,0,0,1,0,1
CABEZAS,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-02-01,0,0,1,1,1,1,2
CARANAVI,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-02-01,0,1,0,0,0,1,1
CHIMORE,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-02-01,1,0,0,0,1,0,1
CHUMA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-02-01,0,0,1,0,1,0,1
COBIJA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-02-01,0,0,1,1,1,1,2
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-02-01,7,3,2,0,9,3,12
COLCAPIRHUA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-02-01,0,2,0,0,0,2,2
"COLCHA ""K""",vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-02-01,1,0,0,0,1,0,1
CONCEPCION,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-02-01,0,1,0,0,0,1,1
CORIPATA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-02-01,0,1,0,0,0,1,1
CORO CORO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-02-01,0,0,1,0,1,0,1
COTOCA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-02-01,0,1,0,0,0,1,1
EL ALTO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-02-01,7,5,2,1,9,6,15
EL PUENTE(STC),vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-02-01,1,0,0,0,1,0,1
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-02-01,1,0,0,0,1,0,1
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-02-01,1,1,0,0,1,1,2
HUANUNI,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-02-01,2,1,0,0,2,1,3
LA ASUNTA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-02-01,3,1,0,0,3,1,4
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-02-01,0,1,0,0,0,1,1
LA PAZ,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-02-01,7,2,0,0,7,2,9
OMEREQUE,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-02-01,0,0,1,0,1,0,1
ORURO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-02-01,1,0,1,0,2,0,2
PAMPA GRANDE,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-02-01,1,0,0,0,1,0,1
POTOSI,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-02-01,2,1,1,0,3,1,4
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-02-01,1,2,0,1,1,3,4
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-02-01,1,0,0,1,1,1,2
QUIME,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-02-01,1,0,0,0,1,0,1
QUIRUSILLAS,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-02-01,0,0,1,0,1,0,1
RAVELO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-02-01,2,0,0,0,2,0,2
RURRENABAQUE,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-02-01,0,0,1,0,1,0,1
SACABA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-02-01,1,5,0,0,1,5,6
SAN BENITO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-02-01,0,0,1,0,1,0,1
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-02-01,1,0,1,0,2,0,2
SANTA ANA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-02-01,0,1,0,0,0,1,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-02-01,50,46,3,1,53,47,100
SANTA ROSA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-02-01,0,0,0,1,0,1,1
SIPE SIPE,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-02-01,0,1,0,0,0,1,1
SUCRE,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-02-01,2,0,0,0,2,0,2
TAPACARI,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-02-01,0,0,2,0,2,0,2
TIAWANACU,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-02-01,1,0,0,2,1,2,3
TIRAQUE (CBBA),vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-02-01,2,0,0,0,2,0,2
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-02-01,1,2,0,0,1,2,3
VILLA MONTES,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-02-01,0,0,1,1,1,1,2
VILLA TUNARI,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-02-01,0,1,0,0,0,1,1
WARNES,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-02-01,2,0,0,0,2,0,2
YACUIBA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-02-01,0,0,1,0,1,0,1
YAPACANI,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-02-01,0,0,1,0,1,0,1
ACHOCALLA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-03-01,3,6,0,0,3,6,9
BERMEJO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-03-01,1,0,0,0,1,0,1
CABEZAS,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-03-01,1,0,0,0,1,0,1
"CAIZA ""D""",vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-03-01,0,0,1,1,1,1,2
CAMIRI,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-03-01,0,0,2,1,2,1,3
CAQUIAVIRI,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-03-01,0,0,1,0,1,0,1
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-03-01,0,0,1,0,1,0,1
COBIJA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-03-01,0,0,1,0,1,0,1
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-03-01,2,4,5,0,7,4,11
COTAGAITA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-03-01,1,0,0,0,1,0,1
COTOCA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-03-01,0,1,0,0,0,1,1
DESAGUADERO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-03-01,0,1,0,0,0,1,1
EL ALTO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-03-01,9,9,3,1,12,10,22
EL TORNO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-03-01,0,1,0,0,0,1,1
FILADELFIA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-03-01,1,0,0,0,1,0,1
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-03-01,1,2,0,0,1,2,3
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-03-01,1,0,0,0,1,0,1
HUANUNI,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-03-01,0,1,1,0,1,1,2
LA ASUNTA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-03-01,0,2,0,0,0,2,2
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-03-01,2,0,0,0,2,0,2
LA PAZ,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-03-01,7,4,3,1,10,5,15
MAGDALENA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-03-01,0,1,0,0,0,1,1
MINEROS,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-03-01,0,1,0,0,0,1,1
ORURO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-03-01,4,7,1,0,5,7,12
POTOSI,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-03-01,0,0,1,0,1,0,1
PUERTO SUAREZ,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-03-01,0,1,1,2,1,3,4
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-03-01,1,1,0,0,1,1,2
PUNA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-03-01,0,0,0,1,0,1,1
PUNATA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-03-01,0,1,0,0,0,1,1
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-03-01,2,0,2,0,4,0,4
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-03-01,2,0,1,0,3,0,3
RURRENABAQUE,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-03-01,0,0,1,0,1,0,1
SACABA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-03-01,1,3,0,0,1,3,4
SAN BENITO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-03-01,0,1,0,0,0,1,1
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-03-01,2,1,1,0,3,1,4
SAN CARLOS,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-03-01,1,0,0,0,1,0,1
SAN IGNACIO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-03-01,1,1,0,0,1,1,2
SAN JAVIER(BNI),vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-03-01,1,0,0,0,1,0,1
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-03-01,0,1,0,0,0,1,1
SAN JULIAN,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-03-01,0,0,0,1,0,1,1
SAN PEDRO DE CURAHUARA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-03-01,0,0,2,0,2,0,2
SAN PEDRO DE QUEMES,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-03-01,1,1,0,0,1,1,2
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-03-01,9,16,3,3,12,19,31
SANTA ROSA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-03-01,0,0,1,0,1,0,1
SHINAOTA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-03-01,0,1,0,0,0,1,1
SIPE SIPE,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-03-01,0,1,0,0,0,1,1
SORATA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-03-01,1,0,0,0,1,0,1
TARIJA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-03-01,1,0,2,0,3,0,3
TEOPONTE,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-03-01,0,1,0,0,0,1,1
TIAWANACU,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-03-01,0,0,1,0,1,0,1
TIQUIPAYA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-03-01,2,0,0,0,2,0,2
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-03-01,5,0,0,0,5,0,5
VILLA RIVERO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-03-01,0,0,0,1,0,1,1
VILLA TUNARI,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-03-01,1,2,0,0,1,2,3
VINTO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-03-01,0,1,0,0,0,1,1
WARNES,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-03-01,1,3,1,0,2,3,5
YACUIBA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-03-01,0,1,1,2,1,3,4
ACHOCALLA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-04-01,0,0,1,0,1,0,1
ALTO BENI,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-04-01,0,0,0,1,0,1,1
ANTEQUERA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-04-01,0,0,1,0,1,0,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-04-01,1,0,1,0,2,0,2
BERMEJO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-04-01,0,0,0,1,0,1,1
CABEZAS,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-04-01,1,0,1,2,2,2,4
CARANAVI,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-04-01,1,0,1,2,2,2,4
CARAPARI,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-04-01,1,0,0,0,1,0,1
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-04-01,0,1,1,0,1,1,2
CHIMORE,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-04-01,0,1,0,0,0,1,1
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-04-01,0,0,1,0,1,0,1
COBIJA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-04-01,0,0,0,1,0,1,1
COCAPATA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-04-01,0,0,0,1,0,1,1
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-04-01,8,6,5,2,13,8,21
"COLCHA ""K""",vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-04-01,0,0,0,1,0,1,1
COLQUECHACA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-04-01,0,0,1,2,1,2,3
COTOCA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-04-01,1,0,3,3,4,3,7
CUATRO CAÑADAS,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-04-01,3,2,0,1,3,3,6
EL ALTO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-04-01,10,13,4,2,14,15,29
EL TORNO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-04-01,1,1,0,0,1,1,2
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-04-01,0,1,1,2,1,3,4
HUATAJATA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-04-01,0,0,1,0,1,0,1
HUAYLLAMARCA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-04-01,1,0,0,0,1,0,1
ICHOCA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-04-01,0,1,0,0,0,1,1
LA ASUNTA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-04-01,0,1,0,0,0,1,1
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-04-01,1,0,0,1,1,1,2
LA PAZ,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-04-01,9,3,5,4,14,7,21
LLALLAGUA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-04-01,0,1,0,0,0,1,1
MONTERO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-04-01,2,2,0,0,2,2,4
OKINAWA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-04-01,0,0,1,0,1,0,1
ORURO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-04-01,4,5,1,1,5,6,11
PALCA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-04-01,0,0,1,0,1,0,1
PORTACHUELO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-04-01,1,0,1,0,2,0,2
POTOSI,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-04-01,2,3,2,3,4,6,10
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-04-01,0,0,4,0,4,0,4
PUNATA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-04-01,1,0,0,1,1,1,2
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-04-01,1,2,0,2,1,4,5
REYES,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-04-01,0,0,1,0,1,0,1
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-04-01,0,2,0,0,0,2,2
RURRENABAQUE,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-04-01,0,0,1,0,1,0,1
SACABA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-04-01,2,0,1,0,3,0,3
SAN AGUSTIN,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-04-01,0,1,0,0,0,1,1
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-04-01,5,1,3,2,8,3,11
SAN CARLOS,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-04-01,0,0,2,0,2,0,2
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-04-01,0,0,0,1,0,1,1
SAN JAVIER(BNI),vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 2da dosis,2015-04-01,0,0,0,1,0,1,1
