,group,variable,month,TOTAL PENTAVALENTE 3RA DOSIS DENTRO,TOTAL PENTAVALENTE 3RA DOSIS DENTRO,TOTAL PENTAVALENTE 3RA DOSIS FUERA,TOTAL PENTAVALENTE 3RA DOSIS FUERA,TOTALES,TOTALES,TOTALES
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-01-01,11,10,2,1,13,11,24
COLCAPIRHUA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-01-01,0,1,0,0,0,1,1
"COLCHA ""K""",vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-01-01,0,1,0,0,0,1,1
COROICO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-01-01,0,1,0,0,0,1,1
EL ALTO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-01-01,24,18,5,2,29,20,49
EL TORNO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-01-01,1,0,0,0,1,0,1
ENTRE RIOS CBBA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-01-01,1,0,1,0,2,0,2
FERNANDEZ ALONSO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-01-01,1,0,0,0,1,0,1
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-01-01,1,0,0,0,1,0,1
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-01-01,0,1,0,0,0,1,1
HUANUNI,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-01-01,0,1,0,1,0,2,2
IRUPANA (VILLA DE LANZA),vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-01-01,0,2,0,0,0,2,2
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-01-01,3,3,1,0,4,3,7
LA PAZ,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-01-01,9,12,0,0,9,12,21
MAGDALENA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-01-01,0,1,0,0,0,1,1
MECAPACA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-01-01,0,0,0,1,0,1,1
MONTEAGUDO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-01-01,1,0,0,0,1,0,1
MONTERO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-01-01,6,2,0,0,6,2,8
OKINAWA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-01-01,1,0,1,0,2,0,2
ORURO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-01-01,7,6,0,0,7,6,13
PAILON,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-01-01,1,1,0,0,1,1,2
PALOS BLANCOS,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-01-01,0,2,0,1,0,3,3
POTOSI,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-01-01,9,5,0,0,9,5,14
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-01-01,1,1,0,0,1,1,2
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-01-01,1,0,3,2,4,2,6
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-01-01,5,1,0,0,5,1,6
ROBORE,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-01-01,7,11,0,0,7,11,18
RURRENABAQUE,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-01-01,1,0,0,0,1,0,1
SACABA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-01-01,3,0,0,1,3,1,4
SAN ANDRES,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-01-01,1,0,0,0,1,0,1
SAN ANTONIO DE LOMERIO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-01-01,0,0,0,1,0,1,1
SAN BENITO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-01-01,0,1,0,0,0,1,1
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-01-01,0,3,0,0,0,3,3
SAN IGNACIO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-01-01,3,1,0,0,3,1,4
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-01-01,3,0,0,0,3,0,3
SAN JULIAN,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-01-01,1,0,0,0,1,0,1
SAN PEDRO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-01-01,0,1,0,0,0,1,1
SAN RAFAEL,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-01-01,1,0,0,0,1,0,1
SANTA ANA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-01-01,1,3,0,0,1,3,4
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-01-01,39,23,4,1,43,24,67
SANTA ROSA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-01-01,1,0,0,0,1,0,1
SANTA ROSA DEL SARA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-01-01,0,1,0,0,0,1,1
SANTIAGO DE HUATA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-01-01,1,0,0,0,1,0,1
SICA SICA (VILLA AROMA),vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-01-01,1,0,0,0,1,0,1
SIPE SIPE,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-01-01,1,1,0,0,1,1,2
SORATA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-01-01,1,1,2,0,3,1,4
SUCRE,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-01-01,0,1,0,0,0,1,1
TARATA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-01-01,1,0,0,0,1,0,1
TARIJA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-01-01,7,5,0,0,7,5,12
TIQUIPAYA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-01-01,1,0,0,0,1,0,1
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-01-01,7,2,1,0,8,2,10
TUPIZA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-01-01,0,3,0,0,0,3,3
UYUNI,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-01-01,1,0,0,0,1,0,1
VIACHA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-01-01,2,0,0,0,2,0,2
VILLA RIVERO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-01-01,0,0,1,0,1,0,1
VILLA TUNARI,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-01-01,1,3,0,1,1,4,5
WARNES,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-01-01,3,1,0,0,3,1,4
YACUIBA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-01-01,2,1,1,1,3,2,5
YANACACHI,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-01-01,1,0,0,0,1,0,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-02-01,0,0,2,2,2,2,4
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-02-01,0,0,0,1,0,1,1
BATALLAS,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-02-01,2,0,0,0,2,0,2
CABEZAS,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-02-01,2,0,2,3,4,3,7
CAMARGO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-02-01,0,2,0,0,0,2,2
CAMIRI,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-02-01,1,0,0,0,1,0,1
CAPINOTA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-02-01,0,0,0,1,0,1,1
CARACOLLO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-02-01,1,1,0,1,1,2,3
CARANAVI,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-02-01,0,0,1,0,1,0,1
CARAPARI,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-02-01,1,0,0,0,1,0,1
CHIMORE,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-02-01,0,0,0,1,0,1,1
CKOCHAS,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-02-01,1,1,0,0,1,1,2
COBIJA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-02-01,1,0,0,1,1,1,2
COCAPATA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-02-01,0,0,1,1,1,1,2
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-02-01,14,11,1,2,15,13,28
COLCAPIRHUA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-02-01,1,3,0,0,1,3,4
"COLCHA ""K""",vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-02-01,1,0,0,0,1,0,1
COLOMI,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-02-01,1,0,0,0,1,0,1
CONCEPCION,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-02-01,1,0,0,0,1,0,1
COTOCA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-02-01,1,4,0,0,1,4,5
CUEVO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-02-01,0,0,1,0,1,0,1
EL ALTO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-02-01,11,10,3,3,14,13,27
EL PUENTE(STC),vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-02-01,1,1,0,1,1,2,3
EL TORNO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-02-01,1,3,0,0,1,3,4
ENTRE RIOS CBBA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-02-01,0,1,0,0,0,1,1
GUANAY,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-02-01,0,0,1,0,1,0,1
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-02-01,1,0,0,0,1,0,1
HUANUNI,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-02-01,0,1,0,0,0,1,1
IRUPANA (VILLA DE LANZA),vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-02-01,0,0,0,1,0,1,1
LA ASUNTA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-02-01,2,0,0,0,2,0,2
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-02-01,1,1,0,0,1,1,2
LA PAZ,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-02-01,11,5,3,0,14,5,19
MAGDALENA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-02-01,1,0,0,0,1,0,1
MIZQUE,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-02-01,1,0,2,1,3,1,4
MONTERO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-02-01,5,3,1,0,6,3,9
MOROCHATA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-02-01,0,0,0,1,0,1,1
ORURO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-02-01,11,2,0,2,11,4,15
PADCAYA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-02-01,0,0,0,1,0,1,1
PALOS BLANCOS,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-02-01,0,0,0,2,0,2,2
POTOSI,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-02-01,2,4,0,0,2,4,6
PUERTO RICO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-02-01,1,0,0,0,1,0,1
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-02-01,2,1,0,0,2,1,3
PUNATA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-02-01,0,1,0,0,0,1,1
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-02-01,2,0,1,5,3,5,8
REYES,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-02-01,0,0,1,0,1,0,1
RURRENABAQUE,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-02-01,1,0,1,0,2,0,2
SACABA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-02-01,3,1,0,0,3,1,4
SAN ANDRES,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-02-01,1,0,0,0,1,0,1
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-02-01,4,1,0,0,4,1,5
SAN BUENA VENTURA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-02-01,0,1,0,0,0,1,1
SAN IGNACIO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-02-01,0,1,0,0,0,1,1
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-02-01,3,0,0,0,3,0,3
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-02-01,1,0,0,0,1,0,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-02-01,59,69,5,4,64,73,137
SANTA ROSA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-02-01,3,2,1,0,4,2,6
SIPE SIPE,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-02-01,2,0,0,1,2,1,3
SORATA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-02-01,0,1,0,0,0,1,1
SUCRE,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-02-01,2,1,0,0,2,1,3
TARIJA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-02-01,12,14,0,2,12,16,28
TIQUIPAYA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-02-01,1,1,0,0,1,1,2
TIRAQUE (CBBA),vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-02-01,1,0,0,0,1,0,1
TITO YUPANQUI (PARQUIPUJIO),vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-02-01,0,0,1,0,1,0,1
TOLEDO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-02-01,0,1,0,0,0,1,1
TOTORA(CBBA),vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-02-01,0,0,1,0,1,0,1
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-02-01,0,2,0,1,0,3,3
VIACHA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-02-01,1,0,0,0,1,0,1
VILLA MONTES,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-02-01,1,1,0,0,1,1,2
VILLA TUNARI,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-02-01,2,2,1,0,3,2,5
VILLAZON,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-02-01,1,0,0,1,1,1,2
VINTO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-02-01,0,1,1,0,1,1,2
WARNES,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-02-01,0,2,0,0,0,2,2
YACUIBA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-02-01,2,2,0,1,2,3,5
ACHOCALLA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-03-01,8,6,1,1,9,7,16
ALALAY,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-03-01,0,0,0,1,0,1,1
ANZALDO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-03-01,0,1,0,0,0,1,1
APOLO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-03-01,0,0,0,1,0,1,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-03-01,0,0,0,1,0,1,1
BERMEJO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-03-01,1,0,0,0,1,0,1
BOYUIBE,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-03-01,0,1,0,0,0,1,1
CABEZAS,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-03-01,0,0,1,1,1,1,2
CARACOLLO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-03-01,1,0,0,0,1,0,1
CARANAVI,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-03-01,0,3,0,0,0,3,3
CARAPARI,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-03-01,0,0,0,1,0,1,1
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-03-01,1,2,0,0,1,2,3
CHIMORE,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-03-01,0,0,1,0,1,0,1
CLIZA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-03-01,0,1,0,0,0,1,1
COBIJA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-03-01,1,1,1,3,2,4,6
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-03-01,11,19,6,2,17,21,38
COLCAPIRHUA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-03-01,1,1,0,0,1,1,2
"COLCHA ""K""",vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-03-01,1,0,0,0,1,0,1
COLOMI,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-03-01,0,1,0,0,0,1,1
COLQUECHACA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-03-01,0,0,0,1,0,1,1
COTOCA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-03-01,5,4,0,0,5,4,9
CURVA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-03-01,0,0,0,1,0,1,1
EL ALTO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-03-01,18,21,4,4,22,25,47
GENERAL SAAVEDRA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-03-01,1,0,0,0,1,0,1
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-03-01,2,1,0,0,2,1,3
HUANUNI,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-03-01,0,1,0,0,0,1,1
ICLA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-03-01,0,1,0,0,0,1,1
LA ASUNTA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-03-01,0,1,0,0,0,1,1
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-03-01,1,2,0,0,1,2,3
LA PAZ,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-03-01,5,7,5,4,10,11,21
MINEROS,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-03-01,0,1,0,0,0,1,1
MIZQUE,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-03-01,2,0,0,0,2,0,2
MONTERO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-03-01,2,2,0,0,2,2,4
MOROCHATA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-03-01,0,0,0,1,0,1,1
OKINAWA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-03-01,1,0,0,0,1,0,1
ORURO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-03-01,8,7,0,1,8,8,16
PALOS BLANCOS,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-03-01,0,1,1,0,1,1,2
PORCO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-03-01,0,0,2,0,2,0,2
PORVENIR,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-03-01,1,0,1,1,2,1,3
POTOSI,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-03-01,8,4,2,1,10,5,15
PUERTO SUAREZ,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-03-01,0,0,0,2,0,2,2
PUNATA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-03-01,0,1,0,1,0,2,2
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-03-01,0,1,0,4,0,5,5
QUIRUSILLAS,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-03-01,0,0,1,0,1,0,1
REYES,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-03-01,1,1,0,0,1,1,2
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-03-01,2,1,0,0,2,1,3
RURRENABAQUE,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-03-01,0,1,0,1,0,2,2
SACABA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-03-01,2,4,1,0,3,4,7
SACABAMBA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-03-01,1,0,0,0,1,0,1
SALINAS DE GARCI MENDOZA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-03-01,0,1,0,3,0,4,4
SAN BENITO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-03-01,0,0,1,0,1,0,1
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-03-01,4,3,1,0,5,3,8
SAN IGNACIO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-03-01,1,0,0,0,1,0,1
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-03-01,2,0,0,0,2,0,2
SAN PEDRO DE QUEMES,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-03-01,1,0,0,0,1,0,1
SAN PEDRO DE TIQUINA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-03-01,0,0,1,0,1,0,1
SANTA ANA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-03-01,1,1,2,0,3,1,4
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-03-01,36,43,5,6,41,49,90
SANTA ROSA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-03-01,0,0,0,2,0,2,2
SANTIVAÑES,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-03-01,1,0,0,0,1,0,1
SICA SICA (VILLA AROMA),vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-03-01,0,2,0,0,0,2,2
SIPE SIPE,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-03-01,1,1,1,0,2,1,3
SORATA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 3ra dosis,2015-03-01,0,1,0,2,0,3,3
