,group,variable,month,TOTAL SRP DOSIS ÚNICA DENTRO,TOTAL SRP DOSIS ÚNICA DENTRO,TOTAL SRP DOSIS ÚNICA FUERA,TOTAL SRP DOSIS ÚNICA FUERA,TOTALES,TOTALES,TOTALES
ATOCHA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,14,8,2,3,16,11,27
AUCAPATA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,2,0,5,1,7,1,8
AYATA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,1,2,1,0,2,2,4
AYO AYO,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,4,1,3,3,7,4,11
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,9,14,2,3,11,17,28
AZURDUY,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,13,3,2,2,15,5,20
BATALLAS,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,10,13,3,6,13,19,32
BAURES,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,3,8,0,0,3,8,11
BELEN DE ANDAMARCA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,0,0,1,1,1,1,2
BELLA FLOR,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,0,1,3,7,3,8,11
BERMEJO,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,22,22,8,6,30,28,58
BETANZOS,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,15,8,4,7,19,15,34
BOYUIBE,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,2,0,3,4,5,4,9
BUENA VISTA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,4,3,12,13,16,16,32
CABEZAS,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,17,17,26,15,43,32,75
CAIROMA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,3,7,1,4,4,11,15
"CAIZA ""D""",vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,7,3,0,3,7,6,13
CAJUATA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,7,12,9,2,16,14,30
CALACOTO,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,2,1,2,3,4,4,8
CALAMARCA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,3,8,8,6,11,14,25
CAMARGO,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,4,10,3,2,7,12,19
CAMATAQUI (C. VILLA ABECIA),vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,3,1,0,0,3,1,4
CAMIRI,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,38,35,3,8,41,43,84
CAPINOTA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,21,12,1,2,22,14,36
CAQUIAVIRI,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,6,6,0,0,6,6,12
CARACOLLO,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,10,15,0,5,10,20,30
CARANAVI,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,29,25,5,8,34,33,67
CARAPARI,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,5,1,17,12,22,13,35
CARIPUYO,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,4,1,10,9,14,10,24
CARMEN RIVERO TORREZ,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,0,0,9,3,9,3,12
CHACARILLA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,2,2,0,0,2,2,4
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,16,19,6,6,22,25,47
CHAQUI,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,5,3,1,1,6,4,10
CHARAGUA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,12,19,16,20,28,39,67
CHARAÑA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,3,1,1,0,4,1,5
CHAYANTA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,3,0,4,11,7,11,18
CHIMORE,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,24,32,2,1,26,33,59
CHIPAYA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,0,0,3,1,3,1,4
CHOQUE COTA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,0,1,0,0,0,1,1
CHUA COCANI,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,1,0,0,4,1,4,5
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,9,10,6,9,15,19,34
CHUMA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,1,3,1,2,2,5,7
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,7,6,1,6,8,12,20
CKOCHAS,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,4,6,2,9,6,15,21
CLIZA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,14,11,3,9,17,20,37
COBIJA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,47,50,6,13,53,63,116
COCAPATA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,4,4,2,2,6,6,12
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,652,643,23,15,675,658,1333
COLCAPIRHUA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,38,31,0,0,38,31,69
"COLCHA ""K""",vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,6,8,1,0,7,8,15
COLLANA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,2,3,6,3,8,6,14
COLOMI,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,12,13,3,5,15,18,33
COLPA BELGICA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,7,3,3,7,10,10,20
COLQUECHACA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,16,18,15,14,31,32,63
COLQUENCHA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,2,6,1,0,3,6,9
COLQUIRI,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,3,1,6,7,9,8,17
COMANCHE,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,0,2,2,1,2,3,5
COMARAPA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,11,10,4,5,15,15,30
COMBAYA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,0,2,0,0,0,2,2
CONCEPCION,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,19,11,3,9,22,20,42
COPACABANA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,1,5,4,11,5,16,21
CORIPATA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,12,8,3,2,15,10,25
CORO CORO,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,4,7,2,1,6,8,14
COROICO,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,10,6,3,2,13,8,21
CORQUE,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,1,1,1,3,2,4,6
COTAGAITA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,13,10,4,5,17,15,32
COTOCA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,57,49,11,9,68,58,126
CUATRO CAÑADAS,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,17,11,15,17,32,28,60
CUEVO,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,2,4,2,1,4,5,9
CULPINA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,12,10,4,3,16,13,29
CURAHUARA DE CARANGAS,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,1,2,2,0,3,2,5
CURVA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,1,0,3,0,4,0,4
DESAGUADERO,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,3,1,3,6,6,7,13
EL ALTO,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,852,680,119,118,971,798,1769
EL CHORO,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,4,4,2,3,6,7,13
EL PUENTE(STC),vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,6,5,2,0,8,5,13
EL PUENTE(TJA),vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,5,9,6,2,11,11,22
EL TORNO,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,54,50,2,7,56,57,113
EL VILLAR,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,1,0,1,0,2,0,2
ENTRE RIOS TRJ,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,10,17,15,21,25,38,63
ENTRE RIOS CBBA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,26,18,0,0,26,18,44
ESCOMA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,2,7,4,4,6,11,17
EUCALIPTUS,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,3,3,0,0,3,3,6
EUREKA (SANTOS MERCADO),vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,0,0,2,0,2,0,2
EXALTACION,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,0,1,0,0,0,1,1
FERNANDEZ ALONSO,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,5,6,6,10,11,16,27
FILADELFIA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,2,1,3,3,5,4,9
GENERAL SAAVEDRA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,17,9,3,4,20,13,33
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,2,2,7,7,9,9,18
GUANAY,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,11,12,15,11,26,23,49
GUAQUI,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,1,3,0,0,1,3,4
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,36,30,8,7,44,37,81
GUTIERREZ,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,4,6,20,14,24,20,44
HUACARETA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,5,7,4,1,9,8,17
HUACAYA (VILLA DE HUACAYA),vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,0,0,1,3,1,3,4
HUACHACALLA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,1,1,0,0,1,1,2
HUANUNI,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,18,24,3,0,21,24,45
HUARACAJE,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,1,1,5,4,6,5,11
HUARINA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,2,0,3,2,5,2,7
HUATAJATA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,0,0,2,0,2,0,2
HUAYLLAMARCA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,1,2,0,0,1,2,3
HUMANATA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,0,1,2,3,2,4,6
ICHOCA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,1,1,3,1,4,2,6
ICLA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,2,3,0,0,2,3,5
INCAHUASI,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,7,5,3,3,10,8,18
INGAVI (HUMAITA),vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,0,1,3,4,3,5,8
INQUISIVI,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,3,1,7,9,10,10,20
IRUPANA (VILLA DE LANZA),vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,2,11,6,2,8,13,21
IXIAMAS,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,13,9,2,0,15,9,24
JESUS DE MACHACA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,3,8,1,1,4,9,13
LA ASUNTA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,34,39,8,7,42,46,88
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,93,77,16,23,109,100,209
LA PAZ,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,697,617,6,12,703,629,1332
LAGUNILLAS,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,4,2,3,5,7,7,14
LAJA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,12,17,0,4,12,21,33
LAS CARRERAS,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,0,0,2,1,2,1,3
LICOMA PAMPA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,0,0,2,5,2,5,7
LLALLAGUA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,17,16,14,19,31,35,66
LLICA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,2,0,0,1,2,1,3
LORETO,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,0,0,5,5,5,5,10
LURIBAY,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,3,3,1,3,4,6,10
MACHACAMARCA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,2,1,1,0,3,1,4
MACHARETI,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,1,2,3,2,4,4,8
MAGDALENA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,5,3,4,4,9,7,16
MAIRANA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,5,10,0,2,5,12,17
MALLA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,0,0,0,1,0,1,1
MAPIRI,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,14,14,1,0,15,14,29
MECAPACA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,8,6,2,2,10,8,18
MINEROS,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,3,1,0,0,3,1,4
MIZQUE,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,20,22,12,13,32,35,67
MOCOMOCO,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,3,5,1,1,4,6,10
MOJOCOYA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,4,3,3,2,7,5,12
MONTEAGUDO,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,8,21,7,5,15,26,41
MONTERO,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,116,128,3,10,119,138,257
MORO MORO,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,0,0,2,3,2,3,5
MOROCHATA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,2,0,6,11,8,11,19
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,1,2,0,1,1,3,4
OCURI,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,4,6,6,14,10,20,30
OKINAWA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,12,11,6,9,18,20,38
OMEREQUE,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,3,0,8,5,11,5,16
ORURO,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,289,286,3,3,292,289,581
PADCAYA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,16,8,2,5,18,13,31
PADILLA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,6,7,0,2,6,9,15
PAILON,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,23,22,2,5,25,27,52
PALCA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,15,14,5,3,20,17,37
PALOS BLANCOS,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,18,23,4,7,22,30,52
PAMPA AULLAGAS,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,1,0,0,0,1,0,1
PAMPA GRANDE,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,10,14,3,1,13,15,28
PAPEL PAMPA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,0,1,2,3,2,4,6
PASORAPA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,3,3,0,1,3,4,7
PATACAMAYA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,16,19,2,0,18,19,37
PAZÑA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,2,1,3,5,5,6,11
PELECHUCO,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,0,0,1,1,1,1,2
POCOATA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,5,0,9,10,14,10,24
POCONA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,7,5,7,5,14,10,24
POJO (CBBA),vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,4,6,5,4,9,10,19
POOPO,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,0,0,1,1,1,1,2
PORCO,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,2,2,4,3,6,5,11
POROMA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,1,3,9,2,10,5,15
PORONGO,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,7,3,8,11,15,14,29
PORTACHUELO,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,26,16,3,3,29,19,48
PORVENIR,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,8,6,0,0,8,6,14
POSTRER VALLE,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,0,1,0,0,0,1,1
POTOSI,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,215,161,7,9,222,170,392
PRESTO,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,0,0,4,6,4,6,10
PUCARA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,3,0,0,1,3,1,4
PUCARANI,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,15,12,11,10,26,22,48
PUERTO ACOSTA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,0,2,10,9,10,11,21
PUERTO CARABUCO,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,7,3,11,6,18,9,27
PUERTO GONZALO MORENO,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,3,2,3,2,6,4,10
PUERTO PEREZ,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,3,1,0,5,3,6,9
PUERTO QUIJARRO,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,9,10,5,7,14,17,31
PUERTO RICO,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,3,6,0,0,3,6,9
PUERTO SUAREZ,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,15,17,0,0,15,17,32
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,35,40,5,1,40,41,81
PUNA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,4,14,2,2,6,16,22
PUNATA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,27,19,0,1,27,20,47
QUIABAYA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,0,1,2,0,2,1,3
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,80,78,55,68,135,146,281
QUIME,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,0,0,9,16,9,16,25
QUIRUSILLAS,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,0,1,1,0,1,1,2
RAVELO,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,3,5,3,0,6,5,11
REYES,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,6,5,2,3,8,8,16
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,79,107,32,35,111,142,253
ROBORE,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,6,6,6,4,12,10,22
RURRENABAQUE,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,9,13,1,0,10,13,23
SABAYA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,2,3,1,3,3,6,9
SACABA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,152,122,7,12,159,134,293
SACABAMBA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,1,5,0,0,1,5,6
SACACA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,14,13,1,4,15,17,32
SAIPINA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,1,1,4,6,5,7,12
SALINAS DE GARCI MENDOZA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,3,4,5,8,8,12,20
SAMAIPATA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,2,7,5,4,7,11,18
SAN AGUSTIN,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,0,1,0,1,0,2,2
SAN ANDRES,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,1,1,3,5,4,6,10
SAN ANDRES DE MACHACA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,0,0,2,0,2,0,2
SAN ANTONIO DE ESMORUCO,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,1,1,0,0,1,1,2
SAN ANTONIO DE LOMERIO,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,1,5,1,4,2,9,11
SAN BENITO,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,10,4,0,0,10,4,14
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,33,27,1,3,34,30,64
SAN BUENA VENTURA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,1,2,1,1,2,3,5
SAN CARLOS,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,9,12,9,11,18,23,41
SAN IGNACIO,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,14,16,3,3,17,19,36
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,48,52,8,2,56,54,110
SAN JAVIER(BNI),vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,0,0,5,5,5,5,10
SAN JAVIER(STC),vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,12,13,0,0,12,13,25
SAN JOAQUIN,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,1,3,8,7,9,10,19
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,13,19,0,0,13,19,32
SAN JUAN DE YAPACANI,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,3,6,1,2,4,8,12
SAN JULIAN,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-01-01,49,54,16,12,65,66,131
