,group,variable,month,TOTAL ANTIPOLIOMIELÍTICA 1RA DOSIS DENTRO,TOTAL ANTIPOLIOMIELÍTICA 1RA DOSIS DENTRO,TOTAL ANTIPOLIOMIELÍTICA 1RA DOSIS FUERA,TOTAL ANTIPOLIOMIELÍTICA 1RA DOSIS FUERA,TOTALES,TOTALES,TOTALES
COTOCA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-01-01,1,0,0,0,1,0,1
EL ALTO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-01-01,9,10,4,0,13,10,23
EL PUENTE(TJA),vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-01-01,1,0,0,0,1,0,1
EL TORNO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-01-01,1,0,0,0,1,0,1
ENTRE RIOS CBBA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-01-01,0,1,0,0,0,1,1
FERNANDEZ ALONSO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-01-01,1,3,0,1,1,4,5
GENERAL SAAVEDRA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-01-01,1,1,0,0,1,1,2
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-01-01,0,0,0,2,0,2,2
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-01-01,0,1,0,0,0,1,1
HUANUNI,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-01-01,3,3,0,0,3,3,6
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-01-01,2,1,0,1,2,2,4
LA PAZ,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-01-01,5,9,0,0,5,9,14
MECAPACA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-01-01,2,0,1,0,3,0,3
MONTERO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-01-01,12,10,2,0,14,10,24
OKINAWA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-01-01,1,0,0,0,1,0,1
ORURO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-01-01,4,6,0,0,4,6,10
PAILON,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-01-01,14,14,1,1,15,15,30
PAMPA GRANDE,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-01-01,1,0,0,0,1,0,1
PELECHUCO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-01-01,1,0,0,1,1,1,2
POJO (CBBA),vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-01-01,0,1,0,0,0,1,1
POTOSI,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-01-01,2,6,4,2,6,8,14
PUNA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-01-01,0,0,1,1,1,1,2
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-01-01,1,3,6,5,7,8,15
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-01-01,4,2,0,0,4,2,6
SACACA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-01-01,0,0,1,1,1,1,2
SAN JOAQUIN,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-01-01,5,3,5,1,10,4,14
SAN JUAN DE YAPACANI,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-01-01,0,0,1,0,1,0,1
SAN PEDRO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-01-01,2,2,0,0,2,2,4
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-01-01,55,24,2,3,57,27,84
SANTIAGO DE CALLAPA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-01-01,0,0,1,0,1,0,1
SHINAOTA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-01-01,0,0,0,1,0,1,1
SICA SICA (VILLA AROMA),vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-01-01,0,0,1,0,1,0,1
SICAYA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-01-01,1,1,0,0,1,1,2
SIPE SIPE,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-01-01,2,1,0,0,2,1,3
SOPACHUY,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-01-01,1,1,0,3,1,4,5
SORACACHI,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-01-01,5,1,0,0,5,1,6
SORATA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-01-01,0,0,0,1,0,1,1
SUCRE,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-01-01,5,1,0,0,5,1,6
TACACOMA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-01-01,1,0,0,0,1,0,1
TARIJA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-01-01,1,0,0,0,1,0,1
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-01-01,8,7,0,0,8,7,15
URIONDO (A. CONCEPCION),vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-01-01,1,0,0,0,1,0,1
UYUNI,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-01-01,0,2,0,0,0,2,2
VIACHA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-01-01,1,2,0,1,1,3,4
VILLA MONTES,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-01-01,0,1,0,0,0,1,1
VILLA TUNARI,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-01-01,2,1,0,0,2,1,3
VINTO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-01-01,1,1,0,0,1,1,2
WARNES,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-01-01,1,3,0,0,1,3,4
YACUIBA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-01-01,2,3,0,2,2,5,7
YANACACHI,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-01-01,0,1,0,0,0,1,1
YAPACANI,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-01-01,0,1,0,0,0,1,1
YOCALLA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-01-01,0,1,0,0,0,1,1
APOLO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-02-01,0,0,1,0,1,0,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-02-01,2,0,0,0,2,0,2
BERMEJO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-02-01,0,1,1,1,1,2,3
BUENA VISTA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-02-01,1,2,0,0,1,2,3
CABEZAS,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-02-01,0,0,2,1,2,1,3
CAMIRI,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-02-01,0,4,0,0,0,4,4
CARAPARI,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-02-01,0,2,0,0,0,2,2
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-02-01,1,0,0,0,1,0,1
CHOQUE COTA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-02-01,0,1,0,0,0,1,1
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-02-01,1,0,0,1,1,1,2
CHUMA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-02-01,0,0,1,2,1,2,3
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-02-01,1,0,0,0,1,0,1
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-02-01,19,21,2,1,21,22,43
COLCAPIRHUA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-02-01,0,1,0,0,0,1,1
CONCEPCION,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-02-01,0,0,0,2,0,2,2
COTAGAITA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-02-01,0,1,0,1,0,2,2
DESAGUADERO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-02-01,0,0,1,0,1,0,1
EL ALTO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-02-01,7,6,1,1,8,7,15
EL CHORO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-02-01,0,0,1,0,1,0,1
EL TORNO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-02-01,1,0,0,0,1,0,1
ESCOMA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-02-01,0,1,0,0,0,1,1
FERNANDEZ ALONSO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-02-01,1,1,0,0,1,1,2
FILADELFIA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-02-01,1,0,0,0,1,0,1
GENERAL SAAVEDRA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-02-01,1,1,0,0,1,1,2
HUANUNI,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-02-01,0,0,0,1,0,1,1
ICHOCA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-02-01,1,0,0,0,1,0,1
INCAHUASI,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-02-01,1,0,0,0,1,0,1
LA ASUNTA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-02-01,1,0,0,0,1,0,1
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-02-01,1,0,0,0,1,0,1
LA PAZ,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-02-01,5,15,0,0,5,15,20
MECAPACA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-02-01,0,1,0,0,0,1,1
MINEROS,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-02-01,1,0,0,0,1,0,1
MONTERO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-02-01,10,8,0,1,10,9,19
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-02-01,0,1,0,0,0,1,1
OCURI,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-02-01,0,0,0,1,0,1,1
ORURO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-02-01,1,4,0,0,1,4,5
PADCAYA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-02-01,0,1,0,0,0,1,1
PAILON,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-02-01,6,4,2,7,8,11,19
PALCA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-02-01,4,7,0,0,4,7,11
PORCO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-02-01,1,0,0,0,1,0,1
POTOSI,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-02-01,3,2,0,0,3,2,5
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-02-01,0,2,0,0,0,2,2
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-02-01,2,1,1,2,3,3,6
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-02-01,9,5,0,0,9,5,14
RURRENABAQUE,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-02-01,2,0,0,0,2,0,2
SACABA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-02-01,18,18,0,0,18,18,36
SAN ANDRES,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-02-01,2,1,0,0,2,1,3
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-02-01,0,0,1,0,1,0,1
SAN CARLOS,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-02-01,1,0,0,0,1,0,1
SAN IGNACIO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-02-01,1,0,1,0,2,0,2
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-02-01,0,1,0,0,0,1,1
SAN JULIAN,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-02-01,0,0,1,2,1,2,3
SAN MATIAS,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-02-01,1,3,0,0,1,3,4
SAN MIGUEL DE VELASCO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-02-01,1,0,0,0,1,0,1
SANTA ANA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-02-01,1,0,0,0,1,0,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-02-01,117,97,4,7,121,104,225
SANTA ROSA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-02-01,0,0,1,0,1,0,1
SHINAOTA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-02-01,0,0,0,1,0,1,1
SIPE SIPE,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-02-01,3,0,0,0,3,0,3
SUCRE,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-02-01,3,1,0,0,3,1,4
TAPACARI,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-02-01,0,0,2,0,2,0,2
TARATA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-02-01,0,0,1,0,1,0,1
TIAWANACU,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-02-01,1,0,0,0,1,0,1
TIPUANI,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-02-01,0,1,0,0,0,1,1
TIQUIPAYA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-02-01,0,1,0,0,0,1,1
TIRAQUE (CBBA),vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-02-01,0,1,1,0,1,1,2
TOMINA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-02-01,2,1,0,1,2,2,4
TOTORA(CBBA),vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-02-01,1,0,0,0,1,0,1
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-02-01,1,1,1,0,2,1,3
VIACHA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-02-01,3,0,0,3,3,3,6
VILLA MONTES,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-02-01,0,1,0,0,0,1,1
VILLA NUEVA (LOMA ALTA),vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-02-01,0,0,1,0,1,0,1
VILLA TUNARI,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-02-01,3,0,0,0,3,0,3
YACUIBA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-02-01,1,1,0,0,1,1,2
ACHACACHI,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-03-01,0,1,0,1,0,2,2
ACHOCALLA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-03-01,2,1,0,0,2,1,3
ANCORAIMES,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-03-01,1,0,0,0,1,0,1
ANTEQUERA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-03-01,0,0,1,0,1,0,1
APOLO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-03-01,1,1,0,0,1,1,2
ARBIETO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-03-01,1,0,0,0,1,0,1
AYO AYO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-03-01,1,0,0,0,1,0,1
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-03-01,0,1,0,0,0,1,1
BATALLAS,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-03-01,1,0,0,0,1,0,1
BERMEJO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-03-01,1,0,0,0,1,0,1
CABEZAS,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-03-01,0,0,0,1,0,1,1
CARANAVI,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-03-01,1,1,0,1,1,2,3
CARAPARI,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-03-01,1,0,0,0,1,0,1
CARIPUYO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-03-01,0,0,1,3,1,3,4
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-03-01,0,0,0,1,0,1,1
CHIMORE,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-03-01,0,0,0,1,0,1,1
CHIPAYA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-03-01,0,1,1,2,1,3,4
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-03-01,2,0,0,0,2,0,2
COCAPATA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-03-01,0,0,1,1,1,1,2
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-03-01,14,27,0,2,14,29,43
COLOMI,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-03-01,1,0,0,0,1,0,1
COMBAYA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-03-01,0,0,0,1,0,1,1
CONCEPCION,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-03-01,1,1,0,0,1,1,2
CORQUE,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-03-01,1,0,0,0,1,0,1
COTAGAITA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-03-01,2,0,0,0,2,0,2
DESAGUADERO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-03-01,1,0,0,0,1,0,1
EL ALTO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-03-01,10,6,4,1,14,7,21
EL CHORO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-03-01,0,0,1,0,1,0,1
EXALTACION,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-03-01,1,1,6,3,7,4,11
FERNANDEZ ALONSO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-03-01,0,1,0,0,0,1,1
GENERAL SAAVEDRA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-03-01,0,1,2,1,2,2,4
HUACARETA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-03-01,0,1,0,0,0,1,1
LA ASUNTA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-03-01,4,2,0,1,4,3,7
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-03-01,2,1,0,0,2,1,3
LA PAZ,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-03-01,3,7,3,0,6,7,13
LLALLAGUA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-03-01,0,0,3,4,3,4,7
LURIBAY,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-03-01,0,0,0,1,0,1,1
MALLA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-03-01,1,2,0,0,1,2,3
MECAPACA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-03-01,0,1,0,0,0,1,1
MONTERO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-03-01,2,1,0,0,2,1,3
OCURI,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-03-01,1,2,0,0,1,2,3
ORURO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-03-01,5,3,0,1,5,4,9
PAILON,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-03-01,10,7,6,5,16,12,28
PALCA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-03-01,6,3,1,0,7,3,10
PALOS BLANCOS,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-03-01,0,1,0,0,0,1,1
POCOATA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-03-01,0,0,0,1,0,1,1
POOPO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-03-01,1,0,0,0,1,0,1
PORCO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-03-01,1,0,0,0,1,0,1
POTOSI,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-03-01,1,1,2,0,3,1,4
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-03-01,0,0,0,3,0,3,3
RAVELO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-03-01,0,0,1,0,1,0,1
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-03-01,4,5,3,0,7,5,12
SACABA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-03-01,2,4,0,0,2,4,6
SALINAS DE GARCI MENDOZA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-03-01,0,0,0,1,0,1,1
SAMAIPATA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-03-01,1,0,0,0,1,0,1
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-03-01,1,1,1,0,2,1,3
SAN BUENA VENTURA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-03-01,0,2,0,0,0,2,2
SAN CARLOS,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-03-01,0,1,0,0,0,1,1
SAN JULIAN,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-03-01,0,0,0,2,0,2,2
