,group,variable,month,DE 5 AÑOS Y MÁS VIVAX,DE 5 AÑOS Y MÁS VIVAX,DE 5 AÑOS Y MÁS FALCIPARUM,DE 5 AÑOS Y MÁS FALCIPARUM,TOTALES,TOTALES,TOTALES
SANTA ROSA,malaria,de 5 anos y mas,2020-01-01,6,3,0,0,6,3,9
SENA,malaria,de 5 anos y mas,2020-01-01,107,59,6,5,113,64,177
SUCRE,malaria,de 5 anos y mas,2020-01-01,1,0,0,0,1,0,1
VILLA NUEVA (LOMA ALTA),malaria,de 5 anos y mas,2020-01-01,5,0,0,0,5,0,5
VILLA VACA GUZMAN (MUYUPAMPA),malaria,de 5 anos y mas,2020-01-01,3,0,0,0,3,0,3
YACUIBA,malaria,de 5 anos y mas,2020-01-01,1,0,0,0,1,0,1
CARANAVI,malaria,de 5 anos y mas,2020-02-01,1,0,0,0,1,0,1
COBIJA,malaria,de 5 anos y mas,2020-02-01,3,2,0,0,3,2,5
EUREKA (SANTOS MERCADO),malaria,de 5 anos y mas,2020-02-01,11,6,0,0,11,6,17
FILADELFIA,malaria,de 5 anos y mas,2020-02-01,3,2,0,0,3,2,5
GUAYARAMERIN,malaria,de 5 anos y mas,2020-02-01,35,24,0,0,35,24,59
INGAVI (HUMAITA),malaria,de 5 anos y mas,2020-02-01,16,10,0,0,16,10,26
IXIAMAS,malaria,de 5 anos y mas,2020-02-01,31,13,0,0,31,13,44
NACEBE (SANTA ROSA DEL ABUNA),malaria,de 5 anos y mas,2020-02-01,13,1,0,0,13,1,14
NUEVO MANOA (NUEVA ESPERANZA),malaria,de 5 anos y mas,2020-02-01,39,26,0,0,39,26,65
PUERTO GONZALO MORENO,malaria,de 5 anos y mas,2020-02-01,4,3,0,0,4,3,7
PUERTO RICO,malaria,de 5 anos y mas,2020-02-01,30,22,0,0,30,22,52
REYES,malaria,de 5 anos y mas,2020-02-01,1,1,0,0,1,1,2
RIBERALTA,malaria,de 5 anos y mas,2020-02-01,143,90,2,0,145,90,235
RURRENABAQUE,malaria,de 5 anos y mas,2020-02-01,0,1,0,0,0,1,1
SAN BORJA,malaria,de 5 anos y mas,2020-02-01,1,1,0,0,1,1,2
SAN BUENA VENTURA,malaria,de 5 anos y mas,2020-02-01,1,0,0,0,1,0,1
SAN JOAQUIN,malaria,de 5 anos y mas,2020-02-01,4,1,0,0,4,1,5
SAN LORENZO(PND),malaria,de 5 anos y mas,2020-02-01,7,10,0,0,7,10,17
SAN PEDRO(PND),malaria,de 5 anos y mas,2020-02-01,1,1,0,0,1,1,2
SANTA ROSA,malaria,de 5 anos y mas,2020-02-01,12,6,0,0,12,6,18
SENA,malaria,de 5 anos y mas,2020-02-01,57,37,3,0,60,37,97
VILLA NUEVA (LOMA ALTA),malaria,de 5 anos y mas,2020-02-01,0,1,0,0,0,1,1
BELLA FLOR,malaria,de 5 anos y mas,2020-03-01,2,1,0,0,2,1,3
CARANAVI,malaria,de 5 anos y mas,2020-03-01,1,0,0,0,1,0,1
COBIJA,malaria,de 5 anos y mas,2020-03-01,3,1,0,0,3,1,4
EUREKA (SANTOS MERCADO),malaria,de 5 anos y mas,2020-03-01,13,8,0,0,13,8,21
FILADELFIA,malaria,de 5 anos y mas,2020-03-01,6,2,0,0,6,2,8
GUAYARAMERIN,malaria,de 5 anos y mas,2020-03-01,80,43,0,0,80,43,123
INGAVI (HUMAITA),malaria,de 5 anos y mas,2020-03-01,2,0,0,0,2,0,2
IXIAMAS,malaria,de 5 anos y mas,2020-03-01,50,17,0,0,50,17,67
MAGDALENA,malaria,de 5 anos y mas,2020-03-01,1,0,0,0,1,0,1
NACEBE (SANTA ROSA DEL ABUNA),malaria,de 5 anos y mas,2020-03-01,8,1,0,0,8,1,9
NUEVO MANOA (NUEVA ESPERANZA),malaria,de 5 anos y mas,2020-03-01,17,20,0,0,17,20,37
PUERTO GONZALO MORENO,malaria,de 5 anos y mas,2020-03-01,10,2,0,0,10,2,12
PUERTO RICO,malaria,de 5 anos y mas,2020-03-01,20,12,0,0,20,12,32
REYES,malaria,de 5 anos y mas,2020-03-01,7,4,0,0,7,4,11
RIBERALTA,malaria,de 5 anos y mas,2020-03-01,179,98,4,2,183,100,283
SAN BUENA VENTURA,malaria,de 5 anos y mas,2020-03-01,3,0,0,0,3,0,3
SAN JOAQUIN,malaria,de 5 anos y mas,2020-03-01,0,2,0,0,0,2,2
SAN LORENZO(PND),malaria,de 5 anos y mas,2020-03-01,32,21,0,0,32,21,53
SANTA ROSA,malaria,de 5 anos y mas,2020-03-01,7,5,0,0,7,5,12
SENA,malaria,de 5 anos y mas,2020-03-01,100,68,1,0,101,68,169
VILLA NUEVA (LOMA ALTA),malaria,de 5 anos y mas,2020-03-01,5,5,0,0,5,5,10
BELLA FLOR,malaria,de 5 anos y mas,2020-04-01,11,5,0,0,11,5,16
COBIJA,malaria,de 5 anos y mas,2020-04-01,2,1,0,0,2,1,3
EUREKA (SANTOS MERCADO),malaria,de 5 anos y mas,2020-04-01,23,15,0,0,23,15,38
FILADELFIA,malaria,de 5 anos y mas,2020-04-01,7,1,0,0,7,1,8
GUAYARAMERIN,malaria,de 5 anos y mas,2020-04-01,44,17,0,0,44,17,61
INGAVI (HUMAITA),malaria,de 5 anos y mas,2020-04-01,7,9,0,0,7,9,16
IXIAMAS,malaria,de 5 anos y mas,2020-04-01,46,21,0,0,46,21,67
NACEBE (SANTA ROSA DEL ABUNA),malaria,de 5 anos y mas,2020-04-01,27,10,0,0,27,10,37
NUEVO MANOA (NUEVA ESPERANZA),malaria,de 5 anos y mas,2020-04-01,37,23,0,0,37,23,60
PUERTO GONZALO MORENO,malaria,de 5 anos y mas,2020-04-01,6,4,0,0,6,4,10
PUERTO RICO,malaria,de 5 anos y mas,2020-04-01,93,70,0,0,93,70,163
REYES,malaria,de 5 anos y mas,2020-04-01,12,12,0,0,12,12,24
RIBERALTA,malaria,de 5 anos y mas,2020-04-01,226,86,0,0,226,86,312
SAN BUENA VENTURA,malaria,de 5 anos y mas,2020-04-01,2,0,0,0,2,0,2
SAN JOAQUIN,malaria,de 5 anos y mas,2020-04-01,2,0,0,0,2,0,2
SAN LORENZO(PND),malaria,de 5 anos y mas,2020-04-01,38,36,0,0,38,36,74
SAN PEDRO(PND),malaria,de 5 anos y mas,2020-04-01,7,1,0,0,7,1,8
SANTA ROSA,malaria,de 5 anos y mas,2020-04-01,10,1,0,0,10,1,11
SENA,malaria,de 5 anos y mas,2020-04-01,172,88,0,0,172,88,260
VILLA NUEVA (LOMA ALTA),malaria,de 5 anos y mas,2020-04-01,3,4,0,0,3,4,7
BELLA FLOR,malaria,de 5 anos y mas,2020-05-01,10,2,0,0,10,2,12
COBIJA,malaria,de 5 anos y mas,2020-05-01,0,0,0,0,0,0,0
EL VILLAR,malaria,de 5 anos y mas,2020-05-01,1,0,0,0,1,0,1
EUREKA (SANTOS MERCADO),malaria,de 5 anos y mas,2020-05-01,12,7,0,0,12,7,19
FILADELFIA,malaria,de 5 anos y mas,2020-05-01,9,4,0,0,9,4,13
GUAYARAMERIN,malaria,de 5 anos y mas,2020-05-01,87,54,0,0,87,54,141
INGAVI (HUMAITA),malaria,de 5 anos y mas,2020-05-01,15,9,0,0,15,9,24
IXIAMAS,malaria,de 5 anos y mas,2020-05-01,45,29,0,0,45,29,74
MONTERO,malaria,de 5 anos y mas,2020-05-01,0,0,0,0,0,0,0
NACEBE (SANTA ROSA DEL ABUNA),malaria,de 5 anos y mas,2020-05-01,16,10,0,0,16,10,26
NUEVO MANOA (NUEVA ESPERANZA),malaria,de 5 anos y mas,2020-05-01,24,13,0,0,24,13,37
PORVENIR,malaria,de 5 anos y mas,2020-05-01,0,3,0,0,0,3,3
PUERTO GONZALO MORENO,malaria,de 5 anos y mas,2020-05-01,2,1,0,0,2,1,3
PUERTO RICO,malaria,de 5 anos y mas,2020-05-01,91,35,0,0,91,35,126
REYES,malaria,de 5 anos y mas,2020-05-01,11,20,0,0,11,20,31
RIBERALTA,malaria,de 5 anos y mas,2020-05-01,146,80,0,0,146,80,226
SAN BORJA,malaria,de 5 anos y mas,2020-05-01,1,0,0,0,1,0,1
SAN LORENZO(PND),malaria,de 5 anos y mas,2020-05-01,22,17,1,0,23,17,40
SAN PEDRO(PND),malaria,de 5 anos y mas,2020-05-01,7,1,0,0,7,1,8
SANTA ROSA,malaria,de 5 anos y mas,2020-05-01,7,5,0,0,7,5,12
SENA,malaria,de 5 anos y mas,2020-05-01,89,64,0,0,89,64,153
VILLA NUEVA (LOMA ALTA),malaria,de 5 anos y mas,2020-05-01,1,3,0,0,1,3,4
BELLA FLOR,malaria,de 5 anos y mas,2020-06-01,6,3,0,0,6,3,9
COBIJA,malaria,de 5 anos y mas,2020-06-01,1,0,0,0,1,0,1
EUREKA (SANTOS MERCADO),malaria,de 5 anos y mas,2020-06-01,7,13,0,0,7,13,20
FILADELFIA,malaria,de 5 anos y mas,2020-06-01,1,4,0,0,1,4,5
GUAYARAMERIN,malaria,de 5 anos y mas,2020-06-01,125,68,0,0,125,68,193
INGAVI (HUMAITA),malaria,de 5 anos y mas,2020-06-01,4,3,0,0,4,3,7
IXIAMAS,malaria,de 5 anos y mas,2020-06-01,37,23,0,0,37,23,60
NACEBE (SANTA ROSA DEL ABUNA),malaria,de 5 anos y mas,2020-06-01,18,7,0,0,18,7,25
NUEVO MANOA (NUEVA ESPERANZA),malaria,de 5 anos y mas,2020-06-01,11,12,0,0,11,12,23
PUERTO GONZALO MORENO,malaria,de 5 anos y mas,2020-06-01,4,2,0,0,4,2,6
PUERTO RICO,malaria,de 5 anos y mas,2020-06-01,54,26,0,0,54,26,80
REYES,malaria,de 5 anos y mas,2020-06-01,2,3,0,0,2,3,5
RIBERALTA,malaria,de 5 anos y mas,2020-06-01,103,60,0,0,103,60,163
SAN LORENZO(PND),malaria,de 5 anos y mas,2020-06-01,18,13,0,0,18,13,31
SAN PEDRO(PND),malaria,de 5 anos y mas,2020-06-01,4,1,0,0,4,1,5
SANTA ROSA,malaria,de 5 anos y mas,2020-06-01,3,4,0,0,3,4,7
SENA,malaria,de 5 anos y mas,2020-06-01,59,32,0,0,59,32,91
VILLA NUEVA (LOMA ALTA),malaria,de 5 anos y mas,2020-06-01,5,3,0,0,5,3,8
BELLA FLOR,malaria,de 5 anos y mas,2020-07-01,9,1,0,0,9,1,10
COBIJA,malaria,de 5 anos y mas,2020-07-01,2,1,0,0,2,1,3
EL VILLAR,malaria,de 5 anos y mas,2020-07-01,0,1,0,0,0,1,1
EUREKA (SANTOS MERCADO),malaria,de 5 anos y mas,2020-07-01,7,3,0,0,7,3,10
FILADELFIA,malaria,de 5 anos y mas,2020-07-01,3,1,0,0,3,1,4
GUAYARAMERIN,malaria,de 5 anos y mas,2020-07-01,102,51,0,0,102,51,153
INGAVI (HUMAITA),malaria,de 5 anos y mas,2020-07-01,3,0,0,0,3,0,3
IXIAMAS,malaria,de 5 anos y mas,2020-07-01,44,34,0,0,44,34,78
NACEBE (SANTA ROSA DEL ABUNA),malaria,de 5 anos y mas,2020-07-01,16,11,0,0,16,11,27
NUEVO MANOA (NUEVA ESPERANZA),malaria,de 5 anos y mas,2020-07-01,33,22,0,0,33,22,55
PORVENIR,malaria,de 5 anos y mas,2020-07-01,0,1,0,0,0,1,1
PUERTO GONZALO MORENO,malaria,de 5 anos y mas,2020-07-01,2,0,0,0,2,0,2
PUERTO RICO,malaria,de 5 anos y mas,2020-07-01,89,58,0,0,89,58,147
REYES,malaria,de 5 anos y mas,2020-07-01,9,6,0,0,9,6,15
RIBERALTA,malaria,de 5 anos y mas,2020-07-01,174,130,0,0,174,130,304
RURRENABAQUE,malaria,de 5 anos y mas,2020-07-01,0,2,0,0,0,2,2
SAN JOAQUIN,malaria,de 5 anos y mas,2020-07-01,2,1,0,0,2,1,3
SAN LORENZO(PND),malaria,de 5 anos y mas,2020-07-01,13,14,0,0,13,14,27
SAN PEDRO(PND),malaria,de 5 anos y mas,2020-07-01,4,4,0,0,4,4,8
SANTA CRUZ DE LA SIERRA,malaria,de 5 anos y mas,2020-07-01,0,1,0,0,0,1,1
SANTA ROSA,malaria,de 5 anos y mas,2020-07-01,2,9,0,0,2,9,11
SENA,malaria,de 5 anos y mas,2020-07-01,60,41,0,0,60,41,101
VILLA NUEVA (LOMA ALTA),malaria,de 5 anos y mas,2020-07-01,0,1,0,0,0,1,1
BELLA FLOR,malaria,de 5 anos y mas,2020-08-01,5,0,0,0,5,0,5
COBIJA,malaria,de 5 anos y mas,2020-08-01,0,0,0,0,0,0,0
COCHABAMBA,malaria,de 5 anos y mas,2020-08-01,0,0,0,2,0,2,2
EUREKA (SANTOS MERCADO),malaria,de 5 anos y mas,2020-08-01,6,0,0,0,6,0,6
FILADELFIA,malaria,de 5 anos y mas,2020-08-01,1,0,0,0,1,0,1
GUAYARAMERIN,malaria,de 5 anos y mas,2020-08-01,85,45,0,0,85,45,130
INGAVI (HUMAITA),malaria,de 5 anos y mas,2020-08-01,2,1,0,0,2,1,3
IXIAMAS,malaria,de 5 anos y mas,2020-08-01,9,10,0,0,9,10,19
MAPIRI,malaria,de 5 anos y mas,2020-08-01,1,0,0,0,1,0,1
NACEBE (SANTA ROSA DEL ABUNA),malaria,de 5 anos y mas,2020-08-01,22,6,0,0,22,6,28
NUEVO MANOA (NUEVA ESPERANZA),malaria,de 5 anos y mas,2020-08-01,30,25,0,0,30,25,55
PORVENIR,malaria,de 5 anos y mas,2020-08-01,2,0,0,0,2,0,2
PUERTO GONZALO MORENO,malaria,de 5 anos y mas,2020-08-01,2,2,0,0,2,2,4
PUERTO RICO,malaria,de 5 anos y mas,2020-08-01,98,68,0,0,98,68,166
REYES,malaria,de 5 anos y mas,2020-08-01,5,4,0,0,5,4,9
RIBERALTA,malaria,de 5 anos y mas,2020-08-01,196,136,0,0,196,136,332
SAN BORJA,malaria,de 5 anos y mas,2020-08-01,1,0,0,0,1,0,1
SAN BUENA VENTURA,malaria,de 5 anos y mas,2020-08-01,2,1,0,0,2,1,3
SAN LORENZO(PND),malaria,de 5 anos y mas,2020-08-01,11,4,0,0,11,4,15
SAN PEDRO(PND),malaria,de 5 anos y mas,2020-08-01,1,2,0,0,1,2,3
SANTA ROSA,malaria,de 5 anos y mas,2020-08-01,2,1,0,0,2,1,3
SENA,malaria,de 5 anos y mas,2020-08-01,57,35,0,0,57,35,92
VILLA NUEVA (LOMA ALTA),malaria,de 5 anos y mas,2020-08-01,1,1,0,0,1,1,2
BELLA FLOR,malaria,de 5 anos y mas,2020-09-01,4,3,0,0,4,3,7
COBIJA,malaria,de 5 anos y mas,2020-09-01,1,2,0,0,1,2,3
EUREKA (SANTOS MERCADO),malaria,de 5 anos y mas,2020-09-01,3,2,7,4,10,6,16
FILADELFIA,malaria,de 5 anos y mas,2020-09-01,0,3,0,0,0,3,3
GUAYARAMERIN,malaria,de 5 anos y mas,2020-09-01,61,50,0,0,61,50,111
IXIAMAS,malaria,de 5 anos y mas,2020-09-01,8,11,0,0,8,11,19
NACEBE (SANTA ROSA DEL ABUNA),malaria,de 5 anos y mas,2020-09-01,7,4,0,0,7,4,11
NUEVO MANOA (NUEVA ESPERANZA),malaria,de 5 anos y mas,2020-09-01,61,45,0,0,61,45,106
PORVENIR,malaria,de 5 anos y mas,2020-09-01,2,1,0,0,2,1,3
PUERTO GONZALO MORENO,malaria,de 5 anos y mas,2020-09-01,1,0,0,0,1,0,1
PUERTO RICO,malaria,de 5 anos y mas,2020-09-01,83,55,0,0,83,55,138
REYES,malaria,de 5 anos y mas,2020-09-01,6,4,0,0,6,4,10
RIBERALTA,malaria,de 5 anos y mas,2020-09-01,257,160,2,0,259,160,419
SAN BUENA VENTURA,malaria,de 5 anos y mas,2020-09-01,1,1,0,0,1,1,2
SAN JOAQUIN,malaria,de 5 anos y mas,2020-09-01,3,0,0,0,3,0,3
SAN LORENZO(PND),malaria,de 5 anos y mas,2020-09-01,9,8,0,0,9,8,17
SAN PEDRO(PND),malaria,de 5 anos y mas,2020-09-01,3,1,0,0,3,1,4
SENA,malaria,de 5 anos y mas,2020-09-01,28,27,0,0,28,27,55
BELLA FLOR,malaria,de 5 anos y mas,2020-10-01,5,2,0,0,5,2,7
COBIJA,malaria,de 5 anos y mas,2020-10-01,3,2,0,0,3,2,5
EUREKA (SANTOS MERCADO),malaria,de 5 anos y mas,2020-10-01,3,3,2,2,5,5,10
FILADELFIA,malaria,de 5 anos y mas,2020-10-01,2,0,0,0,2,0,2
GUAYARAMERIN,malaria,de 5 anos y mas,2020-10-01,72,45,0,0,72,45,117
INGAVI (HUMAITA),malaria,de 5 anos y mas,2020-10-01,10,3,0,0,10,3,13
IXIAMAS,malaria,de 5 anos y mas,2020-10-01,4,5,0,0,4,5,9
NACEBE (SANTA ROSA DEL ABUNA),malaria,de 5 anos y mas,2020-10-01,13,2,0,0,13,2,15
NUEVO MANOA (NUEVA ESPERANZA),malaria,de 5 anos y mas,2020-10-01,42,26,0,0,42,26,68
PORVENIR,malaria,de 5 anos y mas,2020-10-01,1,0,0,0,1,0,1
PUERTO RICO,malaria,de 5 anos y mas,2020-10-01,119,64,0,0,119,64,183
REYES,malaria,de 5 anos y mas,2020-10-01,3,7,0,0,3,7,10
RIBERALTA,malaria,de 5 anos y mas,2020-10-01,291,177,2,1,293,178,471
SAN LORENZO(PND),malaria,de 5 anos y mas,2020-10-01,17,9,0,0,17,9,26
SAN PEDRO(PND),malaria,de 5 anos y mas,2020-10-01,0,1,0,0,0,1,1
SENA,malaria,de 5 anos y mas,2020-10-01,42,29,0,0,42,29,71
VILLA NUEVA (LOMA ALTA),malaria,de 5 anos y mas,2020-10-01,3,2,0,0,3,2,5
BELLA FLOR,malaria,de 5 anos y mas,2020-11-01,3,3,0,0,3,3,6
COBIJA,malaria,de 5 anos y mas,2020-11-01,4,4,0,0,4,4,8
EUREKA (SANTOS MERCADO),malaria,de 5 anos y mas,2020-11-01,6,4,4,4,10,8,18
FILADELFIA,malaria,de 5 anos y mas,2020-11-01,0,2,0,0,0,2,2
GUAYARAMERIN,malaria,de 5 anos y mas,2020-11-01,56,48,0,0,56,48,104
INGAVI (HUMAITA),malaria,de 5 anos y mas,2020-11-01,3,2,0,0,3,2,5
IXIAMAS,malaria,de 5 anos y mas,2020-11-01,9,6,0,0,9,6,15
NACEBE (SANTA ROSA DEL ABUNA),malaria,de 5 anos y mas,2020-11-01,16,8,0,0,16,8,24
NUEVO MANOA (NUEVA ESPERANZA),malaria,de 5 anos y mas,2020-11-01,74,48,0,0,74,48,122
PORVENIR,malaria,de 5 anos y mas,2020-11-01,0,1,0,0,0,1,1
PUERTO GONZALO MORENO,malaria,de 5 anos y mas,2020-11-01,2,0,0,0,2,0,2
PUERTO RICO,malaria,de 5 anos y mas,2020-11-01,78,74,0,0,78,74,152
REYES,malaria,de 5 anos y mas,2020-11-01,7,1,0,0,7,1,8
RIBERALTA,malaria,de 5 anos y mas,2020-11-01,218,180,1,0,219,180,399
RURRENABAQUE,malaria,de 5 anos y mas,2020-11-01,0,1,0,0,0,1,1
SAN BORJA,malaria,de 5 anos y mas,2020-11-01,2,0,1,0,3,0,3
SAN JOAQUIN,malaria,de 5 anos y mas,2020-11-01,1,0,0,0,1,0,1
SAN LORENZO(PND),malaria,de 5 anos y mas,2020-11-01,14,13,0,0,14,13,27
SAN PEDRO(PND),malaria,de 5 anos y mas,2020-11-01,2,1,0,0,2,1,3
SANTA ROSA,malaria,de 5 anos y mas,2020-11-01,12,7,0,0,12,7,19
SENA,malaria,de 5 anos y mas,2020-11-01,38,15,0,0,38,15,53
SOPACHUY,malaria,de 5 anos y mas,2020-11-01,0,5,0,0,0,5,5
VILLA NUEVA (LOMA ALTA),malaria,de 5 anos y mas,2020-11-01,1,0,0,0,1,0,1
BELLA FLOR,malaria,de 5 anos y mas,2020-12-01,11,9,0,0,11,9,20
COBIJA,malaria,de 5 anos y mas,2020-12-01,3,1,0,0,3,1,4
EL TORNO,malaria,de 5 anos y mas,2020-12-01,4,18,0,0,4,18,22
EUREKA (SANTOS MERCADO),malaria,de 5 anos y mas,2020-12-01,10,4,3,5,13,9,22
FILADELFIA,malaria,de 5 anos y mas,2020-12-01,1,0,0,0,1,0,1
GUAYARAMERIN,malaria,de 5 anos y mas,2020-12-01,57,29,0,0,57,29,86
INGAVI (HUMAITA),malaria,de 5 anos y mas,2020-12-01,4,5,0,0,4,5,9
IXIAMAS,malaria,de 5 anos y mas,2020-12-01,9,3,0,0,9,3,12
NACEBE (SANTA ROSA DEL ABUNA),malaria,de 5 anos y mas,2020-12-01,26,4,0,0,26,4,30
NUEVO MANOA (NUEVA ESPERANZA),malaria,de 5 anos y mas,2020-12-01,31,22,0,0,31,22,53
PORVENIR,malaria,de 5 anos y mas,2020-12-01,1,1,0,0,1,1,2
PUERTO GONZALO MORENO,malaria,de 5 anos y mas,2020-12-01,3,2,0,0,3,2,5
PUERTO RICO,malaria,de 5 anos y mas,2020-12-01,143,59,0,0,143,59,202
REYES,malaria,de 5 anos y mas,2020-12-01,9,3,0,0,9,3,12
RIBERALTA,malaria,de 5 anos y mas,2020-12-01,324,200,0,2,324,202,526
RURRENABAQUE,malaria,de 5 anos y mas,2020-12-01,1,2,0,0,1,2,3
SAN BORJA,malaria,de 5 anos y mas,2020-12-01,1,0,0,0,1,0,1
SAN JOAQUIN,malaria,de 5 anos y mas,2020-12-01,1,0,0,0,1,0,1
SAN LORENZO(PND),malaria,de 5 anos y mas,2020-12-01,26,17,0,0,26,17,43
SAN PEDRO(PND),malaria,de 5 anos y mas,2020-12-01,1,1,0,0,1,1,2
SANTA ROSA,malaria,de 5 anos y mas,2020-12-01,9,8,1,0,10,8,18
SENA,malaria,de 5 anos y mas,2020-12-01,35,18,0,0,35,18,53
VILLA NUEVA (LOMA ALTA),malaria,de 5 anos y mas,2020-12-01,3,3,1,0,4,3,7
