,group,variable,month,MUJER EMBARAZADA VIVAX,MUJER EMBARAZADA VIVAX,MUJER EMBARAZADA FALCIPARUM,MUJER EMBARAZADA FALCIPARUM,TOTALES,TOTALES,TOTALES
PUERTO RICO,malaria,mujer embarazada,2020-05-01,0,1,0,0,0,1,1
REYES,malaria,mujer embarazada,2020-05-01,0,1,0,0,0,1,1
RIBERALTA,malaria,mujer embarazada,2020-05-01,0,5,0,0,0,5,5
SENA,malaria,mujer embarazada,2020-05-01,0,2,0,0,0,2,2
GUAYARAMERIN,malaria,mujer embarazada,2020-06-01,0,1,0,0,0,1,1
MACHARETI,malaria,mujer embarazada,2020-06-01,0,1,0,0,0,1,1
NACEBE (SANTA ROSA DEL ABUNA),malaria,mujer embarazada,2020-06-01,0,1,0,0,0,1,1
REYES,malaria,mujer embarazada,2020-06-01,0,1,0,0,0,1,1
RIBERALTA,malaria,mujer embarazada,2020-06-01,0,3,0,0,0,3,3
SUCRE,malaria,mujer embarazada,2020-06-01,14,0,20,0,34,0,34
VILLA VACA GUZMAN (MUYUPAMPA),malaria,mujer embarazada,2020-06-01,0,4,0,0,0,4,4
GUAYARAMERIN,malaria,mujer embarazada,2020-07-01,0,2,0,0,0,2,2
PUERTO RICO,malaria,mujer embarazada,2020-07-01,0,1,0,0,0,1,1
RIBERALTA,malaria,mujer embarazada,2020-07-01,0,3,0,0,0,3,3
SENA,malaria,mujer embarazada,2020-07-01,0,1,0,0,0,1,1
VILLA VACA GUZMAN (MUYUPAMPA),malaria,mujer embarazada,2020-07-01,0,3,0,0,0,3,3
COBIJA,malaria,mujer embarazada,2020-08-01,0,0,0,0,0,0,0
GUAYARAMERIN,malaria,mujer embarazada,2020-08-01,0,1,0,0,0,1,1
MACHARETI,malaria,mujer embarazada,2020-08-01,0,4,0,0,0,4,4
PUERTO RICO,malaria,mujer embarazada,2020-08-01,0,2,0,0,0,2,2
REYES,malaria,mujer embarazada,2020-08-01,0,1,0,0,0,1,1
RIBERALTA,malaria,mujer embarazada,2020-08-01,0,3,1,0,1,3,4
SENA,malaria,mujer embarazada,2020-08-01,0,1,0,0,0,1,1
VILLA NUEVA (LOMA ALTA),malaria,mujer embarazada,2020-08-01,0,1,0,0,0,1,1
VILLA VACA GUZMAN (MUYUPAMPA),malaria,mujer embarazada,2020-08-01,0,4,0,0,0,4,4
COBIJA,malaria,mujer embarazada,2020-09-01,0,1,0,0,0,1,1
EL VILLAR,malaria,mujer embarazada,2020-09-01,0,3,0,0,0,3,3
PUERTO RICO,malaria,mujer embarazada,2020-09-01,0,1,0,0,0,1,1
RIBERALTA,malaria,mujer embarazada,2020-09-01,0,6,0,0,0,6,6
SENA,malaria,mujer embarazada,2020-09-01,0,4,0,0,0,4,4
SUCRE,malaria,mujer embarazada,2020-09-01,0,11,0,0,0,11,11
VILLA VACA GUZMAN (MUYUPAMPA),malaria,mujer embarazada,2020-09-01,0,2,0,1,0,3,3
GUAYARAMERIN,malaria,mujer embarazada,2020-10-01,0,3,0,0,0,3,3
MACHARETI,malaria,mujer embarazada,2020-10-01,0,2,0,0,0,2,2
PUERTO RICO,malaria,mujer embarazada,2020-10-01,0,5,0,0,0,5,5
RIBERALTA,malaria,mujer embarazada,2020-10-01,0,6,0,0,0,6,6
MACHARETI,malaria,mujer embarazada,2020-11-01,0,1,0,0,0,1,1
RIBERALTA,malaria,mujer embarazada,2020-11-01,0,4,0,0,0,4,4
SENA,malaria,mujer embarazada,2020-11-01,0,1,0,0,0,1,1
GUAYARAMERIN,malaria,mujer embarazada,2020-12-01,0,3,0,0,0,3,3
MACHARETI,malaria,mujer embarazada,2020-12-01,0,0,0,1,0,1,1
PUERTO RICO,malaria,mujer embarazada,2020-12-01,0,1,0,0,0,1,1
RIBERALTA,malaria,mujer embarazada,2020-12-01,0,6,0,0,0,6,6
SENA,malaria,mujer embarazada,2020-12-01,0,1,0,0,0,1,1
VILLA VACA GUZMAN (MUYUPAMPA),malaria,mujer embarazada,2020-12-01,0,0,0,1,0,1,1
