municipality,group,variable,month,Pacientes referidos del establecimiento a la medicina tradicional,TOTAL
TOTORA(ORR),refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2023-03-01,5,5
VILLA CHARCAS,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2023-03-01,2,2
ZUDAÑEZ,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2023-03-01,1,1
ATOCHA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2023-04-01,2,2
CAMIRI,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2023-04-01,1,1
CARAPARI,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2023-04-01,1,1
CHUQUIHUTA AYLLU JUCUMANI,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2023-04-01,2,2
PADCAYA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2023-04-01,2,2
POROMA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2023-04-01,4,4
TARVITA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2023-04-01,1,1
TOMINA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2023-04-01,1,1
TOTORA(ORR),refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2023-04-01,7,7
TRINIDAD,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2023-04-01,3,3
VILLA CHARCAS,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2023-04-01,2,2
CAMIRI,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2023-05-01,1,1
CARAPARI,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2023-05-01,1,1
CHUQUIHUTA AYLLU JUCUMANI,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2023-05-01,3,3
COCHABAMBA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2023-05-01,1,1
COMARAPA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2023-05-01,1,1
EL ALTO,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2023-05-01,2,2
JESUS DE MACHACA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2023-05-01,3,3
PADCAYA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2023-05-01,1,1
RIBERALTA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2023-05-01,5,5
TAPACARI,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2023-05-01,1,1
TARIJA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2023-05-01,1,1
TOTORA(ORR),refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2023-05-01,6,6
VILLA CHARCAS,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2023-05-01,6,6
VILLA MONTES,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2023-05-01,1,1
ACHOCALLA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2023-06-01,0,0
CHUQUIHUTA AYLLU JUCUMANI,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2023-06-01,1,1
EL ALTO,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2023-06-01,6,6
EL PUENTE(TJA),refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2023-06-01,1,1
JESUS DE MACHACA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2023-06-01,14,14
MONTEAGUDO,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2023-06-01,3,3
POROMA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2023-06-01,4,4
RIBERALTA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2023-06-01,1,1
TACOPAYA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2023-06-01,1,1
TARIJA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2023-06-01,2,2
TOTORA(ORR),refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2023-06-01,7,7
VILLA CHARCAS,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2023-06-01,8,8
VILLA MONTES,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2023-06-01,1,1
WARNES,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2023-06-01,1,1
CARAPARI,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2023-07-01,1,1
EL ALTO,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2023-07-01,60,60
EL PUENTE(TJA),refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2023-07-01,3,3
JESUS DE MACHACA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2023-07-01,2,2
PUERTO SILES,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2023-07-01,2,2
RIBERALTA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2023-07-01,1,1
SAN BORJA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2023-07-01,5,5
SAN LORENZO(PND),refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2023-07-01,1,1
SAN PEDRO DE MACHA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2023-07-01,1,1
TARIJA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2023-07-01,2,2
TOTORA(ORR),refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2023-07-01,7,7
VILLA CHARCAS,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2023-07-01,3,3
VILLA MONTES,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2023-07-01,2,2
BUENA VISTA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2023-08-01,1,1
COMARAPA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2023-08-01,3,3
EL ALTO,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2023-08-01,2,2
LA PAZ,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2023-08-01,1,1
OCURI,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2023-08-01,1,1
PADCAYA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2023-08-01,1,1
POROMA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2023-08-01,2,2
RIBERALTA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2023-08-01,2,2
SAN LORENZO(TJA),refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2023-08-01,2,2
SANTA CRUZ DE LA SIERRA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2023-08-01,1,1
TOTORA(ORR),refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2023-08-01,5,5
TRINIDAD,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2023-08-01,6,6
URIONDO (A. CONCEPCION),refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2023-08-01,1,1
VALLEGRANDE,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2023-08-01,1,1
VILLA CHARCAS,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2023-08-01,3,3
YACUIBA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2023-08-01,1,1
ATOCHA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2023-09-01,1,1
BAURES,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2023-09-01,1,1
COMARAPA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2023-09-01,1,1
EL ALTO,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2023-09-01,1,1
EL PUENTE(TJA),refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2023-09-01,1,1
JESUS DE MACHACA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2023-09-01,1,1
LAS CARRERAS,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2023-09-01,3,3
PADCAYA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2023-09-01,1,1
RIBERALTA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2023-09-01,5,5
SAN BORJA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2023-09-01,1,1
SAN LORENZO(TJA),refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2023-09-01,1,1
SANTA ROSA DEL SARA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2023-09-01,1,1
TARIJA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2023-09-01,2,2
TOTORA(ORR),refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2023-09-01,5,5
TRINIDAD,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2023-09-01,11,11
VILLA CHARCAS,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2023-09-01,2,2
VILLA MONTES,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2023-09-01,1,1
YACUIBA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2023-09-01,1,1
CAMARGO,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2023-10-01,1,1
EL ALTO,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2023-10-01,1,1
LAS CARRERAS,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2023-10-01,1,1
MACHARETI,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2023-10-01,2,2
MOJOCOYA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2023-10-01,1,1
POROMA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2023-10-01,1,1
RIBERALTA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2023-10-01,3,3
SAN BORJA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2023-10-01,1,1
SAN JOAQUIN,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2023-10-01,3,3
TARIJA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2023-10-01,1,1
TOTORA(ORR),refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2023-10-01,4,4
TRINIDAD,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2023-10-01,2,2
VIACHA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2023-10-01,6,6
VILLA CHARCAS,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2023-10-01,4,4
YACUIBA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2023-10-01,3,3
ATOCHA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2023-11-01,1,1
COMARAPA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2023-11-01,1,1
EL ALTO,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2023-11-01,3,3
MAPIRI,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2023-11-01,5,5
PADCAYA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2023-11-01,3,3
POROMA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2023-11-01,1,1
RIBERALTA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2023-11-01,1,1
SAN BORJA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2023-11-01,5,5
SAN IGNACIO,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2023-11-01,1,1
SANTA ROSA DEL SARA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2023-11-01,1,1
TARIJA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2023-11-01,3,3
TOTORA(ORR),refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2023-11-01,7,7
TRINIDAD,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2023-11-01,2,2
VILLA CHARCAS,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2023-11-01,1,1
VILLA MONTES,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2023-11-01,2,2
ZUDAÑEZ,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2023-11-01,1,1
COMARAPA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2023-12-01,1,1
COTOCA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2023-12-01,1,1
RIBERALTA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2023-12-01,2,2
SAN LORENZO(PND),refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2023-12-01,1,1
SAN LORENZO(TJA),refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2023-12-01,2,2
TARIJA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2023-12-01,1,1
TOTORA(ORR),refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2023-12-01,5,5
TRINIDAD,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2023-12-01,2,2
VILLA CHARCAS,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2023-12-01,4,4
