municipality,group,variable,month,Pacientes contrareferidos al establecimiento,TOTAL
CUATRO CAÑADAS,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-01-01,4,4
CURAHUARA DE CARANGAS,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-01-01,1,1
EL ALTO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-01-01,483,483
EL PUENTE(TJA),refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-01-01,1,1
EL TORNO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-01-01,11,11
EL VILLAR,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-01-01,1,1
ENTRE RIOS CBBA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-01-01,1,1
EUCALIPTUS,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-01-01,1,1
FERNANDEZ ALONSO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-01-01,4,4
GAIOC JATUN AYLLU YURA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-01-01,1,1
GENERAL SAAVEDRA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-01-01,5,5
GUAYARAMERIN,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-01-01,251,251
GUTIERREZ,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-01-01,5,5
HUACAYA (VILLA DE HUACAYA),refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-01-01,2,2
HUANUNI,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-01-01,11,11
INCAHUASI,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-01-01,7,7
JESUS DE MACHACA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-01-01,1,1
LA GUARDIA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-01-01,11,11
LA PAZ,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-01-01,3000,3000
LAGUNILLAS,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-01-01,5,5
LAJA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-01-01,1,1
LAS CARRERAS,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-01-01,3,3
MACHACAMARCA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-01-01,1,1
MAGDALENA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-01-01,1,1
MAIRANA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-01-01,2,2
MAPIRI,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-01-01,2,2
MINEROS,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-01-01,1,1
MIZQUE,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-01-01,1,1
MOJOCOYA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-01-01,1,1
MONTEAGUDO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-01-01,4,4
MONTERO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-01-01,74,74
OKINAWA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-01-01,2,2
ORURO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-01-01,158,158
PADCAYA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-01-01,3,3
PADILLA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-01-01,8,8
PAILON,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-01-01,1,1
PALCA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-01-01,4,4
PALOS BLANCOS,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-01-01,1,1
POCOATA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-01-01,2,2
POOPO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-01-01,1,1
POROMA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-01-01,1,1
POTOSI,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-01-01,12,12
PRESTO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-01-01,3,3
PUERTO GONZALO MORENO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-01-01,1,1
PUNATA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-01-01,5,5
QUILLACOLLO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-01-01,83,83
QUIME,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-01-01,2,2
RAVELO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-01-01,5,5
REYES,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-01-01,1,1
RIBERALTA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-01-01,25,25
RURRENABAQUE,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-01-01,6,6
SACABA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-01-01,25,25
SAIPINA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-01-01,1,1
SAN ANTONIO DE LOMERIO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-01-01,1,1
SAN BUENA VENTURA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-01-01,1,1
SAN CARLOS,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-01-01,13,13
SAN IGNACIO DE VELASCO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-01-01,3,3
SAN JUAN DE YAPACANI,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-01-01,4,4
SAN LORENZO(TJA),refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-01-01,7,7
SAN LUCAS,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-01-01,13,13
SAN MIGUEL DE VELASCO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-01-01,7,7
SAN PEDRO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-01-01,2,2
SAN PEDRO DE MACHA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-01-01,2,2
SAN RAFAEL,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-01-01,1,1
SANTA CRUZ DE LA SIERRA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-01-01,1150,1150
SENA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-01-01,1,1
SHINAOTA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-01-01,8,8
SOPACHUY,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-01-01,4,4
SORACACHI,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-01-01,1,1
SORATA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-01-01,1,1
SUCRE,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-01-01,299,299
TARABUCO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-01-01,3,3
TARATA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-01-01,2,2
TARIJA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-01-01,61,61
TARVITA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-01-01,2,2
TOMINA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-01-01,5,5
TRINIDAD,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-01-01,199,199
TUPIZA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-01-01,87,87
URUBICHA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-01-01,1,1
VIACHA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-01-01,4,4
VILLA CHARCAS,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-01-01,2,2
VILLA MONTES,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-01-01,16,16
VILLA SERRANO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-01-01,1,1
VILLA VACA GUZMAN (MUYUPAMPA),refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-01-01,2,2
VILLAZON,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-01-01,4,4
WARNES,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-01-01,219,219
YACUIBA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-01-01,6,6
YAMPARAEZ,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-01-01,4,4
YAPACANI,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-01-01,1,1
ZUDAÑEZ,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-01-01,6,6
AIQUILE,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-02-01,2,2
ALCALA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-02-01,10,10
ALTO BENI,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-02-01,2,2
ANCORAIMES,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-02-01,2,2
ASCENCION DE GUARAYOS,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-02-01,25,25
ATOCHA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-02-01,8,8
BERMEJO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-02-01,29,29
BETANZOS,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-02-01,1,1
BOYUIBE,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-02-01,1,1
BUENA VISTA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-02-01,9,9
"CAIZA ""D""",refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-02-01,1,1
CALACOTO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-02-01,1,1
CALAMARCA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-02-01,1,1
CAMATAQUI (C. VILLA ABECIA),refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-02-01,3,3
CAMIRI,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-02-01,7,7
CAPINOTA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-02-01,3,3
CARACOLLO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-02-01,7,7
CARAPARI,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-02-01,2,2
CARIPUYO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-02-01,1,1
CHALLAPATA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-02-01,4,4
CHULUMANI (V. DE LA LIBERTAD),refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-02-01,1,1
CHUQUIHUTA AYLLU JUCUMANI,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-02-01,3,3
CKOCHAS,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-02-01,1,1
COBIJA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-02-01,25,25
COCAPATA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-02-01,1,1
COCHABAMBA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-02-01,433,433
COLCAPIRHUA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-02-01,1,1
COLQUECHACA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-02-01,1,1
COMARAPA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-02-01,3,3
CONCEPCION,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-02-01,2,2
CORIPATA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-02-01,12,12
COROICO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-02-01,13,13
COTAGAITA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-02-01,1,1
COTOCA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-02-01,4,4
EL ALTO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-02-01,409,409
EL TORNO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-02-01,22,22
EL VILLAR,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-02-01,3,3
FERNANDEZ ALONSO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-02-01,8,8
GENERAL SAAVEDRA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-02-01,7,7
GUAQUI,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-02-01,1,1
GUAYARAMERIN,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-02-01,224,224
GUTIERREZ,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-02-01,3,3
HUACARETA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-02-01,1,1
HUACAYA (VILLA DE HUACAYA),refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-02-01,4,4
HUANUNI,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-02-01,8,8
ICLA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-02-01,3,3
INCAHUASI,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-02-01,7,7
LA GUARDIA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-02-01,1,1
LA PAZ,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-02-01,2522,2522
LAGUNILLAS,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-02-01,2,2
LAS CARRERAS,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-02-01,2,2
LLALLAGUA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-02-01,1,1
MACHACAMARCA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-02-01,1,1
MACHARETI,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-02-01,2,2
MAIRANA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-02-01,1,1
MINEROS,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-02-01,2,2
MIZQUE,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-02-01,1,1
MONTEAGUDO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-02-01,3,3
MONTERO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-02-01,78,78
NACEBE (SANTA ROSA DEL ABUNA),refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-02-01,1,1
ORURO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-02-01,210,210
PADCAYA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-02-01,10,10
PADILLA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-02-01,5,5
PALCA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-02-01,3,3
PAZÑA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-02-01,1,1
POOPO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-02-01,2,2
POROMA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-02-01,1,1
PORTACHUELO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-02-01,2,2
PORVENIR,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-02-01,2,2
POTOSI,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-02-01,5,5
PRESTO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-02-01,2,2
PUCARANI,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-02-01,1,1
PUERTO CARABUCO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-02-01,1,1
PUERTO GONZALO MORENO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-02-01,1,1
PUERTO RICO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-02-01,1,1
PUERTO VILLARROEL,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-02-01,2,2
PUNATA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-02-01,4,4
QUILLACOLLO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-02-01,1,1
QUIME,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-02-01,1,1
RAQAYPAMPA(ETA),refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-02-01,2,2
RAVELO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-02-01,8,8
REYES,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-02-01,1,1
RIBERALTA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-02-01,22,22
SACABA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-02-01,25,25
SALINAS DE GARCI MENDOZA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-02-01,1,1
SAN BUENA VENTURA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-02-01,3,3
SAN CARLOS,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-02-01,5,5
SAN IGNACIO DE VELASCO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-02-01,2,2
SAN JUAN DE YAPACANI,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-02-01,15,15
SAN JULIAN,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-02-01,1,1
SAN LORENZO(PND),refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-02-01,1,1
SAN LORENZO(TJA),refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-02-01,8,8
SAN LUCAS,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-02-01,33,33
SAN MATIAS,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-02-01,3,3
SAN MIGUEL DE VELASCO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-02-01,5,5
SAN PEDRO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-02-01,3,3
SAN PEDRO DE MACHA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-02-01,1,1
SAN PEDRO(PND),refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-02-01,1,1
SAN RAFAEL,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-02-01,1,1
SANTA CRUZ DE LA SIERRA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-02-01,906,906
SENA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-02-01,1,1
SHINAOTA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-02-01,10,10
SOPACHUY,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-02-01,3,3
SORATA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-02-01,2,2
SUCRE,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-02-01,91,91
TACOBAMBA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-02-01,1,1
TARABUCO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-02-01,3,3
TARIJA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-02-01,468,468
TARVITA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-02-01,6,6
TEOPONTE,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-02-01,1,1
TIAHUANACU,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-02-01,3,3
TOMAVE,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-02-01,1,1
TOMINA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-02-01,8,8
TRINIDAD,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-02-01,263,263
TUPIZA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-02-01,110,110
UYUNI,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-02-01,2,2
VALLEGRANDE,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-02-01,2,2
VILLA CHARCAS,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-02-01,2,2
VILLA MONTES,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-02-01,15,15
VILLA SERRANO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-02-01,2,2
VILLA VACA GUZMAN (MUYUPAMPA),refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-02-01,1,1
VILLAZON,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-02-01,6,6
VINTO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-02-01,2,2
WARNES,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-02-01,228,228
YACUIBA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-02-01,9,9
YAMPARAEZ,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-02-01,3,3
YAPACANI,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-02-01,1,1
YOTALA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-02-01,1,1
ZUDAÑEZ,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-02-01,4,4
AIQUILE,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-03-01,6,6
ALCALA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-03-01,14,14
ANTEQUERA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-03-01,3,3
ARBIETO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-03-01,2,2
ASCENCION DE GUARAYOS,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-03-01,28,28
ATOCHA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-03-01,3,3
BELLA FLOR,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-03-01,1,1
BERMEJO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-03-01,33,33
BETANZOS,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-03-01,11,11
BOYUIBE,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-03-01,1,1
BUENA VISTA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-03-01,6,6
CABEZAS,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-03-01,2,2
CAJUATA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-03-01,1,1
CAMARGO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-03-01,1,1
CAMIRI,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-03-01,7,7
CAPINOTA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-03-01,4,4
CARACOLLO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-03-01,5,5
CARAPARI,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-03-01,7,7
CHALLAPATA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-03-01,5,5
CHARAGUA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-03-01,2,2
CHIMORE,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-03-01,1,1
CKOCHAS,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-03-01,1,1
COBIJA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-03-01,45,45
COCHABAMBA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-03-01,691,691
COLCAPIRHUA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-03-01,2,2
COLQUECHACA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-03-01,6,6
COMARAPA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-03-01,2,2
CONCEPCION,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-03-01,2,2
CORIPATA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-03-01,8,8
COROICO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-03-01,8,8
COTAGAITA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-03-01,4,4
COTOCA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-03-01,18,18
CUATRO CAÑADAS,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-03-01,5,5
EL ALTO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-03-01,401,401
EL PUENTE(TJA),refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-03-01,10,10
EL TORNO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-03-01,18,18
EL VILLAR,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-03-01,2,2
ENTRE RIOS CBBA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-03-01,1,1
FERNANDEZ ALONSO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-03-01,10,10
GENERAL SAAVEDRA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-03-01,12,12
GUANAY,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2023-03-01,1,1
