municipality,group,variable,month,PCD referidos a Servicios/Centros de Rehabilitación,TOTAL
SANTA CRUZ DE LA SIERRA,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2023-03-01,1,1
TARIJA,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2023-03-01,6,6
VILLA MONTES,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2023-03-01,1,1
WARNES,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2023-03-01,5,5
BERMEJO,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2023-04-01,1,1
EL ALTO,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2023-04-01,10,10
LA PAZ,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2023-04-01,22,22
LLALLAGUA,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2023-04-01,1,1
MONTERO,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2023-04-01,5,5
ORURO,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2023-04-01,5,5
RIBERALTA,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2023-04-01,1,1
TARIJA,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2023-04-01,7,7
BERMEJO,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2023-05-01,4,4
CALAMARCA,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2023-05-01,2,2
CARACOLLO,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2023-05-01,25,25
COCHABAMBA,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2023-05-01,1,1
EL ALTO,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2023-05-01,8,8
LA PAZ,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2023-05-01,20,20
LLALLAGUA,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2023-05-01,1,1
MONTERO,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2023-05-01,3,3
ORURO,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2023-05-01,25,25
SANTA CRUZ DE LA SIERRA,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2023-05-01,1,1
TARIJA,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2023-05-01,10,10
WARNES,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2023-05-01,1,1
ACHOCALLA,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2023-06-01,0,0
CARACOLLO,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2023-06-01,28,28
COTAGAITA,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2023-06-01,1,1
EL ALTO,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2023-06-01,27,27
HUANUNI,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2023-06-01,3,3
LA PAZ,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2023-06-01,15,15
LLALLAGUA,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2023-06-01,1,1
MONTERO,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2023-06-01,5,5
ORURO,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2023-06-01,51,51
QUILLACOLLO,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2023-06-01,2,2
SENA,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2023-06-01,1,1
TARIJA,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2023-06-01,7,7
BERMEJO,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2023-07-01,8,8
CALAMARCA,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2023-07-01,1,1
COBIJA,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2023-07-01,1,1
EL ALTO,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2023-07-01,30,30
LA PAZ,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2023-07-01,24,24
LLALLAGUA,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2023-07-01,1,1
MONTERO,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2023-07-01,1,1
ORURO,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2023-07-01,6,6
POTOSI,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2023-07-01,1,1
QUILLACOLLO,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2023-07-01,2,2
ROBORE,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2023-07-01,1,1
SAN RAMON SCZ,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2023-07-01,1,1
TARIJA,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2023-07-01,17,17
BERMEJO,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2023-08-01,6,6
CALAMARCA,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2023-08-01,1,1
EL ALTO,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2023-08-01,15,15
HUANUNI,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2023-08-01,14,14
LA PAZ,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2023-08-01,20,20
MONTERO,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2023-08-01,2,2
ORURO,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2023-08-01,17,17
PAILON,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2023-08-01,1,1
SACABA,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2023-08-01,1,1
SAN BORJA,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2023-08-01,67,67
SANTA CRUZ DE LA SIERRA,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2023-08-01,1,1
TARIJA,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2023-08-01,8,8
BERMEJO,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2023-09-01,2,2
CALAMARCA,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2023-09-01,2,2
CARANAVI,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2023-09-01,1,1
COCHABAMBA,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2023-09-01,2,2
EL ALTO,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2023-09-01,15,15
HUANUNI,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2023-09-01,13,13
LA PAZ,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2023-09-01,19,19
MONTERO,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2023-09-01,3,3
ORURO,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2023-09-01,26,26
SACABAMBA,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2023-09-01,1,1
SAN BORJA,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2023-09-01,131,131
SAN LORENZO(TJA),refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2023-09-01,1,1
SANTA CRUZ DE LA SIERRA,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2023-09-01,3,3
SUCRE,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2023-09-01,1,1
TARIJA,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2023-09-01,8,8
WARNES,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2023-09-01,183,183
CALAMARCA,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2023-10-01,1,1
EL ALTO,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2023-10-01,15,15
ENTRE RIOS TRJ,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2023-10-01,1,1
GUAYARAMERIN,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2023-10-01,23,23
HUANUNI,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2023-10-01,13,13
IXIAMAS,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2023-10-01,1,1
LA PAZ,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2023-10-01,19,19
LLALLAGUA,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2023-10-01,1,1
MONTERO,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2023-10-01,8,8
ORURO,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2023-10-01,28,28
POTOSI,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2023-10-01,2,2
RIBERALTA,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2023-10-01,1,1
SAN LORENZO(TJA),refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2023-10-01,1,1
SANTA CRUZ DE LA SIERRA,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2023-10-01,20,20
TARIJA,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2023-10-01,4,4
VIACHA,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2023-10-01,12,12
CALAMARCA,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2023-11-01,2,2
EL ALTO,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2023-11-01,18,18
HUANUNI,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2023-11-01,10,10
LA PAZ,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2023-11-01,21,21
MAIRANA,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2023-11-01,1,1
MONTERO,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2023-11-01,4,4
ORURO,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2023-11-01,36,36
QUILLACOLLO,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2023-11-01,2,2
SAN LORENZO(PND),refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2023-11-01,1,1
SANTA CRUZ DE LA SIERRA,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2023-11-01,1,1
SUCRE,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2023-11-01,2,2
TARIJA,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2023-11-01,19,19
CAJUATA,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2023-12-01,1,1
CALAMARCA,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2023-12-01,1,1
EL ALTO,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2023-12-01,10,10
HUANUNI,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2023-12-01,3,3
LA PAZ,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2023-12-01,21,21
MINEROS,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2023-12-01,1,1
MONTERO,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2023-12-01,5,5
ORURO,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2023-12-01,37,37
SAN LORENZO(TJA),refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2023-12-01,1,1
TARIJA,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2023-12-01,2,2
VIACHA,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2023-12-01,6,6
