municipality,group,variable,month,Vacunaciones SRP dentro de servicio,TOTAL
CONCEPCION,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,22,22
COPACABANA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,10,10
CORIPATA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,18,18
CORO CORO,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,4,4
COROICO,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,12,12
CORQUE,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,9,9
COTAGAITA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,8,8
COTOCA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,72,72
CUATRO CAÑADAS,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,21,21
CUEVO,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,2,2
CULPINA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,16,16
DESAGUADERO,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,4,4
EL ALTO,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,1372,1372
EL PUENTE(STC),vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,4,4
EL PUENTE(TJA),vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,8,8
EL TORNO,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,72,72
EL VILLAR,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,1,1
ENTRE RIOS,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,14,14
ENTRE RIOS,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,32,32
EUCALIPTUS,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,1,1
FERNANDEZ ALONSO,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,21,21
FILADELFIA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,1,1
GENERAL SAAVEDRA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,27,27
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,1,1
GUANAY,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,7,7
GUAQUI,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,5,5
GUAYARAMERIN,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,47,47
GUTIERREZ,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,16,16
HUACARETA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,9,9
HUANUNI,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,50,50
HUARACAJE,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,4,4
HUAYLLAMARCA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,4,4
ICHOCA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,2,2
ICLA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,4,4
INCAHUASI,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,21,21
INQUISIVI,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,3,3
IRUPANA (VILLA DE LANZA),vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,12,12
IXIAMAS,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,1,1
JESUS DE MACHACA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,11,11
LA ASUNTA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,31,31
LA GUARDIA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,84,84
LA PAZ,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,1277,1277
LA RIVERA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,1,1
LAGUNILLAS,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,10,10
LAJA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,3,3
LAS CARRERAS,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,2,2
LICOMA PAMPA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,6,6
LLALLAGUA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,48,48
LLICA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,3,3
LORETO,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,4,4
LURIBAY,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,2,2
MACHACAMARCA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,3,3
MACHARETI,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,9,9
MAGDALENA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,11,11
MAIRANA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,7,7
MAPIRI,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,24,24
MECAPACA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,2,2
MINEROS,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,30,30
MIZQUE,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,19,19
MOCOMOCO,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,1,1
MOJINETE,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,2,2
MOJOCOYA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,5,5
MONTEAGUDO,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,38,38
MONTERO,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,135,135
MORO MORO,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,4,4
MOROCHATA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,17,17
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,1,1
NAZACARA DE PACAJES,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,1,1
OCURI,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,10,10
OKINAWA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,17,17
OMEREQUE,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,9,9
ORURO,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,432,432
PADCAYA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,13,13
PADILLA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,9,9
PAILON,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,26,26
PALCA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,8,8
PALOS BLANCOS,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,13,13
PAMPA AULLAGAS,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,3,3
PAMPA GRANDE,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,9,9
PAPEL PAMPA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,2,2
PATACAMAYA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,17,17
PAZÑA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,5,5
PELECHUCO,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,1,1
POCOATA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,5,5
POCONA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,7,7
POJO (CBBA),vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,10,10
POOPO,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,8,8
PORCO,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,10,10
POROMA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,6,6
PORONGO,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,5,5
PORTACHUELO,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,32,32
PORVENIR,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,4,4
POSTRER VALLE,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,4,4
POTOSI,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,315,315
PRESTO,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,3,3
PUCARA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,1,1
PUCARANI,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,16,16
PUERTO ACOSTA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,13,13
PUERTO CARABUCO,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,3,3
PUERTO GONZALO MORENO,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,1,1
PUERTO PEREZ,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,3,3
PUERTO QUIJARRO,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,6,6
PUERTO RICO,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,1,1
PUERTO SUAREZ,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,29,29
PUERTO VILLARROEL,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,44,44
PUNA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,12,12
PUNATA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,31,31
QUILLACOLLO,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,176,176
QUIME,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,3,3
RAVELO,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,5,5
REYES,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,30,30
RIBERALTA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,121,121
ROBORE,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,22,22
RURRENABAQUE,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,27,27
SACABA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,127,127
SACABAMBA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,2,2
SACACA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,4,4
SAIPINA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,2,2
SALINAS DE GARCI MENDOZA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,2,2
SAMAIPATA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,5,5
SAN ANDRES,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,9,9
SAN ANDRES DE MACHACA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,2,2
SAN ANTONIO DE LOMERIO,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,24,24
SAN BENITO,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,5,5
SAN BORJA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,68,68
SAN BUENA VENTURA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,6,6
SAN CARLOS,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,29,29
SAN IGNACIO,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,23,23
SAN IGNACIO DE VELASCO,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,68,68
SAN JAVIER(BNI),vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,1,1
SAN JAVIER(STC),vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,23,23
SAN JOAQUIN,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,7,7
SAN JOSE DE CHIQUITOS,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,23,23
SAN JUAN DE YAPACANI,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,17,17
SAN JULIAN,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,40,40
SAN LORENZO(TJA),vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,26,26
SAN LUCAS,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,33,33
SAN MATIAS,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,24,24
SAN MIGUEL DE VELASCO,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,9,9
SAN PEDRO,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,25,25
SAN PEDRO DE BUENA VISTA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,10,10
SAN PEDRO DE TIQUINA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,2,2
SAN RAFAEL,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,3,3
SAN RAMON,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,2,2
SAN RAMON,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,13,13
SANTA ANA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,31,31
SANTA CRUZ DE LA SIERRA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,1745,1745
SANTA ROSA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,5,5
SANTA ROSA DEL SARA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,20,20
SANTIAGO DE HUARI,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,5,5
SANTIVAÑES,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,5,5
SANTUARIO DE QUILLACAS,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,1,1
SAPAHAQUI,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,2,2
SENA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,2,2
SICA SICA (VILLA AROMA),vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,6,6
SICAYA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,1,1
SIPE SIPE,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,45,45
SOPACHUY,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,6,6
SORACACHI,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,3,3
SORATA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,4,4
SUCRE,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,303,303
TACACHI,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,4,4
TACACOMA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,18,18
TACOBAMBA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,3,3
TACOPAYA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,11,11
TAPACARI,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,21,21
TARABUCO,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,17,17
TARACO,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,2,2
TARATA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,11,11
TARIJA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp dentro de servicio,2007-01-01,288,288
