municipality,group,variable,month,Nº de visitas familiares realizadas,TOTAL
CHUQUIHUTA AYLLU JUCUMANI,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,18,18
CKOCHAS,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,34,34
CLIZA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,78,78
COBIJA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,269,269
COCAPATA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,5,5
COCHABAMBA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,373,373
COLCAPIRHUA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,263,263
"COLCHA ""K""",actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,75,75
COLOMI,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,3,3
COLPA BELGICA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,43,43
COLQUECHACA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,74,74
COLQUENCHA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,84,84
COLQUIRI,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,12,12
COMANCHE,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,4,4
COMARAPA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,164,164
COMBAYA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,11,11
CONCEPCION,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,91,91
COROICO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,64,64
CORQUE,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,58,58
COTAGAITA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,285,285
COTOCA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,7,7
CUATRO CAÑADAS,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,131,131
CUCHUMUELA (V. G. VILLARROEL),actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,60,60
CUEVO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,40,40
CULPINA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,210,210
CURAHUARA DE CARANGAS,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,125,125
CURVA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,57,57
DESAGUADERO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,10,10
EL ALTO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,3836,3836
EL CHORO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,107,107
EL PUENTE(STC),actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,60,60
EL PUENTE(TJA),actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,384,384
EL TORNO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,1051,1051
EL VILLAR,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,42,42
ENTRE RIOS TRJ,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,229,229
ENTRE RIOS CBBA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,58,58
ESCOMA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,100,100
ESMERALDA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,40,40
EUCALIPTUS,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,22,22
FERNANDEZ ALONSO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,68,68
FILADELFIA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,18,18
GENERAL SAAVEDRA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,120,120
GRAL. J.J. PEREZ (CHARAZANI),actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,14,14
GUANAY,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,20,20
GUAQUI,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,45,45
GUAYARAMERIN,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,283,283
GUTIERREZ,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,43,43
HUACARETA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,38,38
HUACAYA (VILLA DE HUACAYA),actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,36,36
HUANUNI,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,47,47
HUATAJATA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,5,5
HUAYLLAMARCA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,63,63
HUMANATA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,1,1
ICLA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,136,136
INCAHUASI,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,34,34
INQUISIVI,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,3,3
JESUS DE MACHACA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,60,60
LA ASUNTA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,1,1
LA GUARDIA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,214,214
LA PAZ,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,23,23
LAGUNILLAS,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,50,50
LAJA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,77,77
LAS CARRERAS,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,121,121
LLALLAGUA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,323,323
LORETO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,23,23
MACHACAMARCA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,18,18
MACHARETI,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,121,121
MAPIRI,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,29,29
MECAPACA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,4,4
MINEROS,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,19,19
MIZQUE,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,519,519
MOCOMOCO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,75,75
MOJOCOYA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,48,48
MONTEAGUDO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,185,185
MONTERO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,918,918
MOROCHATA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,57,57
NACEBE (SANTA ROSA DEL ABUNA),actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,84,84
OCURI,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,2,2
OMEREQUE,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,29,29
ORURO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,1897,1897
PADCAYA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,371,371
PADILLA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,140,140
PAILON,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,127,127
PALOS BLANCOS,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,158,158
PAMPA AULLAGAS,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,9,9
PAMPA GRANDE,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,25,25
PAPEL PAMPA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,147,147
PASORAPA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,45,45
PATACAMAYA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,28,28
PAZÑA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,71,71
POCOATA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,161,161
POCONA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,233,233
POJO (CBBA),actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,68,68
POOPO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,40,40
PORCO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,37,37
POROMA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,201,201
PORONGO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,63,63
PORTACHUELO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,7,7
PORVENIR,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,15,15
POTOSI,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,1322,1322
PRESTO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,165,165
PUCARANI,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,10,10
PUERTO ACOSTA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,80,80
PUERTO CARABUCO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,44,44
PUERTO PEREZ,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,102,102
PUERTO SILES,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,5,5
PUERTO SUAREZ,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,304,304
PUERTO VILLARROEL,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,167,167
PUNA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,140,140
PUNATA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,1018,1018
QUILLACOLLO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,1583,1583
RAVELO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,10,10
REYES,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,54,54
RIBERALTA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,463,463
ROBORE,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,3,3
SABAYA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,25,25
SACABA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,463,463
SACABAMBA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,49,49
SACACA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,144,144
SAIPINA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,64,64
SALINAS DE GARCI MENDOZA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,122,122
SAMAIPATA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,29,29
SAN AGUSTIN,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,3,3
SAN ANDRES,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,75,75
SAN ANDRES DE MACHACA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,93,93
SAN ANTONIO DE ESMORUCO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,5,5
SAN ANTONIO DE LOMERIO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,35,35
SAN BENITO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,213,213
SAN BORJA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,84,84
SAN BUENA VENTURA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,2,2
SAN CARLOS,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,394,394
SAN IGNACIO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,125,125
SAN JAVIER(BNI),actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,24,24
SAN JOSE DE CHIQUITOS,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,23,23
SAN JUAN DE YAPACANI,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,393,393
SAN JULIAN,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,538,538
SAN LORENZO(TJA),actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,126,126
SAN LUCAS,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,153,153
SAN MATIAS,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,20,20
SAN MIGUEL DE VELASCO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,61,61
SAN PABLO DE LIPEZ,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,6,6
SAN PEDRO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,325,325
SAN PEDRO DE BUENA VISTA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,479,479
SAN PEDRO DE TIQUINA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,251,251
SAN PEDRO(PND),actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,7,7
SAN RAFAEL,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,15,15
SAN RAMON SCZ,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,119,119
SANTA CRUZ DE LA SIERRA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,1646,1646
SANTA ROSA DEL SARA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,59,59
SANTIAGO DE CALLAPA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,30,30
SANTIAGO DE HUARI,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,163,163
SANTIAGO DE HUATA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,105,105
SANTIAGO DE MACHACA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,30,30
SANTIVAÑES,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,76,76
SANTUARIO DE QUILLACAS,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,75,75
SAPAHAQUI,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,91,91
SHINAOTA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,26,26
SICA SICA (VILLA AROMA),actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,81,81
SICAYA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,48,48
SIPE SIPE,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,312,312
SOPACHUY,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,108,108
SORACACHI,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,248,248
SORATA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,74,74
SUCRE,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,2686,2686
TACOPAYA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,137,137
TAPACARI,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,130,130
TARABUCO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,174,174
TARATA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,115,115
TARIJA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,1316,1316
TARVITA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,184,184
TEOPONTE,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,54,54
TIAWANACU,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,23,23
TINGUIPAYA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,179,179
TIPUANI,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,6,6
TIQUIPAYA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,834,834
TIRAQUE (CBBA),actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,222,222
TITO YUPANQUI (PARQUIPUJIO),actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,19,19
TOCO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,55,55
TOLATA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,124,124
TOLEDO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,7,7
TOMAVE,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,18,18
TOMINA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,169,169
TORO TORO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,108,108
TOTORA(CBBA),actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,43,43
TOTORA(ORR),actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,33,33
TRIGAL,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,30,30
TRINIDAD,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,203,203
TUPIZA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,262,262
TURCO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,35,35
UMALA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,95,95
UNCIA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,16,16
URIONDO (A. CONCEPCION),actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,110,110
URUBICHA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,28,28
UYUNI,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,43,43
VACAS,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,124,124
VALLEGRANDE,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,80,80
VIACHA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,1,1
VILLA CHARCAS,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,69,69
VILLA MONTES,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,98,98
VILLA RIVERO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,20,20
VILLA SERRANO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,101,101
VILLA TUNARI,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,302,302
VILLA VACA GUZMAN (MUYUPAMPA),actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,140,140
VILLAZON,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,416,416
VINTO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,255,255
VITICHI,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,184,184
WALDO BALLIVIAN,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,9,9
WARNES,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,105,105
YACUIBA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,1126,1126
YAMPARAEZ,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,141,141
YANACACHI,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,22,22
YAPACANI,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,1222,1222
YOTALA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,89,89
ZUDAÑEZ,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-01-01,68,68
ACACIO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-02-01,52,52
ACHACACHI,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-02-01,114,114
ACHOCALLA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-02-01,14,14
AIQUILE,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-02-01,370,370
ALALAY,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-02-01,34,34
ALCALA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-02-01,75,75
ALTO BENI,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-02-01,17,17
ANDAMARCA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-02-01,193,193
ANTEQUERA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-02-01,88,88
ANZALDO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-02-01,27,27
APOLO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2016-02-01,3,3
