municipality,group,variable,month,Total 7.2 Inyectables,TOTAL
CRUZ DE MACHACAMARCA,otras actividades de enfermeria, inyectables,2014-01-01,24,24
CUATRO CAÑADAS,otras actividades de enfermeria, inyectables,2014-01-01,1328,1328
CUCHUMUELA (V. G. VILLARROEL),otras actividades de enfermeria, inyectables,2014-01-01,49,49
CUEVO,otras actividades de enfermeria, inyectables,2014-01-01,209,209
CULPINA,otras actividades de enfermeria, inyectables,2014-01-01,818,818
CURAHUARA DE CARANGAS,otras actividades de enfermeria, inyectables,2014-01-01,130,130
CURVA,otras actividades de enfermeria, inyectables,2014-01-01,66,66
DESAGUADERO,otras actividades de enfermeria, inyectables,2014-01-01,120,120
EL ALTO,otras actividades de enfermeria, inyectables,2014-01-01,40208,40208
EL CHORO,otras actividades de enfermeria, inyectables,2014-01-01,107,107
EL PUENTE(STC),otras actividades de enfermeria, inyectables,2014-01-01,482,482
EL PUENTE(TJA),otras actividades de enfermeria, inyectables,2014-01-01,1034,1034
EL TORNO,otras actividades de enfermeria, inyectables,2014-01-01,5945,5945
EL VILLAR,otras actividades de enfermeria, inyectables,2014-01-01,369,369
ENTRE RIOS TRJ,otras actividades de enfermeria, inyectables,2014-01-01,1930,1930
ENTRE RIOS CBBA,otras actividades de enfermeria, inyectables,2014-01-01,688,688
ESCARA,otras actividades de enfermeria, inyectables,2014-01-01,27,27
ESCOMA,otras actividades de enfermeria, inyectables,2014-01-01,345,345
ESMERALDA,otras actividades de enfermeria, inyectables,2014-01-01,63,63
EUCALIPTUS,otras actividades de enfermeria, inyectables,2014-01-01,189,189
EUREKA (SANTOS MERCADO),otras actividades de enfermeria, inyectables,2014-01-01,60,60
EXALTACION,otras actividades de enfermeria, inyectables,2014-01-01,34,34
FERNANDEZ ALONSO,otras actividades de enfermeria, inyectables,2014-01-01,973,973
FILADELFIA,otras actividades de enfermeria, inyectables,2014-01-01,442,442
GENERAL SAAVEDRA,otras actividades de enfermeria, inyectables,2014-01-01,580,580
GRAL. J.J. PEREZ (CHARAZANI),otras actividades de enfermeria, inyectables,2014-01-01,481,481
GUANAY,otras actividades de enfermeria, inyectables,2014-01-01,609,609
GUAQUI,otras actividades de enfermeria, inyectables,2014-01-01,106,106
GUAYARAMERIN,otras actividades de enfermeria, inyectables,2014-01-01,16032,16032
GUTIERREZ,otras actividades de enfermeria, inyectables,2014-01-01,523,523
HUACARETA,otras actividades de enfermeria, inyectables,2014-01-01,1102,1102
HUACAYA (VILLA DE HUACAYA),otras actividades de enfermeria, inyectables,2014-01-01,149,149
HUACHACALLA,otras actividades de enfermeria, inyectables,2014-01-01,379,379
HUANUNI,otras actividades de enfermeria, inyectables,2014-01-01,4837,4837
HUARACAJE,otras actividades de enfermeria, inyectables,2014-01-01,218,218
HUARINA,otras actividades de enfermeria, inyectables,2014-01-01,194,194
HUATAJATA,otras actividades de enfermeria, inyectables,2014-01-01,274,274
HUAYLLAMARCA,otras actividades de enfermeria, inyectables,2014-01-01,118,118
HUMANATA,otras actividades de enfermeria, inyectables,2014-01-01,70,70
ICHOCA,otras actividades de enfermeria, inyectables,2014-01-01,43,43
ICLA,otras actividades de enfermeria, inyectables,2014-01-01,304,304
INCAHUASI,otras actividades de enfermeria, inyectables,2014-01-01,383,383
INGAVI (HUMAITA),otras actividades de enfermeria, inyectables,2014-01-01,54,54
INQUISIVI,otras actividades de enfermeria, inyectables,2014-01-01,130,130
IRUPANA (VILLA DE LANZA),otras actividades de enfermeria, inyectables,2014-01-01,520,520
IXIAMAS,otras actividades de enfermeria, inyectables,2014-01-01,237,237
JESUS DE MACHACA,otras actividades de enfermeria, inyectables,2014-01-01,466,466
LA ASUNTA,otras actividades de enfermeria, inyectables,2014-01-01,1191,1191
LA GUARDIA,otras actividades de enfermeria, inyectables,2014-01-01,3537,3537
LA PAZ,otras actividades de enfermeria, inyectables,2014-01-01,151194,151194
LA RIVERA,otras actividades de enfermeria, inyectables,2014-01-01,25,25
LAGUNILLAS,otras actividades de enfermeria, inyectables,2014-01-01,241,241
LAJA,otras actividades de enfermeria, inyectables,2014-01-01,276,276
LAS CARRERAS,otras actividades de enfermeria, inyectables,2014-01-01,371,371
LICOMA PAMPA,otras actividades de enfermeria, inyectables,2014-01-01,122,122
LLALLAGUA,otras actividades de enfermeria, inyectables,2014-01-01,2723,2723
LLICA,otras actividades de enfermeria, inyectables,2014-01-01,83,83
LORETO,otras actividades de enfermeria, inyectables,2014-01-01,242,242
LURIBAY,otras actividades de enfermeria, inyectables,2014-01-01,128,128
MACHACAMARCA,otras actividades de enfermeria, inyectables,2014-01-01,116,116
MACHARETI,otras actividades de enfermeria, inyectables,2014-01-01,344,344
MAGDALENA,otras actividades de enfermeria, inyectables,2014-01-01,3605,3605
MAIRANA,otras actividades de enfermeria, inyectables,2014-01-01,1576,1576
MALLA,otras actividades de enfermeria, inyectables,2014-01-01,45,45
MAPIRI,otras actividades de enfermeria, inyectables,2014-01-01,546,546
MECAPACA,otras actividades de enfermeria, inyectables,2014-01-01,230,230
MINEROS,otras actividades de enfermeria, inyectables,2014-01-01,658,658
MIZQUE,otras actividades de enfermeria, inyectables,2014-01-01,1370,1370
MOCOMOCO,otras actividades de enfermeria, inyectables,2014-01-01,97,97
MOJINETE,otras actividades de enfermeria, inyectables,2014-01-01,39,39
MOJOCOYA,otras actividades de enfermeria, inyectables,2014-01-01,406,406
MONTEAGUDO,otras actividades de enfermeria, inyectables,2014-01-01,5678,5678
MONTERO,otras actividades de enfermeria, inyectables,2014-01-01,13213,13213
MORO MORO,otras actividades de enfermeria, inyectables,2014-01-01,201,201
MOROCHATA,otras actividades de enfermeria, inyectables,2014-01-01,206,206
NACEBE (SANTA ROSA DEL ABUNA),otras actividades de enfermeria, inyectables,2014-01-01,213,213
NAZACARA DE PACAJES,otras actividades de enfermeria, inyectables,2014-01-01,13,13
NUEVO MANOA (NUEVA ESPERANZA),otras actividades de enfermeria, inyectables,2014-01-01,214,214
OCURI,otras actividades de enfermeria, inyectables,2014-01-01,281,281
OKINAWA,otras actividades de enfermeria, inyectables,2014-01-01,444,444
OMEREQUE,otras actividades de enfermeria, inyectables,2014-01-01,437,437
ORURO,otras actividades de enfermeria, inyectables,2014-01-01,61178,61178
PADCAYA,otras actividades de enfermeria, inyectables,2014-01-01,1779,1779
PADILLA,otras actividades de enfermeria, inyectables,2014-01-01,3267,3267
PAILON,otras actividades de enfermeria, inyectables,2014-01-01,677,677
PALCA,otras actividades de enfermeria, inyectables,2014-01-01,201,201
PALOS BLANCOS,otras actividades de enfermeria, inyectables,2014-01-01,926,926
PAMPA AULLAGAS,otras actividades de enfermeria, inyectables,2014-01-01,158,158
PAMPA GRANDE,otras actividades de enfermeria, inyectables,2014-01-01,440,440
PAPEL PAMPA,otras actividades de enfermeria, inyectables,2014-01-01,192,192
PASORAPA,otras actividades de enfermeria, inyectables,2014-01-01,161,161
PATACAMAYA,otras actividades de enfermeria, inyectables,2014-01-01,395,395
PAZÑA,otras actividades de enfermeria, inyectables,2014-01-01,133,133
PELECHUCO,otras actividades de enfermeria, inyectables,2014-01-01,187,187
POCOATA,otras actividades de enfermeria, inyectables,2014-01-01,149,149
POCONA,otras actividades de enfermeria, inyectables,2014-01-01,303,303
POJO (CBBA),otras actividades de enfermeria, inyectables,2014-01-01,292,292
POOPO,otras actividades de enfermeria, inyectables,2014-01-01,530,530
PORCO,otras actividades de enfermeria, inyectables,2014-01-01,325,325
POROMA,otras actividades de enfermeria, inyectables,2014-01-01,365,365
PORONGO,otras actividades de enfermeria, inyectables,2014-01-01,329,329
PORTACHUELO,otras actividades de enfermeria, inyectables,2014-01-01,7306,7306
PORVENIR,otras actividades de enfermeria, inyectables,2014-01-01,612,612
POSTRER VALLE,otras actividades de enfermeria, inyectables,2014-01-01,71,71
POTOSI,otras actividades de enfermeria, inyectables,2014-01-01,55213,55213
PRESTO,otras actividades de enfermeria, inyectables,2014-01-01,425,425
PUCARA,otras actividades de enfermeria, inyectables,2014-01-01,68,68
PUCARANI,otras actividades de enfermeria, inyectables,2014-01-01,399,399
PUERTO ACOSTA,otras actividades de enfermeria, inyectables,2014-01-01,239,239
PUERTO CARABUCO,otras actividades de enfermeria, inyectables,2014-01-01,227,227
PUERTO GONZALO MORENO,otras actividades de enfermeria, inyectables,2014-01-01,712,712
PUERTO PEREZ,otras actividades de enfermeria, inyectables,2014-01-01,77,77
PUERTO QUIJARRO,otras actividades de enfermeria, inyectables,2014-01-01,299,299
PUERTO RICO,otras actividades de enfermeria, inyectables,2014-01-01,1158,1158
PUERTO SILES,otras actividades de enfermeria, inyectables,2014-01-01,49,49
PUERTO SUAREZ,otras actividades de enfermeria, inyectables,2014-01-01,2039,2039
PUERTO VILLARROEL,otras actividades de enfermeria, inyectables,2014-01-01,2414,2414
PUNA,otras actividades de enfermeria, inyectables,2014-01-01,783,783
PUNATA,otras actividades de enfermeria, inyectables,2014-01-01,4578,4578
QUIABAYA,otras actividades de enfermeria, inyectables,2014-01-01,152,152
QUILLACOLLO,otras actividades de enfermeria, inyectables,2014-01-01,5767,5767
QUIME,otras actividades de enfermeria, inyectables,2014-01-01,293,293
QUIRUSILLAS,otras actividades de enfermeria, inyectables,2014-01-01,111,111
RAVELO,otras actividades de enfermeria, inyectables,2014-01-01,467,467
REYES,otras actividades de enfermeria, inyectables,2014-01-01,1157,1157
RIBERALTA,otras actividades de enfermeria, inyectables,2014-01-01,13555,13555
ROBORE,otras actividades de enfermeria, inyectables,2014-01-01,1613,1613
RURRENABAQUE,otras actividades de enfermeria, inyectables,2014-01-01,5324,5324
SABAYA,otras actividades de enfermeria, inyectables,2014-01-01,381,381
SACABA,otras actividades de enfermeria, inyectables,2014-01-01,4463,4463
SACABAMBA,otras actividades de enfermeria, inyectables,2014-01-01,72,72
SACACA,otras actividades de enfermeria, inyectables,2014-01-01,201,201
SAIPINA,otras actividades de enfermeria, inyectables,2014-01-01,290,290
SALINAS DE GARCI MENDOZA,otras actividades de enfermeria, inyectables,2014-01-01,565,565
SAMAIPATA,otras actividades de enfermeria, inyectables,2014-01-01,763,763
SAN AGUSTIN,otras actividades de enfermeria, inyectables,2014-01-01,62,62
SAN ANDRES,otras actividades de enfermeria, inyectables,2014-01-01,427,427
SAN ANDRES DE MACHACA,otras actividades de enfermeria, inyectables,2014-01-01,93,93
SAN ANTONIO DE ESMORUCO,otras actividades de enfermeria, inyectables,2014-01-01,30,30
SAN ANTONIO DE LOMERIO,otras actividades de enfermeria, inyectables,2014-01-01,481,481
SAN BENITO,otras actividades de enfermeria, inyectables,2014-01-01,285,285
SAN BORJA,otras actividades de enfermeria, inyectables,2014-01-01,1257,1257
SAN BUENA VENTURA,otras actividades de enfermeria, inyectables,2014-01-01,781,781
SAN CARLOS,otras actividades de enfermeria, inyectables,2014-01-01,2901,2901
SAN IGNACIO,otras actividades de enfermeria, inyectables,2014-01-01,2523,2523
SAN IGNACIO DE VELASCO,otras actividades de enfermeria, inyectables,2014-01-01,8988,8988
SAN JAVIER(BNI),otras actividades de enfermeria, inyectables,2014-01-01,103,103
SAN JAVIER(STC),otras actividades de enfermeria, inyectables,2014-01-01,215,215
SAN JOAQUIN,otras actividades de enfermeria, inyectables,2014-01-01,241,241
SAN JOSE DE CHIQUITOS,otras actividades de enfermeria, inyectables,2014-01-01,1908,1908
SAN JUAN DE YAPACANI,otras actividades de enfermeria, inyectables,2014-01-01,363,363
SAN JULIAN,otras actividades de enfermeria, inyectables,2014-01-01,1628,1628
SAN LORENZO(PND),otras actividades de enfermeria, inyectables,2014-01-01,165,165
SAN LORENZO(TJA),otras actividades de enfermeria, inyectables,2014-01-01,1319,1319
SAN LUCAS,otras actividades de enfermeria, inyectables,2014-01-01,2189,2189
SAN MATIAS,otras actividades de enfermeria, inyectables,2014-01-01,1838,1838
SAN MIGUEL DE VELASCO,otras actividades de enfermeria, inyectables,2014-01-01,777,777
SAN PABLO DE LIPEZ,otras actividades de enfermeria, inyectables,2014-01-01,52,52
SAN PEDRO,otras actividades de enfermeria, inyectables,2014-01-01,1144,1144
SAN PEDRO DE BUENA VISTA,otras actividades de enfermeria, inyectables,2014-01-01,250,250
SAN PEDRO DE CURAHUARA,otras actividades de enfermeria, inyectables,2014-01-01,92,92
SAN PEDRO DE QUEMES,otras actividades de enfermeria, inyectables,2014-01-01,36,36
SAN PEDRO DE TIQUINA,otras actividades de enfermeria, inyectables,2014-01-01,253,253
SAN PEDRO(PND),otras actividades de enfermeria, inyectables,2014-01-01,98,98
SAN RAFAEL,otras actividades de enfermeria, inyectables,2014-01-01,690,690
SAN RAMON BENI,otras actividades de enfermeria, inyectables,2014-01-01,447,447
SAN RAMON SCZ,otras actividades de enfermeria, inyectables,2014-01-01,1319,1319
SANTA ANA,otras actividades de enfermeria, inyectables,2014-01-01,2856,2856
SANTA CRUZ DE LA SIERRA,otras actividades de enfermeria, inyectables,2014-01-01,301450,301450
SANTA ROSA,otras actividades de enfermeria, inyectables,2014-01-01,300,300
SANTA ROSA DEL SARA,otras actividades de enfermeria, inyectables,2014-01-01,741,741
SANTIAGO DE CALLAPA,otras actividades de enfermeria, inyectables,2014-01-01,47,47
SANTIAGO DE HUARI,otras actividades de enfermeria, inyectables,2014-01-01,543,543
SANTIAGO DE HUATA,otras actividades de enfermeria, inyectables,2014-01-01,207,207
SANTIAGO DE MACHACA,otras actividades de enfermeria, inyectables,2014-01-01,110,110
SANTIVAÑES,otras actividades de enfermeria, inyectables,2014-01-01,254,254
SANTUARIO DE QUILLACAS,otras actividades de enfermeria, inyectables,2014-01-01,151,151
SAPAHAQUI,otras actividades de enfermeria, inyectables,2014-01-01,182,182
SENA,otras actividades de enfermeria, inyectables,2014-01-01,477,477
SHINAOTA,otras actividades de enfermeria, inyectables,2014-01-01,1282,1282
SICA SICA (VILLA AROMA),otras actividades de enfermeria, inyectables,2014-01-01,452,452
SICAYA,otras actividades de enfermeria, inyectables,2014-01-01,26,26
SIPE SIPE,otras actividades de enfermeria, inyectables,2014-01-01,771,771
SOPACHUY,otras actividades de enfermeria, inyectables,2014-01-01,468,468
SORACACHI,otras actividades de enfermeria, inyectables,2014-01-01,150,150
SORATA,otras actividades de enfermeria, inyectables,2014-01-01,363,363
SUCRE,otras actividades de enfermeria, inyectables,2014-01-01,56794,56794
TACACHI,otras actividades de enfermeria, inyectables,2014-01-01,8,8
TACACOMA,otras actividades de enfermeria, inyectables,2014-01-01,268,268
TACOBAMBA,otras actividades de enfermeria, inyectables,2014-01-01,168,168
TACOPAYA,otras actividades de enfermeria, inyectables,2014-01-01,134,134
TAHUA,otras actividades de enfermeria, inyectables,2014-01-01,35,35
TAPACARI,otras actividades de enfermeria, inyectables,2014-01-01,357,357
TARABUCO,otras actividades de enfermeria, inyectables,2014-01-01,1180,1180
TARACO,otras actividades de enfermeria, inyectables,2014-01-01,146,146
TARATA,otras actividades de enfermeria, inyectables,2014-01-01,248,248
TARIJA,otras actividades de enfermeria, inyectables,2014-01-01,72688,72688
TARVITA,otras actividades de enfermeria, inyectables,2014-01-01,1022,1022
TEOPONTE,otras actividades de enfermeria, inyectables,2014-01-01,334,334
TIAWANACU,otras actividades de enfermeria, inyectables,2014-01-01,255,255
TINGUIPAYA,otras actividades de enfermeria, inyectables,2014-01-01,223,223
TIPUANI,otras actividades de enfermeria, inyectables,2014-01-01,784,784
TIQUIPAYA,otras actividades de enfermeria, inyectables,2014-01-01,785,785
TIRAQUE (CBBA),otras actividades de enfermeria, inyectables,2014-01-01,407,407
TITO YUPANQUI (PARQUIPUJIO),otras actividades de enfermeria, inyectables,2014-01-01,25,25
TOCO,otras actividades de enfermeria, inyectables,2014-01-01,154,154
TODOS SANTOS,otras actividades de enfermeria, inyectables,2014-01-01,21,21
TOLATA,otras actividades de enfermeria, inyectables,2014-01-01,258,258
TOLEDO,otras actividades de enfermeria, inyectables,2014-01-01,114,114
TOMAVE,otras actividades de enfermeria, inyectables,2014-01-01,615,615
TOMINA,otras actividades de enfermeria, inyectables,2014-01-01,581,581
TORO TORO,otras actividades de enfermeria, inyectables,2014-01-01,235,235
TOTORA(CBBA),otras actividades de enfermeria, inyectables,2014-01-01,508,508
TOTORA(ORR),otras actividades de enfermeria, inyectables,2014-01-01,119,119
TRIGAL,otras actividades de enfermeria, inyectables,2014-01-01,162,162
TRINIDAD,otras actividades de enfermeria, inyectables,2014-01-01,58814,58814
TUPIZA,otras actividades de enfermeria, inyectables,2014-01-01,7446,7446
TURCO,otras actividades de enfermeria, inyectables,2014-01-01,182,182
UMALA,otras actividades de enfermeria, inyectables,2014-01-01,86,86
UNCIA,otras actividades de enfermeria, inyectables,2014-01-01,3527,3527
URIONDO (A. CONCEPCION),otras actividades de enfermeria, inyectables,2014-01-01,1453,1453
URUBICHA,otras actividades de enfermeria, inyectables,2014-01-01,323,323
UYUNI,otras actividades de enfermeria, inyectables,2014-01-01,7102,7102
VACAS,otras actividades de enfermeria, inyectables,2014-01-01,286,286
VALLEGRANDE,otras actividades de enfermeria, inyectables,2014-01-01,4451,4451
VIACHA,otras actividades de enfermeria, inyectables,2014-01-01,5259,5259
VILA VILA,otras actividades de enfermeria, inyectables,2014-01-01,31,31
VILLA CHARCAS,otras actividades de enfermeria, inyectables,2014-01-01,473,473
VILLA MONTES,otras actividades de enfermeria, inyectables,2014-01-01,9023,9023
VILLA NUEVA (LOMA ALTA),otras actividades de enfermeria, inyectables,2014-01-01,109,109
VILLA RIVERO,otras actividades de enfermeria, inyectables,2014-01-01,284,284
VILLA SERRANO,otras actividades de enfermeria, inyectables,2014-01-01,694,694
VILLA TUNARI,otras actividades de enfermeria, inyectables,2014-01-01,2165,2165
VILLA VACA GUZMAN (MUYUPAMPA),otras actividades de enfermeria, inyectables,2014-01-01,329,329
VILLAZON,otras actividades de enfermeria, inyectables,2014-01-01,4884,4884
VINTO,otras actividades de enfermeria, inyectables,2014-01-01,447,447
VITICHI,otras actividades de enfermeria, inyectables,2014-01-01,312,312
WALDO BALLIVIAN,otras actividades de enfermeria, inyectables,2014-01-01,17,17
WARNES,otras actividades de enfermeria, inyectables,2014-01-01,1973,1973
YACO,otras actividades de enfermeria, inyectables,2014-01-01,110,110
YACUIBA,otras actividades de enfermeria, inyectables,2014-01-01,25383,25383
YAMPARAEZ,otras actividades de enfermeria, inyectables,2014-01-01,395,395
YANACACHI,otras actividades de enfermeria, inyectables,2014-01-01,180,180
YAPACANI,otras actividades de enfermeria, inyectables,2014-01-01,5717,5717
YOCALLA,otras actividades de enfermeria, inyectables,2014-01-01,191,191
YOTALA,otras actividades de enfermeria, inyectables,2014-01-01,580,580
YUNCHARA,otras actividades de enfermeria, inyectables,2014-01-01,556,556
YUNGUYO DE LITORAL,otras actividades de enfermeria, inyectables,2014-01-01,1,1
ZUDAÑEZ,otras actividades de enfermeria, inyectables,2014-01-01,438,438
ACACIO,otras actividades de enfermeria, inyectables,2014-02-01,166,166
ACHACACHI,otras actividades de enfermeria, inyectables,2014-02-01,950,950
ACHOCALLA,otras actividades de enfermeria, inyectables,2014-02-01,154,154
AIQUILE,otras actividades de enfermeria, inyectables,2014-02-01,1713,1713
ALALAY,otras actividades de enfermeria, inyectables,2014-02-01,75,75
ALCALA,otras actividades de enfermeria, inyectables,2014-02-01,243,243
ALTO BENI,otras actividades de enfermeria, inyectables,2014-02-01,193,193
ANCORAIMES,otras actividades de enfermeria, inyectables,2014-02-01,172,172
ANDAMARCA,otras actividades de enfermeria, inyectables,2014-02-01,120,120
ANTEQUERA,otras actividades de enfermeria, inyectables,2014-02-01,53,53
ANZALDO,otras actividades de enfermeria, inyectables,2014-02-01,239,239
APOLO,otras actividades de enfermeria, inyectables,2014-02-01,362,362
ARAMPAMPA,otras actividades de enfermeria, inyectables,2014-02-01,103,103
ARANI,otras actividades de enfermeria, inyectables,2014-02-01,146,146
ARBIETO,otras actividades de enfermeria, inyectables,2014-02-01,269,269
ARQUE,otras actividades de enfermeria, inyectables,2014-02-01,141,141
ASCENCION DE GUARAYOS,otras actividades de enfermeria, inyectables,2014-02-01,4375,4375
ATOCHA,otras actividades de enfermeria, inyectables,2014-02-01,3978,3978
AUCAPATA,otras actividades de enfermeria, inyectables,2014-02-01,107,107
AYATA,otras actividades de enfermeria, inyectables,2014-02-01,151,151
AYO AYO,otras actividades de enfermeria, inyectables,2014-02-01,48,48
AYOPAYA (V. DE INDEPENDENCIA),otras actividades de enfermeria, inyectables,2014-02-01,810,810
AZURDUY,otras actividades de enfermeria, inyectables,2014-02-01,397,397
BATALLAS,otras actividades de enfermeria, inyectables,2014-02-01,357,357
BAURES,otras actividades de enfermeria, inyectables,2014-02-01,580,580
BELEN DE ANDAMARCA,otras actividades de enfermeria, inyectables,2014-02-01,47,47
BELEN DE URMIRI,otras actividades de enfermeria, inyectables,2014-02-01,35,35
BELLA FLOR,otras actividades de enfermeria, inyectables,2014-02-01,204,204
BERMEJO,otras actividades de enfermeria, inyectables,2014-02-01,10411,10411
BETANZOS,otras actividades de enfermeria, inyectables,2014-02-01,1602,1602
BOLIVAR,otras actividades de enfermeria, inyectables,2014-02-01,117,117
