municipality,group,variable,month,Total 7.3 Curaciones y/o suturas,TOTAL
PATACAMAYA,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,113,113
PAZÑA,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,76,76
PELECHUCO,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,37,37
POCOATA,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,46,46
POCONA,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,95,95
POJO (CBBA),otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,48,48
POOPO,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,127,127
PORCO,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,23,23
POROMA,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,36,36
PORONGO,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,63,63
PORTACHUELO,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,1567,1567
PORVENIR,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,98,98
POSTRER VALLE,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,27,27
POTOSI,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,3102,3102
PRESTO,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,25,25
PUCARA,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,3,3
PUCARANI,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,116,116
PUERTO ACOSTA,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,29,29
PUERTO CARABUCO,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,84,84
PUERTO GONZALO MORENO,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,83,83
PUERTO PEREZ,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,81,81
PUERTO QUIJARRO,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,227,227
PUERTO RICO,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,72,72
PUERTO SILES,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,5,5
PUERTO SUAREZ,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,427,427
PUERTO VILLARROEL,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,736,736
PUNA,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,192,192
PUNATA,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,793,793
QUIABAYA,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,21,21
QUILLACOLLO,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,1571,1571
QUIME,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,61,61
QUIRUSILLAS,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,36,36
RAVELO,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,20,20
REYES,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,423,423
RIBERALTA,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,2053,2053
ROBORE,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,251,251
RURRENABAQUE,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,235,235
SABAYA,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,24,24
SACABA,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,1727,1727
SACABAMBA,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,23,23
SACACA,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,77,77
SAIPINA,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,120,120
SALINAS DE GARCI MENDOZA,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,85,85
SAMAIPATA,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,168,168
SAN AGUSTIN,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,5,5
SAN ANDRES,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,43,43
SAN ANDRES DE MACHACA,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,16,16
SAN ANTONIO DE ESMORUCO,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,10,10
SAN ANTONIO DE LOMERIO,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,59,59
SAN BENITO,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,62,62
SAN BORJA,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,779,779
SAN BUENA VENTURA,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,82,82
SAN CARLOS,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,245,245
SAN IGNACIO,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,361,361
SAN IGNACIO DE VELASCO,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,1369,1369
SAN JAVIER(BNI),otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,13,13
SAN JAVIER(STC),otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,92,92
SAN JOAQUIN,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,67,67
SAN JOSE DE CHIQUITOS,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,412,412
SAN JUAN DE YAPACANI,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,95,95
SAN JULIAN,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,609,609
SAN LORENZO(PND),otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,12,12
SAN LORENZO(TJA),otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,315,315
SAN LUCAS,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,105,105
SAN MATIAS,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,214,214
SAN MIGUEL DE VELASCO,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,81,81
SAN PABLO DE LIPEZ,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,41,41
SAN PEDRO,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,226,226
SAN PEDRO DE BUENA VISTA,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,29,29
SAN PEDRO DE CURAHUARA,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,40,40
SAN PEDRO DE TIQUINA,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,65,65
SAN PEDRO(PND),otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,12,12
SAN RAFAEL,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,49,49
SAN RAMON BENI,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,92,92
SAN RAMON SCZ,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,250,250
SANTA ANA,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,514,514
SANTA CRUZ DE LA SIERRA,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,40638,40638
SANTA ROSA,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,90,90
SANTA ROSA DEL SARA,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,173,173
SANTIAGO DE CALLAPA,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,16,16
SANTIAGO DE HUARI,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,161,161
SANTIAGO DE HUATA,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,52,52
SANTIAGO DE MACHACA,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,14,14
SANTIVAÑES,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,97,97
SANTUARIO DE QUILLACAS,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,40,40
SAPAHAQUI,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,51,51
SENA,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,24,24
SHINAOTA,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,51,51
SICA SICA (VILLA AROMA),otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,210,210
SICAYA,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,6,6
SIPE SIPE,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,409,409
SOPACHUY,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,63,63
SORACACHI,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,37,37
SORATA,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,23,23
SUCRE,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,6971,6971
TACACHI,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,7,7
TACACOMA,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,28,28
TACOBAMBA,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,10,10
TACOPAYA,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,22,22
TAHUA,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,2,2
TAPACARI,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,44,44
TARABUCO,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,48,48
TARACO,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,116,116
TARATA,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,82,82
TARIJA,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,276026,276026
TARVITA,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,59,59
TEOPONTE,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,32,32
TIAWANACU,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,64,64
TINGUIPAYA,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,13,13
TIPUANI,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,103,103
TIQUIPAYA,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,459,459
TIRAQUE (CBBA),otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,180,180
TITO YUPANQUI (PARQUIPUJIO),otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,8,8
TOCO,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,52,52
TODOS SANTOS,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,2,2
TOLATA,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,92,92
TOLEDO,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,31,31
TOMAVE,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,78,78
TOMINA,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,34,34
TORO TORO,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,41,41
TOTORA(CBBA),otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,80,80
TOTORA(ORR),otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,23,23
TRIGAL,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,42,42
TRINIDAD,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,16574,16574
TUPIZA,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,940,940
TURCO,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,30,30
UMALA,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,26,26
UNCIA,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,250,250
URIONDO (A. CONCEPCION),otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,248,248
URUBICHA,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,41,41
UYUNI,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,1384,1384
VACAS,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,41,41
VALLEGRANDE,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,423,423
VIACHA,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,851,851
VILA VILA,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,15,15
VILLA CHARCAS,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,28,28
VILLA MONTES,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,1282,1282
VILLA NUEVA (LOMA ALTA),otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,20,20
VILLA RIVERO,otras actividades de enfermeria, curaciones y/o suturas,2014-01-01,130,130
