municipality,group,variable,month,Total 7.1 Sueros,TOTAL
BOYUIBE,otras actividades de enfermeria, sueros,2014-01-01,75,75
BUENA VISTA,otras actividades de enfermeria, sueros,2014-01-01,16,16
CABEZAS,otras actividades de enfermeria, sueros,2014-01-01,261,261
CAIROMA,otras actividades de enfermeria, sueros,2014-01-01,49,49
"CAIZA ""D""",otras actividades de enfermeria, sueros,2014-01-01,19,19
CAJUATA,otras actividades de enfermeria, sueros,2014-01-01,15,15
CALACOTO,otras actividades de enfermeria, sueros,2014-01-01,5,5
CALAMARCA,otras actividades de enfermeria, sueros,2014-01-01,24,24
CAMARGO,otras actividades de enfermeria, sueros,2014-01-01,90,90
CAMATAQUI (C. VILLA ABECIA),otras actividades de enfermeria, sueros,2014-01-01,15,15
CAMIRI,otras actividades de enfermeria, sueros,2014-01-01,1386,1386
CAPINOTA,otras actividades de enfermeria, sueros,2014-01-01,58,58
CAQUIAVIRI,otras actividades de enfermeria, sueros,2014-01-01,17,17
CARACOLLO,otras actividades de enfermeria, sueros,2014-01-01,11,11
CARANAVI,otras actividades de enfermeria, sueros,2014-01-01,516,516
CARANGAS,otras actividades de enfermeria, sueros,2014-01-01,1,1
CARAPARI,otras actividades de enfermeria, sueros,2014-01-01,162,162
CARIPUYO,otras actividades de enfermeria, sueros,2014-01-01,12,12
CARMEN RIVERO TORREZ,otras actividades de enfermeria, sueros,2014-01-01,17,17
CATACORA,otras actividades de enfermeria, sueros,2014-01-01,1,1
CHACARILLA,otras actividades de enfermeria, sueros,2014-01-01,3,3
CHALLAPATA,otras actividades de enfermeria, sueros,2014-01-01,95,95
CHAQUI,otras actividades de enfermeria, sueros,2014-01-01,15,15
CHARAGUA,otras actividades de enfermeria, sueros,2014-01-01,155,155
CHARAÑA,otras actividades de enfermeria, sueros,2014-01-01,3,3
CHAYANTA,otras actividades de enfermeria, sueros,2014-01-01,23,23
CHIMORE,otras actividades de enfermeria, sueros,2014-01-01,32,32
CHOQUE COTA,otras actividades de enfermeria, sueros,2014-01-01,1,1
CHUA COCANI,otras actividades de enfermeria, sueros,2014-01-01,4,4
CHULUMANI (V. DE LA LIBERTAD),otras actividades de enfermeria, sueros,2014-01-01,333,333
CHUMA,otras actividades de enfermeria, sueros,2014-01-01,11,11
CHUQUIHUTA AYLLU JUCUMANI,otras actividades de enfermeria, sueros,2014-01-01,3,3
CKOCHAS,otras actividades de enfermeria, sueros,2014-01-01,19,19
CLIZA,otras actividades de enfermeria, sueros,2014-01-01,48,48
COBIJA,otras actividades de enfermeria, sueros,2014-01-01,1388,1388
COCAPATA,otras actividades de enfermeria, sueros,2014-01-01,12,12
COCHABAMBA,otras actividades de enfermeria, sueros,2014-01-01,13314,13314
COIPASA,otras actividades de enfermeria, sueros,2014-01-01,2,2
COLCAPIRHUA,otras actividades de enfermeria, sueros,2014-01-01,382,382
"COLCHA ""K""",otras actividades de enfermeria, sueros,2014-01-01,37,37
COLLANA,otras actividades de enfermeria, sueros,2014-01-01,3,3
COLOMI,otras actividades de enfermeria, sueros,2014-01-01,24,24
COLPA BELGICA,otras actividades de enfermeria, sueros,2014-01-01,49,49
COLQUECHACA,otras actividades de enfermeria, sueros,2014-01-01,23,23
COLQUENCHA,otras actividades de enfermeria, sueros,2014-01-01,5,5
COLQUIRI,otras actividades de enfermeria, sueros,2014-01-01,34,34
COMANCHE,otras actividades de enfermeria, sueros,2014-01-01,2,2
COMARAPA,otras actividades de enfermeria, sueros,2014-01-01,152,152
COMBAYA,otras actividades de enfermeria, sueros,2014-01-01,7,7
CONCEPCION,otras actividades de enfermeria, sueros,2014-01-01,148,148
COPACABANA,otras actividades de enfermeria, sueros,2014-01-01,28,28
CORIPATA,otras actividades de enfermeria, sueros,2014-01-01,13,13
CORO CORO,otras actividades de enfermeria, sueros,2014-01-01,4,4
COROICO,otras actividades de enfermeria, sueros,2014-01-01,219,219
CORQUE,otras actividades de enfermeria, sueros,2014-01-01,8,8
COTAGAITA,otras actividades de enfermeria, sueros,2014-01-01,188,188
COTOCA,otras actividades de enfermeria, sueros,2014-01-01,100,100
CUATRO CAÑADAS,otras actividades de enfermeria, sueros,2014-01-01,123,123
CUCHUMUELA (V. G. VILLARROEL),otras actividades de enfermeria, sueros,2014-01-01,3,3
CUEVO,otras actividades de enfermeria, sueros,2014-01-01,11,11
CULPINA,otras actividades de enfermeria, sueros,2014-01-01,85,85
CURAHUARA DE CARANGAS,otras actividades de enfermeria, sueros,2014-01-01,1,1
CURVA,otras actividades de enfermeria, sueros,2014-01-01,2,2
DESAGUADERO,otras actividades de enfermeria, sueros,2014-01-01,3,3
EL ALTO,otras actividades de enfermeria, sueros,2014-01-01,7870,7870
EL CHORO,otras actividades de enfermeria, sueros,2014-01-01,7,7
EL PUENTE(STC),otras actividades de enfermeria, sueros,2014-01-01,28,28
EL PUENTE(TJA),otras actividades de enfermeria, sueros,2014-01-01,71,71
EL TORNO,otras actividades de enfermeria, sueros,2014-01-01,988,988
EL VILLAR,otras actividades de enfermeria, sueros,2014-01-01,25,25
ENTRE RIOS TRJ,otras actividades de enfermeria, sueros,2014-01-01,175,175
ENTRE RIOS CBBA,otras actividades de enfermeria, sueros,2014-01-01,39,39
ESCARA,otras actividades de enfermeria, sueros,2014-01-01,1,1
ESCOMA,otras actividades de enfermeria, sueros,2014-01-01,49,49
EUCALIPTUS,otras actividades de enfermeria, sueros,2014-01-01,7,7
EUREKA (SANTOS MERCADO),otras actividades de enfermeria, sueros,2014-01-01,5,5
EXALTACION,otras actividades de enfermeria, sueros,2014-01-01,4,4
FERNANDEZ ALONSO,otras actividades de enfermeria, sueros,2014-01-01,66,66
FILADELFIA,otras actividades de enfermeria, sueros,2014-01-01,41,41
GENERAL SAAVEDRA,otras actividades de enfermeria, sueros,2014-01-01,75,75
GRAL. J.J. PEREZ (CHARAZANI),otras actividades de enfermeria, sueros,2014-01-01,9,9
GUANAY,otras actividades de enfermeria, sueros,2014-01-01,68,68
GUAQUI,otras actividades de enfermeria, sueros,2014-01-01,4,4
GUAYARAMERIN,otras actividades de enfermeria, sueros,2014-01-01,2786,2786
GUTIERREZ,otras actividades de enfermeria, sueros,2014-01-01,71,71
HUACARETA,otras actividades de enfermeria, sueros,2014-01-01,152,152
HUACAYA (VILLA DE HUACAYA),otras actividades de enfermeria, sueros,2014-01-01,10,10
HUACHACALLA,otras actividades de enfermeria, sueros,2014-01-01,7,7
HUANUNI,otras actividades de enfermeria, sueros,2014-01-01,305,305
HUARACAJE,otras actividades de enfermeria, sueros,2014-01-01,18,18
HUARINA,otras actividades de enfermeria, sueros,2014-01-01,5,5
HUATAJATA,otras actividades de enfermeria, sueros,2014-01-01,10,10
HUAYLLAMARCA,otras actividades de enfermeria, sueros,2014-01-01,9,9
HUMANATA,otras actividades de enfermeria, sueros,2014-01-01,2,2
ICHOCA,otras actividades de enfermeria, sueros,2014-01-01,11,11
ICLA,otras actividades de enfermeria, sueros,2014-01-01,41,41
INCAHUASI,otras actividades de enfermeria, sueros,2014-01-01,21,21
INGAVI (HUMAITA),otras actividades de enfermeria, sueros,2014-01-01,10,10
INQUISIVI,otras actividades de enfermeria, sueros,2014-01-01,13,13
IRUPANA (VILLA DE LANZA),otras actividades de enfermeria, sueros,2014-01-01,35,35
IXIAMAS,otras actividades de enfermeria, sueros,2014-01-01,17,17
JESUS DE MACHACA,otras actividades de enfermeria, sueros,2014-01-01,43,43
LA ASUNTA,otras actividades de enfermeria, sueros,2014-01-01,63,63
LA GUARDIA,otras actividades de enfermeria, sueros,2014-01-01,814,814
LA PAZ,otras actividades de enfermeria, sueros,2014-01-01,50739,50739
LAGUNILLAS,otras actividades de enfermeria, sueros,2014-01-01,14,14
LAJA,otras actividades de enfermeria, sueros,2014-01-01,20,20
LAS CARRERAS,otras actividades de enfermeria, sueros,2014-01-01,47,47
LICOMA PAMPA,otras actividades de enfermeria, sueros,2014-01-01,4,4
LLALLAGUA,otras actividades de enfermeria, sueros,2014-01-01,513,513
LLICA,otras actividades de enfermeria, sueros,2014-01-01,1,1
LORETO,otras actividades de enfermeria, sueros,2014-01-01,10,10
LURIBAY,otras actividades de enfermeria, sueros,2014-01-01,12,12
MACHACAMARCA,otras actividades de enfermeria, sueros,2014-01-01,3,3
MACHARETI,otras actividades de enfermeria, sueros,2014-01-01,69,69
MAGDALENA,otras actividades de enfermeria, sueros,2014-01-01,268,268
MAIRANA,otras actividades de enfermeria, sueros,2014-01-01,174,174
MALLA,otras actividades de enfermeria, sueros,2014-01-01,6,6
MAPIRI,otras actividades de enfermeria, sueros,2014-01-01,49,49
MECAPACA,otras actividades de enfermeria, sueros,2014-01-01,14,14
MINEROS,otras actividades de enfermeria, sueros,2014-01-01,45,45
MIZQUE,otras actividades de enfermeria, sueros,2014-01-01,134,134
MOCOMOCO,otras actividades de enfermeria, sueros,2014-01-01,6,6
MOJINETE,otras actividades de enfermeria, sueros,2014-01-01,8,8
MOJOCOYA,otras actividades de enfermeria, sueros,2014-01-01,16,16
MONTEAGUDO,otras actividades de enfermeria, sueros,2014-01-01,980,980
MONTERO,otras actividades de enfermeria, sueros,2014-01-01,11696,11696
MORO MORO,otras actividades de enfermeria, sueros,2014-01-01,8,8
MOROCHATA,otras actividades de enfermeria, sueros,2014-01-01,15,15
NACEBE (SANTA ROSA DEL ABUNA),otras actividades de enfermeria, sueros,2014-01-01,28,28
NAZACARA DE PACAJES,otras actividades de enfermeria, sueros,2014-01-01,2,2
NUEVO MANOA (NUEVA ESPERANZA),otras actividades de enfermeria, sueros,2014-01-01,15,15
OCURI,otras actividades de enfermeria, sueros,2014-01-01,8,8
OKINAWA,otras actividades de enfermeria, sueros,2014-01-01,49,49
OMEREQUE,otras actividades de enfermeria, sueros,2014-01-01,61,61
ORURO,otras actividades de enfermeria, sueros,2014-01-01,15867,15867
PADCAYA,otras actividades de enfermeria, sueros,2014-01-01,165,165
PADILLA,otras actividades de enfermeria, sueros,2014-01-01,562,562
PAILON,otras actividades de enfermeria, sueros,2014-01-01,188,188
PALCA,otras actividades de enfermeria, sueros,2014-01-01,14,14
PALOS BLANCOS,otras actividades de enfermeria, sueros,2014-01-01,73,73
PAMPA AULLAGAS,otras actividades de enfermeria, sueros,2014-01-01,2,2
PAMPA GRANDE,otras actividades de enfermeria, sueros,2014-01-01,37,37
PAPEL PAMPA,otras actividades de enfermeria, sueros,2014-01-01,1,1
PASORAPA,otras actividades de enfermeria, sueros,2014-01-01,6,6
PATACAMAYA,otras actividades de enfermeria, sueros,2014-01-01,59,59
PAZÑA,otras actividades de enfermeria, sueros,2014-01-01,88,88
PELECHUCO,otras actividades de enfermeria, sueros,2014-01-01,5,5
POCOATA,otras actividades de enfermeria, sueros,2014-01-01,8,8
POCONA,otras actividades de enfermeria, sueros,2014-01-01,23,23
POJO (CBBA),otras actividades de enfermeria, sueros,2014-01-01,23,23
POOPO,otras actividades de enfermeria, sueros,2014-01-01,19,19
PORCO,otras actividades de enfermeria, sueros,2014-01-01,15,15
POROMA,otras actividades de enfermeria, sueros,2014-01-01,37,37
PORONGO,otras actividades de enfermeria, sueros,2014-01-01,18,18
PORTACHUELO,otras actividades de enfermeria, sueros,2014-01-01,846,846
PORVENIR,otras actividades de enfermeria, sueros,2014-01-01,64,64
POSTRER VALLE,otras actividades de enfermeria, sueros,2014-01-01,2,2
POTOSI,otras actividades de enfermeria, sueros,2014-01-01,7736,7736
PRESTO,otras actividades de enfermeria, sueros,2014-01-01,32,32
PUCARA,otras actividades de enfermeria, sueros,2014-01-01,6,6
PUCARANI,otras actividades de enfermeria, sueros,2014-01-01,34,34
PUERTO ACOSTA,otras actividades de enfermeria, sueros,2014-01-01,3,3
PUERTO CARABUCO,otras actividades de enfermeria, sueros,2014-01-01,20,20
PUERTO GONZALO MORENO,otras actividades de enfermeria, sueros,2014-01-01,91,91
PUERTO PEREZ,otras actividades de enfermeria, sueros,2014-01-01,2,2
PUERTO QUIJARRO,otras actividades de enfermeria, sueros,2014-01-01,60,60
PUERTO RICO,otras actividades de enfermeria, sueros,2014-01-01,51,51
PUERTO SILES,otras actividades de enfermeria, sueros,2014-01-01,5,5
PUERTO SUAREZ,otras actividades de enfermeria, sueros,2014-01-01,359,359
PUERTO VILLARROEL,otras actividades de enfermeria, sueros,2014-01-01,763,763
PUNA,otras actividades de enfermeria, sueros,2014-01-01,38,38
PUNATA,otras actividades de enfermeria, sueros,2014-01-01,425,425
QUIABAYA,otras actividades de enfermeria, sueros,2014-01-01,8,8
QUILLACOLLO,otras actividades de enfermeria, sueros,2014-01-01,944,944
QUIME,otras actividades de enfermeria, sueros,2014-01-01,14,14
QUIRUSILLAS,otras actividades de enfermeria, sueros,2014-01-01,11,11
RAVELO,otras actividades de enfermeria, sueros,2014-01-01,29,29
REYES,otras actividades de enfermeria, sueros,2014-01-01,54,54
RIBERALTA,otras actividades de enfermeria, sueros,2014-01-01,2786,2786
ROBORE,otras actividades de enfermeria, sueros,2014-01-01,236,236
RURRENABAQUE,otras actividades de enfermeria, sueros,2014-01-01,129,129
SABAYA,otras actividades de enfermeria, sueros,2014-01-01,13,13
SACABA,otras actividades de enfermeria, sueros,2014-01-01,1344,1344
SACABAMBA,otras actividades de enfermeria, sueros,2014-01-01,14,14
SACACA,otras actividades de enfermeria, sueros,2014-01-01,21,21
SAIPINA,otras actividades de enfermeria, sueros,2014-01-01,27,27
SALINAS DE GARCI MENDOZA,otras actividades de enfermeria, sueros,2014-01-01,39,39
SAMAIPATA,otras actividades de enfermeria, sueros,2014-01-01,81,81
SAN AGUSTIN,otras actividades de enfermeria, sueros,2014-01-01,6,6
SAN ANDRES,otras actividades de enfermeria, sueros,2014-01-01,11,11
SAN ANDRES DE MACHACA,otras actividades de enfermeria, sueros,2014-01-01,4,4
SAN ANTONIO DE ESMORUCO,otras actividades de enfermeria, sueros,2014-01-01,40,40
SAN ANTONIO DE LOMERIO,otras actividades de enfermeria, sueros,2014-01-01,29,29
SAN BENITO,otras actividades de enfermeria, sueros,2014-01-01,14,14
SAN BORJA,otras actividades de enfermeria, sueros,2014-01-01,145,145
SAN BUENA VENTURA,otras actividades de enfermeria, sueros,2014-01-01,51,51
SAN CARLOS,otras actividades de enfermeria, sueros,2014-01-01,278,278
SAN IGNACIO,otras actividades de enfermeria, sueros,2014-01-01,188,188
SAN IGNACIO DE VELASCO,otras actividades de enfermeria, sueros,2014-01-01,977,977
SAN JAVIER(BNI),otras actividades de enfermeria, sueros,2014-01-01,9,9
SAN JAVIER(STC),otras actividades de enfermeria, sueros,2014-01-01,24,24
SAN JOAQUIN,otras actividades de enfermeria, sueros,2014-01-01,45,45
SAN JOSE DE CHIQUITOS,otras actividades de enfermeria, sueros,2014-01-01,235,235
SAN JUAN DE YAPACANI,otras actividades de enfermeria, sueros,2014-01-01,79,79
SAN JULIAN,otras actividades de enfermeria, sueros,2014-01-01,190,190
SAN LORENZO(PND),otras actividades de enfermeria, sueros,2014-01-01,6,6
SAN LORENZO(TJA),otras actividades de enfermeria, sueros,2014-01-01,72,72
SAN LUCAS,otras actividades de enfermeria, sueros,2014-01-01,260,260
SAN MATIAS,otras actividades de enfermeria, sueros,2014-01-01,244,244
SAN MIGUEL DE VELASCO,otras actividades de enfermeria, sueros,2014-01-01,66,66
SAN PABLO DE LIPEZ,otras actividades de enfermeria, sueros,2014-01-01,3,3
SAN PEDRO,otras actividades de enfermeria, sueros,2014-01-01,62,62
SAN PEDRO DE BUENA VISTA,otras actividades de enfermeria, sueros,2014-01-01,41,41
SAN PEDRO DE CURAHUARA,otras actividades de enfermeria, sueros,2014-01-01,19,19
SAN PEDRO DE QUEMES,otras actividades de enfermeria, sueros,2014-01-01,2,2
SAN PEDRO DE TIQUINA,otras actividades de enfermeria, sueros,2014-01-01,25,25
SAN PEDRO(PND),otras actividades de enfermeria, sueros,2014-01-01,7,7
SAN RAFAEL,otras actividades de enfermeria, sueros,2014-01-01,17,17
SAN RAMON BENI,otras actividades de enfermeria, sueros,2014-01-01,96,96
SAN RAMON SCZ,otras actividades de enfermeria, sueros,2014-01-01,83,83
SANTA ANA,otras actividades de enfermeria, sueros,2014-01-01,351,351
SANTA CRUZ DE LA SIERRA,otras actividades de enfermeria, sueros,2014-01-01,31274,31274
SANTA ROSA,otras actividades de enfermeria, sueros,2014-01-01,125,125
SANTA ROSA DEL SARA,otras actividades de enfermeria, sueros,2014-01-01,72,72
SANTIAGO DE CALLAPA,otras actividades de enfermeria, sueros,2014-01-01,4,4
SANTIAGO DE HUARI,otras actividades de enfermeria, sueros,2014-01-01,28,28
SANTIAGO DE HUATA,otras actividades de enfermeria, sueros,2014-01-01,6,6
SANTIAGO DE MACHACA,otras actividades de enfermeria, sueros,2014-01-01,7,7
SANTIVAÑES,otras actividades de enfermeria, sueros,2014-01-01,12,12
SANTUARIO DE QUILLACAS,otras actividades de enfermeria, sueros,2014-01-01,9,9
SAPAHAQUI,otras actividades de enfermeria, sueros,2014-01-01,10,10
SENA,otras actividades de enfermeria, sueros,2014-01-01,40,40
SHINAOTA,otras actividades de enfermeria, sueros,2014-01-01,289,289
SICA SICA (VILLA AROMA),otras actividades de enfermeria, sueros,2014-01-01,39,39
SICAYA,otras actividades de enfermeria, sueros,2014-01-01,3,3
SIPE SIPE,otras actividades de enfermeria, sueros,2014-01-01,33,33
SOPACHUY,otras actividades de enfermeria, sueros,2014-01-01,33,33
SORACACHI,otras actividades de enfermeria, sueros,2014-01-01,9,9
SORATA,otras actividades de enfermeria, sueros,2014-01-01,12,12
SUCRE,otras actividades de enfermeria, sueros,2014-01-01,12488,12488
TACACOMA,otras actividades de enfermeria, sueros,2014-01-01,18,18
TACOBAMBA,otras actividades de enfermeria, sueros,2014-01-01,16,16
TACOPAYA,otras actividades de enfermeria, sueros,2014-01-01,17,17
TAHUA,otras actividades de enfermeria, sueros,2014-01-01,3,3
TAPACARI,otras actividades de enfermeria, sueros,2014-01-01,31,31
TARABUCO,otras actividades de enfermeria, sueros,2014-01-01,89,89
TARACO,otras actividades de enfermeria, sueros,2014-01-01,10,10
TARATA,otras actividades de enfermeria, sueros,2014-01-01,3,3
TARIJA,otras actividades de enfermeria, sueros,2014-01-01,26545,26545
TARVITA,otras actividades de enfermeria, sueros,2014-01-01,75,75
TEOPONTE,otras actividades de enfermeria, sueros,2014-01-01,19,19
TIAWANACU,otras actividades de enfermeria, sueros,2014-01-01,19,19
TINGUIPAYA,otras actividades de enfermeria, sueros,2014-01-01,19,19
TIPUANI,otras actividades de enfermeria, sueros,2014-01-01,107,107
TIQUIPAYA,otras actividades de enfermeria, sueros,2014-01-01,25,25
TIRAQUE (CBBA),otras actividades de enfermeria, sueros,2014-01-01,27,27
TITO YUPANQUI (PARQUIPUJIO),otras actividades de enfermeria, sueros,2014-01-01,1,1
TOCO,otras actividades de enfermeria, sueros,2014-01-01,15,15
TODOS SANTOS,otras actividades de enfermeria, sueros,2014-01-01,2,2
TOLATA,otras actividades de enfermeria, sueros,2014-01-01,16,16
TOLEDO,otras actividades de enfermeria, sueros,2014-01-01,4,4
TOMAVE,otras actividades de enfermeria, sueros,2014-01-01,36,36
TOMINA,otras actividades de enfermeria, sueros,2014-01-01,48,48
TORO TORO,otras actividades de enfermeria, sueros,2014-01-01,34,34
TOTORA(CBBA),otras actividades de enfermeria, sueros,2014-01-01,124,124
TOTORA(ORR),otras actividades de enfermeria, sueros,2014-01-01,16,16
TRIGAL,otras actividades de enfermeria, sueros,2014-01-01,20,20
TRINIDAD,otras actividades de enfermeria, sueros,2014-01-01,10783,10783
TUPIZA,otras actividades de enfermeria, sueros,2014-01-01,851,851
TURCO,otras actividades de enfermeria, sueros,2014-01-01,10,10
UMALA,otras actividades de enfermeria, sueros,2014-01-01,7,7
UNCIA,otras actividades de enfermeria, sueros,2014-01-01,661,661
URIONDO (A. CONCEPCION),otras actividades de enfermeria, sueros,2014-01-01,84,84
URUBICHA,otras actividades de enfermeria, sueros,2014-01-01,37,37
UYUNI,otras actividades de enfermeria, sueros,2014-01-01,1314,1314
VACAS,otras actividades de enfermeria, sueros,2014-01-01,5,5
VALLEGRANDE,otras actividades de enfermeria, sueros,2014-01-01,576,576
VIACHA,otras actividades de enfermeria, sueros,2014-01-01,577,577
VILA VILA,otras actividades de enfermeria, sueros,2014-01-01,5,5
VILLA CHARCAS,otras actividades de enfermeria, sueros,2014-01-01,44,44
VILLA MONTES,otras actividades de enfermeria, sueros,2014-01-01,1966,1966
VILLA NUEVA (LOMA ALTA),otras actividades de enfermeria, sueros,2014-01-01,10,10
VILLA RIVERO,otras actividades de enfermeria, sueros,2014-01-01,17,17
VILLA SERRANO,otras actividades de enfermeria, sueros,2014-01-01,79,79
VILLA TUNARI,otras actividades de enfermeria, sueros,2014-01-01,103,103
VILLA VACA GUZMAN (MUYUPAMPA),otras actividades de enfermeria, sueros,2014-01-01,38,38
VILLAZON,otras actividades de enfermeria, sueros,2014-01-01,625,625
VINTO,otras actividades de enfermeria, sueros,2014-01-01,97,97
VITICHI,otras actividades de enfermeria, sueros,2014-01-01,24,24
WARNES,otras actividades de enfermeria, sueros,2014-01-01,166,166
YACO,otras actividades de enfermeria, sueros,2014-01-01,7,7
YACUIBA,otras actividades de enfermeria, sueros,2014-01-01,3507,3507
YAMPARAEZ,otras actividades de enfermeria, sueros,2014-01-01,25,25
YANACACHI,otras actividades de enfermeria, sueros,2014-01-01,7,7
YAPACANI,otras actividades de enfermeria, sueros,2014-01-01,433,433
YOCALLA,otras actividades de enfermeria, sueros,2014-01-01,5,5
YOTALA,otras actividades de enfermeria, sueros,2014-01-01,53,53
YUNCHARA,otras actividades de enfermeria, sueros,2014-01-01,32,32
ZUDAÑEZ,otras actividades de enfermeria, sueros,2014-01-01,10,10
ACACIO,otras actividades de enfermeria, sueros,2014-02-01,15,15
ACHACACHI,otras actividades de enfermeria, sueros,2014-02-01,217,217
ACHOCALLA,otras actividades de enfermeria, sueros,2014-02-01,4,4
AIQUILE,otras actividades de enfermeria, sueros,2014-02-01,107,107
ALALAY,otras actividades de enfermeria, sueros,2014-02-01,8,8
ALCALA,otras actividades de enfermeria, sueros,2014-02-01,14,14
ALTO BENI,otras actividades de enfermeria, sueros,2014-02-01,13,13
ANCORAIMES,otras actividades de enfermeria, sueros,2014-02-01,13,13
ANDAMARCA,otras actividades de enfermeria, sueros,2014-02-01,22,22
ANZALDO,otras actividades de enfermeria, sueros,2014-02-01,75,75
APOLO,otras actividades de enfermeria, sueros,2014-02-01,40,40
ARAMPAMPA,otras actividades de enfermeria, sueros,2014-02-01,20,20
ARANI,otras actividades de enfermeria, sueros,2014-02-01,10,10
ARBIETO,otras actividades de enfermeria, sueros,2014-02-01,5,5
ARQUE,otras actividades de enfermeria, sueros,2014-02-01,10,10
ASCENCION DE GUARAYOS,otras actividades de enfermeria, sueros,2014-02-01,404,404
ATOCHA,otras actividades de enfermeria, sueros,2014-02-01,388,388
AUCAPATA,otras actividades de enfermeria, sueros,2014-02-01,2,2
AYATA,otras actividades de enfermeria, sueros,2014-02-01,9,9
AYO AYO,otras actividades de enfermeria, sueros,2014-02-01,5,5
AYOPAYA (V. DE INDEPENDENCIA),otras actividades de enfermeria, sueros,2014-02-01,36,36
AZURDUY,otras actividades de enfermeria, sueros,2014-02-01,40,40
BATALLAS,otras actividades de enfermeria, sueros,2014-02-01,14,14
BAURES,otras actividades de enfermeria, sueros,2014-02-01,68,68
BELEN DE ANDAMARCA,otras actividades de enfermeria, sueros,2014-02-01,1,1
BELEN DE URMIRI,otras actividades de enfermeria, sueros,2014-02-01,2,2
BELLA FLOR,otras actividades de enfermeria, sueros,2014-02-01,17,17
BERMEJO,otras actividades de enfermeria, sueros,2014-02-01,1338,1338
BETANZOS,otras actividades de enfermeria, sueros,2014-02-01,129,129
BOLIVAR,otras actividades de enfermeria, sueros,2014-02-01,13,13
BOLPEBRA,otras actividades de enfermeria, sueros,2014-02-01,7,7
BOYUIBE,otras actividades de enfermeria, sueros,2014-02-01,53,53
BUENA VISTA,otras actividades de enfermeria, sueros,2014-02-01,27,27
CABEZAS,otras actividades de enfermeria, sueros,2014-02-01,231,231
CAIROMA,otras actividades de enfermeria, sueros,2014-02-01,44,44
"CAIZA ""D""",otras actividades de enfermeria, sueros,2014-02-01,23,23
CAJUATA,otras actividades de enfermeria, sueros,2014-02-01,20,20
CALACOTO,otras actividades de enfermeria, sueros,2014-02-01,4,4
CALAMARCA,otras actividades de enfermeria, sueros,2014-02-01,35,35
CAMARGO,otras actividades de enfermeria, sueros,2014-02-01,132,132
CAMATAQUI (C. VILLA ABECIA),otras actividades de enfermeria, sueros,2014-02-01,19,19
CAMIRI,otras actividades de enfermeria, sueros,2014-02-01,993,993
CAPINOTA,otras actividades de enfermeria, sueros,2014-02-01,49,49
CAQUIAVIRI,otras actividades de enfermeria, sueros,2014-02-01,7,7
CARACOLLO,otras actividades de enfermeria, sueros,2014-02-01,23,23
CARANAVI,otras actividades de enfermeria, sueros,2014-02-01,355,355
CARANGAS,otras actividades de enfermeria, sueros,2014-02-01,1,1
CARAPARI,otras actividades de enfermeria, sueros,2014-02-01,136,136
CARIPUYO,otras actividades de enfermeria, sueros,2014-02-01,5,5
CARMEN RIVERO TORREZ,otras actividades de enfermeria, sueros,2014-02-01,21,21
CATACORA,otras actividades de enfermeria, sueros,2014-02-01,2,2
CHACARILLA,otras actividades de enfermeria, sueros,2014-02-01,4,4
CHALLAPATA,otras actividades de enfermeria, sueros,2014-02-01,120,120
