,group,variable,month,CARDIOVASCULARES CANTIDAD,CARDIOVASCULARES CANTIDAD,TOTALES
INCAHUASI,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-01-01,4,7,11
INQUISIVI,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-01-01,0,1,1
JESUS DE MACHACA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-01-01,4,9,13
LA GUARDIA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-01-01,6,8,14
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-01-01,364,410,774
LA RIVERA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-01-01,4,2,6
LAGUNILLAS,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-01-01,0,1,1
LAJA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-01-01,4,8,12
LLALLAGUA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-01-01,10,0,10
MACHACAMARCA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-01-01,3,2,5
MACHARETI,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-01-01,1,0,1
MAGDALENA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-01-01,0,2,2
MOJOCOYA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-01-01,3,4,7
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-01-01,35,23,58
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-01-01,72,65,137
MORO MORO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-01-01,1,0,1
OKINAWA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-01-01,11,6,17
OMEREQUE,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-01-01,1,0,1
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-01-01,35,73,108
PADCAYA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-01-01,7,7,14
PADILLA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-01-01,3,3,6
PALCA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-01-01,0,2,2
PALOS BLANCOS,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-01-01,3,3,6
POCONA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-01-01,1,3,4
POROMA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-01-01,2,1,3
PORTACHUELO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-01-01,1,1,2
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-01-01,23,23,46
PRESTO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-01-01,0,2,2
PUCARANI,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-01-01,0,3,3
PUERTO QUIJARRO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-01-01,5,3,8
PUERTO SUAREZ,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-01-01,0,5,5
PUNA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-01-01,1,3,4
PUNATA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-01-01,2,3,5
QUILLACOLLO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-01-01,2,2,4
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-01-01,3,1,4
ROBORE,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-01-01,1,2,3
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-01-01,7,10,17
SAIPINA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-01-01,1,2,3
SAMAIPATA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-01-01,1,0,1
SAN BENITO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-01-01,0,2,2
SAN BORJA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-01-01,2,7,9
SAN CARLOS,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-01-01,11,4,15
SAN IGNACIO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-01-01,0,1,1
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-01-01,7,6,13
SAN JOAQUIN,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-01-01,0,2,2
SAN JOSE DE CHIQUITOS,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-01-01,1,2,3
SAN JULIAN,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-01-01,4,5,9
SAN LORENZO(TJA),"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-01-01,2,0,2
SAN LUCAS,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-01-01,5,12,17
SAN MIGUEL DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-01-01,1,1,2
SAN PEDRO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-01-01,1,2,3
SAN PEDRO DE CURAHUARA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-01-01,0,2,2
SAN PEDRO DE QUEMES,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-01-01,1,0,1
SAN RAMON SCZ,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-01-01,1,2,3
SANTA ANA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-01-01,42,84,126
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-01-01,408,407,815
SANTA ROSA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-01-01,10,7,17
SANTA ROSA DEL SARA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-01-01,2,0,2
SAPAHAQUI,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-01-01,0,1,1
SOPACHUY,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-01-01,7,14,21
SORATA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-01-01,2,0,2
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-01-01,137,377,514
TAPACARI,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-01-01,1,0,1
TARABUCO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-01-01,14,23,37
TARACO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-01-01,2,0,2
TARATA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-01-01,1,1,2
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-01-01,23,14,37
TARVITA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-01-01,13,8,21
TIPUANI,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-01-01,0,1,1
TIQUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-01-01,4,2,6
TOLATA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-01-01,1,5,6
TOMINA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-01-01,6,3,9
TRIGAL,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-01-01,2,0,2
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-01-01,9,35,44
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-01-01,80,80,160
URUBICHA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-01-01,1,2,3
VACAS,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-01-01,1,1,2
VALLEGRANDE,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-01-01,1,0,1
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-01-01,31,26,57
VILA VILA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-01-01,0,1,1
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-01-01,5,3,8
VILLA SERRANO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-01-01,21,16,37
VILLA VACA GUZMAN (MUYUPAMPA),"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-01-01,3,5,8
VILLAZON,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-01-01,1,8,9
VINTO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-01-01,4,3,7
VITICHI,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-01-01,1,2,3
WARNES,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-01-01,24,40,64
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-01-01,10,9,19
YAMPARAEZ,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-01-01,2,1,3
YAPACANI,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-01-01,4,0,4
YUNCHARA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-01-01,1,3,4
ZUDAÑEZ,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-01-01,2,4,6
ACHACACHI,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-02-01,16,6,22
AIQUILE,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-02-01,0,6,6
ALCALA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-02-01,3,1,4
ANCORAIMES,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-02-01,2,0,2
ARANI,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-02-01,2,0,2
ARBIETO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-02-01,0,1,1
ATOCHA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-02-01,4,2,6
AYO AYO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-02-01,0,1,1
AZURDUY,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-02-01,7,7,14
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-02-01,29,35,64
BETANZOS,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-02-01,3,5,8
BOYUIBE,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-02-01,1,3,4
"CAIZA ""D""","enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-02-01,0,3,3
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-02-01,12,24,36
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-02-01,27,29,56
CAPINOTA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-02-01,0,1,1
CAQUIAVIRI,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-02-01,1,5,6
CARANAVI,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-02-01,3,3,6
CHALLAPATA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-02-01,1,2,3
CHARAGUA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-02-01,2,2,4
CLIZA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-02-01,2,7,9
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-02-01,5,6,11
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-02-01,128,164,292
COLQUECHACA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-02-01,0,1,1
COMARAPA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-02-01,3,2,5
CORIPATA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-02-01,0,1,1
COTAGAITA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-02-01,2,7,9
COTOCA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-02-01,1,0,1
CUATRO CAÑADAS,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-02-01,0,1,1
CULPINA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-02-01,4,0,4
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-02-01,223,232,455
EL CHORO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-02-01,0,1,1
EL PUENTE(STC),"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-02-01,1,0,1
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-02-01,33,1,34
GENERAL SAAVEDRA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-02-01,1,1,2
GRAL. J.J. PEREZ (CHARAZANI),"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-02-01,2,1,3
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-02-01,10,11,21
GUTIERREZ,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-02-01,0,1,1
HUACARETA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-02-01,4,4,8
HUACHACALLA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-02-01,0,1,1
ICLA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-02-01,1,1,2
INCAHUASI,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-02-01,6,4,10
IRUPANA (VILLA DE LANZA),"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-02-01,8,0,8
JESUS DE MACHACA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-02-01,1,3,4
LA ASUNTA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-02-01,3,1,4
LA GUARDIA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-02-01,8,7,15
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-02-01,224,482,706
LAGUNILLAS,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-02-01,1,0,1
LAJA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-02-01,6,4,10
LLALLAGUA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-02-01,1,9,10
MACHACAMARCA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-02-01,2,1,3
MACHARETI,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-02-01,1,0,1
MAGDALENA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-02-01,1,1,2
MECAPACA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-02-01,1,0,1
MIZQUE,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-02-01,0,1,1
MOJOCOYA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-02-01,1,1,2
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-02-01,10,14,24
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-02-01,41,68,109
MORO MORO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-02-01,1,1,2
OKINAWA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-02-01,7,3,10
OMEREQUE,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-02-01,1,1,2
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-02-01,38,46,84
PADCAYA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-02-01,4,6,10
PADILLA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-02-01,5,4,9
PALOS BLANCOS,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-02-01,1,2,3
PAPEL PAMPA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-02-01,1,1,2
POCONA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-02-01,1,1,2
POROMA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-02-01,1,1,2
PORTACHUELO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-02-01,2,0,2
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-02-01,17,17,34
PUCARA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-02-01,7,8,15
PUCARANI,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-02-01,2,0,2
PUERTO PEREZ,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-02-01,1,0,1
PUERTO QUIJARRO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-02-01,6,5,11
PUERTO SUAREZ,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-02-01,14,3,17
PUNA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-02-01,1,0,1
PUNATA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-02-01,1,2,3
QUILLACOLLO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-02-01,9,9,18
REYES,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-02-01,2,0,2
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-02-01,0,1,1
ROBORE,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-02-01,1,2,3
RURRENABAQUE,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-02-01,0,1,1
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-02-01,12,9,21
SAIPINA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-02-01,1,1,2
SAN ANDRES DE MACHACA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-02-01,1,0,1
SAN BORJA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-02-01,3,5,8
SAN CARLOS,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-02-01,5,4,9
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-02-01,9,11,20
SAN JOSE DE CHIQUITOS,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-02-01,0,1,1
SAN JULIAN,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-02-01,0,1,1
SAN LORENZO(TJA),"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-02-01,0,3,3
SAN LUCAS,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-02-01,8,0,8
SAN MIGUEL DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-02-01,0,3,3
SAN PEDRO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-02-01,1,5,6
SAN PEDRO DE QUEMES,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-02-01,0,1,1
SAN RAFAEL,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-02-01,1,0,1
SAN RAMON SCZ,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-02-01,2,3,5
SANTA ANA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-02-01,12,19,31
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-02-01,287,360,647
SANTA ROSA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-02-01,8,3,11
SANTA ROSA DEL SARA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-02-01,4,2,6
SANTIAGO DE HUARI,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-02-01,1,0,1
SANTIVAÑES,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-02-01,0,1,1
SAPAHAQUI,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-02-01,1,0,1
SIPE SIPE,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-02-01,0,1,1
SOPACHUY,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-02-01,8,16,24
SORATA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-02-01,1,1,2
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-02-01,193,265,458
TACACOMA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-02-01,1,0,1
TACOPAYA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-02-01,2,1,3
TAPACARI,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-02-01,1,0,1
TARABUCO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-02-01,4,13,17
TARACO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-02-01,1,0,1
TARATA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-02-01,0,1,1
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-02-01,42,46,88
TARVITA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-02-01,5,9,14
TIAWANACU,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-02-01,1,2,3
TIQUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-02-01,1,1,2
TITO YUPANQUI (PARQUIPUJIO),"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-02-01,0,2,2
TOMINA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-02-01,1,4,5
TORO TORO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-02-01,1,0,1
TOTORA(CBBA),"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-02-01,2,1,3
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-02-01,2,20,22
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-02-01,33,35,68
TURCO,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-02-01,1,1,2
URIONDO (A. CONCEPCION),"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-02-01,0,2,2
URUBICHA,"enf. no transmisibles, factores de riesgo y salud mental",cardiovasculares,2013-02-01,0,2,2
