,group,variable,month,SOBREPESO EN MAYORES DE 5 AÑOS CANTIDAD,SOBREPESO EN MAYORES DE 5 AÑOS CANTIDAD,TOTALES
MECAPACA,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2013-01-01,0,1,1
MIZQUE,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2013-01-01,1,5,6
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2013-01-01,1,2,3
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2013-01-01,7,15,22
MOROCHATA,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2013-01-01,1,12,13
OCURI,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2013-01-01,0,5,5
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2013-01-01,24,240,264
PALOS BLANCOS,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2013-01-01,1,0,1
POCONA,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2013-01-01,0,2,2
PORTACHUELO,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2013-01-01,0,1,1
POSTRER VALLE,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2013-01-01,0,2,2
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2013-01-01,32,154,186
PUERTO QUIJARRO,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2013-01-01,1,1,2
PUERTO RICO,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2013-01-01,10,5,15
PUERTO VILLARROEL,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2013-01-01,2,6,8
PUNATA,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2013-01-01,1,1,2
QUILLACOLLO,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2013-01-01,0,7,7
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2013-01-01,0,2,2
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2013-01-01,2,55,57
SAN ANDRES,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2013-01-01,0,1,1
SAN BORJA,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2013-01-01,1,5,6
SAN LORENZO(TJA),"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2013-01-01,2,4,6
SAN LUCAS,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2013-01-01,0,1,1
SAN MIGUEL DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2013-01-01,5,7,12
SAN RAMON SCZ,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2013-01-01,1,2,3
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2013-01-01,203,518,721
SANTA ROSA DEL SARA,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2013-01-01,2,14,16
SANTUARIO DE QUILLACAS,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2013-01-01,1,0,1
SHINAOTA,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2013-01-01,5,64,69
SICA SICA (VILLA AROMA),"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2013-01-01,0,1,1
SIPE SIPE,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2013-01-01,0,1,1
SORACACHI,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2013-01-01,2,0,2
SORATA,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2013-01-01,0,1,1
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2013-01-01,67,202,269
TARATA,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2013-01-01,0,1,1
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2013-01-01,94,246,340
TIQUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2013-01-01,10,14,24
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2013-01-01,6,294,300
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2013-01-01,27,79,106
URUBICHA,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2013-01-01,2,3,5
UYUNI,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2013-01-01,3,0,3
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2013-01-01,75,85,160
VILLA SERRANO,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2013-01-01,0,1,1
VILLA TUNARI,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2013-01-01,4,3,7
VILLAZON,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2013-01-01,1,3,4
VINTO,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2013-01-01,2,3,5
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2013-01-01,1,1,2
ZUDAÑEZ,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2013-01-01,1,2,3
AIQUILE,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2013-02-01,42,61,103
ANCORAIMES,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2013-02-01,0,2,2
ATOCHA,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2013-02-01,2,6,8
AZURDUY,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2013-02-01,0,1,1
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2013-02-01,41,56,97
BETANZOS,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2013-02-01,3,11,14
CABEZAS,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2013-02-01,1,0,1
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2013-02-01,2,0,2
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2013-02-01,1,2,3
CLIZA,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2013-02-01,21,23,44
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2013-02-01,12,16,28
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2013-02-01,90,611,701
COLCAPIRHUA,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2013-02-01,0,6,6
COLOMI,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2013-02-01,0,1,1
COMANCHE,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2013-02-01,0,1,1
CORIPATA,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2013-02-01,1,1,2
COROICO,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2013-02-01,8,7,15
CORQUE,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2013-02-01,11,12,23
COTAGAITA,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2013-02-01,3,3,6
COTOCA,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2013-02-01,0,8,8
CUATRO CAÑADAS,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2013-02-01,0,3,3
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2013-02-01,87,654,741
EL PUENTE(STC),"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2013-02-01,0,1,1
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2013-02-01,3,4,7
EUCALIPTUS,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2013-02-01,0,1,1
GENERAL SAAVEDRA,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2013-02-01,0,1,1
GUAQUI,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2013-02-01,10,9,19
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2013-02-01,6,17,23
GUTIERREZ,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2013-02-01,1,5,6
HUACARETA,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2013-02-01,2,0,2
HUANUNI,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2013-02-01,24,41,65
IRUPANA (VILLA DE LANZA),"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2013-02-01,1,0,1
JESUS DE MACHACA,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2013-02-01,1,1,2
LA ASUNTA,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2013-02-01,0,1,1
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2013-02-01,200,789,989
LLALLAGUA,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2013-02-01,5,4,9
MACHACAMARCA,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2013-02-01,22,12,34
MINEROS,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2013-02-01,0,3,3
MIZQUE,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2013-02-01,0,3,3
MOJOCOYA,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2013-02-01,0,1,1
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2013-02-01,2,7,9
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2013-02-01,0,1,1
OCURI,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2013-02-01,0,5,5
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2013-02-01,23,270,293
POOPO,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2013-02-01,1,0,1
PORONGO,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2013-02-01,1,1,2
PORTACHUELO,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2013-02-01,4,2,6
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2013-02-01,10,79,89
PUERTO GONZALO MORENO,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2013-02-01,1,0,1
PUERTO SUAREZ,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2013-02-01,1,0,1
QUILLACOLLO,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2013-02-01,2,65,67
REYES,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2013-02-01,1,3,4
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2013-02-01,0,1,1
RURRENABAQUE,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2013-02-01,0,2,2
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2013-02-01,3,37,40
SAN ANDRES,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2013-02-01,0,2,2
SAN BORJA,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2013-02-01,1,8,9
SAN CARLOS,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2013-02-01,13,0,13
SAN IGNACIO,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2013-02-01,0,7,7
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2013-02-01,1,1,2
SAN JAVIER(BNI),"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2013-02-01,0,1,1
SAN MIGUEL DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2013-02-01,3,8,11
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2013-02-01,146,554,700
SANTA ROSA DEL SARA,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2013-02-01,3,7,10
SAPAHAQUI,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2013-02-01,1,0,1
SORATA,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2013-02-01,0,1,1
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2013-02-01,8,202,210
TARACO,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2013-02-01,0,1,1
TARATA,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2013-02-01,0,3,3
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2013-02-01,47,194,241
TIQUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2013-02-01,4,5,9
TOLEDO,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2013-02-01,0,1,1
TOMINA,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2013-02-01,0,1,1
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2013-02-01,9,279,288
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2013-02-01,27,57,84
TURCO,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2013-02-01,0,1,1
URIONDO (A. CONCEPCION),"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2013-02-01,1,0,1
UYUNI,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2013-02-01,1,2,3
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2013-02-01,65,83,148
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2013-02-01,0,1,1
VILLA RIVERO,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2013-02-01,3,0,3
VILLA TUNARI,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2013-02-01,2,1,3
VILLA VACA GUZMAN (MUYUPAMPA),"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2013-02-01,8,5,13
VILLAZON,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2013-02-01,2,3,5
VINTO,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2013-02-01,5,2,7
WARNES,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2013-02-01,1,12,13
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2013-02-01,4,9,13
YAMPARAEZ,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2013-02-01,0,1,1
YOTALA,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2013-02-01,2,0,2
ZUDAÑEZ,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2013-02-01,0,2,2
AIQUILE,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2013-03-01,42,69,111
ARBIETO,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2013-03-01,1,1,2
ATOCHA,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2013-03-01,1,1,2
AYATA,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2013-03-01,0,1,1
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2013-03-01,52,65,117
BETANZOS,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2013-03-01,2,2,4
CABEZAS,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2013-03-01,1,0,1
CALAMARCA,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2013-03-01,4,8,12
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2013-03-01,1,2,3
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2013-03-01,1,1,2
CARANAVI,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2013-03-01,5,65,70
CARMEN RIVERO TORREZ,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2013-03-01,1,0,1
CHOQUE COTA,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2013-03-01,1,1,2
CLIZA,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2013-03-01,14,32,46
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2013-03-01,21,50,71
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2013-03-01,82,517,599
COROICO,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2013-03-01,4,3,7
CORQUE,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2013-03-01,1,1,2
COTAGAITA,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2013-03-01,0,2,2
COTOCA,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2013-03-01,8,24,32
CUATRO CAÑADAS,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2013-03-01,0,1,1
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2013-03-01,172,499,671
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2013-03-01,2,1,3
ENTRE RIOS TRJ,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2013-03-01,1,0,1
EUREKA (SANTOS MERCADO),"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2013-03-01,4,3,7
GENERAL SAAVEDRA,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2013-03-01,0,1,1
GUTIERREZ,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2013-03-01,4,4,8
HUACARETA,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2013-03-01,1,0,1
HUANUNI,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2013-03-01,264,429,693
LA GUARDIA,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2013-03-01,0,1,1
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2013-03-01,431,1062,1493
MACHACAMARCA,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2013-03-01,1,0,1
MAPIRI,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2013-03-01,0,1,1
MECAPACA,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2013-03-01,1,3,4
MINEROS,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2013-03-01,0,5,5
MIZQUE,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2013-03-01,2,4,6
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2013-03-01,2,5,7
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2013-03-01,40,30,70
MOROCHATA,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2013-03-01,1,13,14
OCURI,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2013-03-01,0,2,2
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2013-03-01,155,189,344
PAILON,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2013-03-01,0,9,9
PALOS BLANCOS,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2013-03-01,0,3,3
POCONA,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2013-03-01,5,2,7
PORTACHUELO,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2013-03-01,0,1,1
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2013-03-01,24,98,122
PUERTO GONZALO MORENO,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2013-03-01,0,2,2
PUERTO SILES,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2013-03-01,0,3,3
PUERTO VILLARROEL,"enf. no transmisibles, factores de riesgo y salud mental",sobrepeso en mayores de 5 anos,2013-03-01,3,3,6
