,group,variable,month,CÁNCER OTROS CANTIDAD,CÁNCER OTROS CANTIDAD,TOTALES
SOPACHUY,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-01-01,2,3,5
SORATA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-01-01,1,0,1
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-01-01,57,83,140
TARATA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-01-01,0,1,1
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-01-01,2,9,11
TOLEDO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-01-01,0,1,1
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-01-01,0,2,2
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-01-01,0,1,1
UNCIA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-01-01,0,1,1
UYUNI,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-01-01,3,2,5
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-01-01,2,1,3
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-01-01,0,1,1
VILLA SERRANO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-01-01,1,0,1
VILLAZON,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-01-01,0,3,3
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-01-01,1,0,1
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-02-01,0,1,1
CABEZAS,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-02-01,0,2,2
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-02-01,42,0,42
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-02-01,0,2,2
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-02-01,247,439,686
COROICO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-02-01,1,0,1
CORQUE,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-02-01,0,1,1
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-02-01,3,3,6
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-02-01,38,33,71
LLALLAGUA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-02-01,0,1,1
MACHARETI,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-02-01,0,1,1
MAIRANA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-02-01,0,1,1
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-02-01,0,2,2
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-02-01,1,1,2
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-02-01,5,7,12
PORTACHUELO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-02-01,1,0,1
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-02-01,3,3,6
PUCARANI,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-02-01,0,2,2
PUNATA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-02-01,1,0,1
RURRENABAQUE,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-02-01,4,0,4
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-02-01,1,4,5
SAN BORJA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-02-01,1,9,10
SAN BUENA VENTURA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-02-01,1,1,2
SAN LORENZO(TJA),"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-02-01,0,1,1
SAN PEDRO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-02-01,0,14,14
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-02-01,107,147,254
SIPE SIPE,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-02-01,0,1,1
SORATA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-02-01,0,1,1
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-02-01,25,71,96
TARABUCO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-02-01,0,1,1
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-02-01,5,11,16
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-02-01,0,3,3
VALLEGRANDE,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-02-01,2,1,3
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-02-01,2,1,3
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-02-01,1,0,1
VILLA TUNARI,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-02-01,2,0,2
VILLAZON,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-02-01,0,1,1
WARNES,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-02-01,0,1,1
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-02-01,4,3,7
YANACACHI,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-02-01,0,1,1
ARBIETO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-03-01,0,2,2
ASCENCION DE GUARAYOS,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-03-01,1,0,1
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-03-01,3,5,8
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-03-01,39,0,39
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-03-01,2,2,4
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-03-01,218,415,633
CONCEPCION,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-03-01,0,1,1
COROICO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-03-01,1,0,1
CORQUE,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-03-01,0,1,1
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-03-01,5,21,26
EL CHORO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-03-01,1,0,1
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-03-01,84,54,138
LLALLAGUA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-03-01,0,1,1
MAIRANA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-03-01,0,1,1
MECAPACA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-03-01,1,3,4
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-03-01,0,1,1
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-03-01,1,0,1
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-03-01,4,4,8
PADCAYA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-03-01,1,2,3
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-03-01,6,3,9
PUCARANI,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-03-01,1,0,1
PUERTO SUAREZ,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-03-01,0,1,1
PUNA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-03-01,0,1,1
PUNATA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-03-01,6,0,6
QUILLACOLLO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-03-01,1,0,1
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-03-01,2,0,2
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-03-01,2,1,3
SAN BENITO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-03-01,0,1,1
SAN BORJA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-03-01,0,5,5
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-03-01,0,1,1
SAN MATIAS,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-03-01,1,0,1
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-03-01,127,162,289
SANTIAGO DE MACHACA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-03-01,1,1,2
SOPACHUY,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-03-01,1,0,1
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-03-01,68,70,138
TARABUCO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-03-01,0,2,2
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-03-01,9,10,19
TOLEDO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-03-01,0,1,1
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-03-01,3,2,5
VALLEGRANDE,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-03-01,1,0,1
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-03-01,0,1,1
VILLA SERRANO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-03-01,1,1,2
VILLA TUNARI,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-03-01,1,0,1
VILLAZON,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-03-01,0,1,1
VINTO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-03-01,0,1,1
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-03-01,4,6,10
ATOCHA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-04-01,0,1,1
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-04-01,1,2,3
BETANZOS,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-04-01,1,0,1
BUENA VISTA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-04-01,1,0,1
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-04-01,1,1,2
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-04-01,32,0,32
CAPINOTA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-04-01,0,1,1
CHALLAPATA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-04-01,0,1,1
CKOCHAS,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-04-01,1,1,2
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-04-01,4,15,19
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-04-01,264,507,771
COROICO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-04-01,3,1,4
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-04-01,6,11,17
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-04-01,0,1,1
GRAL. J.J. PEREZ (CHARAZANI),"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-04-01,2,0,2
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-04-01,53,54,107
LAJA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-04-01,0,1,1
LLALLAGUA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-04-01,1,1,2
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-04-01,0,1,1
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-04-01,0,3,3
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-04-01,3,4,7
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-04-01,6,3,9
ROBORE,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-04-01,0,1,1
RURRENABAQUE,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-04-01,2,1,3
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-04-01,1,1,2
SAN BORJA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-04-01,1,2,3
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-04-01,3,0,3
SAN MATIAS,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-04-01,1,0,1
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-04-01,125,186,311
SANTIAGO DE MACHACA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-04-01,0,1,1
SHINAOTA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-04-01,0,1,1
SOPACHUY,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-04-01,1,0,1
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-04-01,49,109,158
TARATA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-04-01,1,0,1
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-04-01,7,17,24
TIQUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-04-01,0,1,1
VALLEGRANDE,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-04-01,2,0,2
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-04-01,7,1,8
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-04-01,1,0,1
AZURDUY,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-05-01,2,0,2
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-05-01,2,2,4
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-05-01,3,0,3
CAPINOTA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-05-01,0,1,1
CARANAVI,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-05-01,1,1,2
CLIZA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-05-01,0,1,1
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-05-01,3,0,3
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-05-01,194,359,553
COMARAPA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-05-01,0,2,2
COROICO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-05-01,0,1,1
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-05-01,7,5,12
HUAYLLAMARCA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-05-01,1,0,1
IRUPANA (VILLA DE LANZA),"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-05-01,1,0,1
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-05-01,35,45,80
LAJA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-05-01,1,0,1
LLALLAGUA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-05-01,0,1,1
MAIRANA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-05-01,0,1,1
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-05-01,1,3,4
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-05-01,3,3,6
PALOS BLANCOS,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-05-01,0,1,1
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-05-01,15,9,24
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-05-01,8,26,34
RURRENABAQUE,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-05-01,4,3,7
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-05-01,0,1,1
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-05-01,1,0,1
SAN JOSE DE CHIQUITOS,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-05-01,34,0,34
SAN MATIAS,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-05-01,0,1,1
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-05-01,96,104,200
SANTA ROSA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-05-01,1,0,1
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-05-01,35,56,91
TARABUCO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-05-01,2,1,3
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-05-01,4,9,13
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-05-01,0,3,3
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-05-01,0,1,1
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-05-01,2,0,2
VILLA SERRANO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-05-01,2,0,2
VILLA TUNARI,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-05-01,0,1,1
VILLA VACA GUZMAN (MUYUPAMPA),"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-05-01,1,0,1
VINTO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-05-01,1,0,1
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-05-01,4,2,6
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-06-01,3,1,4
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-06-01,2,1,3
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-06-01,1,1,2
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-06-01,2,0,2
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-06-01,209,336,545
COROICO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-06-01,1,0,1
COTAGAITA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-06-01,0,1,1
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-06-01,2,10,12
HUAYLLAMARCA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-06-01,1,0,1
LA GUARDIA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-06-01,0,1,1
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-06-01,31,43,74
MOJOCOYA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-06-01,1,1,2
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-06-01,1,0,1
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-06-01,3,4,7
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-06-01,1,4,5
PUERTO SUAREZ,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-06-01,6,0,6
PUERTO VILLARROEL,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-06-01,1,0,1
PUNA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-06-01,0,1,1
PUNATA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-06-01,3,2,5
RURRENABAQUE,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-06-01,2,0,2
SACABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-06-01,1,0,1
SAN BORJA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-06-01,0,6,6
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-06-01,0,1,1
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-06-01,126,110,236
SANTIAGO DE HUARI,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-06-01,0,4,4
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-06-01,21,85,106
TARABUCO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-06-01,3,0,3
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-06-01,3,8,11
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-06-01,7,3,10
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-06-01,0,1,1
VALLEGRANDE,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-06-01,1,1,2
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-06-01,0,1,1
VILLA SERRANO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-06-01,2,0,2
VILLA TUNARI,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-06-01,1,1,2
VILLAZON,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-06-01,1,1,2
VINTO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-06-01,1,0,1
YAPACANI,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-06-01,0,7,7
YOTALA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-06-01,0,1,1
ARANI,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-07-01,1,1,2
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-07-01,1,0,1
BUENA VISTA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-07-01,1,0,1
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-07-01,2,1,3
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-07-01,4,3,7
CHALLAPATA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-07-01,1,1,2
CKOCHAS,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-07-01,0,1,1
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-07-01,1,0,1
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-07-01,180,365,545
COROICO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-07-01,2,1,3
DESAGUADERO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-07-01,1,0,1
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",cancer otros,2013-07-01,14,10,24
