,group,variable,month,REUMÁTICAS CANTIDAD,REUMÁTICAS CANTIDAD,TOTALES
COLOMI,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-01-01,5,3,8
COLQUECHACA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-01-01,1,1,2
COLQUENCHA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-01-01,25,27,52
COLQUIRI,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-01-01,0,1,1
COMARAPA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-01-01,4,10,14
CONCEPCION,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-01-01,4,0,4
COPACABANA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-01-01,1,3,4
CORIPATA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-01-01,1,1,2
CORO CORO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-01-01,7,8,15
COROICO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-01-01,10,14,24
CORQUE,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-01-01,4,6,10
COTAGAITA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-01-01,24,27,51
COTOCA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-01-01,0,3,3
CUATRO CAÑADAS,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-01-01,2,3,5
DESAGUADERO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-01-01,4,14,18
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-01-01,77,149,226
EL CHORO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-01-01,1,2,3
EL PUENTE(STC),"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-01-01,0,2,2
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-01-01,4,5,9
EL VILLAR,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-01-01,15,20,35
ENTRE RIOS TRJ,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-01-01,0,5,5
ENTRE RIOS CBBA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-01-01,1,1,2
ESCOMA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-01-01,1,6,7
FERNANDEZ ALONSO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-01-01,6,6,12
GENERAL SAAVEDRA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-01-01,7,19,26
GUAQUI,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-01-01,4,12,16
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-01-01,6,8,14
HUACARETA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-01-01,8,9,17
HUACAYA (VILLA DE HUACAYA),"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-01-01,2,2,4
HUACHACALLA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-01-01,6,9,15
HUANUNI,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-01-01,20,14,34
HUARINA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-01-01,2,4,6
HUAYLLAMARCA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-01-01,7,17,24
HUMANATA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-01-01,10,15,25
ICLA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-01-01,7,5,12
INCAHUASI,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-01-01,8,18,26
IXIAMAS,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-01-01,4,1,5
LA GUARDIA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-01-01,2,9,11
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-01-01,151,380,531
LAGUNILLAS,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-01-01,1,1,2
LAJA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-01-01,15,28,43
LLALLAGUA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-01-01,61,8,69
MACHACAMARCA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-01-01,1,2,3
MAGDALENA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-01-01,0,1,1
MAIRANA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-01-01,0,1,1
MECAPACA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-01-01,1,5,6
MIZQUE,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-01-01,0,1,1
MOJOCOYA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-01-01,10,17,27
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-01-01,15,31,46
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-01-01,5,2,7
MOROCHATA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-01-01,2,7,9
NACEBE (SANTA ROSA DEL ABUNA),"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-01-01,0,1,1
OCURI,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-01-01,0,2,2
OKINAWA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-01-01,0,2,2
OMEREQUE,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-01-01,2,3,5
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-01-01,81,195,276
PADCAYA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-01-01,10,14,24
PADILLA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-01-01,13,16,29
PAILON,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-01-01,1,1,2
PALCA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-01-01,22,17,39
PAPEL PAMPA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-01-01,26,49,75
PATACAMAYA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-01-01,1,1,2
PAZÑA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-01-01,0,2,2
POCONA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-01-01,6,8,14
POROMA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-01-01,2,2,4
PORTACHUELO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-01-01,3,2,5
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-01-01,18,33,51
PRESTO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-01-01,4,10,14
PUCARANI,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-01-01,44,43,87
PUERTO ACOSTA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-01-01,18,26,44
PUERTO CARABUCO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-01-01,22,8,30
PUERTO GONZALO MORENO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-01-01,7,8,15
PUERTO PEREZ,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-01-01,32,37,69
PUERTO QUIJARRO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-01-01,1,3,4
PUERTO RICO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-01-01,1,4,5
PUERTO SILES,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-01-01,1,3,4
PUERTO SUAREZ,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-01-01,3,5,8
PUERTO VILLARROEL,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-01-01,4,3,7
PUNA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-01-01,15,21,36
PUNATA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-01-01,8,15,23
QUILLACOLLO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-01-01,3,2,5
REYES,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-01-01,0,1,1
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-01-01,11,4,15
ROBORE,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-01-01,13,9,22
SABAYA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-01-01,6,12,18
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-01-01,11,10,21
SACACA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-01-01,4,16,20
SALINAS DE GARCI MENDOZA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-01-01,2,3,5
SAN ANDRES,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-01-01,10,8,18
SAN ANDRES DE MACHACA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-01-01,3,3,6
SAN BENITO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-01-01,2,8,10
SAN BORJA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-01-01,1,10,11
SAN CARLOS,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-01-01,5,19,24
SAN IGNACIO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-01-01,0,6,6
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-01-01,3,13,16
SAN JAVIER(BNI),"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-01-01,1,0,1
SAN JOAQUIN,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-01-01,2,0,2
SAN JOSE DE CHIQUITOS,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-01-01,20,32,52
SAN LORENZO(TJA),"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-01-01,24,70,94
SAN LUCAS,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-01-01,7,16,23
SAN MIGUEL DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-01-01,4,6,10
SAN PABLO DE LIPEZ,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-01-01,0,2,2
SAN PEDRO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-01-01,13,1,14
SAN PEDRO DE CURAHUARA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-01-01,1,6,7
SAN PEDRO DE QUEMES,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-01-01,3,2,5
SAN PEDRO DE TIQUINA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-01-01,2,2,4
SAN RAFAEL,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-01-01,2,2,4
SAN RAMON SCZ,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-01-01,2,5,7
SANTA ANA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-01-01,1,4,5
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-01-01,252,421,673
SANTA ROSA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-01-01,16,24,40
SANTA ROSA DEL SARA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-01-01,15,22,37
SANTIAGO DE CALLAPA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-01-01,11,9,20
SANTIAGO DE HUARI,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-01-01,0,3,3
SANTIAGO DE HUATA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-01-01,2,3,5
SANTIAGO DE MACHACA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-01-01,0,1,1
SANTUARIO DE QUILLACAS,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-01-01,0,2,2
SAPAHAQUI,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-01-01,32,19,51
SICA SICA (VILLA AROMA),"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-01-01,21,11,32
SOPACHUY,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-01-01,8,10,18
SORACACHI,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-01-01,2,3,5
SORATA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-01-01,4,11,15
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-01-01,749,1096,1845
TACACOMA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-01-01,1,1,2
TAHUA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-01-01,1,0,1
TAPACARI,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-01-01,11,20,31
TARABUCO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-01-01,33,50,83
TARACO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-01-01,15,32,47
TARATA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-01-01,1,13,14
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-01-01,2,10,12
TARVITA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-01-01,13,28,41
TIAWANACU,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-01-01,4,7,11
TIPUANI,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-01-01,1,0,1
TIQUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-01-01,0,5,5
TOLATA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-01-01,6,15,21
TOLEDO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-01-01,3,4,7
TOMAVE,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-01-01,5,17,22
TOMINA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-01-01,15,26,41
TORO TORO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-01-01,2,2,4
TOTORA(ORR),"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-01-01,13,16,29
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-01-01,14,36,50
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-01-01,11,16,27
TURCO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-01-01,6,1,7
UMALA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-01-01,18,15,33
UNCIA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-01-01,7,5,12
URIONDO (A. CONCEPCION),"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-01-01,0,4,4
URUBICHA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-01-01,3,9,12
UYUNI,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-01-01,3,11,14
VACAS,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-01-01,9,12,21
VALLEGRANDE,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-01-01,5,4,9
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-01-01,26,33,59
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-01-01,5,7,12
VILLA NUEVA (LOMA ALTA),"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-01-01,5,3,8
VILLA RIVERO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-01-01,0,4,4
VILLA SERRANO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-01-01,29,47,76
VILLA TUNARI,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-01-01,1,0,1
VILLA VACA GUZMAN (MUYUPAMPA),"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-01-01,10,18,28
VILLAZON,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-01-01,6,18,24
VINTO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-01-01,1,2,3
VITICHI,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-01-01,10,12,22
WARNES,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-01-01,10,8,18
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-01-01,23,37,60
YAMPARAEZ,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-01-01,8,9,17
YANACACHI,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-01-01,2,1,3
YOTALA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-01-01,3,7,10
YUNCHARA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-01-01,5,5,10
ZUDAÑEZ,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-01-01,6,8,14
ACHACACHI,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-02-01,19,24,43
ACHOCALLA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-02-01,3,1,4
AIQUILE,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-02-01,10,10,20
ALCALA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-02-01,5,8,13
ANCORAIMES,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-02-01,2,1,3
ANDAMARCA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-02-01,2,3,5
ANTEQUERA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-02-01,1,5,6
APOLO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-02-01,2,0,2
ARAMPAMPA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-02-01,1,3,4
ARANI,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-02-01,1,1,2
ARBIETO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-02-01,5,4,9
ATOCHA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-02-01,10,4,14
AYATA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-02-01,4,1,5
AYO AYO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-02-01,13,25,38
AYOPAYA (V. DE INDEPENDENCIA),"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-02-01,0,3,3
AZURDUY,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-02-01,20,32,52
BATALLAS,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-02-01,3,5,8
BELLA FLOR,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-02-01,0,1,1
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-02-01,42,39,81
BETANZOS,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-02-01,23,37,60
BOLIVAR,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-02-01,0,1,1
BOYUIBE,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-02-01,0,1,1
CABEZAS,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-02-01,5,9,14
"CAIZA ""D""","enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-02-01,2,6,8
CAJUATA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-02-01,4,18,22
CALAMARCA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-02-01,15,20,35
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-02-01,14,24,38
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-02-01,35,33,68
CAPINOTA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-02-01,1,6,7
CAQUIAVIRI,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-02-01,3,5,8
CARACOLLO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-02-01,2,1,3
CARAPARI,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-02-01,0,2,2
CARMEN RIVERO TORREZ,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-02-01,1,1,2
CATACORA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-02-01,1,2,3
CHARAGUA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-02-01,3,4,7
CHIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-02-01,1,1,2
CHULUMANI (V. DE LA LIBERTAD),"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-02-01,1,3,4
CHUMA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-02-01,18,21,39
CHUQUIHUTA AYLLU JUCUMANI,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-02-01,0,4,4
CLIZA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-02-01,11,18,29
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-02-01,11,23,34
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-02-01,160,393,553
COLCAPIRHUA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-02-01,0,1,1
COLLANA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-02-01,1,1,2
COLOMI,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-02-01,1,4,5
COLQUECHACA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-02-01,0,2,2
COLQUENCHA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-02-01,18,21,39
COLQUIRI,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-02-01,0,1,1
COMANCHE,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-02-01,3,2,5
COMARAPA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-02-01,3,10,13
CONCEPCION,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-02-01,3,4,7
COPACABANA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-02-01,1,5,6
CORIPATA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-02-01,4,6,10
CORO CORO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-02-01,1,4,5
COROICO,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-02-01,12,12,24
CORQUE,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-02-01,6,3,9
COTAGAITA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-02-01,19,43,62
COTOCA,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-02-01,0,1,1
CUATRO CAÑADAS,"enf. no transmisibles, factores de riesgo y salud mental",reumaticas,2013-02-01,5,1,6
