,group,variable,month,DIABETES MELLITUS I - II CANTIDAD,DIABETES MELLITUS I - II CANTIDAD,TOTALES
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-01-01,3,20,23
EL VILLAR,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-01-01,1,1,2
ENTRE RIOS TRJ,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-01-01,6,17,23
FERNANDEZ ALONSO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-01-01,1,3,4
GENERAL SAAVEDRA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-01-01,2,7,9
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-01-01,13,25,38
HUACARETA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-01-01,0,2,2
HUACHACALLA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-01-01,1,0,1
HUANUNI,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-01-01,7,10,17
LA GUARDIA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-01-01,24,38,62
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-01-01,517,284,801
LAGUNILLAS,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-01-01,0,3,3
LLALLAGUA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-01-01,5,8,13
MACHACAMARCA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-01-01,6,8,14
MAGDALENA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-01-01,0,1,1
MAIRANA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-01-01,3,1,4
MECAPACA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-01-01,0,1,1
MINEROS,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-01-01,0,2,2
MOJOCOYA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-01-01,0,1,1
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-01-01,4,17,21
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-01-01,32,87,119
OKINAWA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-01-01,2,6,8
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-01-01,80,170,250
PADCAYA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-01-01,1,4,5
PADILLA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-01-01,6,5,11
PAILON,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-01-01,3,10,13
PALOS BLANCOS,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-01-01,0,4,4
PORONGO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-01-01,1,2,3
PORTACHUELO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-01-01,8,10,18
POSTRER VALLE,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-01-01,2,0,2
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-01-01,39,81,120
PUERTO GONZALO MORENO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-01-01,1,3,4
PUERTO QUIJARRO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-01-01,4,7,11
PUERTO RICO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-01-01,1,1,2
PUERTO SUAREZ,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-01-01,2,14,16
PUERTO VILLARROEL,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-01-01,5,5,10
PUNA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-01-01,0,1,1
PUNATA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-01-01,16,6,22
QUILLACOLLO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-01-01,3,4,7
QUIRUSILLAS,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-01-01,0,2,2
REYES,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-01-01,0,1,1
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-01-01,6,9,15
ROBORE,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-01-01,10,23,33
RURRENABAQUE,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-01-01,2,0,2
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-01-01,8,12,20
SAIPINA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-01-01,1,1,2
SAN BENITO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-01-01,0,2,2
SAN BORJA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-01-01,4,17,21
SAN CARLOS,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-01-01,6,17,23
SAN IGNACIO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-01-01,6,11,17
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-01-01,17,39,56
SAN JAVIER(BNI),"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-01-01,0,1,1
SAN JAVIER(STC),"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-01-01,0,8,8
SAN JOAQUIN,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-01-01,1,1,2
SAN JOSE DE CHIQUITOS,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-01-01,6,20,26
SAN JUAN DE YAPACANI,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-01-01,1,7,8
SAN LUCAS,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-01-01,0,2,2
SAN MIGUEL DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-01-01,0,2,2
SAN PEDRO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-01-01,1,3,4
SAN RAFAEL,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-01-01,1,2,3
SAN RAMON SCZ,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-01-01,3,2,5
SANTA ANA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-01-01,10,43,53
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-01-01,704,930,1634
SANTA ROSA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-01-01,13,28,41
SANTA ROSA DEL SARA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-01-01,5,13,18
SANTUARIO DE QUILLACAS,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-01-01,1,0,1
SAPAHAQUI,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-01-01,0,1,1
SHINAOTA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-01-01,0,1,1
SIPE SIPE,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-01-01,2,1,3
SORATA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-01-01,1,1,2
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-01-01,339,627,966
TACOPAYA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-01-01,0,2,2
TARABUCO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-01-01,8,7,15
TARATA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-01-01,0,7,7
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-01-01,29,48,77
TARVITA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-01-01,1,0,1
TIPUANI,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-01-01,1,3,4
TIQUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-01-01,1,6,7
TOCO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-01-01,1,2,3
TOLATA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-01-01,2,7,9
TOMINA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-01-01,1,1,2
TOTORA(ORR),"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-01-01,0,1,1
TRIGAL,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-01-01,2,0,2
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-01-01,64,136,200
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-01-01,33,36,69
UNCIA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-01-01,14,21,35
URUBICHA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-01-01,1,1,2
UYUNI,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-01-01,21,27,48
VALLEGRANDE,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-01-01,15,49,64
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-01-01,22,33,55
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-01-01,16,13,29
VILLA SERRANO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-01-01,2,8,10
VILLA TUNARI,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-01-01,20,14,34
VILLA VACA GUZMAN (MUYUPAMPA),"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-01-01,3,15,18
VILLAZON,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-01-01,17,24,41
VINTO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-01-01,5,7,12
WARNES,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-01-01,11,12,23
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-01-01,30,55,85
YAPACANI,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-01-01,15,19,34
ZUDAÑEZ,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-01-01,1,1,2
ACHACACHI,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-02-01,5,0,5
AIQUILE,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-02-01,5,8,13
ALTO BENI,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-02-01,0,1,1
ANCORAIMES,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-02-01,0,2,2
APOLO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-02-01,1,0,1
ARBIETO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-02-01,0,1,1
ATOCHA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-02-01,4,0,4
AZURDUY,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-02-01,0,2,2
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-02-01,40,52,92
BETANZOS,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-02-01,2,9,11
BUENA VISTA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-02-01,6,7,13
CABEZAS,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-02-01,3,2,5
CALAMARCA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-02-01,1,1,2
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-02-01,6,6,12
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-02-01,107,74,181
CARANAVI,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-02-01,1,1,2
CHALLAPATA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-02-01,1,0,1
CHARAGUA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-02-01,3,5,8
CLIZA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-02-01,3,10,13
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-02-01,16,33,49
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-02-01,227,286,513
COIPASA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-02-01,0,2,2
COLCAPIRHUA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-02-01,3,7,10
COLPA BELGICA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-02-01,4,2,6
COMANCHE,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-02-01,0,1,1
COMARAPA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-02-01,5,7,12
CONCEPCION,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-02-01,1,3,4
CORO CORO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-02-01,1,0,1
COROICO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-02-01,2,0,2
CORQUE,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-02-01,2,3,5
COTAGAITA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-02-01,2,4,6
COTOCA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-02-01,0,2,2
CUATRO CAÑADAS,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-02-01,3,10,13
DESAGUADERO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-02-01,0,3,3
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-02-01,64,195,259
EL CHORO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-02-01,1,0,1
EL PUENTE(STC),"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-02-01,1,1,2
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-02-01,10,47,57
ENTRE RIOS TRJ,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-02-01,3,10,13
FERNANDEZ ALONSO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-02-01,0,5,5
GENERAL SAAVEDRA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-02-01,7,7,14
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-02-01,14,18,32
HUACARETA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-02-01,0,1,1
HUANUNI,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-02-01,11,11,22
INQUISIVI,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-02-01,1,0,1
IRUPANA (VILLA DE LANZA),"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-02-01,0,1,1
LA ASUNTA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-02-01,2,4,6
LA GUARDIA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-02-01,25,33,58
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-02-01,257,323,580
LAGUNILLAS,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-02-01,0,1,1
LLALLAGUA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-02-01,15,46,61
MACHACAMARCA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-02-01,5,3,8
MAGDALENA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-02-01,1,2,3
MAIRANA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-02-01,2,1,3
MINEROS,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-02-01,0,1,1
MOJOCOYA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-02-01,1,0,1
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-02-01,2,2,4
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-02-01,16,28,44
OKINAWA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-02-01,1,1,2
OMEREQUE,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-02-01,0,2,2
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-02-01,61,74,135
PADCAYA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-02-01,1,1,2
PADILLA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-02-01,1,7,8
PAILON,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-02-01,4,5,9
PALCA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-02-01,1,0,1
PALOS BLANCOS,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-02-01,0,5,5
PAMPA GRANDE,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-02-01,0,3,3
PORONGO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-02-01,5,9,14
PORTACHUELO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-02-01,14,17,31
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-02-01,40,59,99
PRESTO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-02-01,0,1,1
PUCARANI,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-02-01,1,0,1
PUERTO QUIJARRO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-02-01,17,16,33
PUERTO SUAREZ,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-02-01,15,26,41
PUERTO VILLARROEL,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-02-01,2,1,3
PUNATA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-02-01,1,7,8
QUILLACOLLO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-02-01,7,11,18
QUIME,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-02-01,3,1,4
REYES,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-02-01,3,2,5
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-02-01,21,60,81
ROBORE,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-02-01,7,17,24
RURRENABAQUE,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-02-01,23,23,46
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-02-01,11,12,23
SACACA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-02-01,0,1,1
SAIPINA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-02-01,0,2,2
SAN ANDRES,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-02-01,0,3,3
SAN BENITO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-02-01,1,2,3
SAN BORJA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-02-01,17,26,43
SAN BUENA VENTURA,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-02-01,2,6,8
SAN CARLOS,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-02-01,5,22,27
SAN IGNACIO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-02-01,11,14,25
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-02-01,32,67,99
SAN JAVIER(BNI),"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-02-01,0,2,2
SAN JAVIER(STC),"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-02-01,0,1,1
SAN JOAQUIN,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-02-01,0,1,1
SAN JOSE DE CHIQUITOS,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-02-01,11,27,38
SAN JUAN DE YAPACANI,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-02-01,3,0,3
SAN LORENZO(TJA),"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-02-01,0,3,3
SAN LUCAS,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-02-01,1,0,1
SAN PEDRO,"enf. no transmisibles, factores de riesgo y salud mental",diabetes mellitus i - ii,2013-02-01,2,1,3
