,group,variable,month,PERSONAS CON DISCAPACIDAD CANTIDAD,PERSONAS CON DISCAPACIDAD CANTIDAD,TOTALES
SANTA ROSA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-01-01,6,9,15
SORATA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-01-01,0,1,1
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-01-01,48,80,128
TARATA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-01-01,0,2,2
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-01-01,20,11,31
TOLATA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-01-01,1,3,4
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-01-01,17,10,27
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-01-01,2,0,2
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-01-01,1,0,1
VILLAZON,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-01-01,1,0,1
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-01-01,2,3,5
YUNCHARA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-01-01,1,0,1
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-02-01,0,1,1
CABEZAS,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-02-01,4,1,5
"CAIZA ""D""","enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-02-01,1,0,1
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-02-01,2,3,5
CARMEN RIVERO TORREZ,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-02-01,0,1,1
CHIMORE,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-02-01,0,1,1
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-02-01,0,1,1
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-02-01,6,5,11
COTAGAITA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-02-01,0,1,1
CUATRO CAÑADAS,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-02-01,1,0,1
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-02-01,65,38,103
EL PUENTE(STC),"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-02-01,0,1,1
EL PUENTE(TJA),"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-02-01,3,1,4
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-02-01,2,1,3
ENTRE RIOS CBBA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-02-01,0,1,1
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-02-01,1,3,4
HUACARETA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-02-01,3,0,3
ICLA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-02-01,1,0,1
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-02-01,3,9,12
LAGUNILLAS,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-02-01,1,1,2
LORETO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-02-01,1,2,3
MACHARETI,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-02-01,1,0,1
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-02-01,1,1,2
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-02-01,87,38,125
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-02-01,0,4,4
POCONA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-02-01,1,1,2
PORTACHUELO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-02-01,0,1,1
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-02-01,2,3,5
PUERTO GONZALO MORENO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-02-01,2,0,2
PUNA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-02-01,1,0,1
QUILLACOLLO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-02-01,0,1,1
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-02-01,0,2,2
ROBORE,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-02-01,0,1,1
RURRENABAQUE,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-02-01,1,1,2
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-02-01,2,0,2
SAN BORJA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-02-01,3,1,4
SAN IGNACIO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-02-01,1,0,1
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-02-01,2,1,3
SAN LUCAS,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-02-01,1,0,1
SAN MIGUEL DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-02-01,3,2,5
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-02-01,7,8,15
SANTA ROSA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-02-01,5,6,11
SANTIAGO DE HUARI,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-02-01,1,0,1
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-02-01,142,83,225
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-02-01,14,7,21
TARVITA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-02-01,0,1,1
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-02-01,17,11,28
URIONDO (A. CONCEPCION),"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-02-01,0,1,1
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-02-01,1,0,1
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-02-01,6,4,10
YAMPARAEZ,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-02-01,0,1,1
YUNCHARA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-02-01,1,0,1
AIQUILE,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-03-01,1,0,1
CABEZAS,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-03-01,1,0,1
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-03-01,1,0,1
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-03-01,1,2,3
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-03-01,2,0,2
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-03-01,6,2,8
COLOMI,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-03-01,1,0,1
CORO CORO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-03-01,0,1,1
CORQUE,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-03-01,0,2,2
COTAGAITA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-03-01,1,1,2
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-03-01,69,42,111
EL PUENTE(TJA),"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-03-01,3,1,4
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-03-01,1,1,2
ENTRE RIOS CBBA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-03-01,0,1,1
HUACARETA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-03-01,1,0,1
HUACAYA (VILLA DE HUACAYA),"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-03-01,2,0,2
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-03-01,4,4,8
LAGUNILLAS,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-03-01,1,1,2
LORETO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-03-01,0,2,2
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-03-01,1,0,1
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-03-01,102,32,134
MOROCHATA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-03-01,0,1,1
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-03-01,3,2,5
PAILON,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-03-01,2,2,4
PASORAPA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-03-01,1,0,1
PATACAMAYA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-03-01,0,1,1
POROMA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-03-01,2,2,4
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-03-01,7,0,7
PUCARANI,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-03-01,0,1,1
PUERTO CARABUCO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-03-01,1,1,2
PUERTO GONZALO MORENO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-03-01,0,1,1
PUERTO PEREZ,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-03-01,1,0,1
PUERTO SUAREZ,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-03-01,0,1,1
PUNA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-03-01,2,0,2
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-03-01,0,1,1
ROBORE,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-03-01,1,0,1
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-03-01,3,2,5
SAN ANDRES,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-03-01,1,0,1
SAN BORJA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-03-01,1,1,2
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-03-01,0,1,1
SAN JOSE DE CHIQUITOS,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-03-01,1,1,2
SAN LUCAS,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-03-01,1,0,1
SAN MIGUEL DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-03-01,2,2,4
SAN RAMON SCZ,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-03-01,1,2,3
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-03-01,23,21,44
SANTA ROSA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-03-01,4,12,16
SOPACHUY,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-03-01,0,2,2
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-03-01,123,108,231
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-03-01,146,191,337
TARVITA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-03-01,0,1,1
TIQUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-03-01,2,0,2
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-03-01,21,1,22
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-03-01,2,0,2
VILLAZON,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-03-01,1,3,4
VINTO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-03-01,0,1,1
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-03-01,3,4,7
YUNCHARA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-03-01,1,0,1
ZUDAÑEZ,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-03-01,2,0,2
ARANI,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-04-01,0,1,1
CABEZAS,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-04-01,1,0,1
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-04-01,4,4,8
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-04-01,1,4,5
CARMEN RIVERO TORREZ,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-04-01,1,0,1
CHULUMANI (V. DE LA LIBERTAD),"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-04-01,0,1,1
CHUMA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-04-01,1,0,1
CKOCHAS,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-04-01,1,0,1
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-04-01,7,18,25
CURAHUARA DE CARANGAS,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-04-01,1,0,1
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-04-01,67,49,116
EL PUENTE(TJA),"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-04-01,2,2,4
EL VILLAR,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-04-01,1,1,2
FERNANDEZ ALONSO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-04-01,0,1,1
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-04-01,0,1,1
HUACAYA (VILLA DE HUACAYA),"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-04-01,2,0,2
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-04-01,6,6,12
LAGUNILLAS,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-04-01,1,0,1
LORETO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-04-01,1,3,4
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-04-01,99,23,122
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-04-01,1,6,7
PALCA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-04-01,0,1,1
POROMA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-04-01,2,2,4
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-04-01,1,1,2
PUERTO ACOSTA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-04-01,0,1,1
PUERTO SUAREZ,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-04-01,0,1,1
PUERTO VILLARROEL,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-04-01,1,1,2
PUNA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-04-01,1,3,4
RURRENABAQUE,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-04-01,1,2,3
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-04-01,2,1,3
SAN ANDRES,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-04-01,0,2,2
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-04-01,1,0,1
SAN JAVIER(STC),"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-04-01,1,0,1
SAN LUCAS,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-04-01,2,1,3
SANTA ANA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-04-01,0,2,2
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-04-01,16,24,40
SANTA ROSA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-04-01,8,10,18
SOPACHUY,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-04-01,0,1,1
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-04-01,131,94,225
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-04-01,131,127,258
TOLATA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-04-01,1,0,1
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-04-01,19,11,30
URIONDO (A. CONCEPCION),"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-04-01,1,1,2
VALLEGRANDE,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-04-01,0,1,1
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-04-01,1,0,1
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-04-01,2,1,3
VILLAZON,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-04-01,0,1,1
WARNES,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-04-01,2,0,2
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-04-01,3,1,4
YAMPARAEZ,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-04-01,1,0,1
YUNCHARA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-04-01,1,0,1
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-05-01,2,2,4
"CAIZA ""D""","enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-05-01,1,0,1
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-05-01,2,1,3
CAPINOTA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-05-01,1,0,1
CHOQUE COTA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-05-01,0,1,1
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-05-01,23,28,51
CORQUE,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-05-01,1,0,1
CUATRO CAÑADAS,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-05-01,1,0,1
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-05-01,86,40,126
EL PUENTE(TJA),"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-05-01,3,2,5
EL VILLAR,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-05-01,0,1,1
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-05-01,0,1,1
HUACAYA (VILLA DE HUACAYA),"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-05-01,2,0,2
IRUPANA (VILLA DE LANZA),"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-05-01,1,0,1
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-05-01,10,2,12
LAGUNILLAS,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-05-01,6,1,7
LORETO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-05-01,0,2,2
MOJOCOYA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-05-01,1,0,1
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-05-01,5,2,7
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-05-01,84,39,123
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-05-01,8,9,17
POROMA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-05-01,1,1,2
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-05-01,1,0,1
PUERTO CARABUCO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-05-01,1,0,1
PUERTO SUAREZ,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-05-01,2,4,6
PUNA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-05-01,1,5,6
QUIME,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-05-01,0,1,1
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-05-01,0,1,1
RURRENABAQUE,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-05-01,0,1,1
SAN ANDRES,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-05-01,0,2,2
SAN BENITO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-05-01,0,1,1
SAN BORJA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-05-01,1,2,3
SAN JOSE DE CHIQUITOS,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-05-01,0,1,1
SAN LUCAS,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-05-01,1,0,1
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-05-01,5,6,11
SANTA ROSA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-05-01,6,8,14
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-05-01,93,49,142
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-05-01,43,22,65
TARVITA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-05-01,0,1,1
TOMAVE,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-05-01,2,0,2
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-05-01,21,3,24
