,group,variable,month,HIPERTENSIÓN ARTERIAL SISTÉMICA EN MAYORES DE 5 AÑOS CANTIDAD,HIPERTENSIÓN ARTERIAL SISTÉMICA EN MAYORES DE 5 AÑOS CANTIDAD,TOTALES
CLIZA,"enf. no transmisibles, factores de riesgo y salud mental",hipertension arterial sistemica en mayores de 5 anos,2013-01-01,3,4,7
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",hipertension arterial sistemica en mayores de 5 anos,2013-01-01,14,59,73
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",hipertension arterial sistemica en mayores de 5 anos,2013-01-01,231,339,570
COLCAPIRHUA,"enf. no transmisibles, factores de riesgo y salud mental",hipertension arterial sistemica en mayores de 5 anos,2013-01-01,5,4,9
"COLCHA ""K""","enf. no transmisibles, factores de riesgo y salud mental",hipertension arterial sistemica en mayores de 5 anos,2013-01-01,0,3,3
COLPA BELGICA,"enf. no transmisibles, factores de riesgo y salud mental",hipertension arterial sistemica en mayores de 5 anos,2013-01-01,6,9,15
COMANCHE,"enf. no transmisibles, factores de riesgo y salud mental",hipertension arterial sistemica en mayores de 5 anos,2013-01-01,1,0,1
COMARAPA,"enf. no transmisibles, factores de riesgo y salud mental",hipertension arterial sistemica en mayores de 5 anos,2013-01-01,8,21,29
CONCEPCION,"enf. no transmisibles, factores de riesgo y salud mental",hipertension arterial sistemica en mayores de 5 anos,2013-01-01,0,2,2
COPACABANA,"enf. no transmisibles, factores de riesgo y salud mental",hipertension arterial sistemica en mayores de 5 anos,2013-01-01,1,3,4
CORIPATA,"enf. no transmisibles, factores de riesgo y salud mental",hipertension arterial sistemica en mayores de 5 anos,2013-01-01,2,1,3
CORO CORO,"enf. no transmisibles, factores de riesgo y salud mental",hipertension arterial sistemica en mayores de 5 anos,2013-01-01,2,2,4
COROICO,"enf. no transmisibles, factores de riesgo y salud mental",hipertension arterial sistemica en mayores de 5 anos,2013-01-01,3,3,6
CORQUE,"enf. no transmisibles, factores de riesgo y salud mental",hipertension arterial sistemica en mayores de 5 anos,2013-01-01,2,0,2
COTAGAITA,"enf. no transmisibles, factores de riesgo y salud mental",hipertension arterial sistemica en mayores de 5 anos,2013-01-01,16,11,27
COTOCA,"enf. no transmisibles, factores de riesgo y salud mental",hipertension arterial sistemica en mayores de 5 anos,2013-01-01,2,2,4
CUATRO CAÑADAS,"enf. no transmisibles, factores de riesgo y salud mental",hipertension arterial sistemica en mayores de 5 anos,2013-01-01,2,3,5
DESAGUADERO,"enf. no transmisibles, factores de riesgo y salud mental",hipertension arterial sistemica en mayores de 5 anos,2013-01-01,0,2,2
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",hipertension arterial sistemica en mayores de 5 anos,2013-01-01,535,412,947
EL CHORO,"enf. no transmisibles, factores de riesgo y salud mental",hipertension arterial sistemica en mayores de 5 anos,2013-01-01,2,1,3
EL PUENTE(STC),"enf. no transmisibles, factores de riesgo y salud mental",hipertension arterial sistemica en mayores de 5 anos,2013-01-01,2,4,6
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",hipertension arterial sistemica en mayores de 5 anos,2013-01-01,18,14,32
EL VILLAR,"enf. no transmisibles, factores de riesgo y salud mental",hipertension arterial sistemica en mayores de 5 anos,2013-01-01,2,13,15
ENTRE RIOS TRJ,"enf. no transmisibles, factores de riesgo y salud mental",hipertension arterial sistemica en mayores de 5 anos,2013-01-01,6,15,21
ESCOMA,"enf. no transmisibles, factores de riesgo y salud mental",hipertension arterial sistemica en mayores de 5 anos,2013-01-01,0,1,1
FERNANDEZ ALONSO,"enf. no transmisibles, factores de riesgo y salud mental",hipertension arterial sistemica en mayores de 5 anos,2013-01-01,4,5,9
GENERAL SAAVEDRA,"enf. no transmisibles, factores de riesgo y salud mental",hipertension arterial sistemica en mayores de 5 anos,2013-01-01,7,5,12
GRAL. J.J. PEREZ (CHARAZANI),"enf. no transmisibles, factores de riesgo y salud mental",hipertension arterial sistemica en mayores de 5 anos,2013-01-01,1,0,1
GUAQUI,"enf. no transmisibles, factores de riesgo y salud mental",hipertension arterial sistemica en mayores de 5 anos,2013-01-01,1,1,2
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",hipertension arterial sistemica en mayores de 5 anos,2013-01-01,13,14,27
GUTIERREZ,"enf. no transmisibles, factores de riesgo y salud mental",hipertension arterial sistemica en mayores de 5 anos,2013-01-01,3,50,53
HUACARETA,"enf. no transmisibles, factores de riesgo y salud mental",hipertension arterial sistemica en mayores de 5 anos,2013-01-01,6,9,15
HUACAYA (VILLA DE HUACAYA),"enf. no transmisibles, factores de riesgo y salud mental",hipertension arterial sistemica en mayores de 5 anos,2013-01-01,4,14,18
HUACHACALLA,"enf. no transmisibles, factores de riesgo y salud mental",hipertension arterial sistemica en mayores de 5 anos,2013-01-01,0,3,3
HUANUNI,"enf. no transmisibles, factores de riesgo y salud mental",hipertension arterial sistemica en mayores de 5 anos,2013-01-01,13,10,23
HUAYLLAMARCA,"enf. no transmisibles, factores de riesgo y salud mental",hipertension arterial sistemica en mayores de 5 anos,2013-01-01,1,1,2
HUMANATA,"enf. no transmisibles, factores de riesgo y salud mental",hipertension arterial sistemica en mayores de 5 anos,2013-01-01,0,1,1
ICLA,"enf. no transmisibles, factores de riesgo y salud mental",hipertension arterial sistemica en mayores de 5 anos,2013-01-01,0,1,1
INCAHUASI,"enf. no transmisibles, factores de riesgo y salud mental",hipertension arterial sistemica en mayores de 5 anos,2013-01-01,2,2,4
INQUISIVI,"enf. no transmisibles, factores de riesgo y salud mental",hipertension arterial sistemica en mayores de 5 anos,2013-01-01,2,0,2
IXIAMAS,"enf. no transmisibles, factores de riesgo y salud mental",hipertension arterial sistemica en mayores de 5 anos,2013-01-01,4,1,5
JESUS DE MACHACA,"enf. no transmisibles, factores de riesgo y salud mental",hipertension arterial sistemica en mayores de 5 anos,2013-01-01,6,3,9
LA GUARDIA,"enf. no transmisibles, factores de riesgo y salud mental",hipertension arterial sistemica en mayores de 5 anos,2013-01-01,41,46,87
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",hipertension arterial sistemica en mayores de 5 anos,2013-01-01,655,933,1588
LA RIVERA,"enf. no transmisibles, factores de riesgo y salud mental",hipertension arterial sistemica en mayores de 5 anos,2013-01-01,4,0,4
LAGUNILLAS,"enf. no transmisibles, factores de riesgo y salud mental",hipertension arterial sistemica en mayores de 5 anos,2013-01-01,2,2,4
LAJA,"enf. no transmisibles, factores de riesgo y salud mental",hipertension arterial sistemica en mayores de 5 anos,2013-01-01,5,5,10
LLALLAGUA,"enf. no transmisibles, factores de riesgo y salud mental",hipertension arterial sistemica en mayores de 5 anos,2013-01-01,34,9,43
LORETO,"enf. no transmisibles, factores de riesgo y salud mental",hipertension arterial sistemica en mayores de 5 anos,2013-01-01,5,5,10
MACHACAMARCA,"enf. no transmisibles, factores de riesgo y salud mental",hipertension arterial sistemica en mayores de 5 anos,2013-01-01,14,12,26
MACHARETI,"enf. no transmisibles, factores de riesgo y salud mental",hipertension arterial sistemica en mayores de 5 anos,2013-01-01,2,0,2
MAGDALENA,"enf. no transmisibles, factores de riesgo y salud mental",hipertension arterial sistemica en mayores de 5 anos,2013-01-01,2,4,6
MAIRANA,"enf. no transmisibles, factores de riesgo y salud mental",hipertension arterial sistemica en mayores de 5 anos,2013-01-01,1,2,3
MALLA,"enf. no transmisibles, factores de riesgo y salud mental",hipertension arterial sistemica en mayores de 5 anos,2013-01-01,1,0,1
MINEROS,"enf. no transmisibles, factores de riesgo y salud mental",hipertension arterial sistemica en mayores de 5 anos,2013-01-01,3,13,16
MOJOCOYA,"enf. no transmisibles, factores de riesgo y salud mental",hipertension arterial sistemica en mayores de 5 anos,2013-01-01,5,7,12
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",hipertension arterial sistemica en mayores de 5 anos,2013-01-01,7,15,22
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",hipertension arterial sistemica en mayores de 5 anos,2013-01-01,9,23,32
MORO MORO,"enf. no transmisibles, factores de riesgo y salud mental",hipertension arterial sistemica en mayores de 5 anos,2013-01-01,1,1,2
MOROCHATA,"enf. no transmisibles, factores de riesgo y salud mental",hipertension arterial sistemica en mayores de 5 anos,2013-01-01,0,1,1
NACEBE (SANTA ROSA DEL ABUNA),"enf. no transmisibles, factores de riesgo y salud mental",hipertension arterial sistemica en mayores de 5 anos,2013-01-01,3,0,3
OCURI,"enf. no transmisibles, factores de riesgo y salud mental",hipertension arterial sistemica en mayores de 5 anos,2013-01-01,2,2,4
OKINAWA,"enf. no transmisibles, factores de riesgo y salud mental",hipertension arterial sistemica en mayores de 5 anos,2013-01-01,10,0,10
OMEREQUE,"enf. no transmisibles, factores de riesgo y salud mental",hipertension arterial sistemica en mayores de 5 anos,2013-01-01,0,1,1
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",hipertension arterial sistemica en mayores de 5 anos,2013-01-01,109,200,309
PADCAYA,"enf. no transmisibles, factores de riesgo y salud mental",hipertension arterial sistemica en mayores de 5 anos,2013-01-01,7,21,28
PADILLA,"enf. no transmisibles, factores de riesgo y salud mental",hipertension arterial sistemica en mayores de 5 anos,2013-01-01,15,7,22
PAILON,"enf. no transmisibles, factores de riesgo y salud mental",hipertension arterial sistemica en mayores de 5 anos,2013-01-01,8,9,17
PALCA,"enf. no transmisibles, factores de riesgo y salud mental",hipertension arterial sistemica en mayores de 5 anos,2013-01-01,7,6,13
PALOS BLANCOS,"enf. no transmisibles, factores de riesgo y salud mental",hipertension arterial sistemica en mayores de 5 anos,2013-01-01,3,0,3
PAMPA AULLAGAS,"enf. no transmisibles, factores de riesgo y salud mental",hipertension arterial sistemica en mayores de 5 anos,2013-01-01,1,0,1
PAZÑA,"enf. no transmisibles, factores de riesgo y salud mental",hipertension arterial sistemica en mayores de 5 anos,2013-01-01,0,2,2
POCONA,"enf. no transmisibles, factores de riesgo y salud mental",hipertension arterial sistemica en mayores de 5 anos,2013-01-01,1,1,2
PORONGO,"enf. no transmisibles, factores de riesgo y salud mental",hipertension arterial sistemica en mayores de 5 anos,2013-01-01,3,10,13
PORTACHUELO,"enf. no transmisibles, factores de riesgo y salud mental",hipertension arterial sistemica en mayores de 5 anos,2013-01-01,9,12,21
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",hipertension arterial sistemica en mayores de 5 anos,2013-01-01,58,67,125
PRESTO,"enf. no transmisibles, factores de riesgo y salud mental",hipertension arterial sistemica en mayores de 5 anos,2013-01-01,3,0,3
PUCARANI,"enf. no transmisibles, factores de riesgo y salud mental",hipertension arterial sistemica en mayores de 5 anos,2013-01-01,2,4,6
PUERTO ACOSTA,"enf. no transmisibles, factores de riesgo y salud mental",hipertension arterial sistemica en mayores de 5 anos,2013-01-01,5,13,18
PUERTO CARABUCO,"enf. no transmisibles, factores de riesgo y salud mental",hipertension arterial sistemica en mayores de 5 anos,2013-01-01,4,4,8
PUERTO GONZALO MORENO,"enf. no transmisibles, factores de riesgo y salud mental",hipertension arterial sistemica en mayores de 5 anos,2013-01-01,1,5,6
PUERTO PEREZ,"enf. no transmisibles, factores de riesgo y salud mental",hipertension arterial sistemica en mayores de 5 anos,2013-01-01,2,0,2
PUERTO QUIJARRO,"enf. no transmisibles, factores de riesgo y salud mental",hipertension arterial sistemica en mayores de 5 anos,2013-01-01,15,18,33
PUERTO RICO,"enf. no transmisibles, factores de riesgo y salud mental",hipertension arterial sistemica en mayores de 5 anos,2013-01-01,0,3,3
PUERTO SILES,"enf. no transmisibles, factores de riesgo y salud mental",hipertension arterial sistemica en mayores de 5 anos,2013-01-01,4,5,9
PUERTO SUAREZ,"enf. no transmisibles, factores de riesgo y salud mental",hipertension arterial sistemica en mayores de 5 anos,2013-01-01,11,35,46
PUNA,"enf. no transmisibles, factores de riesgo y salud mental",hipertension arterial sistemica en mayores de 5 anos,2013-01-01,5,15,20
PUNATA,"enf. no transmisibles, factores de riesgo y salud mental",hipertension arterial sistemica en mayores de 5 anos,2013-01-01,8,16,24
QUILLACOLLO,"enf. no transmisibles, factores de riesgo y salud mental",hipertension arterial sistemica en mayores de 5 anos,2013-01-01,1,3,4
REYES,"enf. no transmisibles, factores de riesgo y salud mental",hipertension arterial sistemica en mayores de 5 anos,2013-01-01,2,3,5
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",hipertension arterial sistemica en mayores de 5 anos,2013-01-01,10,25,35
ROBORE,"enf. no transmisibles, factores de riesgo y salud mental",hipertension arterial sistemica en mayores de 5 anos,2013-01-01,27,23,50
SABAYA,"enf. no transmisibles, factores de riesgo y salud mental",hipertension arterial sistemica en mayores de 5 anos,2013-01-01,4,2,6
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",hipertension arterial sistemica en mayores de 5 anos,2013-01-01,11,13,24
SACABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",hipertension arterial sistemica en mayores de 5 anos,2013-01-01,0,1,1
SAIPINA,"enf. no transmisibles, factores de riesgo y salud mental",hipertension arterial sistemica en mayores de 5 anos,2013-01-01,1,5,6
SALINAS DE GARCI MENDOZA,"enf. no transmisibles, factores de riesgo y salud mental",hipertension arterial sistemica en mayores de 5 anos,2013-01-01,1,2,3
SAMAIPATA,"enf. no transmisibles, factores de riesgo y salud mental",hipertension arterial sistemica en mayores de 5 anos,2013-01-01,2,0,2
SAN ANDRES,"enf. no transmisibles, factores de riesgo y salud mental",hipertension arterial sistemica en mayores de 5 anos,2013-01-01,6,12,18
SAN ANDRES DE MACHACA,"enf. no transmisibles, factores de riesgo y salud mental",hipertension arterial sistemica en mayores de 5 anos,2013-01-01,0,2,2
SAN BENITO,"enf. no transmisibles, factores de riesgo y salud mental",hipertension arterial sistemica en mayores de 5 anos,2013-01-01,1,11,12
SAN BORJA,"enf. no transmisibles, factores de riesgo y salud mental",hipertension arterial sistemica en mayores de 5 anos,2013-01-01,7,18,25
SAN BUENA VENTURA,"enf. no transmisibles, factores de riesgo y salud mental",hipertension arterial sistemica en mayores de 5 anos,2013-01-01,5,3,8
SAN CARLOS,"enf. no transmisibles, factores de riesgo y salud mental",hipertension arterial sistemica en mayores de 5 anos,2013-01-01,10,17,27
SAN IGNACIO,"enf. no transmisibles, factores de riesgo y salud mental",hipertension arterial sistemica en mayores de 5 anos,2013-01-01,4,11,15
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",hipertension arterial sistemica en mayores de 5 anos,2013-01-01,34,57,91
SAN JAVIER(BNI),"enf. no transmisibles, factores de riesgo y salud mental",hipertension arterial sistemica en mayores de 5 anos,2013-01-01,1,3,4
SAN JAVIER(STC),"enf. no transmisibles, factores de riesgo y salud mental",hipertension arterial sistemica en mayores de 5 anos,2013-01-01,6,11,17
SAN JOAQUIN,"enf. no transmisibles, factores de riesgo y salud mental",hipertension arterial sistemica en mayores de 5 anos,2013-01-01,1,3,4
SAN JOSE DE CHIQUITOS,"enf. no transmisibles, factores de riesgo y salud mental",hipertension arterial sistemica en mayores de 5 anos,2013-01-01,11,27,38
SAN JUAN DE YAPACANI,"enf. no transmisibles, factores de riesgo y salud mental",hipertension arterial sistemica en mayores de 5 anos,2013-01-01,1,1,2
SAN LORENZO(TJA),"enf. no transmisibles, factores de riesgo y salud mental",hipertension arterial sistemica en mayores de 5 anos,2013-01-01,1,8,9
SAN LUCAS,"enf. no transmisibles, factores de riesgo y salud mental",hipertension arterial sistemica en mayores de 5 anos,2013-01-01,0,2,2
SAN MATIAS,"enf. no transmisibles, factores de riesgo y salud mental",hipertension arterial sistemica en mayores de 5 anos,2013-01-01,2,1,3
SAN MIGUEL DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",hipertension arterial sistemica en mayores de 5 anos,2013-01-01,0,3,3
SAN PABLO DE LIPEZ,"enf. no transmisibles, factores de riesgo y salud mental",hipertension arterial sistemica en mayores de 5 anos,2013-01-01,1,0,1
SAN PEDRO,"enf. no transmisibles, factores de riesgo y salud mental",hipertension arterial sistemica en mayores de 5 anos,2013-01-01,6,7,13
SAN PEDRO DE TIQUINA,"enf. no transmisibles, factores de riesgo y salud mental",hipertension arterial sistemica en mayores de 5 anos,2013-01-01,4,1,5
SAN RAFAEL,"enf. no transmisibles, factores de riesgo y salud mental",hipertension arterial sistemica en mayores de 5 anos,2013-01-01,6,11,17
SAN RAMON SCZ,"enf. no transmisibles, factores de riesgo y salud mental",hipertension arterial sistemica en mayores de 5 anos,2013-01-01,5,3,8
SANTA ANA,"enf. no transmisibles, factores de riesgo y salud mental",hipertension arterial sistemica en mayores de 5 anos,2013-01-01,42,2,44
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",hipertension arterial sistemica en mayores de 5 anos,2013-01-01,1412,1764,3176
SANTA ROSA,"enf. no transmisibles, factores de riesgo y salud mental",hipertension arterial sistemica en mayores de 5 anos,2013-01-01,1,3,4
SANTA ROSA DEL SARA,"enf. no transmisibles, factores de riesgo y salud mental",hipertension arterial sistemica en mayores de 5 anos,2013-01-01,9,18,27
SANTIAGO DE CALLAPA,"enf. no transmisibles, factores de riesgo y salud mental",hipertension arterial sistemica en mayores de 5 anos,2013-01-01,1,0,1
SANTIAGO DE HUARI,"enf. no transmisibles, factores de riesgo y salud mental",hipertension arterial sistemica en mayores de 5 anos,2013-01-01,0,2,2
SANTIAGO DE MACHACA,"enf. no transmisibles, factores de riesgo y salud mental",hipertension arterial sistemica en mayores de 5 anos,2013-01-01,0,1,1
SANTUARIO DE QUILLACAS,"enf. no transmisibles, factores de riesgo y salud mental",hipertension arterial sistemica en mayores de 5 anos,2013-01-01,2,0,2
SAPAHAQUI,"enf. no transmisibles, factores de riesgo y salud mental",hipertension arterial sistemica en mayores de 5 anos,2013-01-01,6,2,8
SHINAOTA,"enf. no transmisibles, factores de riesgo y salud mental",hipertension arterial sistemica en mayores de 5 anos,2013-01-01,1,0,1
SICA SICA (VILLA AROMA),"enf. no transmisibles, factores de riesgo y salud mental",hipertension arterial sistemica en mayores de 5 anos,2013-01-01,5,1,6
SIPE SIPE,"enf. no transmisibles, factores de riesgo y salud mental",hipertension arterial sistemica en mayores de 5 anos,2013-01-01,0,2,2
SOPACHUY,"enf. no transmisibles, factores de riesgo y salud mental",hipertension arterial sistemica en mayores de 5 anos,2013-01-01,0,1,1
SORACACHI,"enf. no transmisibles, factores de riesgo y salud mental",hipertension arterial sistemica en mayores de 5 anos,2013-01-01,0,2,2
SORATA,"enf. no transmisibles, factores de riesgo y salud mental",hipertension arterial sistemica en mayores de 5 anos,2013-01-01,3,4,7
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",hipertension arterial sistemica en mayores de 5 anos,2013-01-01,740,1003,1743
TACACOMA,"enf. no transmisibles, factores de riesgo y salud mental",hipertension arterial sistemica en mayores de 5 anos,2013-01-01,2,1,3
TACOBAMBA,"enf. no transmisibles, factores de riesgo y salud mental",hipertension arterial sistemica en mayores de 5 anos,2013-01-01,1,1,2
TAPACARI,"enf. no transmisibles, factores de riesgo y salud mental",hipertension arterial sistemica en mayores de 5 anos,2013-01-01,1,3,4
TARABUCO,"enf. no transmisibles, factores de riesgo y salud mental",hipertension arterial sistemica en mayores de 5 anos,2013-01-01,3,17,20
TARACO,"enf. no transmisibles, factores de riesgo y salud mental",hipertension arterial sistemica en mayores de 5 anos,2013-01-01,6,12,18
TARATA,"enf. no transmisibles, factores de riesgo y salud mental",hipertension arterial sistemica en mayores de 5 anos,2013-01-01,0,2,2
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",hipertension arterial sistemica en mayores de 5 anos,2013-01-01,18,31,49
TARVITA,"enf. no transmisibles, factores de riesgo y salud mental",hipertension arterial sistemica en mayores de 5 anos,2013-01-01,9,9,18
TEOPONTE,"enf. no transmisibles, factores de riesgo y salud mental",hipertension arterial sistemica en mayores de 5 anos,2013-01-01,0,1,1
TIAWANACU,"enf. no transmisibles, factores de riesgo y salud mental",hipertension arterial sistemica en mayores de 5 anos,2013-01-01,3,3,6
TIPUANI,"enf. no transmisibles, factores de riesgo y salud mental",hipertension arterial sistemica en mayores de 5 anos,2013-01-01,5,2,7
TIQUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",hipertension arterial sistemica en mayores de 5 anos,2013-01-01,5,4,9
TITO YUPANQUI (PARQUIPUJIO),"enf. no transmisibles, factores de riesgo y salud mental",hipertension arterial sistemica en mayores de 5 anos,2013-01-01,1,0,1
TOLATA,"enf. no transmisibles, factores de riesgo y salud mental",hipertension arterial sistemica en mayores de 5 anos,2013-01-01,1,3,4
TOLEDO,"enf. no transmisibles, factores de riesgo y salud mental",hipertension arterial sistemica en mayores de 5 anos,2013-01-01,2,1,3
TOMAVE,"enf. no transmisibles, factores de riesgo y salud mental",hipertension arterial sistemica en mayores de 5 anos,2013-01-01,3,6,9
TOMINA,"enf. no transmisibles, factores de riesgo y salud mental",hipertension arterial sistemica en mayores de 5 anos,2013-01-01,1,3,4
TOTORA(ORR),"enf. no transmisibles, factores de riesgo y salud mental",hipertension arterial sistemica en mayores de 5 anos,2013-01-01,0,2,2
TRIGAL,"enf. no transmisibles, factores de riesgo y salud mental",hipertension arterial sistemica en mayores de 5 anos,2013-01-01,2,0,2
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",hipertension arterial sistemica en mayores de 5 anos,2013-01-01,87,202,289
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",hipertension arterial sistemica en mayores de 5 anos,2013-01-01,28,38,66
TURCO,"enf. no transmisibles, factores de riesgo y salud mental",hipertension arterial sistemica en mayores de 5 anos,2013-01-01,2,1,3
UNCIA,"enf. no transmisibles, factores de riesgo y salud mental",hipertension arterial sistemica en mayores de 5 anos,2013-01-01,15,33,48
URIONDO (A. CONCEPCION),"enf. no transmisibles, factores de riesgo y salud mental",hipertension arterial sistemica en mayores de 5 anos,2013-01-01,4,2,6
URUBICHA,"enf. no transmisibles, factores de riesgo y salud mental",hipertension arterial sistemica en mayores de 5 anos,2013-01-01,6,11,17
UYUNI,"enf. no transmisibles, factores de riesgo y salud mental",hipertension arterial sistemica en mayores de 5 anos,2013-01-01,15,26,41
VACAS,"enf. no transmisibles, factores de riesgo y salud mental",hipertension arterial sistemica en mayores de 5 anos,2013-01-01,2,1,3
VALLEGRANDE,"enf. no transmisibles, factores de riesgo y salud mental",hipertension arterial sistemica en mayores de 5 anos,2013-01-01,38,74,112
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",hipertension arterial sistemica en mayores de 5 anos,2013-01-01,47,13,60
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",hipertension arterial sistemica en mayores de 5 anos,2013-01-01,18,20,38
VILLA RIVERO,"enf. no transmisibles, factores de riesgo y salud mental",hipertension arterial sistemica en mayores de 5 anos,2013-01-01,0,1,1
VILLA SERRANO,"enf. no transmisibles, factores de riesgo y salud mental",hipertension arterial sistemica en mayores de 5 anos,2013-01-01,9,23,32
VILLA TUNARI,"enf. no transmisibles, factores de riesgo y salud mental",hipertension arterial sistemica en mayores de 5 anos,2013-01-01,4,5,9
VILLA VACA GUZMAN (MUYUPAMPA),"enf. no transmisibles, factores de riesgo y salud mental",hipertension arterial sistemica en mayores de 5 anos,2013-01-01,2,9,11
VILLAZON,"enf. no transmisibles, factores de riesgo y salud mental",hipertension arterial sistemica en mayores de 5 anos,2013-01-01,7,18,25
