,group,variable,month,HABITO DE FUMAR CANTIDAD,HABITO DE FUMAR CANTIDAD,TOTALES
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-02-01,8,7,15
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-02-01,2,0,2
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-02-01,1,0,1
POCONA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-02-01,7,0,7
PORTACHUELO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-02-01,3,1,4
PUERTO GONZALO MORENO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-02-01,1,0,1
PUERTO SUAREZ,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-02-01,1,0,1
QUILLACOLLO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-02-01,1,1,2
SAN BORJA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-02-01,4,0,4
SAN MIGUEL DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-02-01,1,0,1
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-02-01,37,16,53
SANTA ROSA DEL SARA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-02-01,2,1,3
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-02-01,1,1,2
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-02-01,57,9,66
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-02-01,0,2,2
VILLA NUEVA (LOMA ALTA),"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-02-01,1,0,1
VILLA VACA GUZMAN (MUYUPAMPA),"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-02-01,2,1,3
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-02-01,1,1,2
CABEZAS,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-03-01,0,1,1
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-03-01,5,0,5
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-03-01,10,11,21
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-03-01,19,11,30
CONCEPCION,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-03-01,1,0,1
COTOCA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-03-01,5,2,7
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-03-01,14,5,19
EL VILLAR,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-03-01,12,0,12
EUREKA (SANTOS MERCADO),"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-03-01,5,1,6
HUACARETA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-03-01,2,0,2
IXIAMAS,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-03-01,3,0,3
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-03-01,13,4,17
LAGUNILLAS,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-03-01,0,1,1
MECAPACA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-03-01,2,1,3
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-03-01,2,0,2
POCONA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-03-01,12,0,12
PORTACHUELO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-03-01,0,1,1
PUERTO SUAREZ,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-03-01,2,0,2
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-03-01,21,1,22
SAN BORJA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-03-01,1,0,1
SAN IGNACIO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-03-01,1,0,1
SAN MATIAS,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-03-01,3,1,4
SAN MIGUEL DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-03-01,4,0,4
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-03-01,29,8,37
SANTA ROSA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-03-01,10,5,15
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-03-01,2,1,3
TACOPAYA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-03-01,1,0,1
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-03-01,12,0,12
TIQUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-03-01,1,0,1
TOMINA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-03-01,2,0,2
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-03-01,1,3,4
WARNES,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-03-01,1,0,1
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-03-01,1,0,1
ALTO BENI,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-04-01,0,1,1
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-04-01,7,0,7
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-04-01,18,17,35
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-04-01,11,4,15
CONCEPCION,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-04-01,1,0,1
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-04-01,16,5,21
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-04-01,3,0,3
LA GUARDIA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-04-01,0,1,1
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-04-01,36,15,51
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-04-01,0,2,2
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-04-01,3,0,3
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-04-01,2,0,2
POCONA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-04-01,10,0,10
PORONGO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-04-01,1,0,1
PUERTO GONZALO MORENO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-04-01,1,0,1
PUERTO SUAREZ,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-04-01,0,1,1
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-04-01,1,0,1
SAN ANDRES,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-04-01,4,0,4
SAN BORJA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-04-01,1,0,1
SAN CARLOS,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-04-01,29,5,34
SAN JUAN DE YAPACANI,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-04-01,3,0,3
SAN MIGUEL DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-04-01,2,0,2
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-04-01,21,18,39
SANTA ROSA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-04-01,20,10,30
SANTA ROSA DEL SARA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-04-01,6,1,7
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-04-01,3,2,5
TOMINA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-04-01,2,0,2
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-04-01,1,3,4
URIONDO (A. CONCEPCION),"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-04-01,3,0,3
VINTO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-04-01,2,1,3
WARNES,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-04-01,6,2,8
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-04-01,1,1,2
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-05-01,5,8,13
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-05-01,1,1,2
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-05-01,6,6,12
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-05-01,14,3,17
EUREKA (SANTOS MERCADO),"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-05-01,1,0,1
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-05-01,1,0,1
GUTIERREZ,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-05-01,2,0,2
HUACARETA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-05-01,1,0,1
LA GUARDIA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-05-01,2,1,3
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-05-01,28,14,42
NACEBE (SANTA ROSA DEL ABUNA),"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-05-01,2,0,2
PADILLA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-05-01,2,0,2
PALCA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-05-01,2,0,2
POCONA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-05-01,59,0,59
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-05-01,0,1,1
PUERTO SUAREZ,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-05-01,0,2,2
PUERTO VILLARROEL,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-05-01,5,0,5
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-05-01,3,3,6
SAN CARLOS,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-05-01,31,3,34
SAN JUAN DE YAPACANI,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-05-01,3,0,3
SAN LORENZO(TJA),"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-05-01,1,0,1
SAN MIGUEL DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-05-01,2,0,2
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-05-01,16,11,27
SANTA ROSA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-05-01,9,1,10
SANTA ROSA DEL SARA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-05-01,1,0,1
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-05-01,1,1,2
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-05-01,1,0,1
TIQUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-05-01,3,0,3
TOMINA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-05-01,3,0,3
TOTORA(ORR),"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-05-01,3,0,3
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-05-01,0,7,7
UYUNI,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-05-01,0,2,2
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-05-01,4,0,4
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-05-01,2,0,2
WARNES,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-05-01,1,0,1
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-05-01,1,1,2
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-06-01,5,8,13
CARMEN RIVERO TORREZ,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-06-01,2,0,2
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-06-01,6,5,11
COROICO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-06-01,1,0,1
COTOCA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-06-01,1,0,1
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-06-01,6,5,11
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-06-01,1,0,1
GUTIERREZ,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-06-01,3,0,3
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-06-01,18,6,24
MINEROS,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-06-01,0,1,1
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-06-01,8,7,15
PALCA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-06-01,4,0,4
POCONA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-06-01,10,0,10
PORTACHUELO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-06-01,1,1,2
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-06-01,1,0,1
PUERTO VILLARROEL,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-06-01,3,0,3
REYES,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-06-01,2,1,3
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-06-01,6,4,10
SAN CARLOS,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-06-01,9,1,10
SAN MIGUEL DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-06-01,1,0,1
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-06-01,15,13,28
SANTA ROSA DEL SARA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-06-01,1,0,1
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-06-01,4,1,5
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-06-01,10,1,11
TIQUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-06-01,1,0,1
TOMINA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-06-01,3,0,3
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-06-01,0,4,4
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-06-01,1,0,1
VILLA VACA GUZMAN (MUYUPAMPA),"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-06-01,1,0,1
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-06-01,1,2,3
CABEZAS,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-07-01,0,2,2
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-07-01,5,8,13
CARMEN RIVERO TORREZ,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-07-01,0,1,1
CHUMA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-07-01,0,1,1
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-07-01,1,0,1
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-07-01,13,10,23
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-07-01,5,3,8
GUTIERREZ,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-07-01,3,0,3
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-07-01,12,11,23
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-07-01,1,0,1
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-07-01,2,0,2
NACEBE (SANTA ROSA DEL ABUNA),"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-07-01,6,1,7
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-07-01,6,28,34
POCONA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-07-01,11,0,11
PORONGO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-07-01,1,0,1
PORTACHUELO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-07-01,1,0,1
PUERTO VILLARROEL,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-07-01,3,0,3
PUNATA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-07-01,1,0,1
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-07-01,2,1,3
SAN CARLOS,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-07-01,9,1,10
SAN JOSE DE CHIQUITOS,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-07-01,1,1,2
SAN JUAN DE YAPACANI,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-07-01,1,0,1
SAN MIGUEL DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-07-01,3,0,3
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-07-01,14,17,31
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-07-01,1,1,2
TIQUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-07-01,1,0,1
TOMINA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-07-01,3,0,3
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-07-01,0,2,2
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-07-01,1,0,1
VILLA RIVERO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-07-01,1,0,1
VILLA VACA GUZMAN (MUYUPAMPA),"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-07-01,2,0,2
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-07-01,1,1,2
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-08-01,5,7,12
CARMEN RIVERO TORREZ,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-08-01,2,1,3
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-08-01,1,0,1
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-08-01,6,15,21
COTOCA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-08-01,1,1,2
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-08-01,7,7,14
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-08-01,2,1,3
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-08-01,22,42,64
NACEBE (SANTA ROSA DEL ABUNA),"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-08-01,5,2,7
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-08-01,16,24,40
PADCAYA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-08-01,0,1,1
PALOS BLANCOS,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-08-01,4,0,4
PASORAPA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-08-01,2,0,2
POCONA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-08-01,10,0,10
POJO (CBBA),"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-08-01,1,0,1
PORTACHUELO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-08-01,1,0,1
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-08-01,0,1,1
REYES,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-08-01,1,0,1
SAN CARLOS,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-08-01,0,2,2
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-08-01,17,9,26
SANTA ROSA DEL SARA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-08-01,1,0,1
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-08-01,4,17,21
TOMINA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-08-01,5,0,5
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-08-01,2,4,6
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-08-01,15,0,15
VILLA VACA GUZMAN (MUYUPAMPA),"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-08-01,1,0,1
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-08-01,2,0,2
YAPACANI,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-08-01,12,0,12
BOYUIBE,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-09-01,0,1,1
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-09-01,8,5,13
CARMEN RIVERO TORREZ,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-09-01,4,3,7
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-09-01,2,7,9
COTOCA,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-09-01,0,1,1
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-09-01,12,7,19
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-09-01,1,0,1
GUTIERREZ,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-09-01,3,0,3
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-09-01,5,2,7
LAS CARRERAS,"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-09-01,1,0,1
NACEBE (SANTA ROSA DEL ABUNA),"enf. no transmisibles, factores de riesgo y salud mental",habito de fumar,2013-09-01,3,1,4
