,group,variable,month,ABUSO DE ALCOHOL CANTIDAD,ABUSO DE ALCOHOL CANTIDAD,TOTALES
PUERTO RICO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-01-01,5,0,5
PUERTO SUAREZ,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-01-01,1,0,1
PUNA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-01-01,1,0,1
PUNATA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-01-01,3,1,4
QUILLACOLLO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-01-01,3,0,3
QUIRUSILLAS,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-01-01,1,0,1
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-01-01,2,1,3
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-01-01,2,1,3
SACABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-01-01,1,0,1
SAN BENITO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-01-01,0,2,2
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-01-01,2,1,3
SAN JOSE DE CHIQUITOS,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-01-01,2,0,2
SAN JULIAN,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-01-01,1,0,1
SAN LUCAS,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-01-01,2,0,2
SAN MATIAS,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-01-01,1,0,1
SAN MIGUEL DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-01-01,1,0,1
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-01-01,102,128,230
SANTA ROSA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-01-01,6,0,6
SANTA ROSA DEL SARA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-01-01,2,0,2
SICA SICA (VILLA AROMA),"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-01-01,3,0,3
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-01-01,54,4,58
TACOPAYA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-01-01,1,0,1
TARABUCO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-01-01,1,0,1
TARATA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-01-01,1,0,1
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-01-01,108,20,128
TIQUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-01-01,3,2,5
TODOS SANTOS,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-01-01,0,1,1
TOTORA(ORR),"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-01-01,1,0,1
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-01-01,0,1,1
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-01-01,3,0,3
TURCO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-01-01,1,0,1
VALLEGRANDE,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-01-01,1,0,1
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-01-01,1,0,1
VILA VILA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-01-01,1,0,1
VILLA VACA GUZMAN (MUYUPAMPA),"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-01-01,3,1,4
VILLAZON,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-01-01,3,0,3
VINTO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-01-01,1,0,1
WARNES,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-01-01,1,0,1
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-01-01,9,6,15
YAPACANI,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-01-01,2,0,2
ALALAY,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-02-01,2,0,2
ARANI,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-02-01,1,0,1
ARBIETO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-02-01,1,0,1
ATOCHA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-02-01,2,0,2
AZURDUY,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-02-01,1,0,1
BETANZOS,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-02-01,2,0,2
BOYUIBE,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-02-01,2,0,2
CABEZAS,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-02-01,1,2,3
CAJUATA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-02-01,0,1,1
CALACOTO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-02-01,1,0,1
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-02-01,3,0,3
CAPINOTA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-02-01,1,0,1
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-02-01,6,1,7
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-02-01,16,21,37
COLLANA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-02-01,0,1,1
COLOMI,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-02-01,0,1,1
COMARAPA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-02-01,0,1,1
CONCEPCION,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-02-01,2,0,2
COTOCA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-02-01,3,0,3
DESAGUADERO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-02-01,1,0,1
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-02-01,8,4,12
ENTRE RIOS TRJ,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-02-01,1,0,1
EUCALIPTUS,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-02-01,2,0,2
GRAL. J.J. PEREZ (CHARAZANI),"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-02-01,1,1,2
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-02-01,1,0,1
GUTIERREZ,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-02-01,1,0,1
HUACARETA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-02-01,2,0,2
HUACHACALLA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-02-01,1,0,1
LA GUARDIA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-02-01,10,6,16
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-02-01,129,75,204
LAGUNILLAS,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-02-01,1,0,1
MAIRANA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-02-01,1,0,1
MINEROS,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-02-01,2,0,2
MIZQUE,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-02-01,2,0,2
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-02-01,3,0,3
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-02-01,6,2,8
OCURI,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-02-01,0,1,1
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-02-01,5,3,8
PADCAYA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-02-01,1,0,1
PADILLA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-02-01,1,0,1
PAILON,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-02-01,0,1,1
POCONA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-02-01,9,0,9
PORONGO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-02-01,1,0,1
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-02-01,17,8,25
PUERTO QUIJARRO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-02-01,2,0,2
PUERTO VILLARROEL,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-02-01,1,3,4
PUNATA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-02-01,2,2,4
QUILLACOLLO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-02-01,3,3,6
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-02-01,0,1,1
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-02-01,4,2,6
SAN BENITO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-02-01,1,0,1
SAN BORJA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-02-01,1,0,1
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-02-01,2,2,4
SAN LUCAS,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-02-01,2,0,2
SAN MIGUEL DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-02-01,1,1,2
SAN PEDRO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-02-01,1,0,1
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-02-01,103,55,158
SANTA ROSA DEL SARA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-02-01,6,0,6
SOPACHUY,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-02-01,1,1,2
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-02-01,24,4,28
TACOPAYA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-02-01,2,0,2
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-02-01,117,11,128
TIQUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-02-01,1,1,2
TOCO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-02-01,1,0,1
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-02-01,1,0,1
URIONDO (A. CONCEPCION),"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-02-01,1,0,1
VALLEGRANDE,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-02-01,5,3,8
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-02-01,2,0,2
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-02-01,2,1,3
VILLA NUEVA (LOMA ALTA),"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-02-01,1,0,1
VILLA VACA GUZMAN (MUYUPAMPA),"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-02-01,4,0,4
VILLAZON,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-02-01,3,1,4
VINTO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-02-01,1,0,1
WARNES,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-02-01,0,1,1
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-02-01,6,3,9
AIQUILE,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-03-01,2,1,3
ARBIETO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-03-01,4,0,4
AZURDUY,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-03-01,1,0,1
CABEZAS,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-03-01,1,1,2
CARAPARI,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-03-01,5,1,6
CHULUMANI (V. DE LA LIBERTAD),"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-03-01,1,0,1
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-03-01,6,5,11
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-03-01,31,34,65
COLOMI,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-03-01,0,2,2
COMARAPA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-03-01,1,1,2
CONCEPCION,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-03-01,2,0,2
COROICO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-03-01,1,0,1
COTAGAITA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-03-01,0,1,1
COTOCA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-03-01,1,0,1
CUATRO CAÑADAS,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-03-01,1,0,1
DESAGUADERO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-03-01,1,0,1
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-03-01,20,101,121
ENTRE RIOS CBBA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-03-01,2,1,3
HUACARETA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-03-01,1,0,1
ICLA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-03-01,1,0,1
IXIAMAS,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-03-01,3,0,3
LA GUARDIA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-03-01,1,0,1
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-03-01,124,65,189
MAGDALENA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-03-01,1,0,1
MECAPACA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-03-01,1,0,1
MINEROS,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-03-01,1,1,2
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-03-01,3,0,3
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-03-01,0,1,1
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-03-01,3,3,6
POCONA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-03-01,9,3,12
POOPO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-03-01,1,0,1
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-03-01,11,5,16
PUERTO SILES,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-03-01,6,0,6
PUERTO SUAREZ,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-03-01,2,0,2
PUNA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-03-01,1,0,1
PUNATA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-03-01,1,0,1
QUIRUSILLAS,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-03-01,3,2,5
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-03-01,3,1,4
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-03-01,3,1,4
SACABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-03-01,1,0,1
SAN ANDRES,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-03-01,1,0,1
SAN BORJA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-03-01,0,1,1
SAN IGNACIO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-03-01,1,0,1
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-03-01,3,0,3
SAN LUCAS,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-03-01,2,0,2
SAN MIGUEL DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-03-01,3,2,5
SAN PEDRO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-03-01,1,0,1
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-03-01,88,56,144
SANTA ROSA DEL SARA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-03-01,1,0,1
SOPACHUY,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-03-01,1,0,1
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-03-01,37,12,49
TARATA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-03-01,1,0,1
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-03-01,88,20,108
TIPUANI,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-03-01,1,0,1
TIQUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-03-01,2,0,2
TOLEDO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-03-01,1,0,1
TOMINA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-03-01,1,0,1
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-03-01,1,0,1
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-03-01,4,2,6
UYUNI,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-03-01,3,0,3
VACAS,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-03-01,1,0,1
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-03-01,1,0,1
VILLAZON,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-03-01,2,0,2
WARNES,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-03-01,1,0,1
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-03-01,8,3,11
ALCALA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-04-01,1,0,1
ARANI,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-04-01,11,0,11
ARBIETO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-04-01,1,0,1
ATOCHA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-04-01,1,1,2
BOYUIBE,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-04-01,0,1,1
BUENA VISTA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-04-01,1,0,1
CABEZAS,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-04-01,1,0,1
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-04-01,1,0,1
CARAPARI,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-04-01,1,0,1
CARMEN RIVERO TORREZ,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-04-01,1,0,1
CHOQUE COTA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-04-01,0,1,1
CLIZA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-04-01,2,1,3
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-04-01,9,5,14
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-04-01,59,10,69
CORQUE,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-04-01,1,0,1
COTAGAITA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-04-01,1,0,1
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-04-01,13,1,14
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-04-01,3,0,3
ENTRE RIOS TRJ,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-04-01,2,0,2
ENTRE RIOS CBBA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-04-01,2,1,3
FERNANDEZ ALONSO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-04-01,1,0,1
HUANUNI,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-04-01,3,0,3
HUARINA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-04-01,0,1,1
LA GUARDIA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-04-01,4,3,7
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-04-01,119,58,177
MINEROS,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-04-01,1,0,1
MIZQUE,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-04-01,0,1,1
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-04-01,1,0,1
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-04-01,2,4,6
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-04-01,15,0,15
PADCAYA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-04-01,1,0,1
POCONA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-04-01,12,7,19
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-04-01,2,2,4
PUNA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-04-01,2,0,2
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",abuso de alcohol,2013-04-01,1,0,1
