municipality,group,variable,month,Número de viviendas positivas,TOTAL
FERNANDEZ ALONSO,control vectorial de dengue,numero de viviendas positivas,2013-07-01,100,100
SAN JULIAN,control vectorial de dengue,numero de viviendas positivas,2013-07-01,10,10
TEOPONTE,control vectorial de dengue,numero de viviendas positivas,2013-07-01,3,3
CARANAVI,control vectorial de dengue,numero de viviendas positivas,2013-08-01,11,11
CHIMORE,control vectorial de dengue,numero de viviendas positivas,2013-08-01,69,69
FERNANDEZ ALONSO,control vectorial de dengue,numero de viviendas positivas,2013-08-01,30,30
HUACARETA,control vectorial de dengue,numero de viviendas positivas,2013-08-01,6,6
MONTERO,control vectorial de dengue,numero de viviendas positivas,2013-08-01,51,51
PALOS BLANCOS,control vectorial de dengue,numero de viviendas positivas,2013-08-01,14,14
SAN JULIAN,control vectorial de dengue,numero de viviendas positivas,2013-08-01,1,1
SHINAOTA,control vectorial de dengue,numero de viviendas positivas,2013-08-01,15,15
VILLA TUNARI,control vectorial de dengue,numero de viviendas positivas,2013-08-01,12,12
BETANZOS,control vectorial de dengue,numero de viviendas positivas,2013-09-01,33,33
CHIMORE,control vectorial de dengue,numero de viviendas positivas,2013-09-01,27,27
CONCEPCION,control vectorial de dengue,numero de viviendas positivas,2013-09-01,6,6
EL TORNO,control vectorial de dengue,numero de viviendas positivas,2013-09-01,44,44
MONTERO,control vectorial de dengue,numero de viviendas positivas,2013-09-01,51,51
SAN JULIAN,control vectorial de dengue,numero de viviendas positivas,2013-09-01,1,1
SAN LUCAS,control vectorial de dengue,numero de viviendas positivas,2013-09-01,9,9
TEOPONTE,control vectorial de dengue,numero de viviendas positivas,2013-09-01,13,13
TRIGAL,control vectorial de dengue,numero de viviendas positivas,2013-09-01,10,10
VILLA TUNARI,control vectorial de dengue,numero de viviendas positivas,2013-09-01,16,16
VILLA VACA GUZMAN (MUYUPAMPA),control vectorial de dengue,numero de viviendas positivas,2013-09-01,1,1
ALTO BENI,control vectorial de dengue,numero de viviendas positivas,2013-10-01,14,14
CHIMORE,control vectorial de dengue,numero de viviendas positivas,2013-10-01,65,65
GENERAL SAAVEDRA,control vectorial de dengue,numero de viviendas positivas,2013-10-01,1,1
MONTEAGUDO,control vectorial de dengue,numero de viviendas positivas,2013-10-01,2,2
MONTERO,control vectorial de dengue,numero de viviendas positivas,2013-10-01,23,23
SAN PEDRO,control vectorial de dengue,numero de viviendas positivas,2013-10-01,77,77
CHIMORE,control vectorial de dengue,numero de viviendas positivas,2013-11-01,197,197
HUARACAJE,control vectorial de dengue,numero de viviendas positivas,2013-11-01,12,12
MACHARETI,control vectorial de dengue,numero de viviendas positivas,2013-11-01,1,1
MONTEAGUDO,control vectorial de dengue,numero de viviendas positivas,2013-11-01,19,19
MONTERO,control vectorial de dengue,numero de viviendas positivas,2013-11-01,68,68
PORONGO,control vectorial de dengue,numero de viviendas positivas,2013-11-01,100,100
SAN ANTONIO DE LOMERIO,control vectorial de dengue,numero de viviendas positivas,2013-11-01,6,6
SAN JULIAN,control vectorial de dengue,numero de viviendas positivas,2013-11-01,1,1
SAN RAMON BENI,control vectorial de dengue,numero de viviendas positivas,2013-11-01,23,23
TEOPONTE,control vectorial de dengue,numero de viviendas positivas,2013-11-01,40,40
VILLA VACA GUZMAN (MUYUPAMPA),control vectorial de dengue,numero de viviendas positivas,2013-11-01,5,5
YACUIBA,control vectorial de dengue,numero de viviendas positivas,2013-11-01,4,4
CHIMORE,control vectorial de dengue,numero de viviendas positivas,2013-12-01,34,34
FERNANDEZ ALONSO,control vectorial de dengue,numero de viviendas positivas,2013-12-01,39,39
GENERAL SAAVEDRA,control vectorial de dengue,numero de viviendas positivas,2013-12-01,63,63
HUACARETA,control vectorial de dengue,numero de viviendas positivas,2013-12-01,20,20
ICLA,control vectorial de dengue,numero de viviendas positivas,2013-12-01,2,2
MACHARETI,control vectorial de dengue,numero de viviendas positivas,2013-12-01,382,382
MAPIRI,control vectorial de dengue,numero de viviendas positivas,2013-12-01,36,36
MONTEAGUDO,control vectorial de dengue,numero de viviendas positivas,2013-12-01,133,133
MONTERO,control vectorial de dengue,numero de viviendas positivas,2013-12-01,10,10
PUERTO VILLARROEL,control vectorial de dengue,numero de viviendas positivas,2013-12-01,1,1
SAIPINA,control vectorial de dengue,numero de viviendas positivas,2013-12-01,45,45
SUCRE,control vectorial de dengue,numero de viviendas positivas,2013-12-01,1,1
