municipality,group,variable,month,Número de viviendas evaluadas entomológicamente,TOTAL
SANTA CRUZ DE LA SIERRA,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2013-04-01,90,90
SHINAOTA,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2013-04-01,70,70
SUCRE,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2013-04-01,314,314
TIQUIPAYA,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2013-04-01,31,31
VILLA TUNARI,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2013-04-01,25,25
VILLA VACA GUZMAN (MUYUPAMPA),control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2013-04-01,604,604
BERMEJO,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2013-05-01,5,5
CABEZAS,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2013-05-01,30,30
CARAPARI,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2013-05-01,3,3
CHIMORE,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2013-05-01,275,275
GENERAL SAAVEDRA,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2013-05-01,374,374
LAGUNILLAS,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2013-05-01,81,81
MACHARETI,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2013-05-01,629,629
MAPIRI,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2013-05-01,164,164
MONTEAGUDO,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2013-05-01,2281,2281
SAN JULIAN,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2013-05-01,6,6
SUCRE,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2013-05-01,154,154
TARATA,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2013-05-01,2,2
VILLA TUNARI,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2013-05-01,103,103
COTOCA,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2013-06-01,837,837
LAGUNILLAS,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2013-06-01,10,10
SANTA CRUZ DE LA SIERRA,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2013-06-01,64,64
TIPUANI,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2013-06-01,110,110
YACUIBA,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2013-06-01,144,144
ALTO BENI,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2013-07-01,93,93
CHIMORE,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2013-07-01,485,485
CLIZA,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2013-07-01,85,85
EL VILLAR,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2013-07-01,240,240
FERNANDEZ ALONSO,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2013-07-01,250,250
LAGUNILLAS,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2013-07-01,10,10
SAN JULIAN,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2013-07-01,60,60
TEOPONTE,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2013-07-01,12,12
TOMINA,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2013-07-01,132,132
ALTO BENI,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2013-08-01,22,22
CARANAVI,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2013-08-01,149,149
CHIMORE,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2013-08-01,453,453
FERNANDEZ ALONSO,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2013-08-01,150,150
HUACARETA,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2013-08-01,56,56
LAGUNILLAS,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2013-08-01,10,10
MONTERO,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2013-08-01,270,270
PALOS BLANCOS,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2013-08-01,537,537
SAN JULIAN,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2013-08-01,10,10
SHINAOTA,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2013-08-01,250,250
VILLA TUNARI,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2013-08-01,70,70
CHIMORE,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2013-09-01,249,249
EL TORNO,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2013-09-01,139,139
MAPIRI,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2013-09-01,255,255
MONTERO,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2013-09-01,545,545
SAN JULIAN,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2013-09-01,31,31
SAN LUCAS,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2013-09-01,538,538
SUCRE,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2013-09-01,160,160
TEOPONTE,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2013-09-01,204,204
TRIGAL,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2013-09-01,62,62
VILLA TUNARI,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2013-09-01,110,110
VILLA VACA GUZMAN (MUYUPAMPA),control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2013-09-01,195,195
ALTO BENI,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2013-10-01,9,9
CHIMORE,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2013-10-01,426,426
COCAPATA,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2013-10-01,3,3
CUATRO CAÑADAS,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2013-10-01,1590,1590
GENERAL SAAVEDRA,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2013-10-01,48,48
LAGUNILLAS,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2013-10-01,10,10
MONTEAGUDO,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2013-10-01,1364,1364
MONTERO,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2013-10-01,271,271
SAN PEDRO,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2013-10-01,220,220
SANTA CRUZ DE LA SIERRA,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2013-10-01,20,20
SUCRE,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2013-10-01,81,81
TARVITA,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2013-10-01,55,55
CHIMORE,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2013-11-01,386,386
HUARACAJE,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2013-11-01,100,100
MACHARETI,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2013-11-01,133,133
MONTEAGUDO,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2013-11-01,998,998
MONTERO,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2013-11-01,390,390
PADILLA,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2013-11-01,178,178
PORONGO,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2013-11-01,104,104
PUERTO VILLARROEL,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2013-11-01,48,48
SAN ANTONIO DE LOMERIO,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2013-11-01,40,40
SAN JULIAN,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2013-11-01,9,9
SAN RAMON BENI,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2013-11-01,90,90
SANTA CRUZ DE LA SIERRA,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2013-11-01,20,20
SUCRE,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2013-11-01,282,282
TARATA,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2013-11-01,60,60
TEOPONTE,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2013-11-01,298,298
VILLA VACA GUZMAN (MUYUPAMPA),control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2013-11-01,331,331
YACUIBA,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2013-11-01,437,437
CHIMORE,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2013-12-01,527,527
FERNANDEZ ALONSO,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2013-12-01,156,156
GENERAL SAAVEDRA,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2013-12-01,350,350
HUACARETA,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2013-12-01,60,60
MACHARETI,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2013-12-01,675,675
MAPIRI,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2013-12-01,239,239
MONTEAGUDO,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2013-12-01,2579,2579
MONTERO,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2013-12-01,140,140
OMEREQUE,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2013-12-01,145,145
PUERTO VILLARROEL,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2013-12-01,40,40
SAIPINA,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2013-12-01,854,854
SUCRE,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2013-12-01,545,545
TOMAVE,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2013-12-01,212,212
VILLA TUNARI,control vectorial de dengue,numero de viviendas evaluadas entomologicamente,2013-12-01,115,115
