,group,variable,month,NÚMERO DE ANESTESIAS LOCALES REALIZADAS CANTIDAD,NÚMERO DE ANESTESIAS LOCALES REALIZADAS CANTIDAD,TOTALES,TOTALES,TOTALES
SUCRE,cirugias y anestesias,numero de anestesias locales realizadas,2024-01-01,65,194,65,194,259
TARIJA,cirugias y anestesias,numero de anestesias locales realizadas,2024-01-01,51,94,51,94,145
TIQUIPAYA,cirugias y anestesias,numero de anestesias locales realizadas,2024-01-01,2,19,2,19,21
TRINIDAD,cirugias y anestesias,numero de anestesias locales realizadas,2024-01-01,5,7,5,7,12
UNCIA,cirugias y anestesias,numero de anestesias locales realizadas,2024-01-01,1,1,1,1,2
UYUNI,cirugias y anestesias,numero de anestesias locales realizadas,2024-01-01,6,4,6,4,10
VIACHA,cirugias y anestesias,numero de anestesias locales realizadas,2024-01-01,8,15,8,15,23
VILLA CHARCAS,cirugias y anestesias,numero de anestesias locales realizadas,2024-01-01,0,3,0,3,3
VILLA MONTES,cirugias y anestesias,numero de anestesias locales realizadas,2024-01-01,1,1,1,1,2
VILLA TUNARI,cirugias y anestesias,numero de anestesias locales realizadas,2024-01-01,2,6,2,6,8
VINTO,cirugias y anestesias,numero de anestesias locales realizadas,2024-01-01,11,22,11,22,33
YACUIBA,cirugias y anestesias,numero de anestesias locales realizadas,2024-01-01,2,3,2,3,5
AIQUILE,cirugias y anestesias,numero de anestesias locales realizadas,2024-02-01,1,0,1,0,1
ASCENCION DE GUARAYOS,cirugias y anestesias,numero de anestesias locales realizadas,2024-02-01,31,9,31,9,40
BERMEJO,cirugias y anestesias,numero de anestesias locales realizadas,2024-02-01,2,0,2,0,2
CABEZAS,cirugias y anestesias,numero de anestesias locales realizadas,2024-02-01,0,1,0,1,1
CAMARGO,cirugias y anestesias,numero de anestesias locales realizadas,2024-02-01,1,4,1,4,5
CAMIRI,cirugias y anestesias,numero de anestesias locales realizadas,2024-02-01,2,0,2,0,2
CARACOLLO,cirugias y anestesias,numero de anestesias locales realizadas,2024-02-01,7,2,7,2,9
CARANAVI,cirugias y anestesias,numero de anestesias locales realizadas,2024-02-01,3,1,3,1,4
CHALLAPATA,cirugias y anestesias,numero de anestesias locales realizadas,2024-02-01,1,0,1,0,1
CHARAGUA,cirugias y anestesias,numero de anestesias locales realizadas,2024-02-01,2,18,2,18,20
COBIJA,cirugias y anestesias,numero de anestesias locales realizadas,2024-02-01,13,21,13,21,34
COCHABAMBA,cirugias y anestesias,numero de anestesias locales realizadas,2024-02-01,350,526,350,526,876
COLCAPIRHUA,cirugias y anestesias,numero de anestesias locales realizadas,2024-02-01,0,14,0,14,14
CORQUE,cirugias y anestesias,numero de anestesias locales realizadas,2024-02-01,0,2,0,2,2
COTAGAITA,cirugias y anestesias,numero de anestesias locales realizadas,2024-02-01,3,2,3,2,5
COTOCA,cirugias y anestesias,numero de anestesias locales realizadas,2024-02-01,6,3,6,3,9
CUATRO CAÑADAS,cirugias y anestesias,numero de anestesias locales realizadas,2024-02-01,0,4,0,4,4
EL ALTO,cirugias y anestesias,numero de anestesias locales realizadas,2024-02-01,75,51,75,51,126
EL TORNO,cirugias y anestesias,numero de anestesias locales realizadas,2024-02-01,1,2,1,2,3
ESCOMA,cirugias y anestesias,numero de anestesias locales realizadas,2024-02-01,0,1,0,1,1
GUAYARAMERIN,cirugias y anestesias,numero de anestesias locales realizadas,2024-02-01,1,2,1,2,3
HUANUNI,cirugias y anestesias,numero de anestesias locales realizadas,2024-02-01,14,4,14,4,18
INQUISIVI,cirugias y anestesias,numero de anestesias locales realizadas,2024-02-01,2,1,2,1,3
LA PAZ,cirugias y anestesias,numero de anestesias locales realizadas,2024-02-01,207,291,207,291,498
MACHARETI,cirugias y anestesias,numero de anestesias locales realizadas,2024-02-01,3,0,3,0,3
MAIRANA,cirugias y anestesias,numero de anestesias locales realizadas,2024-02-01,0,5,0,5,5
MONTEAGUDO,cirugias y anestesias,numero de anestesias locales realizadas,2024-02-01,1,0,1,0,1
MONTERO,cirugias y anestesias,numero de anestesias locales realizadas,2024-02-01,6,9,6,9,15
ORURO,cirugias y anestesias,numero de anestesias locales realizadas,2024-02-01,79,138,79,138,217
PADILLA,cirugias y anestesias,numero de anestesias locales realizadas,2024-02-01,2,2,2,2,4
PALCA,cirugias y anestesias,numero de anestesias locales realizadas,2024-02-01,0,2,0,2,2
PATACAMAYA,cirugias y anestesias,numero de anestesias locales realizadas,2024-02-01,0,2,0,2,2
PORTACHUELO,cirugias y anestesias,numero de anestesias locales realizadas,2024-02-01,7,3,7,3,10
POTOSI,cirugias y anestesias,numero de anestesias locales realizadas,2024-02-01,54,68,54,68,122
PUCARANI,cirugias y anestesias,numero de anestesias locales realizadas,2024-02-01,0,1,0,1,1
PUERTO QUIJARRO,cirugias y anestesias,numero de anestesias locales realizadas,2024-02-01,2,16,2,16,18
PUERTO VILLARROEL,cirugias y anestesias,numero de anestesias locales realizadas,2024-02-01,9,14,9,14,23
PUNATA,cirugias y anestesias,numero de anestesias locales realizadas,2024-02-01,0,15,0,15,15
QUILLACOLLO,cirugias y anestesias,numero de anestesias locales realizadas,2024-02-01,38,166,38,166,204
REYES,cirugias y anestesias,numero de anestesias locales realizadas,2024-02-01,9,26,9,26,35
RIBERALTA,cirugias y anestesias,numero de anestesias locales realizadas,2024-02-01,10,12,10,12,22
RURRENABAQUE,cirugias y anestesias,numero de anestesias locales realizadas,2024-02-01,3,2,3,2,5
SACABA,cirugias y anestesias,numero de anestesias locales realizadas,2024-02-01,12,11,12,11,23
SAN BORJA,cirugias y anestesias,numero de anestesias locales realizadas,2024-02-01,18,37,18,37,55
SAN IGNACIO,cirugias y anestesias,numero de anestesias locales realizadas,2024-02-01,3,4,3,4,7
SAN JAVIER(STC),cirugias y anestesias,numero de anestesias locales realizadas,2024-02-01,2,2,2,2,4
SAN JULIAN,cirugias y anestesias,numero de anestesias locales realizadas,2024-02-01,12,7,12,7,19
SAN LUCAS,cirugias y anestesias,numero de anestesias locales realizadas,2024-02-01,4,15,4,15,19
SANTA CRUZ DE LA SIERRA,cirugias y anestesias,numero de anestesias locales realizadas,2024-02-01,609,790,609,790,1399
SOPACHUY,cirugias y anestesias,numero de anestesias locales realizadas,2024-02-01,2,3,2,3,5
SUCRE,cirugias y anestesias,numero de anestesias locales realizadas,2024-02-01,75,164,75,164,239
TARIJA,cirugias y anestesias,numero de anestesias locales realizadas,2024-02-01,52,72,52,72,124
TIQUIPAYA,cirugias y anestesias,numero de anestesias locales realizadas,2024-02-01,2,16,2,16,18
TRINIDAD,cirugias y anestesias,numero de anestesias locales realizadas,2024-02-01,16,18,16,18,34
UYUNI,cirugias y anestesias,numero de anestesias locales realizadas,2024-02-01,1,6,1,6,7
VALLEGRANDE,cirugias y anestesias,numero de anestesias locales realizadas,2024-02-01,4,19,4,19,23
VIACHA,cirugias y anestesias,numero de anestesias locales realizadas,2024-02-01,5,7,5,7,12
VILLA CHARCAS,cirugias y anestesias,numero de anestesias locales realizadas,2024-02-01,0,1,0,1,1
VILLA MONTES,cirugias y anestesias,numero de anestesias locales realizadas,2024-02-01,0,1,0,1,1
VILLA TUNARI,cirugias y anestesias,numero de anestesias locales realizadas,2024-02-01,30,47,30,47,77
VILLA VACA GUZMAN (MUYUPAMPA),cirugias y anestesias,numero de anestesias locales realizadas,2024-02-01,1,2,1,2,3
VILLAZON,cirugias y anestesias,numero de anestesias locales realizadas,2024-02-01,1,1,1,1,2
VINTO,cirugias y anestesias,numero de anestesias locales realizadas,2024-02-01,11,24,11,24,35
WARNES,cirugias y anestesias,numero de anestesias locales realizadas,2024-02-01,0,24,0,24,24
YACUIBA,cirugias y anestesias,numero de anestesias locales realizadas,2024-02-01,2,1,2,1,3
ACHACACHI,cirugias y anestesias,numero de anestesias locales realizadas,2024-03-01,4,3,4,3,7
AIQUILE,cirugias y anestesias,numero de anestesias locales realizadas,2024-03-01,1,1,1,1,2
ASCENCION DE GUARAYOS,cirugias y anestesias,numero de anestesias locales realizadas,2024-03-01,48,13,48,13,61
ATOCHA,cirugias y anestesias,numero de anestesias locales realizadas,2024-03-01,1,2,1,2,3
CAMARGO,cirugias y anestesias,numero de anestesias locales realizadas,2024-03-01,3,2,3,2,5
CAMIRI,cirugias y anestesias,numero de anestesias locales realizadas,2024-03-01,1,3,1,3,4
CARACOLLO,cirugias y anestesias,numero de anestesias locales realizadas,2024-03-01,8,11,8,11,19
CARANAVI,cirugias y anestesias,numero de anestesias locales realizadas,2024-03-01,1,0,1,0,1
CHALLAPATA,cirugias y anestesias,numero de anestesias locales realizadas,2024-03-01,1,1,1,1,2
CHARAGUA,cirugias y anestesias,numero de anestesias locales realizadas,2024-03-01,0,1,0,1,1
COBIJA,cirugias y anestesias,numero de anestesias locales realizadas,2024-03-01,27,33,27,33,60
COCHABAMBA,cirugias y anestesias,numero de anestesias locales realizadas,2024-03-01,330,481,330,481,811
COLCAPIRHUA,cirugias y anestesias,numero de anestesias locales realizadas,2024-03-01,1,18,1,18,19
CONCEPCION,cirugias y anestesias,numero de anestesias locales realizadas,2024-03-01,13,0,13,0,13
COROICO,cirugias y anestesias,numero de anestesias locales realizadas,2024-03-01,2,3,2,3,5
COTAGAITA,cirugias y anestesias,numero de anestesias locales realizadas,2024-03-01,4,4,4,4,8
COTOCA,cirugias y anestesias,numero de anestesias locales realizadas,2024-03-01,3,5,3,5,8
EL ALTO,cirugias y anestesias,numero de anestesias locales realizadas,2024-03-01,75,87,75,87,162
EL TORNO,cirugias y anestesias,numero de anestesias locales realizadas,2024-03-01,1,2,1,2,3
ESCOMA,cirugias y anestesias,numero de anestesias locales realizadas,2024-03-01,1,2,1,2,3
GUAYARAMERIN,cirugias y anestesias,numero de anestesias locales realizadas,2024-03-01,3,3,3,3,6
HUACARAJE,cirugias y anestesias,numero de anestesias locales realizadas,2024-03-01,3,1,3,1,4
HUACARETA,cirugias y anestesias,numero de anestesias locales realizadas,2024-03-01,0,3,0,3,3
HUANUNI,cirugias y anestesias,numero de anestesias locales realizadas,2024-03-01,21,9,21,9,30
JESUS DE MACHACA,cirugias y anestesias,numero de anestesias locales realizadas,2024-03-01,1,1,1,1,2
LA PAZ,cirugias y anestesias,numero de anestesias locales realizadas,2024-03-01,173,246,173,246,419
LLALLAGUA,cirugias y anestesias,numero de anestesias locales realizadas,2024-03-01,1,3,1,3,4
MACHARETI,cirugias y anestesias,numero de anestesias locales realizadas,2024-03-01,1,2,1,2,3
MAGDALENA,cirugias y anestesias,numero de anestesias locales realizadas,2024-03-01,7,4,7,4,11
MAIRANA,cirugias y anestesias,numero de anestesias locales realizadas,2024-03-01,0,11,0,11,11
MIZQUE,cirugias y anestesias,numero de anestesias locales realizadas,2024-03-01,0,1,0,1,1
MONTEAGUDO,cirugias y anestesias,numero de anestesias locales realizadas,2024-03-01,8,2,8,2,10
MONTERO,cirugias y anestesias,numero de anestesias locales realizadas,2024-03-01,18,25,18,25,43
ORURO,cirugias y anestesias,numero de anestesias locales realizadas,2024-03-01,73,77,73,77,150
PADILLA,cirugias y anestesias,numero de anestesias locales realizadas,2024-03-01,1,1,1,1,2
PORTACHUELO,cirugias y anestesias,numero de anestesias locales realizadas,2024-03-01,3,10,3,10,13
POTOSI,cirugias y anestesias,numero de anestesias locales realizadas,2024-03-01,65,89,65,89,154
PUERTO QUIJARRO,cirugias y anestesias,numero de anestesias locales realizadas,2024-03-01,12,10,12,10,22
PUERTO SUAREZ,cirugias y anestesias,numero de anestesias locales realizadas,2024-03-01,1,2,1,2,3
PUERTO VILLARROEL,cirugias y anestesias,numero de anestesias locales realizadas,2024-03-01,11,8,11,8,19
PUNATA,cirugias y anestesias,numero de anestesias locales realizadas,2024-03-01,12,33,12,33,45
QUILLACOLLO,cirugias y anestesias,numero de anestesias locales realizadas,2024-03-01,31,182,31,182,213
RIBERALTA,cirugias y anestesias,numero de anestesias locales realizadas,2024-03-01,24,144,24,144,168
ROBORE,cirugias y anestesias,numero de anestesias locales realizadas,2024-03-01,1,0,1,0,1
RURRENABAQUE,cirugias y anestesias,numero de anestesias locales realizadas,2024-03-01,4,6,4,6,10
SACABA,cirugias y anestesias,numero de anestesias locales realizadas,2024-03-01,8,5,8,5,13
SAN BORJA,cirugias y anestesias,numero de anestesias locales realizadas,2024-03-01,36,52,36,52,88
SAN BUENA VENTURA,cirugias y anestesias,numero de anestesias locales realizadas,2024-03-01,1,0,1,0,1
SAN IGNACIO,cirugias y anestesias,numero de anestesias locales realizadas,2024-03-01,1,2,1,2,3
SAN IGNACIO DE VELASCO,cirugias y anestesias,numero de anestesias locales realizadas,2024-03-01,10,7,10,7,17
SAN JULIAN,cirugias y anestesias,numero de anestesias locales realizadas,2024-03-01,3,14,3,14,17
SAN LUCAS,cirugias y anestesias,numero de anestesias locales realizadas,2024-03-01,2,10,2,10,12
SAN MATIAS,cirugias y anestesias,numero de anestesias locales realizadas,2024-03-01,6,1,6,1,7
SANTA CRUZ DE LA SIERRA,cirugias y anestesias,numero de anestesias locales realizadas,2024-03-01,325,499,325,499,824
SUCRE,cirugias y anestesias,numero de anestesias locales realizadas,2024-03-01,94,241,94,241,335
TARABUCO,cirugias y anestesias,numero de anestesias locales realizadas,2024-03-01,1,20,1,20,21
TARIJA,cirugias y anestesias,numero de anestesias locales realizadas,2024-03-01,38,66,38,66,104
TIQUIPAYA,cirugias y anestesias,numero de anestesias locales realizadas,2024-03-01,0,19,0,19,19
TRINIDAD,cirugias y anestesias,numero de anestesias locales realizadas,2024-03-01,17,18,17,18,35
TUPIZA,cirugias y anestesias,numero de anestesias locales realizadas,2024-03-01,5,8,5,8,13
UYUNI,cirugias y anestesias,numero de anestesias locales realizadas,2024-03-01,9,1,9,1,10
VALLEGRANDE,cirugias y anestesias,numero de anestesias locales realizadas,2024-03-01,4,11,4,11,15
VIACHA,cirugias y anestesias,numero de anestesias locales realizadas,2024-03-01,5,8,5,8,13
VILLA TUNARI,cirugias y anestesias,numero de anestesias locales realizadas,2024-03-01,1,8,1,8,9
VILLA VACA GUZMAN (MUYUPAMPA),cirugias y anestesias,numero de anestesias locales realizadas,2024-03-01,1,0,1,0,1
VILLAZON,cirugias y anestesias,numero de anestesias locales realizadas,2024-03-01,2,1,2,1,3
VINTO,cirugias y anestesias,numero de anestesias locales realizadas,2024-03-01,10,16,10,16,26
WARNES,cirugias y anestesias,numero de anestesias locales realizadas,2024-03-01,13,66,13,66,79
YACUIBA,cirugias y anestesias,numero de anestesias locales realizadas,2024-03-01,34,87,34,87,121
YAPACANI,cirugias y anestesias,numero de anestesias locales realizadas,2024-03-01,13,7,13,7,20
AIQUILE,cirugias y anestesias,numero de anestesias locales realizadas,2024-04-01,0,1,0,1,1
ANZALDO,cirugias y anestesias,numero de anestesias locales realizadas,2024-04-01,1,2,1,2,3
ASCENCION DE GUARAYOS,cirugias y anestesias,numero de anestesias locales realizadas,2024-04-01,34,22,34,22,56
ATOCHA,cirugias y anestesias,numero de anestesias locales realizadas,2024-04-01,0,1,0,1,1
BERMEJO,cirugias y anestesias,numero de anestesias locales realizadas,2024-04-01,1,0,1,0,1
CAJUATA,cirugias y anestesias,numero de anestesias locales realizadas,2024-04-01,5,9,5,9,14
CAMARGO,cirugias y anestesias,numero de anestesias locales realizadas,2024-04-01,2,4,2,4,6
CARACOLLO,cirugias y anestesias,numero de anestesias locales realizadas,2024-04-01,6,8,6,8,14
CHALLAPATA,cirugias y anestesias,numero de anestesias locales realizadas,2024-04-01,6,0,6,0,6
COBIJA,cirugias y anestesias,numero de anestesias locales realizadas,2024-04-01,23,31,23,31,54
COCHABAMBA,cirugias y anestesias,numero de anestesias locales realizadas,2024-04-01,237,362,237,362,599
COLCAPIRHUA,cirugias y anestesias,numero de anestesias locales realizadas,2024-04-01,0,19,0,19,19
COMARAPA,cirugias y anestesias,numero de anestesias locales realizadas,2024-04-01,3,0,3,0,3
CONCEPCION,cirugias y anestesias,numero de anestesias locales realizadas,2024-04-01,30,18,30,18,48
CORQUE,cirugias y anestesias,numero de anestesias locales realizadas,2024-04-01,0,1,0,1,1
COTAGAITA,cirugias y anestesias,numero de anestesias locales realizadas,2024-04-01,2,6,2,6,8
COTOCA,cirugias y anestesias,numero de anestesias locales realizadas,2024-04-01,6,5,6,5,11
CUATRO CAÑADAS,cirugias y anestesias,numero de anestesias locales realizadas,2024-04-01,1,1,1,1,2
CURAHUARA DE CARANGAS,cirugias y anestesias,numero de anestesias locales realizadas,2024-04-01,0,1,0,1,1
EL ALTO,cirugias y anestesias,numero de anestesias locales realizadas,2024-04-01,56,47,56,47,103
EL TORNO,cirugias y anestesias,numero de anestesias locales realizadas,2024-04-01,1,0,1,0,1
GUAYARAMERIN,cirugias y anestesias,numero de anestesias locales realizadas,2024-04-01,4,3,4,3,7
HUACARAJE,cirugias y anestesias,numero de anestesias locales realizadas,2024-04-01,5,0,5,0,5
HUACARETA,cirugias y anestesias,numero de anestesias locales realizadas,2024-04-01,0,2,0,2,2
HUANUNI,cirugias y anestesias,numero de anestesias locales realizadas,2024-04-01,8,9,8,9,17
INQUISIVI,cirugias y anestesias,numero de anestesias locales realizadas,2024-04-01,5,0,5,0,5
JESUS DE MACHACA,cirugias y anestesias,numero de anestesias locales realizadas,2024-04-01,0,1,0,1,1
LA PAZ,cirugias y anestesias,numero de anestesias locales realizadas,2024-04-01,211,333,211,333,544
LAGUNILLAS,cirugias y anestesias,numero de anestesias locales realizadas,2024-04-01,2,1,2,1,3
LLALLAGUA,cirugias y anestesias,numero de anestesias locales realizadas,2024-04-01,1,0,1,0,1
MACHARETI,cirugias y anestesias,numero de anestesias locales realizadas,2024-04-01,1,0,1,0,1
MAGDALENA,cirugias y anestesias,numero de anestesias locales realizadas,2024-04-01,7,5,7,5,12
MAIRANA,cirugias y anestesias,numero de anestesias locales realizadas,2024-04-01,0,7,0,7,7
MONTEAGUDO,cirugias y anestesias,numero de anestesias locales realizadas,2024-04-01,1,2,1,2,3
MONTERO,cirugias y anestesias,numero de anestesias locales realizadas,2024-04-01,19,7,19,7,26
ORURO,cirugias y anestesias,numero de anestesias locales realizadas,2024-04-01,122,136,122,136,258
PADILLA,cirugias y anestesias,numero de anestesias locales realizadas,2024-04-01,0,1,0,1,1
PATACAMAYA,cirugias y anestesias,numero de anestesias locales realizadas,2024-04-01,1,0,1,0,1
PORTACHUELO,cirugias y anestesias,numero de anestesias locales realizadas,2024-04-01,4,8,4,8,12
POTOSI,cirugias y anestesias,numero de anestesias locales realizadas,2024-04-01,67,114,67,114,181
PUERTO QUIJARRO,cirugias y anestesias,numero de anestesias locales realizadas,2024-04-01,0,13,0,13,13
PUERTO SUAREZ,cirugias y anestesias,numero de anestesias locales realizadas,2024-04-01,6,19,6,19,25
PUERTO VILLARROEL,cirugias y anestesias,numero de anestesias locales realizadas,2024-04-01,15,12,15,12,27
PUNATA,cirugias y anestesias,numero de anestesias locales realizadas,2024-04-01,5,21,5,21,26
QUILLACOLLO,cirugias y anestesias,numero de anestesias locales realizadas,2024-04-01,23,135,23,135,158
RIBERALTA,cirugias y anestesias,numero de anestesias locales realizadas,2024-04-01,6,11,6,11,17
ROBORE,cirugias y anestesias,numero de anestesias locales realizadas,2024-04-01,5,2,5,2,7
RURRENABAQUE,cirugias y anestesias,numero de anestesias locales realizadas,2024-04-01,7,4,7,4,11
SACABA,cirugias y anestesias,numero de anestesias locales realizadas,2024-04-01,6,43,6,43,49
SAN BORJA,cirugias y anestesias,numero de anestesias locales realizadas,2024-04-01,34,55,34,55,89
SAN BUENA VENTURA,cirugias y anestesias,numero de anestesias locales realizadas,2024-04-01,1,5,1,5,6
SAN IGNACIO,cirugias y anestesias,numero de anestesias locales realizadas,2024-04-01,3,3,3,3,6
SAN JAVIER(STC),cirugias y anestesias,numero de anestesias locales realizadas,2024-04-01,1,3,1,3,4
SAN JULIAN,cirugias y anestesias,numero de anestesias locales realizadas,2024-04-01,21,23,21,23,44
SAN LUCAS,cirugias y anestesias,numero de anestesias locales realizadas,2024-04-01,26,28,26,28,54
SAN MATIAS,cirugias y anestesias,numero de anestesias locales realizadas,2024-04-01,4,9,4,9,13
SANTA ANA,cirugias y anestesias,numero de anestesias locales realizadas,2024-04-01,0,2,0,2,2
SANTA CRUZ DE LA SIERRA,cirugias y anestesias,numero de anestesias locales realizadas,2024-04-01,300,483,300,483,783
SOPACHUY,cirugias y anestesias,numero de anestesias locales realizadas,2024-04-01,1,4,1,4,5
SUCRE,cirugias y anestesias,numero de anestesias locales realizadas,2024-04-01,109,230,109,230,339
TARIJA,cirugias y anestesias,numero de anestesias locales realizadas,2024-04-01,46,80,46,80,126
TARVITA,cirugias y anestesias,numero de anestesias locales realizadas,2024-04-01,0,1,0,1,1
TIQUIPAYA,cirugias y anestesias,numero de anestesias locales realizadas,2024-04-01,0,19,0,19,19
TOMINA,cirugias y anestesias,numero de anestesias locales realizadas,2024-04-01,0,2,0,2,2
TRINIDAD,cirugias y anestesias,numero de anestesias locales realizadas,2024-04-01,28,42,28,42,70
TUPIZA,cirugias y anestesias,numero de anestesias locales realizadas,2024-04-01,1,0,1,0,1
UYUNI,cirugias y anestesias,numero de anestesias locales realizadas,2024-04-01,4,4,4,4,8
VALLEGRANDE,cirugias y anestesias,numero de anestesias locales realizadas,2024-04-01,2,6,2,6,8
VIACHA,cirugias y anestesias,numero de anestesias locales realizadas,2024-04-01,5,12,5,12,17
VILLA MONTES,cirugias y anestesias,numero de anestesias locales realizadas,2024-04-01,1,1,1,1,2
VILLA SERRANO,cirugias y anestesias,numero de anestesias locales realizadas,2024-04-01,9,2,9,2,11
VILLA TUNARI,cirugias y anestesias,numero de anestesias locales realizadas,2024-04-01,7,4,7,4,11
VILLA VACA GUZMAN (MUYUPAMPA),cirugias y anestesias,numero de anestesias locales realizadas,2024-04-01,4,0,4,0,4
VILLAZON,cirugias y anestesias,numero de anestesias locales realizadas,2024-04-01,1,1,1,1,2
VINTO,cirugias y anestesias,numero de anestesias locales realizadas,2024-04-01,6,20,6,20,26
WARNES,cirugias y anestesias,numero de anestesias locales realizadas,2024-04-01,10,74,10,74,84
YACUIBA,cirugias y anestesias,numero de anestesias locales realizadas,2024-04-01,8,10,8,10,18
AIQUILE,cirugias y anestesias,numero de anestesias locales realizadas,2024-05-01,0,1,0,1,1
ANZALDO,cirugias y anestesias,numero de anestesias locales realizadas,2024-05-01,2,2,2,2,4
ASCENCION DE GUARAYOS,cirugias y anestesias,numero de anestesias locales realizadas,2024-05-01,23,35,23,35,58
BERMEJO,cirugias y anestesias,numero de anestesias locales realizadas,2024-05-01,0,1,0,1,1
CABEZAS,cirugias y anestesias,numero de anestesias locales realizadas,2024-05-01,3,2,3,2,5
CAMARGO,cirugias y anestesias,numero de anestesias locales realizadas,2024-05-01,0,2,0,2,2
CAMIRI,cirugias y anestesias,numero de anestesias locales realizadas,2024-05-01,1,2,1,2,3
CARACOLLO,cirugias y anestesias,numero de anestesias locales realizadas,2024-05-01,10,8,10,8,18
CARANAVI,cirugias y anestesias,numero de anestesias locales realizadas,2024-05-01,19,3,19,3,22
CHALLAPATA,cirugias y anestesias,numero de anestesias locales realizadas,2024-05-01,3,1,3,1,4
COBIJA,cirugias y anestesias,numero de anestesias locales realizadas,2024-05-01,21,26,21,26,47
COCHABAMBA,cirugias y anestesias,numero de anestesias locales realizadas,2024-05-01,222,392,222,392,614
COLCAPIRHUA,cirugias y anestesias,numero de anestesias locales realizadas,2024-05-01,0,14,0,14,14
