,group,variable,month,NÚMERO DE CIRUGIAS MENORES REALIZADAS CANTIDAD,NÚMERO DE CIRUGIAS MENORES REALIZADAS CANTIDAD,TOTALES,TOTALES,TOTALES
SAN IGNACIO DE VELASCO,cirugias y anestesias,numero de cirugias menores realizadas,2024-01-01,1,0,1,0,1
SAN LUCAS,cirugias y anestesias,numero de cirugias menores realizadas,2024-01-01,3,14,3,14,17
SANTA CRUZ DE LA SIERRA,cirugias y anestesias,numero de cirugias menores realizadas,2024-01-01,327,504,327,504,831
SANTA ROSA,cirugias y anestesias,numero de cirugias menores realizadas,2024-01-01,1,1,1,1,2
SOPACHUY,cirugias y anestesias,numero de cirugias menores realizadas,2024-01-01,4,7,4,7,11
SUCRE,cirugias y anestesias,numero de cirugias menores realizadas,2024-01-01,99,288,99,288,387
TARIJA,cirugias y anestesias,numero de cirugias menores realizadas,2024-01-01,63,97,63,97,160
TIQUIPAYA,cirugias y anestesias,numero de cirugias menores realizadas,2024-01-01,2,19,2,19,21
TRINIDAD,cirugias y anestesias,numero de cirugias menores realizadas,2024-01-01,68,102,68,102,170
UNCIA,cirugias y anestesias,numero de cirugias menores realizadas,2024-01-01,1,1,1,1,2
UYUNI,cirugias y anestesias,numero de cirugias menores realizadas,2024-01-01,5,14,5,14,19
VIACHA,cirugias y anestesias,numero de cirugias menores realizadas,2024-01-01,8,17,8,17,25
VILLA MONTES,cirugias y anestesias,numero de cirugias menores realizadas,2024-01-01,3,2,3,2,5
VILLA TUNARI,cirugias y anestesias,numero de cirugias menores realizadas,2024-01-01,3,16,3,16,19
VINTO,cirugias y anestesias,numero de cirugias menores realizadas,2024-01-01,11,22,11,22,33
YACUIBA,cirugias y anestesias,numero de cirugias menores realizadas,2024-01-01,3,3,3,3,6
AIQUILE,cirugias y anestesias,numero de cirugias menores realizadas,2024-02-01,1,0,1,0,1
ASCENCION DE GUARAYOS,cirugias y anestesias,numero de cirugias menores realizadas,2024-02-01,31,9,31,9,40
CAMARGO,cirugias y anestesias,numero de cirugias menores realizadas,2024-02-01,1,4,1,4,5
CAMIRI,cirugias y anestesias,numero de cirugias menores realizadas,2024-02-01,2,0,2,0,2
CARACOLLO,cirugias y anestesias,numero de cirugias menores realizadas,2024-02-01,7,2,7,2,9
CARANAVI,cirugias y anestesias,numero de cirugias menores realizadas,2024-02-01,3,1,3,1,4
CHALLAPATA,cirugias y anestesias,numero de cirugias menores realizadas,2024-02-01,1,0,1,0,1
CHARAGUA,cirugias y anestesias,numero de cirugias menores realizadas,2024-02-01,2,18,2,18,20
CLIZA,cirugias y anestesias,numero de cirugias menores realizadas,2024-02-01,0,4,0,4,4
COBIJA,cirugias y anestesias,numero de cirugias menores realizadas,2024-02-01,12,20,12,20,32
COCHABAMBA,cirugias y anestesias,numero de cirugias menores realizadas,2024-02-01,338,526,338,526,864
COLCAPIRHUA,cirugias y anestesias,numero de cirugias menores realizadas,2024-02-01,0,14,0,14,14
CORQUE,cirugias y anestesias,numero de cirugias menores realizadas,2024-02-01,0,2,0,2,2
COTAGAITA,cirugias y anestesias,numero de cirugias menores realizadas,2024-02-01,3,2,3,2,5
COTOCA,cirugias y anestesias,numero de cirugias menores realizadas,2024-02-01,6,3,6,3,9
CUATRO CAÑADAS,cirugias y anestesias,numero de cirugias menores realizadas,2024-02-01,0,4,0,4,4
EL ALTO,cirugias y anestesias,numero de cirugias menores realizadas,2024-02-01,87,90,87,90,177
EL TORNO,cirugias y anestesias,numero de cirugias menores realizadas,2024-02-01,1,2,1,2,3
ESCOMA,cirugias y anestesias,numero de cirugias menores realizadas,2024-02-01,0,1,0,1,1
GUAYARAMERIN,cirugias y anestesias,numero de cirugias menores realizadas,2024-02-01,3,2,3,2,5
HUANUNI,cirugias y anestesias,numero de cirugias menores realizadas,2024-02-01,16,7,16,7,23
LA GUARDIA,cirugias y anestesias,numero de cirugias menores realizadas,2024-02-01,8,30,8,30,38
LA PAZ,cirugias y anestesias,numero de cirugias menores realizadas,2024-02-01,307,480,307,480,787
LLALLAGUA,cirugias y anestesias,numero de cirugias menores realizadas,2024-02-01,5,25,5,25,30
MAIRANA,cirugias y anestesias,numero de cirugias menores realizadas,2024-02-01,0,5,0,5,5
MONTEAGUDO,cirugias y anestesias,numero de cirugias menores realizadas,2024-02-01,2,6,2,6,8
MONTERO,cirugias y anestesias,numero de cirugias menores realizadas,2024-02-01,8,8,8,8,16
ORURO,cirugias y anestesias,numero de cirugias menores realizadas,2024-02-01,81,181,81,181,262
PADILLA,cirugias y anestesias,numero de cirugias menores realizadas,2024-02-01,4,6,4,6,10
PORTACHUELO,cirugias y anestesias,numero de cirugias menores realizadas,2024-02-01,7,3,7,3,10
POTOSI,cirugias y anestesias,numero de cirugias menores realizadas,2024-02-01,46,72,46,72,118
PUCARANI,cirugias y anestesias,numero de cirugias menores realizadas,2024-02-01,0,1,0,1,1
PUERTO QUIJARRO,cirugias y anestesias,numero de cirugias menores realizadas,2024-02-01,1,0,1,0,1
PUERTO VILLARROEL,cirugias y anestesias,numero de cirugias menores realizadas,2024-02-01,10,14,10,14,24
PUNATA,cirugias y anestesias,numero de cirugias menores realizadas,2024-02-01,0,15,0,15,15
QUILLACOLLO,cirugias y anestesias,numero de cirugias menores realizadas,2024-02-01,38,166,38,166,204
REYES,cirugias y anestesias,numero de cirugias menores realizadas,2024-02-01,9,26,9,26,35
RIBERALTA,cirugias y anestesias,numero de cirugias menores realizadas,2024-02-01,14,14,14,14,28
ROBORE,cirugias y anestesias,numero de cirugias menores realizadas,2024-02-01,3,0,3,0,3
RURRENABAQUE,cirugias y anestesias,numero de cirugias menores realizadas,2024-02-01,3,2,3,2,5
SACABA,cirugias y anestesias,numero de cirugias menores realizadas,2024-02-01,4,12,4,12,16
SAN BORJA,cirugias y anestesias,numero de cirugias menores realizadas,2024-02-01,19,35,19,35,54
SAN IGNACIO,cirugias y anestesias,numero de cirugias menores realizadas,2024-02-01,3,4,3,4,7
SAN JAVIER(STC),cirugias y anestesias,numero de cirugias menores realizadas,2024-02-01,2,2,2,2,4
SAN JULIAN,cirugias y anestesias,numero de cirugias menores realizadas,2024-02-01,5,2,5,2,7
SAN LUCAS,cirugias y anestesias,numero de cirugias menores realizadas,2024-02-01,4,15,4,15,19
SANTA CRUZ DE LA SIERRA,cirugias y anestesias,numero de cirugias menores realizadas,2024-02-01,707,925,707,925,1632
SOPACHUY,cirugias y anestesias,numero de cirugias menores realizadas,2024-02-01,2,3,2,3,5
SUCRE,cirugias y anestesias,numero de cirugias menores realizadas,2024-02-01,108,242,108,242,350
TARIJA,cirugias y anestesias,numero de cirugias menores realizadas,2024-02-01,65,111,65,111,176
TIQUIPAYA,cirugias y anestesias,numero de cirugias menores realizadas,2024-02-01,2,16,2,16,18
TRINIDAD,cirugias y anestesias,numero de cirugias menores realizadas,2024-02-01,36,30,36,30,66
UYUNI,cirugias y anestesias,numero de cirugias menores realizadas,2024-02-01,1,9,1,9,10
VALLEGRANDE,cirugias y anestesias,numero de cirugias menores realizadas,2024-02-01,5,23,5,23,28
VIACHA,cirugias y anestesias,numero de cirugias menores realizadas,2024-02-01,5,5,5,5,10
VILLA MONTES,cirugias y anestesias,numero de cirugias menores realizadas,2024-02-01,1,2,1,2,3
VILLA TUNARI,cirugias y anestesias,numero de cirugias menores realizadas,2024-02-01,10,17,10,17,27
VILLA VACA GUZMAN (MUYUPAMPA),cirugias y anestesias,numero de cirugias menores realizadas,2024-02-01,1,2,1,2,3
VILLAZON,cirugias y anestesias,numero de cirugias menores realizadas,2024-02-01,1,1,1,1,2
VINTO,cirugias y anestesias,numero de cirugias menores realizadas,2024-02-01,11,24,11,24,35
WARNES,cirugias y anestesias,numero de cirugias menores realizadas,2024-02-01,13,30,13,30,43
YACUIBA,cirugias y anestesias,numero de cirugias menores realizadas,2024-02-01,2,19,2,19,21
ACHACACHI,cirugias y anestesias,numero de cirugias menores realizadas,2024-03-01,2,16,2,16,18
AIQUILE,cirugias y anestesias,numero de cirugias menores realizadas,2024-03-01,1,0,1,0,1
ASCENCION DE GUARAYOS,cirugias y anestesias,numero de cirugias menores realizadas,2024-03-01,48,14,48,14,62
ATOCHA,cirugias y anestesias,numero de cirugias menores realizadas,2024-03-01,2,2,2,2,4
CAMARGO,cirugias y anestesias,numero de cirugias menores realizadas,2024-03-01,3,2,3,2,5
CAMIRI,cirugias y anestesias,numero de cirugias menores realizadas,2024-03-01,2,6,2,6,8
CARACOLLO,cirugias y anestesias,numero de cirugias menores realizadas,2024-03-01,8,11,8,11,19
CARANAVI,cirugias y anestesias,numero de cirugias menores realizadas,2024-03-01,1,0,1,0,1
CHALLAPATA,cirugias y anestesias,numero de cirugias menores realizadas,2024-03-01,1,1,1,1,2
COBIJA,cirugias y anestesias,numero de cirugias menores realizadas,2024-03-01,28,39,28,39,67
COCHABAMBA,cirugias y anestesias,numero de cirugias menores realizadas,2024-03-01,374,569,374,569,943
COLCAPIRHUA,cirugias y anestesias,numero de cirugias menores realizadas,2024-03-01,1,18,1,18,19
CONCEPCION,cirugias y anestesias,numero de cirugias menores realizadas,2024-03-01,13,0,13,0,13
COROICO,cirugias y anestesias,numero de cirugias menores realizadas,2024-03-01,2,3,2,3,5
COTAGAITA,cirugias y anestesias,numero de cirugias menores realizadas,2024-03-01,4,4,4,4,8
COTOCA,cirugias y anestesias,numero de cirugias menores realizadas,2024-03-01,3,5,3,5,8
EL ALTO,cirugias y anestesias,numero de cirugias menores realizadas,2024-03-01,80,106,80,106,186
EL TORNO,cirugias y anestesias,numero de cirugias menores realizadas,2024-03-01,1,2,1,2,3
ESCOMA,cirugias y anestesias,numero de cirugias menores realizadas,2024-03-01,1,2,1,2,3
GUAYARAMERIN,cirugias y anestesias,numero de cirugias menores realizadas,2024-03-01,1,1,1,1,2
HUACARAJE,cirugias y anestesias,numero de cirugias menores realizadas,2024-03-01,3,1,3,1,4
HUANUNI,cirugias y anestesias,numero de cirugias menores realizadas,2024-03-01,18,7,18,7,25
JESUS DE MACHACA,cirugias y anestesias,numero de cirugias menores realizadas,2024-03-01,1,1,1,1,2
LA GUARDIA,cirugias y anestesias,numero de cirugias menores realizadas,2024-03-01,6,45,6,45,51
LA PAZ,cirugias y anestesias,numero de cirugias menores realizadas,2024-03-01,259,384,259,384,643
LLALLAGUA,cirugias y anestesias,numero de cirugias menores realizadas,2024-03-01,4,31,4,31,35
MAGDALENA,cirugias y anestesias,numero de cirugias menores realizadas,2024-03-01,7,4,7,4,11
MAIRANA,cirugias y anestesias,numero de cirugias menores realizadas,2024-03-01,0,11,0,11,11
MIZQUE,cirugias y anestesias,numero de cirugias menores realizadas,2024-03-01,0,2,0,2,2
MONTEAGUDO,cirugias y anestesias,numero de cirugias menores realizadas,2024-03-01,7,4,7,4,11
MONTERO,cirugias y anestesias,numero de cirugias menores realizadas,2024-03-01,14,15,14,15,29
ORURO,cirugias y anestesias,numero de cirugias menores realizadas,2024-03-01,58,122,58,122,180
PADILLA,cirugias y anestesias,numero de cirugias menores realizadas,2024-03-01,1,11,1,11,12
PORTACHUELO,cirugias y anestesias,numero de cirugias menores realizadas,2024-03-01,3,10,3,10,13
POTOSI,cirugias y anestesias,numero de cirugias menores realizadas,2024-03-01,117,140,117,140,257
PUERTO QUIJARRO,cirugias y anestesias,numero de cirugias menores realizadas,2024-03-01,12,10,12,10,22
PUERTO VILLARROEL,cirugias y anestesias,numero de cirugias menores realizadas,2024-03-01,12,8,12,8,20
PUNATA,cirugias y anestesias,numero de cirugias menores realizadas,2024-03-01,4,26,4,26,30
QUILLACOLLO,cirugias y anestesias,numero de cirugias menores realizadas,2024-03-01,31,182,31,182,213
RIBERALTA,cirugias y anestesias,numero de cirugias menores realizadas,2024-03-01,21,38,21,38,59
ROBORE,cirugias y anestesias,numero de cirugias menores realizadas,2024-03-01,2,5,2,5,7
RURRENABAQUE,cirugias y anestesias,numero de cirugias menores realizadas,2024-03-01,4,6,4,6,10
SACABA,cirugias y anestesias,numero de cirugias menores realizadas,2024-03-01,29,53,29,53,82
SAN BORJA,cirugias y anestesias,numero de cirugias menores realizadas,2024-03-01,14,34,14,34,48
SAN BUENA VENTURA,cirugias y anestesias,numero de cirugias menores realizadas,2024-03-01,1,1,1,1,2
SAN IGNACIO,cirugias y anestesias,numero de cirugias menores realizadas,2024-03-01,1,2,1,2,3
SAN IGNACIO DE VELASCO,cirugias y anestesias,numero de cirugias menores realizadas,2024-03-01,10,7,10,7,17
SAN JAVIER(STC),cirugias y anestesias,numero de cirugias menores realizadas,2024-03-01,1,2,1,2,3
SAN JULIAN,cirugias y anestesias,numero de cirugias menores realizadas,2024-03-01,2,12,2,12,14
SAN LUCAS,cirugias y anestesias,numero de cirugias menores realizadas,2024-03-01,2,10,2,10,12
SAN MATIAS,cirugias y anestesias,numero de cirugias menores realizadas,2024-03-01,6,1,6,1,7
SANTA CRUZ DE LA SIERRA,cirugias y anestesias,numero de cirugias menores realizadas,2024-03-01,419,602,419,602,1021
SUCRE,cirugias y anestesias,numero de cirugias menores realizadas,2024-03-01,144,302,144,302,446
TARABUCO,cirugias y anestesias,numero de cirugias menores realizadas,2024-03-01,1,20,1,20,21
TARIJA,cirugias y anestesias,numero de cirugias menores realizadas,2024-03-01,52,111,52,111,163
TIQUIPAYA,cirugias y anestesias,numero de cirugias menores realizadas,2024-03-01,4,19,4,19,23
TRINIDAD,cirugias y anestesias,numero de cirugias menores realizadas,2024-03-01,34,47,34,47,81
TUPIZA,cirugias y anestesias,numero de cirugias menores realizadas,2024-03-01,5,8,5,8,13
UYUNI,cirugias y anestesias,numero de cirugias menores realizadas,2024-03-01,10,8,10,8,18
VALLEGRANDE,cirugias y anestesias,numero de cirugias menores realizadas,2024-03-01,5,14,5,14,19
VIACHA,cirugias y anestesias,numero de cirugias menores realizadas,2024-03-01,4,9,4,9,13
VILLA MONTES,cirugias y anestesias,numero de cirugias menores realizadas,2024-03-01,0,3,0,3,3
VILLA TUNARI,cirugias y anestesias,numero de cirugias menores realizadas,2024-03-01,6,11,6,11,17
VILLA VACA GUZMAN (MUYUPAMPA),cirugias y anestesias,numero de cirugias menores realizadas,2024-03-01,1,0,1,0,1
VILLAZON,cirugias y anestesias,numero de cirugias menores realizadas,2024-03-01,2,1,2,1,3
VINTO,cirugias y anestesias,numero de cirugias menores realizadas,2024-03-01,10,16,10,16,26
WARNES,cirugias y anestesias,numero de cirugias menores realizadas,2024-03-01,4,10,4,10,14
YACUIBA,cirugias y anestesias,numero de cirugias menores realizadas,2024-03-01,35,86,35,86,121
AIQUILE,cirugias y anestesias,numero de cirugias menores realizadas,2024-04-01,0,1,0,1,1
ANZALDO,cirugias y anestesias,numero de cirugias menores realizadas,2024-04-01,1,2,1,2,3
ASCENCION DE GUARAYOS,cirugias y anestesias,numero de cirugias menores realizadas,2024-04-01,34,15,34,15,49
ATOCHA,cirugias y anestesias,numero de cirugias menores realizadas,2024-04-01,2,7,2,7,9
BERMEJO,cirugias y anestesias,numero de cirugias menores realizadas,2024-04-01,1,0,1,0,1
CAMARGO,cirugias y anestesias,numero de cirugias menores realizadas,2024-04-01,2,4,2,4,6
CARACOLLO,cirugias y anestesias,numero de cirugias menores realizadas,2024-04-01,6,8,6,8,14
CARMEN RIVERO TORREZ,cirugias y anestesias,numero de cirugias menores realizadas,2024-04-01,0,2,0,2,2
CHALLAPATA,cirugias y anestesias,numero de cirugias menores realizadas,2024-04-01,6,0,6,0,6
COBIJA,cirugias y anestesias,numero de cirugias menores realizadas,2024-04-01,25,31,25,31,56
COCHABAMBA,cirugias y anestesias,numero de cirugias menores realizadas,2024-04-01,284,396,284,396,680
COLCAPIRHUA,cirugias y anestesias,numero de cirugias menores realizadas,2024-04-01,1,18,1,18,19
COMARAPA,cirugias y anestesias,numero de cirugias menores realizadas,2024-04-01,3,0,3,0,3
CONCEPCION,cirugias y anestesias,numero de cirugias menores realizadas,2024-04-01,2,3,2,3,5
CORQUE,cirugias y anestesias,numero de cirugias menores realizadas,2024-04-01,0,1,0,1,1
COTAGAITA,cirugias y anestesias,numero de cirugias menores realizadas,2024-04-01,2,6,2,6,8
COTOCA,cirugias y anestesias,numero de cirugias menores realizadas,2024-04-01,5,7,5,7,12
CUATRO CAÑADAS,cirugias y anestesias,numero de cirugias menores realizadas,2024-04-01,1,1,1,1,2
CURAHUARA DE CARANGAS,cirugias y anestesias,numero de cirugias menores realizadas,2024-04-01,0,1,0,1,1
EL ALTO,cirugias y anestesias,numero de cirugias menores realizadas,2024-04-01,82,88,82,88,170
EL TORNO,cirugias y anestesias,numero de cirugias menores realizadas,2024-04-01,1,0,1,0,1
ESCOMA,cirugias y anestesias,numero de cirugias menores realizadas,2024-04-01,0,1,0,1,1
GUAYARAMERIN,cirugias y anestesias,numero de cirugias menores realizadas,2024-04-01,4,7,4,7,11
HUACARAJE,cirugias y anestesias,numero de cirugias menores realizadas,2024-04-01,1,0,1,0,1
HUACARETA,cirugias y anestesias,numero de cirugias menores realizadas,2024-04-01,0,2,0,2,2
HUANUNI,cirugias y anestesias,numero de cirugias menores realizadas,2024-04-01,5,8,5,8,13
JESUS DE MACHACA,cirugias y anestesias,numero de cirugias menores realizadas,2024-04-01,0,1,0,1,1
LA GUARDIA,cirugias y anestesias,numero de cirugias menores realizadas,2024-04-01,15,36,15,36,51
LA PAZ,cirugias y anestesias,numero de cirugias menores realizadas,2024-04-01,348,554,348,554,902
LLALLAGUA,cirugias y anestesias,numero de cirugias menores realizadas,2024-04-01,5,17,5,17,22
MAGDALENA,cirugias y anestesias,numero de cirugias menores realizadas,2024-04-01,7,5,7,5,12
MAIRANA,cirugias y anestesias,numero de cirugias menores realizadas,2024-04-01,0,7,0,7,7
MONTEAGUDO,cirugias y anestesias,numero de cirugias menores realizadas,2024-04-01,3,5,3,5,8
MONTERO,cirugias y anestesias,numero de cirugias menores realizadas,2024-04-01,19,7,19,7,26
ORURO,cirugias y anestesias,numero de cirugias menores realizadas,2024-04-01,80,141,80,141,221
PADILLA,cirugias y anestesias,numero de cirugias menores realizadas,2024-04-01,2,5,2,5,7
PATACAMAYA,cirugias y anestesias,numero de cirugias menores realizadas,2024-04-01,1,1,1,1,2
PORTACHUELO,cirugias y anestesias,numero de cirugias menores realizadas,2024-04-01,10,17,10,17,27
POTOSI,cirugias y anestesias,numero de cirugias menores realizadas,2024-04-01,104,196,104,196,300
PUERTO QUIJARRO,cirugias y anestesias,numero de cirugias menores realizadas,2024-04-01,0,27,0,27,27
PUERTO SUAREZ,cirugias y anestesias,numero de cirugias menores realizadas,2024-04-01,6,19,6,19,25
PUERTO VILLARROEL,cirugias y anestesias,numero de cirugias menores realizadas,2024-04-01,14,12,14,12,26
PUNATA,cirugias y anestesias,numero de cirugias menores realizadas,2024-04-01,8,23,8,23,31
QUILLACOLLO,cirugias y anestesias,numero de cirugias menores realizadas,2024-04-01,23,135,23,135,158
RIBERALTA,cirugias y anestesias,numero de cirugias menores realizadas,2024-04-01,4,14,4,14,18
ROBORE,cirugias y anestesias,numero de cirugias menores realizadas,2024-04-01,3,0,3,0,3
RURRENABAQUE,cirugias y anestesias,numero de cirugias menores realizadas,2024-04-01,7,4,7,4,11
SACABA,cirugias y anestesias,numero de cirugias menores realizadas,2024-04-01,1,42,1,42,43
SAN BORJA,cirugias y anestesias,numero de cirugias menores realizadas,2024-04-01,17,20,17,20,37
SAN BUENA VENTURA,cirugias y anestesias,numero de cirugias menores realizadas,2024-04-01,2,2,2,2,4
SAN CARLOS,cirugias y anestesias,numero de cirugias menores realizadas,2024-04-01,2,3,2,3,5
SAN IGNACIO,cirugias y anestesias,numero de cirugias menores realizadas,2024-04-01,2,2,2,2,4
SAN JAVIER(STC),cirugias y anestesias,numero de cirugias menores realizadas,2024-04-01,1,3,1,3,4
SAN JULIAN,cirugias y anestesias,numero de cirugias menores realizadas,2024-04-01,8,6,8,6,14
SAN LUCAS,cirugias y anestesias,numero de cirugias menores realizadas,2024-04-01,26,28,26,28,54
SAN MATIAS,cirugias y anestesias,numero de cirugias menores realizadas,2024-04-01,4,9,4,9,13
SANTA CRUZ DE LA SIERRA,cirugias y anestesias,numero de cirugias menores realizadas,2024-04-01,414,658,414,658,1072
SOPACHUY,cirugias y anestesias,numero de cirugias menores realizadas,2024-04-01,1,4,1,4,5
SUCRE,cirugias y anestesias,numero de cirugias menores realizadas,2024-04-01,137,294,137,294,431
TARIJA,cirugias y anestesias,numero de cirugias menores realizadas,2024-04-01,66,110,66,110,176
TARVITA,cirugias y anestesias,numero de cirugias menores realizadas,2024-04-01,0,1,0,1,1
TIQUIPAYA,cirugias y anestesias,numero de cirugias menores realizadas,2024-04-01,3,19,3,19,22
TOMINA,cirugias y anestesias,numero de cirugias menores realizadas,2024-04-01,0,2,0,2,2
TRINIDAD,cirugias y anestesias,numero de cirugias menores realizadas,2024-04-01,47,48,47,48,95
TUPIZA,cirugias y anestesias,numero de cirugias menores realizadas,2024-04-01,1,0,1,0,1
UYUNI,cirugias y anestesias,numero de cirugias menores realizadas,2024-04-01,5,8,5,8,13
VALLEGRANDE,cirugias y anestesias,numero de cirugias menores realizadas,2024-04-01,2,0,2,0,2
VIACHA,cirugias y anestesias,numero de cirugias menores realizadas,2024-04-01,10,16,10,16,26
VILLA MONTES,cirugias y anestesias,numero de cirugias menores realizadas,2024-04-01,0,3,0,3,3
VILLA SERRANO,cirugias y anestesias,numero de cirugias menores realizadas,2024-04-01,9,2,9,2,11
VILLA TUNARI,cirugias y anestesias,numero de cirugias menores realizadas,2024-04-01,12,11,12,11,23
VILLA VACA GUZMAN (MUYUPAMPA),cirugias y anestesias,numero de cirugias menores realizadas,2024-04-01,4,0,4,0,4
VILLAZON,cirugias y anestesias,numero de cirugias menores realizadas,2024-04-01,2,2,2,2,4
VINTO,cirugias y anestesias,numero de cirugias menores realizadas,2024-04-01,6,20,6,20,26
WARNES,cirugias y anestesias,numero de cirugias menores realizadas,2024-04-01,4,6,4,6,10
YACUIBA,cirugias y anestesias,numero de cirugias menores realizadas,2024-04-01,7,5,7,5,12
ACHACACHI,cirugias y anestesias,numero de cirugias menores realizadas,2024-05-01,0,13,0,13,13
AIQUILE,cirugias y anestesias,numero de cirugias menores realizadas,2024-05-01,0,1,0,1,1
ANZALDO,cirugias y anestesias,numero de cirugias menores realizadas,2024-05-01,2,2,2,2,4
ASCENCION DE GUARAYOS,cirugias y anestesias,numero de cirugias menores realizadas,2024-05-01,23,35,23,35,58
BERMEJO,cirugias y anestesias,numero de cirugias menores realizadas,2024-05-01,0,1,0,1,1
CAMARGO,cirugias y anestesias,numero de cirugias menores realizadas,2024-05-01,0,2,0,2,2
CAMIRI,cirugias y anestesias,numero de cirugias menores realizadas,2024-05-01,1,2,1,2,3
CARACOLLO,cirugias y anestesias,numero de cirugias menores realizadas,2024-05-01,10,8,10,8,18
CARANAVI,cirugias y anestesias,numero de cirugias menores realizadas,2024-05-01,21,4,21,4,25
CHALLAPATA,cirugias y anestesias,numero de cirugias menores realizadas,2024-05-01,3,1,3,1,4
CLIZA,cirugias y anestesias,numero de cirugias menores realizadas,2024-05-01,0,6,0,6,6
COBIJA,cirugias y anestesias,numero de cirugias menores realizadas,2024-05-01,26,26,26,26,52
COCHABAMBA,cirugias y anestesias,numero de cirugias menores realizadas,2024-05-01,265,448,265,448,713
COLCAPIRHUA,cirugias y anestesias,numero de cirugias menores realizadas,2024-05-01,0,14,0,14,14
COMARAPA,cirugias y anestesias,numero de cirugias menores realizadas,2024-05-01,1,0,1,0,1
