municipality,group,variable,month,l 26.2 Número de viviendas positivas,TOTAL
LA ASUNTA,control vectorial de dengue,l 26.2       numero de viviendas positivas,2012-02-01,56,56
MACHARETI,control vectorial de dengue,l 26.2       numero de viviendas positivas,2012-02-01,26,26
MAPIRI,control vectorial de dengue,l 26.2       numero de viviendas positivas,2012-02-01,36,36
MONTEAGUDO,control vectorial de dengue,l 26.2       numero de viviendas positivas,2012-02-01,60,60
PALOS BLANCOS,control vectorial de dengue,l 26.2       numero de viviendas positivas,2012-02-01,87,87
PORONGO,control vectorial de dengue,l 26.2       numero de viviendas positivas,2012-02-01,5,5
PUERTO SUAREZ,control vectorial de dengue,l 26.2       numero de viviendas positivas,2012-02-01,160,160
PUERTO VILLARROEL,control vectorial de dengue,l 26.2       numero de viviendas positivas,2012-02-01,5,5
SUCRE,control vectorial de dengue,l 26.2       numero de viviendas positivas,2012-02-01,160,160
TIPUANI,control vectorial de dengue,l 26.2       numero de viviendas positivas,2012-02-01,157,157
TRINIDAD,control vectorial de dengue,l 26.2       numero de viviendas positivas,2012-02-01,1,1
WARNES,control vectorial de dengue,l 26.2       numero de viviendas positivas,2012-02-01,6,6
CARANAVI,control vectorial de dengue,l 26.2       numero de viviendas positivas,2012-03-01,13,13
CHIMORE,control vectorial de dengue,l 26.2       numero de viviendas positivas,2012-03-01,26,26
CUEVO,control vectorial de dengue,l 26.2       numero de viviendas positivas,2012-03-01,8,8
EL PUENTE(STC),control vectorial de dengue,l 26.2       numero de viviendas positivas,2012-03-01,54,54
GUAYARAMERIN,control vectorial de dengue,l 26.2       numero de viviendas positivas,2012-03-01,59,59
LAGUNILLAS,control vectorial de dengue,l 26.2       numero de viviendas positivas,2012-03-01,34,34
MACHARETI,control vectorial de dengue,l 26.2       numero de viviendas positivas,2012-03-01,89,89
MAPIRI,control vectorial de dengue,l 26.2       numero de viviendas positivas,2012-03-01,51,51
MONTEAGUDO,control vectorial de dengue,l 26.2       numero de viviendas positivas,2012-03-01,122,122
OMEREQUE,control vectorial de dengue,l 26.2       numero de viviendas positivas,2012-03-01,3,3
PADILLA,control vectorial de dengue,l 26.2       numero de viviendas positivas,2012-03-01,29,29
PALOS BLANCOS,control vectorial de dengue,l 26.2       numero de viviendas positivas,2012-03-01,1,1
SAN JULIAN,control vectorial de dengue,l 26.2       numero de viviendas positivas,2012-03-01,40,40
SANTA CRUZ DE LA SIERRA,control vectorial de dengue,l 26.2       numero de viviendas positivas,2012-03-01,58,58
SUCRE,control vectorial de dengue,l 26.2       numero de viviendas positivas,2012-03-01,121,121
TEOPONTE,control vectorial de dengue,l 26.2       numero de viviendas positivas,2012-03-01,66,66
VILLA MONTES,control vectorial de dengue,l 26.2       numero de viviendas positivas,2012-03-01,2,2
VILLA TUNARI,control vectorial de dengue,l 26.2       numero de viviendas positivas,2012-03-01,7,7
WARNES,control vectorial de dengue,l 26.2       numero de viviendas positivas,2012-03-01,3,3
BOYUIBE,control vectorial de dengue,l 26.2       numero de viviendas positivas,2012-04-01,20,20
CHIMORE,control vectorial de dengue,l 26.2       numero de viviendas positivas,2012-04-01,23,23
GUTIERREZ,control vectorial de dengue,l 26.2       numero de viviendas positivas,2012-04-01,5,5
LAGUNILLAS,control vectorial de dengue,l 26.2       numero de viviendas positivas,2012-04-01,4,4
PORONGO,control vectorial de dengue,l 26.2       numero de viviendas positivas,2012-04-01,15,15
SAN JULIAN,control vectorial de dengue,l 26.2       numero de viviendas positivas,2012-04-01,13,13
SAN LUCAS,control vectorial de dengue,l 26.2       numero de viviendas positivas,2012-04-01,1,1
SANTA CRUZ DE LA SIERRA,control vectorial de dengue,l 26.2       numero de viviendas positivas,2012-04-01,15,15
TAPACARI,control vectorial de dengue,l 26.2       numero de viviendas positivas,2012-04-01,1,1
BOYUIBE,control vectorial de dengue,l 26.2       numero de viviendas positivas,2012-05-01,14,14
CHIMORE,control vectorial de dengue,l 26.2       numero de viviendas positivas,2012-05-01,21,21
GUAYARAMERIN,control vectorial de dengue,l 26.2       numero de viviendas positivas,2012-05-01,199,199
MONTEAGUDO,control vectorial de dengue,l 26.2       numero de viviendas positivas,2012-05-01,87,87
PALOS BLANCOS,control vectorial de dengue,l 26.2       numero de viviendas positivas,2012-05-01,4,4
SANTA CRUZ DE LA SIERRA,control vectorial de dengue,l 26.2       numero de viviendas positivas,2012-05-01,30,30
ALTO BENI,control vectorial de dengue,l 26.2       numero de viviendas positivas,2012-06-01,4,4
BOYUIBE,control vectorial de dengue,l 26.2       numero de viviendas positivas,2012-06-01,3,3
CUATRO CAÑADAS,control vectorial de dengue,l 26.2       numero de viviendas positivas,2012-06-01,47,47
EL TORNO,control vectorial de dengue,l 26.2       numero de viviendas positivas,2012-06-01,1,1
MAPIRI,control vectorial de dengue,l 26.2       numero de viviendas positivas,2012-06-01,20,20
MONTEAGUDO,control vectorial de dengue,l 26.2       numero de viviendas positivas,2012-06-01,3,3
RAVELO,control vectorial de dengue,l 26.2       numero de viviendas positivas,2012-06-01,2,2
SAN JULIAN,control vectorial de dengue,l 26.2       numero de viviendas positivas,2012-06-01,6,6
SANTA CRUZ DE LA SIERRA,control vectorial de dengue,l 26.2       numero de viviendas positivas,2012-06-01,15,15
BOYUIBE,control vectorial de dengue,l 26.2       numero de viviendas positivas,2012-07-01,3,3
CHIMORE,control vectorial de dengue,l 26.2       numero de viviendas positivas,2012-07-01,4,4
CUATRO CAÑADAS,control vectorial de dengue,l 26.2       numero de viviendas positivas,2012-07-01,31,31
CULPINA,control vectorial de dengue,l 26.2       numero de viviendas positivas,2012-07-01,2,2
EL TORNO,control vectorial de dengue,l 26.2       numero de viviendas positivas,2012-07-01,42,42
MACHARETI,control vectorial de dengue,l 26.2       numero de viviendas positivas,2012-07-01,7,7
MAPIRI,control vectorial de dengue,l 26.2       numero de viviendas positivas,2012-07-01,4,4
SANTA CRUZ DE LA SIERRA,control vectorial de dengue,l 26.2       numero de viviendas positivas,2012-07-01,12,12
HUACARETA,control vectorial de dengue,l 26.2       numero de viviendas positivas,2012-08-01,5,5
MONTEAGUDO,control vectorial de dengue,l 26.2       numero de viviendas positivas,2012-08-01,34,34
SUCRE,control vectorial de dengue,l 26.2       numero de viviendas positivas,2012-08-01,11,11
TEOPONTE,control vectorial de dengue,l 26.2       numero de viviendas positivas,2012-08-01,7,7
CHIMORE,control vectorial de dengue,l 26.2       numero de viviendas positivas,2012-09-01,64,64
MACHARETI,control vectorial de dengue,l 26.2       numero de viviendas positivas,2012-09-01,2,2
MAPIRI,control vectorial de dengue,l 26.2       numero de viviendas positivas,2012-09-01,11,11
MONTEAGUDO,control vectorial de dengue,l 26.2       numero de viviendas positivas,2012-09-01,9,9
MONTERO,control vectorial de dengue,l 26.2       numero de viviendas positivas,2012-09-01,14,14
SAN LUCAS,control vectorial de dengue,l 26.2       numero de viviendas positivas,2012-09-01,455,455
VILLA VACA GUZMAN (MUYUPAMPA),control vectorial de dengue,l 26.2       numero de viviendas positivas,2012-09-01,48,48
GENERAL SAAVEDRA,control vectorial de dengue,l 26.2       numero de viviendas positivas,2012-10-01,63,63
GUANAY,control vectorial de dengue,l 26.2       numero de viviendas positivas,2012-10-01,60,60
HUACARETA,control vectorial de dengue,l 26.2       numero de viviendas positivas,2012-10-01,17,17
LA ASUNTA,control vectorial de dengue,l 26.2       numero de viviendas positivas,2012-10-01,5,5
MACHARETI,control vectorial de dengue,l 26.2       numero de viviendas positivas,2012-10-01,2,2
MAPIRI,control vectorial de dengue,l 26.2       numero de viviendas positivas,2012-10-01,2,2
MONTEAGUDO,control vectorial de dengue,l 26.2       numero de viviendas positivas,2012-10-01,62,62
MONTERO,control vectorial de dengue,l 26.2       numero de viviendas positivas,2012-10-01,74,74
SAN CARLOS,control vectorial de dengue,l 26.2       numero de viviendas positivas,2012-10-01,49,49
SANTA CRUZ DE LA SIERRA,control vectorial de dengue,l 26.2       numero de viviendas positivas,2012-10-01,20,20
CUATRO CAÑADAS,control vectorial de dengue,l 26.2       numero de viviendas positivas,2012-11-01,615,615
MACHARETI,control vectorial de dengue,l 26.2       numero de viviendas positivas,2012-11-01,42,42
MAPIRI,control vectorial de dengue,l 26.2       numero de viviendas positivas,2012-11-01,3,3
MONTEAGUDO,control vectorial de dengue,l 26.2       numero de viviendas positivas,2012-11-01,111,111
SANTA CRUZ DE LA SIERRA,control vectorial de dengue,l 26.2       numero de viviendas positivas,2012-11-01,52,52
TOMINA,control vectorial de dengue,l 26.2       numero de viviendas positivas,2012-11-01,5,5
ALTO BENI,control vectorial de dengue,l 26.2       numero de viviendas positivas,2012-12-01,13,13
CHIMORE,control vectorial de dengue,l 26.2       numero de viviendas positivas,2012-12-01,5,5
COTOCA,control vectorial de dengue,l 26.2       numero de viviendas positivas,2012-12-01,1,1
GUAYARAMERIN,control vectorial de dengue,l 26.2       numero de viviendas positivas,2012-12-01,37,37
LAGUNILLAS,control vectorial de dengue,l 26.2       numero de viviendas positivas,2012-12-01,17,17
MACHARETI,control vectorial de dengue,l 26.2       numero de viviendas positivas,2012-12-01,1,1
MONTEAGUDO,control vectorial de dengue,l 26.2       numero de viviendas positivas,2012-12-01,878,878
MONTERO,control vectorial de dengue,l 26.2       numero de viviendas positivas,2012-12-01,51,51
PADILLA,control vectorial de dengue,l 26.2       numero de viviendas positivas,2012-12-01,11,11
PALOS BLANCOS,control vectorial de dengue,l 26.2       numero de viviendas positivas,2012-12-01,8,8
SUCRE,control vectorial de dengue,l 26.2       numero de viviendas positivas,2012-12-01,5,5
VILLA TUNARI,control vectorial de dengue,l 26.2       numero de viviendas positivas,2012-12-01,1,1
