municipality,group,variable,month,l 26.1 Número de viviendas evaluadas entomológicamente,TOTAL
SANTA CRUZ DE LA SIERRA,control vectorial de dengue,l 26.1       numero de viviendas evaluadas entomologicamente,2012-01-01,8,8
SANTA ROSA DEL SARA,control vectorial de dengue,l 26.1       numero de viviendas evaluadas entomologicamente,2012-01-01,78,78
TIPUANI,control vectorial de dengue,l 26.1       numero de viviendas evaluadas entomologicamente,2012-01-01,114,114
TOMINA,control vectorial de dengue,l 26.1       numero de viviendas evaluadas entomologicamente,2012-01-01,140,140
TRINIDAD,control vectorial de dengue,l 26.1       numero de viviendas evaluadas entomologicamente,2012-01-01,7,7
VILLA TUNARI,control vectorial de dengue,l 26.1       numero de viviendas evaluadas entomologicamente,2012-01-01,1350,1350
YAPACANI,control vectorial de dengue,l 26.1       numero de viviendas evaluadas entomologicamente,2012-01-01,205,205
ASCENCION DE GUARAYOS,control vectorial de dengue,l 26.1       numero de viviendas evaluadas entomologicamente,2012-02-01,260,260
COMARAPA,control vectorial de dengue,l 26.1       numero de viviendas evaluadas entomologicamente,2012-02-01,10,10
COTOCA,control vectorial de dengue,l 26.1       numero de viviendas evaluadas entomologicamente,2012-02-01,2677,2677
CUEVO,control vectorial de dengue,l 26.1       numero de viviendas evaluadas entomologicamente,2012-02-01,186,186
EL TORNO,control vectorial de dengue,l 26.1       numero de viviendas evaluadas entomologicamente,2012-02-01,3,3
GENERAL SAAVEDRA,control vectorial de dengue,l 26.1       numero de viviendas evaluadas entomologicamente,2012-02-01,108,108
GUAYARAMERIN,control vectorial de dengue,l 26.1       numero de viviendas evaluadas entomologicamente,2012-02-01,2600,2600
HUACAYA (VILLA DE HUACAYA),control vectorial de dengue,l 26.1       numero de viviendas evaluadas entomologicamente,2012-02-01,79,79
IXIAMAS,control vectorial de dengue,l 26.1       numero de viviendas evaluadas entomologicamente,2012-02-01,306,306
LA ASUNTA,control vectorial de dengue,l 26.1       numero de viviendas evaluadas entomologicamente,2012-02-01,142,142
MACHARETI,control vectorial de dengue,l 26.1       numero de viviendas evaluadas entomologicamente,2012-02-01,108,108
MAPIRI,control vectorial de dengue,l 26.1       numero de viviendas evaluadas entomologicamente,2012-02-01,180,180
MONTEAGUDO,control vectorial de dengue,l 26.1       numero de viviendas evaluadas entomologicamente,2012-02-01,1738,1738
PALOS BLANCOS,control vectorial de dengue,l 26.1       numero de viviendas evaluadas entomologicamente,2012-02-01,460,460
PORONGO,control vectorial de dengue,l 26.1       numero de viviendas evaluadas entomologicamente,2012-02-01,14,14
PUERTO SUAREZ,control vectorial de dengue,l 26.1       numero de viviendas evaluadas entomologicamente,2012-02-01,744,744
PUERTO VILLARROEL,control vectorial de dengue,l 26.1       numero de viviendas evaluadas entomologicamente,2012-02-01,704,704
SUCRE,control vectorial de dengue,l 26.1       numero de viviendas evaluadas entomologicamente,2012-02-01,195,195
TEOPONTE,control vectorial de dengue,l 26.1       numero de viviendas evaluadas entomologicamente,2012-02-01,2,2
TIPUANI,control vectorial de dengue,l 26.1       numero de viviendas evaluadas entomologicamente,2012-02-01,2624,2624
TRINIDAD,control vectorial de dengue,l 26.1       numero de viviendas evaluadas entomologicamente,2012-02-01,5,5
WARNES,control vectorial de dengue,l 26.1       numero de viviendas evaluadas entomologicamente,2012-02-01,30,30
ASCENCION DE GUARAYOS,control vectorial de dengue,l 26.1       numero de viviendas evaluadas entomologicamente,2012-03-01,38,38
BOYUIBE,control vectorial de dengue,l 26.1       numero de viviendas evaluadas entomologicamente,2012-03-01,102,102
CARANAVI,control vectorial de dengue,l 26.1       numero de viviendas evaluadas entomologicamente,2012-03-01,597,597
CHIMORE,control vectorial de dengue,l 26.1       numero de viviendas evaluadas entomologicamente,2012-03-01,69,69
CUEVO,control vectorial de dengue,l 26.1       numero de viviendas evaluadas entomologicamente,2012-03-01,9,9
EL PUENTE(STC),control vectorial de dengue,l 26.1       numero de viviendas evaluadas entomologicamente,2012-03-01,169,169
GUAYARAMERIN,control vectorial de dengue,l 26.1       numero de viviendas evaluadas entomologicamente,2012-03-01,1300,1300
LAGUNILLAS,control vectorial de dengue,l 26.1       numero de viviendas evaluadas entomologicamente,2012-03-01,169,169
MACHARETI,control vectorial de dengue,l 26.1       numero de viviendas evaluadas entomologicamente,2012-03-01,308,308
MAPIRI,control vectorial de dengue,l 26.1       numero de viviendas evaluadas entomologicamente,2012-03-01,210,210
MONTEAGUDO,control vectorial de dengue,l 26.1       numero de viviendas evaluadas entomologicamente,2012-03-01,2087,2087
OMEREQUE,control vectorial de dengue,l 26.1       numero de viviendas evaluadas entomologicamente,2012-03-01,59,59
PADILLA,control vectorial de dengue,l 26.1       numero de viviendas evaluadas entomologicamente,2012-03-01,132,132
PALOS BLANCOS,control vectorial de dengue,l 26.1       numero de viviendas evaluadas entomologicamente,2012-03-01,141,141
SAIPINA,control vectorial de dengue,l 26.1       numero de viviendas evaluadas entomologicamente,2012-03-01,127,127
SAN JULIAN,control vectorial de dengue,l 26.1       numero de viviendas evaluadas entomologicamente,2012-03-01,333,333
SANTA CRUZ DE LA SIERRA,control vectorial de dengue,l 26.1       numero de viviendas evaluadas entomologicamente,2012-03-01,58,58
SUCRE,control vectorial de dengue,l 26.1       numero de viviendas evaluadas entomologicamente,2012-03-01,1284,1284
TEOPONTE,control vectorial de dengue,l 26.1       numero de viviendas evaluadas entomologicamente,2012-03-01,1115,1115
TIPUANI,control vectorial de dengue,l 26.1       numero de viviendas evaluadas entomologicamente,2012-03-01,1974,1974
VILLA TUNARI,control vectorial de dengue,l 26.1       numero de viviendas evaluadas entomologicamente,2012-03-01,80,80
VILLA VACA GUZMAN (MUYUPAMPA),control vectorial de dengue,l 26.1       numero de viviendas evaluadas entomologicamente,2012-03-01,57,57
WARNES,control vectorial de dengue,l 26.1       numero de viviendas evaluadas entomologicamente,2012-03-01,2,2
BOYUIBE,control vectorial de dengue,l 26.1       numero de viviendas evaluadas entomologicamente,2012-04-01,91,91
CHIMORE,control vectorial de dengue,l 26.1       numero de viviendas evaluadas entomologicamente,2012-04-01,76,76
GUTIERREZ,control vectorial de dengue,l 26.1       numero de viviendas evaluadas entomologicamente,2012-04-01,108,108
LAGUNILLAS,control vectorial de dengue,l 26.1       numero de viviendas evaluadas entomologicamente,2012-04-01,9,9
OMEREQUE,control vectorial de dengue,l 26.1       numero de viviendas evaluadas entomologicamente,2012-04-01,231,231
PASORAPA,control vectorial de dengue,l 26.1       numero de viviendas evaluadas entomologicamente,2012-04-01,125,125
PORONGO,control vectorial de dengue,l 26.1       numero de viviendas evaluadas entomologicamente,2012-04-01,67,67
SAN JULIAN,control vectorial de dengue,l 26.1       numero de viviendas evaluadas entomologicamente,2012-04-01,12,12
SAN LUCAS,control vectorial de dengue,l 26.1       numero de viviendas evaluadas entomologicamente,2012-04-01,351,351
SANTA CRUZ DE LA SIERRA,control vectorial de dengue,l 26.1       numero de viviendas evaluadas entomologicamente,2012-04-01,35,35
BOYUIBE,control vectorial de dengue,l 26.1       numero de viviendas evaluadas entomologicamente,2012-05-01,642,642
CHIMORE,control vectorial de dengue,l 26.1       numero de viviendas evaluadas entomologicamente,2012-05-01,188,188
GUAYARAMERIN,control vectorial de dengue,l 26.1       numero de viviendas evaluadas entomologicamente,2012-05-01,2600,2600
MONTEAGUDO,control vectorial de dengue,l 26.1       numero de viviendas evaluadas entomologicamente,2012-05-01,669,669
PALOS BLANCOS,control vectorial de dengue,l 26.1       numero de viviendas evaluadas entomologicamente,2012-05-01,56,56
SAN JULIAN,control vectorial de dengue,l 26.1       numero de viviendas evaluadas entomologicamente,2012-05-01,4,4
SANTA CRUZ DE LA SIERRA,control vectorial de dengue,l 26.1       numero de viviendas evaluadas entomologicamente,2012-05-01,34,34
SUCRE,control vectorial de dengue,l 26.1       numero de viviendas evaluadas entomologicamente,2012-05-01,32,32
ALTO BENI,control vectorial de dengue,l 26.1       numero de viviendas evaluadas entomologicamente,2012-06-01,15,15
CUATRO CAÑADAS,control vectorial de dengue,l 26.1       numero de viviendas evaluadas entomologicamente,2012-06-01,178,178
EL TORNO,control vectorial de dengue,l 26.1       numero de viviendas evaluadas entomologicamente,2012-06-01,1,1
LAGUNILLAS,control vectorial de dengue,l 26.1       numero de viviendas evaluadas entomologicamente,2012-06-01,7,7
MAPIRI,control vectorial de dengue,l 26.1       numero de viviendas evaluadas entomologicamente,2012-06-01,170,170
MONTEAGUDO,control vectorial de dengue,l 26.1       numero de viviendas evaluadas entomologicamente,2012-06-01,186,186
POROMA,control vectorial de dengue,l 26.1       numero de viviendas evaluadas entomologicamente,2012-06-01,30,30
RAVELO,control vectorial de dengue,l 26.1       numero de viviendas evaluadas entomologicamente,2012-06-01,177,177
SAN JULIAN,control vectorial de dengue,l 26.1       numero de viviendas evaluadas entomologicamente,2012-06-01,6,6
SANTA CRUZ DE LA SIERRA,control vectorial de dengue,l 26.1       numero de viviendas evaluadas entomologicamente,2012-06-01,18,18
BOYUIBE,control vectorial de dengue,l 26.1       numero de viviendas evaluadas entomologicamente,2012-07-01,28,28
CHIMORE,control vectorial de dengue,l 26.1       numero de viviendas evaluadas entomologicamente,2012-07-01,38,38
CUATRO CAÑADAS,control vectorial de dengue,l 26.1       numero de viviendas evaluadas entomologicamente,2012-07-01,133,133
EL TORNO,control vectorial de dengue,l 26.1       numero de viviendas evaluadas entomologicamente,2012-07-01,120,120
MACHARETI,control vectorial de dengue,l 26.1       numero de viviendas evaluadas entomologicamente,2012-07-01,276,276
MAPIRI,control vectorial de dengue,l 26.1       numero de viviendas evaluadas entomologicamente,2012-07-01,245,245
SAN JOSE DE CHIQUITOS,control vectorial de dengue,l 26.1       numero de viviendas evaluadas entomologicamente,2012-07-01,2,2
SANTA CRUZ DE LA SIERRA,control vectorial de dengue,l 26.1       numero de viviendas evaluadas entomologicamente,2012-07-01,15,15
TACOPAYA,control vectorial de dengue,l 26.1       numero de viviendas evaluadas entomologicamente,2012-07-01,186,186
HUACARETA,control vectorial de dengue,l 26.1       numero de viviendas evaluadas entomologicamente,2012-08-01,411,411
MONTEAGUDO,control vectorial de dengue,l 26.1       numero de viviendas evaluadas entomologicamente,2012-08-01,1841,1841
PADILLA,control vectorial de dengue,l 26.1       numero de viviendas evaluadas entomologicamente,2012-08-01,339,339
SUCRE,control vectorial de dengue,l 26.1       numero de viviendas evaluadas entomologicamente,2012-08-01,1082,1082
TEOPONTE,control vectorial de dengue,l 26.1       numero de viviendas evaluadas entomologicamente,2012-08-01,132,132
CHIMORE,control vectorial de dengue,l 26.1       numero de viviendas evaluadas entomologicamente,2012-09-01,343,343
MACHARETI,control vectorial de dengue,l 26.1       numero de viviendas evaluadas entomologicamente,2012-09-01,162,162
MAPIRI,control vectorial de dengue,l 26.1       numero de viviendas evaluadas entomologicamente,2012-09-01,115,115
MONTEAGUDO,control vectorial de dengue,l 26.1       numero de viviendas evaluadas entomologicamente,2012-09-01,330,330
MONTERO,control vectorial de dengue,l 26.1       numero de viviendas evaluadas entomologicamente,2012-09-01,115,115
OMEREQUE,control vectorial de dengue,l 26.1       numero de viviendas evaluadas entomologicamente,2012-09-01,15,15
VILLA VACA GUZMAN (MUYUPAMPA),control vectorial de dengue,l 26.1       numero de viviendas evaluadas entomologicamente,2012-09-01,157,157
GENERAL SAAVEDRA,control vectorial de dengue,l 26.1       numero de viviendas evaluadas entomologicamente,2012-10-01,272,272
GUANAY,control vectorial de dengue,l 26.1       numero de viviendas evaluadas entomologicamente,2012-10-01,80,80
HUACARETA,control vectorial de dengue,l 26.1       numero de viviendas evaluadas entomologicamente,2012-10-01,190,190
LA ASUNTA,control vectorial de dengue,l 26.1       numero de viviendas evaluadas entomologicamente,2012-10-01,162,162
MACHARETI,control vectorial de dengue,l 26.1       numero de viviendas evaluadas entomologicamente,2012-10-01,195,195
MAPIRI,control vectorial de dengue,l 26.1       numero de viviendas evaluadas entomologicamente,2012-10-01,172,172
MONTEAGUDO,control vectorial de dengue,l 26.1       numero de viviendas evaluadas entomologicamente,2012-10-01,1710,1710
MONTERO,control vectorial de dengue,l 26.1       numero de viviendas evaluadas entomologicamente,2012-10-01,459,459
SAN CARLOS,control vectorial de dengue,l 26.1       numero de viviendas evaluadas entomologicamente,2012-10-01,178,178
SANTA CRUZ DE LA SIERRA,control vectorial de dengue,l 26.1       numero de viviendas evaluadas entomologicamente,2012-10-01,23,23
CUATRO CAÑADAS,control vectorial de dengue,l 26.1       numero de viviendas evaluadas entomologicamente,2012-11-01,3075,3075
MACHARETI,control vectorial de dengue,l 26.1       numero de viviendas evaluadas entomologicamente,2012-11-01,586,586
MAPIRI,control vectorial de dengue,l 26.1       numero de viviendas evaluadas entomologicamente,2012-11-01,40,40
MONTEAGUDO,control vectorial de dengue,l 26.1       numero de viviendas evaluadas entomologicamente,2012-11-01,2872,2872
PADILLA,control vectorial de dengue,l 26.1       numero de viviendas evaluadas entomologicamente,2012-11-01,165,165
SAN BUENA VENTURA,control vectorial de dengue,l 26.1       numero de viviendas evaluadas entomologicamente,2012-11-01,331,331
SANTA CRUZ DE LA SIERRA,control vectorial de dengue,l 26.1       numero de viviendas evaluadas entomologicamente,2012-11-01,52,52
TOMINA,control vectorial de dengue,l 26.1       numero de viviendas evaluadas entomologicamente,2012-11-01,151,151
VILLA VACA GUZMAN (MUYUPAMPA),control vectorial de dengue,l 26.1       numero de viviendas evaluadas entomologicamente,2012-11-01,79,79
ALTO BENI,control vectorial de dengue,l 26.1       numero de viviendas evaluadas entomologicamente,2012-12-01,35,35
CHIMORE,control vectorial de dengue,l 26.1       numero de viviendas evaluadas entomologicamente,2012-12-01,20,20
COTOCA,control vectorial de dengue,l 26.1       numero de viviendas evaluadas entomologicamente,2012-12-01,1440,1440
GUAYARAMERIN,control vectorial de dengue,l 26.1       numero de viviendas evaluadas entomologicamente,2012-12-01,120,120
LAGUNILLAS,control vectorial de dengue,l 26.1       numero de viviendas evaluadas entomologicamente,2012-12-01,74,74
MACHARETI,control vectorial de dengue,l 26.1       numero de viviendas evaluadas entomologicamente,2012-12-01,137,137
MONTEAGUDO,control vectorial de dengue,l 26.1       numero de viviendas evaluadas entomologicamente,2012-12-01,832,832
MONTERO,control vectorial de dengue,l 26.1       numero de viviendas evaluadas entomologicamente,2012-12-01,223,223
PADILLA,control vectorial de dengue,l 26.1       numero de viviendas evaluadas entomologicamente,2012-12-01,172,172
PALOS BLANCOS,control vectorial de dengue,l 26.1       numero de viviendas evaluadas entomologicamente,2012-12-01,30,30
PUERTO VILLARROEL,control vectorial de dengue,l 26.1       numero de viviendas evaluadas entomologicamente,2012-12-01,12,12
SAN LUCAS,control vectorial de dengue,l 26.1       numero de viviendas evaluadas entomologicamente,2012-12-01,791,791
SUCRE,control vectorial de dengue,l 26.1       numero de viviendas evaluadas entomologicamente,2012-12-01,471,471
VILLA TUNARI,control vectorial de dengue,l 26.1       numero de viviendas evaluadas entomologicamente,2012-12-01,10,10
VILLA VACA GUZMAN (MUYUPAMPA),control vectorial de dengue,l 26.1       numero de viviendas evaluadas entomologicamente,2012-12-01,107,107
