,group,variable,month,TRATAMIENTOS DE LEISHMANIA CUTÁNEA INICIADO,TRATAMIENTOS DE LEISHMANIA CUTÁNEA INICIADO,TRATAMIENTOS DE LEISHMANIA CUTÁNEA CONCLUIDO,TRATAMIENTOS DE LEISHMANIA CUTÁNEA CONCLUIDO,TOTALES,TOTALES,TOTALES
PALOS BLANCOS,leishmaniasis,tratamientos de leishmania cutanea,2016-01-01,0,0,0,1,0,1,1
PORVENIR,leishmaniasis,tratamientos de leishmania cutanea,2016-01-01,3,0,0,0,3,0,3
PUERTO GONZALO MORENO,leishmaniasis,tratamientos de leishmania cutanea,2016-01-01,0,0,1,0,1,0,1
PUERTO RICO,leishmaniasis,tratamientos de leishmania cutanea,2016-01-01,3,0,1,0,4,0,4
PUERTO VILLARROEL,leishmaniasis,tratamientos de leishmania cutanea,2016-01-01,1,0,1,0,2,0,2
REYES,leishmaniasis,tratamientos de leishmania cutanea,2016-01-01,0,0,1,0,1,0,1
RURRENABAQUE,leishmaniasis,tratamientos de leishmania cutanea,2016-01-01,2,5,3,3,5,8,13
SACABA,leishmaniasis,tratamientos de leishmania cutanea,2016-01-01,2,0,1,0,3,0,3
SAN BORJA,leishmaniasis,tratamientos de leishmania cutanea,2016-01-01,7,2,4,1,11,3,14
SAN BUENA VENTURA,leishmaniasis,tratamientos de leishmania cutanea,2016-01-01,4,3,3,1,7,4,11
SAN IGNACIO,leishmaniasis,tratamientos de leishmania cutanea,2016-01-01,7,0,4,2,11,2,13
SANTA ROSA,leishmaniasis,tratamientos de leishmania cutanea,2016-01-01,0,0,2,0,2,0,2
SHINAOTA,leishmaniasis,tratamientos de leishmania cutanea,2016-01-01,0,1,0,0,0,1,1
TEOPONTE,leishmaniasis,tratamientos de leishmania cutanea,2016-01-01,2,2,1,0,3,2,5
TRINIDAD,leishmaniasis,tratamientos de leishmania cutanea,2016-01-01,2,0,0,0,2,0,2
VILLA TUNARI,leishmaniasis,tratamientos de leishmania cutanea,2016-01-01,2,1,0,2,2,3,5
ALTO BENI,leishmaniasis,tratamientos de leishmania cutanea,2016-02-01,0,1,0,0,0,1,1
APOLO,leishmaniasis,tratamientos de leishmania cutanea,2016-02-01,0,1,0,1,0,2,2
BELLA FLOR,leishmaniasis,tratamientos de leishmania cutanea,2016-02-01,1,0,0,0,1,0,1
BERMEJO,leishmaniasis,tratamientos de leishmania cutanea,2016-02-01,0,2,2,3,2,5,7
CAJUATA,leishmaniasis,tratamientos de leishmania cutanea,2016-02-01,2,0,2,0,4,0,4
CARANAVI,leishmaniasis,tratamientos de leishmania cutanea,2016-02-01,1,1,0,0,1,1,2
CHIMORE,leishmaniasis,tratamientos de leishmania cutanea,2016-02-01,1,0,0,0,1,0,1
CHULUMANI (V. DE LA LIBERTAD),leishmaniasis,tratamientos de leishmania cutanea,2016-02-01,0,0,0,1,0,1,1
COBIJA,leishmaniasis,tratamientos de leishmania cutanea,2016-02-01,2,0,2,1,4,1,5
COCAPATA,leishmaniasis,tratamientos de leishmania cutanea,2016-02-01,1,0,1,0,2,0,2
CORIPATA,leishmaniasis,tratamientos de leishmania cutanea,2016-02-01,1,2,0,0,1,2,3
COROICO,leishmaniasis,tratamientos de leishmania cutanea,2016-02-01,1,2,1,0,2,2,4
EL TORNO,leishmaniasis,tratamientos de leishmania cutanea,2016-02-01,6,0,8,0,14,0,14
ENTRE RIOS CBBA,leishmaniasis,tratamientos de leishmania cutanea,2016-02-01,1,0,2,0,3,0,3
EUREKA (SANTOS MERCADO),leishmaniasis,tratamientos de leishmania cutanea,2016-02-01,1,0,0,0,1,0,1
FILADELFIA,leishmaniasis,tratamientos de leishmania cutanea,2016-02-01,2,0,0,0,2,0,2
GUAYARAMERIN,leishmaniasis,tratamientos de leishmania cutanea,2016-02-01,2,1,1,0,3,1,4
IRUPANA (VILLA DE LANZA),leishmaniasis,tratamientos de leishmania cutanea,2016-02-01,1,2,1,2,2,4,6
LA ASUNTA,leishmaniasis,tratamientos de leishmania cutanea,2016-02-01,5,5,5,3,10,8,18
NUEVO MANOA (NUEVA ESPERANZA),leishmaniasis,tratamientos de leishmania cutanea,2016-02-01,1,0,0,0,1,0,1
PADCAYA,leishmaniasis,tratamientos de leishmania cutanea,2016-02-01,2,2,2,2,4,4,8
PADILLA,leishmaniasis,tratamientos de leishmania cutanea,2016-02-01,1,0,0,0,1,0,1
PALOS BLANCOS,leishmaniasis,tratamientos de leishmania cutanea,2016-02-01,1,0,0,0,1,0,1
PORVENIR,leishmaniasis,tratamientos de leishmania cutanea,2016-02-01,2,0,0,0,2,0,2
PUERTO RICO,leishmaniasis,tratamientos de leishmania cutanea,2016-02-01,0,0,1,0,1,0,1
PUERTO VILLARROEL,leishmaniasis,tratamientos de leishmania cutanea,2016-02-01,4,0,1,0,5,0,5
REYES,leishmaniasis,tratamientos de leishmania cutanea,2016-02-01,2,1,0,0,2,1,3
RIBERALTA,leishmaniasis,tratamientos de leishmania cutanea,2016-02-01,1,0,0,0,1,0,1
RURRENABAQUE,leishmaniasis,tratamientos de leishmania cutanea,2016-02-01,2,2,4,4,6,6,12
SACABA,leishmaniasis,tratamientos de leishmania cutanea,2016-02-01,0,0,1,0,1,0,1
SAN BORJA,leishmaniasis,tratamientos de leishmania cutanea,2016-02-01,1,1,1,1,2,2,4
SAN BUENA VENTURA,leishmaniasis,tratamientos de leishmania cutanea,2016-02-01,0,0,2,2,2,2,4
SAN IGNACIO,leishmaniasis,tratamientos de leishmania cutanea,2016-02-01,3,2,4,0,7,2,9
SAN LORENZO(TJA),leishmaniasis,tratamientos de leishmania cutanea,2016-02-01,1,0,0,0,1,0,1
TAPACARI,leishmaniasis,tratamientos de leishmania cutanea,2016-02-01,0,1,0,1,0,2,2
TEOPONTE,leishmaniasis,tratamientos de leishmania cutanea,2016-02-01,0,0,1,2,1,2,3
VILLA TUNARI,leishmaniasis,tratamientos de leishmania cutanea,2016-02-01,1,1,4,1,5,2,7
ALTO BENI,leishmaniasis,tratamientos de leishmania cutanea,2016-03-01,5,2,5,3,10,5,15
BELLA FLOR,leishmaniasis,tratamientos de leishmania cutanea,2016-03-01,1,0,1,0,2,0,2
BERMEJO,leishmaniasis,tratamientos de leishmania cutanea,2016-03-01,0,2,0,2,0,4,4
CAJUATA,leishmaniasis,tratamientos de leishmania cutanea,2016-03-01,1,1,1,1,2,2,4
CARANAVI,leishmaniasis,tratamientos de leishmania cutanea,2016-03-01,2,1,2,0,4,1,5
CHIMORE,leishmaniasis,tratamientos de leishmania cutanea,2016-03-01,2,0,1,0,3,0,3
CHULUMANI (V. DE LA LIBERTAD),leishmaniasis,tratamientos de leishmania cutanea,2016-03-01,4,1,4,0,8,1,9
COBIJA,leishmaniasis,tratamientos de leishmania cutanea,2016-03-01,2,2,2,0,4,2,6
COCAPATA,leishmaniasis,tratamientos de leishmania cutanea,2016-03-01,1,0,2,0,3,0,3
CORIPATA,leishmaniasis,tratamientos de leishmania cutanea,2016-03-01,0,1,1,2,1,3,4
COROICO,leishmaniasis,tratamientos de leishmania cutanea,2016-03-01,0,0,1,2,1,2,3
EL TORNO,leishmaniasis,tratamientos de leishmania cutanea,2016-03-01,5,0,6,0,11,0,11
ENTRE RIOS CBBA,leishmaniasis,tratamientos de leishmania cutanea,2016-03-01,1,1,0,0,1,1,2
FILADELFIA,leishmaniasis,tratamientos de leishmania cutanea,2016-03-01,1,0,0,0,1,0,1
GUAYARAMERIN,leishmaniasis,tratamientos de leishmania cutanea,2016-03-01,0,0,0,2,0,2,2
IRUPANA (VILLA DE LANZA),leishmaniasis,tratamientos de leishmania cutanea,2016-03-01,2,1,2,1,4,2,6
IXIAMAS,leishmaniasis,tratamientos de leishmania cutanea,2016-03-01,0,2,0,1,0,3,3
LA ASUNTA,leishmaniasis,tratamientos de leishmania cutanea,2016-03-01,3,4,5,5,8,9,17
NUEVO MANOA (NUEVA ESPERANZA),leishmaniasis,tratamientos de leishmania cutanea,2016-03-01,0,0,1,0,1,0,1
PADCAYA,leishmaniasis,tratamientos de leishmania cutanea,2016-03-01,2,2,1,2,3,4,7
PALOS BLANCOS,leishmaniasis,tratamientos de leishmania cutanea,2016-03-01,0,0,1,0,1,0,1
PORVENIR,leishmaniasis,tratamientos de leishmania cutanea,2016-03-01,2,1,2,0,4,1,5
PUERTO GONZALO MORENO,leishmaniasis,tratamientos de leishmania cutanea,2016-03-01,1,0,1,0,2,0,2
PUERTO RICO,leishmaniasis,tratamientos de leishmania cutanea,2016-03-01,0,2,0,0,0,2,2
PUERTO VILLARROEL,leishmaniasis,tratamientos de leishmania cutanea,2016-03-01,0,0,3,0,3,0,3
REYES,leishmaniasis,tratamientos de leishmania cutanea,2016-03-01,0,0,2,1,2,1,3
RIBERALTA,leishmaniasis,tratamientos de leishmania cutanea,2016-03-01,1,0,1,0,2,0,2
RURRENABAQUE,leishmaniasis,tratamientos de leishmania cutanea,2016-03-01,1,2,1,1,2,3,5
SACABA,leishmaniasis,tratamientos de leishmania cutanea,2016-03-01,0,1,0,1,0,2,2
SAN BORJA,leishmaniasis,tratamientos de leishmania cutanea,2016-03-01,0,0,1,1,1,1,2
SAN IGNACIO,leishmaniasis,tratamientos de leishmania cutanea,2016-03-01,1,4,3,3,4,7,11
TEOPONTE,leishmaniasis,tratamientos de leishmania cutanea,2016-03-01,3,1,0,0,3,1,4
VILLA TUNARI,leishmaniasis,tratamientos de leishmania cutanea,2016-03-01,1,0,2,1,3,1,4
ALTO BENI,leishmaniasis,tratamientos de leishmania cutanea,2016-04-01,1,0,1,0,2,0,2
BELLA FLOR,leishmaniasis,tratamientos de leishmania cutanea,2016-04-01,2,0,2,0,4,0,4
BERMEJO,leishmaniasis,tratamientos de leishmania cutanea,2016-04-01,3,0,1,0,4,0,4
CARANAVI,leishmaniasis,tratamientos de leishmania cutanea,2016-04-01,1,3,0,0,1,3,4
CHIMORE,leishmaniasis,tratamientos de leishmania cutanea,2016-04-01,2,0,0,0,2,0,2
CHULUMANI (V. DE LA LIBERTAD),leishmaniasis,tratamientos de leishmania cutanea,2016-04-01,6,8,0,1,6,9,15
COBIJA,leishmaniasis,tratamientos de leishmania cutanea,2016-04-01,7,1,2,1,9,2,11
COLOMI,leishmaniasis,tratamientos de leishmania cutanea,2016-04-01,1,0,1,0,2,0,2
COROICO,leishmaniasis,tratamientos de leishmania cutanea,2016-04-01,0,1,0,0,0,1,1
CULPINA,leishmaniasis,tratamientos de leishmania cutanea,2016-04-01,3,2,0,0,3,2,5
EL TORNO,leishmaniasis,tratamientos de leishmania cutanea,2016-04-01,3,0,4,0,7,0,7
ENTRE RIOS CBBA,leishmaniasis,tratamientos de leishmania cutanea,2016-04-01,1,0,1,1,2,1,3
FILADELFIA,leishmaniasis,tratamientos de leishmania cutanea,2016-04-01,0,1,1,0,1,1,2
GUAYARAMERIN,leishmaniasis,tratamientos de leishmania cutanea,2016-04-01,3,0,0,0,3,0,3
IRUPANA (VILLA DE LANZA),leishmaniasis,tratamientos de leishmania cutanea,2016-04-01,2,2,0,2,2,4,6
IXIAMAS,leishmaniasis,tratamientos de leishmania cutanea,2016-04-01,0,1,1,1,1,2,3
LA ASUNTA,leishmaniasis,tratamientos de leishmania cutanea,2016-04-01,15,9,3,4,18,13,31
MAPIRI,leishmaniasis,tratamientos de leishmania cutanea,2016-04-01,1,0,0,0,1,0,1
NACEBE (SANTA ROSA DEL ABUNA),leishmaniasis,tratamientos de leishmania cutanea,2016-04-01,1,1,1,1,2,2,4
PALOS BLANCOS,leishmaniasis,tratamientos de leishmania cutanea,2016-04-01,3,0,1,0,4,0,4
PORVENIR,leishmaniasis,tratamientos de leishmania cutanea,2016-04-01,3,1,1,1,4,2,6
PUERTO QUIJARRO,leishmaniasis,tratamientos de leishmania cutanea,2016-04-01,0,1,0,1,0,2,2
PUERTO RICO,leishmaniasis,tratamientos de leishmania cutanea,2016-04-01,4,0,2,0,6,0,6
PUERTO VILLARROEL,leishmaniasis,tratamientos de leishmania cutanea,2016-04-01,1,0,0,0,1,0,1
RIBERALTA,leishmaniasis,tratamientos de leishmania cutanea,2016-04-01,0,1,0,0,0,1,1
RURRENABAQUE,leishmaniasis,tratamientos de leishmania cutanea,2016-04-01,2,2,4,1,6,3,9
SAN BORJA,leishmaniasis,tratamientos de leishmania cutanea,2016-04-01,3,0,1,0,4,0,4
SAN IGNACIO,leishmaniasis,tratamientos de leishmania cutanea,2016-04-01,1,0,1,1,2,1,3
SENA,leishmaniasis,tratamientos de leishmania cutanea,2016-04-01,0,0,1,0,1,0,1
TEOPONTE,leishmaniasis,tratamientos de leishmania cutanea,2016-04-01,1,1,1,1,2,2,4
TRINIDAD,leishmaniasis,tratamientos de leishmania cutanea,2016-04-01,1,0,0,0,1,0,1
VILLA TUNARI,leishmaniasis,tratamientos de leishmania cutanea,2016-04-01,1,0,2,0,3,0,3
YANACACHI,leishmaniasis,tratamientos de leishmania cutanea,2016-04-01,2,0,0,1,2,1,3
BELLA FLOR,leishmaniasis,tratamientos de leishmania cutanea,2016-05-01,3,1,2,0,5,1,6
BERMEJO,leishmaniasis,tratamientos de leishmania cutanea,2016-05-01,5,0,2,0,7,0,7
BOLPEBRA,leishmaniasis,tratamientos de leishmania cutanea,2016-05-01,1,0,1,0,2,0,2
CARANAVI,leishmaniasis,tratamientos de leishmania cutanea,2016-05-01,2,0,2,1,4,1,5
CHIMORE,leishmaniasis,tratamientos de leishmania cutanea,2016-05-01,0,0,2,0,2,0,2
CHULUMANI (V. DE LA LIBERTAD),leishmaniasis,tratamientos de leishmania cutanea,2016-05-01,0,0,6,8,6,8,14
COBIJA,leishmaniasis,tratamientos de leishmania cutanea,2016-05-01,8,5,5,2,13,7,20
COCAPATA,leishmaniasis,tratamientos de leishmania cutanea,2016-05-01,0,0,1,0,1,0,1
COCHABAMBA,leishmaniasis,tratamientos de leishmania cutanea,2016-05-01,1,0,0,0,1,0,1
CONCEPCION,leishmaniasis,tratamientos de leishmania cutanea,2016-05-01,1,0,0,0,1,0,1
CORIPATA,leishmaniasis,tratamientos de leishmania cutanea,2016-05-01,1,0,1,0,2,0,2
COROICO,leishmaniasis,tratamientos de leishmania cutanea,2016-05-01,0,1,0,0,0,1,1
EL TORNO,leishmaniasis,tratamientos de leishmania cutanea,2016-05-01,3,0,4,0,7,0,7
EUREKA (SANTOS MERCADO),leishmaniasis,tratamientos de leishmania cutanea,2016-05-01,1,0,0,0,1,0,1
FILADELFIA,leishmaniasis,tratamientos de leishmania cutanea,2016-05-01,1,0,0,0,1,0,1
GUANAY,leishmaniasis,tratamientos de leishmania cutanea,2016-05-01,0,0,0,1,0,1,1
GUAYARAMERIN,leishmaniasis,tratamientos de leishmania cutanea,2016-05-01,3,1,2,2,5,3,8
IRUPANA (VILLA DE LANZA),leishmaniasis,tratamientos de leishmania cutanea,2016-05-01,0,0,2,0,2,0,2
IXIAMAS,leishmaniasis,tratamientos de leishmania cutanea,2016-05-01,1,3,0,3,1,6,7
LA ASUNTA,leishmaniasis,tratamientos de leishmania cutanea,2016-05-01,2,6,15,9,17,15,32
MAPIRI,leishmaniasis,tratamientos de leishmania cutanea,2016-05-01,1,0,1,0,2,0,2
NACEBE (SANTA ROSA DEL ABUNA),leishmaniasis,tratamientos de leishmania cutanea,2016-05-01,7,3,2,0,9,3,12
PADCAYA,leishmaniasis,tratamientos de leishmania cutanea,2016-05-01,2,2,0,0,2,2,4
PORVENIR,leishmaniasis,tratamientos de leishmania cutanea,2016-05-01,2,0,4,1,6,1,7
PUERTO RICO,leishmaniasis,tratamientos de leishmania cutanea,2016-05-01,3,0,2,0,5,0,5
PUERTO VILLARROEL,leishmaniasis,tratamientos de leishmania cutanea,2016-05-01,0,1,1,1,1,2,3
RIBERALTA,leishmaniasis,tratamientos de leishmania cutanea,2016-05-01,10,3,0,0,10,3,13
RURRENABAQUE,leishmaniasis,tratamientos de leishmania cutanea,2016-05-01,1,2,1,1,2,3,5
SAN BORJA,leishmaniasis,tratamientos de leishmania cutanea,2016-05-01,1,0,1,1,2,1,3
SAN BUENA VENTURA,leishmaniasis,tratamientos de leishmania cutanea,2016-05-01,11,2,8,0,19,2,21
SAN IGNACIO,leishmaniasis,tratamientos de leishmania cutanea,2016-05-01,2,0,1,0,3,0,3
TEOPONTE,leishmaniasis,tratamientos de leishmania cutanea,2016-05-01,0,1,0,0,0,1,1
VILLA NUEVA (LOMA ALTA),leishmaniasis,tratamientos de leishmania cutanea,2016-05-01,1,0,0,0,1,0,1
VILLA TUNARI,leishmaniasis,tratamientos de leishmania cutanea,2016-05-01,1,2,0,2,1,4,5
YANACACHI,leishmaniasis,tratamientos de leishmania cutanea,2016-05-01,0,0,1,0,1,0,1
ALTO BENI,leishmaniasis,tratamientos de leishmania cutanea,2016-06-01,1,1,1,1,2,2,4
BELLA FLOR,leishmaniasis,tratamientos de leishmania cutanea,2016-06-01,3,0,2,0,5,0,5
BERMEJO,leishmaniasis,tratamientos de leishmania cutanea,2016-06-01,1,0,1,0,2,0,2
COBIJA,leishmaniasis,tratamientos de leishmania cutanea,2016-06-01,6,0,7,1,13,1,14
COCAPATA,leishmaniasis,tratamientos de leishmania cutanea,2016-06-01,2,0,0,0,2,0,2
CONCEPCION,leishmaniasis,tratamientos de leishmania cutanea,2016-06-01,0,0,1,0,1,0,1
COROICO,leishmaniasis,tratamientos de leishmania cutanea,2016-06-01,0,0,0,1,0,1,1
EL TORNO,leishmaniasis,tratamientos de leishmania cutanea,2016-06-01,4,1,3,0,7,1,8
ENTRE RIOS CBBA,leishmaniasis,tratamientos de leishmania cutanea,2016-06-01,2,0,0,0,2,0,2
EUREKA (SANTOS MERCADO),leishmaniasis,tratamientos de leishmania cutanea,2016-06-01,0,0,1,0,1,0,1
FILADELFIA,leishmaniasis,tratamientos de leishmania cutanea,2016-06-01,1,0,1,0,2,0,2
GUAYARAMERIN,leishmaniasis,tratamientos de leishmania cutanea,2016-06-01,1,0,0,0,1,0,1
IRUPANA (VILLA DE LANZA),leishmaniasis,tratamientos de leishmania cutanea,2016-06-01,1,1,1,1,2,2,4
LA ASUNTA,leishmaniasis,tratamientos de leishmania cutanea,2016-06-01,11,8,3,7,14,15,29
MOROCHATA,leishmaniasis,tratamientos de leishmania cutanea,2016-06-01,1,0,0,0,1,0,1
NACEBE (SANTA ROSA DEL ABUNA),leishmaniasis,tratamientos de leishmania cutanea,2016-06-01,0,0,0,1,0,1,1
PADCAYA,leishmaniasis,tratamientos de leishmania cutanea,2016-06-01,1,2,2,3,3,5,8
PALOS BLANCOS,leishmaniasis,tratamientos de leishmania cutanea,2016-06-01,1,1,0,0,1,1,2
PORVENIR,leishmaniasis,tratamientos de leishmania cutanea,2016-06-01,2,2,3,1,5,3,8
PUERTO GONZALO MORENO,leishmaniasis,tratamientos de leishmania cutanea,2016-06-01,1,0,0,0,1,0,1
PUERTO RICO,leishmaniasis,tratamientos de leishmania cutanea,2016-06-01,0,1,0,1,0,2,2
PUERTO VILLARROEL,leishmaniasis,tratamientos de leishmania cutanea,2016-06-01,2,1,0,0,2,1,3
RIBERALTA,leishmaniasis,tratamientos de leishmania cutanea,2016-06-01,9,0,5,0,14,0,14
SACABA,leishmaniasis,tratamientos de leishmania cutanea,2016-06-01,1,1,0,0,1,1,2
SAN BORJA,leishmaniasis,tratamientos de leishmania cutanea,2016-06-01,0,0,1,0,1,0,1
SAN BUENA VENTURA,leishmaniasis,tratamientos de leishmania cutanea,2016-06-01,0,0,3,1,3,1,4
SAN IGNACIO,leishmaniasis,tratamientos de leishmania cutanea,2016-06-01,2,0,1,0,3,0,3
SANTA ROSA,leishmaniasis,tratamientos de leishmania cutanea,2016-06-01,0,1,0,1,0,2,2
SUCRE,leishmaniasis,tratamientos de leishmania cutanea,2016-06-01,1,0,0,0,1,0,1
VILLA TUNARI,leishmaniasis,tratamientos de leishmania cutanea,2016-06-01,1,0,1,1,2,1,3
ALTO BENI,leishmaniasis,tratamientos de leishmania cutanea,2016-07-01,0,1,0,1,0,2,2
BERMEJO,leishmaniasis,tratamientos de leishmania cutanea,2016-07-01,1,0,0,0,1,0,1
CAJUATA,leishmaniasis,tratamientos de leishmania cutanea,2016-07-01,1,1,1,1,2,2,4
CARAPARI,leishmaniasis,tratamientos de leishmania cutanea,2016-07-01,1,0,0,0,1,0,1
CHIMORE,leishmaniasis,tratamientos de leishmania cutanea,2016-07-01,4,0,3,0,7,0,7
CHULUMANI (V. DE LA LIBERTAD),leishmaniasis,tratamientos de leishmania cutanea,2016-07-01,1,0,0,0,1,0,1
COBIJA,leishmaniasis,tratamientos de leishmania cutanea,2016-07-01,2,0,1,0,3,0,3
CORIPATA,leishmaniasis,tratamientos de leishmania cutanea,2016-07-01,1,0,0,0,1,0,1
COROICO,leishmaniasis,tratamientos de leishmania cutanea,2016-07-01,2,0,1,0,3,0,3
EL TORNO,leishmaniasis,tratamientos de leishmania cutanea,2016-07-01,7,0,6,1,13,1,14
ENTRE RIOS CBBA,leishmaniasis,tratamientos de leishmania cutanea,2016-07-01,1,0,3,0,4,0,4
EUREKA (SANTOS MERCADO),leishmaniasis,tratamientos de leishmania cutanea,2016-07-01,2,0,1,0,3,0,3
FILADELFIA,leishmaniasis,tratamientos de leishmania cutanea,2016-07-01,4,3,2,2,6,5,11
GUAYARAMERIN,leishmaniasis,tratamientos de leishmania cutanea,2016-07-01,1,0,0,0,1,0,1
IRUPANA (VILLA DE LANZA),leishmaniasis,tratamientos de leishmania cutanea,2016-07-01,1,0,1,0,2,0,2
IXIAMAS,leishmaniasis,tratamientos de leishmania cutanea,2016-07-01,6,2,0,0,6,2,8
LA ASUNTA,leishmaniasis,tratamientos de leishmania cutanea,2016-07-01,3,3,10,7,13,10,23
NACEBE (SANTA ROSA DEL ABUNA),leishmaniasis,tratamientos de leishmania cutanea,2016-07-01,1,1,0,0,1,1,2
NUEVO MANOA (NUEVA ESPERANZA),leishmaniasis,tratamientos de leishmania cutanea,2016-07-01,1,0,1,0,2,0,2
PADCAYA,leishmaniasis,tratamientos de leishmania cutanea,2016-07-01,0,0,1,1,1,1,2
PADILLA,leishmaniasis,tratamientos de leishmania cutanea,2016-07-01,0,1,0,0,0,1,1
PALOS BLANCOS,leishmaniasis,tratamientos de leishmania cutanea,2016-07-01,4,0,3,0,7,0,7
PORVENIR,leishmaniasis,tratamientos de leishmania cutanea,2016-07-01,2,0,0,1,2,1,3
PUERTO GONZALO MORENO,leishmaniasis,tratamientos de leishmania cutanea,2016-07-01,1,0,0,0,1,0,1
PUERTO SUAREZ,leishmaniasis,tratamientos de leishmania cutanea,2016-07-01,1,0,0,0,1,0,1
RIBERALTA,leishmaniasis,tratamientos de leishmania cutanea,2016-07-01,0,0,1,0,1,0,1
RURRENABAQUE,leishmaniasis,tratamientos de leishmania cutanea,2016-07-01,3,0,1,0,4,0,4
SAN BUENA VENTURA,leishmaniasis,tratamientos de leishmania cutanea,2016-07-01,0,0,1,0,1,0,1
SAN IGNACIO,leishmaniasis,tratamientos de leishmania cutanea,2016-07-01,1,0,1,0,2,0,2
SANTA ROSA,leishmaniasis,tratamientos de leishmania cutanea,2016-07-01,2,0,1,0,3,0,3
VILLA NUEVA (LOMA ALTA),leishmaniasis,tratamientos de leishmania cutanea,2016-07-01,1,0,1,0,2,0,2
VILLA TUNARI,leishmaniasis,tratamientos de leishmania cutanea,2016-07-01,0,0,3,0,3,0,3
ALTO BENI,leishmaniasis,tratamientos de leishmania cutanea,2016-08-01,4,2,4,2,8,4,12
BELLA FLOR,leishmaniasis,tratamientos de leishmania cutanea,2016-08-01,3,1,1,1,4,2,6
BERMEJO,leishmaniasis,tratamientos de leishmania cutanea,2016-08-01,0,1,0,0,0,1,1
CAJUATA,leishmaniasis,tratamientos de leishmania cutanea,2016-08-01,0,1,0,1,0,2,2
CARANAVI,leishmaniasis,tratamientos de leishmania cutanea,2016-08-01,8,9,2,1,10,10,20
CHULUMANI (V. DE LA LIBERTAD),leishmaniasis,tratamientos de leishmania cutanea,2016-08-01,6,19,6,15,12,34,46
COBIJA,leishmaniasis,tratamientos de leishmania cutanea,2016-08-01,28,2,15,1,43,3,46
COCAPATA,leishmaniasis,tratamientos de leishmania cutanea,2016-08-01,1,0,0,0,1,0,1
CONCEPCION,leishmaniasis,tratamientos de leishmania cutanea,2016-08-01,1,0,0,0,1,0,1
CORIPATA,leishmaniasis,tratamientos de leishmania cutanea,2016-08-01,0,1,1,1,1,2,3
COROICO,leishmaniasis,tratamientos de leishmania cutanea,2016-08-01,0,0,1,0,1,0,1
ENTRE RIOS CBBA,leishmaniasis,tratamientos de leishmania cutanea,2016-08-01,1,0,1,0,2,0,2
EUREKA (SANTOS MERCADO),leishmaniasis,tratamientos de leishmania cutanea,2016-08-01,0,0,1,0,1,0,1
FILADELFIA,leishmaniasis,tratamientos de leishmania cutanea,2016-08-01,3,1,3,3,6,4,10
GUAYARAMERIN,leishmaniasis,tratamientos de leishmania cutanea,2016-08-01,0,0,1,0,1,0,1
IRUPANA (VILLA DE LANZA),leishmaniasis,tratamientos de leishmania cutanea,2016-08-01,0,1,0,0,0,1,1
IXIAMAS,leishmaniasis,tratamientos de leishmania cutanea,2016-08-01,4,2,0,0,4,2,6
LA ASUNTA,leishmaniasis,tratamientos de leishmania cutanea,2016-08-01,5,12,3,3,8,15,23
