,group,variable,month,TRATAMIENTOS DE LEISHMANIA MUCOSA Y CUTÁNEA INICIADO,TRATAMIENTOS DE LEISHMANIA MUCOSA Y CUTÁNEA INICIADO,TRATAMIENTOS DE LEISHMANIA MUCOSA Y CUTÁNEA CONCLUIDO,TRATAMIENTOS DE LEISHMANIA MUCOSA Y CUTÁNEA CONCLUIDO,TOTALES,TOTALES,TOTALES
EL TORNO,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2016-07-01,3.0,0.0,0.0,0.0,3.0,0.0,3.0
NACEBE (SANTA ROSA DEL ABUNA),leishmaniasis,tratamientos de leishmania mucosa y cutanea,2016-07-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
VILLA TUNARI,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2016-07-01,0.0,0.0,0.0,1.0,0.0,1.0,1.0
CAJUATA,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2016-08-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
COBIJA,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2016-08-01,0.0,0.0,1.0,0.0,1.0,0.0,1.0
NACEBE (SANTA ROSA DEL ABUNA),leishmaniasis,tratamientos de leishmania mucosa y cutanea,2016-08-01,0.0,0.0,1.0,0.0,1.0,0.0,1.0
POCONA,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2016-08-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
PORVENIR,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2016-08-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
RIBERALTA,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2016-08-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
SAN IGNACIO,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2016-08-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
SAN LORENZO(TJA),leishmaniasis,tratamientos de leishmania mucosa y cutanea,2016-08-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
SUCRE,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2016-08-01,1.0,0.0,1.0,0.0,2.0,0.0,2.0
CARANAVI,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2016-09-01,0.0,0.0,0.0,2.0,0.0,2.0,2.0
EL ALTO,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2016-09-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
EL TORNO,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2016-09-01,1.0,0.0,1.0,0.0,2.0,0.0,2.0
GRAL. J.J. PEREZ (CHARAZANI),leishmaniasis,tratamientos de leishmania mucosa y cutanea,2016-09-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
MOROCHATA,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2016-09-01,0.0,0.0,1.0,0.0,1.0,0.0,1.0
PORVENIR,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2016-09-01,0.0,0.0,1.0,0.0,1.0,0.0,1.0
RIBERALTA,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2016-09-01,0.0,1.0,0.0,1.0,0.0,2.0,2.0
CHULUMANI (V. DE LA LIBERTAD),leishmaniasis,tratamientos de leishmania mucosa y cutanea,2016-10-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
EL TORNO,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2016-10-01,2.0,0.0,3.0,0.0,5.0,0.0,5.0
PALOS BLANCOS,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2016-10-01,0.0,0.0,2.0,1.0,2.0,1.0,3.0
RIBERALTA,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2016-10-01,0.0,0.0,1.0,0.0,1.0,0.0,1.0
SAN IGNACIO,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2016-10-01,17.0,9.0,15.0,6.0,32.0,15.0,47.0
SUCRE,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2016-10-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
VILLA TUNARI,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2016-10-01,0.0,0.0,1.0,0.0,1.0,0.0,1.0
CHULUMANI (V. DE LA LIBERTAD),leishmaniasis,tratamientos de leishmania mucosa y cutanea,2016-11-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
GUAYARAMERIN,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2016-11-01,0.0,0.0,1.0,0.0,1.0,0.0,1.0
HUARACAJE,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2016-11-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
RIBERALTA,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2016-11-01,0.0,0.0,1.0,0.0,1.0,0.0,1.0
YACUIBA,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2016-11-01,0.0,0.0,1.0,0.0,1.0,0.0,1.0
BELLA FLOR,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2016-12-01,0.0,0.0,1.0,0.0,1.0,0.0,1.0
HUARACAJE,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2016-12-01,0.0,0.0,1.0,0.0,1.0,0.0,1.0
