,group,variable,month,TRATAMIENTOS DE LEISHMANIA MUCOSA INICIADO,TRATAMIENTOS DE LEISHMANIA MUCOSA INICIADO,TRATAMIENTOS DE LEISHMANIA MUCOSA CONCLUIDO,TRATAMIENTOS DE LEISHMANIA MUCOSA CONCLUIDO,TOTALES,TOTALES,TOTALES
SAN IGNACIO,leishmaniasis,tratamientos de leishmania mucosa,2016-02-01,0,1,0,0,0,1,1
BELLA FLOR,leishmaniasis,tratamientos de leishmania mucosa,2016-03-01,0,1,0,0,0,1,1
CARANAVI,leishmaniasis,tratamientos de leishmania mucosa,2016-03-01,1,1,0,0,1,1,2
CARAPARI,leishmaniasis,tratamientos de leishmania mucosa,2016-03-01,0,1,0,0,0,1,1
COBIJA,leishmaniasis,tratamientos de leishmania mucosa,2016-03-01,2,0,1,0,3,0,3
FILADELFIA,leishmaniasis,tratamientos de leishmania mucosa,2016-03-01,2,1,0,0,2,1,3
LA ASUNTA,leishmaniasis,tratamientos de leishmania mucosa,2016-03-01,1,2,0,0,1,2,3
PADCAYA,leishmaniasis,tratamientos de leishmania mucosa,2016-03-01,1,0,0,0,1,0,1
PALOS BLANCOS,leishmaniasis,tratamientos de leishmania mucosa,2016-03-01,1,0,0,0,1,0,1
PUERTO VILLARROEL,leishmaniasis,tratamientos de leishmania mucosa,2016-03-01,0,0,1,0,1,0,1
REYES,leishmaniasis,tratamientos de leishmania mucosa,2016-03-01,0,0,3,0,3,0,3
RIBERALTA,leishmaniasis,tratamientos de leishmania mucosa,2016-03-01,1,0,0,0,1,0,1
SAN BORJA,leishmaniasis,tratamientos de leishmania mucosa,2016-03-01,2,0,1,0,3,0,3
SAN IGNACIO,leishmaniasis,tratamientos de leishmania mucosa,2016-03-01,0,0,0,1,0,1,1
BELLA FLOR,leishmaniasis,tratamientos de leishmania mucosa,2016-04-01,0,0,0,1,0,1,1
CHULUMANI (V. DE LA LIBERTAD),leishmaniasis,tratamientos de leishmania mucosa,2016-04-01,0,1,0,0,0,1,1
COBIJA,leishmaniasis,tratamientos de leishmania mucosa,2016-04-01,0,0,2,0,2,0,2
COROICO,leishmaniasis,tratamientos de leishmania mucosa,2016-04-01,0,1,0,0,0,1,1
EL TORNO,leishmaniasis,tratamientos de leishmania mucosa,2016-04-01,2,0,3,0,5,0,5
ENTRE RIOS CBBA,leishmaniasis,tratamientos de leishmania mucosa,2016-04-01,0,0,1,0,1,0,1
FILADELFIA,leishmaniasis,tratamientos de leishmania mucosa,2016-04-01,0,1,0,1,0,2,2
LA ASUNTA,leishmaniasis,tratamientos de leishmania mucosa,2016-04-01,0,0,1,2,1,2,3
PADCAYA,leishmaniasis,tratamientos de leishmania mucosa,2016-04-01,1,0,2,0,3,0,3
PORVENIR,leishmaniasis,tratamientos de leishmania mucosa,2016-04-01,1,0,0,0,1,0,1
RIBERALTA,leishmaniasis,tratamientos de leishmania mucosa,2016-04-01,0,0,1,0,1,0,1
SAN BORJA,leishmaniasis,tratamientos de leishmania mucosa,2016-04-01,0,0,1,0,1,0,1
TEOPONTE,leishmaniasis,tratamientos de leishmania mucosa,2016-04-01,1,0,0,0,1,0,1
CARANAVI,leishmaniasis,tratamientos de leishmania mucosa,2016-05-01,0,0,0,1,0,1,1
CHULUMANI (V. DE LA LIBERTAD),leishmaniasis,tratamientos de leishmania mucosa,2016-05-01,0,0,1,0,1,0,1
COBIJA,leishmaniasis,tratamientos de leishmania mucosa,2016-05-01,4,0,0,0,4,0,4
EL TORNO,leishmaniasis,tratamientos de leishmania mucosa,2016-05-01,1,0,1,0,2,0,2
FILADELFIA,leishmaniasis,tratamientos de leishmania mucosa,2016-05-01,2,0,0,1,2,1,3
PORVENIR,leishmaniasis,tratamientos de leishmania mucosa,2016-05-01,0,0,1,0,1,0,1
QUILLACOLLO,leishmaniasis,tratamientos de leishmania mucosa,2016-05-01,0,1,0,0,0,1,1
SACABA,leishmaniasis,tratamientos de leishmania mucosa,2016-05-01,1,0,0,0,1,0,1
SAN BORJA,leishmaniasis,tratamientos de leishmania mucosa,2016-05-01,2,0,0,0,2,0,2
TEOPONTE,leishmaniasis,tratamientos de leishmania mucosa,2016-05-01,1,0,0,0,1,0,1
COBIJA,leishmaniasis,tratamientos de leishmania mucosa,2016-06-01,0,1,2,1,2,2,4
COCHABAMBA,leishmaniasis,tratamientos de leishmania mucosa,2016-06-01,1,0,0,0,1,0,1
EL TORNO,leishmaniasis,tratamientos de leishmania mucosa,2016-06-01,1,0,0,0,1,0,1
ENTRE RIOS CBBA,leishmaniasis,tratamientos de leishmania mucosa,2016-06-01,1,0,0,0,1,0,1
FILADELFIA,leishmaniasis,tratamientos de leishmania mucosa,2016-06-01,0,0,2,0,2,0,2
LA ASUNTA,leishmaniasis,tratamientos de leishmania mucosa,2016-06-01,2,0,0,0,2,0,2
PORVENIR,leishmaniasis,tratamientos de leishmania mucosa,2016-06-01,2,1,0,0,2,1,3
PUERTO RICO,leishmaniasis,tratamientos de leishmania mucosa,2016-06-01,0,1,0,1,0,2,2
SACABA,leishmaniasis,tratamientos de leishmania mucosa,2016-06-01,0,0,1,0,1,0,1
SAN BORJA,leishmaniasis,tratamientos de leishmania mucosa,2016-06-01,1,0,2,0,3,0,3
SUCRE,leishmaniasis,tratamientos de leishmania mucosa,2016-06-01,2,0,0,0,2,0,2
CHULUMANI (V. DE LA LIBERTAD),leishmaniasis,tratamientos de leishmania mucosa,2016-07-01,0,0,0,1,0,1,1
COBIJA,leishmaniasis,tratamientos de leishmania mucosa,2016-07-01,2,0,0,1,2,1,3
COLOMI,leishmaniasis,tratamientos de leishmania mucosa,2016-07-01,1,0,0,0,1,0,1
COROICO,leishmaniasis,tratamientos de leishmania mucosa,2016-07-01,1,0,0,0,1,0,1
EL TORNO,leishmaniasis,tratamientos de leishmania mucosa,2016-07-01,0,0,3,0,3,0,3
ENTRE RIOS CBBA,leishmaniasis,tratamientos de leishmania mucosa,2016-07-01,1,0,1,0,2,0,2
FILADELFIA,leishmaniasis,tratamientos de leishmania mucosa,2016-07-01,0,0,2,1,2,1,3
LA ASUNTA,leishmaniasis,tratamientos de leishmania mucosa,2016-07-01,0,0,1,0,1,0,1
PALOS BLANCOS,leishmaniasis,tratamientos de leishmania mucosa,2016-07-01,1,0,0,0,1,0,1
PORVENIR,leishmaniasis,tratamientos de leishmania mucosa,2016-07-01,1,0,2,1,3,1,4
PUERTO VILLARROEL,leishmaniasis,tratamientos de leishmania mucosa,2016-07-01,1,0,3,0,4,0,4
SAN BORJA,leishmaniasis,tratamientos de leishmania mucosa,2016-07-01,0,0,1,0,1,0,1
TACOPAYA,leishmaniasis,tratamientos de leishmania mucosa,2016-07-01,1,0,0,0,1,0,1
CARANAVI,leishmaniasis,tratamientos de leishmania mucosa,2016-08-01,0,2,0,0,0,2,2
CHULUMANI (V. DE LA LIBERTAD),leishmaniasis,tratamientos de leishmania mucosa,2016-08-01,1,0,0,0,1,0,1
COBIJA,leishmaniasis,tratamientos de leishmania mucosa,2016-08-01,3,3,2,0,5,3,8
COLOMI,leishmaniasis,tratamientos de leishmania mucosa,2016-08-01,0,0,1,0,1,0,1
COROICO,leishmaniasis,tratamientos de leishmania mucosa,2016-08-01,0,0,1,0,1,0,1
ENTRE RIOS CBBA,leishmaniasis,tratamientos de leishmania mucosa,2016-08-01,0,0,1,0,1,0,1
FILADELFIA,leishmaniasis,tratamientos de leishmania mucosa,2016-08-01,2,0,0,0,2,0,2
IRUPANA (VILLA DE LANZA),leishmaniasis,tratamientos de leishmania mucosa,2016-08-01,1,0,0,0,1,0,1
LA ASUNTA,leishmaniasis,tratamientos de leishmania mucosa,2016-08-01,0,3,0,0,0,3,3
PALOS BLANCOS,leishmaniasis,tratamientos de leishmania mucosa,2016-08-01,0,0,1,0,1,0,1
PORVENIR,leishmaniasis,tratamientos de leishmania mucosa,2016-08-01,0,0,1,0,1,0,1
PUERTO RICO,leishmaniasis,tratamientos de leishmania mucosa,2016-08-01,1,0,0,0,1,0,1
QUILLACOLLO,leishmaniasis,tratamientos de leishmania mucosa,2016-08-01,1,0,0,0,1,0,1
RIBERALTA,leishmaniasis,tratamientos de leishmania mucosa,2016-08-01,1,0,0,0,1,0,1
SUCRE,leishmaniasis,tratamientos de leishmania mucosa,2016-08-01,0,1,0,0,0,1,1
VILLA TUNARI,leishmaniasis,tratamientos de leishmania mucosa,2016-08-01,1,0,0,0,1,0,1
CHULUMANI (V. DE LA LIBERTAD),leishmaniasis,tratamientos de leishmania mucosa,2016-09-01,1,0,0,0,1,0,1
COBIJA,leishmaniasis,tratamientos de leishmania mucosa,2016-09-01,4,2,4,2,8,4,12
EL TORNO,leishmaniasis,tratamientos de leishmania mucosa,2016-09-01,1,0,2,0,3,0,3
ENTRE RIOS CBBA,leishmaniasis,tratamientos de leishmania mucosa,2016-09-01,1,0,0,0,1,0,1
FILADELFIA,leishmaniasis,tratamientos de leishmania mucosa,2016-09-01,0,0,1,1,1,1,2
GUAYARAMERIN,leishmaniasis,tratamientos de leishmania mucosa,2016-09-01,0,1,0,0,0,1,1
IRUPANA (VILLA DE LANZA),leishmaniasis,tratamientos de leishmania mucosa,2016-09-01,0,1,1,0,1,1,2
LA ASUNTA,leishmaniasis,tratamientos de leishmania mucosa,2016-09-01,1,2,0,2,1,4,5
PORVENIR,leishmaniasis,tratamientos de leishmania mucosa,2016-09-01,1,0,0,0,1,0,1
PUERTO RICO,leishmaniasis,tratamientos de leishmania mucosa,2016-09-01,1,0,0,0,1,0,1
RIBERALTA,leishmaniasis,tratamientos de leishmania mucosa,2016-09-01,1,0,1,0,2,0,2
SAN BORJA,leishmaniasis,tratamientos de leishmania mucosa,2016-09-01,2,0,0,0,2,0,2
VILLA TUNARI,leishmaniasis,tratamientos de leishmania mucosa,2016-09-01,1,0,0,0,1,0,1
BAURES,leishmaniasis,tratamientos de leishmania mucosa,2016-10-01,1,0,0,0,1,0,1
COBIJA,leishmaniasis,tratamientos de leishmania mucosa,2016-10-01,1,1,3,1,4,2,6
COLCAPIRHUA,leishmaniasis,tratamientos de leishmania mucosa,2016-10-01,1,0,0,0,1,0,1
EL TORNO,leishmaniasis,tratamientos de leishmania mucosa,2016-10-01,2,0,3,0,5,0,5
ENTRE RIOS CBBA,leishmaniasis,tratamientos de leishmania mucosa,2016-10-01,0,0,1,0,1,0,1
FILADELFIA,leishmaniasis,tratamientos de leishmania mucosa,2016-10-01,1,0,0,0,1,0,1
GUAYARAMERIN,leishmaniasis,tratamientos de leishmania mucosa,2016-10-01,2,1,0,0,2,1,3
IRUPANA (VILLA DE LANZA),leishmaniasis,tratamientos de leishmania mucosa,2016-10-01,0,0,0,1,0,1,1
LA ASUNTA,leishmaniasis,tratamientos de leishmania mucosa,2016-10-01,0,0,1,2,1,2,3
LA PAZ,leishmaniasis,tratamientos de leishmania mucosa,2016-10-01,1,0,0,0,1,0,1
PADCAYA,leishmaniasis,tratamientos de leishmania mucosa,2016-10-01,1,0,0,0,1,0,1
PALOS BLANCOS,leishmaniasis,tratamientos de leishmania mucosa,2016-10-01,1,0,1,2,2,2,4
PORVENIR,leishmaniasis,tratamientos de leishmania mucosa,2016-10-01,0,1,0,0,0,1,1
PUERTO RICO,leishmaniasis,tratamientos de leishmania mucosa,2016-10-01,2,0,0,0,2,0,2
RIBERALTA,leishmaniasis,tratamientos de leishmania mucosa,2016-10-01,0,0,3,1,3,1,4
SACABA,leishmaniasis,tratamientos de leishmania mucosa,2016-10-01,1,0,0,0,1,0,1
SAN BORJA,leishmaniasis,tratamientos de leishmania mucosa,2016-10-01,0,0,2,0,2,0,2
SAN IGNACIO,leishmaniasis,tratamientos de leishmania mucosa,2016-10-01,8,5,8,5,16,10,26
SENA,leishmaniasis,tratamientos de leishmania mucosa,2016-10-01,1,0,1,0,2,0,2
SUCRE,leishmaniasis,tratamientos de leishmania mucosa,2016-10-01,0,1,0,0,0,1,1
VILLA TUNARI,leishmaniasis,tratamientos de leishmania mucosa,2016-10-01,0,0,1,0,1,0,1
BAURES,leishmaniasis,tratamientos de leishmania mucosa,2016-11-01,0,0,1,0,1,0,1
CHULUMANI (V. DE LA LIBERTAD),leishmaniasis,tratamientos de leishmania mucosa,2016-11-01,0,0,1,0,1,0,1
COBIJA,leishmaniasis,tratamientos de leishmania mucosa,2016-11-01,2,1,1,1,3,2,5
COROICO,leishmaniasis,tratamientos de leishmania mucosa,2016-11-01,1,0,0,0,1,0,1
EL TORNO,leishmaniasis,tratamientos de leishmania mucosa,2016-11-01,1,0,2,0,3,0,3
FILADELFIA,leishmaniasis,tratamientos de leishmania mucosa,2016-11-01,1,0,0,0,1,0,1
LA ASUNTA,leishmaniasis,tratamientos de leishmania mucosa,2016-11-01,2,0,0,0,2,0,2
PORVENIR,leishmaniasis,tratamientos de leishmania mucosa,2016-11-01,0,0,0,1,0,1,1
RIBERALTA,leishmaniasis,tratamientos de leishmania mucosa,2016-11-01,2,1,1,1,3,2,5
SAN BORJA,leishmaniasis,tratamientos de leishmania mucosa,2016-11-01,0,0,1,0,1,0,1
CARANAVI,leishmaniasis,tratamientos de leishmania mucosa,2016-12-01,2,0,1,0,3,0,3
CHULUMANI (V. DE LA LIBERTAD),leishmaniasis,tratamientos de leishmania mucosa,2016-12-01,0,0,1,0,1,0,1
COBIJA,leishmaniasis,tratamientos de leishmania mucosa,2016-12-01,0,0,0,1,0,1,1
EL TORNO,leishmaniasis,tratamientos de leishmania mucosa,2016-12-01,3,0,1,0,4,0,4
FILADELFIA,leishmaniasis,tratamientos de leishmania mucosa,2016-12-01,0,0,1,0,1,0,1
LA ASUNTA,leishmaniasis,tratamientos de leishmania mucosa,2016-12-01,1,0,2,0,3,0,3
PADCAYA,leishmaniasis,tratamientos de leishmania mucosa,2016-12-01,0,0,1,0,1,0,1
PORVENIR,leishmaniasis,tratamientos de leishmania mucosa,2016-12-01,1,0,1,0,2,0,2
PUERTO VILLARROEL,leishmaniasis,tratamientos de leishmania mucosa,2016-12-01,0,1,0,0,0,1,1
QUILLACOLLO,leishmaniasis,tratamientos de leishmania mucosa,2016-12-01,1,0,0,0,1,0,1
RIBERALTA,leishmaniasis,tratamientos de leishmania mucosa,2016-12-01,1,0,1,0,2,0,2
SAN IGNACIO,leishmaniasis,tratamientos de leishmania mucosa,2016-12-01,1,0,0,0,1,0,1
SIPE SIPE,leishmaniasis,tratamientos de leishmania mucosa,2016-12-01,1,0,0,0,1,0,1
VILLA TUNARI,leishmaniasis,tratamientos de leishmania mucosa,2016-12-01,1,0,0,0,1,0,1
