,group,variable,month,Nº DE QUIMIOPROFILAXIS EN MENORES DE 5 AÑOS CANTIDAD,Nº DE QUIMIOPROFILAXIS EN MENORES DE 5 AÑOS CANTIDAD,TOTALES
TIQUIPAYA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-01-01,1,1,2
TRINIDAD,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-01-01,4,1,5
VIACHA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-01-01,0,1,1
VILLA MONTES,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-01-01,0,1,1
VILLA TUNARI,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-01-01,3,0,3
WARNES,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-01-01,1,6,7
YACUIBA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-01-01,1,2,3
YAPACANI,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-01-01,2,1,3
AYATA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-02-01,0,1,1
BERMEJO,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-02-01,1,0,1
CAJUATA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-02-01,1,0,1
CARANAVI,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-02-01,2,1,3
CHUQUIHUTA AYLLU JUCUMANI,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-02-01,0,1,1
COBIJA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-02-01,0,1,1
COCHABAMBA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-02-01,1,5,6
COLCAPIRHUA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-02-01,0,2,2
CORIPATA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-02-01,1,0,1
COTOCA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-02-01,0,2,2
EL ALTO,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-02-01,5,3,8
EL TORNO,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-02-01,2,1,3
ENTRE RIOS CBBA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-02-01,3,0,3
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-02-01,0,1,1
LA GUARDIA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-02-01,2,2,4
LA PAZ,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-02-01,0,1,1
MONTERO,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-02-01,1,1,2
OKINAWA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-02-01,2,1,3
PALOS BLANCOS,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-02-01,0,1,1
PUERTO VILLARROEL,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-02-01,1,1,2
QUILLACOLLO,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-02-01,0,2,2
RIBERALTA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-02-01,1,1,2
SACABA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-02-01,1,1,2
SAN JOSE DE CHIQUITOS,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-02-01,0,1,1
SAN JUAN DE YAPACANI,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-02-01,1,1,2
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-02-01,13,17,30
SHINAOTA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-02-01,0,2,2
TARIJA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-02-01,0,1,1
TARVITA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-02-01,1,0,1
TIPUANI,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-02-01,1,1,2
TRINIDAD,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-02-01,1,2,3
VILLA RIVERO,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-02-01,0,2,2
VILLA TUNARI,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-02-01,2,3,5
VINTO,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-02-01,1,0,1
YACUIBA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-02-01,2,2,4
YANACACHI,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-02-01,1,0,1
ASCENCION DE GUARAYOS,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-03-01,2,2,4
AYOPAYA (V. DE INDEPENDENCIA),tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-03-01,0,2,2
BERMEJO,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-03-01,2,0,2
CAMIRI,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-03-01,1,0,1
CARANAVI,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-03-01,0,1,1
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-03-01,2,1,3
COBIJA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-03-01,1,0,1
COCHABAMBA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-03-01,3,2,5
CORIPATA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-03-01,0,1,1
COROICO,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-03-01,1,0,1
COTOCA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-03-01,0,3,3
EL ALTO,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-03-01,3,1,4
EL PUENTE(STC),tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-03-01,3,2,5
EUREKA (SANTOS MERCADO),tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-03-01,1,1,2
GENERAL SAAVEDRA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-03-01,2,1,3
GUANAY,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-03-01,1,1,2
GUAYARAMERIN,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-03-01,0,1,1
LA ASUNTA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-03-01,2,0,2
LA GUARDIA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-03-01,4,2,6
LA PAZ,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-03-01,0,0,0
MAPIRI,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-03-01,0,1,1
MINEROS,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-03-01,0,1,1
MONTERO,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-03-01,4,1,5
ORURO,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-03-01,0,1,1
PAILON,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-03-01,0,1,1
POTOSI,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-03-01,0,2,2
PUCARANI,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-03-01,0,2,2
PUERTO VILLARROEL,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-03-01,2,0,2
RIBERALTA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-03-01,0,1,1
RURRENABAQUE,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-03-01,1,0,1
SACABA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-03-01,0,1,1
SAN BORJA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-03-01,2,0,2
SAN CARLOS,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-03-01,1,1,2
SAN JUAN DE YAPACANI,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-03-01,1,0,1
SAN PEDRO,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-03-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-03-01,16,12,28
SANTA ROSA DEL SARA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-03-01,1,0,1
SHINAOTA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-03-01,0,1,1
TAPACARI,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-03-01,0,1,1
TARIJA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-03-01,3,5,8
TIPUANI,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-03-01,1,0,1
TOCO,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-03-01,1,0,1
TRINIDAD,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-03-01,1,1,2
VILLA TUNARI,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-03-01,0,1,1
VINTO,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-03-01,1,1,2
WARNES,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-03-01,4,3,7
YACUIBA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-03-01,1,4,5
YAPACANI,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-03-01,1,1,2
BETANZOS,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-04-01,1,0,1
CARANAVI,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-04-01,2,1,3
COCHABAMBA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-04-01,1,1,2
COROICO,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-04-01,1,0,1
COTOCA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-04-01,2,2,4
CUATRO CAÑADAS,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-04-01,1,1,2
EL ALTO,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-04-01,3,4,7
FILADELFIA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-04-01,2,0,2
GENERAL SAAVEDRA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-04-01,1,0,1
GUAYARAMERIN,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-04-01,0,3,3
GUTIERREZ,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-04-01,4,2,6
LA ASUNTA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-04-01,1,2,3
LA PAZ,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-04-01,2,1,3
LAJA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-04-01,1,0,1
POTOSI,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-04-01,0,1,1
QUILLACOLLO,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-04-01,2,1,3
RIBERALTA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-04-01,1,0,1
SACABA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-04-01,2,3,5
SAN IGNACIO DE VELASCO,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-04-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-04-01,14,15,29
SANTA ROSA DEL SARA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-04-01,1,0,1
SHINAOTA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-04-01,2,0,2
SIPE SIPE,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-04-01,0,2,2
SOPACHUY,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-04-01,1,0,1
SUCRE,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-04-01,1,0,1
TARACO,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-04-01,0,1,1
TIPUANI,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-04-01,1,0,1
TRINIDAD,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-04-01,1,0,1
URIONDO (A. CONCEPCION),tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-04-01,0,1,1
URUBICHA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-04-01,0,2,2
VILLA MONTES,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-04-01,1,0,1
VINTO,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-04-01,1,0,1
WARNES,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-04-01,4,3,7
YACO,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-04-01,0,1,1
YACUIBA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-04-01,1,1,2
YAPACANI,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-04-01,1,3,4
BERMEJO,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-05-01,1,0,1
"CAIZA ""D""",tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-05-01,0,1,1
CARANAVI,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-05-01,1,0,1
CHARAGUA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-05-01,1,2,3
CHIMORE,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-05-01,1,0,1
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-05-01,1,0,1
COBIJA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-05-01,0,0,0
COCHABAMBA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-05-01,1,2,3
COLOMI,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-05-01,0,1,1
COROICO,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-05-01,0,1,1
COTOCA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-05-01,1,1,2
CUATRO CAÑADAS,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-05-01,2,0,2
EL TORNO,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-05-01,1,1,2
ENTRE RIOS CBBA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-05-01,1,1,2
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-05-01,3,2,5
LA GUARDIA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-05-01,1,0,1
LA PAZ,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-05-01,1,1,2
MIZQUE,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-05-01,0,1,1
MOCOMOCO,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-05-01,0,1,1
MONTERO,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-05-01,1,0,1
PORONGO,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-05-01,0,1,1
PUERTO VILLARROEL,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-05-01,3,4,7
QUILLACOLLO,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-05-01,1,2,3
RURRENABAQUE,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-05-01,1,0,1
SAN BORJA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-05-01,0,1,1
SAN CARLOS,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-05-01,1,0,1
SAN JOSE DE CHIQUITOS,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-05-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-05-01,12,2,14
SHINAOTA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-05-01,0,1,1
TARIJA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-05-01,1,1,2
TIPUANI,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-05-01,1,1,2
TIQUIPAYA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-05-01,0,1,1
TOMINA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-05-01,3,0,3
TORO TORO,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-05-01,1,1,2
TRINIDAD,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-05-01,0,1,1
VILLA MONTES,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-05-01,2,0,2
WARNES,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-05-01,1,0,1
YACUIBA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-05-01,0,2,2
YAPACANI,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-05-01,2,0,2
AYOPAYA (V. DE INDEPENDENCIA),tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-06-01,1,1,2
CARANAVI,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-06-01,1,0,1
CHARAGUA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-06-01,0,1,1
CHIMORE,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-06-01,1,1,2
COTOCA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-06-01,2,0,2
HUANUNI,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-06-01,1,0,1
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-06-01,0,1,1
LA ASUNTA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-06-01,1,0,1
LA PAZ,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-06-01,1,2,3
MONTERO,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-06-01,2,1,3
PORONGO,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-06-01,0,1,1
POTOSI,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-06-01,1,0,1
PUCARANI,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-06-01,0,1,1
PUERTO VILLARROEL,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-06-01,3,0,3
RURRENABAQUE,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-06-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-06-01,5,4,9
SANTA ROSA DEL SARA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-06-01,0,1,1
SHINAOTA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-06-01,1,2,3
TACACOMA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-06-01,1,1,2
TIQUIPAYA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-06-01,1,0,1
TOMINA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-06-01,1,0,1
VIACHA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-06-01,1,0,1
VILLA VACA GUZMAN (MUYUPAMPA),tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-06-01,0,1,1
WARNES,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-06-01,1,0,1
YACUIBA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-06-01,2,2,4
YAPACANI,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-06-01,3,0,3
ZUDAÑEZ,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-06-01,1,0,1
CARANAVI,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-07-01,1,0,1
CARAPARI,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-07-01,1,0,1
CHARAGUA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-07-01,1,0,1
COLQUENCHA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-07-01,1,0,1
COROICO,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-07-01,1,1,2
COTOCA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-07-01,1,2,3
EL ALTO,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-07-01,0,1,1
GUANAY,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-07-01,1,0,1
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-07-01,0,2,2
LA GUARDIA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-07-01,1,0,1
LA PAZ,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-07-01,0,0,0
MINEROS,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-07-01,2,0,2
MONTERO,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-07-01,0,1,1
PALOS BLANCOS,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-07-01,0,1,1
PUERTO VILLARROEL,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-07-01,2,0,2
RAQAYPAMPA(ETA),tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-07-01,0,1,1
RIBERALTA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-07-01,0,1,1
SAN IGNACIO DE VELASCO,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-07-01,0,1,1
SAN PEDRO DE BUENA VISTA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-07-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-07-01,6,6,12
SANTA ROSA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-07-01,0,1,1
TRINIDAD,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2020-07-01,0,3,3
