,group,variable,month,N° DE SINTOMÁTICOS RESPIRATORIOS CANTIDAD,N° DE SINTOMÁTICOS RESPIRATORIOS CANTIDAD,TOTALES
CHUA COCANI,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,0,1,1
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,6,15,21
CHUMA,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,2,0,2
CHUQUIHUTA AYLLU JUCUMANI,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,1,1,2
CKOCHAS,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,3,3,6
CLIZA,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,4,6,10
COBIJA,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,52,14,66
COCHABAMBA,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,185,196,381
COLCAPIRHUA,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,29,20,49
"COLCHA ""K""",tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,1,1,2
COLOMI,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,1,5,6
COLPA BELGICA,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,1,3,4
COLQUECHACA,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,2,1,3
COLQUIRI,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,3,1,4
COMARAPA,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,2,3,5
CONCEPCION,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,5,3,8
COPACABANA,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,1,0,1
CORIPATA,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,5,1,6
COROICO,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,12,6,18
CORQUE,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,0,1,1
COTAGAITA,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,7,2,9
COTOCA,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,26,31,57
CUATRO CAÑADAS,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,6,2,8
CUEVO,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,1,1,2
CULPINA,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,3,3,6
CURAHUARA DE CARANGAS,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,2,0,2
DESAGUADERO,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,1,2,3
EL ALTO,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,237,202,439
EL CHORO,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,1,0,1
EL PUENTE(TJA),tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,3,2,5
EL TORNO,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,18,15,33
EL VILLAR,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,0,4,4
ENTRE RIOS TRJ,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,6,4,10
ENTRE RIOS CBBA,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,10,12,22
EUCALIPTUS,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,1,3,4
FERNANDEZ ALONSO,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,1,3,4
FILADELFIA,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,1,0,1
GENERAL SAAVEDRA,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,3,0,3
GRAL. J.J. PEREZ (CHARAZANI),tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,1,1,2
GUANAY,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,6,3,9
GUAQUI,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,0,1,1
GUAYARAMERIN,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,15,9,24
GUTIERREZ,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,4,5,9
HUACARETA,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,0,2,2
HUACAYA (VILLA DE HUACAYA),tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,2,0,2
HUANUNI,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,22,3,25
HUATAJATA,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,0,1,1
HUAYLLAMARCA,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,1,1,2
ICLA,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,0,3,3
INCAHUASI,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,3,4,7
INQUISIVI,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,3,1,4
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,2,5,7
IXIAMAS,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,0,1,1
JESUS DE MACHACA,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,2,5,7
LA ASUNTA,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,29,9,38
LA GUARDIA,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,45,47,92
LA PAZ,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,372,225,597
LAJA,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,4,8,12
LAS CARRERAS,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,2,1,3
LICOMA PAMPA,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,1,1,2
LLALLAGUA,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,16,10,26
LORETO,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,0,2,2
MACHACAMARCA,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,0,1,1
MACHARETI,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,1,2,3
MAIRANA,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,1,2,3
MAPIRI,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,8,5,13
MECAPACA,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,3,1,4
MINEROS,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,3,1,4
MIZQUE,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,10,7,17
MOCOMOCO,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,3,0,3
MOJOCOYA,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,0,1,1
MONTEAGUDO,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,6,4,10
MONTERO,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,71,52,123
MOROCHATA,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,2,3,5
NACEBE (SANTA ROSA DEL ABUNA),tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,1,0,1
OCURI,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,2,1,3
OKINAWA,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,2,1,3
ORURO,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,115,79,194
PADCAYA,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,4,2,6
PADILLA,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,3,3,6
PAILON,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,9,3,12
PALCA,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,7,7,14
PALOS BLANCOS,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,13,16,29
PAMPA AULLAGAS,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,1,0,1
PAMPA GRANDE,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,1,1,2
PAPEL PAMPA,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,1,0,1
PATACAMAYA,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,1,4,5
PAZÑA,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,0,1,1
PELECHUCO,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,1,0,1
POCOATA,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,1,1,2
POOPO,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,2,2,4
PORCO,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,1,2,3
POROMA,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,2,2,4
PORONGO,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,5,0,5
PORTACHUELO,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,3,1,4
PORVENIR,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,5,2,7
POSTRER VALLE,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,1,0,1
POTOSI,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,134,42,176
PRESTO,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,2,3,5
PUCARANI,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,2,2,4
PUERTO ACOSTA,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,1,1,2
PUERTO PEREZ,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,0,1,1
PUERTO QUIJARRO,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,14,9,23
PUERTO RICO,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,2,0,2
PUERTO VILLARROEL,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,23,31,54
PUNA,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,2,3,5
PUNATA,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,10,11,21
QUIABAYA,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,2,0,2
QUILLACOLLO,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,49,47,96
QUIME,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,3,3,6
RAQAYPAMPA(ETA),tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,0,1,1
RAVELO,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,5,1,6
REYES,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,3,0,3
RIBERALTA,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,33,45,78
ROBORE,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,6,3,9
RURRENABAQUE,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,3,0,3
SABAYA,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,3,3,6
SACABA,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,37,38,75
SACACA,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,4,1,5
SAIPINA,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,1,1,2
SALINAS DE GARCI MENDOZA,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,1,1,2
SAN ANDRES,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,0,2,2
SAN BENITO,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,2,1,3
SAN BORJA,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,9,5,14
SAN BUENA VENTURA,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,3,1,4
SAN CARLOS,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,4,5,9
SAN IGNACIO,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,5,9,14
SAN IGNACIO DE VELASCO,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,11,10,21
SAN JAVIER(STC),tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,3,0,3
SAN JOAQUIN,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,3,1,4
SAN JOSE DE CHIQUITOS,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,5,2,7
SAN JUAN DE YAPACANI,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,3,1,4
SAN JULIAN,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,18,18,36
SAN LORENZO(TJA),tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,1,5,6
SAN LUCAS,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,6,8,14
SAN MATIAS,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,0,2,2
SAN MIGUEL DE VELASCO,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,6,2,8
SAN PEDRO,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,5,4,9
SAN PEDRO DE BUENA VISTA,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,3,5,8
SAN PEDRO(PND),tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,1,0,1
SAN RAFAEL,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,0,1,1
SAN RAMON BENI,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,1,1,2
SAN RAMON SCZ,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,2,1,3
SANTA ANA,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,6,1,7
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,522,431,953
SANTA ROSA,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,2,1,3
SANTA ROSA DEL SARA,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,6,3,9
SANTIAGO DE HUARI,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,1,2,3
SANTIVAÑES,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,0,1,1
SANTUARIO DE QUILLACAS,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,0,1,1
SENA,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,1,1,2
SHINAOTA,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,17,13,30
SICA SICA (VILLA AROMA),tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,1,1,2
SICAYA,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,2,1,3
SIPE SIPE,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,12,11,23
SOPACHUY,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,4,4,8
SORACACHI,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,0,1,1
SORATA,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,10,4,14
SUCRE,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,82,82,164
TACACOMA,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,1,2,3
TACOPAYA,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,1,1,2
TAPACARI,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,5,3,8
TARABUCO,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,3,2,5
TARATA,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,2,2,4
TARIJA,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,46,36,82
TARVITA,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,4,6,10
TEOPONTE,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,3,1,4
TIAHUANACU,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,1,0,1
TINGUIPAYA,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,1,1,2
TIPUANI,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,11,3,14
TIQUIPAYA,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,12,15,27
TIRAQUE (CBBA),tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,6,9,15
TOLATA,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,2,2,4
TOLEDO,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,3,0,3
TOMAVE,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,3,0,3
TOMINA,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,5,2,7
TORO TORO,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,0,1,1
TOTORA(CBBA),tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,0,4,4
TOTORA(ORR),tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,2,0,2
TRINIDAD,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,105,50,155
TUPIZA,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,15,10,25
TURCO,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,1,0,1
UNCIA,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,5,0,5
URIONDO (A. CONCEPCION),tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,0,2,2
URUBICHA,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,5,2,7
UYUNI,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,5,3,8
VACAS,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,5,5,10
VALLEGRANDE,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,4,3,7
VIACHA,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,11,11,22
VILA VILA,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,1,5,6
VILLA CHARCAS,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,2,2,4
VILLA MONTES,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,11,9,20
VILLA NUEVA (LOMA ALTA),tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,1,0,1
VILLA RIVERO,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,0,1,1
VILLA SERRANO,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,3,0,3
VILLA TUNARI,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,24,33,57
VILLA VACA GUZMAN (MUYUPAMPA),tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,2,3,5
VILLAZON,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,12,8,20
VINTO,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,7,11,18
VITICHI,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,1,0,1
WALDO BALLIVIAN,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,1,0,1
WARNES,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,29,38,67
YACUIBA,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,44,42,86
YAMPARAEZ,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,3,0,3
YANACACHI,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,1,0,1
YAPACANI,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,49,62,111
YOTALA,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,2,0,2
YUNCHARA,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,1,3,4
ZUDAÑEZ,tuberculosis y lepra,n de sintomaticos respiratorios,2020-01-01,3,2,5
ACACIO,tuberculosis y lepra,n de sintomaticos respiratorios,2020-02-01,1,0,1
ACHACACHI,tuberculosis y lepra,n de sintomaticos respiratorios,2020-02-01,7,7,14
ACHOCALLA,tuberculosis y lepra,n de sintomaticos respiratorios,2020-02-01,4,6,10
AIQUILE,tuberculosis y lepra,n de sintomaticos respiratorios,2020-02-01,4,5,9
ALCALA,tuberculosis y lepra,n de sintomaticos respiratorios,2020-02-01,1,1,2
ALTO BENI,tuberculosis y lepra,n de sintomaticos respiratorios,2020-02-01,4,0,4
ANCORAIMES,tuberculosis y lepra,n de sintomaticos respiratorios,2020-02-01,10,3,13
ANDAMARCA,tuberculosis y lepra,n de sintomaticos respiratorios,2020-02-01,2,2,4
ANTEQUERA,tuberculosis y lepra,n de sintomaticos respiratorios,2020-02-01,1,2,3
ANZALDO,tuberculosis y lepra,n de sintomaticos respiratorios,2020-02-01,5,4,9
APOLO,tuberculosis y lepra,n de sintomaticos respiratorios,2020-02-01,1,2,3
ARANI,tuberculosis y lepra,n de sintomaticos respiratorios,2020-02-01,0,2,2
ARBIETO,tuberculosis y lepra,n de sintomaticos respiratorios,2020-02-01,5,3,8
ARQUE,tuberculosis y lepra,n de sintomaticos respiratorios,2020-02-01,0,3,3
ASCENCION DE GUARAYOS,tuberculosis y lepra,n de sintomaticos respiratorios,2020-02-01,4,5,9
ATOCHA,tuberculosis y lepra,n de sintomaticos respiratorios,2020-02-01,8,2,10
AUCAPATA,tuberculosis y lepra,n de sintomaticos respiratorios,2020-02-01,1,0,1
AYATA,tuberculosis y lepra,n de sintomaticos respiratorios,2020-02-01,3,3,6
AYO AYO,tuberculosis y lepra,n de sintomaticos respiratorios,2020-02-01,2,2,4
AYOPAYA (V. DE INDEPENDENCIA),tuberculosis y lepra,n de sintomaticos respiratorios,2020-02-01,16,10,26
AZURDUY,tuberculosis y lepra,n de sintomaticos respiratorios,2020-02-01,0,5,5
BATALLAS,tuberculosis y lepra,n de sintomaticos respiratorios,2020-02-01,0,1,1
BAURES,tuberculosis y lepra,n de sintomaticos respiratorios,2020-02-01,0,1,1
BELEN DE URMIRI,tuberculosis y lepra,n de sintomaticos respiratorios,2020-02-01,1,0,1
BERMEJO,tuberculosis y lepra,n de sintomaticos respiratorios,2020-02-01,14,4,18
BETANZOS,tuberculosis y lepra,n de sintomaticos respiratorios,2020-02-01,4,8,12
BOYUIBE,tuberculosis y lepra,n de sintomaticos respiratorios,2020-02-01,4,1,5
BUENA VISTA,tuberculosis y lepra,n de sintomaticos respiratorios,2020-02-01,4,5,9
CABEZAS,tuberculosis y lepra,n de sintomaticos respiratorios,2020-02-01,7,3,10
"CAIZA ""D""",tuberculosis y lepra,n de sintomaticos respiratorios,2020-02-01,1,1,2
CAMARGO,tuberculosis y lepra,n de sintomaticos respiratorios,2020-02-01,4,4,8
CAMATAQUI (C. VILLA ABECIA),tuberculosis y lepra,n de sintomaticos respiratorios,2020-02-01,1,0,1
CAMIRI,tuberculosis y lepra,n de sintomaticos respiratorios,2020-02-01,5,11,16
CAPINOTA,tuberculosis y lepra,n de sintomaticos respiratorios,2020-02-01,5,5,10
CARACOLLO,tuberculosis y lepra,n de sintomaticos respiratorios,2020-02-01,1,4,5
CARANAVI,tuberculosis y lepra,n de sintomaticos respiratorios,2020-02-01,36,25,61
CARAPARI,tuberculosis y lepra,n de sintomaticos respiratorios,2020-02-01,4,1,5
CARIPUYO,tuberculosis y lepra,n de sintomaticos respiratorios,2020-02-01,1,0,1
CARMEN RIVERO TORREZ,tuberculosis y lepra,n de sintomaticos respiratorios,2020-02-01,0,1,1
CHACARILLA,tuberculosis y lepra,n de sintomaticos respiratorios,2020-02-01,0,2,2
