,group,variable,month,Nº DE TBP BAAR (+) NUEVOS CURADOS CANTIDAD,Nº DE TBP BAAR (+) NUEVOS CURADOS CANTIDAD,TOTALES
SENA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-01-01,1,0,1
SHINAOTA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-01-01,2,1,3
SIPE SIPE,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-01-01,1,0,1
SORATA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-01-01,2,0,2
SUCRE,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-01-01,5,2,7
TARIJA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-01-01,3,1,4
TIPUANI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-01-01,3,1,4
TIQUIPAYA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-01-01,1,0,1
TOMINA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-01-01,0,1,1
TOTORA(CBBA),tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-01-01,1,1,2
TRINIDAD,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-01-01,0,1,1
TUPIZA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-01-01,1,0,1
VILLA MONTES,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-01-01,1,0,1
VILLA RIVERO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-01-01,1,0,1
VILLA TUNARI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-01-01,1,3,4
VINTO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-01-01,1,1,2
VITICHI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-01-01,1,0,1
WARNES,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-01-01,1,0,1
YACUIBA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-01-01,1,3,4
YAPACANI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-01-01,5,0,5
ACHACACHI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-02-01,1,0,1
ARAMPAMPA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-02-01,0,1,1
ASCENCION DE GUARAYOS,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-02-01,2,0,2
BUENA VISTA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-02-01,1,0,1
CABEZAS,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-02-01,0,1,1
CARACOLLO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-02-01,0,1,1
CARANAVI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-02-01,2,3,5
CHARAGUA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-02-01,1,0,1
CHIPAYA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-02-01,0,1,1
CHUMA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-02-01,0,1,1
COBIJA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-02-01,5,1,6
COCHABAMBA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-02-01,6,5,11
CORIPATA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-02-01,1,1,2
COTAGAITA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-02-01,2,0,2
COTOCA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-02-01,4,2,6
CUATRO CAÑADAS,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-02-01,1,2,3
CULPINA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-02-01,0,1,1
EL ALTO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-02-01,9,2,11
EL PUENTE(STC),tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-02-01,1,0,1
EL VILLAR,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-02-01,1,0,1
ENTRE RIOS CBBA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-02-01,1,0,1
EUCALIPTUS,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-02-01,1,0,1
GUANAY,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-02-01,1,0,1
GUAYARAMERIN,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-02-01,1,0,1
INQUISIVI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-02-01,1,0,1
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-02-01,1,0,1
LA ASUNTA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-02-01,1,2,3
LA GUARDIA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-02-01,4,1,5
LA PAZ,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-02-01,4,2,6
LAGUNILLAS,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-02-01,0,2,2
LLALLAGUA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-02-01,1,0,1
MIZQUE,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-02-01,0,1,1
MONTERO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-02-01,12,4,16
ORURO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-02-01,2,1,3
PORTACHUELO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-02-01,1,1,2
PRESTO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-02-01,1,0,1
PUERTO VILLARROEL,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-02-01,1,0,1
QUILLACOLLO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-02-01,1,1,2
REYES,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-02-01,0,1,1
RIBERALTA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-02-01,3,2,5
RURRENABAQUE,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-02-01,0,1,1
SACABA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-02-01,3,3,6
SAN BORJA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-02-01,1,1,2
SAN CARLOS,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-02-01,1,0,1
SAN JOSE DE CHIQUITOS,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-02-01,1,0,1
SAN JULIAN,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-02-01,2,0,2
SAN LORENZO(TJA),tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-02-01,1,0,1
SAN PEDRO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-02-01,1,1,2
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-02-01,68,29,97
SANTA ROSA DEL SARA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-02-01,1,0,1
SHINAOTA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-02-01,0,1,1
SOPACHUY,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-02-01,1,0,1
SORATA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-02-01,1,0,1
SUCRE,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-02-01,2,1,3
TARABUCO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-02-01,1,0,1
TARIJA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-02-01,2,3,5
TIPUANI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-02-01,1,0,1
TIRAQUE (CBBA),tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-02-01,0,2,2
TOMAVE,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-02-01,1,0,1
TRINIDAD,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-02-01,4,1,5
URUBICHA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-02-01,1,0,1
UYUNI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-02-01,0,1,1
VIACHA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-02-01,1,0,1
VILLA TUNARI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-02-01,1,0,1
VILLA VACA GUZMAN (MUYUPAMPA),tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-02-01,1,0,1
VINTO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-02-01,1,0,1
VITICHI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-02-01,1,0,1
WARNES,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-02-01,4,2,6
YACUIBA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-02-01,3,3,6
YAPACANI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-02-01,6,2,8
APOLO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-03-01,1,0,1
AZURDUY,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-03-01,2,2,4
BERMEJO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-03-01,0,3,3
BUENA VISTA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-03-01,1,0,1
CABEZAS,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-03-01,1,1,2
CAMARGO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-03-01,1,0,1
CAMIRI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-03-01,0,1,1
CARANAVI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-03-01,6,2,8
CARAPARI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-03-01,1,0,1
CHALLAPATA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-03-01,1,0,1
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-03-01,1,0,1
CHUQUIHUTA AYLLU JUCUMANI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-03-01,1,0,1
COBIJA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-03-01,4,5,9
COCHABAMBA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-03-01,5,5,10
COPACABANA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-03-01,1,0,1
COROICO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-03-01,2,1,3
COTAGAITA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-03-01,0,1,1
COTOCA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-03-01,4,6,10
CUATRO CAÑADAS,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-03-01,3,0,3
EL ALTO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-03-01,5,3,8
EL PUENTE(STC),tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-03-01,2,0,2
EL TORNO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-03-01,0,2,2
ENTRE RIOS TRJ,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-03-01,0,1,1
ENTRE RIOS CBBA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-03-01,2,1,3
GUANAY,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-03-01,2,1,3
INCAHUASI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-03-01,0,1,1
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-03-01,1,3,4
LA ASUNTA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-03-01,1,1,2
LA GUARDIA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-03-01,5,7,12
LA PAZ,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-03-01,5,2,7
LLALLAGUA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-03-01,1,0,1
MONTERO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-03-01,11,6,17
ORURO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-03-01,1,1,2
PAILON,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-03-01,1,0,1
PALOS BLANCOS,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-03-01,1,0,1
PELECHUCO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-03-01,1,0,1
POTOSI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-03-01,1,0,1
PUERTO VILLARROEL,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-03-01,4,1,5
QUIABAYA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-03-01,1,0,1
QUILLACOLLO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-03-01,5,1,6
RIBERALTA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-03-01,5,1,6
ROBORE,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-03-01,1,0,1
RURRENABAQUE,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-03-01,2,0,2
SACABA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-03-01,1,2,3
SALINAS DE GARCI MENDOZA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-03-01,1,0,1
SAN JULIAN,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-03-01,4,0,4
SAN LORENZO(TJA),tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-03-01,1,0,1
SAN PEDRO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-03-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-03-01,75,39,114
SENA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-03-01,1,0,1
SHINAOTA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-03-01,1,0,1
SIPE SIPE,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-03-01,1,0,1
SUCRE,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-03-01,1,2,3
TACACOMA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-03-01,1,0,1
TARIJA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-03-01,0,1,1
TEOPONTE,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-03-01,1,0,1
TIQUIPAYA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-03-01,1,0,1
TOMINA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-03-01,0,1,1
TRINIDAD,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-03-01,0,1,1
URIONDO (A. CONCEPCION),tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-03-01,1,0,1
VIACHA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-03-01,1,0,1
VILLA TUNARI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-03-01,3,0,3
VINTO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-03-01,1,0,1
WARNES,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-03-01,1,2,3
YACUIBA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-03-01,0,3,3
YAPACANI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-03-01,4,1,5
AIQUILE,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-04-01,1,1,2
AYATA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-04-01,1,0,1
BERMEJO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-04-01,1,0,1
BETANZOS,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-04-01,1,1,2
BOYUIBE,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-04-01,1,0,1
BUENA VISTA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-04-01,0,1,1
CAMIRI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-04-01,1,0,1
CARANAVI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-04-01,3,6,9
CHARAGUA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-04-01,1,0,1
CHIMORE,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-04-01,1,2,3
COBIJA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-04-01,3,1,4
COCHABAMBA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-04-01,7,2,9
COLCAPIRHUA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-04-01,1,0,1
CONCEPCION,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-04-01,0,1,1
CORIPATA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-04-01,1,0,1
COROICO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-04-01,0,1,1
COTOCA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-04-01,2,5,7
CULPINA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-04-01,1,0,1
EL ALTO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-04-01,5,2,7
EL CHORO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-04-01,0,1,1
EL PUENTE(STC),tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-04-01,1,0,1
ENTRE RIOS TRJ,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-04-01,1,0,1
ENTRE RIOS CBBA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-04-01,2,0,2
FERNANDEZ ALONSO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-04-01,1,1,2
GENERAL SAAVEDRA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-04-01,1,0,1
GUANAY,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-04-01,0,1,1
GUAYARAMERIN,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-04-01,2,0,2
HUANUNI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-04-01,1,0,1
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-04-01,1,1,2
LA ASUNTA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-04-01,4,0,4
LA GUARDIA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-04-01,4,3,7
LA PAZ,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-04-01,3,2,5
LICOMA PAMPA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-04-01,0,2,2
LLALLAGUA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-04-01,1,2,3
MACHACAMARCA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-04-01,0,1,1
MAPIRI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-04-01,2,0,2
MINEROS,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-04-01,1,0,1
MIZQUE,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-04-01,0,1,1
MONTERO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-04-01,12,8,20
ORURO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-04-01,3,0,3
PALOS BLANCOS,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-04-01,2,0,2
PORONGO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-04-01,0,1,1
PORTACHUELO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-04-01,2,0,2
POTOSI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-04-01,2,1,3
PUERTO CARABUCO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-04-01,0,1,1
PUERTO SUAREZ,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-04-01,1,0,1
PUERTO VILLARROEL,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-04-01,4,3,7
QUILLACOLLO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-04-01,2,2,4
RIBERALTA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-04-01,3,3,6
RURRENABAQUE,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-04-01,1,1,2
SACABA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-04-01,1,2,3
SAN BORJA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-04-01,1,1,2
SAN LUCAS,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-04-01,0,2,2
SAN PEDRO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-04-01,1,1,2
SANTA ANA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-04-01,2,1,3
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-04-01,69,49,118
SANTIAGO DE HUATA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-04-01,1,0,1
SHINAOTA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-04-01,2,3,5
SUCRE,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-04-01,6,3,9
TARIJA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-04-01,2,0,2
TEOPONTE,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-04-01,1,1,2
TIPUANI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-04-01,1,1,2
TIQUIPAYA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-04-01,1,0,1
TOMINA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-04-01,0,1,1
TRINIDAD,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-04-01,4,2,6
URUBICHA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-04-01,0,1,1
VILLA MONTES,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-04-01,1,0,1
VILLA TUNARI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-04-01,3,1,4
WARNES,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-04-01,0,2,2
YACUIBA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-04-01,1,4,5
YAPACANI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-04-01,8,2,10
AIQUILE,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-05-01,2,0,2
ARBIETO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-05-01,1,0,1
BERMEJO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-05-01,2,1,3
BETANZOS,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-05-01,1,0,1
CAMARGO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-05-01,0,1,1
CARANAVI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-05-01,4,3,7
CHIMORE,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-05-01,0,1,1
COBIJA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-05-01,2,0,2
COCHABAMBA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2020-05-01,6,7,13
