,group,variable,month,Nº DE PACIENTES CON COINFECCIÓN TB/VIH CANTIDAD,Nº DE PACIENTES CON COINFECCIÓN TB/VIH CANTIDAD,TOTALES
YAPACANI,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2020-03-01,0,1,1
CAPINOTA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2020-04-01,1,0,1
CHALLAPATA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2020-04-01,1,0,1
CUATRO CAÑADAS,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2020-04-01,1,0,1
EL ALTO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2020-04-01,4,0,4
GUANAY,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2020-04-01,1,0,1
LA PAZ,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2020-04-01,1,0,1
MAPIRI,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2020-04-01,1,0,1
MONTERO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2020-04-01,0,1,1
POTOSI,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2020-04-01,0,2,2
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2020-04-01,7,0,7
SIPE SIPE,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2020-04-01,1,0,1
SUCRE,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2020-04-01,1,0,1
TEOPONTE,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2020-04-01,1,0,1
VILLA MONTES,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2020-04-01,1,0,1
WARNES,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2020-04-01,1,0,1
YACUIBA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2020-04-01,1,0,1
COBIJA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2020-05-01,0,0,0
COCHABAMBA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2020-05-01,3,1,4
EL ALTO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2020-05-01,0,1,1
LA PAZ,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2020-05-01,7,0,7
MONTERO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2020-05-01,2,0,2
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2020-05-01,1,1,2
TARIJA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2020-05-01,1,0,1
TIQUIPAYA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2020-05-01,0,1,1
EL ALTO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2020-06-01,1,0,1
LA PAZ,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2020-06-01,1,2,3
ORURO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2020-06-01,2,0,2
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2020-06-01,3,2,5
TRINIDAD,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2020-06-01,1,0,1
VIACHA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2020-06-01,1,0,1
YAPACANI,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2020-06-01,0,1,1
COCHABAMBA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2020-07-01,0,1,1
EL ALTO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2020-07-01,2,0,2
LA PAZ,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2020-07-01,0,0,0
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2020-07-01,3,1,4
VILLAZON,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2020-07-01,1,0,1
CARANAVI,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2020-08-01,1,1,2
COBIJA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2020-08-01,1,0,1
COCHABAMBA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2020-08-01,1,0,1
LA PAZ,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2020-08-01,0,0,0
MONTERO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2020-08-01,2,0,2
PUERTO QUIJARRO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2020-08-01,2,0,2
PUERTO RICO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2020-08-01,0,1,1
PUERTO VILLARROEL,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2020-08-01,1,1,2
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2020-08-01,2,0,2
VILLA RIVERO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2020-08-01,1,0,1
COCHABAMBA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2020-09-01,1,0,1
EL ALTO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2020-09-01,1,0,1
EL TORNO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2020-09-01,0,1,1
LA GUARDIA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2020-09-01,1,0,1
LA PAZ,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2020-09-01,0,0,0
ORURO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2020-09-01,1,0,1
POTOSI,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2020-09-01,1,0,1
QUILLACOLLO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2020-09-01,2,0,2
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2020-09-01,7,5,12
TARIJA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2020-09-01,1,0,1
TRINIDAD,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2020-09-01,2,1,3
VILLA TUNARI,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2020-09-01,1,0,1
WARNES,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2020-09-01,1,0,1
COCHABAMBA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2020-10-01,1,1,2
COTOCA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2020-10-01,1,0,1
EL ALTO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2020-10-01,3,0,3
LA PAZ,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2020-10-01,0,0,0
MONTERO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2020-10-01,2,0,2
ORURO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2020-10-01,2,0,2
PALOS BLANCOS,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2020-10-01,0,1,1
POTOSI,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2020-10-01,1,0,1
QUILLACOLLO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2020-10-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2020-10-01,8,1,9
TARIJA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2020-10-01,1,0,1
TRINIDAD,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2020-10-01,0,1,1
WARNES,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2020-10-01,1,0,1
YACUIBA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2020-10-01,1,0,1
COCHABAMBA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2020-11-01,2,1,3
COLLANA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2020-11-01,0,1,1
COLPA BELGICA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2020-11-01,1,0,1
COROICO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2020-11-01,1,0,1
EL TORNO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2020-11-01,1,0,1
LA GUARDIA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2020-11-01,1,0,1
LA PAZ,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2020-11-01,1,1,2
MONTERO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2020-11-01,1,0,1
PORTACHUELO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2020-11-01,1,0,1
QUILLACOLLO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2020-11-01,0,1,1
RURRENABAQUE,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2020-11-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2020-11-01,4,1,5
SHINAOTA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2020-11-01,0,1,1
COCHABAMBA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2020-12-01,2,3,5
COLCAPIRHUA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2020-12-01,1,0,1
EL ALTO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2020-12-01,2,0,2
LA PAZ,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2020-12-01,0,1,1
MIZQUE,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2020-12-01,1,0,1
MONTERO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2020-12-01,1,1,2
ORURO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2020-12-01,0,1,1
PRESTO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2020-12-01,1,0,1
QUILLACOLLO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2020-12-01,0,1,1
RURRENABAQUE,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2020-12-01,1,0,1
SAN BORJA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2020-12-01,1,1,2
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2020-12-01,13,5,18
SUCRE,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2020-12-01,1,0,1
TARIJA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2020-12-01,1,0,1
YAPACANI,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2020-12-01,0,1,1
