,group,variable,month,TRATAMIENTOS INICIADOS CON ESQUEMA II CANTIDAD,TRATAMIENTOS INICIADOS CON ESQUEMA II CANTIDAD,TOTALES
CUATRO CAÑADAS,tuberculosis y lepra,tratamientos iniciados con esquema ii,2020-07-01,0.0,2.0,2.0
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema ii,2020-07-01,0.0,0.0,0.0
TRINIDAD,tuberculosis y lepra,tratamientos iniciados con esquema ii,2020-07-01,1.0,1.0,2.0
COBIJA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2020-08-01,0.0,0.0,0.0
EL ALTO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2020-08-01,1.0,0.0,1.0
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema ii,2020-08-01,0.0,0.0,0.0
SUCRE,tuberculosis y lepra,tratamientos iniciados con esquema ii,2020-08-01,2.0,0.0,2.0
ACHOCALLA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2020-09-01,0.0,1.0,1.0
ASCENCION DE GUARAYOS,tuberculosis y lepra,tratamientos iniciados con esquema ii,2020-09-01,1.0,0.0,1.0
EL ALTO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2020-09-01,1.0,0.0,1.0
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema ii,2020-09-01,0.0,0.0,0.0
POTOSI,tuberculosis y lepra,tratamientos iniciados con esquema ii,2020-09-01,2.0,0.0,2.0
RIBERALTA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2020-09-01,1.0,0.0,1.0
CABEZAS,tuberculosis y lepra,tratamientos iniciados con esquema ii,2020-10-01,0.0,1.0,1.0
COBIJA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2020-10-01,1.0,0.0,1.0
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema ii,2020-10-01,0.0,1.0,1.0
LURIBAY,tuberculosis y lepra,tratamientos iniciados con esquema ii,2020-10-01,0.0,1.0,1.0
OCURI,tuberculosis y lepra,tratamientos iniciados con esquema ii,2020-10-01,0.0,1.0,1.0
SANTA ROSA DEL SARA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2020-10-01,0.0,1.0,1.0
SORATA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2020-10-01,1.0,0.0,1.0
SUCRE,tuberculosis y lepra,tratamientos iniciados con esquema ii,2020-10-01,1.0,0.0,1.0
BERMEJO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2020-11-01,1.0,0.0,1.0
EL ALTO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2020-11-01,1.0,0.0,1.0
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,tratamientos iniciados con esquema ii,2020-11-01,0.0,1.0,1.0
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2020-11-01,1.0,0.0,1.0
SORATA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2020-11-01,1.0,0.0,1.0
WARNES,tuberculosis y lepra,tratamientos iniciados con esquema ii,2020-11-01,2.0,0.0,2.0
EL ALTO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2020-12-01,1.0,0.0,1.0
INCAHUASI,tuberculosis y lepra,tratamientos iniciados con esquema ii,2020-12-01,1.0,0.0,1.0
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,tratamientos iniciados con esquema ii,2020-12-01,0.0,1.0,1.0
LA ASUNTA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2020-12-01,1.0,0.0,1.0
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema ii,2020-12-01,0.0,0.0,0.0
OCURI,tuberculosis y lepra,tratamientos iniciados con esquema ii,2020-12-01,1.0,0.0,1.0
PAILON,tuberculosis y lepra,tratamientos iniciados con esquema ii,2020-12-01,1.0,0.0,1.0
PALCA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2020-12-01,2.0,0.0,2.0
POTOSI,tuberculosis y lepra,tratamientos iniciados con esquema ii,2020-12-01,1.0,0.0,1.0
RAVELO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2020-12-01,1.0,0.0,1.0
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2020-12-01,2.0,1.0,3.0
SUCRE,tuberculosis y lepra,tratamientos iniciados con esquema ii,2020-12-01,1.0,0.0,1.0
TARIJA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2020-12-01,0.0,1.0,1.0
TRINIDAD,tuberculosis y lepra,tratamientos iniciados con esquema ii,2020-12-01,0.0,1.0,1.0
YACUIBA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2020-12-01,1.0,1.0,2.0
