,group,variable,month,N° DE TBP BAAR (+) NUEVOS CANTIDAD,N° DE TBP BAAR (+) NUEVOS CANTIDAD,TOTALES
PUERTO VILLARROEL,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-01-01,3,5,8
PUNATA,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-01-01,1,0,1
QUILLACOLLO,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-01-01,3,0,3
REYES,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-01-01,0,1,1
RIBERALTA,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-01-01,6,1,7
ROBORE,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-01-01,1,0,1
SACABA,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-01-01,3,1,4
SAN CARLOS,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-01-01,1,0,1
SAN IGNACIO DE VELASCO,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-01-01,1,0,1
SAN JAVIER(STC),tuberculosis y lepra,n de tbp baar (+) nuevos,2020-01-01,1,0,1
SAN JUAN DE YAPACANI,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-01-01,1,0,1
SAN JULIAN,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-01-01,2,0,2
SAN LORENZO(TJA),tuberculosis y lepra,n de tbp baar (+) nuevos,2020-01-01,1,0,1
SAN PEDRO,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-01-01,1,0,1
SANTA ANA,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-01-01,2,0,2
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-01-01,91,58,149
SANTA ROSA,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-01-01,1,0,1
SENA,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-01-01,1,0,1
SHINAOTA,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-01-01,2,3,5
SIPE SIPE,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-01-01,3,3,6
SORATA,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-01-01,1,0,1
SUCRE,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-01-01,4,3,7
TARIJA,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-01-01,2,2,4
TARVITA,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-01-01,1,0,1
TEOPONTE,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-01-01,2,1,3
TIQUIPAYA,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-01-01,0,1,1
TRINIDAD,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-01-01,16,7,23
URUBICHA,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-01-01,1,0,1
VIACHA,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-01-01,1,1,2
VILLA MONTES,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-01-01,1,2,3
VILLA TUNARI,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-01-01,3,2,5
VILLA VACA GUZMAN (MUYUPAMPA),tuberculosis y lepra,n de tbp baar (+) nuevos,2020-01-01,1,0,1
VILLAZON,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-01-01,1,0,1
VINTO,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-01-01,1,0,1
WARNES,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-01-01,6,3,9
YACUIBA,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-01-01,8,2,10
YAMPARAEZ,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-01-01,1,0,1
YAPACANI,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-01-01,9,2,11
YUNCHARA,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-01-01,0,2,2
ACHACACHI,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-02-01,1,1,2
ARBIETO,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-02-01,0,1,1
AYATA,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-02-01,1,0,1
AYOPAYA (V. DE INDEPENDENCIA),tuberculosis y lepra,n de tbp baar (+) nuevos,2020-02-01,3,1,4
BERMEJO,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-02-01,3,1,4
BETANZOS,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-02-01,3,0,3
CABEZAS,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-02-01,2,0,2
CAJUATA,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-02-01,1,0,1
CAMIRI,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-02-01,0,2,2
CARANAVI,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-02-01,3,0,3
CHALLAPATA,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-02-01,2,0,2
CHARAGUA,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-02-01,0,1,1
CHIMORE,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-02-01,2,0,2
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,n de tbp baar (+) nuevos,2020-02-01,1,0,1
COBIJA,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-02-01,3,0,3
COCHABAMBA,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-02-01,5,14,19
COLCAPIRHUA,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-02-01,1,3,4
CORIPATA,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-02-01,1,2,3
COROICO,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-02-01,1,1,2
COTOCA,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-02-01,2,0,2
CUATRO CAÑADAS,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-02-01,1,0,1
EL ALTO,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-02-01,14,4,18
EL TORNO,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-02-01,0,2,2
ENTRE RIOS TRJ,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-02-01,0,1,1
ENTRE RIOS CBBA,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-02-01,3,3,6
EUCALIPTUS,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-02-01,0,1,1
FERNANDEZ ALONSO,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-02-01,1,0,1
GENERAL SAAVEDRA,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-02-01,1,0,1
GUANAY,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-02-01,0,1,1
GUAYARAMERIN,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-02-01,0,2,2
HUANUNI,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-02-01,1,0,1
HUARINA,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-02-01,0,1,1
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,n de tbp baar (+) nuevos,2020-02-01,2,1,3
IXIAMAS,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-02-01,1,0,1
LA ASUNTA,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-02-01,1,0,1
LA GUARDIA,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-02-01,7,6,13
LA PAZ,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-02-01,17,11,28
LAS CARRERAS,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-02-01,1,0,1
LLALLAGUA,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-02-01,2,0,2
MACHARETI,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-02-01,0,1,1
MAPIRI,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-02-01,3,0,3
MIZQUE,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-02-01,0,1,1
MOJOCOYA,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-02-01,0,1,1
MONTEAGUDO,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-02-01,0,2,2
MONTERO,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-02-01,8,3,11
OKINAWA,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-02-01,0,1,1
ORURO,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-02-01,2,5,7
PADILLA,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-02-01,1,0,1
PAILON,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-02-01,1,5,6
PALCA,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-02-01,1,2,3
PALOS BLANCOS,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-02-01,2,0,2
POTOSI,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-02-01,3,0,3
PUERTO VILLARROEL,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-02-01,7,3,10
PUNATA,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-02-01,1,0,1
QUILLACOLLO,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-02-01,0,2,2
RAVELO,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-02-01,1,1,2
RIBERALTA,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-02-01,2,3,5
SACABA,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-02-01,1,2,3
SAIPINA,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-02-01,0,1,1
SAN BORJA,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-02-01,2,2,4
SAN IGNACIO,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-02-01,2,1,3
SAN JOAQUIN,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-02-01,1,0,1
SAN JOSE DE CHIQUITOS,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-02-01,1,0,1
SAN JUAN DE YAPACANI,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-02-01,1,0,1
SAN JULIAN,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-02-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-02-01,78,49,127
SANTA ROSA DEL SARA,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-02-01,0,1,1
SHINAOTA,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-02-01,4,2,6
SICAYA,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-02-01,1,0,1
SORATA,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-02-01,0,1,1
SUCRE,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-02-01,1,1,2
TACACOMA,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-02-01,1,0,1
TARABUCO,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-02-01,0,1,1
TARIJA,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-02-01,2,2,4
TIPUANI,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-02-01,2,0,2
TIQUIPAYA,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-02-01,1,0,1
TOCO,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-02-01,3,0,3
TRINIDAD,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-02-01,18,0,18
TUPIZA,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-02-01,2,0,2
URIONDO (A. CONCEPCION),tuberculosis y lepra,n de tbp baar (+) nuevos,2020-02-01,1,0,1
VIACHA,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-02-01,0,4,4
VILLA MONTES,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-02-01,0,1,1
VILLA RIVERO,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-02-01,1,0,1
VILLA TUNARI,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-02-01,2,2,4
VILLAZON,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-02-01,3,2,5
VINTO,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-02-01,2,0,2
WARNES,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-02-01,3,4,7
YACUIBA,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-02-01,5,6,11
YANACACHI,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-02-01,1,0,1
YAPACANI,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-02-01,3,2,5
YUNCHARA,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-02-01,1,0,1
ACHACACHI,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-03-01,0,1,1
ARBIETO,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-03-01,0,1,1
ASCENCION DE GUARAYOS,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-03-01,1,2,3
AYOPAYA (V. DE INDEPENDENCIA),tuberculosis y lepra,n de tbp baar (+) nuevos,2020-03-01,1,1,2
BERMEJO,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-03-01,1,1,2
CABEZAS,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-03-01,0,2,2
"CAIZA ""D""",tuberculosis y lepra,n de tbp baar (+) nuevos,2020-03-01,0,1,1
CAJUATA,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-03-01,0,1,1
CAMARGO,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-03-01,0,1,1
CAMIRI,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-03-01,1,0,1
CAPINOTA,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-03-01,1,0,1
CARANAVI,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-03-01,6,3,9
CARMEN RIVERO TORREZ,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-03-01,1,1,2
CHARAGUA,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-03-01,0,1,1
CHAYANTA,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-03-01,1,0,1
CHIMORE,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-03-01,2,1,3
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,n de tbp baar (+) nuevos,2020-03-01,0,2,2
COBIJA,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-03-01,3,1,4
COCHABAMBA,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-03-01,13,11,24
COLCAPIRHUA,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-03-01,0,1,1
COLPA BELGICA,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-03-01,0,2,2
CORIPATA,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-03-01,1,1,2
COTOCA,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-03-01,11,4,15
CUATRO CAÑADAS,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-03-01,1,0,1
EL ALTO,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-03-01,12,8,20
EL PUENTE(STC),tuberculosis y lepra,n de tbp baar (+) nuevos,2020-03-01,5,0,5
EL TORNO,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-03-01,3,1,4
ENTRE RIOS CBBA,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-03-01,1,0,1
EUREKA (SANTOS MERCADO),tuberculosis y lepra,n de tbp baar (+) nuevos,2020-03-01,0,1,1
GENERAL SAAVEDRA,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-03-01,1,1,2
GUANAY,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-03-01,1,1,2
GUAYARAMERIN,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-03-01,2,0,2
GUTIERREZ,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-03-01,1,0,1
INQUISIVI,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-03-01,1,0,1
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,n de tbp baar (+) nuevos,2020-03-01,2,2,4
LA ASUNTA,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-03-01,3,3,6
LA GUARDIA,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-03-01,5,4,9
LA PAZ,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-03-01,17,6,23
MAPIRI,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-03-01,1,1,2
MINEROS,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-03-01,0,1,1
MONTEAGUDO,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-03-01,0,1,1
MONTERO,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-03-01,14,8,22
ORURO,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-03-01,0,1,1
PADCAYA,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-03-01,0,1,1
PORTACHUELO,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-03-01,1,0,1
POTOSI,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-03-01,1,2,3
PUCARANI,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-03-01,0,1,1
PUERTO QUIJARRO,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-03-01,1,0,1
PUERTO VILLARROEL,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-03-01,2,5,7
PUNATA,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-03-01,1,0,1
QUILLACOLLO,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-03-01,2,2,4
RIBERALTA,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-03-01,3,1,4
RURRENABAQUE,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-03-01,2,1,3
SACABA,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-03-01,3,1,4
SAN BORJA,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-03-01,1,0,1
SAN BUENA VENTURA,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-03-01,1,0,1
SAN CARLOS,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-03-01,1,0,1
SAN IGNACIO DE VELASCO,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-03-01,2,0,2
SAN JUAN DE YAPACANI,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-03-01,1,0,1
SAN JULIAN,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-03-01,4,3,7
SAN LUCAS,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-03-01,0,1,1
SAN MIGUEL DE VELASCO,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-03-01,0,1,1
SAN PEDRO,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-03-01,2,0,2
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-03-01,90,53,143
SANTA ROSA,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-03-01,1,0,1
SANTA ROSA DEL SARA,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-03-01,1,1,2
SHINAOTA,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-03-01,2,2,4
SICA SICA (VILLA AROMA),tuberculosis y lepra,n de tbp baar (+) nuevos,2020-03-01,0,1,1
SICAYA,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-03-01,0,1,1
SIPE SIPE,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-03-01,0,2,2
SOPACHUY,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-03-01,1,0,1
SORATA,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-03-01,0,1,1
SUCRE,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-03-01,4,2,6
TACACOMA,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-03-01,1,0,1
TACOPAYA,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-03-01,0,1,1
TAPACARI,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-03-01,1,0,1
TARACO,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-03-01,0,1,1
TARIJA,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-03-01,5,0,5
TIPUANI,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-03-01,2,0,2
TIQUIPAYA,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-03-01,3,1,4
TORO TORO,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-03-01,1,0,1
TRINIDAD,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-03-01,3,4,7
TUPIZA,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-03-01,0,2,2
URIONDO (A. CONCEPCION),tuberculosis y lepra,n de tbp baar (+) nuevos,2020-03-01,1,0,1
VIACHA,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-03-01,1,0,1
VILLA MONTES,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-03-01,4,0,4
VILLA TUNARI,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-03-01,3,1,4
VILLAZON,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-03-01,1,0,1
WARNES,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-03-01,2,4,6
YACUIBA,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-03-01,6,3,9
YAPACANI,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-03-01,1,4,5
BERMEJO,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-04-01,2,2,4
BETANZOS,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-04-01,0,1,1
BUENA VISTA,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-04-01,1,0,1
"CAIZA ""D""",tuberculosis y lepra,n de tbp baar (+) nuevos,2020-04-01,2,1,3
CAMIRI,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-04-01,0,1,1
CAPINOTA,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-04-01,1,0,1
CARACOLLO,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-04-01,1,0,1
CARANAVI,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-04-01,3,2,5
CARAPARI,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-04-01,1,0,1
CHALLAPATA,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-04-01,1,0,1
CHIMORE,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-04-01,1,0,1
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,n de tbp baar (+) nuevos,2020-04-01,4,1,5
COBIJA,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-04-01,1,1,2
COCHABAMBA,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-04-01,10,2,12
CORIPATA,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-04-01,1,0,1
COROICO,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-04-01,0,1,1
COTAGAITA,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-04-01,0,1,1
COTOCA,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-04-01,3,3,6
CUATRO CAÑADAS,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-04-01,1,2,3
CURAHUARA DE CARANGAS,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-04-01,0,1,1
EL ALTO,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-04-01,6,4,10
EL CHORO,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-04-01,0,1,1
ENTRE RIOS TRJ,tuberculosis y lepra,n de tbp baar (+) nuevos,2020-04-01,0,1,1
